""	CD3D	ITGA4	CD69	CD3G	SIGIRR	PTPRC	IFITM1	IL2RA	CCR5	CD247	CTLA4	CXCR4	IL2RG	CXCR3	ITGAL	ITGB2	CD82	LAG3	ITGB1	ICOS	CD47	KLRD1	CD28	HAVCR2	TNFRSF1B	CD8A	SPN	KLRC1	KLRK1	CD4	CD2	CD27	LRP8	LDLR	DPP4	ADGRE5	CXCR6	C1QBP	S1PR4	TRADD	CCR1	SLC1A5	TNFRSF14	CD46	CD6	PTGER4	CD44	F2R	FAS	ADCY7	SELL	TIGIT	SORL1	HLA.DPB1	CD96	TNFRSF25	LRP1	SMAP1	TSPAN5	HMMR	ATP5F1B	JAML	NCR3	FGFR1	SIRPG	PTGER2	VSIR	LPP	CD81	CD74	PILRB	CD68	CLEC2D	TFRC	RPSA	CANX	PLAUR	RACK1	TNFRSF1A	TSPAN14	RXRA	AMFR	LRP10	CD63	APLP2	PTPRA	CADM1	RAMP1	SLC16A1	NCL	LAMP1	PTPRZ1
CD3D	1	0.858055523697551	0.888700635476661	0.973351034699057	0.838643311570748	0.87478107362074	0.325403813782868	0.366472117956768	0.48212716900982	0.951560176517217	0.904723358922648	0.96190594866089	0.889176167361661	0.788014623657137	0.868123386934997	0.166353661293545	0.805824009848967	0.650823499351005	0.307060371644904	0.904518278372844	0.824106787326366	-0.128027278524527	0.349430404405411	-0.387402532152393	0.53115650210026	0.799776310882762	0.770926514896772	-0.175185398736144	-0.0890509277493613	0.138913584827425	0.961501577264912	0.955433613499923	0.703519525066128	-0.469899057971326	0.379875537522352	0.797865935395891	0.780048802690396	0.316885960737774	0.850455627115323	0.911990510667177	-0.449231947730462	0.286309475300991	0.316150060758843	-0.28450946357325	0.869042158888553	0.291816943074452	-0.231855817579659	0.0799451644074763	0.66945424399196	0.306844339050414	0.631482312006754	0.723927145350688	-0.380872121570601	0.330682315926795	0.847327982397633	0.864177123451547	-0.81746162183027	0.286965118873711	0.369291012643048	0.349816330679827	0.364432976018782	0.431444309760114	0.575533089224004	-0.263488278139984	0.747020422985248	0.703705161243934	-0.0092517561666501	-0.126114836178845	-0.599094518352479	0.131614452155612	-0.0304292514192053	-0.523652885673736	0.872050805951958	-0.64250260275158	0.657059997915732	-0.459182476764848	-0.628789578278192	0.497064792350219	-0.554861873202175	-0.476993683763837	-0.761596491508596	-0.1226003330389	-0.0347203977108626	-0.20481414060199	-0.622382670160366	-0.3034728183948	-0.316025557593257	-0.409106050456897	-0.0118540891970397	0.292901498146815	-0.577474403059621	-0.427432810850465
ITGA4	0.858055523697551	1	0.684582766986828	0.892208052920987	0.87050333684936	0.868901261436185	0.311651543025983	0.574237405808464	0.409215278104409	0.794067108081199	0.825670769453275	0.827719115236426	0.885192822009521	0.693821316661385	0.739134987502703	0.190461390449194	0.809961248013802	0.767632465433196	0.546986031120727	0.793375681485116	0.920281591505293	-0.13387860848238	0.445536004473442	-0.22714528032856	0.643431821115182	0.810382265593623	0.882600027821668	-0.157932224920065	0.0345879384830211	0.379569299217736	0.828891801586293	0.885753061850082	0.577440662788784	-0.248001579105761	0.121200110579935	0.854208513198654	0.747791457247174	0.574012751264754	0.906255850426144	0.834137253411551	-0.391423703204005	0.607958215637927	0.25003953024509	-0.0807468708177771	0.762494129319282	0.42856381388436	-0.320040096421526	0.323868959908639	0.869177256289967	0.254052160100536	0.676032713264252	0.883285323292051	-0.298310497971839	0.525356994012799	0.830658036233308	0.697329742993251	-0.607329717746002	0.508497874900325	0.620866973788257	0.653868311368098	0.701484281826805	0.464909757281723	0.616002696065481	0.00681942223435743	0.584511040426536	0.399696560084404	0.101829369733477	0.108239935668214	-0.355088088513413	0.348270612322779	0.138907086497271	-0.484459418133361	0.945720420955099	-0.556867568166123	0.751166995307624	-0.143944677986903	-0.611866959122717	0.652969491495631	-0.238917695888481	-0.357036382741477	-0.642104119619353	0.201768311520066	0.251530890061271	0.212427208412623	-0.283332392538439	-0.0488295544633444	0.048660440923942	-0.0817536759601576	0.206094972593831	0.556882064826291	-0.343222857912378	-0.210135099825955
CD69	0.888700635476661	0.684582766986828	1	0.858643056216377	0.732480368828604	0.783128278313474	0.432138679199642	0.042616575989122	0.295133551911853	0.953619190828718	0.751937217127166	0.957162262763355	0.638103566405833	0.630521336426992	0.742211748676539	0.280500349653096	0.693581711927681	0.392294837936942	0.232892570778026	0.654299444778661	0.745114419936568	-0.29756044930162	-0.00414674909949272	-0.224346443426879	0.272318519987554	0.646213331605401	0.580152619816017	-0.0900709623777268	-0.135489406800592	0.191980639953718	0.8552044004207	0.782929358117896	0.538783661823328	-0.595552174343179	0.528765348882812	0.636144418501438	0.508966878733493	0.279025265354741	0.599529203162314	0.858938592520536	-0.339719778846574	0.179027097184488	0.0696757229574117	-0.293335234693806	0.75047727713547	0.421670571768827	-0.197556167779596	-0.13426974966323	0.503686196930361	0.524817437464395	0.429039878985836	0.45133329569161	-0.221444375785775	0.344388268713925	0.846966191382423	0.932940213262996	-0.817774073475589	0.0877591964412587	0.0989116218397202	0.10516568846247	0.194730684109933	0.569097975428438	0.537846944204741	-0.442625070214042	0.906678809931904	0.869593483261594	0.180511149704558	-0.217857116339619	-0.524096120913588	0.204325675854751	-0.174861454982591	-0.407518266325892	0.723257157114126	-0.501314805045276	0.67098071749336	-0.566281015480417	-0.4956292072125	0.521074695803929	-0.592431596023621	-0.367832570785544	-0.685208610388813	-0.240087878779664	-0.0242003026052496	-0.366177468643226	-0.722539051474734	-0.431194216312987	-0.433112508291805	-0.562088698336818	-0.0316395049316031	0.204285273852329	-0.609937177903797	-0.555958686917852
CD3G	0.973351034699057	0.892208052920987	0.858643056216377	1	0.812681180812889	0.847327896478068	0.226751014480378	0.478249705539289	0.443664767663114	0.936685541437735	0.843854065714062	0.936624467002768	0.899241837376454	0.740194021608506	0.83904443976476	0.097826130994143	0.785273636791983	0.767230983313118	0.245137324749749	0.898708531309634	0.838975668203499	-0.148598658879408	0.391469236575308	-0.413794112231893	0.537660498868365	0.820145680335282	0.780360665114949	-0.213637597464475	-0.0870794397534673	0.124493279907004	0.97058075138417	0.93026274289083	0.583792843312452	-0.407056332209248	0.389671510444608	0.835047967719126	0.833512460465905	0.305433791488216	0.881247905928761	0.862481000440027	-0.464459308166418	0.294162289696679	0.227472461029845	-0.296076084097489	0.81589890498494	0.261144043992258	-0.255034378595612	0.114262545307376	0.718402301107812	0.276066226517692	0.619158829875732	0.802867479704737	-0.379231759388469	0.298366326310407	0.917866554306089	0.874041187504697	-0.753360840580303	0.34684521470022	0.436107238188334	0.502571607708663	0.409763946335174	0.363181162990429	0.515589994034275	-0.169506809168555	0.739293317179609	0.631805274402792	-0.0282501798757617	-0.13861024292901	-0.606240514937292	0.0972724696068371	0.0264060303220093	-0.555091971611355	0.929733645605267	-0.664604518526711	0.61482509814609	-0.40122222708177	-0.661734675620992	0.457192150824474	-0.530552193004978	-0.526369999974266	-0.810336483980017	-0.0500043768878141	-0.0217895092404955	-0.14093305912209	-0.528879824501167	-0.23882098914327	-0.217981238262551	-0.302862953346404	-0.062483679242032	0.27582047207719	-0.536882947646287	-0.32908739988469
SIGIRR	0.838643311570748	0.87050333684936	0.732480368828604	0.812681180812889	1	0.821527897705828	0.611193471600121	0.361399370934328	0.298303615880571	0.768251241747902	0.73777220384196	0.84129482558611	0.847025965352578	0.743258381689569	0.581879259528469	0.224570459305713	0.846224085013819	0.549049412769294	0.600641166339355	0.75335850175245	0.876900327576101	-0.0315497700243918	0.44616909754018	-0.265549884873429	0.546611578861259	0.57552182344019	0.946163282574204	-0.227106560066285	-0.109724565282191	0.325787987644007	0.762793780060998	0.917939475133237	0.802665255921961	-0.209006502884049	0.251789548122145	0.825571315426847	0.672039044316457	0.644746726527791	0.729709213869066	0.909499878430135	-0.417923997793243	0.453039371376797	0.407345954033263	0.106464555204314	0.7494005125068	0.516724183474924	-0.272293513950908	0.24186295793087	0.63706755975723	0.248256914651075	0.790004172740421	0.627503888690788	-0.347659939259978	0.611615549289429	0.705739614105089	0.734146538510638	-0.703584548226203	0.48380665565069	0.579577610997014	0.394794228707035	0.619691236765979	0.695115543249359	0.615844757195313	-0.071067581598431	0.680504209654098	0.581404377526314	0.0961118417149071	0.244055282955717	-0.349412727120556	0.405321002225247	0.21724379566517	-0.493350985053156	0.765810465207294	-0.585591833523581	0.85468158419533	-0.185374494588807	-0.618286110771697	0.766084656490283	-0.22986915199513	-0.36845766727797	-0.653583730638466	0.0921675024292342	0.405024891735492	0.162117796309215	-0.396992683393147	-0.0968314317670931	-0.0212225483997439	-0.188994711508952	0.366342712495173	0.601588982804799	-0.39962101044894	-0.301874685714186
PTPRC	0.87478107362074	0.868901261436185	0.783128278313474	0.847327896478068	0.821527897705828	1	0.314708925597785	0.297608176950572	0.621629060464886	0.831697609057781	0.836703809570294	0.870445078769595	0.80675125966422	0.841062976690741	0.81168998147705	0.542113635085159	0.734538201703456	0.603829830574461	0.4490389067349	0.737041982198804	0.846244820922148	-0.138919761160808	0.244658341191752	0.0244646564562462	0.689178136242357	0.784943971847354	0.771350466009149	-0.119159428876095	0.0247456736411058	0.530259316317594	0.799923077141159	0.844983974346309	0.597932311135291	-0.584009058783604	0.0917219939222238	0.773568283329162	0.615640390794647	0.386674223903261	0.834785230184724	0.861027805354987	-0.169546764489903	0.605067880110583	0.414529302425906	-0.235485162445188	0.869682113017671	0.610650456361531	-0.204842373243965	0.0239650122024429	0.597704551260518	0.586334371526204	0.570958816169034	0.698360624907867	-0.063790234238121	0.636167909901545	0.714763560360085	0.675948996332867	-0.724958994106777	0.117696671323326	0.249904005839812	0.323066547241513	0.41286829240121	0.523001167417687	0.61685610806177	-0.355221746938053	0.589159560624936	0.506219141818728	0.405474792896065	-0.134811999177596	-0.279247864548061	0.538702198948405	-0.169418754097525	-0.245821279699273	0.79446731544451	-0.325963323765053	0.725634263151481	-0.442098578130969	-0.358919238553355	0.637754691966193	-0.425607089948765	-0.117859268066854	-0.529839973881752	-0.0846361271787237	0.000320219187804337	-0.123173440662491	-0.535423236005254	-0.36770881643322	-0.271673467976076	-0.429978322464091	0.0624090599266232	0.375881945078749	-0.463045942366218	-0.545000779852719
IFITM1	0.325403813782868	0.311651543025983	0.432138679199642	0.226751014480378	0.611193471600121	0.314708925597785	1	-0.270866735926302	-0.210775152923791	0.387191438847616	0.323820731624728	0.430236588203428	0.26518370920568	0.289845242254846	0.123140906228841	0.0931247318940437	0.361192633519953	-0.183677729556716	0.598771534103306	0.196277001359301	0.391716171233679	0.210082183654584	0.00813506911987427	-0.0324448331605424	-0.0544546078321518	0.0316675187504925	0.449873838617301	0.149912620955619	0.172982116043645	0.159535188479241	0.230052959399068	0.422813481929941	0.584227035701697	-0.0586314670626342	0.120424938335699	0.311915930850196	0.0427830059902781	0.563690206973632	0.121317223799117	0.537983297471731	-0.400777634858952	0.212930513835749	0.0970655827919691	0.430215163888625	0.362710776889701	0.454894111340834	-0.314645666851009	0.193341712878136	0.256938798483027	0.0931735607508015	0.392516352271731	-0.0774135662138051	-0.203009846955695	0.443147367087647	0.247566621556299	0.42025598033094	-0.42837353604159	0.266863908933022	0.267486155092467	-0.244153093365717	0.320266411910718	0.759263538168285	0.429565042350464	-0.0535975783273233	0.439518391943625	0.488764816835917	0.064866603024046	0.571248081300642	-0.0841227212857858	0.313189905637816	0.207722971851782	-0.390283322583935	0.164353317202613	-0.286570346989747	0.632811526819392	-0.148156454853416	-0.416209514310367	0.593127419359971	0.0271782516480869	-0.122062817167723	-0.141873185131362	-0.0747557363931668	0.540063998088776	0.103743619122953	-0.344999048993201	0.0191296081618555	-0.036912179128406	-0.227576591378292	0.633135209734083	0.526531811062505	-0.310894138713496	-0.225727908781437
IL2RA	0.366472117956768	0.574237405808464	0.042616575989122	0.478249705539289	0.361399370934328	0.297608176950572	-0.270866735926302	1	0.416381407813987	0.189636301004295	0.263705848851758	0.23071129783214	0.657042262288548	0.419530861812011	0.27086188819716	-0.134429379770963	0.445548280225708	0.790969430776608	0.0902135635900364	0.589628196384155	0.32996956814092	0.120066133673244	0.8331489794072	-0.296037522883397	0.651137631306845	0.409789402337643	0.561757783687127	-0.44698460300054	-0.0166057326025336	0.118766203470326	0.469011240641807	0.431539913107929	0.256330998474434	0.170286274266146	-0.096629331803736	0.494388857657509	0.753269880360667	0.148377468650791	0.59331856304196	0.211661665372846	-0.104344325941247	0.143198732846752	0.26402458305672	0.0284743384011795	0.153566791534744	-0.100688409024413	-0.176748761350771	0.317937856790573	0.547344780779444	-0.23770717143016	0.601277516512443	0.832929415272049	-0.118468098906057	-0.0774192515789978	0.406546954950846	0.214438287744345	0.00657575144807263	0.496524785168896	0.645040479485641	0.831273401845768	0.437535696407785	-0.264219466024291	0.0333876711602856	0.358374758307169	0.00532440399773244	-0.227736325056529	-0.287672421062127	0.0595339403926491	-0.0768815603970303	-0.148563341673092	0.342265805138215	-0.257539588640212	0.591948998753271	-0.255674966822231	0.0710155103433966	0.125426453086281	-0.366132965300803	0.00733278309562732	0.0924611114471775	-0.206734685256292	-0.364695627726896	0.47400226143415	0.12212492160006	0.384051266175468	0.325270532497993	0.261439734851111	0.326631316160668	0.484823607455821	-0.0456275357552005	0.11165762680255	0.217005997113497	0.314015902367359
CCR5	0.48212716900982	0.409215278104409	0.295133551911853	0.443664767663114	0.298303615880571	0.621629060464886	-0.210775152923791	0.416381407813987	1	0.307620050075456	0.522657934615248	0.406506974920872	0.504053089041748	0.684816361007708	0.631920920174443	0.570220121448567	0.347071967521649	0.434327235382146	0.132829190437589	0.515864697971423	0.292007284751979	-0.0926708956739629	0.306654003233263	0.0755577208330831	0.677288227307763	0.580300115314329	0.320277502651113	-0.285361996145963	-0.0422058244396535	0.440458634649539	0.509746131977947	0.398068020112828	0.342599597462929	-0.483817418936632	-0.194610367897023	0.386796472293199	0.420842375213938	-0.107230113621385	0.52274914602142	0.33260818609348	0.286895992386118	0.185829136775281	0.664161043407584	-0.345528383472934	0.479213632367228	0.20501975372649	0.112739876421754	-0.125461002439283	0.178748785356527	0.377190978519772	0.292441168235272	0.548398759073082	0.150946998808802	0.162300170451422	0.199689240240204	0.16770356718601	-0.314364371591715	-0.173750421180707	-0.0726303799723338	0.152776108272879	-0.0204910890944629	-0.141611942684415	0.167157964781024	-0.394583902276568	0.0444803006201244	0.0575218957054797	0.2148101074538	-0.368567235716593	0.0200315018199392	0.213562961072923	-0.323742788448074	0.215632576440873	0.390835739097776	0.0860791042222351	0.1268809495182	-0.423241535789677	0.0721885033091778	0.0702340538941113	-0.279976786252029	0.248125632063674	-0.171979222616792	0.000817372818975982	-0.357102293355707	-0.21515847910467	-0.2266100557235	-0.390337902644077	-0.345897387061844	-0.236180048263558	-0.271992784013905	-0.140819332751848	-0.0250095194631303	-0.402946360770582
CD247	0.951560176517217	0.794067108081199	0.953619190828718	0.936685541437735	0.768251241747902	0.831697609057781	0.387191438847616	0.189636301004295	0.307620050075456	1	0.834442695678735	0.966843602993763	0.772732554877664	0.686761285891645	0.825891006373898	0.157399038289767	0.707049849496086	0.552497189050623	0.22935579939638	0.794186206919472	0.781947350753567	-0.1596357914397	0.151549671455173	-0.296582418915126	0.391212460994227	0.746050798419071	0.660867065503775	-0.0221368281289765	0.0078522975971493	0.115881661382994	0.911707095423515	0.870116328447022	0.563826725330708	-0.56405210168574	0.455713846301987	0.70636102668192	0.668328611506425	0.264526424612443	0.766231946330289	0.885306761668213	-0.486438509735842	0.286254145848515	0.0923255226697905	-0.345610843780916	0.834309801207736	0.346550543656618	-0.286707577745432	-0.0170463928055846	0.634583864441823	0.40276179971012	0.501812331288217	0.595555401487614	-0.312400798261962	0.322498320914553	0.904485699066741	0.931017604963612	-0.837791781847241	0.178152854640279	0.241243021063784	0.243174391517346	0.27138178158265	0.49755517884248	0.587131636996264	-0.330333864367442	0.82771069856618	0.785124291200978	0.0901089914950244	-0.175299908686447	-0.62691510333923	0.141388428320382	-0.128622294656193	-0.549458527520242	0.826362314814263	-0.604272679390117	0.637186028491536	-0.538097957497816	-0.610344690530899	0.475745970685053	-0.627612867090853	-0.480775949305664	-0.736649843666886	-0.246957166265201	-0.073495018852106	-0.327224100223582	-0.716072150819209	-0.369726457753433	-0.388206192882149	-0.52276852279702	-0.0337103877903609	0.234251070577678	-0.687005519792719	-0.488865669406087
