""	PTPRZ1	NCL	NRCAM	EGFR	SDC1	BMPR1B	APLNR	SDC4	NTRK2	CAV1	CACNA1C	CD44	ITGA7	BOC	ITGA2	IGDCC4	PTPRF	NEO1	PLXNA4	DDR1	MET	GPC1	PLSCR4	SDC3	CD63	AQP1	FGFR2	FGFR1	SDC2	PTPRA	PLXNB2	GPC4	DAG1	ITGA6	NLGN1	MYLK	NRXN2	NTRK3	FZD3	EPHA5	LRP11	LRP1	RAMP1	LIFR	ROBO3	ITGB1	ROBO1	CDH11	LRP6	APLP1	NOTCH2	APLP2	LRP10	NCSTN	THY1	EPHA4	CD99L2	ITGAV	FGFRL1	NPTXR	EPHB4	TFRC	ITGA3	RHBDL2	BTN3A3	BMPR2	RPSA	NOTCH3	TNFRSF11B	GPR19	KREMEN1	NRP1	ITGA5	LRRN3	ACKR3	PTPRK	NRP2	ADAM23	PILRB	SELL	PODXL	RAMP3	MFAP3L	INSR	BTN3A2	LAMP1	AR	APP	EPHB1	NLGN2	DIP2A	VLDLR	PLXNA3	TNFRSF19	CCR10	SORT1	CNTNAP1	CD47	SLC16A1	PLSCR1	ITGB5	ABCA1	PLXNA2	MCFD2	CD81	ADCY8	RXRA	S1PR3	HMMR	ADCYAP1R1	ADORA2B	CANX	SORL1	TMEM67	ERBB2	LY96	ADCY9	TNFRSF21	FAS	ADORA1	TYRO3	TLR4	FZD6	AMFR	CADM1	EDNRA	ERAP1	HFE	TRAF2	LDLR	NLGN3	LGR4	DCBLD2	FAP	CNR1	EDNRB	BCAM	EPHB6	F2R	STX4	MTTP	ITGB8	IGF1R	ENG	SIRPA	ADAM22	ROBO2	NOTCH4	ITGA11	FZD8	RAMP2	RYK	BMPR1A	ANTXR1	FZD5	PLXNA1	PRTG	ATRN	ACVR1B	CD40	MGRN1	GPR37L1	GPR37	PVR	UNC5B	NECTIN2	CELSR1	MUC1	ACTR2	NOTCH1	PLXND1	PLAUR	IL17RC	VANGL2	SCARB1	FZD7	ROR1	SMAD3	TNFRSF12A	STX3	PTK7	P2RY6	CD74	RACK1	MILR1	TSPAN5	TRADD	AXL	VASN	CD46	IGF2R	S1PR1	TNFRSF1A	SMAP1	PLD2	ATP5F1B	FZD1	SLC40A1	C5AR1	CCR1	CXCR4	VSIR	TSPAN17	TNFRSF14	IFITM1	CD9	GPNMB	COLEC12	LPP	ITGB2	CD163	JMJD6	RIPK1	C1QBP	CLEC2D	CD4	MERTK	PTPRJ	TSPAN14	TNFRSF10B	IL6R	MRC2	STAB1	CD82	IL18BP	PTPRC	PLXDC2	RHBDF2	SLC1A5	TREM2	CD68
PTPRZ1	1	0.525893342578312	0.710700456672179	0.698332941142185	0.569107833484319	0.961143859932258	0.929874609406133	0.530154473833547	0.951398098715872	0.418178540061077	0.720603169693829	0.805087581288687	0.512113074529069	0.891009832444905	0.662076191067821	0.753296121267137	0.940489703111536	0.937628253097477	0.891303444665499	0.966768158954191	0.197557300419714	0.47538700610806	0.924333936097285	0.838772665453275	0.458712465177625	0.880712286804073	0.839412137482753	0.819528364802417	0.629881283294696	0.734669710058496	0.703050109126148	0.558928611742555	0.871750236756059	0.927070388987115	0.887769790208451	0.861006214547112	0.884999307611327	0.874480896375355	0.822241806269642	0.813328557564087	0.676290089828521	0.749390150855573	0.723059125425747	0.760107274300776	0.821699002589336	0.476257727215106	0.525108863844507	0.8249692628894	0.867871428499098	0.729574639692251	0.668407480146632	0.585073129295314	0.834397940005121	0.601039877266586	0.208639390434178	0.655358985337547	0.839327215437439	0.620955542754755	0.795756021235531	0.153036447642443	0.722978874092015	0.279708504231429	0.316721967949673	0.850317373603697	0.713909479390027	0.847859008615075	0.456603482913928	0.346375039883228	0.445677602519273	0.817173543598923	0.80431623493663	0.449961893892356	0.0891234290982329	0.559086495774104	0.894603121112146	0.391976021099474	0.424605831659175	0.950190386270876	0.673592890854112	0.670351727285844	0.914532495353433	0.909784109067553	0.804282902358304	0.637625868363138	0.438153296862196	0.530670597640976	0.927026483098493	0.752909139634212	0.31928311336396	0.857813022090869	0.665323507275001	0.313346820661191	0.727347281835129	0.762756428781074	0.814951963345263	0.860632715065526	0.897052752275603	0.222925587270734	0.456050044091612	0.630472778702323	0.62970536757805	0.709652880601127	0.459790854220858	0.543286812880539	0.777517295792815	0.882138511845825	0.798138500024845	0.744906505558626	0.446805515918463	0.913820856235696	0.57121191787213	0.685008179472693	0.80682774651194	0.823006285015887	0.897149099254703	0.168159235049411	0.775097963763956	0.846760736042313	0.847315176821913	0.894596637587739	0.754187785138341	0.319106721651758	0.789565668638797	0.735785869623555	0.844240030882481	0.881539968380166	0.681627291007432	0.510613861643257	0.411405123412512	0.747679973241568	0.916334182932646	0.624797910756713	0.187345022364088	0.295880685373321	0.865241452138145	0.898235359188757	0.503630334982002	0.810185910589358	0.875033521300663	0.308589021777461	0.707203011082498	0.79197265457054	0.209299501186345	0.298834953415254	0.523545115283208	0.764179830730692	0.879027944697976	0.789991240383284	0.766919028315543	0.777776787233667	0.747539064378764	0.66855525255048	0.910921248585515	0.93149568104932	0.739031894655822	0.36453238622651	0.393834857380641	0.537239384579069	0.622338300551777	0.32358953480448	0.625018244712946	0.911474983002705	0.888040098771364	0.49875901592462	0.755393803794586	0.3557000339272	0.796826046146574	0.596586107412955	0.480342446255844	0.491117952012097	0.297823304150562	0.182914373251557	0.686845061345172	0.927484552531522	0.0459931770466853	0.760886367655967	0.551233601304779	0.750165643444699	0.187029887705914	0.311237385418741	0.5769957412058	0.713588953510503	0.323231586572536	0.365185284436096	0.193436616272989	0.840996941344356	0.314578049804481	0.379213699039345	0.783110401182779	0.549530063873627	0.519065408504137	0.872187822157922	0.846504145335527	0.624222254373123	0.752793007635783	0.334296770552645	0.629387512311196	0.466053777843472	0.191828973522993	0.301699229291348	0.0231941070100714	0.045570702761131	0.470570531725607	0.369261599052027	0.281384835769137	0.853040157036111	0.0746079188654908	0.926633151954319	0.480033010892559	-0.159123191166202	-0.127581855211005	0.314747518816932	0.68635570941601	0.569136024301213	-0.117456438769097	-0.0807159174911069	-0.00642045488219482	0.0758729209523994	0.607875933513359	0.583942443714991	0.319758924311306	0.384958769250896	-0.0939000139197189	0.387778491089099	0.836982722738167	-0.304224975756982	0.509549247056944	0.033534009185531	0.0836827854638943	-0.111008619522493	-0.00450425750775453
NCL	0.525893342578312	1	0.900263007380188	0.900050439565435	0.831091674034134	0.549105395093255	0.426564425394584	0.94731381885897	0.55956855971444	0.928895151150084	0.776706488397834	0.899053290021049	0.751682435429839	0.532044219688811	0.707853292483935	0.84445900935877	0.690961355693576	0.49756268833114	0.37825517090375	0.630713670763004	0.810855981441804	0.882909621140416	0.401525983958011	0.697116074041201	0.972797855340663	0.449086030098721	0.579749399986791	0.851150287138848	0.934911943470455	0.898280488394429	0.857109320576063	0.88657348813501	0.812411382399048	0.459642423288053	0.706814624772892	0.741522265687815	0.381175674736322	0.590965450053206	0.828214747480834	0.717930807841988	0.924292098595976	0.783095731614147	0.874425720713649	0.878139473789791	0.599025485688124	0.905388829018834	0.86011487973428	0.83952125500314	0.77873319143512	0.874716460060262	0.866829440444835	0.926746082247783	0.863737876657936	0.932146286759628	0.895374581580975	0.904505521148351	0.857131713351626	0.890677665014714	0.68556995475203	0.540550101853377	0.860013562287138	0.873970497623935	0.84426527725441	0.67956349103707	0.743512896664666	0.815948952290188	0.982310179098916	0.688744574060519	0.549781965335932	0.746676739727849	0.734604963335435	0.891550311537658	0.766512733884551	0.743370935027682	0.369872226509115	0.830352859522606	0.966629045786868	0.485057648535061	0.842413081850913	0.843098636889731	0.585015804225615	0.297431429977278	0.739360836935699	0.627774443637479	0.827424291766121	0.968058602202888	0.525804816976936	0.925287450887352	0.884346573490625	0.79506281252233	0.7913997074248	0.871145612207318	0.821552347303931	0.85497133629811	0.371638333093677	0.820242439078869	0.511085090927768	0.898496390084109	0.924856269437742	0.808518020929667	0.713329289476857	0.808027714320201	0.838398402051664	0.978866100738587	0.82769402290359	0.595903966386293	0.760750529299043	0.910168659949478	0.795460232584451	0.317105536363629	0.890021050667166	0.958149457910412	0.612175445433444	0.809023395659588	0.659606719927054	0.848210395368092	0.769717216052206	0.61759016133841	0.831287480427644	0.709188724146365	0.816034971570736	0.656830390578924	0.831778569949755	0.893894455048852	0.760355955593977	0.435130516239736	0.850109035503262	0.892632476046089	0.926703771314014	0.802295147522281	0.44178266512083	0.86254678753544	0.829679622857277	0.85942260062618	0.492945289414153	0.631344598072445	0.716692837236832	0.347913169791162	0.684395009492146	0.923462408831349	0.853091189514545	0.847797119758915	0.829634861061757	0.717322420912573	0.903496762705248	0.486229832344034	0.519384752749549	0.619133171959681	0.621934920851517	0.604904837332017	0.47398688200269	0.939053266247183	0.698562360271224	0.580882176072242	0.769068779232445	0.780259671199596	0.832410272219538	0.940236300243315	0.78507568214187	0.895876970297468	0.915919876134038	0.646710854323791	0.462496195471217	0.863557521126695	0.719536077285093	0.918100619210392	0.789216249831584	0.874201441803427	0.91598188626175	0.822172171952765	0.847587690706179	0.747880326325613	0.874707387452791	0.533644025599285	0.818189234348187	0.823818914363724	0.900608731339731	0.834621300987742	0.889569871264871	0.896725380315945	0.893214120528198	0.692186274320681	0.511808217242025	0.96446006132051	0.840989596646493	0.783665019976856	0.914444479703107	0.697296570214077	0.806872034570396	0.942006081885647	0.929973840843632	0.539311511726808	0.865499636753908	0.956867330640767	0.617929378374476	0.954702121863727	0.866830236949377	0.574865379684213	0.368733123462555	0.548903083244903	0.730002036989474	0.45604514812426	0.942091671164779	0.891219218273167	0.545775549578252	0.86828724818031	0.757510550216925	0.415388568894964	0.877732958461262	0.175637714094508	0.155009968260285	0.922167586096332	0.90005274375706	0.973506029257217	0.115483782139212	0.248034270699892	0.218547069205151	0.525717261220244	0.868910204526243	0.903399597934007	0.715804737077343	0.880058004713559	0.149870552117798	0.816785872158982	0.753017310759262	0.0578645213908737	0.529130696034271	0.487037527400265	0.827396376666441	0.17194704243281	0.459689789606103
NRCAM	0.710700456672179	0.900263007380188	1	0.942927692912586	0.879071262447571	0.713057185755808	0.621682393423726	0.937825457533227	0.72090651097058	0.903770325437715	0.925631418205707	0.956829815407099	0.896473816363925	0.735971752964362	0.875829125611475	0.929826711401215	0.847920437428966	0.697848607044987	0.569194117287378	0.805441812087179	0.799958444452892	0.93682010987859	0.591735697654545	0.877459759124814	0.901758314717076	0.628306703177095	0.761149929720469	0.948963708354863	0.932853367898643	0.89469985792881	0.954543800325293	0.952437953789524	0.92916312916487	0.646082991855535	0.899248965188183	0.894678531796445	0.571143629266317	0.729538353608687	0.932395014663962	0.856510291725518	0.916598809824789	0.919129158809811	0.961053865525986	0.931267262438606	0.828584342062198	0.941175498815856	0.92388922050263	0.905666502078401	0.909597080764473	0.881044238178697	0.971976499635298	0.956194433577059	0.915560606569248	0.95234321029356	0.722832330944457	0.976876287150394	0.926445470011838	0.965629583447291	0.802624496742898	0.667747122892614	0.960028058567285	0.744935216041152	0.867120435983944	0.783145539622671	0.800277241709291	0.927080400797466	0.879182559552615	0.691509430274692	0.558944381942313	0.784596360266095	0.862651170619504	0.920756688300746	0.72683351771212	0.670905550847576	0.548097464990587	0.862071056770578	0.887740255008428	0.683148313394133	0.938251888549597	0.858812155878855	0.767167249985821	0.502200133531294	0.905295212863772	0.742635518991781	0.767478204004727	0.920511578573673	0.747099443924554	0.956643733193429	0.753175498178798	0.906928928633721	0.854433216474135	0.782614545378787	0.944129884573169	0.904742951464937	0.527890319365364	0.938622378782142	0.669586450249025	0.737695159802542	0.89815198683592	0.757276078529883	0.712821159195414	0.953506471790573	0.878504533194174	0.925345209300067	0.867260744396637	0.765172485731855	0.868801992177412	0.943033837506685	0.700063712303342	0.512247503762214	0.926404699733728	0.953175104747304	0.745832253576889	0.913764430121612	0.843185017558061	0.639103822808766	0.812430137076756	0.778335800152954	0.913339390334784	0.785483099794763	0.939549819731545	0.616252970514644	0.924999359071604	0.937430212417378	0.926705705829156	0.643179003191812	0.907256511808157	0.768040036283531	0.82127706141534	0.875453586753374	0.636036317029479	0.883486725774353	0.770384505049415	0.793669994720895	0.719326697063093	0.750354511438575	0.864032363297939	0.502119540386974	0.867096555948374	0.822974292598694	0.863927524213603	0.982699662143746	0.804068102341202	0.60036356382075	0.785690667541738	0.664503956536943	0.653709307306883	0.707383087026509	0.775171855802484	0.718756808018817	0.610539136421613	0.964058190241656	0.846362759015721	0.755202093335387	0.86705671806501	0.829082334250242	0.88910785433026	0.925949825278301	0.872187076850793	0.772366063760953	0.936897377634132	0.753516530914538	0.670832185726564	0.832079357134376	0.813547877488997	0.876473628663438	0.869214505821513	0.918508337990046	0.821026297847591	0.773291437799725	0.713754888355778	0.60266546212522	0.847336267726188	0.695696735385381	0.702841869728164	0.970478128797987	0.950586065301794	0.929863224992077	0.740396497653947	0.772495426430325	0.941039456828362	0.78707346575827	0.429533895042536	0.863635454669921	0.679072169629197	0.914748954415541	0.760439813518782	0.653842454866877	0.838066664469468	0.917011876425356	0.915325739196141	0.645613100867439	0.944507633804075	0.928008292315835	0.701803121967523	0.781576750728461	0.96293889132283	0.660799680130832	0.332626396756189	0.474153844716165	0.618503353158722	0.32293691775045	0.852637686420819	0.787855645357	0.422296210389851	0.92042902494869	0.527464241073745	0.60046392036742	0.932680860325735	-0.00354107660032234	0.0195105869020938	0.836596863142185	0.950125814969484	0.860636497308261	0.0950257789703103	0.111800602760761	0.13670039275228	0.438175343663855	0.890150545290006	0.939833253626035	0.664622247691149	0.866725357666867	0.0404019609165717	0.873797779946117	0.843407997258152	-0.108309403439499	0.533492850510639	0.38281132305969	0.689339897492436	0.0133696848550118	0.337828669528787
EGFR	0.698332941142185	0.900050439565435	0.942927692912586	1	0.879176234496334	0.739612804090035	0.588351163479115	0.915891554187846	0.739033070462518	0.840753230521016	0.902439947322043	0.949049033947241	0.780326486013275	0.708145727596066	0.820875777370019	0.922842265641833	0.855164624748893	0.681751844757325	0.564621753819733	0.801509471696243	0.7049662134518	0.866164532819288	0.574510392969084	0.825110600744087	0.865466531138424	0.639735015199197	0.740072243351029	0.941132606500284	0.936617753124559	0.929232644612373	0.905146911847142	0.889438196106497	0.924314434808554	0.640147393794704	0.852750269333446	0.870231427561588	0.578472277141821	0.733028574437941	0.943695742654432	0.836733915082685	0.946939414739148	0.844785899795273	0.890563315181167	0.959992890472789	0.739567777069657	0.868436776195781	0.867207841326482	0.928196209833397	0.892958845042216	0.929740326250948	0.914664627578764	0.907510045675753	0.928015185775342	0.923976406244589	0.75101847893399	0.944596548898772	0.917725839310923	0.893878546994941	0.762422161079848	0.510957898315444	0.931894218528843	0.76335060635174	0.797489085945521	0.799965637007886	0.811577877910669	0.918180594424148	0.862630709066904	0.690261934525152	0.536005399217719	0.855186188818822	0.870875560118939	0.846208751111085	0.646225224234532	0.724640833017748	0.600431059945931	0.840029569807217	0.893129834585042	0.667736456016416	0.931920598346734	0.891802934107592	0.732388471712163	0.482963666154004	0.82099868019101	0.763961451887308	0.780996770933525	0.923630608805174	0.701523097935531	0.955243397605911	0.80176529005383	0.909801155350882	0.868306467161328	0.823214676181717	0.925640647451699	0.893245123990971	0.567016233123962	0.928275286928835	0.664900365183647	0.780267091728736	0.902826104735988	0.775443556180243	0.765764945670338	0.897675227546677	0.839681136918856	0.937139879233881	0.838109554630544	0.736575751976604	0.862296210146496	0.960800197306672	0.748061624620896	0.498063763775664	0.906963685057263	0.966309729749195	0.719471137879404	0.91144834683942	0.807703234951	0.704724800511033	0.856388855883109	0.751718265224897	0.913139829348716	0.820690535727443	0.891925561032929	0.607027853400983	0.939106028589331	0.935693508721116	0.881705985940794	0.602591624872491	0.907857769441345	0.805379252208375	0.857128370631919	0.846614179894109	0.624453380997248	0.896603561797078	0.721034361842799	0.794194249981677	0.667995445236906	0.788935471062543	0.748052057888107	0.49615491004754	0.79437761456375	0.813228793605165	0.920162721657226	0.927391088930726	0.758297461637776	0.57966611078808	0.813148150901887	0.695299808825166	0.69555535724374	0.760749938050295	0.794073223054747	0.731645877612621	0.649571362123324	0.959724228577821	0.847618168373437	0.732059010710279	0.848978710744783	0.782372260697246	0.837706830192838	0.925197559658799	0.811075619157721	0.819234795193865	0.932049509397833	0.809847373093095	0.60830065231254	0.842569908585201	0.793368352052924	0.829120332691026	0.885949403593197	0.889882380916066	0.81321522117584	0.7752263645761	0.770211827884628	0.575975490532942	0.865947189051638	0.712405838722566	0.660494511018659	0.922288625081483	0.883762891039713	0.88900727807157	0.738657112337038	0.832251372533273	0.911221338740779	0.672364755361775	0.431127457595913	0.826247600860697	0.693559882277916	0.89934217657618	0.786279931726702	0.627632333058097	0.884643069543353	0.910597845808751	0.939928101176596	0.666697257761884	0.928036055824831	0.932535094509119	0.698811243423945	0.813384278732025	0.898161248006166	0.566106621899486	0.330007398975263	0.480783470660763	0.603079218684264	0.290803432199931	0.863471765936825	0.817445160305591	0.478140716044852	0.914080138575046	0.632419183455461	0.593796804981245	0.876548377088116	-0.0123280516259133	0.0118058451369814	0.830302777601637	0.938688292791792	0.889867513915059	0.0768325715699478	0.0977185966018461	0.13673452459102	0.410944976639967	0.881371652253595	0.900352871471398	0.639342513085493	0.861290632826165	0.0354411045690268	0.787301390315075	0.866465741370495	-0.118121939395285	0.541180202634274	0.361577727167089	0.690150009621835	0.0111068831121624	0.306180652118833
SDC1	0.569107833484319	0.831091674034134	0.879071262447571	0.879176234496334	1	0.626520040794043	0.524342891961884	0.872939809791978	0.681389297206208	0.84117413165186	0.788788318457565	0.84807283457343	0.862895184659232	0.701515834332352	0.914717454967551	0.871905914093573	0.751727741961013	0.617479898202581	0.541448410735509	0.717186243869815	0.755688823664908	0.866646831768375	0.519126268139412	0.847159390870154	0.826761372419618	0.643696574549869	0.67038141236933	0.862746004306892	0.790859708225779	0.838254161630911	0.875349074345272	0.844395293855957	0.865278396046008	0.591979595245397	0.814865605525126	0.841520214772908	0.555699281590377	0.687439947361018	0.828121448154041	0.678597188940284	0.879059517620328	0.802116428938282	0.892493397190929	0.840443845921256	0.713919079503038	0.842588829878485	0.871885305574484	0.799393268514764	0.824359519932031	0.831797786659655	0.867589817389583	0.901534655847091	0.815147018652883	0.880565373935016	0.666230732681418	0.894590534722268	0.825766755786003	0.88271149979175	0.748048815042656	0.549271817838023	0.92319435138055	0.67086077696872	0.84632907665716	0.69547430169818	0.796979421968553	0.850126889876063	0.840491617828144	0.609281795445686	0.500234718444193	0.752090522845895	0.872664925911743	0.842597150227972	0.686264252598126	0.581085955362187	0.538126521686053	0.82493424123537	0.829670032179246	0.602011780501141	0.850231148591921	0.795304071605891	0.701774127999207	0.424418950903988	0.783628500656497	0.796620638489503	0.760654118759647	0.816505126748552	0.679957857850389	0.84782782218585	0.668972680335583	0.834839217192047	0.785067472925859	0.709011133600469	0.865451166696256	0.769527226772609	0.59161517726729	0.846804195855459	0.592135268790472	0.676333973546588	0.835704821776417	0.702063106554984	0.57029702070649	0.838123250644402	0.866943599051364	0.867938059751071	0.7801111418367	0.623586239266737	0.862939197104689	0.865920882883202	0.62157422158162	0.429775897363693	0.912148514782716	0.876671892679057	0.669953520844514	0.854696009633175	0.75843922832594	0.59498464615856	0.81381711953699	0.673500879365294	0.798176312217194	0.666546929555076	0.859269656138025	0.566531416204381	0.888569304103289	0.818253413230932	0.817298075121401	0.58833262213808	0.870485396816576	0.644197440458084	0.776872589098129	0.777049780229717	0.584691176056854	0.814614447994449	0.799440731849346	0.713961208884482	0.624042908749901	0.693463680043375	0.78781074490695	0.502497654918187	0.762770296644525	0.72770312776429	0.785781291325316	0.855166397084333	0.709300515187908	0.558037246360283	0.685496811180454	0.743343285930383	0.580705919070918	0.683596595894802	0.790052227378056	0.707082518310084	0.729610285133071	0.877656072271665	0.773107424279039	0.670013236304089	0.804958816931549	0.882449201374397	0.794391440714026	0.861103199610494	0.755037578915688	0.706018523125359	0.876235810578118	0.699298189299935	0.57085399823661	0.702139969242158	0.717566328573807	0.796109681514403	0.78620425007081	0.797886304190881	0.791196331222742	0.732119344738253	0.652202681498003	0.564623488970007	0.742509071597844	0.549965543527984	0.644277477484668	0.867073694779906	0.872922820393755	0.898949536778578	0.66713324252449	0.697662683139905	0.845363212488089	0.698582385183852	0.396207009655113	0.807607820295509	0.677544806796886	0.859585448650345	0.67507549875617	0.615438332424966	0.771379260775819	0.833241385372316	0.893380950681562	0.5310476014589	0.848248046618202	0.827130290116651	0.622657373747842	0.720279528342259	0.918458247824012	0.579546190974289	0.296030380992199	0.485180764149337	0.579933682827971	0.277620469686339	0.790838302912475	0.715707886439269	0.321332291885157	0.81889043826187	0.456618412252569	0.537188198946795	0.802352952469385	0.0153330798078168	0.0143208560857043	0.788596965147622	0.867300894247838	0.789139629232033	0.138848616070484	0.106211793512665	0.124584555023833	0.395208169013348	0.82033972715893	0.907048983292726	0.646155387641342	0.749563371825199	0.030572897652896	0.880496627649185	0.806564832036117	-0.0603727642128888	0.467160203686625	0.365583168196762	0.640174793027091	0.00931776783425934	0.297476681785682
BMPR1B	0.961143859932258	0.549105395093255	0.713057185755808	0.739612804090035	0.626520040794043	1	0.912280361114817	0.541442296507643	0.972900019709864	0.417785459788271	0.733063713601649	0.82271369091583	0.499074165133994	0.91130487047051	0.680521127940497	0.781872346161815	0.945398309583437	0.923797722079344	0.901343162022735	0.956922529528405	0.187794646351929	0.477372856677583	0.89763955709564	0.842800597560795	0.46719900601037	0.859643386014631	0.855530406055332	0.851313691556776	0.648138454763905	0.771562654877104	0.71697715207252	0.552720173787318	0.891101239695951	0.930371192672999	0.882306382686797	0.872771650660307	0.878616792178121	0.898311178538349	0.842738801662633	0.79435032980152	0.719089449879353	0.728853046129699	0.700310071209703	0.798637607861794	0.78250025399014	0.483041118144592	0.54293579038758	0.86170424760497	0.855167020632185	0.790061229439395	0.680978537673309	0.601614798376311	0.868443089526079	0.624764719867136	0.243488711622709	0.677751141286226	0.841645896482609	0.639022520783559	0.834081123041269	0.104829329685347	0.753759892160157	0.332074684525675	0.32290025633637	0.80690715697378	0.77785284126577	0.870780214053957	0.485414746474948	0.367171985317354	0.496524753493272	0.867658573314412	0.868871029473415	0.456388446980241	0.0935467763129892	0.590026048168342	0.894631126024055	0.405999345135228	0.457250819693217	0.944029961061299	0.705099426505946	0.721890470027579	0.917913903732148	0.864727117418274	0.798054176193734	0.703718476043161	0.491024084636026	0.564515177261308	0.911871699505192	0.773871844094629	0.367152698639757	0.879671255270194	0.708196664524769	0.373976961169936	0.7581492320965	0.77555234774046	0.838237317698577	0.876217908168787	0.892940734978396	0.281754846316681	0.486605349690119	0.695479257537864	0.676035100499786	0.714716894268511	0.480814630706059	0.577896075916869	0.792125306071919	0.868332548562148	0.848916607813213	0.772924962458518	0.479197765009522	0.869828781380871	0.612501272985186	0.718268432120465	0.832538825025253	0.836398868566693	0.866577647386304	0.246648318007329	0.837732704864221	0.873927173854272	0.858443776776107	0.900952483974654	0.746478655546634	0.382191937763095	0.830880371682726	0.769150982292712	0.842561059445444	0.869078210660559	0.727075246818499	0.509862670499752	0.472916887762471	0.743830467109255	0.897687500274741	0.648904971370228	0.198583838841085	0.31145560114327	0.865327369656561	0.923266140882552	0.472130471922257	0.821549052271483	0.85821066104423	0.350873272283663	0.763363822463373	0.783025689472744	0.238024092577314	0.346691479222047	0.579547501168409	0.830844779311924	0.891852165638882	0.803690482958563	0.802577390649153	0.823007074237285	0.801325758462703	0.698310170372598	0.930216620325169	0.929964710408277	0.766912739901594	0.406485642512395	0.409780533138867	0.577295438373638	0.631113107630653	0.349567482004102	0.683155892391854	0.925784793179919	0.867958639897599	0.515638747064871	0.784439444103563	0.366146481678878	0.82698985886952	0.61533956527389	0.535274482568244	0.553382255350383	0.38243877583802	0.226997790733099	0.71790200973861	0.8951943958572	0.072191843500567	0.765053542112274	0.540893631382951	0.764628650090056	0.213784666634431	0.384469433544734	0.596066629573136	0.69319166488025	0.393576503291687	0.385178477992061	0.258095207539137	0.862122413198227	0.357322669010587	0.42105457466511	0.832603948368816	0.595175332919715	0.583697373180543	0.899593673563028	0.859102233242368	0.658634576224502	0.761966797953197	0.375089045294204	0.646539620851412	0.469485772234047	0.237865945388428	0.390403745566296	0.0834320910303622	0.0873382072653323	0.51371153349636	0.440841394788745	0.312985447165014	0.850641282974829	0.149952089113833	0.924759820930054	0.488914914222445	-0.0998914460510144	-0.067943449711068	0.359355554184339	0.72900283661863	0.599444408677286	-0.0483655941344777	-0.0176710548913438	0.0609725599264034	0.128746568600762	0.661019289518545	0.617559680567696	0.390300674200998	0.403317854593224	-0.0293289999760169	0.406358046338525	0.879721060405641	-0.221292152867781	0.57601702815152	0.104325919374278	0.112863589001927	-0.0563193025334796	0.0398876412362878
