""	ITGA4	CD2	KLRD1	CD3G	CD3D	LAG3	CD8B	PTGDR	CD8A	CCR5	CD247	S1PR4	IFITM1	CD44	CD69	CD47	PTPRC	IL2RG	CXCR4	PTGER4	SIGIRR	CXCR3	ADGRE5	CXCR6	CD6	TSPAN5	F2R	ITGB1	CD46	C1QBP	ITGAL	SORL1	ICOS	NOTCH1	TNFRSF1B	TNFRSF14	CLEC2D	ITGAX	TFRC	CD81	SPN	ITGB2	IGF2R	HLA.DPB1	TRADD	SIRPG	SLC16A7	ADRB2	LAIR1	PDCD1	TNFRSF1A	ADCY7	SLC1A5	HAVCR2	ATP5F1B	PTGER2	PLXDC2	TSPAN14	KLRB1	RHBDF2	SMAP1	JMJD6	STX4	RACK1	VSIR	CRTAM	CD74	LPP	TMIGD3	RPSA	PTPRA	CD63	LRP10	CANX	LAMP1	APLP2
ITGA4	1	0.956011516311179	0.957004677009698	0.933297386127328	0.816918468679974	0.960335846268547	0.905221284772547	0.862373702807413	0.930097535481111	0.77719327081077	0.860157608436452	0.828568656568631	0.952894466932126	0.915727625601369	0.942912412457553	0.947171752585509	0.95104391937278	0.929734240339364	0.904059123931733	0.931104362487021	0.747318479869155	0.809742685519644	0.918082284255377	0.892733223572798	0.713012782537814	0.96041034639488	0.932950037889513	0.954662641605071	0.765617536206688	0.909168779432396	0.924986799819831	-0.782661210227469	0.776486374408013	0.388336136510446	0.772914150863599	0.941327420577638	0.906049627733669	-0.809885417742343	-0.470863531516699	0.48038990805507	0.836608165838949	0.774540417612043	0.659286590640067	0.821065815613812	0.671970374821924	0.872882048079846	0.81968334736775	-0.00147391394171705	0.130848376659567	0.689480639846295	0.874288997539504	-0.106049441357808	0.132761080367743	-0.209224809453427	0.891488243396842	0.855482728448165	-0.62363707482181	-0.18969565687888	0.893847228967552	-0.731103803956579	0.711360340064079	0.422331771488706	0.51835144308413	0.90972968151467	-0.0823844170636179	0.942758595670092	-0.251258977978513	-0.0961891295389319	-0.541999349292385	0.921366997837261	0.628815498738541	0.84256715659054	0.833347260818456	-0.157500110210809	0.505046332999525	-0.0729878071372221
CD2	0.956011516311179	1	0.902011763268954	0.97661968371932	0.936807331830309	0.913603479464699	0.94976160616468	0.944666510110409	0.963002545158109	0.745960806302663	0.945254086494775	0.923850989335576	0.968467033407703	0.941521524672375	0.985508722461783	0.887686488665799	0.908372729153777	0.977784372761364	0.978373356629717	0.900212100910018	0.846198830202209	0.916908464629716	0.978871467748933	0.87487160896268	0.768861557717109	0.959177808776577	0.915770629798163	0.900731779480625	0.837400780171266	0.935429070906557	0.961999443620834	-0.833869624051908	0.850397892851342	0.401642600212177	0.737950020210368	0.904574784443812	0.832096197632942	-0.88081350835914	-0.427061581945535	0.58209233148721	0.712640687356635	0.796790972135919	0.51039612325563	0.901205388607805	0.815777830859638	0.95585429051741	0.904073852293429	-0.165918771381639	0.0207099031335314	0.795283811403222	0.82300486886451	-0.24080195023835	0.18781819013589	-0.270130936401242	0.928036217568305	0.871721973727811	-0.694666543831153	-0.325164007070675	0.843718733108553	-0.802422835875546	0.85417174998666	0.504544340249587	0.440219686805212	0.980757781826613	-0.0669659226973718	0.974332142550658	-0.283292879559295	-0.21285052609867	-0.579312162715991	0.980349712037167	0.479540061571368	0.894695321505364	0.886862041159922	-0.244514870033995	0.547934430125005	-0.147428705502892
KLRD1	0.957004677009698	0.902011763268954	1	0.887562054603675	0.733016445885669	0.903860194516747	0.84730777269375	0.764979390216587	0.881590623605778	0.618741028939324	0.769751045065665	0.762666540042628	0.915893667930809	0.81057018984224	0.91901811664243	0.987208560497854	0.882333162818882	0.886107472692392	0.856148598972274	0.963047057770836	0.613206933473875	0.725910399756355	0.83255998804889	0.918047868138239	0.502810695134054	0.924047825457774	0.856320146880471	0.975393532224852	0.646359469195037	0.889840417004839	0.840277232950455	-0.692450955391703	0.687596126641636	0.283872096876395	0.737520265691332	0.917080834255314	0.941171710048772	-0.719415711819011	-0.469785477831813	0.421746327757014	0.829497634646882	0.775032182256093	0.622882648551925	0.756019152320847	0.553254742422921	0.785453424076445	0.717921060229653	-0.0621565204020221	0.249723768641063	0.609082230985506	0.833948952602351	-0.218198298889059	0.15847542968627	-0.120212098463868	0.851325137006154	0.82735302682457	-0.552039649105125	-0.0964512281732337	0.930547838678516	-0.645528619385877	0.610316482579967	0.474736163250432	0.54121014887488	0.856566911630959	-0.112093716025777	0.870929472015805	-0.254582550118568	0.0534315714479437	-0.505761337666636	0.868368075283868	0.660881117110246	0.812375148236746	0.741885044503453	-0.13054034236557	0.399617229226321	-0.00716345485635259
CD3G	0.933297386127328	0.97661968371932	0.887562054603675	1	0.954169783068044	0.909650109735996	0.985789526725506	0.904271059063695	0.991250904770877	0.657604563649414	0.919630493089558	0.886526938500469	0.987075615717862	0.950157893047394	0.987692623432544	0.868469774719814	0.868128345080696	0.932794319308889	0.96814187125803	0.899627475678287	0.868827979491714	0.940736241262348	0.929378523910844	0.831213385530482	0.723469131515008	0.949906910640998	0.864472482376298	0.902259097337998	0.872350082920671	0.945043513837915	0.921627743795603	-0.78205339620573	0.919364153816313	0.249248500228521	0.747122459611655	0.927118058077817	0.833948275157547	-0.830192033482379	-0.377146322907101	0.613715704669334	0.717317328921502	0.773956805556726	0.473878740480512	0.943536250403754	0.837944446610588	0.938418872711239	0.842896687100292	-0.152344560484128	0.0595294034921938	0.705987977042943	0.840047049317215	-0.215076255637226	0.246914325068125	-0.206980592650642	0.888612471416989	0.918226201718895	-0.653138547176031	-0.30339609484844	0.794492501006438	-0.743794568853787	0.8053421456952	0.530337941618474	0.44729963227566	0.987276602547655	0.0280762659438732	0.971208871528666	-0.245893318489095	-0.219759683507882	-0.531760399003844	0.992418847426314	0.420845405107742	0.913333232619016	0.868990434906703	-0.238742027523713	0.495437407407879	-0.143032436507638
CD3D	0.816918468679974	0.936807331830309	0.733016445885669	0.954169783068044	1	0.799968073921693	0.944922614572319	0.933365126082328	0.932236108772388	0.614904506535879	0.941684121980628	0.908752384995202	0.91730973697565	0.91153174239036	0.935837621380156	0.711204451662426	0.767650246571957	0.906535661460207	0.959788237046362	0.763471862415423	0.929917199686412	0.975090685048527	0.927159140016715	0.733405931450659	0.785747857589918	0.861824151702102	0.791293778743876	0.753118451432146	0.894422850816277	0.883144405802715	0.888177771775046	-0.785987937051763	0.922777764378997	0.271879186446939	0.647886026063563	0.810883274576355	0.669454957854368	-0.848314091554353	-0.300714790072112	0.679712792894623	0.529970879729503	0.724657305463482	0.311270215046218	0.947794441609909	0.934437564958402	0.959634834458018	0.880825616522007	-0.252560533574844	-0.092367502665102	0.759079025485761	0.728863582399406	-0.285410241569225	0.267271171935159	-0.27025498741118	0.850237093998874	0.837193062803863	-0.678873587060679	-0.450319928456478	0.661640767894511	-0.767349078056954	0.901866842525343	0.515541932213937	0.335003204180532	0.974890906068189	0.0496286445511602	0.930973112000156	-0.241736841211499	-0.370379595218616	-0.515619866918521	0.968503453222532	0.220045568063507	0.885919965384366	0.860765835357275	-0.310876553127685	0.519501594185327	-0.226531023442657
LAG3	0.960335846268547	0.913603479464699	0.903860194516747	0.909650109735996	0.799968073921693	1	0.877544370417993	0.829244525995046	0.918924196052895	0.777495412688958	0.779275774188065	0.739155041872262	0.908611666081885	0.876599020706318	0.910548800337722	0.902760056558282	0.912929283744032	0.867251024649725	0.853516954356882	0.887485716466487	0.71908397024646	0.795762741217232	0.863616468941392	0.889379259510903	0.71317613043118	0.93975514649383	0.945293799816824	0.928401459731003	0.759773702051894	0.881860486672715	0.853095631362878	-0.773193629140004	0.748952467479124	0.316680764976706	0.683505189830459	0.902479760685225	0.900096040032311	-0.779874602626582	-0.50038963097491	0.485534171722043	0.822352452755915	0.75199477424105	0.583493751035867	0.825409320848033	0.609082777627239	0.865126236922936	0.75262426726413	0.0971522693427818	0.142974322042774	0.681792622304849	0.834235566448063	-0.0424982482973011	0.17511829938136	-0.198049930803777	0.843351478197579	0.889711657253286	-0.599502629113482	-0.156864705312363	0.785689890890114	-0.707203164174229	0.647094442506213	0.334180198129426	0.535104546089498	0.877130452366541	-0.103299377424477	0.940272091200226	-0.228607799843203	-0.185680969406905	-0.507473871334313	0.892091583771589	0.578699615646711	0.802841817314133	0.837469463209899	-0.169827173927596	0.47192057056604	-0.114622633820273
CD8B	0.905221284772547	0.94976160616468	0.84730777269375	0.985789526725506	0.944922614572319	0.877544370417993	1	0.863943991912105	0.986532263409658	0.617157433402537	0.919339658925604	0.867713907787479	0.981920582764394	0.961995500986028	0.954346408134107	0.830921166378661	0.828774864550013	0.900306211425585	0.944977831210375	0.8522496552217	0.883904442270019	0.934637370120296	0.896772364440665	0.750574727383589	0.727340380502887	0.918033962992159	0.831324201485358	0.862704828069139	0.868648020541583	0.914019632449766	0.896708400046263	-0.758961740014945	0.959451655102067	0.210273967824893	0.741879007365301	0.929555386643679	0.776939810659368	-0.811329710171381	-0.321919763815506	0.602955338814954	0.690423849590069	0.709001443016553	0.482372347900407	0.932213556690523	0.849265074382514	0.899699636134243	0.794284418722137	-0.184907575285912	0.027171630137443	0.61639717739275	0.855354211937626	-0.198210887781904	0.237103245083356	-0.213397024522027	0.853634732605365	0.895774902747469	-0.647165101722927	-0.31275921655473	0.769525766384354	-0.721134243318879	0.775206588562318	0.528201539914496	0.414439301657603	0.969043303030327	0.072574562728645	0.948941825300767	-0.24194729144085	-0.211752233681633	-0.525987577678038	0.978008370458443	0.396525342636598	0.890265905499753	0.846060610594964	-0.236975991261437	0.498444830803957	-0.153359404134616
PTGDR	0.862373702807413	0.944666510110409	0.764979390216587	0.904271059063695	0.933365126082328	0.829244525995046	0.863943991912105	1	0.871940746583247	0.742475879804427	0.927295419084759	0.891245688281019	0.879537879132734	0.877331185258197	0.915993779297352	0.752474925556599	0.850151814498043	0.946753233852461	0.933404215578311	0.781516277112925	0.855634004505465	0.929629366263558	0.970613937830342	0.830596218997328	0.825672195751566	0.884745498455063	0.876206024949607	0.772015005068473	0.817469135798847	0.892633392604675	0.918627868962938	-0.837849835846991	0.784083214672823	0.473536773423978	0.605707320543572	0.755237379384113	0.735205844991343	-0.895119143596153	-0.383860155507943	0.627450607531151	0.587223305118627	0.784512266815527	0.408785667313751	0.871832428535064	0.859366222728284	0.968609325881487	0.967244877791237	-0.18084279504398	-0.0866124858708991	0.882990712785349	0.691581749033858	-0.252972962678822	0.162981205870455	-0.3278437437257	0.89714019474194	0.776538306887704	-0.702898243766912	-0.442652409209419	0.704762583426116	-0.80843381221595	0.930175766371197	0.392715965978603	0.31866961746914	0.934964010375434	-0.0917382681197568	0.918944368081797	-0.266310733041798	-0.371990635733629	-0.551189608076957	0.923403359696822	0.310416667865412	0.858262898317099	0.847670466530192	-0.28819876962641	0.600997074903829	-0.230845021509237
CD8A	0.930097535481111	0.963002545158109	0.881590623605778	0.991250904770877	0.932236108772388	0.918924196052895	0.986532263409658	0.871940746583247	1	0.670270356705756	0.890091283077825	0.850787436004342	0.977246528940169	0.953436533484835	0.970406542227011	0.867068890012632	0.869037032294093	0.898971231917882	0.939357177830235	0.898097310149565	0.843675484597137	0.92495483425557	0.901851589686789	0.802519620062979	0.710362800843524	0.95317680103686	0.870871955726196	0.906663931469431	0.865432507310932	0.933332973981136	0.91216215904865	-0.764134729226026	0.920200988095902	0.242550412189414	0.746331312107493	0.927943130384458	0.83908829511099	-0.807199763192983	-0.375436805007489	0.59021577087893	0.749966873010407	0.752080796912136	0.481214858774718	0.93506684674699	0.801694474486118	0.90701031090803	0.799805829108599	-0.122329153638074	0.0852850239628315	0.677855762912124	0.84618586330873	-0.151498669144879	0.243892727108003	-0.195126618101336	0.874160450323752	0.944989929685785	-0.63360164641428	-0.242071783914398	0.768787099502352	-0.722163969823472	0.755292641545477	0.524820651509343	0.439715813276722	0.966348567698379	0.0412436037209996	0.960318432149296	-0.235649206526605	-0.199078851661121	-0.52197404962245	0.974590043908829	0.455224065254586	0.89254583330299	0.870577047569408	-0.210022425080065	0.508581485215362	-0.124624846395139
CCR5	0.77719327081077	0.745960806302663	0.618741028939324	0.657604563649414	0.614904506535879	0.777495412688958	0.617157433402537	0.742475879804427	0.670270356705756	1	0.702350805941637	0.693346262907455	0.654721025193812	0.75668683520696	0.664879474998116	0.606269297057473	0.80905036747296	0.704701533912515	0.666469053838083	0.592991413390362	0.640769774992247	0.593068028098891	0.784822529805484	0.636453840570774	0.861894285912857	0.724660254851308	0.830539207091202	0.627282814482642	0.658305612567573	0.587485530708972	0.797853067644403	-0.741738906460555	0.529617095267698	0.638074019010437	0.609902704336725	0.634836404951114	0.585129491802109	-0.729355167666356	-0.46078826282831	0.267738131521899	0.629879655958914	0.522757522090074	0.500134785840388	0.561306134540795	0.530634446308253	0.729338491558567	0.756247368632743	0.167112713309365	-0.124747691379768	0.733769417303069	0.586263887036932	0.196114733696314	-0.0727125670755945	-0.389834469863647	0.669876886607725	0.606548645955111	-0.575075094754718	-0.213652472410177	0.606697201538689	-0.710324859276986	0.610578932755401	0.167671830469797	0.33074356345951	0.655012641888004	-0.19800796718585	0.751421325629566	-0.248128238711233	-0.290686128680283	-0.518354532875524	0.661037103459391	0.5216505746959	0.52965217867438	0.731544701054491	-0.119842030989932	0.511004749941368	-0.148935417658426
