""	ITGA4	CD2	KLRD1	CD3G	CD3D	LAG3	CD8B	PTGDR	CD8A	CCR5	CD247	S1PR4	IFITM1	CD44	CD69	CD47	PTPRC	IL2RG	CXCR4	PTGER4	SIGIRR	CXCR3	ADGRE5	CXCR6	CD6	TSPAN5	F2R	ITGB1	CD46	C1QBP	ITGAL	SORL1	ICOS	NOTCH1	TNFRSF1B	TNFRSF14	CLEC2D	ITGAX	TFRC	CD81	SPN	ITGB2	IGF2R	HLA.DPB1	TRADD	SIRPG	SLC16A7	ADRB2	LAIR1	PDCD1	TNFRSF1A	ADCY7	SLC1A5	HAVCR2	ATP5F1B	PTGER2	PLXDC2	TSPAN14	KLRB1	RHBDF2	SMAP1	JMJD6	STX4	RACK1	VSIR	CRTAM	CD74	LPP	TMIGD3	RPSA	PTPRA	CD63	LRP10	CANX	LAMP1	APLP2
CD247	0.860157608436452	0.945254086494775	0.769751045065665	0.919630493089558	0.941684121980628	0.779275774188065	0.919339658925604	0.927295419084759	0.890091283077825	0.702350805941637	1	0.972960783303792	0.923869933856527	0.931475013252083	0.912216276655789	0.740653408550848	0.799428555443386	0.950424202868056	0.963158830753381	0.742627527817869	0.930512985068772	0.908938273239003	0.96225462804716	0.72360055138703	0.842563758645278	0.843753536697862	0.810261347539184	0.742350014044257	0.843612034871712	0.832773588549159	0.92701036714274	-0.827617688776469	0.885990732585935	0.411727520314048	0.724031947515178	0.838881101359938	0.633127797380078	-0.890387380131236	-0.318259578251996	0.568036837314362	0.538701681920893	0.670558522893936	0.451085523020785	0.851085244233403	0.915902086435548	0.931081058548372	0.912933677975979	-0.286918936569228	-0.163039444216117	0.719461760701664	0.767826423865436	-0.281404538730488	0.121587412903076	-0.36106909394654	0.851385602911691	0.723606003296353	-0.727752970668824	-0.496942362470672	0.801503549392938	-0.819204035733867	0.910621728078539	0.492595168589812	0.33659470254931	0.950102247887548	-0.0317804191040053	0.920922547743247	-0.308033761744888	-0.29124404618425	-0.596696934291578	0.947251203662841	0.329685641733409	0.834747068403423	0.822053512886502	-0.296515900021864	0.52749303024425	-0.222942521814794
S1PR4	0.828568656568631	0.923850989335576	0.762666540042628	0.886526938500469	0.908752384995202	0.739155041872262	0.867713907787479	0.891245688281019	0.850787436004342	0.693346262907455	0.972960783303792	1	0.886148390946082	0.864514917538619	0.900114810954145	0.712659500876029	0.752521442878956	0.931661195572079	0.953259393306166	0.731241261172906	0.905251077492359	0.844304783114613	0.938691512000237	0.727899259161975	0.789876860485276	0.792397172827848	0.752255225589485	0.720412995655673	0.810232374998028	0.773965587323468	0.900856156947554	-0.812668161274931	0.829813522313348	0.398693711403357	0.720960242906714	0.798532436953228	0.602199329768759	-0.870612387270839	-0.380966786491434	0.500927428997172	0.464272982975874	0.640798082955129	0.370899846306543	0.799405159280453	0.88315677283006	0.903260753440417	0.909351980509366	-0.301211486997722	-0.207001220753146	0.74263065113442	0.703428796456598	-0.303909764365649	0.0812934358689357	-0.383502336700865	0.809622359509123	0.67371944662251	-0.730484747841819	-0.510244616344808	0.81341667392274	-0.826391180052551	0.898165333187448	0.518488444947909	0.353672310506648	0.922086280652589	-0.0893945385684824	0.90162858007551	-0.353572841472195	-0.290876745214431	-0.614765766395634	0.915752568856042	0.29393102313646	0.787205266545398	0.774315018308388	-0.343983624846624	0.414749329045345	-0.247152388735741
IFITM1	0.952894466932126	0.968467033407703	0.915893667930809	0.987075615717862	0.91730973697565	0.908611666081885	0.981920582764394	0.879537879132734	0.977246528940169	0.654721025193812	0.923869933856527	0.886148390946082	1	0.950285348230447	0.975275841376497	0.894108132209448	0.873484153126958	0.936408890489448	0.959685497865581	0.902549926381334	0.856682897321387	0.904449582433428	0.920604708665144	0.830695160389641	0.71272238520395	0.941508929093782	0.858172555617935	0.913042967272697	0.843467424087066	0.931100276911438	0.915103728888034	-0.774638931309198	0.910834092705503	0.253920877137189	0.778285545413451	0.952095440767839	0.838745074246396	-0.822121296499947	-0.375983987362427	0.571683953728488	0.741187257814336	0.750035717711528	0.547699007416049	0.907222395083405	0.816022154901048	0.907252353107486	0.827635393765538	-0.150699376026399	0.063697657579041	0.641588308652414	0.871814560299719	-0.210861039805754	0.203049139720069	-0.208313159876853	0.880540342029825	0.877325359823317	-0.650560171192239	-0.302073640159146	0.854617090375449	-0.736258048202945	0.774750746657121	0.517823640022017	0.467686492775354	0.971033757420322	0.0178234256918254	0.959826529444876	-0.258702157696636	-0.161210054063933	-0.54216573983348	0.980718582923851	0.466105270896398	0.900396850807495	0.83512010397256	-0.223222206341495	0.480878462513455	-0.129603289109976
CD44	0.915727625601369	0.941521524672375	0.81057018984224	0.950157893047394	0.91153174239036	0.876599020706318	0.961995500986028	0.877331185258197	0.953436533484835	0.75668683520696	0.931475013252083	0.864514917538619	0.950285348230447	1	0.916645489953976	0.803031749493513	0.88357615356101	0.892896028617243	0.918339163609922	0.809438679970268	0.879844743367791	0.914694781123585	0.920803544020404	0.712643626032151	0.833756519024665	0.922028434710907	0.876428256102135	0.827765784974485	0.883855474314433	0.881246705769821	0.937235200522804	-0.777653439800473	0.92574227822492	0.367618503575505	0.78467497847518	0.917514241481389	0.738259827094145	-0.823194184229771	-0.299316172185116	0.576990203204085	0.736109377337534	0.692041813471891	0.567686150268948	0.891423572599823	0.839254120801201	0.900158292522382	0.819539080928411	-0.0958671341901416	0.0113451951488706	0.648867965244689	0.863567139371066	-0.0737698592724192	0.184922298181162	-0.24945122363922	0.856477559322735	0.861120476991978	-0.636377933938043	-0.288434077356108	0.761708665882357	-0.734717466233031	0.780975634165943	0.474827389686179	0.389414965772741	0.938940981724687	0.0778602000279799	0.932707475536806	-0.205963377544385	-0.213209796966269	-0.519224204705726	0.948382899261808	0.48992275316018	0.851945583592669	0.882151891920085	-0.148059539197408	0.602506485937992	-0.104457866642994
CD69	0.942912412457553	0.985508722461783	0.91901811664243	0.987692623432544	0.935837621380156	0.910548800337722	0.954346408134107	0.915993779297352	0.970406542227011	0.664879474998116	0.912216276655789	0.900114810954145	0.975275841376497	0.916645489953976	1	0.900540267596477	0.885214950161254	0.957568060996281	0.978820158484688	0.927654425127842	0.829625577361752	0.916359974075746	0.944531341452898	0.89105738072688	0.690715684887392	0.955287194886606	0.877431996955295	0.923591080475798	0.843179426383822	0.951039226318232	0.929009202675699	-0.779987679446533	0.858902372356242	0.299838550007795	0.748024762464459	0.916671847305187	0.861159008481104	-0.831369556763701	-0.410772889802765	0.613312825267804	0.719263909700127	0.821600278278763	0.482062716072958	0.923600469873302	0.804396152965811	0.944959204086269	0.866079528629762	-0.144091732206819	0.095381939737633	0.760565309494885	0.82917117287304	-0.25996252446668	0.256355016696379	-0.186728768010271	0.91465373541247	0.896703188886723	-0.643520557540816	-0.281785105793298	0.835718377795224	-0.746315057064409	0.824197253734289	0.54437186899783	0.482671838698659	0.985323079793983	-0.0117622204675689	0.967696139078646	-0.241089694551041	-0.179153338998182	-0.524773842439767	0.985711503176516	0.457720535871681	0.918155477484516	0.868095064086899	-0.229740369042628	0.493729342274611	-0.112568125337995
CD47	0.947171752585509	0.887686488665799	0.987208560497854	0.868469774719814	0.711204451662426	0.902760056558282	0.830921166378661	0.752474925556599	0.867068890012632	0.606269297057473	0.740653408550848	0.712659500876029	0.894108132209448	0.803031749493513	0.900540267596477	1	0.899454525362505	0.87238521342967	0.834047767808103	0.963963426313743	0.562263696972951	0.723989843083521	0.819942672868982	0.917152647706154	0.486319497282154	0.9342414780639	0.879649902738458	0.976382151135979	0.629915928300462	0.902262877649934	0.833470584930534	-0.653394125970766	0.654894056817282	0.320509120452095	0.718745798222878	0.908276806851367	0.949141863846324	-0.686708930672902	-0.41545914951549	0.464195571002725	0.8648726520086	0.813211086051258	0.666180244348964	0.755883395782318	0.512574222372452	0.77255411916291	0.690195169966193	-0.019303786208428	0.337365147653036	0.605990891865046	0.851713758941727	-0.215454002155277	0.228059876584475	-0.0480559270951036	0.873668382103628	0.834186805380453	-0.495041881454596	-0.0193227492568021	0.903382002881042	-0.591899777643243	0.596066583247095	0.460438923294393	0.547414187581664	0.839652292158933	-0.0653890038255933	0.848534250963368	-0.176512947031836	0.111957158357553	-0.443880577408562	0.84969744803378	0.708647939463672	0.822566983639247	0.762360472480393	-0.0560340689766618	0.47536607497712	0.0697917519034541
PTPRC	0.95104391937278	0.908372729153777	0.882333162818882	0.868128345080696	0.767650246571957	0.912929283744032	0.828774864550013	0.850151814498043	0.869037032294093	0.80905036747296	0.799428555443386	0.752521442878956	0.873484153126958	0.88357615356101	0.885214950161254	0.899454525362505	1	0.871928030267031	0.850240433223023	0.907943830020063	0.671708518364421	0.782787222447029	0.895020307246186	0.844711919543051	0.711598029987679	0.943525546482	0.929931003965149	0.924090817370046	0.792312676884397	0.903258269060443	0.935695180115255	-0.658242085665292	0.691608611375137	0.521946501251566	0.792335336865362	0.876954754865737	0.877157771749809	-0.699551818365814	-0.337407500011247	0.596998927494992	0.888127734297561	0.862736878584915	0.70464129735676	0.821940882547312	0.634871692433727	0.84293454212231	0.81881328095751	0.18237486181205	0.290746296915341	0.743993988687561	0.876160861005672	0.0181669187121614	0.293064346708645	-0.0298981804305855	0.931901066573979	0.84160361676612	-0.44338192970642	-0.0242168338592493	0.791956808537034	-0.598891023253547	0.714327300635854	0.455475233882308	0.551273627617985	0.858249831799822	0.0926036777980528	0.871364088556307	-0.0140721767822789	0.00300138504291492	-0.34071364580688	0.860158506010033	0.704307050727687	0.862541293323672	0.889303080751326	0.0397031643866321	0.676815396690402	0.133103491149502
IL2RG	0.929734240339364	0.977784372761364	0.886107472692392	0.932794319308889	0.906535661460207	0.867251024649725	0.900306211425585	0.946753233852461	0.898971231917882	0.704701533912515	0.950424202868056	0.931661195572079	0.936408890489448	0.892896028617243	0.957568060996281	0.87238521342967	0.871928030267031	1	0.970852111759318	0.854803322796322	0.825529487368481	0.885835294753538	0.980426453231919	0.889029411840235	0.75622008323524	0.913825053611392	0.896790088924592	0.856915456663833	0.770455605874217	0.904685544317428	0.928717429651701	-0.84464522422655	0.78894051829693	0.438144488636164	0.692928737231557	0.868592253331975	0.787659586681349	-0.895840640121221	-0.421080461090387	0.564295115972937	0.640776552501412	0.784650695291559	0.518656622178875	0.84631880917569	0.798269608931551	0.949034900990699	0.915171460449382	-0.225788574105137	-0.0214732399933266	0.786020734195476	0.79370952358584	-0.346428035214341	0.151930581085093	-0.307580169025477	0.91763518292115	0.769648706168715	-0.713848271100409	-0.403511507950689	0.879488413517839	-0.818448046233119	0.883680984479003	0.462421146558996	0.429110181866664	0.958422078475054	-0.137883134629318	0.94706331163671	-0.309593530172742	-0.210713548088977	-0.594730088666511	0.954725149827646	0.452864805841431	0.865251982407422	0.836845042000516	-0.275316815126187	0.528184461357855	-0.177687878102759
CXCR4	0.904059123931733	0.978373356629717	0.856148598972274	0.96814187125803	0.959788237046362	0.853516954356882	0.944977831210375	0.933404215578311	0.939357177830235	0.666469053838083	0.963158830753381	0.953259393306166	0.959685497865581	0.918339163609922	0.978820158484688	0.834047767808103	0.850240433223023	0.970852111759318	1	0.855177294366469	0.892298555674656	0.925712416759138	0.965758477030248	0.838204384934211	0.756887315193279	0.907005488725395	0.847126350884358	0.850874487440631	0.873020507767339	0.909128241033998	0.932811943142535	-0.78114818586926	0.875471586176772	0.36508297580326	0.760865592315379	0.89103091328151	0.756765544175391	-0.848615065524538	-0.331452399198859	0.650063031368261	0.62487292947167	0.795416138330191	0.47239281952606	0.91849961934808	0.873674097141883	0.962034739729295	0.904411393824427	-0.188085963769143	0.00779620129613166	0.761182088380195	0.81867813871711	-0.292675013520186	0.264268601230213	-0.217755372807267	0.910916828087457	0.818318174397395	-0.65224814617895	-0.37592739502482	0.826896424370803	-0.760857970779651	0.899369636879332	0.560659646584908	0.473975345857917	0.990162432487633	0.018786321750652	0.959132619918542	-0.222304155143765	-0.208802998951524	-0.522105613748748	0.986320721887626	0.394660545251932	0.914644337520936	0.868785299146699	-0.235374309868749	0.527325511644019	-0.125730193545815
PTGER4	0.931104362487021	0.900212100910018	0.963047057770836	0.899627475678287	0.763471862415423	0.887485716466487	0.8522496552217	0.781516277112925	0.898097310149565	0.592991413390362	0.742627527817869	0.731241261172906	0.902549926381334	0.809438679970268	0.927654425127842	0.963963426313743	0.907943830020063	0.854803322796322	0.855177294366469	1	0.599422881391262	0.765966515152877	0.827429907555271	0.898202016134288	0.475906400366766	0.944751787511455	0.83714751899865	0.985920219333501	0.709797405031135	0.936746654615013	0.866362512236107	-0.613519855736335	0.697783531108138	0.290072127263988	0.738598858405312	0.886091793849243	0.962610650308566	-0.654153078776925	-0.384184790501964	0.540063051141159	0.856495236446698	0.859390948769596	0.586946374370015	0.825456667325027	0.590034717336124	0.794951333388199	0.740079382176419	0.00461475304850618	0.348287730085708	0.675265542822141	0.824357639439856	-0.163278182934242	0.297675911187221	0.0152796085345958	0.892501457617476	0.896346385054792	-0.451696041146474	-0.00314586758445959	0.827822851926724	-0.56079788072887	0.636752762432282	0.544115461779181	0.543392567419765	0.866900162644592	0.0431268399293064	0.85373621621006	-0.120994893792158	0.0811915114795906	-0.389054096654627	0.870414821985777	0.637634329634874	0.880592117410856	0.798381350256045	-0.0441924771971543	0.486001014803683	0.0992855927245195
SIGIRR	0.747318479869155	0.846198830202209	0.613206933473875	0.868827979491714	0.929917199686412	0.71908397024646	0.883904442270019	0.855634004505465	0.843675484597137	0.640769774992247	0.930512985068772	0.905251077492359	0.856682897321387	0.879844743367791	0.829625577361752	0.562263696972951	0.671708518364421	0.825529487368481	0.892298555674656	0.599422881391262	1	0.880128073965481	0.859669439160653	0.581672694898809	0.867950151084305	0.721596710833183	0.686941239747578	0.615427422543802	0.892344010699254	0.725841459927803	0.814370666438891	-0.759459600067038	0.927260278820622	0.246562582247397	0.673073844809984	0.763636409964525	0.497103515846933	-0.814592689543493	-0.271292504417264	0.577572935749562	0.404922901148003	0.545806971339254	0.314712257443615	0.845341577574941	0.947579071044386	0.882631205064035	0.834595933734213	-0.188963475078377	-0.269155595448346	0.615120900445947	0.696380439216847	-0.142715268988846	0.14330173447214	-0.358659825225059	0.713130027465717	0.675913954826473	-0.678020117107807	-0.563566718943458	0.620430132430933	-0.757206245656898	0.855992736944613	0.421735492116822	0.329585929400172	0.891714083979994	0.0626446197353368	0.880766015491605	-0.260604545431876	-0.455423245223928	-0.517408891408961	0.894147592686369	0.118880651954949	0.764335504883051	0.745325240186353	-0.348466801528372	0.41073645661469	-0.311112647231604
