""	EGFR	ITGB8	LRP4	GPR37L1	AR	NRCAM	CD44	GPR37	SDC3	SDC2	CADM1	LRP6	S1PR3	EDNRB	FZD3	ERBB2	FGFR3	AQP1	PLXNB1	ADCY8	S1PR1	TGFBR3	ADCYAP1R1	SDC4	TYRO3	MRC2	IGF1R	ADRA2A	CHL1	NOTCH2	ITGAV	ABCA1	MYLK	LRP1	F2R	LRP8	LPP	LIFR	CD81	CANX	ITGA6	INSR	C1QBP	COLEC12	RYR1	VANGL2	KCNJ10	SORT1	RAMP3	VASN	TSPAN5	SORL1	ACKR3	FGFR1	FGFR2	ITGB5	NOTCH1	TFRC	CELSR2	SMAD3	MCFD2	ANTXR1	APLP2	FZD7	PDGFRB	PODXL	CNTNAP1	CD9	SLC16A1	RAMP2	PTPRS	PLD2	CD82	CD47	PTK7	SMAP1	FZD6	PTPRA	FZD4	RYK	CHRM3	TNFRSF21	CD46	TNFRSF11B	ATP5F1B	PRTG	FZD2	FZD1	PLXNA4	MTTP	NCSTN	PLXNA2	IGF2R	SEMA4C	PLXNA1	PLXNA3	TLR4	TNFRSF1A	RXRA	RIPK1	CD99L2	ITGB1	PLXNB2	AMFR	GPC1	PILRB	APLP1	SIRPA	CD63	C5AR1	VSIR	LAMP1	STX4	AXL	HLA.DPB1	TNFRSF14	LRP10	CD68	PLXDC2	RACK1	TREM2	TSPAN14	RPSA	CD74
EGFR	1	0.668515664538276	0.914307168760083	0.989279500746884	0.700468774901452	0.898255006846728	0.934749842414183	0.982301198427256	0.976795539853645	0.900066747311564	0.931746007282852	0.536045830930143	0.776119327652546	0.887798510680912	0.690749809004284	0.75299083747813	0.900540966221174	0.990840060615476	0.941663146607328	0.288082612621114	0.844141672742834	0.937140302088035	0.875326713245872	0.909340350243295	0.879439231108129	0.860745602386283	0.605469693604425	0.259182269340202	0.942608913415979	0.789758415494252	0.947240692668604	0.72636956958171	0.789041532823287	0.959031032922694	0.84398241942491	0.975829913060738	0.880952841721611	0.864753679675238	0.964401125356861	0.877940024242587	0.918436403645015	0.600528123909324	0.956998660238836	0.461521916875535	0.745075778324427	0.501120330731098	0.9472540148506	0.826025970146347	0.939262505506998	0.82797033261529	0.938923764453176	0.630926424381866	0.835139397067668	0.976836607732438	0.877214068271122	0.858169219445595	0.712384613449139	0.892910453563844	0.865950458896153	0.527876596024316	0.847127342939254	0.69982322230654	0.916285417987589	0.827749268146684	0.670520731075374	0.974160503633996	0.897265692287292	0.925536731885409	0.792893672705456	0.942912917268501	0.349164207525731	0.764899415887475	0.91532792163024	0.927339423780765	0.719314850507815	0.891702083892393	0.831922526562237	0.962743804410789	0.964160545428949	0.750998107907226	0.898751764513724	0.978634431617264	0.70591735040314	0.946919955045548	0.954793900463843	0.53134057334199	0.734950475230326	0.874102694114907	0.809475074320167	0.943504484613012	0.946542664388873	0.974023660316149	0.795653720785664	0.582443089404244	0.876132245050919	0.940414937136369	0.575011836154457	0.92616423787646	0.753166561234921	0.818339180490342	0.970729593877909	0.607462356701008	0.763281817569276	0.75639165431921	0.865539187768019	0.747094887358277	0.905502542499342	0.890863374636223	0.943747547181628	0.171501502905125	0.709378639865347	0.914457645712181	0.520548767886189	0.394088115882775	0.51132478084752	0.863406365204617	0.963443741496341	0.312142736178579	0.21551372705196	0.587555570335083	0.278301404369263	0.422924864191149	0.756165987746349	0.491315773348267
ITGB8	0.668515664538276	1	0.882688533481346	0.72781942331054	0.946127531423059	0.891190466187474	0.854541380572602	0.724333464309448	0.785560034361956	0.824503855780392	0.858807375825054	0.951167705801041	0.683890009159607	0.862936821050263	0.987349884759111	0.732672710065323	0.846972309924798	0.67048043366233	0.861143586986954	0.858194721966795	0.763513425703964	0.851233626468613	0.927059949807462	0.893801967404926	0.831751835285681	0.898375275163508	0.934984331142955	0.631024236898791	0.862005765037036	0.939365197827197	0.797500227109856	0.935463929911759	0.889864854613516	0.728119501236075	0.908702174534515	0.641962668428712	0.865289594127995	0.923096361738713	0.605734713335611	0.921301988345606	0.848318585108628	0.907742410989385	0.682296199440066	0.745555761775517	0.91535408727048	0.944466718643583	0.777700421645001	0.717817252789789	0.673252343920599	0.903420894346624	0.769309214323307	0.653336958418442	0.816798917668656	0.610822073494749	0.847978738189645	0.896003097770038	0.956165860050652	0.796908643725167	0.881635209031069	0.821094960958864	0.925306050644637	0.889594988796725	0.868044754875736	0.847763267486534	0.903194439506482	0.669792084233548	0.776162985698098	0.749342438417737	0.957172609782311	0.702708119940164	0.875135291417394	0.832721843203623	0.858037091560803	0.73746189208889	0.821126019935282	0.733729292297233	0.855761184699251	0.814978571693252	0.675083734880463	0.932406948363245	0.857489263799958	0.565615268319623	0.800764122577511	0.684445284354514	0.544077814268287	0.855736968852107	0.873001670520798	0.611258403534097	0.911420269987758	0.798766262752561	0.807157804283455	0.765267633090821	0.721825386038031	0.873267755650049	0.904033183242185	0.734245791829502	0.622383075022449	0.604808943816834	0.935130563764377	0.587318633164808	0.732215864256587	0.662516064185571	0.741371871133671	0.912244837891165	0.785978491641961	0.957300870263258	0.686005122493086	0.702232736546272	0.66155811175232	0.260991193045685	0.54710831277187	0.769427904040198	0.41295922728295	0.212591089941884	0.197367223015422	0.722030144972822	0.717853439421661	0.111929146404286	0.108511339186825	0.295748830609635	0.0878114988352983	0.279689511537848	0.422741878229817	0.157237288477279
LRP4	0.914307168760083	0.882688533481346	1	0.936225087966289	0.876893041272334	0.992871959833785	0.99058028952342	0.937635014778857	0.971887798511945	0.975470512960542	0.955267020884823	0.747333277387053	0.720258224000357	0.960976027321981	0.879304081546972	0.776512064235692	0.962739679726085	0.924923335069363	0.972482622548604	0.572562345283946	0.867289707146896	0.972334069509999	0.977033665765695	0.986508333635298	0.89638359389325	0.967151240999893	0.824579155338112	0.41432946727501	0.989986523947563	0.920054466841062	0.961221454914717	0.894711336308396	0.906505422453776	0.937352134621102	0.935908304415358	0.901312869979421	0.934411882700259	0.980893676345482	0.856908176078282	0.975214928455456	0.980018776931484	0.78141906424201	0.881778583385243	0.561909202440401	0.899214855207804	0.767286853185687	0.931952602577525	0.852266686647492	0.848911509569243	0.945208020057238	0.921468803952308	0.691057108276661	0.858488899682335	0.864596107084433	0.960822218830764	0.959680896719748	0.889605832298421	0.889260891342367	0.955312571946675	0.725085368370525	0.960942349574753	0.822194694888234	0.981053730696558	0.941521603466562	0.881931386306848	0.888717548340025	0.876342026889948	0.895855321743731	0.924307190839012	0.905464647228468	0.65157571511185	0.864275096268947	0.968320481709295	0.905749691525399	0.788285455332331	0.847568281083666	0.888813886038926	0.959839724798491	0.919369640115659	0.887661787423667	0.936522587104949	0.854175471635425	0.811922090572152	0.887249533681214	0.834444112700557	0.738318937337929	0.879787092302296	0.828487591922612	0.942919456193672	0.961551585173839	0.941001257232296	0.950663848397645	0.831983608468617	0.756091968018755	0.968859749270245	0.895904226233072	0.681074243018404	0.853183961082679	0.90215405661024	0.798663753446694	0.941785364807389	0.676267160983583	0.805864628638768	0.879523164527698	0.90869787961985	0.910913368224545	0.860773825018127	0.86664001991859	0.8699246246996	0.212018307381252	0.711693221093088	0.934742264867573	0.533174873691861	0.355349572867146	0.399496573667703	0.879215302603707	0.92929091128288	0.251628001877941	0.18861035536781	0.479181397574352	0.212602446418793	0.396908347101941	0.649807142041459	0.363035065147292
GPR37L1	0.989279500746884	0.72781942331054	0.936225087966289	1	0.75763155178142	0.920336741764886	0.951775441919128	0.982911899436963	0.978057424309548	0.911214827549827	0.953744182373613	0.613332097563873	0.816211253328227	0.924683788894316	0.755778913041358	0.81427847233358	0.935288904229886	0.984593125815935	0.965191647059311	0.383788087330744	0.872684111427807	0.957913708127534	0.910535256816992	0.930192451000804	0.890453562511681	0.871607035617907	0.671608907745321	0.365676891094409	0.961593987481457	0.830426152427119	0.943592031663504	0.76861832339628	0.805417372654036	0.946901309734842	0.894171367752462	0.954154906634598	0.893281377852211	0.899288588786547	0.945818810555875	0.902036689056044	0.921864304158919	0.659375765338381	0.964355533218978	0.534879380585495	0.769209945578978	0.545646362056527	0.967605899020747	0.809794096125424	0.949257744231538	0.855464044985531	0.954336327008736	0.621486628214533	0.883075012173392	0.967188954257462	0.883426878167814	0.894137840684262	0.767720994280452	0.902694638595516	0.884915157837896	0.538365613524209	0.874419706007806	0.746923030837351	0.929077292078699	0.842596154480547	0.713044459179793	0.974846233646016	0.933551724605527	0.923319264763746	0.838783196551907	0.947242487710682	0.396113024423445	0.819024822512097	0.925048242375	0.924281166475071	0.791987111891243	0.901369980400909	0.875188932539288	0.971259480057861	0.951327864691935	0.781276264364429	0.916155174451828	0.949271860297161	0.718037153503545	0.925982002153291	0.921958275632175	0.564090993506913	0.750573747236911	0.849596039077212	0.826731004041174	0.960174458359253	0.958500831140543	0.977756182942975	0.778508973424481	0.617645348869763	0.90053585685963	0.943265948221862	0.562901484585852	0.900845282286755	0.782232606788408	0.779344385271944	0.961663911253763	0.591946755208527	0.764278736999767	0.808471791581469	0.900349682803261	0.784579425407499	0.883413488764987	0.884872223603342	0.934168602058904	0.134388960993259	0.675470348020819	0.901023985927534	0.4714084922944	0.33716322382783	0.446888801600425	0.84146026072739	0.956459687378091	0.244536775737929	0.149381607519846	0.544655939541296	0.21003638616075	0.359097197321679	0.719905118940345	0.419952118036283
AR	0.700468774901452	0.946127531423059	0.876893041272334	0.75763155178142	1	0.878768944101741	0.870959646803731	0.759767292285342	0.797161640390283	0.819910718900888	0.855209973711896	0.911298350074536	0.737124797439264	0.91017246203673	0.953554576676866	0.814492897145859	0.899082600856676	0.701636801878305	0.872175734080697	0.808084122027044	0.774106228178917	0.870584205902308	0.926554491866119	0.89024601797974	0.797595747018519	0.868620637095668	0.919553888758783	0.715298590714335	0.856712473087871	0.909244056373798	0.803652305047287	0.929407629423639	0.896492096051046	0.741783610462627	0.941811983373027	0.667574338597416	0.859289773135149	0.927870614651996	0.652249809793839	0.885958183596389	0.849104787279652	0.923094327973155	0.727304076117739	0.697532401542887	0.90504328807649	0.85146701230949	0.837708233073702	0.716260977226829	0.720433013209101	0.868221407961662	0.78880394232212	0.646900289747247	0.874685955304021	0.650458912902386	0.846049208628436	0.908197957654726	0.946931719634361	0.805075418769866	0.857913955831318	0.785032166839789	0.906566433826012	0.820354599509024	0.85735372948523	0.820691756664222	0.923172760995453	0.724635009866507	0.832868697051156	0.801352081922513	0.955479165374984	0.733963935855015	0.805069002890978	0.915188222731884	0.852059057358139	0.800130189140387	0.863866937316401	0.785371032576455	0.868103453532605	0.82057699595692	0.711693301688364	0.932209147954743	0.821209173236557	0.590751239188867	0.787996494255451	0.632528412740905	0.584075905590133	0.880812491860512	0.861762176871151	0.64645222050249	0.85581772321668	0.808910655976806	0.80854534804988	0.776036947655426	0.702092377747285	0.874721400951571	0.910306253164946	0.794538326877873	0.592521411320475	0.635104647483415	0.878551495177336	0.587438744670649	0.743947340012137	0.623232177551583	0.725218926441223	0.916624684257874	0.883059465053351	0.950025551699974	0.733209341153627	0.74387848889887	0.706953395449557	0.219708973501276	0.516450667347664	0.765246020486096	0.387978486524759	0.214678885473974	0.210826908370483	0.685566108223643	0.752143902878447	0.10308370457593	0.0845170061510755	0.359115829791347	0.0877822884201143	0.232834871870879	0.47403724685424	0.158297080261101
NRCAM	0.898255006846728	0.891190466187474	0.992871959833785	0.920336741764886	0.878768944101741	1	0.989174514158651	0.926346223806519	0.963263394346594	0.983917924826445	0.946976631024865	0.750283539333041	0.683455090415045	0.960187793164848	0.883306379670331	0.757788581268448	0.958071862210537	0.910649475788776	0.968921101481869	0.57401023872304	0.840119825312124	0.965317230182729	0.966413431597277	0.978298619242297	0.882271128282205	0.975032983228066	0.843159366446664	0.421489427945479	0.980479562105019	0.932718578616797	0.961351926680665	0.911065721593903	0.918846282588069	0.93802207005732	0.936109144695197	0.894388349704837	0.937185178776071	0.986749599916877	0.842782623860125	0.978471487767446	0.983606405477483	0.794654686589194	0.856816843456971	0.536706556975979	0.910907666967347	0.781482980461171	0.909619897640308	0.876704822744822	0.820069330390455	0.94117514875274	0.910592937553512	0.725044845005602	0.828540513360142	0.843990801719824	0.974481042354133	0.957017134959781	0.900793476090157	0.886700410505887	0.966031403864836	0.750778503981412	0.965583018407155	0.817560111499993	0.984273815609088	0.953188989580141	0.901404002168458	0.862852621583911	0.861312207934556	0.888906664611986	0.929852985353727	0.890244794245801	0.657513014786784	0.856612465812077	0.976188955984601	0.904189815351027	0.784216558693211	0.830315853256305	0.87505386070097	0.951277608454595	0.903287532878334	0.898631746824045	0.921229488573798	0.842537258734171	0.841047752416632	0.874491156410642	0.823688807876929	0.742899409928102	0.903225360537823	0.836679768766487	0.95261141541231	0.956723759391049	0.936254612396217	0.94474781984251	0.850484609732569	0.785208481625876	0.976500447256582	0.875569544829911	0.722282163803182	0.853034854575037	0.920492291263218	0.813743621913884	0.937950538919889	0.700911645420299	0.823902279465562	0.880904455134736	0.903002393838182	0.923470290630125	0.854386931430216	0.869148555416097	0.859436874360634	0.254466373800859	0.740997783259768	0.942707133280457	0.57873941186105	0.391331643728382	0.412913081827386	0.898267559017955	0.922440871084722	0.284654239934739	0.232373714790099	0.485331917932281	0.24353562571451	0.433511356840701	0.651424221995726	0.379559389620777
CD44	0.934749842414183	0.854541380572602	0.99058028952342	0.951775441919128	0.870959646803731	0.989174514158651	1	0.953273527898279	0.981337337863162	0.981127721779782	0.958164734370063	0.720923362339427	0.731092819240315	0.97004833254275	0.861315857205456	0.791674226168268	0.977776329360179	0.946337394463352	0.980647552796685	0.531781568563825	0.851399049645644	0.981190587520474	0.969829305223831	0.985009631458411	0.883719861081713	0.963840244107441	0.812181014909466	0.427253113943384	0.989203113426347	0.910114204650662	0.975855191878537	0.891530224779552	0.90568287896391	0.956394096501573	0.944775876067092	0.92397068290635	0.938615246048786	0.980702518133466	0.889872283416678	0.966992298253203	0.984718659741949	0.76927959494762	0.899670432947979	0.537330508235186	0.897673992527727	0.72658473719019	0.948184860541294	0.872834240198112	0.874046065380546	0.940538959062237	0.93094967625626	0.715798219611914	0.868192246988037	0.884067849660575	0.960872479948741	0.957860651661337	0.871314036304269	0.905438931762649	0.951265321327282	0.712881105082802	0.957380902441043	0.794163918095092	0.984097879510088	0.933023524863209	0.88008174110202	0.909813437703439	0.891326024712634	0.920785835913835	0.920287103877294	0.92515570788426	0.603049283786282	0.875514604506994	0.974946007358062	0.933655545655058	0.791527793509035	0.863895506447626	0.880097458610876	0.969625314642345	0.939441172441557	0.882590067207167	0.925113109551959	0.883257564656115	0.823483006367878	0.885491845970477	0.866440443638496	0.722260606366935	0.883480126012941	0.863599573101735	0.928650367360748	0.972177673333652	0.950166186618466	0.962471587607042	0.844194363660056	0.757296861155934	0.975545492700189	0.915823404211482	0.691980987801609	0.882663289809702	0.889183562623803	0.81843120709259	0.95425172041075	0.683916281830928	0.820528492362345	0.872905348488152	0.931931873186448	0.90221761714299	0.884422448040326	0.897177736424034	0.901313527190104	0.227669221371608	0.734754858194628	0.948738854660972	0.557177553891885	0.395835582495948	0.44149307209115	0.891275570414866	0.95051256876163	0.290822033320598	0.220071666200378	0.528914821004064	0.2524948999869	0.423996778463914	0.692813053677202	0.404195890214762
GPR37	0.982301198427256	0.724333464309448	0.937635014778857	0.982911899436963	0.759767292285342	0.926346223806519	0.953273527898279	1	0.980236511104193	0.919627516447033	0.951934168363728	0.603876785478643	0.794072458393232	0.916404476125961	0.750515134516461	0.814294878983984	0.924315810647645	0.978608236280642	0.964444217330206	0.381342015392854	0.866939828602618	0.951181560921141	0.908225120196661	0.933126694640072	0.913324244379787	0.886978498793405	0.683921842563724	0.337761770497845	0.951532499687423	0.846464993668918	0.959880515040803	0.789136854131431	0.850190520854857	0.973246530168744	0.89336541488492	0.972841123355231	0.916199834069278	0.896654486016242	0.959533354757276	0.918186677612015	0.945147110807021	0.668741162506725	0.961161290277352	0.515713617160216	0.809938772989243	0.55737083122044	0.953485449020066	0.866389171277293	0.939869081613201	0.851626623397022	0.972838354236702	0.687353484306356	0.850373465564031	0.963067524696864	0.915532253334262	0.885767395943169	0.788466899387778	0.91642262386792	0.91782752759306	0.578601494908226	0.894137730570143	0.7714813864358	0.945627147377194	0.890763309632607	0.718366405541167	0.967156832653678	0.914800738097962	0.936856092968529	0.845570550407766	0.972957257433552	0.400619602583842	0.837921974888359	0.937367590483087	0.94871183144718	0.768475779993126	0.909191878419715	0.894047726279528	0.980910548049447	0.960213336070674	0.804622544167662	0.883054784232896	0.950251513993656	0.774442905877615	0.927212864438306	0.949334170886244	0.635806063655491	0.763403969195984	0.901155209179114	0.853639852811751	0.963517706125109	0.952015812899652	0.985869857359237	0.837057465530199	0.638151804877501	0.914630333450536	0.955003521772877	0.619609964802017	0.934499513218997	0.808659081409379	0.819965315831732	0.977835376932955	0.659200542720637	0.825600250908417	0.83990502892344	0.890530808237588	0.797552539694624	0.934145579682136	0.923619599193162	0.958418041790891	0.216436247652848	0.72966042557317	0.940849232969565	0.565923180128803	0.412274360404702	0.513809443228815	0.878550731199182	0.961968083457071	0.3270405084902	0.236683617503561	0.607291848650471	0.290121756749737	0.4406945180749	0.776167883693957	0.485369382746722
SDC3	0.976795539853645	0.785560034361956	0.971887798511945	0.978057424309548	0.797161640390283	0.963263394346594	0.981337337863162	0.980236511104193	1	0.962186012498013	0.95552778316395	0.643057501206759	0.754170407305348	0.931328207574655	0.794747742261025	0.769170566919006	0.94257388939335	0.977612561288675	0.973354173749484	0.427371834362297	0.851270139822007	0.968335723585115	0.941582450173058	0.967268955971912	0.9066735902525	0.937439076750265	0.734394952086419	0.327555388362065	0.980689222931258	0.863024511962547	0.977408738442366	0.819811609380593	0.878649067606158	0.975093526510931	0.906656251793261	0.961887467739591	0.926449731135317	0.939778855930647	0.932697637721124	0.947215659542517	0.975195141719745	0.688153107003858	0.932636110342307	0.508937611082332	0.841624738507329	0.64605028451437	0.948899189903841	0.869839309599963	0.908413062697103	0.897962618910513	0.940237947172476	0.688159459510373	0.848366172359518	0.932993592229218	0.935758434284451	0.916736305315197	0.811406543148352	0.907240439166141	0.940786637585191	0.640670924332614	0.919946340629532	0.770411215111675	0.967466027482667	0.912603034035181	0.78609565902365	0.952154490956641	0.897927995620304	0.928473044550504	0.876639600919358	0.948495902171666	0.49940303810917	0.816187051611894	0.969452883651319	0.939216832940389	0.748908564430775	0.879943473578889	0.873086021741121	0.984202414179175	0.959658774134006	0.833985310174408	0.935842644327917	0.942774221012085	0.791842321098273	0.936273396053916	0.92071873437532	0.655915057957249	0.832313905472411	0.888721418932025	0.904904414064639	0.971961428579132	0.964120016414121	0.981973293543187	0.846757129312603	0.677008502690568	0.943099888000415	0.934271593768386	0.652944892636834	0.917595264990607	0.843179732080126	0.840899396483255	0.985091124421675	0.662927735414526	0.811614779190979	0.828434673338555	0.893764056162077	0.846935541359135	0.912401977954796	0.900570706718105	0.929013224551646	0.209758308085857	0.743663363101881	0.951831185990049	0.565382973845354	0.402991219711149	0.484052942311134	0.89745662442287	0.964654356037751	0.311797236876991	0.227393442779156	0.561294014659091	0.27251988720575	0.441958200246506	0.729916256750935	0.454768556585783
SDC2	0.900066747311564	0.824503855780392	0.975470512960542	0.911214827549827	0.819910718900888	0.983917924826445	0.981127721779782	0.919627516447033	0.962186012498013	1	0.909200517752707	0.655256522149056	0.608208966684197	0.932663468257912	0.81781079875196	0.713669728908161	0.942611797111924	0.922805846428203	0.943875469465732	0.485265584902123	0.784985210978302	0.938040208955378	0.932800806628086	0.960122575077799	0.82843557642888	0.961269842289403	0.80871126951939	0.341809859560198	0.960950215641376	0.873412581390346	0.961515054167896	0.862583589837261	0.893770243006542	0.948351990023552	0.899698996327799	0.909140521673402	0.898640001403911	0.961460377366015	0.850703324518751	0.947692382928455	0.975798975127535	0.703486377562395	0.838429593628343	0.447110370334943	0.874519072779397	0.713935267124347	0.884770818486722	0.882066870808239	0.799151374314609	0.923215755207375	0.875147677462638	0.714386181084086	0.769657524865103	0.837762549459695	0.955300136287133	0.927401435763369	0.832020842265347	0.851240880186859	0.950718880837955	0.712684925190847	0.93441809856454	0.730348647997453	0.968551452191359	0.945223792880469	0.88149988231649	0.85455184176631	0.827347151691813	0.868415689929441	0.88058618944197	0.896176282286028	0.584651712771547	0.804787555589253	0.9638462860651	0.893744227848616	0.711507380234235	0.782928079468958	0.812402661296174	0.932539136003447	0.913281447084552	0.841254511884846	0.882613469349511	0.864000241012347	0.820780320746444	0.863952436283259	0.847566894332692	0.691845638466058	0.88395422142841	0.859978974779026	0.937597347405706	0.958134957010167	0.913009917672813	0.934715232260356	0.850412955747339	0.714499411494351	0.956503347881409	0.849414133702853	0.731733729022257	0.872836265131038	0.87289998936912	0.839797972628548	0.94128949620557	0.673081256388308	0.801797144740124	0.812803381066359	0.884004248128565	0.87337591191036	0.848997690815886	0.865454394909744	0.859054876473794	0.243181486966829	0.768400999097523	0.943582003055408	0.60897108484865	0.43226194259176	0.451287460063089	0.900241597052338	0.920764246994028	0.329972959327681	0.261622946123804	0.508318360069293	0.282448125978736	0.463728060998393	0.672964364771115	0.417173949453541
