""	FPR1	SIGLEC10	TNFRSF1A	CD86	TFRC	APLP2	TLR2	C5AR1	CCR1	CANX	CD81	PILRA	INSR	ACTR2	KCNQ3	LILRB1	PTPRA	P2RY12	LRP1	TLR4	SIRPA	TLR1	ADRB2	BMPR2	TLR7	HAVCR2	ITGAV	PLXNB2	SORT1	RHBDF2	ITGB1	TMIGD3	ENG	PTPRC	ADORA3	ITGAM	ADCY7	LPP	SORL1	VSIR	IL6R	PILRB	CD33	C5AR2	ITGB2	CD4	C3AR1	CXCR4	CD69	TNFRSF1B	TREM2	ABCA1	CD46	ITGAX	C1QBP
FPR1	1	0.75453610206221	0.771270282737806	0.73037668202226	0.561092755090829	0.842500239620407	0.727134216306085	0.679448910893714	0.832868345570521	0.517200274901852	0.716543698060288	0.399085897050744	0.501859403720487	0.793776867903104	0.507445251035289	0.572999249994516	0.339344836420705	0.575515018309692	0.803908774225005	0.0970298646936148	0.703456794866872	0.599355671380133	0.702228378569794	0.832635948162081	0.683352836508585	0.67196940863763	0.734274617307637	0.650726884640627	0.73191677880249	0.719977085785327	0.736610330636474	0.935365507715224	0.636351379956138	0.751690552121237	0.777980515021045	0.458445025669133	0.753479148916065	0.313529602759069	0.745036424326717	0.795578971491583	0.721943907230397	0.0795298492085241	0.152454279150962	0.697237926059946	0.918371132917157	0.744569117212257	0.783685986436689	0.747316014763983	0.814150414866934	0.810944110870997	0.910183835779593	0.5907452930495	0.513402689882211	0.745162318074283	0.634087314708007
SIGLEC10	0.75453610206221	1	0.712600155841179	0.87243890395804	0.699794261975478	0.726301268808617	0.616353640375829	0.628168192809613	0.704328236170051	0.498870123566603	0.7435537650622	0.510529782730931	0.642226260664549	0.764413521262051	0.728112510743612	0.670289463094081	0.554851409006298	0.72723552081515	0.71204545451857	0.0830482775243282	0.63442459435112	0.395770664453473	0.795333802472764	0.711424008275141	0.686000987741227	0.761071013815773	0.476520115360706	0.639740629595001	0.770995345072901	0.847369288284605	0.746180502878821	0.790382223962817	0.527295279596524	0.770622976113614	0.802070683997267	0.524968140065519	0.771546412862393	0.437790613542825	0.870110225060914	0.896399404209399	0.654545043601303	0.30977390584742	0.294436750971698	0.445016377938451	0.721055897726307	0.780926005489431	0.598202529889002	0.638650353110303	0.624186187603416	0.647869292796559	0.791636572707727	0.520428052584119	0.4872321311654	0.718393331463378	0.550235048373772
TNFRSF1A	0.771270282737806	0.712600155841179	1	0.684616353047834	0.653674442076664	0.910468487729588	0.692801452992405	0.807978751108701	0.718006097469441	0.80667640777705	0.849489101850635	0.490636924023053	0.582556930556367	0.727822700890652	0.67618668447005	0.700291519096153	0.561258957754429	0.405243319322051	0.790232663782957	0.0162117860378197	0.546362761587114	0.457315954328053	0.637925712836155	0.800435305591458	0.64475255142062	0.513398956563719	0.694147675043652	0.592579434539593	0.748319157884963	0.824618550531228	0.886193418065597	0.750660134300851	0.592051340212804	0.916153352934603	0.782523349011142	0.618153396337349	0.827591872346366	0.478184193149895	0.864312188028835	0.759458905913873	0.620526277394487	0.357070119879359	0.309885100997798	0.571336290476623	0.841292700463187	0.760126487904997	0.774437644065633	0.891095963986126	0.764398049581017	0.855627849550255	0.878562790584967	0.774100565542719	0.677103442975078	0.684624729632734	0.559513912695593
CD86	0.73037668202226	0.87243890395804	0.684616353047834	1	0.604570550988642	0.716499434112358	0.704045611255129	0.644091865342875	0.753676682975702	0.48145234217168	0.718588878164813	0.576976242187041	0.709308612978353	0.723263876451583	0.699023722583436	0.540694612223099	0.396801594938763	0.733889119353578	0.64891179587409	0.114304184402597	0.634701180015461	0.43565451402614	0.722640923560073	0.680447098944916	0.514131060115315	0.755081734007774	0.468362240117466	0.595518294743673	0.74539926641178	0.79312962605449	0.677415058633263	0.651977552578649	0.600772861231018	0.749937498343395	0.795494563809931	0.557542327827442	0.686836993309247	0.3519146798767	0.793265161317546	0.808276143781456	0.635918434521485	0.34800514787326	0.157986264345292	0.412067276370579	0.735964548262264	0.885539738251324	0.610999552476337	0.587740302725188	0.561615124278562	0.713065821096965	0.814490532135928	0.548687326862639	0.514707480858058	0.757612581736393	0.533916615258991
TFRC	0.561092755090829	0.699794261975478	0.653674442076664	0.604570550988642	1	0.637794909119742	0.439236530915769	0.82601252419091	0.463935331225038	0.435556404418893	0.775594830992343	0.302182355984465	0.789014567601213	0.370094888817879	0.765008449627062	0.468796674848338	0.688072233872659	0.465705161259389	0.425085013211992	-0.20871292020795	0.509637378856867	0.0105585309112186	0.514539573102488	0.553400779002833	0.605427400061883	0.449972844136311	0.23910479705955	0.517959032729501	0.596803917242082	0.824777672966048	0.476586038043389	0.633474216373423	0.293596612169888	0.693430870307057	0.552720081584308	0.60488862530002	0.658842094795083	0.457125819043384	0.790148847087781	0.67448059149878	0.364979966498099	0.502449626124048	0.510296676621619	0.246858444172528	0.514684618896479	0.54874666751559	0.439900706998663	0.583557832399984	0.410217142157209	0.51490519563583	0.665761456898889	0.683696800803096	0.116549533728652	0.518223327533764	0.536450363170019
APLP2	0.842500239620407	0.726301268808617	0.910468487729588	0.716499434112358	0.637794909119742	1	0.65551614031823	0.748574934772021	0.747202865240484	0.756666114472249	0.845625010481418	0.443564552257697	0.565870126395657	0.697811801721573	0.616744478673501	0.712777235854921	0.571307171192257	0.416144564358651	0.819778960520735	0.010166374474481	0.675266856416865	0.462509919888071	0.672112656802815	0.792834206424791	0.771046214874267	0.580072957000482	0.65292607676406	0.707725827963208	0.726806861073506	0.803824413500337	0.843329633392595	0.793258044630269	0.586267069425849	0.877782874873275	0.730480916167357	0.49547003310035	0.850073395208946	0.545868012744948	0.833665369664992	0.754136613128566	0.596718813771431	0.313040426266281	0.347321517812124	0.552741622628597	0.875185347891628	0.746181711901101	0.840457412111161	0.864636819074646	0.783451410160861	0.822648685228498	0.854448766178309	0.724986771164542	0.677525967941066	0.655679299445704	0.604705412163453
TLR2	0.727134216306085	0.616353640375829	0.692801452992405	0.704045611255129	0.439236530915769	0.65551614031823	1	0.648400004863022	0.809418705752117	0.395053838639121	0.506314873356652	0.268672740598302	0.461786647720927	0.795155119716028	0.585374092417908	0.5479534231086	0.135880945194325	0.548758946941495	0.756852590069781	0.311396819222726	0.644699082293662	0.768981037732809	0.696568437133693	0.794885446605889	0.287739647421745	0.724317197517783	0.761102784925826	0.3631051264722	0.759809773391744	0.634825474296336	0.676166245959382	0.65221481296226	0.782707710572422	0.715737850344423	0.816593707543723	0.531213529525973	0.531624160396721	0.377352921164954	0.680794767761279	0.588533674712664	0.786934749796658	0.0264856638926032	-0.17533479910492	0.654425825921688	0.692239057431294	0.73957401413301	0.552232843710129	0.75890746597045	0.752326414814109	0.860138126365038	0.749917089676172	0.604192791884534	0.568712686491072	0.832224529404987	0.58993367234986
C5AR1	0.679448910893714	0.628168192809613	0.807978751108701	0.644091865342875	0.82601252419091	0.748574934772021	0.648400004863022	1	0.693793373451634	0.624681419088202	0.816178180784151	0.364911366330764	0.707435634665754	0.57573850587075	0.791473661408924	0.514691944869522	0.511566006124797	0.390421958388961	0.597846512259286	-0.251122816714687	0.635183430520619	0.29201075037246	0.501593304627337	0.776667372757445	0.497515578716994	0.47799508962547	0.537737355655208	0.442836207324313	0.731656688909758	0.813622374621259	0.659734280073183	0.692637488901235	0.516974198597787	0.786949316100862	0.741315497603087	0.585072041815255	0.663362512036449	0.367947576877942	0.832317863632853	0.606609415712434	0.514085279941882	0.332257425114015	0.285676078398607	0.555853232380043	0.69756959658212	0.698050626190718	0.537558144286478	0.808941030415407	0.629806268088091	0.71790649711507	0.820248004788238	0.900112645167477	0.301133553511365	0.590364127056812	0.552943590376534
CCR1	0.832868345570521	0.704328236170051	0.718006097469441	0.753676682975702	0.463935331225038	0.747202865240484	0.809418705752117	0.693793373451634	1	0.480346853757251	0.590006010290892	0.342341650167735	0.394628453656303	0.870006515982719	0.53522150644462	0.583222323931638	0.203730854042514	0.561099422376412	0.802077291804876	0.103660978192651	0.754217252796601	0.720667813323458	0.654980907172581	0.832476103875641	0.538185278023305	0.694553995616409	0.839006188094086	0.374342582569238	0.761165675259726	0.654611318919887	0.742215108113364	0.826777928497641	0.712492078105779	0.708352347946768	0.886680826726979	0.394811521861836	0.695790212822555	0.150417684690935	0.710258940585951	0.642487294669318	0.805461686587531	0.0307163787843437	-0.115663689557768	0.791192766720501	0.83516425012877	0.810485849484266	0.620513001087617	0.755789099329119	0.804232421631672	0.788250835823618	0.856065761701379	0.60145444746048	0.514359734978333	0.721919762649016	0.479797627962459
CANX	0.517200274901852	0.498870123566603	0.80667640777705	0.48145234217168	0.435556404418893	0.756666114472249	0.395053838639121	0.624681419088202	0.480346853757251	1	0.796837763021206	0.689558772541576	0.29561562789112	0.460633824987472	0.505533297775218	0.635438882132129	0.654469283428344	0.127935818990419	0.59801970720749	0.0186665032064542	0.285497658022122	0.308443024405412	0.217839535101683	0.652666060616844	0.53165068860571	0.0952928670930622	0.401652359603685	0.492426787981133	0.563399940770135	0.617257953644762	0.767669218320582	0.478627664023348	0.345584511824593	0.802705420833547	0.496972512133099	0.556797471661819	0.788606998135964	0.453511722970411	0.653099957425756	0.504637765134397	0.188672232977786	0.464182059867958	0.556724902959863	0.402386579571479	0.642189539379209	0.558489196054597	0.781427021261193	0.694543492104699	0.598513408893518	0.576498826223536	0.626713531009702	0.566986777373931	0.706885130627958	0.498058235645949	0.151256203394583
