""	CD3D	CXCR3	CD2	CCR5	CD3G	CD8A	CD8B	KLRD1	KLRB1	KLRK1	KLRC1	KLRC2	CD247	DPP4	ADGRE5	CXCR4	CCR1	SMAP1	SLC16A7	FAS	CD69	KLRF1	TNFRSF14	ITGAL	PTPRC	ITGB1	TNFRSF1A	CD44	TRAF2	HAVCR2	RACK1	TFRC	CD96	SIRPG	CD47	IGF2R	TNFRSF1B	PTPRA	ITGB2	PILRB	S1PR4	IFITM1	TLR4	LPP	ITGA4	CD226	NCR3	CLEC2D	PTGER2	ICOS	ITGAM	LAG3	ATP5F1B	TNFRSF25	NECTIN2	TIGIT	PLXNB2	RPSA	TSPAN14	CANX	VSIR	MCFD2	CTLA4	LSR	PTGER4	TRADD	RXRA	LTBR	CD6	JMJD6	CD4	CD86	CD28	NOTCH2	SLC1A5	CADM1	CRTAM	CD9	CD81	TLR1	CD163	ADCY7	CD74	ITGB5	TSPAN5	NCSTN	SIGIRR	APLP2	ABCA1	ENG	CD63	STX4	C1QBP	ITGAX	C5AR1	SIRPA	LRP1	GPNMB	CD46	AMFR	SORL1	LAMP1	LAIR1	TREM1	PLAUR	MERTK	LRP10	CD68	NRP1	TREM2	ITGAV	HLA.DPB1	NRP2	C3AR1	STAB1
CD3D	1	0.890486428522728	0.969643402560049	0.695132978729413	0.982932086081353	0.983538925004185	0.963714670768966	0.940335580385432	0.709600281843632	0.972627325852025	0.730521636677618	0.546657674406469	0.864439430998966	0.90096022117505	0.947173915473163	0.868002591049594	-0.809765631447169	-0.169255352820487	0.642257108748931	0.689139406502861	0.898928627643269	0.530545855452198	-0.191417660819187	0.0234046160972599	0.602502250261444	-0.538118965498902	-0.770504395966826	-0.547956980660815	-0.0416151798717797	-0.578954147230399	-0.285899811080924	-0.495417314940938	0.935736543320747	0.897873314334114	-0.0536084440456794	-0.822381826303307	-0.205811251854885	-0.262699512331802	-0.584615316989968	0.0904486190078322	0.949604265983594	0.935197350311321	-0.813249589860919	-0.386202672849991	-0.241206496724338	0.608886021630159	0.741240991839109	0.936013233781458	0.879229276081797	0.91735000741828	-0.719561818410653	0.912536076925354	-0.334356216797995	0.914492461775752	-0.775648620867881	0.964891501621491	-0.720023531656594	0.0890662919597907	-0.199618319782943	-0.784518101081224	-0.407592290900712	-0.473608879436601	0.819231985503078	0.73410245174907	0.353272458101923	0.0253109339429978	-0.594508926534418	-0.759144769714528	0.942393327340163	-0.285944218588726	-0.606168789429194	-0.703776755897406	-0.171353096044109	-0.435028876610036	-0.197676845353217	-0.753689966838748	0.835939655746039	-0.749427143755799	-0.67716843833943	-0.700919713336825	-0.717824200272391	-0.444596234590009	-0.538672133138056	-0.786424322502904	0.407655076323062	-0.731940329037864	0.588336758957858	-0.774844665682793	-0.8628357744035	-0.681193637786079	-0.655566518842354	-0.69102205127727	-0.201529994561089	-0.482466128165736	-0.66464036267381	-0.719048287796301	-0.770768975711295	-0.776893482951941	-0.520631097244727	-0.841693724847526	-0.610603240090336	-0.777354383047298	-0.613094556164023	-0.753795099883679	-0.698858053458314	-0.711924476774827	-0.445435060711478	-0.772716331443317	-0.7670092603675	-0.617692400507646	-0.600455107653257	-0.475222313183319	-0.783252219313756	-0.687638214093598	-0.646407407839132
CXCR3	0.890486428522728	1	0.96170897538136	0.533392968880798	0.838811641521466	0.930429756492379	0.804214944591317	0.896153087246037	0.942325475213219	0.928062746910273	0.861302140231549	0.796321967468224	0.962003333768042	0.81365522080317	0.928859430987572	0.827420534360091	-0.791044850951003	-0.00198715278333059	0.804899041754111	0.513143250886221	0.937678258227507	0.756529053119767	-0.136578755256107	-0.275962583831924	0.566640255854767	-0.553337519061956	-0.765833699001559	-0.583767387819844	0.0886494398285337	-0.586571954068908	-0.114397989643217	-0.569830932649918	0.967192145586015	0.98299056495077	-0.0200893225964005	-0.859931996692072	-0.373562900683669	-0.25562333287849	-0.59741589067492	0.028836228936555	0.881214107636051	0.969469874287957	-0.84239951832879	-0.217775642513989	-0.270913590451018	0.802136777872816	0.921002521088869	0.764686052782767	0.987881349904662	0.966880523731576	-0.720989533697014	0.693917698789556	-0.318842688922052	0.858805282509601	-0.756030745587254	0.88506449826798	-0.730957354220337	0.278573963171559	-0.137394616230544	-0.759427833703282	-0.438555495339213	-0.393952316416678	0.704372891076319	0.853070135748146	0.293304392907637	-0.116984378546968	-0.451841605178499	-0.78094379804097	0.919416193454209	-0.413839558132344	-0.596049173721697	-0.685236337428232	-0.25153170810151	-0.434567156688248	-0.179392860329997	-0.781831785596229	0.903109643072064	-0.760967634371573	-0.670415236644883	-0.685548823880523	-0.739050612662401	-0.490460749489767	-0.530801940562751	-0.809209281391755	0.46041993652145	-0.761644488062135	0.569985553582062	-0.80222594652185	-0.861804081476694	-0.669071857517415	-0.63303598952207	-0.696507509390906	-0.0738596127294185	-0.445924575121638	-0.693848914462709	-0.717385337911523	-0.805604429557107	-0.779816263712551	-0.432114562518429	-0.842169405157146	-0.584656811029982	-0.773164886385818	-0.620447561084059	-0.748860749854883	-0.694121496474883	-0.734071003724478	-0.298371955220709	-0.778146585432835	-0.793710253012537	-0.63896826231853	-0.646089571040877	-0.447306220980424	-0.796442065651032	-0.707442049800651	-0.660667484966797
CD2	0.969643402560049	0.96170897538136	1	0.625983122311479	0.944934994624667	0.97633148757891	0.915296584351167	0.932654261635707	0.841988458831199	0.970332095361597	0.779935986122372	0.688310521609444	0.918465611794333	0.873161264414574	0.953005297562465	0.88101735736139	-0.823950429295342	-0.0690502753865474	0.760567205987223	0.661077503842338	0.93181218727329	0.627008829584772	-0.147934468029262	-0.120108149212453	0.609084386038435	-0.567239348265127	-0.795430471543904	-0.579875790909083	0.000984590705834849	-0.589401432948059	-0.193034585637549	-0.54638234203344	0.974071623092374	0.96843253306701	-0.0534411805573482	-0.851116100405962	-0.286849825009075	-0.272642436242921	-0.606437652335116	0.0772407009193692	0.929054949107282	0.965479362577414	-0.85869761154048	-0.320908941318472	-0.247648149009649	0.750889413238463	0.854446325557421	0.876872010142825	0.957261568073571	0.962390341643389	-0.737717441067229	0.807509026007707	-0.350645907513878	0.930645889317518	-0.787428657648812	0.965144898664587	-0.740332883512929	0.191762644675384	-0.18563989428604	-0.796916360893593	-0.4205372619626	-0.448518242384858	0.813080272677382	0.840132042341323	0.353980144894892	-0.01485151996102	-0.540090542757919	-0.794922681788057	0.936387119585064	-0.371760903882552	-0.61218295879144	-0.707925775923604	-0.224789620311496	-0.475102105253624	-0.203530453073432	-0.789890623400051	0.913029728703809	-0.781388787580413	-0.693524321283176	-0.714177221219189	-0.747407873557736	-0.486139224643646	-0.540404440955614	-0.820273844291642	0.428318085654952	-0.774066460303103	0.594715973072663	-0.815507174916323	-0.885154848113354	-0.691183968425282	-0.678595389164357	-0.714308741705194	-0.143455275334407	-0.464758540037471	-0.690389154809913	-0.736211267267722	-0.810252554464183	-0.800626581459393	-0.497042033801892	-0.868000910833583	-0.598147364205891	-0.795791332161018	-0.626512259530628	-0.771236911307729	-0.713335890350688	-0.741644798812294	-0.375028774544228	-0.798184982568471	-0.796956217358039	-0.64465539626559	-0.646423390951539	-0.457926701285014	-0.820668771679424	-0.710651855195038	-0.67087507711468
CCR5	0.695132978729413	0.533392968880798	0.625983122311479	1	0.632040680558925	0.658208124130094	0.639597779745821	0.656747088239687	0.351167017819654	0.66377450682522	0.534640157930245	0.25927222845844	0.600202562664322	0.612965094574653	0.660721393182626	0.709002369097939	-0.350425308302219	0.047748884425732	0.267985988529264	0.490171779815071	0.62146593746721	0.388149256447198	-0.00189305610488463	0.352849170441191	0.610425930641446	-0.0386978677122628	-0.338746089007899	-0.0857374247534219	0.122570166536719	-0.124418296531443	-0.0955664271519707	0.00965935246566881	0.579622056682389	0.53609425938093	0.120074457691857	-0.445804350072739	0.248042713516992	-0.0246682794837687	-0.143998306609013	0.175896803370737	0.79266081142168	0.588732042196737	-0.310223684238232	-0.0956696058045489	-0.00263698535265527	0.31690910108711	0.340846922678355	0.687064170204409	0.50128927825201	0.525340918568961	-0.24043862666181	0.761174521829964	-0.0424792358482334	0.636421317579726	-0.344785979530839	0.563885011918681	-0.257730481207804	0.0982679345302062	0.242501584014644	-0.356965496297006	-0.0256256489395643	-0.0461199189082168	0.364304151473604	0.43322215404436	0.448375717229344	0.298797924839814	-0.295527840633984	-0.30988842994775	0.655540910946858	0.089154597015069	-0.197877033092683	-0.253237713672485	0.175573010701807	-0.107578647662648	0.13055495512024	-0.300490380203881	0.41723308399746	-0.267366337819347	-0.204987860045557	-0.269681892539039	-0.235667178857675	-0.0338398316340492	-0.0995195744755928	-0.356546952019416	0.223796643732441	-0.331275577855703	0.560143107106051	-0.270284019546359	-0.417625746573396	-0.258561330097467	-0.269339714153277	-0.205448263501125	-0.0786561424085471	-0.109127589562455	-0.148733679696669	-0.247874900587131	-0.261871067247712	-0.364600303152091	-0.0937872753859329	-0.361943238899129	-0.199114503065521	-0.309401161836263	-0.208049650446712	-0.329525633123531	-0.255433120608159	-0.266360289229574	-0.130247698580067	-0.351459187496717	-0.326283718282579	-0.155447575203284	-0.197205399408708	-0.0547161249285128	-0.321277116319699	-0.20055341507109	-0.219722761510177
CD3G	0.982932086081353	0.838811641521466	0.944934994624667	0.632040680558925	1	0.958101412901623	0.988423496837048	0.904842980053063	0.644254368490969	0.937095269234283	0.654425327715128	0.489389915721765	0.800884822075689	0.896157303147302	0.915329696301407	0.832946303975002	-0.819891837706235	-0.2132256771652	0.617070626027389	0.731382294277958	0.858713133527617	0.417210467543186	-0.200557021848896	0.0454551592270796	0.569572020745486	-0.579922792540038	-0.781929521498073	-0.554101572577812	-0.0897159862491565	-0.599818435527818	-0.320613863648469	-0.540941201740019	0.904210390791437	0.855803083697918	-0.0967796722856543	-0.805593956569677	-0.219651623634772	-0.297037204368541	-0.602027086279153	0.0876341043918675	0.901728086406929	0.901553312999028	-0.827379093547068	-0.462843572842456	-0.243344820154008	0.573392705486869	0.695100111264417	0.937434049668608	0.838102546161883	0.881368592378794	-0.737798683455772	0.913811725951628	-0.355185552969106	0.921481704551226	-0.778005465156365	0.965988714558391	-0.734171679493382	0.0473019116081682	-0.290622925142776	-0.797441745692134	-0.412497846480073	-0.514257693460076	0.86679139842053	0.702386802209073	0.337363618782908	0.0262432451544391	-0.618057109898691	-0.769415478019134	0.911345707003938	-0.306292621366515	-0.623849138504511	-0.72134681007503	-0.225409548774742	-0.467025329654446	-0.237667240139229	-0.764217936970456	0.827976221828978	-0.773507509510825	-0.705618006094342	-0.720568757810644	-0.734120185504776	-0.46853981657669	-0.565000259706933	-0.794029803194171	0.383315662297466	-0.739629647606067	0.551072260067714	-0.792595385301052	-0.861465622029261	-0.696518512231048	-0.683250027667995	-0.719859913312839	-0.227465169286833	-0.513968023482746	-0.68948761404358	-0.741881037925626	-0.787856225329713	-0.777433154974094	-0.573460914854216	-0.853790427080793	-0.629112079777841	-0.788279717002148	-0.625409795309081	-0.756177482692419	-0.711371752750132	-0.72768161135544	-0.495311919658615	-0.77938591839931	-0.768849730770011	-0.641626255234526	-0.622125070142609	-0.50722234370215	-0.802260755937364	-0.703844821537708	-0.667331147379379
CD8A	0.983538925004185	0.930429756492379	0.97633148757891	0.658208124130094	0.958101412901623	1	0.931837114939183	0.958258904141975	0.779992743050241	0.97781836220925	0.805738644501242	0.598668756678111	0.919168968484146	0.907594303169267	0.943776664685606	0.830323002270278	-0.840080449573876	-0.176212747838912	0.702559125099961	0.604066263826976	0.918077144095831	0.628985373074985	-0.246504762680795	-0.0735262277514631	0.562314394412465	-0.588556904760817	-0.79362128801864	-0.607015254805976	0.00957240827023542	-0.628079623408141	-0.302183418957538	-0.569438690801983	0.960068139165013	0.92870333606816	-0.0408549507132781	-0.870580623010588	-0.315787603063662	-0.247425872466144	-0.642031883057577	0.0668253764885021	0.953635487507498	0.967702476530101	-0.848173768610541	-0.352939855884503	-0.305907019214996	0.640432629858541	0.792656158915493	0.884845562707631	0.919650456296115	0.936075775894245	-0.767520620521031	0.878220408216225	-0.343254372108988	0.90353054036739	-0.810282888732156	0.947992310605506	-0.762471771418084	0.101780352829175	-0.235321100870761	-0.80985328719577	-0.47573377835582	-0.485898109168572	0.773075659686655	0.747901571793006	0.260789888562801	-0.0628449888927966	-0.602627421772305	-0.790149964902557	0.964410154746874	-0.334225704528382	-0.663176115512203	-0.748814971390495	-0.238296679169943	-0.416742047948113	-0.23701930655686	-0.783656235843344	0.834527975675454	-0.772206834036069	-0.718755433787927	-0.73239855544191	-0.766488186017222	-0.50270203331888	-0.592919783800291	-0.827558949878635	0.459309923100737	-0.776564894090589	0.545793672939432	-0.818565407706598	-0.89292573953335	-0.723268533886255	-0.664058821327403	-0.733636830612187	-0.200197612775113	-0.543070829001744	-0.727538859830886	-0.765991988215053	-0.815069234925646	-0.812999756396976	-0.559292424547645	-0.867693672820111	-0.658494083733789	-0.823694079933234	-0.6683244419651	-0.803880768410212	-0.748181347751384	-0.760325908772932	-0.459033817396557	-0.820311134783838	-0.814911360644048	-0.673123853937095	-0.62573768809821	-0.531440618828813	-0.813692951852063	-0.735814010653147	-0.689520268782125
CD8B	0.963714670768966	0.804214944591317	0.915296584351167	0.639597779745821	0.988423496837048	0.931837114939183	1	0.872278859561324	0.598069100391201	0.905939429214034	0.623086825873316	0.46166608210066	0.768477907053675	0.880116418562748	0.905762532555537	0.831034408414188	-0.796524238362291	-0.213498270235697	0.57771471467895	0.76291417808451	0.838899728860843	0.353289651254664	-0.177541608975698	0.0665453612542489	0.57532375073754	-0.554052715821084	-0.759506983074819	-0.511862111096289	-0.08796283733164	-0.577546498902549	-0.31379216448622	-0.510348460678582	0.874236196017823	0.815661620661123	-0.0890154737773318	-0.779630263152412	-0.178173098718904	-0.297108992764372	-0.574142734975455	0.106795836370438	0.877555530306377	0.873811847590632	-0.795852325933729	-0.467793448624359	-0.222821699079928	0.535162821412288	0.660137179370427	0.948770922056731	0.800761359816032	0.855466019884777	-0.712792532215077	0.920268644362724	-0.331221294322759	0.918727361089649	-0.755448597129356	0.941508690564108	-0.707188489955483	0.0431944239104843	-0.290810523245326	-0.771855471062282	-0.384792942927217	-0.49014481263741	0.877124385576614	0.680463601462655	0.362617257523589	0.0382126089299463	-0.610072004049965	-0.736293056441487	0.889874672243452	-0.301799019359861	-0.59518420545266	-0.700338632013842	-0.208188540430193	-0.454560986096848	-0.210916439483079	-0.735676243662657	0.812340058382313	-0.747849854129272	-0.682237822773692	-0.69655608884318	-0.703658912821191	-0.452982960686731	-0.540063057749579	-0.771686911081469	0.377296931820972	-0.711514264374179	0.546847709549031	-0.760787572939416	-0.831855412542304	-0.676775240724391	-0.665622842199711	-0.698551024440324	-0.213179621185787	-0.490821144905987	-0.656162019136232	-0.720576235049414	-0.761131465091664	-0.748624707898753	-0.544648836872263	-0.828401932283758	-0.600998768119633	-0.754322420001955	-0.603084047089345	-0.727494113600238	-0.685971097641398	-0.706859670749293	-0.480663172098429	-0.756417314468491	-0.739839767313343	-0.617441082867881	-0.598517090126683	-0.487482012639582	-0.772763362085862	-0.67605823691257	-0.650225525608365
KLRD1	0.940335580385432	0.896153087246037	0.932654261635707	0.656747088239687	0.904842980053063	0.958258904141975	0.872278859561324	1	0.734136786424895	0.966578207391145	0.74886438330593	0.564138848059577	0.864801969062667	0.899214614360383	0.894451042114687	0.807080190936465	-0.795484033869115	-0.220692713395982	0.604603680419893	0.529843570534386	0.865146009738873	0.614935813273298	-0.250598463534445	-0.0885630012488172	0.50184654946488	-0.59275588844892	-0.7957674054599	-0.630789128604417	-0.0447884067473497	-0.627803381018139	-0.34806228419581	-0.584323182091762	0.898445063689852	0.887310606866931	-0.107496913119588	-0.840976823337354	-0.325920624100426	-0.277757289861815	-0.641901208582991	0.0337751279418558	0.922500151116468	0.906521233635428	-0.83327242587924	-0.375244610181075	-0.333541717392033	0.59939341552121	0.743500323095015	0.821090318612263	0.897957537527586	0.862498397128728	-0.751996146923562	0.834498503683608	-0.393558359424817	0.816551191134863	-0.811437644756415	0.913938174572561	-0.757923113844409	0.0292188230814967	-0.240000301633738	-0.811433250119592	-0.499169291929417	-0.537058885116388	0.687705820034543	0.639458150194113	0.210965711882375	-0.0997593984037543	-0.643714579365646	-0.784247680150731	0.905511385537529	-0.318335673386435	-0.681101911523325	-0.742739761824621	-0.216618872712072	-0.410995068531098	-0.28046782845527	-0.784712222980701	0.776292872637067	-0.76342445452537	-0.726419248085876	-0.695491880761914	-0.752152351957825	-0.493950392170249	-0.597752790272165	-0.809993096519349	0.372932667021711	-0.79238810544514	0.495277721364606	-0.804064198107505	-0.865784619756103	-0.721299879458914	-0.684025115021678	-0.730183555626744	-0.247213584964754	-0.540839598224533	-0.705917441929227	-0.758226948414458	-0.80311320457416	-0.773140922547043	-0.585005939299214	-0.859079776376433	-0.664299042565393	-0.824922411130355	-0.664635339630252	-0.79703311872148	-0.751116090381729	-0.747728960761822	-0.525678517540244	-0.803761329991597	-0.80249453943062	-0.671397557320246	-0.629736993173338	-0.545283280168081	-0.800902756281366	-0.721595102624026	-0.683872756188771
KLRB1	0.709600281843632	0.942325475213219	0.841988458831199	0.351167017819654	0.644254368490969	0.779992743050241	0.598069100391201	0.734136786424895	1	0.781037612176447	0.851659266560233	0.874282224138009	0.917908131860587	0.62982222506544	0.794179256357167	0.687627333508478	-0.6770155106512	0.131867354961402	0.853833624678211	0.353047285605281	0.853795459360695	0.824474238434806	-0.0929044734946716	-0.440095790326965	0.491767331724255	-0.483696556890275	-0.648195578218614	-0.532129451347987	0.182948482187597	-0.499015949135184	0.0203589641419781	-0.530562959169536	0.888264340450606	0.929251702607791	0.0324228192790309	-0.772099097847752	-0.430105680322006	-0.194025059884015	-0.524422024429824	0.0101089099494176	0.727239954393093	0.878395856999111	-0.745444321865812	-0.0501487322263371	-0.245427150005402	0.847962676268301	0.964178797703917	0.57082290320485	0.942969090680663	0.896815720007278	-0.624885150102118	0.453609934415055	-0.254753674668076	0.736088288275308	-0.642394277866639	0.726042913714766	-0.638072492740109	0.387553382830829	-0.0632124101016282	-0.642983369518272	-0.39182136978273	-0.267576214206901	0.564198353152846	0.859060392456324	0.234088550226324	-0.165817481862771	-0.279931214040819	-0.681224578819843	0.795817769991479	-0.456054567696943	-0.504954948380162	-0.58011274720677	-0.256453982115292	-0.379652708230597	-0.130670694413674	-0.691339069164529	0.8587942284632	-0.66337127982216	-0.566808791532141	-0.591398453795446	-0.654351221513174	-0.453942146899208	-0.447794943398923	-0.715099894843982	0.466549847693745	-0.682311264524845	0.49802112459178	-0.711777302983967	-0.755435158880598	-0.571627543203237	-0.526885478307563	-0.598533273217273	0.0308946709021919	-0.360987893070863	-0.619051426369601	-0.619056744703166	-0.720143361748425	-0.692120063357423	-0.323524427768372	-0.720467894092967	-0.480046382775719	-0.664099408644994	-0.539978380457033	-0.656446543952734	-0.595460631174846	-0.647059717564259	-0.120008005841885	-0.686360293681354	-0.703465925078141	-0.564472263536351	-0.578031036348998	-0.359089704200579	-0.693546064694749	-0.621845211465636	-0.574434412926915
KLRK1	0.972627325852025	0.928062746910273	0.970332095361597	0.66377450682522	0.937095269234283	0.97781836220925	0.905939429214034	0.966578207391145	0.781037612176447	1	0.791241190864474	0.642763224427747	0.903837512002403	0.88854229700443	0.948262970928259	0.875824971517636	-0.793149820912197	-0.105372714557934	0.671181334962704	0.6197869731302	0.931838396082159	0.603641302115091	-0.20591245260114	-0.019433488716427	0.629193291734022	-0.502580050369109	-0.740879055529284	-0.566326591376386	0.0446747698191516	-0.545877000808541	-0.247159966227857	-0.500422432068979	0.946074053839014	0.926389875171121	-0.0253905229789923	-0.829378028079719	-0.234727405319187	-0.225367786590898	-0.564541648425019	0.0767034554295315	0.955349553641825	0.943614086126575	-0.804355503217862	-0.301284870063438	-0.219121005034745	0.663791917313096	0.793221876348186	0.893381072476249	0.926910011401159	0.919514821538684	-0.69923231571256	0.850375070886237	-0.306967245570492	0.874318308029648	-0.757198446099214	0.944933967602447	-0.693690874993564	0.14343233674215	-0.140346694355594	-0.771876614280475	-0.391186500622248	-0.428817356553256	0.766670432925032	0.729783440596413	0.355698481047441	0.0269658441660577	-0.562868376892848	-0.743942580360708	0.941401754616551	-0.321947732542489	-0.587194058151549	-0.682025270138718	-0.140635812630223	-0.405529249902828	-0.171651801494803	-0.749224927771409	0.849116117702573	-0.747692727813198	-0.642649923627853	-0.666440061340199	-0.697151055965171	-0.411916051882874	-0.49106875651682	-0.777912748645665	0.41167468646247	-0.732963702075376	0.594535000343217	-0.760277123750105	-0.882195403804589	-0.655598759349394	-0.63142919481812	-0.663557061340531	-0.145769910853629	-0.490555212599068	-0.664246936328373	-0.694152028068625	-0.769407975855244	-0.796857707372213	-0.491040717784838	-0.838105280608906	-0.571109276285925	-0.774202565999815	-0.575626336656125	-0.756202140322185	-0.679600081853686	-0.69046206397133	-0.395446716021855	-0.775393085285212	-0.754259229247307	-0.585567559795285	-0.599325866166224	-0.429468871132455	-0.772046131152709	-0.655707011519415	-0.609124344000888
