""	CD74	PLXNB2	APLP2	ENG	SIRPA	ACTR2	KCNQ3	STAB1	KCNQ1	ITGB1	TLR2	TLR7	CD163	TLR1	VSIR	SORL1	LRP10	PTPRC	LILRB2	ADRB2	ADCY7	LAMP1	HAVCR2	NRP1	NCSTN	CX3CR1	LRP1	PDE1B	ITGAM	NRP2	CD46	TSPAN15	ITGAV	TNFRSF1B	TLR4	FPR1	C5AR1	TREM1	TNFRSF14	PLAUR	P2RY12	CD33	NCL	RPSA	CD63	TREM2	ADORA3	NOTCH2	PECAM1	TNFRSF10D	PILRA	PTPRJ	RHBDF2	CXCR4	RYR1	CD93	FAS	CD44	CD69	PLXNA1	BMPR2	AXL	EPHB2	NOTCH1	IL6R	SORT1	PLXNA3	ABCA1	PTPRA	ITGB5	CD47	HLA.DPB1	LILRB1	ITGA6	GPNMB	ITGA5	LILRB3	MILR1	STX4	P2RY6	CD81	TSPAN14	SDC3	TNFRSF11B	CD226	GPR84	SMAD3	DIP2A	FPR3	CADM1	LILRA1	FZD2	UNC5B	STX3	PLD2	RXRA	TLR6	PLD1	SCARB1	ERAP1	BMPR1A	JMJD6	RAMP1	AMFR	MCFD2	CD151	TFRC	LILRA4	CD9	CD40	PTGER4	APP	TNFRSF1A	SLC16A1	RYK	CLEC2D	RACK1	CD4	CANX	SMAP1	PILRB	TNFRSF12A	CCR1	EDNRB	C5AR2	EGFR	PTPRZ1	CD82	C3AR1	ITGAX	C1QBP
CD74	1	0.788954900072827	0.463972407701779	0.648431379426482	0.683697451101318	0.749412633528879	0.879778215852087	0.579630879766154	0.817721434147445	0.565663908695776	0.776458492897247	0.938635122953316	0.204142408915096	0.849965102694272	0.852295177667955	0.921963940655349	0.774734727074956	0.835599458533471	0.209530662885084	0.920439841900353	0.810295908954313	0.525185565385505	0.753164814510038	0.37352817929509	0.752160904688789	0.91745992374346	0.687477956458364	0.785573021217072	0.725108137617151	0.388896408128964	0.675647171243909	0.756456962337847	0.816168867837671	0.549938035016592	0.66738615856458	0.856771642546234	0.356770400570895	0.361518051231538	0.392421956949399	0.241835301978005	0.876302362968007	0.797501737457602	0.75835656324835	0.774045658612864	0.463885078896917	0.788924764190478	0.870632838821568	0.141976105466768	0.551949725947851	0.67711929742154	0.734865148790414	0.817316016346171	0.919571788968361	0.370928461605838	0.83175503911524	0.0558190272240461	0.803062278387215	-0.222940196485312	0.828201210023914	0.619472676407706	0.805576927398875	0.893793681041791	0.780831430297827	0.711356055076778	0.720063604167953	0.832360508649872	0.544053943994752	0.241824052652349	0.662374598117183	0.568631773788588	0.737002379119404	0.956577200050486	0.846407982068322	0.809883283809817	0.127792049412333	0.337150359304515	0.105423991759013	0.785123946451509	0.716110968394778	0.848054534861005	0.804672183213154	0.780926388884921	0.606100587090682	0.697824384640836	0.682812381097929	0.600339993171891	0.739464415033752	0.680248024018211	0.447516935786926	0.43360199948779	0.625628947702211	0.791404150616106	0.781816804766527	0.469207987784048	0.731662198656613	0.517969706838993	0.808126664524676	0.745022013273392	0.73580332138946	0.682620056239312	0.692522731707151	0.697373002497021	0.621382979497717	0.660328914739359	0.535739703423494	0.284669986207695	0.608836681191306	0.479356142022498	0.43729724202396	0.809834353867515	0.721342649771226	0.4076182619921	0.840844914763923	0.758123827214095	0.737497231021603	0.669347816638627	0.818099186356159	0.889915278387981	0.666336741852315	0.539984862457363	0.734329607190749	0.357071473820824	0.605232957270989	0.412497449271521	0.616891526003111	0.135190991042169	0.087025467589671	0.462416383579536	0.896329595996526	0.690091368031822	0.754820503088481
PLXNB2	0.788954900072827	1	0.758041318914778	0.805238521911058	0.86898606997588	0.857506308253985	0.794752190782936	0.724026572895601	0.778315776477243	0.77399530720753	0.856812806722212	0.792242767292586	0.54153433789402	0.868343280255875	0.603852887788939	0.821104337972215	0.830091297800478	0.894187750499751	0.389336195247218	0.778738620153073	0.865757973165773	0.7462267512677	0.869364223987149	0.688857718870064	0.754225880571709	0.642139970332744	0.851817458910155	0.791940872214533	0.854723888735899	0.678826759113749	0.837770592082353	0.737952521825007	0.830239945079416	0.732533499302112	0.756624650180326	0.796834943289598	0.634334801018242	0.641237194848956	0.6616262300841	0.587354207827447	0.637130764896595	0.830366022076691	0.826203540563328	0.763033700806987	0.684102581616942	0.803367801792928	0.83887858183313	0.359468302309573	0.583567597264209	0.679637327653227	0.75945414478595	0.84955459574034	0.83031636265816	0.416103377047098	0.662021666785825	0.259745493786324	0.772421825534365	0.139259115899531	0.680477186884711	0.777173516837321	0.840478982969051	0.860945165942743	0.790939283527965	0.758976572874573	0.830144253815018	0.880391255927226	0.679057959666192	0.597377081107702	0.811341018769349	0.750262925178558	0.823422357948306	0.684719909608007	0.845861004115639	0.811082214661087	0.466287183845115	0.657309327790519	0.442884495118577	0.821883011368734	0.807146519399576	0.753526100781179	0.820244087718683	0.859843052459475	0.718699225480119	0.744080993382493	0.71581019976667	0.736472547229764	0.713707505004583	0.74808296474541	0.728522834689411	0.670018593033827	0.539101564977237	0.543808878941177	0.850145834320492	0.643515342795653	0.801317885527548	0.745320856763307	0.786899684567532	0.830661333462356	0.817627900858154	0.742265781862674	0.734909474478865	0.765324900414429	0.685817003071183	0.768317453028617	0.715277128287659	0.574664241789613	0.69093740501946	0.459626998447326	0.642324015605808	0.805707978236731	0.797245349850186	0.55608887341891	0.887114532937243	0.753326294494312	0.796205691312789	0.581686027662761	0.760280478726847	0.832812633611491	0.838035968459186	0.735743706393113	0.748635670170769	0.630746909641871	0.791136917543462	0.701060365048963	0.640113840863894	0.27493023261822	0.191787796421641	0.711049595432034	0.883748965960721	0.843847233996685	0.788716603986327
APLP2	0.463972407701779	0.758041318914778	1	0.851707635555029	0.868916607955787	0.856646147159796	0.524006792126527	0.749852953371391	0.66340976409365	0.898244524444676	0.757264424728903	0.47137270958574	0.827451916369452	0.717350584871565	0.250040797119081	0.496247052758611	0.822086353344367	0.743298678134384	0.521391455918544	0.535799484872196	0.675217437621137	0.935616482245516	0.873575240238608	0.935074351003433	0.684558224040724	0.24091895251357	0.902230180422243	0.707075551845829	0.853178584136149	0.924005709032705	0.807333823078009	0.697546082855464	0.635237640655151	0.864216710287345	0.715302073262205	0.689281120740593	0.894135472116475	0.906183372138036	0.894317110536005	0.928434051088362	0.227760796569293	0.719746271843803	0.840046429664885	0.781318398576214	0.919687828094917	0.742066725513509	0.722006424936339	0.511510917859133	0.498728286840379	0.522152399958328	0.815681423623751	0.756219336335125	0.590263466206854	0.46414780832715	0.244242217383542	0.369778929254051	0.605557710902234	0.632706967741807	0.478216296472612	0.737906560366717	0.700047888160835	0.705953942085607	0.714303647281041	0.619249880568294	0.789570659287259	0.719516012098778	0.736952261385774	0.920566330552493	0.820128540815784	0.85725558750958	0.806516310640981	0.380163728421317	0.688556626367457	0.640869454592749	0.832121035751643	0.880619639432453	0.747250026173273	0.67444581153804	0.812407207480288	0.538940867581031	0.769278167040246	0.802282300146119	0.690528951600311	0.672755368425202	0.498125917904868	0.768581329203988	0.429816924616947	0.615854387740363	0.906261788237798	0.879750450330905	0.409499072222775	0.228476669115035	0.703129199593703	0.822879623787587	0.758450646276557	0.874177922838058	0.574904103183969	0.759307135450237	0.756499141172701	0.540066827643167	0.694402204947742	0.746760202418611	0.690520638588107	0.720444507336385	0.891011302898477	0.874638746578088	0.712247812884779	0.499140999688951	0.801879403516545	0.729223999810592	0.793439566810647	0.535725633413132	0.773715675068238	0.64934917684554	0.687121700077979	0.255512378274269	0.743275919994114	0.660631662327603	0.913566496171339	0.939114413205287	0.554895483118543	0.883785487220211	0.933845506649012	0.875350888323924	0.614183698858173	0.223712164701599	0.14027923100153	0.835294638691984	0.75647963538045	0.865280587250995	0.802995182337787
ENG	0.648431379426482	0.805238521911058	0.851707635555029	1	0.873673801726027	0.876304395095082	0.652035215866645	0.918381851521162	0.864084630782999	0.914902062021329	0.780461092658049	0.658174853084255	0.805688923803782	0.83456870907634	0.395847177947509	0.650310361581029	0.798104171203208	0.831500049650374	0.460859125751222	0.674640288879432	0.800450560867465	0.831006503588565	0.92995656232858	0.818499731153532	0.715356347540465	0.429118944811812	0.922938090539342	0.792411950369072	0.926931269550243	0.781006271690428	0.809782432039297	0.806784710560783	0.804499248483616	0.778150633470063	0.667726125452056	0.867870926787596	0.71998586401346	0.8620949776973	0.714161501390156	0.791475619247075	0.421586558906027	0.807487702214082	0.885076357171002	0.825097187656252	0.864290030369464	0.85260585831855	0.79227922403732	0.317853938483665	0.512681482272114	0.548980671638393	0.743919458828359	0.86896688293032	0.730602183995451	0.345863948681597	0.422224761403078	0.347653924211867	0.771114583171769	0.287623105813052	0.639393486734201	0.711218396455246	0.828224722905032	0.831804599498795	0.796688823807746	0.720844744893982	0.786862481975727	0.843551598909215	0.678498202383079	0.697377501410838	0.832641001376378	0.755135302823942	0.892821898602275	0.525038904495471	0.844325381146388	0.780742153033326	0.590463219925027	0.762739075800553	0.526140496642713	0.765498023376625	0.865103142579525	0.719068214804919	0.881917440762458	0.879593408505643	0.715501586234711	0.860321513039962	0.622977610422133	0.89476295932468	0.547836395699815	0.596878314553943	0.901141840686787	0.762087834783986	0.499409852748065	0.312796801052509	0.87584528288948	0.717957264765834	0.836987741357398	0.831810805825912	0.650192957902434	0.867017572817531	0.804044351546478	0.61737062312375	0.740907906859694	0.79302050665288	0.770705040133315	0.68971398596058	0.827924484917787	0.77200003501745	0.781742799090835	0.495046287208009	0.766556295727826	0.848078927751427	0.826084641621807	0.557833625822926	0.852437590872284	0.750449367253873	0.694417302582529	0.274166421527546	0.779409692844747	0.856250119119084	0.916195613212262	0.841609959327272	0.614858104279181	0.783988118822392	0.857334111410306	0.785977585003111	0.558001298996977	0.272891596859921	0.185673798165481	0.836289879112347	0.882092359309183	0.879309710827915	0.911871438776515
SIRPA	0.683697451101318	0.86898606997588	0.868916607955787	0.873673801726027	1	0.896420110583492	0.710894545896046	0.730583883920637	0.770820327873615	0.940173967556798	0.803021356558285	0.706614844354327	0.62418591793153	0.837902818397892	0.380092716893442	0.718621237100905	0.88494341768535	0.842085234413706	0.371399574345266	0.694160113669252	0.777224033328326	0.876542289525279	0.939536215684502	0.804603380672067	0.781526455499452	0.450187759100346	0.933026407148015	0.792258252976474	0.87108267883727	0.826045103095714	0.857447585627476	0.731098227785255	0.851198141929587	0.822343886395544	0.713941569026776	0.838746778315808	0.728532329839115	0.798407997742677	0.832485609964754	0.800890989345018	0.45509659105563	0.817988646986592	0.857161826885744	0.832617798112539	0.886216057405409	0.924208679169602	0.884809772167889	0.399384343292611	0.563819401999144	0.554772701650399	0.836447850618559	0.882414459797061	0.773433216279464	0.463621250035194	0.495862038436495	0.201559520763244	0.794047175187803	0.324897179098016	0.64296252567031	0.801441873796607	0.863873226388806	0.872635767160438	0.816257821703218	0.772844637934199	0.869881374155641	0.874893370087277	0.774343426200304	0.787362249350489	0.859023384010446	0.850657907209886	0.868915063435824	0.566274152519725	0.798942532454644	0.828251344816534	0.731612467418348	0.797087769255458	0.62152954955538	0.873906708948949	0.843942885644202	0.726009095426352	0.899445381601354	0.872260853538628	0.773649926251296	0.811973685840624	0.687737777998137	0.821325843629595	0.69492187475966	0.671966001503319	0.858868325862428	0.866119726652829	0.480323717748687	0.364271819651999	0.83024549124609	0.835735991576824	0.871902998873602	0.868622570730423	0.728691747108417	0.864685794741214	0.860947141338263	0.644743740257761	0.747862394556924	0.728685994123855	0.887084682902957	0.732959935793166	0.873998559264255	0.79183873767215	0.688812324173794	0.689828016966569	0.886383760085508	0.804293411291906	0.85248600567671	0.569857775289077	0.89318975268125	0.770588468257563	0.772748182381721	0.369671990118189	0.806702301542765	0.77740738536966	0.938846267668231	0.847096224152108	0.619189411882921	0.832385511527959	0.923751410339872	0.832048989662856	0.596592525645503	0.263861512105935	0.176799182153762	0.802731940826241	0.87376495176309	0.945207974974169	0.847366006193229
ACTR2	0.749412633528879	0.857506308253985	0.856646147159796	0.876304395095082	0.896420110583492	1	0.756369854739706	0.765991855702335	0.849923389075952	0.893420349946709	0.899802852775122	0.752324743030064	0.637129253200864	0.89291110995829	0.53511875120192	0.749966621994819	0.869274482802087	0.946579541508555	0.583847510882379	0.761108834850163	0.822665426119134	0.816852798171366	0.905529193474164	0.742944708185298	0.829515672946372	0.558843247929026	0.915646833492952	0.86834979680388	0.920277483560147	0.753100483182897	0.901022703910767	0.753768318701449	0.852531974774816	0.907785274104917	0.864094945492144	0.895443814861413	0.793725177734709	0.808866170010806	0.762669732640282	0.714816270978068	0.553300933950695	0.858816263205123	0.933324667505619	0.863902233465642	0.804533352322604	0.875671046467559	0.853631679901654	0.554500789283867	0.744175661388518	0.615203385256855	0.825409139889927	0.907558385043336	0.815020101184909	0.592901947954092	0.546821617733158	0.434677458025287	0.805045082016057	0.347013509396553	0.70335447790176	0.717337447637715	0.898634996790302	0.857481685464373	0.873085576076975	0.801349529316327	0.899029905772724	0.896343190487657	0.730925744393401	0.671407942456106	0.883734434235352	0.767002064520403	0.909451076374314	0.639612863661658	0.902881500784955	0.822644706391006	0.573331222049482	0.77016183587714	0.645480907168658	0.845131141047625	0.87881734121334	0.756220500012158	0.872272215127549	0.926224731111642	0.763518996383605	0.83457361239217	0.708463291402954	0.797948144154647	0.710111766971921	0.7020813407369	0.785505230753758	0.754098059892357	0.691439699296322	0.459945700418803	0.845125052199657	0.759905420254131	0.823719550713103	0.895454371983803	0.801591623253097	0.876024958395731	0.843397505874563	0.741859601089226	0.736590003581187	0.82483186613187	0.811796194700311	0.805751315242873	0.842607377096949	0.724596296302057	0.771442529354057	0.563339288415086	0.761401913653956	0.830161276590243	0.877868196258154	0.627907832508687	0.89441283178108	0.790365605397689	0.83301542121216	0.469468489005979	0.852909211343992	0.852046679030318	0.930997981513991	0.86987830031645	0.698670205212268	0.736110979100252	0.876198873596933	0.763112124594009	0.693738336835158	0.271218179786332	0.198040387152377	0.77807718841234	0.902317763695408	0.911343099938326	0.880353785970272
KCNQ3	0.879778215852087	0.794752190782936	0.524006792126527	0.652035215866645	0.710894545896046	0.756369854739706	1	0.560729753841415	0.738489618997789	0.614397452440705	0.822250734914347	0.906857337472821	0.247849710896892	0.865063859806877	0.67347948430043	0.933393624941568	0.734922479214168	0.861840142817393	0.179718028241344	0.8296291676953	0.785357791229262	0.496633613026235	0.734492095449989	0.457936782775336	0.695356553242681	0.841308600637102	0.711016382002283	0.78084895791762	0.713095870804835	0.502473417059268	0.766923508300998	0.6144506097621	0.844941904032746	0.571739079832471	0.750287144330993	0.763936656128426	0.420385481523568	0.413615976711872	0.412170719954868	0.301034239165694	0.84742463911354	0.691939090656284	0.752992603632557	0.61912335809666	0.435467917013169	0.697273749452677	0.792926482255622	0.176922088007935	0.471916125046218	0.720825025113724	0.662776354310858	0.826186597852233	0.907712300412712	0.335256477693483	0.857604410668521	0.0330939840249341	0.737164233426608	-0.150345293492069	0.820284247951977	0.670761979206407	0.839911668856135	0.794281665455159	0.77463777504244	0.754506431700664	0.793596177667219	0.823383010131896	0.660838680742987	0.353082405426196	0.750342341226944	0.613957397694229	0.721474241620292	0.758876057243302	0.854072748056752	0.842093946399405	0.185166369885492	0.376373520661356	0.168671791137188	0.776704756557587	0.735301749969644	0.75684958090619	0.687877354580025	0.808984731966666	0.659246974836676	0.70659755105073	0.814912386656081	0.56550667591121	0.801665371621526	0.783981998091684	0.450643461398224	0.489241866473442	0.492207631195111	0.664972934123133	0.802059324664169	0.504351341998559	0.721260417211324	0.551567908211928	0.888198866492857	0.780062878036608	0.769076473237912	0.65839425167827	0.684884720527005	0.765943628479107	0.627658366232915	0.615281856296421	0.579432512759198	0.349021454545298	0.660606812351332	0.334477976695236	0.484650258917242	0.689315132352619	0.783516624010869	0.543833216430511	0.789519116602239	0.775650357087303	0.803116379395521	0.656312590596619	0.657570999246503	0.807622445789457	0.70377116925512	0.548667569749865	0.777597777709809	0.407145233609497	0.646956866667345	0.526600174578133	0.669881969733	0.292056837355315	0.260823828555717	0.582171095857832	0.826727107205556	0.774460089938066	0.651698928108738
STAB1	0.579630879766154	0.724026572895601	0.749852953371391	0.918381851521162	0.730583883920637	0.765991855702335	0.560729753841415	1	0.838517063787572	0.769940800935036	0.692777262984333	0.612102367635047	0.827554665456847	0.728097418504315	0.385939285203326	0.582650528771153	0.687422626111878	0.747137559479057	0.442770567215686	0.641061561163469	0.772359381156839	0.710674950942542	0.834001570610758	0.736486031990773	0.630126137608746	0.419611273231133	0.828209691695831	0.726507036000228	0.861796347520957	0.641536407296943	0.678319710926416	0.783578334671534	0.702775685703697	0.655973405688749	0.595081914201084	0.769204169296854	0.616739711156105	0.766394248264296	0.532871058102931	0.670496030232138	0.386301844155475	0.72927521638758	0.802308219190866	0.707651894141876	0.730893430418849	0.721101058509696	0.682866603565273	0.23902705821912	0.445431829722421	0.522060496956016	0.581101298973087	0.771795002300271	0.66361947341905	0.224915053425248	0.369130904262114	0.384747332296743	0.718015332974747	0.186009078539889	0.560119522461767	0.612216527435456	0.688132384770503	0.72903724914599	0.68676353263607	0.608651326030268	0.6785498498328	0.759522985843031	0.531345795778644	0.549419094773602	0.711151681802298	0.639237380107223	0.785670385018244	0.449059115408965	0.781053183884982	0.665601684137881	0.414931320004335	0.628279577847371	0.382783790722193	0.637235231337096	0.759524690305163	0.637837462530328	0.778828738659009	0.800913605254653	0.599183925325276	0.763355608736781	0.498403035351764	0.847548412965926	0.396293757711036	0.537945301690767	0.82865252205403	0.59385921904604	0.458896685742181	0.293337314581767	0.809738057672896	0.585874363041329	0.717790719272603	0.687969500122881	0.555919536227135	0.775373010133953	0.686684928800318	0.531183512913953	0.656730426099781	0.745351610298042	0.587706271464	0.601787257412609	0.711514614437642	0.596981332453026	0.79211233580819	0.323731274016735	0.539976582623791	0.771198334424643	0.721263100140767	0.440754713040889	0.751862999178396	0.665878015573912	0.573162090715125	0.202358712587475	0.647717703370619	0.841752784907342	0.787951184629765	0.71159299369907	0.569517374145229	0.612146782829618	0.734832606442587	0.629176549722246	0.535333349815375	0.177105851632773	0.101937555456261	0.709099790744991	0.803327181280887	0.730420349114273	0.827466181718126
KCNQ1	0.817721434147445	0.778315776477243	0.66340976409365	0.864084630782999	0.770820327873615	0.849923389075952	0.738489618997789	0.838517063787572	1	0.758123937307766	0.784846185074734	0.810723737518724	0.568080186456095	0.84534513216306	0.624770928870991	0.773710058368111	0.802923016154628	0.858518187373575	0.37870125642295	0.843522729513401	0.839631846975655	0.695599251373323	0.869406569211618	0.598392981203237	0.764121260085575	0.688226242708021	0.835906690658158	0.836522437178382	0.879894057739665	0.571323140838661	0.740827303092332	0.836961395827396	0.856675421216263	0.696048705168416	0.673634244503137	0.925095338353958	0.547908737585069	0.672671972899371	0.506438225797436	0.531442086505988	0.656039784466945	0.822798351326128	0.883066496949173	0.854528775436658	0.69524722260932	0.852970589927594	0.841424150229184	0.244802228927335	0.566343565710453	0.611310047835746	0.724616365651304	0.872506297978049	0.839866882168288	0.3283036046376	0.575616706455241	0.251789307406006	0.841425178627494	0.0284705175910839	0.732647877935885	0.620896652536911	0.826815409208865	0.876661304073257	0.834860315224152	0.733217785538691	0.754425403628508	0.863666819433585	0.605967725222038	0.451198523234382	0.760521964952777	0.644512148834182	0.880301945787414	0.721372815475027	0.892386575840186	0.799370655402499	0.326278909903165	0.56357040964402	0.319337291757642	0.790680588897164	0.80516453960079	0.844750221204985	0.886637798975512	0.86663590567637	0.654483441505614	0.822256277137636	0.647957286536508	0.788807766811678	0.614995740866393	0.627490376351593	0.701552201908184	0.551469171205322	0.661273662139394	0.553720058864247	0.849799907598526	0.629865995302468	0.776512090675641	0.688512874324932	0.719516470890977	0.866126673085076	0.765792985290458	0.630733218953932	0.716105224978619	0.769901117486549	0.716864850368883	0.679145744738394	0.716508687585704	0.540634000797181	0.749058048979845	0.51376725074146	0.582526800351263	0.871927914488593	0.787150841566659	0.495560219973984	0.872869018588357	0.777953260634361	0.716287412074324	0.438503260373374	0.830838846972608	0.93476974227703	0.810999786247025	0.70898469003478	0.675910172692799	0.571648297766231	0.723591105584839	0.575197951170171	0.631803028044441	0.182582761706617	0.124413136651145	0.642254383775746	0.910013527878697	0.776416982848684	0.890024976592685
ITGB1	0.565663908695776	0.77399530720753	0.898244524444676	0.914902062021329	0.940173967556798	0.893420349946709	0.614397452440705	0.769940800935036	0.758123937307766	1	0.754435673146954	0.595961965982019	0.721754385768908	0.79440268956383	0.238013075006576	0.596217576676876	0.805708894198788	0.797692254288334	0.425207912927394	0.586955681734067	0.707009285110234	0.875823143318078	0.920952039509856	0.839776076678218	0.701856474575775	0.308030966158815	0.927996715320927	0.754002889461033	0.869823922715129	0.861291469501458	0.830616482855255	0.684700313263803	0.796454311597195	0.832680547086477	0.671470739541996	0.814824666185408	0.781653366425973	0.885167459315453	0.852942494323737	0.881508321181267	0.318195195408517	0.745708223395161	0.853827185854905	0.811258224115195	0.932665468716068	0.887464831866844	0.803236854370379	0.39635739393629	0.520756351068361	0.464319197323378	0.782991521381234	0.851591926926814	0.668959906279644	0.41874635151435	0.352537103829408	0.279660971677727	0.739980192732467	0.42280481783676	0.587418051446936	0.736152970430291	0.846296173947322	0.803465458123128	0.78422727383366	0.735860178545922	0.826351501410857	0.833234848403341	0.744591048970466	0.819091937546325	0.851671244645665	0.832639371850254	0.859513441635667	0.437910290035376	0.785613371082873	0.770638272618384	0.778618449526243	0.849205476835801	0.68254333395891	0.803398025658777	0.855054332573985	0.648052944458711	0.864574528218618	0.85282143205763	0.754355777657596	0.859437833528041	0.623292686111239	0.862031957518962	0.608428329789531	0.595320048106096	0.899053816214919	0.893557644628466	0.429130854566462	0.195321979003427	0.814716337254805	0.823211950674911	0.854520414196398	0.912347613307668	0.648848443609715	0.85424287400243	0.821435491583837	0.583383563109679	0.720891343996094	0.730452758064661	0.890089486274425	0.687887906953812	0.904895013261407	0.872932533958116	0.698465086878812	0.632833194280695	0.92229158857678	0.775824866887037	0.85754918646173	0.584930014440854	0.821931510421143	0.724246414011562	0.702296749439627	0.246342501732867	0.768495156361632	0.725934013775086	0.948181860531903	0.886147825564614	0.525297114670607	0.892325957945797	0.917433476580514	0.858628671968621	0.539863864305231	0.295058491214019	0.206602615980789	0.870601401760888	0.824430994055303	0.94195962424951	0.854487082419493
