""	CD44	GPR171	CXCR4	ITGA4	CD69	NCL	CLEC2D	CD3D	PTPRA	RPSA	PTGER2	CD3G	PTGDR	CD247	CD2	LRP10	CD6	ITGB1	ITGA1	PDCD1	ITGAL	CD96	FAS	TNFRSF14	KLRD1	CD46	LAG3	CRTAM	KLRB1	TNFRSF1B	CD8A	ACTR2	KLRC1	TIGIT	CD8B	ADCY7	SIRPG	PILRB	DIP2A	CD47	CD226	S1PR4	ITGB2	TRADD	VSIR	CCR5	CD74	JMJD6	PTPRC	SORL1	TFRC	IGF2R	STX4	F2R	LAMP1	CD63	CXCR6	SLC16A7	TSPAN5	PTPRZ1	HAVCR2	TSPAN14	ATP5F1B	RACK1	APLP2	SMAP1	CD82	PTGER4	CD81	KLRC2	IFITM1	KLRK1	SIGIRR	CANX	HLA.DPB1	C1QBP
CD44	1	0.622781902054457	0.748989233365127	0.718288289591927	0.746429252330935	0.349933396523915	0.797314727587657	0.607635262781866	-0.0503587464784814	0.318784507358319	0.575339790802282	0.709563469656297	0.202480732313023	0.49261915804239	0.748910009470785	0.265857499034506	0.625681039691292	0.360234713237118	0.287559597896049	0.557661578712205	0.518417398089459	0.700933367223002	0.673731397620436	0.278068372993002	0.232498977706691	0.401029883015512	0.483200595757801	-0.146880194157923	0.567455304630716	0.629039148054327	0.567964900429606	0.407750096136761	0.0915552858619997	0.217971249651869	0.752417490639042	0.595775939334916	0.292495290211706	0.482275699591321	0.675583802701176	0.423106836211883	0.720681931558954	0.646276898032301	0.146979946611605	0.651733626214599	-0.124841218323161	0.540131117090855	-0.0609105466014086	0.387273620382898	0.834943574337398	-0.000595626179240857	-0.350928036355323	-0.245889994486962	0.361575095093995	0.356578904399242	-0.112401598812021	-0.0329642636271094	0.626099487938691	-0.32789818725837	-0.0495300588205279	-0.324733688854779	0.0478305197728176	0.0980145133530048	-0.113303026733328	0.130240665791607	-0.111558890211297	0.0403021575269526	-0.112199892288341	0.894016842119432	0.0574244907377894	-0.298609737068245	0.556158322648497	0.82808479212141	0.405788090276726	-0.254677155380829	0.210057288261072	-0.141768978296771
GPR171	0.622781902054457	1	0.711019888469533	0.887151043494342	0.864898684659065	0.671842944384771	0.585532595214183	0.841931620978071	0.0428976721738879	0.759351537467245	0.778484024458001	0.849515236376225	0.692794412688791	0.619953891881485	0.777204102326569	0.805828605655535	0.265231399399446	0.705594029835627	0.386846346834709	0.739426674037763	0.535811495057322	0.84540057450113	0.830654221804254	0.756927409163768	0.291987574471299	0.50372146285353	0.529669799204824	0.296085043569754	0.669964468282554	0.476986907504998	0.199601766491027	0.664971441632796	0.544535543422456	0.244569851693276	0.867803997722803	0.109918018589462	0.88302123304472	-0.0353681876372265	0.80260897532067	0.537975051900756	0.77131706134698	0.666191248327278	0.325680541343228	0.746479957974109	0.0155800036077622	0.0811651405549547	0.183031498495095	0.685545569586958	0.847723320045122	-0.101311678004635	-0.221081666639799	-0.0345676599278761	0.55459544357941	0.393418695723852	-0.0656905114574263	0.473122308033685	0.888792929701982	-0.298459460181881	0.382274141113652	-0.27876077285446	0.32428133888524	-0.193815805916578	0.333481209409106	0.579998302073538	-0.100260617509951	0.204249316576805	-0.242486333444572	0.728661885365976	0.422400258823375	-0.0855440445756491	0.733099742342955	0.787715654762021	0.648171979531595	-0.0748437132979213	0.527288287654295	0.290352085333277
CXCR4	0.748989233365127	0.711019888469533	1	0.656492922870413	0.951782532960449	0.273153274438115	0.718668622084352	0.893553466152883	0.102468244556473	0.547539947434149	0.90692704278204	0.952600896166945	0.446699459046726	0.807044074745554	0.886375685110744	0.418783322550357	0.661128120673663	0.238643802592962	-0.00288428951438012	0.736282238491512	0.860950879049852	0.893262291526249	0.436849518048449	0.681369174602738	0.621737186367927	0.086981188469312	0.779324583854856	0.489202731665538	0.910518506102485	0.487072735907039	0.775415283794092	0.267683463955824	0.559830735697183	0.468156315684148	0.883227051020294	0.284034172080163	0.431094267320737	0.253718521557567	0.456636181355971	0.337225554722902	0.76842945448963	0.825000800111311	0.120746619821677	0.562435266747961	-0.0713577238043983	0.639584993949094	-0.161083823225018	0.323752793510005	0.788809505920969	-0.402425992948802	-0.574217244776121	-0.368467842102724	0.300001381182307	0.186034827481252	-0.480708205946902	0.0273646814804544	0.586159941904274	-0.443109996420428	-0.00604365209721687	-0.463494844588643	-0.0595918835312559	-0.0966579406475095	-0.0333921986159909	0.294704307755138	-0.506134589075599	-0.129164801751478	0.0647278612628624	0.720087402031678	0.000464400833556846	0.0493818177244611	0.831931185995043	0.86879815624849	0.600814816525918	-0.488462566744698	0.192876527223046	-0.0424232916294713
ITGA4	0.718288289591927	0.887151043494342	0.656492922870413	1	0.792056496198364	0.6812090215411	0.755660217087834	0.789005829931862	0.0366247109787793	0.657272342292717	0.667838548311161	0.780510421266516	0.539357347644658	0.553659039371858	0.807759504899631	0.685627726551675	0.449103633470863	0.801103096026167	0.62269055330231	0.590839168781166	0.504445882412074	0.783963521119954	0.909205167738725	0.670310752092006	0.10333958044268	0.639971204999484	0.567777085152694	0.0288159593528796	0.50749104010387	0.628889421482501	0.28832242875348	0.733955054029523	0.370712194449283	0.349292009985261	0.872157726102515	0.376369520978743	0.788902576929168	0.146553518996897	0.84495231634233	0.452746592499493	0.696190086775122	0.631856685097606	0.380995376486111	0.749317645354006	0.0869482687674038	0.28989019216095	0.260447024249983	0.600985999296902	0.914092303107746	0.095088423240868	-0.124049063762278	0.0392840135721924	0.616862567414987	0.59574815275355	0.118414552116464	0.465924605585505	0.932274879702661	-0.294546256045232	0.344339902992479	-0.303118302187017	0.343807365740944	0.0787689645066047	0.315094409683824	0.484588472646095	0.047759698982001	0.283122668668391	-0.2228016398743	0.808496314530729	0.483531097740627	-0.283698193086009	0.705325930429388	0.834295494207437	0.779043945188013	-0.0370665822228865	0.560123614178698	0.20015748787528
CD69	0.746429252330935	0.864898684659065	0.951782532960449	0.792056496198364	1	0.453461383449748	0.736386337989247	0.938889927598693	0.098915504832106	0.682540758800277	0.919311810621812	0.985994465414649	0.551357868965317	0.799351379784895	0.919941374939301	0.61157486445001	0.526931343463594	0.431667990197818	0.157345048624118	0.807674238209515	0.793519864394962	0.954534092457866	0.635809004595949	0.773313142322061	0.524493847660482	0.276573675560983	0.767610956572754	0.436841944171166	0.877876223999971	0.493332604484012	0.622679942999529	0.444155350280018	0.599127686248672	0.453723064251265	0.925210381702079	0.280383744274562	0.633884729516418	0.188342363113623	0.631777699671358	0.41413701730267	0.860478226835656	0.79319834137548	0.209643186470469	0.706614645544419	-0.0641188803481404	0.478946801784783	-0.0504601855229676	0.498254029823194	0.887444684426434	-0.309540254340622	-0.47139705619492	-0.257405932603236	0.448481769504165	0.288245685549774	-0.335666583813173	0.200457400262887	0.738330587194641	-0.417586956101493	0.157112200357225	-0.426861995255296	0.0633591038011489	-0.146610480122114	0.113732464920515	0.429192367721216	-0.386032596477021	-0.0195068830962759	0.00355313629908184	0.790678236013576	0.172335948829868	0.0224974681953651	0.85742687396634	0.926075459399702	0.673046877102025	-0.360105902988661	0.327229078432637	0.0757902398236491
NCL	0.349933396523915	0.671842944384771	0.273153274438115	0.6812090215411	0.453461383449748	1	0.426392080223524	0.394347335987771	0.462185548163523	0.817726051017189	0.445954109246847	0.418695091895233	0.25223009867001	0.301159841381326	0.3376471561306	0.758418183674254	0.0874782047370314	0.770988081256176	0.543194604774361	0.256459967229544	0.002596620297067	0.498849302358028	0.726098428547413	0.477975788413021	-0.269996816215777	0.807204161521942	0.301741904836296	-0.0839697536112992	0.174453096640122	0.240229928433998	-0.0966792837226791	0.868309039609261	0.311993734512159	-0.0884539495591979	0.496874084705592	0.153878979823337	0.710131548508467	0.223929594338904	0.762787158056552	0.807442561405169	0.443235424138352	0.143364101531467	0.206365992490694	0.677369612397307	0.0524394623538732	-0.0701381714026924	0.354862849423754	0.842347194589286	0.540965029731252	0.142340612036461	0.382749239276708	0.0770023998066893	0.747136347256663	0.733046899067067	0.434668333820183	0.75931834501205	0.630928255903521	0.308340502888253	0.720127070164327	0.373443651399256	0.302470713047526	0.0174432261854149	0.814295227111784	0.831552495618845	0.483015055104579	0.8140496611454	-0.0634289009354735	0.487957535253431	0.77612650830808	0.0876986954105072	0.26391044715388	0.480776640798093	0.460291541625079	0.538420146551616	0.589296350723028	0.752431019559681
CLEC2D	0.797314727587657	0.585532595214183	0.718668622084352	0.755660217087834	0.736386337989247	0.426392080223524	1	0.672224391281665	0.0880240091049467	0.40213571739954	0.691828432013365	0.750121662499978	0.12037840492503	0.430244303973901	0.815005310837854	0.366672864318795	0.604547210632122	0.425869994530561	0.45429735219405	0.440697748564555	0.516658540544922	0.673695421415644	0.669450745941818	0.459948723770838	0.0911359785396148	0.512468180116748	0.795819268088929	-0.11812944429591	0.475404685533708	0.569179037179907	0.67957973762702	0.504349270542084	0.0953043354439322	0.509630370870842	0.808415285918353	0.762084886501049	0.334208766216717	0.572996483368865	0.699294805129535	0.320516059551817	0.740020339722023	0.497861848145875	0.242883984841267	0.740808658469567	0.017429505290625	0.6752325912214	0.0272496565088227	0.422519711144057	0.87229761885262	0.0798532618665429	-0.199734691388226	-0.123691726382357	0.554034654396585	0.553227588251336	0.028304132724578	0.0558291961029793	0.672670535370126	-0.26251458193643	0.0981415651248275	-0.280273187354986	0.0908435084806142	0.117617767420934	0.0104270390919532	0.164446659050019	-0.0867751831863729	0.084286017185713	0.101923882519247	0.860203517528176	0.221762255743055	-0.247310268219315	0.561132871279244	0.888312483073543	0.713658594884861	-0.197825456082452	0.254543870248843	-0.132020279714773
CD3D	0.607635262781866	0.841931620978071	0.893553466152883	0.789005829931862	0.938889927598693	0.394347335987771	0.672224391281665	1	0.125059065012695	0.661966541075871	0.88186311606461	0.966734696095577	0.695407762763923	0.793322563871709	0.937875475264227	0.599016080676937	0.513107336948696	0.43733598954979	0.162952006807716	0.827434232271444	0.845446508705109	0.917606393090885	0.574272745355127	0.809417919631447	0.570897229265723	0.209499035515008	0.747322897026866	0.530509553068262	0.874260906673055	0.46700624139999	0.574872304935479	0.404681230963524	0.644556961802652	0.550482492134947	0.934019270022387	0.141423217284912	0.695287964636074	0.0341308387431289	0.559260549156804	0.306199387137272	0.779896929926423	0.832469656353734	0.241311645666965	0.597438241662882	-0.0179131437117982	0.445233527178903	-0.0419112353432124	0.409834175367553	0.835521374525144	-0.340884921375574	-0.473712862320802	-0.125091312154271	0.382602022809673	0.256880460325669	-0.349196071540094	0.217710798062713	0.768905046852504	-0.431666556519169	0.240182599823454	-0.45419190490455	0.139808910899084	-0.119364873116644	0.127129125805084	0.414242129637907	-0.425973408520663	-0.0375956267171382	0.0273059926094582	0.641874324225615	0.15820473395143	0.0700161422065907	0.918545822223184	0.83030838940827	0.730809224514379	-0.367617748761545	0.33211351200566	0.0951684502282681
PTPRA	-0.0503587464784814	0.0428976721738879	0.102468244556473	0.0366247109787793	0.098915504832106	0.462185548163523	0.0880240091049467	0.125059065012695	1	0.382964673194046	0.146908844668139	0.110670822758761	0.100426660649194	0.11606149884985	0.109965704089704	0.120797407420361	-0.0146165335726041	0.0687189131171635	-0.0501405983610411	0.12336916006789	0.151725055352457	0.0867482993978236	-0.0387861773196914	0.108720495216632	0.150682833422386	0.360615141120424	0.189161862170135	0.201640226063762	0.118597885228678	-0.150842004447404	0.12027970204594	0.254903511296208	0.152768053404194	0.237084714689165	0.0651800162930108	-0.0607995863363728	0.0598141449137013	0.38415998515931	0.177816516383908	0.474023390572117	0.0892881622357174	0.0736742158272103	-0.0902556118565353	-0.00852893289711287	-0.123037981137861	0.0805763612127818	-0.165007041523301	0.459676072344967	0.00669266265317927	-0.211313860194579	0.427086415814273	0.249056368955559	0.182323912243317	0.429685996003745	0.237991805630565	0.218970623093274	0.0206959827376843	0.650565121992084	0.740612315225741	0.661499087558231	-0.0889998719904025	0.165957405667435	0.54943670542935	0.427709460368132	0.276961473874678	0.639585239071455	0.581525975935521	-0.0238815678981578	0.236517330947845	0.762123543670844	0.118664977808873	0.0904064506926988	0.155566569086236	0.513502788377375	-0.0559053693322454	0.616146401727642
RPSA	0.318784507358319	0.759351537467245	0.547539947434149	0.657272342292717	0.682540758800277	0.817726051017189	0.40213571739954	0.661966541075871	0.382964673194046	1	0.721306296939865	0.660486148213714	0.480694103592766	0.652676510390538	0.524774968167591	0.854141240763468	0.185193778554665	0.674116822219378	0.286354257330859	0.546699273499682	0.332050579496652	0.749456356265643	0.57489533907365	0.778795676955664	0.119272304082003	0.438118179162618	0.499524422665357	0.383335657110712	0.570519348857815	0.177316434926807	0.138100745162319	0.708602331814732	0.695161539389148	0.0724232352247057	0.639421268406728	-0.0429263873984531	0.779754450466384	-0.0177613462307746	0.551911423338745	0.609183463129186	0.560650163352782	0.394232638490861	0.19623859280354	0.711229170350275	0.0337941499875946	0.0642335271868292	0.25247880122294	0.646973114947401	0.591142261556475	-0.243115847829085	-0.064521213159248	-0.172381430460372	0.629908542823123	0.529483968547023	0.00698412154245171	0.775411458992677	0.585994456144114	-0.040007715599077	0.564243704198478	0.0123499177948557	0.167117824476436	-0.184824120995778	0.775957375244368	0.939661052367596	0.0178002876504282	0.49974287105452	0.0488487208722318	0.428041104979679	0.647970400041513	0.260539416805463	0.583402825209656	0.589746778014949	0.603496227086926	0.133043272679748	0.626907729006365	0.716721297080111
