""	FPR1	CD74	PILRA	C5AR1	PLAUR	CD44	ENG	ITGB2	PLXNB2	CCRL2	ADRB2	THBD	CD163	TLR7	TLR4	HAVCR2	TLR2	SORL1	ADCY7	SDC4	STAB1	TREM1	ITGAV	LILRB1	LAMP1	KCNQ3	TREM2	CD93	LRP1	ACTR2	ITGB1	ITGA5	TLR1	CSF3R	VSIR	LILRB2	NRP2	NCL	CD63	ITGAM	CSF2RA	PTPRC	APLP2	SDC2	LY96	RXRA	CD81	CD33	ITGB5	CMKLR1	TGFBR2	CXCR4	GPNMB	NCSTN	NOTCH2	PLXND1	NRP1	BMPR2	PLXDC2	CD69	LILRB3	IL6R	RPSA	MERTK	AXL	PECAM1	TNFRSF21	STX4	LRP10	PTPRJ	FLT1	RHBDF2	GPR84	ABCA1	CD40	CCR1	ITGA6	SORT1	UNC5B	TSPAN14	SIRPA	HLA.DPB1	SDC3	TNFRSF14	TFRC	ITGA4	RACK1	FPR3	SCARB1	PTGER4	MCFD2	TNFRSF1B	IGF2R	MILR1	NECTIN2	STX3	DIP2A	CADM1	CD47	JMJD6	CD46	APP	ST14	ITGAX	TRADD	C3AR1	PTPRA	ATP5F1B	TNFRSF1A	CANX	CD68	RAMP1	CD4	IL2RA	PTPRZ1	TNFRSF12A	TRPM2	SIGIRR	SMAP1	LPP	CD82	CD9	C1QBP
FPR1	1	0.514262720028649	0.57450266049626	0.554155428962555	0.573654615769783	0.400220995046757	0.56366183376334	0.678292809420911	0.463895766882411	0.544124369655436	0.414471548445183	0.241729229644263	0.42329073290617	0.689954942925431	0.448740418287036	0.71783562425211	0.647594653155186	0.624201314476768	0.478579163986286	0.268265095799336	0.454459554358594	-0.0199038993747094	0.738371205508718	0.706085762377412	0.478701474980423	0.572855310123583	0.760751827559832	0.379988802330864	0.522551726466852	0.482001859380017	0.570946354221791	0.474888190198565	0.601430198464022	0.542009887038439	0.513951213725632	0.201341518618114	0.64760106990087	0.433417025312783	0.457078932997705	0.437991150692898	0.370497946330096	0.708991271318495	0.602366948560422	0.0876297334130515	0.540278389898959	0.459638336948615	0.630938538906395	0.534998377398488	0.531868483275247	0.687378878497825	0.711350186261898	0.00460302916409685	0.306112531768552	0.413221752774235	0.0664678921958657	0.2328931285678	0.511654076106573	0.52929676641038	0.779239294352843	0.518376638155142	0.418069681562091	0.67986332802662	0.421879916523882	0.602052551383363	0.751253114599884	0.353056181667485	0.0523971508096795	0.499142319834714	0.595056816388692	0.593292312988732	0.274245274023509	0.567564226419351	0.707515008540518	0.544285808640247	0.751226164914708	0.6325846662315	0.596737834487747	0.455563388177747	0.426045597531103	0.787157453006343	0.535756307606261	0.110276735197299	0.379118262350865	0.283422035053076	0.645550256560346	0.280240151077052	0.402087680843428	0.175129704397144	0.522735640914238	0.781053688273963	0.361410818352831	0.505390552212861	0.231517534289351	0.489808307316662	0.470879703218451	0.409559922026052	0.48868105330998	0.145084549836378	0.496981577753738	0.501111051634224	0.483715000217433	0.212967539792233	0.558466752969162	0.309187339934707	0.427180163111503	0.751745775137505	0.250023993661503	0.380673504049906	0.46579092514286	0.413249923105159	0.554039487699549	0.367664314079496	0.654933073519145	0.221665484057809	-0.0107831213678398	0.249653798388458	0.599271024767169	0.347521303394446	0.309845779690128	0.354512640881004	0.331955404421578	0.202270236237953	0.361279235463814
CD74	0.514262720028649	1	0.463806298500162	0.651544649759907	0.205506196035734	0.561857724475803	0.512633203133849	0.605962377192609	0.531794865111067	0.00547384291713863	-0.26514551757261	0.482392013775825	0.595727499854869	0.535480779623417	0.743009336076524	0.0689421499764155	0.313574228840786	0.17261962542952	0.615939299184156	0.0948980035252628	0.595159956795425	-0.365211243255675	0.394855131156701	0.627462983416322	0.392283380043808	0.595913451041323	0.6074422051608	0.606961799781044	0.45648562550609	0.610320464049417	0.433708592134908	0.108368184841567	0.238621892797587	0.00471608848605509	0.674741584835887	0.557208936859448	0.0204299030188606	0.540254430523526	0.361203382274476	0.400712502020282	0.26830317437521	0.664945909539752	0.409257934832886	-0.120728305551708	0.815916832650058	0.259944054123309	0.644983763434295	0.645645414636856	0.510332640376153	0.558461943080862	0.638366250227878	0.267763901842397	0.0540173957284806	0.404897667815644	0.457111789199418	0.634083260609031	0.418975270227921	0.490279382495833	0.550309111950308	0.292407269700402	0.647518833201239	0.170250598858348	0.715272504906899	0.468262839852104	0.561164281790058	0.498174270883161	0.364412816502	0.0162230043269568	0.578087712793088	0.299434875218967	-0.338844513994328	0.225824589193386	0.27587493903666	0.369256078586634	0.384400757260611	0.259248458028823	0.479590933842477	0.119223390037527	0.720545525748305	0.310494721458583	0.465099630273831	0.870349715406354	0.311732348828452	0.774192054341006	0.276418349597316	0.724124685255244	0.828367440456618	0.33788017861136	0.339496571168723	0.402693854149203	0.377594566167537	0.742454348851605	0.252148444332769	0.563985762946304	0.522563424900713	-0.119561503585567	0.0341536419578943	0.688166154129477	0.482634080988637	-0.0126824748316624	0.518619322280584	0.0947603518871464	0.362644659573215	-0.395758543337713	0.49659531186993	0.232305992620736	0.204125318328609	0.489598958998134	0.456969720908634	0.476673495813708	0.455936833359312	-0.154717660653927	0.693644919585284	0.714267858923833	-0.0406426911829948	-0.0433967874650582	0.541950071384724	0.555020669510596	0.513987048675907	0.370856255531873	0.0442047221950153	0.195014191801554	0.498278385476778
PILRA	0.57450266049626	0.463806298500162	1	0.507516498304294	0.668541820521334	0.331551110290973	0.255068159535027	0.385986425893104	0.26117782601472	0.586494589843874	0.459844386095063	0.133948808366475	0.214333562891782	0.554296397635458	0.430300474920805	0.543562080699795	0.319926678106945	0.576711312102011	0.255041538802394	0.541828694837163	0.217499735806525	-0.0186605585372559	0.525060362736104	0.321098263114945	0.306464983775175	0.301666016558574	0.664802354157356	0.0847799781826846	0.343084127836041	0.124727458389785	0.452196456143806	0.286505673144556	0.120084191790458	0.561921334142381	0.397284897905883	0.0643454610036769	0.458589945774314	0.18412823214878	0.29259947488748	0.122577296769926	0.439917623629202	0.360105670827598	0.382022590478773	0.134344020608285	0.489030659036044	0.260520916798092	0.406248381154804	0.241798763050976	0.195148510400284	0.512292843046654	0.418369538925017	0.0666381257846385	0.457906698591224	0.248432845396392	0.146188347449194	0.234904484610192	0.243717472617023	0.331100175600226	0.687844260630766	0.201017940612519	0.347462133464514	0.542620427609759	0.166908747370291	0.556496040503675	0.66954456574528	0.532485078372438	-0.0400661045906329	0.472638126214952	0.344850177936848	0.304061550252946	0.233505309808104	0.372847362313731	0.55420960843622	0.709293462710579	0.514429791905839	0.287444888530046	0.309486651350684	0.296894828988319	0.239165514298172	0.445472116995061	0.52486232408916	0.263692766551451	0.148055481740882	0.225646954273125	0.548221345520893	0.0423610604452888	0.305583359745094	0.0193939836921886	0.578644372682819	0.530560063318409	0.12052979390531	0.330148963540601	0.10167525438215	0.302983057108847	0.26852864730206	0.359167768561607	0.302212794820056	0.197908068836	0.234871564770417	0.357483593629105	0.19454445874106	0.153332900140743	0.310589652925359	0.239916040005186	0.287308912729687	0.414588691276369	0.0720310769472315	0.0674601500397921	0.190792402832464	0.136864498295632	0.382605693924794	0.370435699304645	0.324790351605545	0.111427802934345	-0.0874489684453631	0.214052419066804	0.261629000042962	0.386380162173951	0.127365983196398	0.126616474420128	0.23224365892087	0.215108929590047	0.0572353217385532
C5AR1	0.554155428962555	0.651544649759907	0.507516498304294	1	0.442282013642807	0.594101241495653	0.54471150991284	0.570494359086794	0.489727135536785	0.222848488030199	-0.104362837462951	0.555145257158938	0.544223068554396	0.569093606213222	0.522624780005648	0.151936519047737	0.442088631490143	0.371621934853846	0.512650715554018	0.274148056833065	0.523132863476418	-0.0487699244135249	0.525592081430916	0.546476586437272	0.444805288140215	0.470563164042927	0.613687042978055	0.547678534758185	0.498174454659241	0.537824060325471	0.48655676206346	0.4491915545258	0.215036764630183	0.202190660089122	0.474653953726518	0.449823318441696	0.252566409136708	0.397526284431267	0.377957172819381	0.378376112071924	0.288369829912	0.531167457793139	0.519511538762543	0.0391093654279359	0.687267375644917	0.389340216811828	0.645898753388322	0.517398670961808	0.522367955369856	0.658793907144772	0.657219794380474	-0.0885216923790323	0.242603488851252	0.284522924485059	0.427999547520089	0.582766316254345	0.395789493404053	0.579276608262344	0.657608681370303	0.16341810264981	0.539543975794908	0.432174735772894	0.467028469655026	0.64244287611607	0.492194412908449	0.520289653751192	0.341598406755681	0.225910034618306	0.558595678931131	0.475160062855276	-0.131067256055398	0.417733755315003	0.447375099519903	0.569626898855678	0.442497447830056	0.398780101662777	0.49434937257834	0.28408384102808	0.513545355643317	0.462151975330342	0.582978086558109	0.474503015071478	0.36093052883075	0.606837002056339	0.544629568414707	0.472362100972961	0.596176793072157	0.303859927533593	0.342901234898254	0.486875588768242	0.372343644990253	0.64176147433864	0.295440962992847	0.438235125519207	0.559972486891939	0.221428656815455	0.103225793055284	0.441604779191093	0.395340414906557	0.0902372426971437	0.47114426794465	0.189943811333914	0.476458287635491	-0.0245523882837635	0.381513066577737	0.308344216130328	0.214737876439087	0.336806674773973	0.465471561780222	0.449607863945916	0.470935112251107	0.143945586803507	0.626684105974246	0.476933635981815	-0.0223786076394664	0.0414304373455556	0.488171248270743	0.465484823398519	0.413832390450895	0.315189421191462	0.249779980202561	0.260459964544734	0.305671306629905
PLAUR	0.573654615769783	0.205506196035734	0.668541820521334	0.442282013642807	1	0.091194607639347	0.0224218607096379	0.161988135797792	-0.00111979292131236	0.835111090267833	0.602716722798177	-0.109783946017996	-0.105821887755959	0.53438510363213	0.117650704602319	0.718938498681403	0.223953429674972	0.661894703875701	0.039609926155758	0.401379506300463	-0.0847781354047426	0.0119869337456556	0.593097519949385	0.302224330236386	0.0112220751278773	0.261068362905003	0.463520983166498	-0.160582400322182	0.138914298931344	-0.0858853865685065	0.278530343751616	0.409163457085801	0.154587391432309	0.768628722100325	0.278932974366982	-0.285386689924344	0.700838036307682	-0.0330567359634772	0.0895632100159667	-0.129142847324035	0.525729958320227	0.286060107757114	0.226334856702707	0.0389571716065801	0.194519201958073	0.112713402877932	0.188981144320943	0.03805332653595	-0.0274651214130904	0.280151258715866	0.265884128818986	-0.0947928055930279	0.129917563937532	0.0741666550088491	-0.121679492890127	-0.0712868359308301	0.0135676197702814	0.211427705025028	0.650883487714681	0.390240241857349	0.113439677169987	0.700319379685081	-0.0483563705899331	0.282347804965929	0.539885852893676	0.46151641763932	-0.218676266326074	0.827978870584016	0.238639566720594	0.161672026066751	0.687394893170403	0.439911867365465	0.695200929985886	0.585192083509557	0.573974161424683	0.179329165197046	0.349044812090614	0.269496052153944	-0.00147684087501353	0.507737536908612	0.23180049604897	-0.0127005181834825	0.0352501112204357	-0.0717207539880003	0.620092305554468	-0.238431481509519	0.0908978716526537	-0.297815757764548	0.481693579765458	0.711726152236454	-0.0465234211313065	0.257672362522029	-0.106680554461134	0.080956571064884	0.040010427577858	0.369391565886101	0.406390913332644	-0.0498098475770379	0.0266277287986067	0.485099989753158	-0.00626919650156563	0.0533777836941322	0.167872005524729	0.568703213507567	0.0471106356970183	0.389542826094532	0.0232462956783315	-0.0975202444152529	-0.0362416448686735	-0.125199201234236	0.105636523692314	0.406529215864652	0.14580183255836	-0.254404968468332	-0.0705333003192872	0.256128714676021	0.0510704277873042	0.204966886342131	-0.129246082462834	0.0266118981901658	0.1145672864212	0.0872721254815865	-0.13996223875793
CD44	0.400220995046757	0.561857724475803	0.331551110290973	0.594101241495653	0.091194607639347	1	0.83736096587876	0.817935744471239	0.669807997824415	0.125498349232442	-0.146174786041045	0.899023537496465	0.881133934564623	0.293343900227555	0.517322157957166	-0.041599462977148	0.424107906307691	-0.0740008664877244	0.53901261830505	0.563764236714265	0.873218504586166	0.225473370715399	0.46088744388823	0.570352067240512	0.837719461174116	0.340424404860917	0.552100516650508	0.877415731605186	0.800995567205087	0.832538243491591	0.712241767923694	0.533059994923491	0.144554653691508	-0.242529157123244	0.0438877848823891	0.760554391996307	0.166058542688985	0.775895155509771	0.780685226506357	0.814975378734633	-0.333892203883049	0.457676604819985	0.846149668459901	0.459775709177605	0.780718299786858	0.599425839020146	0.770070455156471	0.763760363322511	0.823729836298935	0.678765209767993	0.699748748218785	-0.288583971563057	0.59124772308116	0.583181173813529	0.540223679044755	0.708255655711818	0.83631965186444	0.518517866806296	0.256635290926714	-0.0834427203595472	0.712766354922378	0.368729017975448	0.74045889341269	0.651568609180144	0.379428421802232	0.258719091444322	0.607604634447353	-0.210056878078457	0.643682800254921	0.594674418486568	-0.360254253123198	-0.103722971230092	0.406291234102472	0.609589692845699	0.452627329191987	0.671059768093694	0.416855423337351	0.235130788637286	0.630006772816086	0.302253247142814	0.761088312006464	0.344888028479541	0.625327519204548	0.752174294913965	0.109061442394859	0.770324715940185	0.689983841039925	0.767736505145335	0.396325314844509	0.214385990763738	0.765889131575893	0.346604830210412	0.775702805241982	0.451116620951161	0.798911262256744	0.331411624692108	-0.133250889795294	0.470505395967217	0.812310602978753	-0.194057426022511	0.68916948147492	0.433576299481178	0.760908269761499	-0.336371146488727	0.738417289354851	0.223690697929578	0.381361525967549	0.7353710401757	0.734449408075165	0.87996966318466	0.838231188511316	0.127365392423049	0.774597401933457	0.754250120075129	0.123059470360195	0.284349249192126	0.696287789319496	0.51353313950661	0.807287503977099	0.570076492590947	0.633872030457947	0.426796915407584	0.710976956182942
ENG	0.56366183376334	0.512633203133849	0.255068159535027	0.54471150991284	0.0224218607096379	0.83736096587876	1	0.871254006400036	0.782209888922449	0.140341624354497	-0.0418521069465314	0.733230401488887	0.902275817895737	0.399658629663786	0.477278858309815	0.16886565162913	0.540262698306212	0.115094627352945	0.592046862197115	0.381406743016356	0.924806629385217	0.0775055335839848	0.631047309534416	0.658377401197917	0.886137411558424	0.448591113538207	0.70040332212981	0.869113968824938	0.840108245158191	0.886744025995117	0.756232711727515	0.554774049129043	0.397243205375219	-0.106464756913853	0.125043600337818	0.717750548433685	0.323451017178568	0.745543573443452	0.783920100117305	0.848478076805471	-0.246360444134658	0.572096774709757	0.891448387402726	0.325500902280385	0.733220057061626	0.683293239547255	0.897555695345271	0.816524984383506	0.903709569467155	0.809512186899847	0.855817918801903	-0.330856397011853	0.581110373223805	0.68313334149437	0.32515165672941	0.651007123265369	0.887828385841031	0.607464218612115	0.405665056544693	0.103666783042512	0.60316320566444	0.47053198109689	0.721511520897491	0.757721371247706	0.485625572914816	0.182215357022518	0.475659429877779	-0.135505619013064	0.704609178027157	0.78303117371091	-0.289974744354451	0.10663906070714	0.405500126614634	0.546019893030509	0.556468177955128	0.833074718790219	0.559464598747437	0.403203135301495	0.704900794988797	0.518242620594779	0.780877608036539	0.164393945774463	0.655570142479294	0.604227486568487	0.290551960283359	0.730966489980095	0.589021943207338	0.71726056462606	0.426321602549336	0.375835157949598	0.748000904450827	0.372022637409083	0.676791403478996	0.532021057697236	0.807495444358139	0.397709288214481	0.00564574656556877	0.384399640769263	0.821588687955283	-0.0870561768808221	0.724158720204426	0.429609477004107	0.795872657106412	-0.184245522932229	0.754950534318917	0.450267797124855	0.408708026455471	0.735789727572167	0.831318142939191	0.887595047419502	0.870469458395033	0.256452739731423	0.89720837805062	0.674647658930421	0.112744599817711	0.264154727694181	0.85826442626275	0.450946828897832	0.723484821741646	0.583250809851436	0.590446025393464	0.357218754378719	0.720949734304209
ITGB2	0.678292809420911	0.605962377192609	0.385986425893104	0.570494359086794	0.161988135797792	0.817935744471239	0.871254006400036	1	0.735545408501284	0.25039533702157	0.0636172850442864	0.718529081903812	0.84660411925988	0.440732596817914	0.548113297961581	0.286211068141752	0.672669405555538	0.203721115752825	0.636268120317184	0.406958317834765	0.8524963084031	0.14190577760473	0.598883946991208	0.730598680248403	0.856433421911786	0.474595433036253	0.740993078649575	0.817785303115031	0.77568627185361	0.850029915285821	0.74922595715884	0.532166771701964	0.426810130767985	-0.00133919240642473	0.290300419739114	0.649606945563671	0.385803109777633	0.758539772307694	0.766634511062678	0.849028371930692	-0.110334639789487	0.693730857905278	0.854701542033961	0.323078008364747	0.771246707035319	0.654823293782763	0.840776599168103	0.828661349770199	0.868979928926364	0.778228320023748	0.832919889430587	-0.176104524771099	0.561053659338401	0.646215356911246	0.377886854554339	0.633682827526705	0.870401009109905	0.59526678396263	0.487851252011803	0.207952782660202	0.641123686208079	0.503515881788116	0.753940289270734	0.707671667335807	0.608491397149528	0.250382817599151	0.36665114483586	0.00495018907574839	0.719946853042188	0.717626610031404	-0.188357481578508	0.159714491490087	0.509242039590391	0.571024864753023	0.667781754168044	0.811520377019853	0.558722213605389	0.370936195795872	0.70263216412963	0.587654380025672	0.775063186775271	0.252844645674104	0.578873594128182	0.656274410436111	0.305676270571773	0.708453936198205	0.639593037114735	0.691001582759024	0.446066722947152	0.456260684133186	0.719337542570222	0.448943252306791	0.653066736123122	0.589455112929125	0.746657458557787	0.433154100347025	0.0855019246041969	0.330914922895397	0.859302355909281	0.0556744478376863	0.678856580757453	0.359306038672385	0.847262897230349	-0.118708642930536	0.713268313902789	0.588842191361618	0.332546331645709	0.736395197222229	0.753920730565179	0.832018047549332	0.892527235669584	0.22266027201236	0.86528155382495	0.65204492662538	0.0324761772044554	0.263628516247804	0.849829071352267	0.560574107711432	0.7194377602696	0.53467659948082	0.618484232834019	0.33532170189175	0.72157388671966
PLXNB2	0.463895766882411	0.531794865111067	0.26117782601472	0.489727135536785	-0.00111979292131236	0.669807997824415	0.782209888922449	0.735545408501284	1	0.02214006045725	-0.121471532270172	0.586373826995413	0.733658051205275	0.277073685922762	0.412879438187203	0.140242123342649	0.524248480225062	0.208467999970467	0.620841694851808	0.262462711563706	0.757517214246954	-0.00738981326183124	0.565923694405214	0.495511887003866	0.75362234908708	0.526573454075719	0.649883855148264	0.73222579930478	0.811134311501832	0.767331405151785	0.707009738482168	0.534142147669045	0.25908663208971	-0.0387779771028871	0.197936848280109	0.536267018816021	0.321084334702629	0.764959758363702	0.757365341142094	0.706548600893918	-0.014754429366595	0.589068714048192	0.724708393725443	0.328616112619534	0.593122062489656	0.709529253674701	0.826299795866927	0.724199632469684	0.777346302468766	0.673359705192723	0.704532089618819	-0.0919296279027273	0.442521185803175	0.743244063204447	0.3866995449423	0.520701164909816	0.72183425091102	0.651021851844488	0.448814768116942	0.1850790048709	0.5156856780992	0.424101707288726	0.706551486387671	0.591827176243479	0.557833240914883	0.319346136681977	0.54233580687609	-0.0304779964708495	0.758752911167847	0.61680769414458	-0.269020726412686	0.197927261479229	0.288824908654945	0.554262803753626	0.520259581837712	0.58912719107138	0.643799594639206	0.504901670221943	0.632086055083353	0.549951201065975	0.702111167332482	0.271824506045943	0.694557278095852	0.637531869527263	0.329045695171294	0.646741197336693	0.61437299901832	0.518459165536347	0.382234147660406	0.272531264320665	0.739347500501516	0.442926027901839	0.619676682082541	0.386574701793175	0.751172547594952	0.34049036698219	0.188480867652214	0.48957316158639	0.77010268571094	-0.0323942838642834	0.78063565478363	0.582423106812435	0.621907440716715	-0.149033885670839	0.701528537942475	0.417082325155062	0.576543075396736	0.758093524599763	0.815815101654104	0.787694481868369	0.707445429739498	0.385848616332465	0.782389427260424	0.616083938998713	0.362049873498297	0.416779442356041	0.755012777672869	0.446801461894236	0.695665409376384	0.714598728920463	0.56943069906589	0.551746037642343	0.752859597044616
CCRL2	0.544124369655436	0.00547384291713863	0.586494589843874	0.222848488030199	0.835111090267833	0.125498349232442	0.140341624354497	0.25039533702157	0.02214006045725	1	0.808646563797937	-0.0965741100272144	-0.0180786786515752	0.429682947415644	0.0222510513092457	0.78163565779005	0.233164624028371	0.558723937056183	0.0395375408431385	0.524559623300209	0.0247986500211984	0.12320806859227	0.6176651084438	0.264641146016809	0.222704375180298	0.0811045439551589	0.482691264548143	-0.118494858598421	0.244427946414766	-0.0471548714106279	0.352683159737932	0.460030152331517	0.193236181640559	0.700228248306683	0.000599528782164593	-0.238178194718994	0.806848757738616	0.00975535112207732	0.242835563633214	0.0587670641063931	0.237719205083466	0.202354715478866	0.373523585957677	0.182486131891357	0.178114294755603	0.272988802369547	0.216722901905282	0.0853984759063103	0.067599438306058	0.341404095722807	0.273936824129226	-0.301585203779547	0.405554652940798	0.184581509983503	-0.265779866177883	-0.0959138960862108	0.219945283211907	0.139333498814939	0.486008295040929	0.295378578254524	0.0724429890303398	0.707760308574003	-0.0603443478851927	0.359843753173761	0.485408373566011	0.24913676732076	-0.275791091860217	0.729258403540267	0.239569572160742	0.270624430398632	0.708202310251863	0.210466597627559	0.68696811398922	0.582793020070737	0.625414410676984	0.381255638910954	0.246918615427637	0.326766300477009	-0.0407089759590397	0.505610406903233	0.333918239927049	-0.292795498760396	0.103598507651427	-0.185808913602917	0.469842167629524	-0.281662282219845	-0.0367266958073244	-0.103137059258827	0.546622513237678	0.690351519239661	0.0462123733508429	-0.0429921514055571	0.0108180023805936	0.0676553984175541	0.0221055910571178	0.464099791848973	0.298499775771561	-0.25647852975485	0.129169233751184	0.376519158146969	0.00675637683788742	0.115716564843773	0.304194951683739	0.59509029464546	0.172840265994439	0.535464913937296	-0.00517020257102045	-0.0262301418311084	0.00527424237727101	-0.015135367720019	0.282430880848886	0.487022950192274	0.176667711152517	-0.298423208812771	-0.0962652075068165	0.341438011592515	0.161103778555113	0.19938742118834	-0.0798272595427748	0.0511942014286091	0.28355948664612	0.0463722004412395	-0.0583317024115055
