""	CD3D	CXCR4	CD3G	CD2	KLRB1	F2R	CD247	CD27	S1PR4	CD4	CCR4	ITGA4	HMMR	ITGAL	ATP5F1B	KCNN4	SMAP1	PTPRC	FAS	TNFRSF14	CXCR3	ITGB2	CD69	SELL	SIRPG	CD47	S1PR1	NOTCH1	ITGB1	ADGRE5	CTLA4	CLEC2D	CD74	ADCY7	HAVCR2	TNFRSF10A	TSPAN14	CD86	CD28	TRAF2	CD63	TSPAN5	CD226	HLA.DPB1	CD44	PILRB	RACK1	GPR171	RIPK1	TRADD	TNFRSF1A	TNFRSF25	PDCD1	CD70	CXCR6	CD9	LDLR	MCFD2	MET	PTGER4	PTPRA	TNFRSF1B	ITGAV	LPP	CANX	TFRC	CD81	NCL	SLC16A1	RPSA	LRP10	SORT1	CAV1	LAMP1	SIGIRR	GPNMB	C1QBP	APLP2	ITGA6	RAMP1	NRP2	LRP1	CD68	PTPRZ1
CD3D	1	0.947919320341571	0.971734311219612	0.899288193104595	0.723489769524581	0.359179405225031	0.971082278833646	0.815955792841614	0.767760718844861	0.119141703931285	0.784758432319599	0.609789992777125	0.176695697777525	0.881188521425351	0.0523399591741169	0.0410667909751147	-0.033162765447507	0.67203138474706	0.512083895591052	0.469850468995265	0.939341815007511	0.0355403266192852	0.815777041211575	0.758418473142052	0.849426256284417	0.213778208550381	0.341864044234485	0.241970997815737	0.0286285741947596	0.369527623506736	0.982297004517909	0.918917387724603	0.354756759804396	0.0252827325073485	0.371468127917417	0.0670626338930504	0.677635678246995	0.0381196906622689	0.865952729207214	0.386714073851756	-0.260208148541316	0.445142710894682	0.476336017506248	0.454188118729817	-0.284675644981499	-0.106694507311929	-0.0273117029285734	0.491553661211717	-0.0856089057137801	0.618360957530072	-0.262659347812101	0.85977633785591	0.957981301245426	0.928539835098168	0.671068342720289	-0.34571553238392	0.434183971459476	-0.288868756273446	-0.534055370964396	0.503430304006294	-0.213585421039705	0.908076644811504	-0.130662995766378	-0.10520064125564	-0.443368408668271	-0.291925506194474	-0.143466622838157	0.0688829107313233	-0.45180298557845	0.128605332512973	0.359485930095769	-0.101347717078355	-0.410197333161322	-0.368662168450412	0.199370544810985	-0.540070740619375	0.0429542047251938	-0.388522985451827	0.0450518083707416	-0.055832677488383	-0.353384125923933	-0.562445995113376	-0.410282502525901	-0.058716559295491
CXCR4	0.947919320341571	1	0.921875675752886	0.914542476780793	0.779374020142305	0.294427034057704	0.940707773186239	0.832198694216331	0.665842180860526	0.0275523536516677	0.724787071564286	0.494140698001743	0.0792647220971963	0.860335698571725	-0.0500530287835091	-0.0617065727538098	-0.0524990656773919	0.617975673989319	0.520422719723397	0.482425819472568	0.884141581148906	-0.0517981720567934	0.893028488764584	0.753946469160407	0.869033116976928	0.101658529654613	0.212580401229705	0.130859878435706	-0.0261856339033967	0.303568291027769	0.911948131287246	0.943618045252106	0.349303151164506	0.00335120210653099	0.373632995709761	-0.0300276473711329	0.694635054746457	0.00580004276213307	0.836166723455899	0.251667796057117	-0.323980825049346	0.410707725936286	0.562358974768117	0.491653979155428	-0.362982924607497	-0.134307339980837	-0.113949040600809	0.619256162471828	-0.108849221238377	0.583656069703026	-0.30423753651266	0.859788706660867	0.923126807999953	0.889750395080986	0.784747963319592	-0.370489406765887	0.378560157902961	-0.333967571866609	-0.510809905911869	0.52861709066438	-0.22244801681423	0.866486395834507	-0.211248706013834	-0.0759290060425766	-0.514052865597385	-0.314224268009622	-0.213639194960731	-0.026425406901039	-0.472356757583014	0.0271485733624362	0.340448646167864	-0.138470141956233	-0.400972565295375	-0.442926915078965	0.190598720255861	-0.551512755311589	-0.0646303137284922	-0.44693652505289	0.0293692335812566	-0.0635476524260017	-0.40773646381699	-0.606432805038838	-0.481142992377805	-0.0268066897089785
CD3G	0.971734311219612	0.921875675752886	1	0.868817070298546	0.660171904218777	0.438143287368999	0.93453022101317	0.784851462076475	0.798183567536917	0.26486968330833	0.702676661989943	0.663695104302679	0.316805192994985	0.928639802019522	0.181670096360944	0.179552081761967	0.0876698888130951	0.762828425985647	0.565669174710995	0.535958400232483	0.918993953513077	0.17738205911152	0.760118768335028	0.745469838586738	0.851305726393701	0.328352971821304	0.274184776641815	0.298964981863127	0.156503111258811	0.50484232702155	0.933250923297754	0.878338555282266	0.408045025355503	0.154355407624205	0.451299969782608	0.191384289285605	0.768899093295637	0.113340842617152	0.866223837607461	0.464886073998816	-0.190017407721862	0.470519136213566	0.467778394511809	0.444774990982177	-0.178213246987924	-0.0398900300252003	0.0881922822471812	0.392157536908243	0.0145074054536233	0.694477946414612	-0.185366105048572	0.845824084392032	0.92868681393885	0.902573780333992	0.638778237240107	-0.335742784750609	0.500099402339692	-0.20373589958799	-0.557348694910458	0.58366538836515	-0.150259832436316	0.91652557785669	0.00714946126673786	-0.0333434699165726	-0.331816225087202	-0.195389829840702	-0.0160905577259224	0.211541239469052	-0.390875483053689	0.247104803124983	0.409548304247784	-0.0196602830303635	-0.362597388375732	-0.257251110708408	0.277789257674444	-0.477566126077954	0.174585967368601	-0.266703956392935	0.127569325842388	-0.0693828654569929	-0.230161053875204	-0.488234508310118	-0.300032517097622	-0.0678999110345455
CD2	0.899288193104595	0.914542476780793	0.868817070298546	1	0.819416844597808	0.187344773344852	0.927134374262767	0.952051051831256	0.431512587666335	-0.101134048753968	0.602926107357492	0.243105082689712	-0.0653522251151953	0.904321974931681	-0.236675848722681	-0.184338714832297	-0.263794378725106	0.476112875465978	0.4709929580289	0.446376677864297	0.727278673221195	-0.206066670581593	0.923629910237234	0.495600903186527	0.965239644061062	-0.131908845307593	0.104510040156685	-0.111572297245214	-0.17732883000247	0.140760730106211	0.842950295624995	0.932155166241039	-0.00716753406243669	-0.158445311314768	0.0400844725076452	-0.0714143300583971	0.597199970869259	-0.259931302043792	0.926281861867997	-0.00103917412813739	-0.523528380480544	0.217046497327971	0.306352892098188	0.123668445853183	-0.502578145168905	-0.333887745865426	-0.319423269639777	0.613695904429548	-0.323025136442287	0.420591133523068	-0.532265613359869	0.811172505167895	0.924471382103808	0.904172394573116	0.825028367016894	-0.476597174692243	0.167374130126364	-0.494446055828087	-0.476875611756674	0.247182703533384	-0.38744449951702	0.795608649725482	-0.356926288259582	-0.286921265310672	-0.656507795386054	-0.546073017532769	-0.402038411599729	-0.170380041079305	-0.506134140722305	-0.183561436435561	0.0983081167208134	-0.34942044725504	-0.438836934668981	-0.577202078521133	-0.0336782169319975	-0.497812341179116	-0.232758757892399	-0.613165755526333	-0.185565177428138	-0.199502855770901	-0.537157633462886	-0.726919234124344	-0.54693246966289	-0.153115000887114
KLRB1	0.723489769524581	0.779374020142305	0.660171904218777	0.819416844597808	1	0.104420927709714	0.691839654549213	0.730876389043508	0.288715303624693	-0.144360353384785	0.495139385445311	0.13119727057158	-0.197155057113035	0.599978240363241	-0.293093575953272	-0.260930003898766	-0.341993397977687	0.291112364097294	0.290019605884302	0.263525191882551	0.523269831753478	-0.326540821718207	0.947362891206534	0.612583673529728	0.738226637129219	-0.202742728524692	0.184837161788772	-0.23583974889074	-0.185420998589322	-0.0155254868689392	0.684067383390767	0.725120984499548	-0.0773549690758498	-0.226008459224454	-0.0328785557862026	-0.226792876981062	0.463446387033622	-0.302710150152057	0.586024304478551	-0.0712403736110977	-0.499784875239296	0.190736300634523	0.278296667349006	0.0802582603715761	-0.616053094788667	-0.399163557628707	-0.355566536292696	0.843880268228154	-0.358351559174362	0.362338416236234	-0.533710440781429	0.570301173910051	0.687653517217673	0.77857320003306	0.784627542011634	-0.430873189151927	-0.0998316401143846	-0.548179291911654	-0.428191865773467	0.102572130105234	-0.382900974782448	0.673324117507255	-0.403441842175996	-0.253626054515805	-0.689001473819283	-0.569538751393282	-0.486418128913991	-0.245455943835597	-0.535894684525372	-0.222510336606603	0.0751638997456407	-0.289410999149286	-0.383571884242947	-0.642060487830398	-0.162602623267579	-0.564005903810834	-0.278505062171485	-0.640427218899577	-0.219962692031128	-0.143237881099086	-0.575014443425619	-0.717156746938217	-0.602868683798939	-0.0951211887779699
F2R	0.359179405225031	0.294427034057704	0.438143287368999	0.187344773344852	0.104420927709714	1	0.335441073537224	0.0935745921272991	0.56317083759785	0.752490213291701	0.15487103606539	0.677461736058353	0.791462995960464	0.403349814737615	0.785989563117595	0.765095107809425	0.747065147901756	0.797658027588402	0.583115753102721	0.501482945642092	0.450826827031874	0.679522234528084	0.114317026963911	0.450052112064016	0.152956453083589	0.753251193075844	0.507958988803322	0.519781365843492	0.884780079337062	0.865026006957323	0.300708795766021	0.339601084271183	0.577110159449181	0.558390055188936	0.653642735823415	0.751001900782011	0.590335218705111	0.365616872429609	0.225823570039634	0.696800062488858	0.484614656441087	0.693412399902164	0.0535405203503849	0.33018525877265	0.318405102399645	0.535655821531783	0.782795828353915	0.053749899833152	0.786437465208501	0.900225186845118	0.544969774693887	0.590168028006985	0.255679182931524	0.269092114000238	-0.0160295812401808	0.235396889694208	0.69025048910941	0.595148819051142	-0.0984297126545097	0.669883622349932	0.646570574636341	0.436292514761859	0.768674939209484	0.752726565873126	0.501347214741201	0.568472563609789	0.676897901653135	0.79665986248383	0.379380219903816	0.802667025328	0.70472693671973	0.663557656752357	0.508878100090671	0.335303681948632	0.799896619161685	-0.210247528458527	0.771033406538939	0.517238091419153	0.819104578779435	0.106462166829991	0.640231402240624	0.356477384521813	0.168421146033991	0.172952511856647
CD247	0.971082278833646	0.940707773186239	0.93453022101317	0.927134374262767	0.691839654549213	0.335441073537224	1	0.884290567472073	0.679020152982022	0.0466155153846298	0.746648857119493	0.518794207841682	0.13154888082901	0.880790646911336	-0.00788301702158338	-0.00143404442505228	-0.0572717875622628	0.634365443764634	0.546977504369684	0.434626855263851	0.901244795966853	-0.0205130792786688	0.816908031172511	0.653620158113291	0.892482857948836	0.125782570379441	0.25224966265419	0.139545733605232	-0.0144017465380701	0.336200118035706	0.955715425350051	0.965770846396111	0.271505788643438	-0.00518340351176801	0.288947314104266	0.0638897261295739	0.619739467856142	-0.0644598773882383	0.88419708996358	0.287819132524375	-0.319991785354697	0.391500409937879	0.379348112214734	0.375605094412848	-0.357031915792211	-0.0983925754861777	-0.0816395682340902	0.52075740147486	-0.105681505920859	0.57079727571504	-0.326237721700058	0.889413440353076	0.933040186570175	0.889412886791419	0.756178480154801	-0.361576802685444	0.394045007031441	-0.310377469609378	-0.486939547945538	0.440719446798821	-0.207726157182752	0.844095936837803	-0.171788025166749	-0.125165572815632	-0.481967583013117	-0.353250909740791	-0.196089158860785	0.0219242330209766	-0.406264052215453	0.0589063765318981	0.291865852885824	-0.165723657609208	-0.370533618475422	-0.44370688691034	0.212754190099678	-0.558454188637814	-0.0164066957075564	-0.443051698721419	0.0285136167732505	-0.105425904592713	-0.381678586417463	-0.604330302552342	-0.46611475402517	-0.0888454035967565
CD27	0.815955792841614	0.832198694216331	0.784851462076475	0.952051051831256	0.730876389043508	0.0935745921272991	0.884290567472073	1	0.316343346857427	-0.182806914189517	0.521941270525645	0.151288122473709	-0.156667859783777	0.837989125368922	-0.320458173018504	-0.261661849639959	-0.323402903415511	0.364794724819804	0.5205575986043	0.361848661692487	0.630514121340647	-0.2657306666251	0.865398960400028	0.376323124965889	0.971892375866095	-0.218186709744363	-0.0293085324677314	-0.160693556036664	-0.242295616254997	0.0485899963506897	0.767759210154922	0.918810058831118	-0.110128777137232	-0.221138943184039	-0.0561385898888153	-0.131885668233141	0.485334535195962	-0.319344183679519	0.873779653827852	-0.0842950167252001	-0.57310222961882	0.115915439340777	0.202351892772447	0.0275545324430257	-0.531773781402051	-0.340471164291931	-0.376970182946671	0.607496986118957	-0.387490123613119	0.327507163161619	-0.603582483995149	0.73367952346601	0.836823845512173	0.787722251956526	0.865655290715406	-0.485610444038456	0.117365413709291	-0.511442984577879	-0.409924647578995	0.152569705963505	-0.421853924791629	0.667215086480952	-0.414514949914104	-0.315545157368699	-0.660024474473674	-0.607001665154095	-0.447022512680913	-0.252288152571885	-0.46029517329155	-0.26241104634192	0.0250728162814301	-0.420888555352152	-0.39790217304158	-0.611554789267547	-0.087227084300641	-0.458007467419788	-0.315338630127889	-0.657789695663699	-0.265001582881403	-0.265512813549855	-0.581452694981286	-0.72122029503265	-0.535701500025405	-0.225099797190571
S1PR4	0.767760718844861	0.665842180860526	0.798183567536917	0.431512587666335	0.288715303624693	0.56317083759785	0.679020152982022	0.316343346857427	1	0.517929598143824	0.685339071452108	0.951818237814838	0.609321935069038	0.589068022296245	0.569381068414381	0.494369727001055	0.446817946337894	0.820212837177949	0.461258877866947	0.392322583392702	0.906808663243396	0.493058151970781	0.342606651692384	0.851508601096533	0.388638883080013	0.725260393808676	0.488241846451842	0.659168724050499	0.428268445569011	0.708509862990659	0.789036494227086	0.570395715661931	0.797845227365374	0.412883794896255	0.786620755267498	0.381465003308848	0.640729907288172	0.480537847934972	0.481320360692758	0.85761243797224	0.247881095636489	0.626478465222662	0.51884914719425	0.757612316960687	0.191853118807692	0.354285498337108	0.509272054505952	0.0966465927323019	0.407170619436966	0.765895892604974	0.271895028907258	0.65294795055019	0.646118355913578	0.614179676805601	0.225827975479384	-0.0355125080632671	0.705984014117472	0.198549032959061	-0.416706027637192	0.774206916199714	0.183134177987219	0.741328151962443	0.36513705130283	0.251855647578312	0.113767151887667	0.255045185419419	0.381904302157664	0.531539080709378	-0.11434115887522	0.635913152343706	0.620995388570989	0.340291534982062	-0.149937939492974	0.12286534945146	0.574941215977542	-0.380489187229148	0.54939325757596	0.161926079595224	0.458567080054836	0.123992604849172	0.156162768763618	-0.0994507066055455	-0.00871199887371835	0.0690615089501737
CD4	0.119141703931285	0.0275523536516677	0.26486968330833	-0.101134048753968	-0.144360353384785	0.752490213291701	0.0466155153846298	-0.182806914189517	0.517929598143824	1	0.0934367135919391	0.711334802079315	0.937716216002592	0.165568084338169	0.895677359930705	0.951892823618357	0.72711384525554	0.782160838667673	0.227337191860914	0.575305597306877	0.242749416891305	0.965643290377603	-0.156478717407915	0.343205940860772	-0.128444138600229	0.90407303757502	0.495011282261321	0.449125540649822	0.916983468190683	0.900006019737792	0.0717043248032576	-0.0232948493022483	0.633747623020804	0.897699514684995	0.71964996344498	0.925498367292803	0.597120061451308	0.695543210573443	-0.0517625433025608	0.794582788398818	0.474911181475858	0.329874789897691	0.0622031262657719	0.274239015771812	0.707862438530466	0.510030822929734	0.867759916747358	-0.258620556572513	0.730205825588668	0.731950070028731	0.518988031589969	0.231684653292907	-0.0212937649368111	0.111456058412244	-0.211481938969232	0.00622108238933671	0.467326953894969	0.565780402455782	-0.286887669009717	0.695388668103404	0.450281612640887	0.314665631098459	0.910083102784296	0.556653624299942	0.665695520439287	0.718581803802715	0.881566414809852	0.947664364204635	0.337002868097976	0.915087643998826	0.465723202563446	0.545707421496554	0.302346047415529	0.688157095637083	0.81477164276264	0.256563677040831	0.923811003976894	0.730125756359374	0.66751398418111	-0.111442240973599	0.786270714080147	0.447231912945164	0.668017227242707	-0.141776290523823
