""	ITGA4	CD44	NCL	CD8A	CD3D	CD3G	CD8B	RPSA	ITGB1	CD2	PTPRC	CD69	PTPRA	CXCR4	PTGER2	KLRD1	SORL1	ADRB2	ACTR2	CD6	CD247	CLEC2D	KLRF1	HAVCR2	CD63	LAMP1	LRP1	VSIR	CD74	ITGAM	LY96	JMJD6	STX4	APLP2	CD163	RHBDF2	PTGER4	FPR1	IFITM1	AXL	TSPAN14	TREM2	CD81	KLRK1	CANX	TNFRSF1A	PLXDC2	CD4	CD46	C1QBP
ITGA4	1	0.321454224771154	-0.0656111575177087	0.822264147629976	0.593012652158027	-0.025403235570437	0.235548772803308	0.27434088954859	0.213525107932355	0.414695399883021	0.251156391585315	0.696254878459586	-0.0900201893612855	0.720968764913039	0.121259372882585	0.449798738667112	-0.0371804527774081	-0.132319865345444	0.212316962209148	0.220592993977383	0.444651293193839	0.509517428682964	0.133417974180424	-0.0186795855496108	-0.0998170155471067	-0.0716344419721902	-0.0413170225671198	0.0105721032225492	-0.0275808759734046	-0.0495606024804138	-0.0609656988364599	0.346561819300343	0.0240419951255202	-0.0558391701454328	0.056995659333272	0.0588877785157975	0.0492454370485824	-0.01671298858915	0.324194711650152	0.025145597661279	0.0498637130111269	-0.0516371077916451	-0.0660912635724839	0.15351530020703	-0.0120235174861281	0.032532786162077	-0.0639641804317143	0.0341025541724025	0.282248465273073	0.157524088681935
CD44	0.321454224771154	1	0.259640957499031	0.653263639337623	0.887032951657505	0.870378005516685	0.885102856130527	0.590644964551931	0.183218361873718	0.919580983815705	0.657183642281875	0.728991193041244	0.284483163695585	0.586617482466893	0.821135089510722	0.80131781276891	-0.149299015783088	-0.156608090413769	0.110556499209145	0.90536930610213	0.692296360411821	0.699082235285444	0.753088035761437	-0.0526217795307796	-0.158379391517086	0.00135104025725486	-0.0959234463309965	-0.202876819648206	-0.10101145475755	-0.196242521566085	-0.259129768255529	0.0140057765371851	0.0846388982926537	-0.0421802581305422	0.0212981017154453	-0.054579688298696	0.358330276973726	-0.201061152593061	0.835398831891363	-0.165434232021029	0.00966275128462557	-0.151215480086073	-0.124828867831519	0.861007517013973	0.194284210586526	0.196076945726455	-0.162228522462735	0.0625501662455634	0.282084596285305	0.464769792057251
NCL	-0.0656111575177087	0.259640957499031	1	0.190207190985695	0.0464669985721024	0.157788673068293	0.390560002934211	0.768759799119936	0.811171612271904	-0.0220299622292068	0.601291011024848	0.394857483171675	0.712123944395168	0.249746984917796	0.0414628629191494	-0.1567419086003	0.665850902228186	0.475580464869786	0.725173487089461	0.00252835073126564	-0.240298792722269	0.402157860401744	-0.153179514854228	0.658018595733647	0.712934993164752	0.75818950329222	0.77747797919907	0.470469445401101	0.704650768662371	0.549030434690781	0.536016623758869	0.629006808163882	0.83366378036109	0.768871014162078	0.683482640898609	0.627283258218983	0.827121361727755	0.644453435948343	-0.0869613388402969	0.619482065708967	0.74842304410795	0.665005054103847	0.687456923209988	-0.0511516834104892	0.834536997927765	0.705316241680315	0.695896887473653	0.715636719658583	0.525270005341717	0.788891553607364
CD8A	0.822264147629976	0.653263639337623	0.190207190985695	1	0.839831362349738	0.335655519654963	0.631699777019179	0.493640892573558	0.313899092044631	0.671963296548975	0.545688674851595	0.85495210949472	0.211573158599231	0.833621502201277	0.439424582743586	0.620944203833884	0.00980323258242374	-0.0352805051667334	0.276372551493458	0.521924715114799	0.58742336877032	0.706580173923831	0.384497190544415	0.0375798514879624	-0.10616838287442	0.016262916619141	-0.0238475266575099	0.0289895382896892	0.0116531702342714	-0.105467761946613	-0.125939634562473	0.366457256786969	0.10975025135027	0.00237887679103126	0.0521305594406009	0.106645803892972	0.305135702048216	-0.00409177494479598	0.575773635514785	-0.0235543328973666	0.139202691005208	-0.0572093660074375	-0.0673116496560767	0.459226293588393	0.131204889827951	0.172371664477853	-0.0202877703429179	0.111651501000828	0.380136558874724	0.347568589299114
CD3D	0.593012652158027	0.887032951657505	0.0464669985721024	0.839831362349738	1	0.727376420465214	0.811987298277357	0.430126119617792	0.0490250546756014	0.954002082836398	0.523802875028293	0.745051296073309	0.113942133783527	0.74877356712367	0.759094768713094	0.874714968613654	-0.282104677385074	-0.225122183781656	-0.0112683796924509	0.851052434279633	0.796126502018874	0.740715368112063	0.724213791620481	-0.212400109893174	-0.376257740115537	-0.217454250389836	-0.28157083185212	-0.273422605045211	-0.282251977466132	-0.360113182005146	-0.397703321321312	0.0191003909288601	-0.122108372107064	-0.232971802027693	-0.180588386162972	-0.173291962180532	0.204228760632282	-0.345493452840066	0.855330512662432	-0.31813990008315	-0.139958703329015	-0.336101569262822	-0.319626284057817	0.815420670764102	-0.0312702895096498	-0.00830079047857324	-0.324012747404768	-0.135874510563711	0.167537643855388	0.300251791323706
CD3G	-0.025403235570437	0.870378005516685	0.157788673068293	0.335655519654963	0.727376420465214	1	0.826037597566092	0.339431287764187	-0.0722824716683681	0.858676600327051	0.464952729950743	0.380012125016717	0.292523117031594	0.329915431437643	0.85271971607179	0.731075537219187	-0.306063525743753	-0.193914005135897	-0.155510747025576	0.926305877953745	0.594509087489658	0.531372042743877	0.791159970257601	-0.211185132876635	-0.332221443860857	-0.15687073701862	-0.248992560938798	-0.376071424484249	-0.308910036646446	-0.371232416412759	-0.437156054964829	-0.234970919219793	-0.11622141119162	-0.192630452431094	-0.214204249072104	-0.232760379273051	0.250021472897203	-0.374512995272713	0.789442948971941	-0.37750816749837	-0.189336523302665	-0.338505889059723	-0.292937962739569	0.906491459753627	0.0343158295574644	-0.0276702888421855	-0.339635658903019	-0.160455108352358	-0.00822848047725386	0.307258938581119
CD8B	0.235548772803308	0.885102856130527	0.390560002934211	0.631699777019179	0.811987298277357	0.826037597566092	1	0.511460627027355	0.266881264667495	0.808884478067246	0.641611695720311	0.634495563408929	0.51556850605763	0.581887234251605	0.887178184678305	0.77298573130986	-0.0660916994076859	7.22606305996557e-07	0.155282946917169	0.796445553610788	0.696309290095154	0.7098520399723	0.777143272425525	0.0194570858415769	-0.126779325822079	0.0851517590404246	-0.024450746854733	-0.126235864146751	-0.0796504134815747	-0.175198064405086	-0.2655615063033	0.110537034354148	0.114580250895473	0.0266386599780042	-0.0112375384492384	0.00450442772026639	0.560242877772434	-0.139474414897778	0.840248450436756	-0.158541005295209	0.0809220704171729	-0.123152281217939	-0.101783994654196	0.838761239558774	0.253106862001649	0.138256204223298	-0.0876848596259041	0.0720220492938316	0.209919795372077	0.393697283747956
RPSA	0.27434088954859	0.590644964551931	0.768759799119936	0.493640892573558	0.430126119617792	0.339431287764187	0.511460627027355	1	0.731733957251194	0.363659431590074	0.709257356337601	0.750789495971423	0.387401172518041	0.467586367601766	0.216639375874083	0.166010104341592	0.43948202476412	0.155413027679317	0.645116736799554	0.296851976383966	0.0731358716871673	0.493208684394418	0.0597598370288855	0.472689944997468	0.566828070973021	0.587389770121397	0.558988746571774	0.309846176562281	0.60360777681055	0.385066254419739	0.531920847806487	0.491086872339435	0.695511344788339	0.563658340262366	0.652197984242885	0.446756025434137	0.645098275194158	0.424925485988772	0.193711424081146	0.545380951317342	0.584245958007782	0.562384163211866	0.556357292835811	0.194857231649914	0.713994681377641	0.680994610820592	0.496403554827326	0.611113177904686	0.570682384672193	0.830604019097383
ITGB1	0.213525107932355	0.183218361873718	0.811171612271904	0.313899092044631	0.0490250546756014	-0.0722824716683681	0.266881264667495	0.731733957251194	1	-0.0796697351659813	0.650908505272153	0.593537004546255	0.595152835979155	0.362636211640246	-0.0013183719131154	-0.0605547093736955	0.744833559699282	0.526274175378084	0.879516264939165	-0.0903343651659739	-0.0607587701082174	0.401506107738373	-0.134781472452305	0.783873328992513	0.82970876991775	0.884542209535174	0.848207114865939	0.650887902118915	0.812343727393655	0.660515389808443	0.658766278240713	0.806259416061441	0.900410706671953	0.822356007517185	0.805138775635673	0.739198466262698	0.821343383977157	0.769901880374607	-0.0483719255477081	0.812024202955594	0.862983877241079	0.842435050999042	0.82448498374101	-0.114562768639572	0.854241892856276	0.77426190577244	0.817596109162973	0.848001742758165	0.689351221098039	0.630015395821886
CD2	0.414695399883021	0.919580983815705	-0.0220299622292068	0.671963296548975	0.954002082836398	0.858676600327051	0.808884478067246	0.363659431590074	-0.0796697351659813	1	0.476294171804012	0.629356219271017	0.0926692764008166	0.612380376967417	0.818237231270467	0.890339373948603	-0.384567999734898	-0.29925859749376	-0.133383385531454	0.937750155624269	0.778233864775865	0.65072366443459	0.794240181111177	-0.284650534274503	-0.449621584433198	-0.288007747751636	-0.360481686069787	-0.39027395729432	-0.380324080171793	-0.430538373395833	-0.480551210090126	-0.157395772981377	-0.212709733657777	-0.312130496223331	-0.274031433283145	-0.265207153836434	0.124389749403059	-0.45219803821952	0.881681206114068	-0.414241232145622	-0.250116933393862	-0.421968214473569	-0.394153326981857	0.901771303865167	-0.0939617494007981	-0.0662429866046281	-0.430920992401274	-0.21993202971922	0.0792074593249312	0.267067196952002
PTPRC	0.251156391585315	0.657183642281875	0.601291011024848	0.545688674851595	0.523802875028293	0.464952729950743	0.641611695720311	0.709257356337601	0.650908505272153	0.476294171804012	1	0.753094954546176	0.459706243255976	0.731079918289781	0.423903479046161	0.378692860223886	0.597533719015188	0.561880285739866	0.702708034758538	0.467024119623605	0.309324623986029	0.75457450611746	0.315779995343087	0.629523380024682	0.363935920963053	0.545562140559957	0.519210075038599	0.557765877586619	0.5667255816433	0.455790754088596	0.136418498064854	0.634589668357812	0.609755119055107	0.529288526598483	0.507235425635539	0.653020630299143	0.75987316471815	0.494921918146809	0.385432620646282	0.503640681464733	0.678276073846416	0.490258319864406	0.480945269477639	0.404601755804046	0.587022120707737	0.778023863584467	0.545887135833442	0.666958004612673	0.734792239715016	0.51267870989444
CD69	0.696254878459586	0.728991193041244	0.394857483171675	0.85495210949472	0.745051296073309	0.380012125016717	0.634495563408929	0.750789495971423	0.593537004546255	0.629356219271017	0.753094954546176	1	0.327858538361202	0.78760079838133	0.456777304444938	0.577912253671998	0.249167570443921	0.0836916516136006	0.571127383052888	0.522430996810033	0.52243934779811	0.732169804243154	0.360786709486274	0.34883450506555	0.257778527975943	0.377984327174234	0.314105464329131	0.223105511313817	0.324532271766521	0.198396530847283	0.19447274998669	0.513415011646278	0.445957557737077	0.339764269124417	0.41641523167759	0.353226827010037	0.535573785203038	0.256473700591232	0.541427069245322	0.325729232834682	0.430684051229705	0.303037756964347	0.309730905861786	0.44963564269124	0.494391870065685	0.498920251735085	0.276065773001165	0.447985394991563	0.578327340417552	0.555273500124455
PTPRA	-0.0900201893612855	0.284483163695585	0.712123944395168	0.211573158599231	0.113942133783527	0.292523117031594	0.51556850605763	0.387401172518041	0.595152835979155	0.0926692764008166	0.459706243255976	0.327858538361202	1	0.188187076630612	0.326706648993122	0.125936809810882	0.409968548405858	0.341856689996509	0.543875153956393	0.219336569341219	0.0425142381107997	0.397189140795155	0.158040753408422	0.526209405633681	0.458739402090206	0.613517327835382	0.564006669131274	0.261485304671682	0.354348911950716	0.3681214035193	0.25593439501068	0.481768743409095	0.50674367530522	0.587618951525846	0.371954273966354	0.480535378455786	0.731036823899589	0.461532472730716	0.189661875818528	0.287137167089872	0.521943857374067	0.364996473740218	0.445407329548533	0.195924655578802	0.681075444149605	0.391073007977636	0.437314499182446	0.528239779160567	0.323473894982256	0.486069140744958
CXCR4	0.720968764913039	0.586617482466893	0.249746984917796	0.833621502201277	0.74877356712367	0.329915431437643	0.581887234251605	0.467586367601766	0.362636211640246	0.612380376967417	0.731079918289781	0.78760079838133	0.188187076630612	1	0.394177408917172	0.554670269073884	0.292864083688843	0.338222563794831	0.460919919582122	0.456765007357008	0.499848013010538	0.856315516888762	0.323755524726058	0.308612860826215	-0.0284681657607441	0.149050647160762	0.178385333866797	0.306822996456168	0.191528316481813	0.158648537714889	-0.14381837359731	0.565000019357219	0.240874693189433	0.201349064544984	0.194882101844148	0.368370141886174	0.490675250268369	0.192006018282003	0.482528747082986	0.171316597416512	0.357359164950568	0.0984611091170473	0.109856880241516	0.398556889159334	0.235680857923864	0.385964852618645	0.187399212449113	0.291634756609605	0.523746408841421	0.318888607013872
PTGER2	0.121259372882585	0.821135089510722	0.0414628629191494	0.439424582743586	0.759094768713094	0.85271971607179	0.887178184678305	0.216639375874083	-0.0013183719131154	0.818237231270467	0.423903479046161	0.456777304444938	0.326706648993122	0.394177408917172	1	0.902485787943069	-0.331615075230039	-0.17329407344204	-0.116239694505832	0.863418515353012	0.869050288884366	0.534066380434211	0.96350563776461	-0.19498006942684	-0.328598538195339	-0.124695759868585	-0.273558739759813	-0.320367014228889	-0.351911853063595	-0.349409436980448	-0.444298533966544	-0.163651158856217	-0.156768390647045	-0.205694657251579	-0.240028136969276	-0.242218966094148	0.298438944008845	-0.394642921577242	0.962197269140237	-0.379599714678971	-0.173269880694251	-0.337443532192045	-0.309168988554335	0.960891986082549	0.0332885732414153	-0.12023035020697	-0.33085576012594	-0.148365034910408	-0.00449482992335559	0.14209308762171
KLRD1	0.449798738667112	0.80131781276891	-0.1567419086003	0.620944203833884	0.874714968613654	0.731075537219187	0.77298573130986	0.166010104341592	-0.0605547093736955	0.890339373948603	0.378692860223886	0.577912253671998	0.125936809810882	0.554670269073884	0.902485787943069	1	-0.43148486106556	-0.276295221397236	-0.154303466114066	0.877206781484206	0.960941497117237	0.600433319231781	0.929121844279874	-0.286918844274179	-0.449455709284029	-0.261017952081786	-0.375793068035081	-0.366400081873402	-0.443764538183649	-0.411534523366776	-0.502305065000671	-0.140345348597752	-0.267129277936186	-0.336927994467772	-0.324956643191275	-0.273067008792324	0.114804940806044	-0.47271334566459	0.976801428815932	-0.428852769167957	-0.27074418361825	-0.427057329151271	-0.412912735403531	0.92559386851375	-0.129337978528789	-0.186807433007923	-0.441377958063412	-0.213560165158744	0.00101524528784725	0.0893539988347032
SORL1	-0.0371804527774081	-0.149299015783088	0.665850902228186	0.00980323258242374	-0.282104677385074	-0.306063525743753	-0.0660916994076859	0.43948202476412	0.744833559699282	-0.384567999734898	0.597533719015188	0.249167570443921	0.409968548405858	0.292864083688843	-0.331615075230039	-0.43148486106556	1	0.860193805954257	0.896833877216439	-0.384706750575578	-0.421412796290924	0.251219662626703	-0.456099750276912	0.942740035086114	0.788076836338072	0.828596019289966	0.895636759088321	0.92659410107799	0.937051503782601	0.898474400428062	0.592046700134878	0.854848551073228	0.833021677175188	0.875612832782133	0.817000418531412	0.933650780808678	0.701861484351256	0.943682392174758	-0.426984775693513	0.903216356170272	0.954137625901348	0.882823844209917	0.880784442559495	-0.437224883240869	0.732045367654432	0.869987521301878	0.965279948825592	0.890292464855642	0.713366670542736	0.327139607621684
ADRB2	-0.132319865345444	-0.156608090413769	0.475580464869786	-0.0352805051667334	-0.225122183781656	-0.193914005135897	7.22606305996557e-07	0.155413027679317	0.526274175378084	-0.29925859749376	0.561880285739866	0.0836916516136006	0.341856689996509	0.338222563794831	-0.17329407344204	-0.276295221397236	0.860193805954257	1	0.680911510793015	-0.275159727940897	-0.249676109163819	0.304630104903315	-0.247861528204206	0.783777717066816	0.488183076147786	0.624371189164117	0.667101792874757	0.853782818844159	0.699232881711384	0.691770498671799	0.236020545048125	0.73638849880553	0.603293479589585	0.653605994853747	0.52172872474385	0.813787742392066	0.644861390207352	0.744865885237241	-0.279355494507568	0.658220403204478	0.773479035980485	0.631356795105456	0.612707204520448	-0.263595344734854	0.470878456218054	0.680465992731526	0.77339943837296	0.687671629338536	0.557426715373366	0.090522396256132
ACTR2	0.212316962209148	0.110556499209145	0.725173487089461	0.276372551493458	-0.0112683796924509	-0.155510747025576	0.155282946917169	0.645116736799554	0.879516264939165	-0.133383385531454	0.702708034758538	0.571127383052888	0.543875153956393	0.460919919582122	-0.116239694505832	-0.154303466114066	0.896833877216439	0.680911510793015	1	-0.155136678963697	-0.182415168606961	0.423541440675757	-0.27020404972646	0.942502719775649	0.838329352626044	0.904609553783998	0.927178153284246	0.818268073170644	0.898648516695448	0.863657245928142	0.664994663631781	0.897679361608739	0.881789668416086	0.92295163036528	0.880378626783944	0.914973190316859	0.788618264914927	0.888578259412994	-0.167778798359163	0.897005762438242	0.957267881830201	0.884782308703136	0.911050290538556	-0.22874883970005	0.877047715719698	0.898907423139577	0.922531759102151	0.948732334205944	0.765699550605391	0.540863080491367
CD6	0.220592993977383	0.90536930610213	0.00252835073126564	0.521924715114799	0.851052434279633	0.926305877953745	0.796445553610788	0.296851976383966	-0.0903343651659739	0.937750155624269	0.467024119623605	0.522430996810033	0.219336569341219	0.456765007357008	0.863418515353012	0.877206781484206	-0.384706750575578	-0.275159727940897	-0.155136678963697	1	0.754059181012664	0.589987432868095	0.851304381619602	-0.254125731441699	-0.397732263806207	-0.220670911972994	-0.317781008697474	-0.386360428717148	-0.376847775166119	-0.392409255381443	-0.47809911573454	-0.200467688349351	-0.210621331389232	-0.266519980006435	-0.284533812351167	-0.234597912214312	0.125235790668546	-0.420529918220342	0.886031734424516	-0.423278461888613	-0.242108894341994	-0.398078221970426	-0.359581667159774	0.942254524964963	-0.0539234465628317	-0.056916399574724	-0.405863877535401	-0.161082626300531	0.0310201467520903	0.270715555200924
CD247	0.444651293193839	0.692296360411821	-0.240298792722269	0.58742336877032	0.796126502018874	0.594509087489658	0.696309290095154	0.0731358716871673	-0.0607587701082174	0.778233864775865	0.309324623986029	0.52243934779811	0.0425142381107997	0.499848013010538	0.869050288884366	0.960941497117237	-0.421412796290924	-0.249676109163819	-0.182415168606961	0.754059181012664	1	0.509727576253108	0.921841336970658	-0.306840685783789	-0.450888892280091	-0.276489277757473	-0.415199783790719	-0.319854987053483	-0.437975215309992	-0.414008020584012	-0.491036205631724	-0.143464760128006	-0.282751192892676	-0.377387292978595	-0.329346636760145	-0.310469495395691	0.0767294100170463	-0.467185779821631	0.949470413080484	-0.412887565682552	-0.269553689925416	-0.411815697190082	-0.42445575664223	0.859903831498258	-0.184808769940019	-0.243637385442724	-0.422392156845855	-0.238571224699934	-0.00340453212803963	-0.0553696134218805
CLEC2D	0.509517428682964	0.699082235285444	0.402157860401744	0.706580173923831	0.740715368112063	0.531372042743877	0.7098520399723	0.493208684394418	0.401506107738373	0.65072366443459	0.75457450611746	0.732169804243154	0.397189140795155	0.856315516888762	0.534066380434211	0.600433319231781	0.251219662626703	0.304630104903315	0.423541440675757	0.589987432868095	0.509727576253108	1	0.451324436436824	0.279469258533886	-0.012776701696528	0.213071650983418	0.231782790784673	0.153412141672806	0.150434988542587	0.101300393405083	-0.195052461607884	0.488315104568576	0.340255923637674	0.244960590366071	0.22685324447371	0.337186963383092	0.621338730569676	0.181559755001087	0.567120366351953	0.116276775772513	0.339573546749773	0.0774206283870504	0.117676466014219	0.540898262292329	0.318287595624534	0.373680743130427	0.159342101577992	0.294651955997202	0.419522862839598	0.395625870275135
KLRF1	0.133417974180424	0.753088035761437	-0.153179514854228	0.384497190544415	0.724213791620481	0.791159970257601	0.777143272425525	0.0597598370288855	-0.134781472452305	0.794240181111177	0.315779995343087	0.360786709486274	0.158040753408422	0.323755524726058	0.96350563776461	0.929121844279874	-0.456099750276912	-0.247861528204206	-0.27020404972646	0.851304381619602	0.921841336970658	0.451324436436824	1	-0.332358697182142	-0.468500077601052	-0.276842119731434	-0.425864969037127	-0.39634886620241	-0.474322174823415	-0.44957485031028	-0.555327507134968	-0.283000697733052	-0.300599357086551	-0.381448368522194	-0.384534926739095	-0.348280867407867	0.110936919818941	-0.517567589180009	0.964250835768143	-0.486535532237995	-0.318332069324491	-0.453489959557236	-0.454477679390191	0.961159102903031	-0.1659582990282	-0.245000829552009	-0.461704182152496	-0.265365837980078	-0.081132834981417	-0.0167689803974018
HAVCR2	-0.0186795855496108	-0.0526217795307796	0.658018595733647	0.0375798514879624	-0.212400109893174	-0.211185132876635	0.0194570858415769	0.472689944997468	0.783873328992513	-0.284650534274503	0.629523380024682	0.34883450506555	0.526209405633681	0.308612860826215	-0.19498006942684	-0.286918844274179	0.942740035086114	0.783777717066816	0.942502719775649	-0.254125731441699	-0.306840685783789	0.279469258533886	-0.332358697182142	1	0.840444618658279	0.909625560744156	0.936024199157301	0.886641822398015	0.906882587300746	0.918920870661289	0.635688700322867	0.853532997495408	0.840906156053263	0.932018173141921	0.820956114812454	0.950768626661462	0.743536447800367	0.929785150311696	-0.2912656021364	0.902839360862195	0.963552060662348	0.899440385936345	0.923891447663535	-0.308893004034161	0.827023068611895	0.886429129374011	0.948780433651518	0.941127479528775	0.712044295908476	0.421095304382836
