""	THY1	LRP8	LRP6	CNR1	NRCAM	ITGB8	CAV1	CHL1	C1QBP	GPR37L1	VLDLR	SDC3	KLRC2	SORT1	FZD3	LRP5	GRIN2D	IL1RAPL1	EGFR	LRP1	F2R	IGF1R	CD47	ADGRV1	INSR	PTPRS	AR	SLC16A7	ERBB3	RAMP2	EDNRB	TSPAN5	ITGB1	PTPRK	CD46	VANGL2	PDGFRA	CELSR2	SORL1	CD99L2	ABCA1	CHRM3	KCND2	TNFRSF12A	NRP1	FGFR1	CALCRL	CANX	NOTCH1	GRIN2B	TFRC	PLXNB1	TYRO3	CADM1	MCAM	CD82	ADCY9	LPP	ATP5F1B	IGF2R	CD9	RYK	ANTXR1	PTK7	SLC16A1	NOTCH4	TSPAN12	SCARB1	ASGR1	RIPK1	CD81	MRC2	CDH11	MYLK	APLP2	PDE1A	CACNA1C	MCFD2	DCC	RACK1	KCNJ10	RAMP1	TNFRSF21	FZD2	NT5E	LINGO1	NGFR	GPC1	TNFRSF19	ITGAV	PVR	PLXNB2	SEMA4C	EPHB2	S1PR2	NOTCH2	PLXNA4	PLXNA2	NCSTN	LIFR	TNFRSF1A	HMMR	PLXNA3	AMFR	APLP1	PTPRJ	SMAP1	TNFRSF10B	CD63	PLXNA1	SLC1A5	PTPRA	JMJD6	RXRA	PILRB	TSPAN14	EPHB3	PLXDC2	NRP2	LAMP1	RPSA	STX4	EPHB6	CDH10	PTPRZ1	HLA.DPB1	LRP10	CXCR4	CD74	CLEC2D	HLA.DPA1	NCL
THY1	1	0.313242384930607	0.380821854289912	0.206948409709935	0.495826204111991	0.588107220712526	0.338129432428876	0.435017589707448	0.591332765863072	0.666310324087323	0.414892788221727	0.576362145853754	0.414644953600472	0.58782163750954	0.230929466077915	0.54034699605197	-0.0692316584190641	0.434257384590075	0.284208944314405	0.595064625931208	0.638876022179038	0.194701200003684	0.553346954097115	0.307119423971375	0.239910053158782	0.0869379723462132	0.602419945680387	0.39807887063718	0.559649387560614	0.552129590224777	0.558992607534125	0.275437483525561	0.748595338177119	0.68187189140748	0.420041069352443	0.36944113849218	0.517815833329354	0.4855115802211	0.147982735886153	0.347247844784296	0.171177373091196	0.418906015464171	0.542300552810794	0.591203608253412	0.0897787898576854	0.348197860206887	0.565233387512427	0.405637019406498	0.64902807179246	0.196681039423048	0.476954694410643	0.555846053346254	0.624687827468394	0.61449814885368	0.850519618999334	0.639024129669763	0.396364461864277	0.703962797386103	0.594336714405197	0.448732870930547	0.379087134961132	0.449434173257411	0.730599828689585	0.545056686479313	0.126493243077952	0.363637310113036	0.645292378616543	0.242323361992324	0.384515211761102	0.591189336306222	0.676318967416941	0.630800859323741	0.786461236585754	0.491090245357166	0.559628983244216	0.14897998158736	0.207316897004336	0.610410749303548	-0.036433693990708	0.590118070056285	0.567550923032374	0.552059947943471	0.729963059364475	0.520484228611409	0.598810009606087	0.650738140366764	0.0410829455606107	0.792471623593255	0.349174586151638	0.693347096443949	0.441694737537053	0.552491617490477	0.520121334580107	0.33618524919079	0.634719628832826	0.714561191867838	0.0455429615121474	0.0530621135601684	0.558209037342364	0.467305483778219	0.670360454019307	0.417053623737348	0.057677894616016	0.573817259138858	0.266462023557034	0.43713132388473	0.552837042202848	0.4639680154013	0.827263761418865	0.470703729314664	0.420873474950504	0.592922962212486	0.466201957639193	0.210591306814284	0.380066728423672	0.27546064191321	0.471176712735827	0.143598544916117	0.310917838890431	0.684936702710321	0.62937562776254	0.472002231412322	0.101924319132493	0.410417207062801	0.571906284725792	0.0505625725200317	0.5986171530414	0.010968542866615	0.0716187817589276	0.357187754816663	0.0530794493395702	0.554492031904186
LRP8	0.313242384930607	1	0.929677181717626	0.806492272879998	0.775568373728259	0.581743560732142	0.0318272414209992	0.581865705780054	0.672745710184791	0.396283019102382	0.600762718698722	0.623927416179865	0.822270840700998	0.707651212476693	0.87259787790059	0.689391812075569	0.664738401426304	0.764504397617953	0.690385250310187	0.658394999198802	0.837155973071561	0.763625619524237	0.750221660688789	0.089890782226909	0.590903803696074	0.855165682163897	0.460143974024121	0.876314658729675	0.450383446563352	0.773073946492461	0.203964366701367	0.882080480160285	0.369527744620954	0.723586515289276	0.908067537702568	0.908575125376868	0.615256251435744	0.793685799138574	0.309272329608535	0.844326840478319	0.530796556717733	0.720598510274818	0.555370836343768	0.434709855003295	0.54664514230888	0.550191118621989	0.590489234897142	0.519812953343081	0.500397407345997	0.882176104471434	0.80993504321606	0.637529626989	0.50288150190379	0.678574835807385	0.397805665669143	0.485245595059499	0.785684948885339	0.652270570046261	0.744092153304887	0.746494185883278	0.0708045702614155	0.896247781255853	0.676855541174682	0.789909033278785	0.136599279436682	0.616260295414315	0.461740209513355	0.46008637728498	0.84616808081258	0.626499716010945	0.365017250529871	0.286424939425099	0.575640867579536	0.0465240637851167	0.616519642570902	0.74210916348226	0.728597943170168	0.596244612192955	0.783552963545377	0.590489888261246	0.508038748441953	0.110611793536765	0.519297302443747	0.602079428018043	0.48322834080768	0.740696410004957	0.701884503282972	0.525047438263722	0.38298410563528	0.562484672551105	0.778742671615337	0.626916812485406	0.660325974304068	0.884577427493274	0.534494095530795	0.289736340960947	0.768425480491399	0.817853137290751	0.662878402909562	0.416854163594252	0.220035315204726	0.442120940625762	0.836781211127269	0.733684247137564	0.903867996925974	0.624396936585302	0.816923755592434	0.678271538773385	0.43868385038973	0.820373111988775	0.230351763018968	0.794645661856062	0.683556735505239	0.356770751518627	0.838509318940797	0.665867342305066	0.653608948857951	0.121314614812696	0.485582277156847	0.56521429359453	0.614504527492854	0.483700640502394	0.679633189503446	0.746171043581423	0.533114722076132	0.0194611482047541	0.264672192138177	0.0564699483792602	0.065639660240045	0.734005646400002	0.0341549678740065	0.776555811216703
LRP6	0.380821854289912	0.929677181717626	1	0.768660993011189	0.818808518744048	0.668388942012251	0.12175427576631	0.627935868861134	0.745026915464262	0.452707298859886	0.677273330899029	0.693120557688829	0.847534064571673	0.792478453987004	0.886969468052324	0.751789057170299	0.610512969276505	0.798482185112838	0.702536684249143	0.7306784208362	0.894139145966696	0.783078504349037	0.8173188195745	0.127689324144812	0.68529382337415	0.751803461752458	0.531228564697496	0.93069508070651	0.524174807709871	0.826405843912901	0.294258282166887	0.860717552787045	0.432106696945154	0.731594879256042	0.942139582544404	0.943503445328748	0.654225607897371	0.856145114782554	0.325803392951823	0.815958499404836	0.580793908163996	0.799807901549246	0.610837124863875	0.546122325231561	0.547702174615918	0.6168329878884	0.722471725618908	0.633917543768766	0.579207416705934	0.877679658252981	0.842684652079995	0.684748452080978	0.566490733251411	0.788940531688971	0.471404010769383	0.545619800278938	0.832303954374812	0.728264390188192	0.80127036012749	0.825863885736494	0.181700168457294	0.930196989265284	0.747980703309968	0.832922083796315	0.210421262850605	0.7328334933035	0.566648059162205	0.562007321260784	0.813336834478817	0.727491754834395	0.47170434652834	0.383347006060486	0.662151826246714	0.119431579571627	0.719775419017067	0.64418946977853	0.727630206844316	0.692000705730018	0.724564567707304	0.672200769617681	0.58494638742663	0.194847048131006	0.598918969913432	0.641941981875025	0.576363019861908	0.780224126238813	0.714981056748975	0.566515627440662	0.434992833969517	0.655703613659771	0.801555919872571	0.721024460221242	0.736363064418702	0.874355935157608	0.605159316278222	0.393300290330059	0.755996601784441	0.76039189556373	0.721796903195968	0.493516367226512	0.32474597690954	0.529533786952223	0.787650925052505	0.84249115672744	0.860840375275297	0.717333106008391	0.89273778808203	0.809889814330974	0.533537163870194	0.821313565139054	0.331417300826641	0.879666437514325	0.782504737177527	0.47802680091483	0.868563453138841	0.678651430534296	0.703335659662515	0.169546809778053	0.554141404504687	0.666541508327445	0.689937737872035	0.580580538902493	0.594072004854603	0.757845309649779	0.615173923327987	0.0519462299468938	0.353758163145297	0.079216822062672	0.0998486783948594	0.716331440275845	0.0610091496859468	0.854378993476019
CNR1	0.206948409709935	0.806492272879998	0.768660993011189	1	0.795010881055791	0.534246612536559	0.0110424389928971	0.723054089914108	0.491007313473203	0.413824453190958	0.648875982797086	0.616877569425168	0.612713011769121	0.668998189595694	0.866625324364169	0.476578876537677	0.662191769922158	0.648900297490078	0.735968715243865	0.596240804538782	0.705559483882874	0.751722663427108	0.708316534335813	0.383590167902502	0.471176516957905	0.816543772739016	0.539000645092331	0.724698394628415	0.320324747345782	0.594105991377825	0.433543623730631	0.857810440219849	0.31180879054955	0.56682883248453	0.761018893800692	0.81009812590085	0.320575106962372	0.753723494672073	0.337267400489043	0.865341962836025	0.549637634804296	0.534069625736337	0.284822375475869	0.336023319749222	0.529741369185987	0.447494829590383	0.443926473085779	0.414548949033183	0.359290524918884	0.891315762587597	0.599340225133526	0.68911399990921	0.430834408958323	0.509968952573307	0.292113153125996	0.246127234075171	0.809660692042526	0.576863518491888	0.548382296217542	0.721256266640618	0.0364065005139523	0.783412300990752	0.593906090489711	0.575788452477216	0.103090595141933	0.461895839210744	0.299628702832511	0.310242245478806	0.821897803783476	0.55327331236069	0.389344034450261	0.381279964129714	0.547592215227043	0.216752914074624	0.594038193849673	0.705072489270849	0.700846335485409	0.583239741356272	0.764514424976902	0.44011244363887	0.425864552764795	0.363134459927379	0.536106740134397	0.503922317174784	0.253975997339619	0.470792330825117	0.680941975236535	0.545137829279029	0.479098642108332	0.466241196344963	0.638112601843008	0.5687615151925	0.561611674639137	0.706153548084255	0.407418021646485	0.342358072276535	0.71363883011741	0.757418720409	0.705414967169553	0.550621068554128	0.295449229058302	0.203173291463992	0.79384621386465	0.648196613998978	0.832047065170159	0.556456740853731	0.648004690824595	0.405177212420994	0.38596443305203	0.669820410996313	0.232520104100845	0.729392174851293	0.474207300946064	0.280734849452846	0.626999414845447	0.607146133852082	0.419433555319991	0.140464038591391	0.424894147704859	0.540552189088698	0.418934224682345	0.376570399230483	0.734228619341054	0.677716100031688	0.347547392391693	-0.0130411546907264	0.397706918415013	0.015976558642432	0.0370363516103913	0.555952031533463	0.00599249278922834	0.556888372155506
NRCAM	0.495826204111991	0.775568373728259	0.818808518744048	0.795010881055791	1	0.864540446541358	0.274232889790587	0.892727850672667	0.681543246239832	0.730547049986807	0.8467224132868	0.902089633080385	0.717120053945298	0.910036764287729	0.804716693403208	0.71392279728718	0.355383777925082	0.85084699621778	0.738932657315169	0.900109550630454	0.792115819437138	0.735774227689783	0.932597523706485	0.543180451658723	0.483137029769727	0.593888245900851	0.828983601561436	0.853508171997897	0.674517595562137	0.707619588032437	0.665173337410492	0.712158469815392	0.396037957848109	0.690301090226049	0.78963014268392	0.84891133501068	0.652885789243653	0.891918273411605	0.325664335261868	0.792440798530912	0.578650025924667	0.769954844585258	0.64966370692958	0.58785423227221	0.356786725085743	0.659740141109168	0.764202245520958	0.674573106873097	0.744485179727384	0.778246852809971	0.756916131232584	0.863893744855119	0.75266623018359	0.82432972227763	0.484424074166423	0.545038004747434	0.842812370710071	0.796929116717659	0.691919231394387	0.810635899196709	0.330270817645502	0.864239756800188	0.884315504694554	0.740580896998982	0.318937658307497	0.53682349554816	0.698866683474853	0.477926934806293	0.760000103134646	0.830628938928662	0.662181197334964	0.675390269512109	0.779275488964272	0.366217684778421	0.861908052312202	0.495753380809269	0.590750663187055	0.821883378852689	0.460723289920441	0.664191683115764	0.771429051082795	0.584844699867301	0.786598651940759	0.778896376803119	0.651459513997587	0.660034687145259	0.47004951780155	0.750525264334455	0.680767028727615	0.78410606816738	0.735844347107158	0.756060686652903	0.71735752653506	0.753415802302543	0.703523958392549	0.707107859359307	0.547046813095878	0.501975706306932	0.862327797446898	0.814647735697179	0.58677216466527	0.479893769032247	0.560304550118278	0.88223964009094	0.717021943237324	0.758864818710373	0.806368569197128	0.644551671246042	0.655159070440514	0.773611641373559	0.456592043308989	0.930839952144213	0.67908262109174	0.439315691126966	0.739943043515895	0.504581833818843	0.687256989368923	0.194486409286008	0.398520092806731	0.811705730332933	0.676961493174086	0.545419642333243	0.417453254404464	0.836515383192086	0.735418220802444	0.0168804173183206	0.598247826823284	0.0277534441606868	0.0633497987657009	0.719611169590499	0.0301942431496622	0.779727469843361
ITGB8	0.588107220712526	0.581743560732142	0.668388942012251	0.534246612536559	0.864540446541358	1	0.248857082185728	0.879971300807037	0.710770497148586	0.881967923720867	0.806458581773708	0.957101681833747	0.648978242689547	0.940201334619174	0.517149423586106	0.793310181164277	-0.0128428361505809	0.878891894823321	0.506616283966495	0.939631445276254	0.666713747441635	0.497065226813612	0.905103928901114	0.645971039823563	0.3494531916289	0.248720087162454	0.901706767372417	0.736079956488072	0.883166155656262	0.653815332563007	0.771429400328797	0.403484587577335	0.3090181950548	0.570709142546607	0.623624183879816	0.72069298052134	0.790204215205277	0.883966982095939	0.25540611711952	0.533526485277329	0.397628189308684	0.771197816268053	0.804629048041392	0.751210280610113	0.0326549951506457	0.559568549028558	0.818874099248409	0.622643752959144	0.941960734055306	0.562731078580877	0.701969518021231	0.895014270716042	0.933619042253338	0.883832588109772	0.553153193606183	0.733480945574987	0.705576689535142	0.803587995545611	0.673218383910576	0.68781786038559	0.33706053232496	0.732284928007151	0.92505408221719	0.719702771545945	0.236899770513833	0.466296636007735	0.889505719219009	0.376695534096617	0.583068938537832	0.835885694220594	0.769458535758352	0.814887242089808	0.753510736330498	0.290385505347307	0.82925777599527	0.114013245519081	0.32085768790729	0.742689513964928	0.0800832412559399	0.653824214188621	0.946789407650929	0.677454919897196	0.87587255147625	0.829060835855553	0.849731486760865	0.704193392801975	0.17952468532499	0.798278579907063	0.599632673104159	0.870579289292574	0.669715542489532	0.699031900935377	0.702184867407705	0.578442911113037	0.819403841891044	0.851657997198857	0.254282465223508	0.147527891628072	0.829586433689909	0.866602307309617	0.717868830413428	0.589580598241711	0.213674803742317	0.863053124361341	0.437723141537583	0.784600679963405	0.723708943785502	0.682386134115101	0.719205373617373	0.725651376985762	0.445098527088663	0.876959668494194	0.633191868087088	0.381532204899653	0.665482013822146	0.284438696456259	0.794557161764073	0.201333770607462	0.256032276647676	0.88368499611891	0.717140507163445	0.555006838051484	0.0494466058554046	0.79343783555219	0.923649283379124	0.020896343227546	0.620728998230794	-0.0144909564879585	0.0625338358487615	0.682838966267585	0.0240194102536961	0.765469159805689
CAV1	0.338129432428876	0.0318272414209992	0.12175427576631	0.0110424389928971	0.274232889790587	0.248857082185728	1	0.186089038768064	0.173968766482953	0.236944070280489	0.384463972858031	0.354159649888102	0.0178160666716856	0.265216995396004	0.233920088055454	0.231957913258375	-0.138576948698975	0.156530010274038	0.0708665556154368	0.339092645159772	0.271194084676561	0.309912409749554	0.319048181081305	0.0966534810062822	0.195930827319017	-0.109805259374113	0.3259281462955	0.287208370484693	0.136670306294803	0.140793459830445	0.213174093862017	0.0208921777374864	0.336040591302918	0.211201280347637	0.233391986404119	0.0440807335436302	0.131432904198459	0.189314440338789	0.0798067101717584	0.0436510485821874	0.5328506824264	0.431603286065042	0.126384618423495	0.48329017741482	0.246439546730453	0.79727846348372	0.403453577606373	0.785452159278658	0.215826069711373	0.0395420599502365	0.190062730831285	0.211528641710286	0.200729360241938	0.236569591408144	0.305236177716895	0.197182000053739	0.168358849035236	0.407646268330839	0.167607023600187	0.352538218849105	0.964441298683456	0.242514360257452	0.271310024174834	0.285338200855974	0.920240666969987	0.202580034680327	0.172746331017569	0.592761253252418	0.0470052209216714	0.322218555977615	0.340239532413341	0.393874616508415	0.485962623820669	0.702665990711019	0.533018341878469	-0.0685094321037499	0.24138825564649	0.620765112720821	-0.129745356048495	0.478560335424503	0.169072911867838	0.210151195791246	0.272542214881838	0.214443842273856	0.209607710632811	0.153325779966223	0.0308984268774419	0.350622505895389	0.696687842339182	0.319757919847488	0.21061868099825	0.495452399235287	0.205270014104845	0.029933056268784	0.373343105728679	0.446441313475648	0.0431454063605557	-0.0600785590791698	0.45335920016401	0.391708064829744	0.486864589348162	0.155452903554769	0.0759480064282876	0.374912321463028	0.00344210777521694	0.161181130376746	0.29665145142467	0.244883705672397	0.477440861712734	0.201589345146222	0.636467963475376	0.306684656780864	0.495946660200168	0.648372948618437	0.157046616972127	0.0956751437187568	0.187130398321197	0.080092587382316	0.239668799258402	0.312608149800682	0.191214003277163	0.294611375378653	-0.117793509638686	0.0187594100617823	0.170688807007551	0.0531146615329031	0.489892663938791	0.152285129845503	0.0424645660044185	0.103868449359812	0.050033420704688	0.234591729502194
CHL1	0.435017589707448	0.581865705780054	0.627935868861134	0.723054089914108	0.892727850672667	0.879971300807037	0.186089038768064	1	0.562667342271447	0.792441800807818	0.812282334429057	0.908548395050935	0.571835530014546	0.863269815007525	0.617694984322273	0.614085004381152	0.129330670893689	0.804795094474684	0.619919112261695	0.854966584983583	0.579712829046982	0.568405867830708	0.850328975463748	0.777223551933268	0.318022746486986	0.395765884820251	0.843039497431526	0.68058506384758	0.73945709410819	0.562178515690105	0.820012831249281	0.490781200575918	0.235816332078424	0.535806682687134	0.578583551266095	0.734810684688511	0.56559784263728	0.840866704960449	0.260644544555694	0.637940567016029	0.433147525474821	0.662974418194675	0.596069064762635	0.523434998198856	0.124612753034996	0.502194140057985	0.684460433221327	0.522527641133932	0.773556304493229	0.660232870940116	0.587235377891986	0.878010542663004	0.822572164059314	0.716111408306998	0.398574225262258	0.536426747843897	0.748508426482166	0.693957601381702	0.513693053680072	0.681581201400953	0.261722008082074	0.702606079183672	0.838962439907508	0.62047620337347	0.21725450057917	0.384208069151314	0.714575597264612	0.275890216166909	0.619166961361342	0.744631627296534	0.686187224148814	0.766476866392857	0.684259912251876	0.312071767111277	0.761637157085731	0.266058085552604	0.405969336734524	0.692463420527868	0.221743462605397	0.526003195838076	0.828687955926556	0.727607821998886	0.810449162363208	0.770497262913624	0.626620797974151	0.540933359688432	0.268998513226555	0.711751356619123	0.628745985403741	0.729019302437573	0.595049399961363	0.620052403621553	0.645118641871789	0.556766673227635	0.677369075668491	0.773153706798355	0.343433012919894	0.28142708779471	0.848207070429623	0.895148800282389	0.635221856952165	0.307544073888426	0.328145540922455	0.7739516316515	0.505907286462992	0.715308623777709	0.625834077630457	0.479869017927285	0.581537918761002	0.67432358560275	0.415474016800069	0.823686270816174	0.471806728663305	0.30704992459591	0.520512049169713	0.30193399776791	0.57730178496713	0.179117405850875	0.21205303690939	0.779651074995013	0.556328333562851	0.456248677122019	0.212017813171733	0.795560163832311	0.740150414810714	-0.0250082576458819	0.618017338443322	-0.0429618110638485	0.0176760018124408	0.594301791274156	-0.0158180382697548	0.594626171242772
C1QBP	0.591332765863072	0.672745710184791	0.745026915464262	0.491007313473203	0.681543246239832	0.710770497148586	0.173968766482953	0.562667342271447	1	0.600885155833213	0.474192083333511	0.721967127821238	0.902668930449497	0.737917947095275	0.520886659202778	0.880704964414846	0.255850057044252	0.694664060652847	0.39789665426272	0.7693351420674	0.737045941302741	0.369047461702407	0.816571392336696	0.110491549217191	0.260074360455851	0.471497830060523	0.595104745341023	0.725655707070993	0.760837594654876	0.945982389784344	0.377079824640944	0.625522589916178	0.299630132308769	0.524579913091912	0.699577136965429	0.701691253233494	0.842427580670127	0.738206992987207	0.161368198616069	0.655297861328613	0.232367396428866	0.678359893995236	0.832108099162212	0.760451819093354	0.0889773016941696	0.484141734338847	0.642707236662194	0.538349553507726	0.734364582741543	0.493712650800669	0.783804505702324	0.661936755446505	0.678933951137249	0.84339983515863	0.464172204618931	0.806158022233441	0.581309096429375	0.609846586180679	0.950156750811214	0.510068981808152	0.236292657390238	0.767422192341114	0.734692336646601	0.756140900045145	0.113184023009099	0.472587050647692	0.796039617075845	0.27845465303266	0.749040088667667	0.667090026753147	0.63918813101491	0.424223357997736	0.559904661077527	0.0747114393957563	0.667594302659456	0.405958920164755	0.258421229494524	0.663724391492256	0.331906991769598	0.917525296520876	0.698840456358171	0.325052054933009	0.706540434869506	0.749660178257983	0.841158410039317	0.88792306675358	0.334161288342401	0.671268547075997	0.269217266872176	0.681386803513364	0.561763068140273	0.521157016262461	0.598091020158129	0.769746841732124	0.850277617434113	0.544769905746134	0.265820653717332	0.320183552241943	0.620024545047999	0.461455181973759	0.482827156650382	0.738007379830069	0.40745510858425	0.810659928522613	0.689897978629251	0.592866083937924	0.917653555063227	0.717583964682045	0.723281131555755	0.692949057647863	0.367080771953771	0.847125885125593	0.745559014027627	0.225100756987258	0.704936141658407	0.357706909466385	0.807933809043122	0.0853575130465432	0.247468599124784	0.7716307083833	0.977514307731192	0.596066979250859	0.36053213675757	0.728617898705326	0.78879217258499	0.00696167760317594	0.326878077120293	-0.0365446826795262	0.0359377259200568	0.596584954047527	0.0127495858704059	0.93189204721264
GPR37L1	0.666310324087323	0.396283019102382	0.452707298859886	0.413824453190958	0.730547049986807	0.881967923720867	0.236944070280489	0.792441800807818	0.600885155833213	1	0.684164437253825	0.883361265647096	0.485935682178199	0.786136814337063	0.331219147620931	0.662812025717412	-0.132361181965005	0.66618296019077	0.377817625330473	0.832160847926014	0.503250682245561	0.283276990467155	0.736610359912772	0.719532888655502	0.235758869526299	0.0846661387687307	0.878922938367663	0.479064446109642	0.832957204165709	0.533060691870535	0.844044658536875	0.258968687697697	0.345106600407623	0.491882537513197	0.419515932542276	0.527309324622451	0.659889286482168	0.724749027657029	0.223526707105062	0.41586657707442	0.263262069593197	0.588863488850274	0.701680325051623	0.654761187652252	-0.0635378698514093	0.395551190125715	0.694011923429843	0.462373002759283	0.868955169951105	0.366295907018706	0.516389787698962	0.859672685286542	0.90007153733156	0.698801050815691	0.593995732059553	0.741352556168752	0.592239801600429	0.7183766324232	0.517699222304328	0.554224775656957	0.289036950266896	0.5275172703978	0.832306200141031	0.581047679263064	0.110548853303098	0.370533177658244	0.777056003129622	0.232565155875353	0.482025814054649	0.710721201655642	0.798503712231113	0.834803560020458	0.680569704610992	0.417108946913719	0.710295929376301	-0.0247596075802638	0.190919134079523	0.649616047271497	-0.087258702290193	0.525391654481369	0.895548065327855	0.822689590185668	0.908898867687686	0.728750215195865	0.769647702020586	0.601126017691723	0.0258567197448995	0.836764468355745	0.481084178102524	0.791983912982377	0.523895594753894	0.621957024163807	0.579578675189293	0.352189324847588	0.738593871350536	0.867527842634534	0.0753377452809024	-0.000941297119733626	0.718908793522281	0.807943601137846	0.73752218470075	0.372259117037588	0.0422504070699655	0.718737203903455	0.285440705523154	0.666899186836599	0.549817441415633	0.519943484495967	0.727260795488902	0.570581400675742	0.40954405479961	0.741305827229188	0.430775316178512	0.236027321456118	0.457670671169702	0.194376715999311	0.600000894501615	0.202151313427827	0.207058774374142	0.819367524580815	0.603496098733388	0.511283557473447	-0.00327111816903014	0.616514243879394	0.798711687593854	0.0366830975930515	0.690403932553671	-0.0260523678616374	0.0703330576697191	0.463361243866469	0.040182644087788	0.562263576164127
