""	IFITM1	PTPRC	CD44	CD3D	CD8A	ITGA4	CD2	CXCR4	IL2RG	CD8B	CD69	KLRD1	CD3G	KLRC1	CD247	ITGAL	ICOS	CD226	SPN	CTLA4	CD28	CD47	PTGER4	CD27	CXCR3	CD6	ADGRE5	SIGIRR	ITGB1	S1PR4	TRADD	SELL	TNFRSF1B	CD96	KLRB1	FAS	RPSA	C1QBP	CD46	CD5	TIGIT	ITGB2	RACK1	CRTAM	PTGER2	HLA.DPB1	TSPAN14	VSIR	HAVCR2	SORL1	JMJD6	PDCD1	CD81	LPP	PILRB	TFRC	TNFRSF14	CLEC2D	PLAUR	RHBDF2	CD74	SMAP1	TMIGD3	CD68	LRP10	GPNMB	CANX	TREM2	PTPRA	CD63	APLP2	LAMP1	NCL
IFITM1	1	0.393872463790557	0.484936528049178	0.192031570027458	0.00794692025937421	0.398992085059054	0.321616749196866	0.248045826806632	0.666732492132793	0.165013837059288	-0.087964881530429	-0.00994365998535338	0.425585003019041	-0.0759994374759275	0.264291612101308	-0.0155907283801247	0.195089351307039	-0.141776465067132	0.707306660660619	0.142261553960686	0.183171443626315	0.662024907025685	0.260369865539768	0.411008782204477	0.478462503332383	0.268470495253741	0.451016660487059	0.713747542440451	0.808438250774416	0.549429336725964	0.629124300121521	0.146379018032211	0.589423818160573	0.222790314883184	0.279477861271149	0.53474471031767	0.691112889336512	0.741491652218965	0.721446102502278	0.0588330992174577	0.368022819559535	0.488398218548097	0.777186240602874	-0.12888294923196	0.387255694354306	0.630151887487899	0.634997124995921	0.535747919803918	0.297850795997095	0.319188002756154	0.318981123946627	-0.0577499259617793	0.54261431655327	0.616062412592329	0.439050476555792	0.25232705848158	0.758871814202616	0.223649972881467	0.332157078385329	0.32178764497074	0.626033202167947	0.666455329504049	0.236156795438744	0.285342360746026	0.654731221922215	0.19949866563583	0.703116652649412	0.126830638938631	0.548961980759125	0.617180378015157	0.560132188320763	0.640943957259411	0.749824473851458
PTPRC	0.393872463790557	1	0.732179132445038	0.722970379178208	0.478427541377069	0.705280451304988	0.800755947647188	0.695182342752978	0.626963409827631	0.620037229426699	0.398732956115818	0.061424016016603	0.859647517700554	0.174891210830029	0.321627778850619	0.610363781314523	0.51691823242519	-0.0665818206026064	0.718282049566145	0.45536150071172	0.434376777080227	0.319945265202711	0.364404619328261	0.37526482473139	0.427830186525501	0.583791246096903	0.67406241971203	0.537456405737249	0.331216345321117	0.48290060407985	0.222838201195534	-0.0611026049538992	0.5039460919887	0.623980523186036	0.220699414270617	0.107986576411279	0.237384554557962	0.119247101765174	0.448486161539859	0.506818581761311	0.195747116495811	0.406319130718963	0.309014721654493	0.252391049741967	0.47495592981953	0.351297307263941	0.306837458399893	0.323228449286795	0.254389022520537	0.120811651276809	0.477937410984734	0.375432575053662	0.131934925778375	0.107339310500485	0.344865347866803	0.0218067778586474	0.375778146649546	0.510051695731777	0.101013817715408	0.159633266858013	0.318124051178139	0.282598049038057	0.104907233064163	0.0940171156923687	0.412021594407091	0.0317106063839529	0.185209533608525	-0.0143581790483319	0.167983182445059	0.0484966410367477	0.0267512559480133	0.0841746652473834	0.377496509413632
CD44	0.484936528049178	0.732179132445038	1	0.581245668985856	0.632975796409419	0.70724799419844	0.591425870299905	0.704275293240489	0.611039638294403	0.581627401541834	0.297303886825074	0.282693799023373	0.726383495190467	0.19955971760661	0.507139843213755	0.493948788842696	0.223880496552403	-0.128592467478686	0.70356975209054	0.176225751508626	0.308701343334388	0.254242573177883	0.343756037129331	0.484962409793045	0.453896475178358	0.335164946033153	0.715148305666155	0.490519553589004	0.335985443400988	0.444123970336242	0.346675198447148	-0.209381151964373	0.449235966619562	0.603732640552601	0.108879216103038	0.249919498069166	0.306551526775586	0.208106845085529	0.357164552644562	0.440521591098917	0.327457651882117	0.46086357678487	0.373345411118163	0.451333818318943	0.570374713697461	0.387497622838114	0.29842394930046	0.249694406951106	0.147430462106102	-0.0207040170165998	0.588350385511537	0.404651212940482	0.149144314785831	0.230541801054346	0.485720783731144	0.0291907420521275	0.432894536474606	0.426979949470987	0.136597660967086	0.112316564415289	0.307941965161545	0.278468831581344	0.0133026323074913	0.0771589243711379	0.433391902753393	-0.0360626418773413	0.208020965808746	-0.102127919681656	0.157725290393574	0.12721200765292	0.0691155202343687	0.203546516988561	0.352508352568004
CD3D	0.192031570027458	0.722970379178208	0.581245668985856	1	0.540194766714071	0.569012608037401	0.885400946212515	0.382336479113025	0.627494682598736	0.604461027991937	0.245119752653583	0.141833883730121	0.803016176519201	0.303453871854161	0.259092179752122	0.476026661028185	0.537667254874588	-0.0297872325739717	0.465989495397635	0.432433520523407	0.474052175442207	0.165202215133856	-0.0652226959184544	0.677769386073667	0.335693647799984	0.472424329794136	0.60680829225411	0.17897906370325	-0.00447938692489927	0.432091707904847	0.0959693895090012	0.0210112806909633	0.0633475851638683	0.759089797066572	0.13798399919403	0.161494361617886	0.1190507714813	-0.00840144640247954	0.0233443402722244	0.563575962393905	0.51433257508968	0.00599811208586608	0.0453391353521555	0.300497329953526	0.59263111147986	-0.031687607850622	-0.0138913908011451	-0.153351891346174	-0.162866484391649	-0.324226433796969	0.0546527415214495	0.707499464428056	-0.278670504313687	-0.190919031382602	0.0890362899478903	-0.383592880158898	0.0973544489628172	0.296308222151613	-0.324074381566292	-0.259474049289709	-0.14031005074505	0.00699595180091672	-0.326499595473507	-0.298098805104513	0.135428878048534	-0.343442740130259	-0.11933835415618	-0.378302016647362	-0.078040571739073	-0.171451119396769	-0.265034065075306	-0.232747268471508	0.121606526520066
CD8A	0.00794692025937421	0.478427541377069	0.632975796409419	0.540194766714071	1	0.504672701434151	0.439270988827118	0.35459002385695	0.327105175279267	0.752747354702585	-0.0635521639888449	0.52337386572311	0.461310426971453	0.455811664624133	0.444866659634154	0.604355119902857	-0.127610090411464	-0.452452182118468	0.302124570927706	0.039960462155365	-0.0312834589377726	-0.263176070337049	-0.116540712007458	0.467302776280563	0.309296272355362	-0.0378646543316309	0.633621420218278	0.120343256915944	-0.134224503603738	0.10089574850191	-0.0575445040418982	-0.574736999627308	0.140060022701888	0.416469190642383	-0.401681187792647	0.060281902196658	-0.316563441840162	-0.295473627904414	-0.0244544140464936	0.427642283082181	0.231884731723958	0.258102615767592	-0.277698500487209	0.747611298926912	0.466025459415855	-0.106191975170574	-0.095595242441685	-0.197333956905524	0.0133347972250789	-0.327618706635471	0.492217491524304	0.604678271857859	-0.109297432930255	-0.216195912755424	0.474155134189083	-0.184389213873044	-0.135825811065703	0.0288227891678702	-0.133229113747124	-0.123385435737364	-0.163089490856701	-0.287963857235636	-0.171487435530437	-0.120726461220519	-0.0967001241829382	-0.144792090328651	-0.263855020756206	-0.171633232652189	-0.131691109593545	-0.168597031856788	-0.24666474044088	-0.158169156614597	-0.188727644969475
ITGA4	0.398992085059054	0.705280451304988	0.70724799419844	0.569012608037401	0.504672701434151	1	0.533173451527401	0.608473885654464	0.587868282091485	0.612274212112146	0.275402928311151	0.260637933774319	0.634219889481454	0.312098667138466	0.335606809468611	0.592613299550864	0.351777620134059	-0.121081889693383	0.677051810908871	0.270335883451878	0.284001364999988	0.246244032595543	0.216169980706987	0.268008732210785	0.406213020963937	0.269953955305063	0.595002488608689	0.485800084610213	0.426872440075337	0.509634328771248	0.269688557899234	-0.247561609435992	0.402024931752532	0.506473229920167	0.080298087991244	0.0641795684564078	0.351670109998978	0.3381269480025	0.218393785597227	0.344222815502987	0.305920529444383	0.359541667422395	0.418393515637633	0.414630261669219	0.449791947233786	0.423167858055808	0.272948075235237	0.201285514018328	0.164701840912596	-0.0766280481760474	0.390472204586291	0.4005750674225	0.12578046167209	0.21624081239661	0.262627211747011	-0.0454603014663539	0.270993264323181	0.236617966368782	0.0603520017589529	0.0645442306008339	0.32614704029136	0.359522894362892	-0.0374592261122513	0.0749527341854056	0.306707091138661	-0.00119723240992354	0.285589246717459	-0.0733559831691909	0.217723957144965	0.229167852089828	0.142317144816717	0.148939072262174	0.515949445146337
CD2	0.321616749196866	0.800755947647188	0.591425870299905	0.885400946212515	0.439270988827118	0.533173451527401	1	0.429033356404717	0.706098871537724	0.649743557834234	0.211998263694665	0.0699042572506313	0.867566949717176	0.162092792272736	0.327246954684934	0.470065125585971	0.566479235186048	-0.0755371883177781	0.552895490186869	0.537212958828234	0.475032975129889	0.222626078766632	0.00149989243040321	0.595348762708648	0.444840011442708	0.567373383784671	0.600859949139112	0.404879578542618	0.147725445642274	0.430222096632633	0.168992791875539	0.0604576683407336	0.214480011683465	0.702776817369918	0.198664693604355	0.170104720525667	0.135783898159389	-0.0114228498068954	0.246519552884389	0.538755703416484	0.358850730291683	0.0701828752225962	0.117904875657196	0.285709461254262	0.556773883671221	0.0413688149843294	0.0547978288534696	-0.0411687246892034	-0.069323633319557	-0.207394341517195	0.123775669524329	0.503963669591695	-0.157610127877629	-0.0697975038044121	0.240839140002067	-0.280339095675091	0.260447508078393	0.429608736335355	-0.246868676880987	-0.170913130810436	-0.032877623330579	0.137375936540979	-0.220644047782072	-0.25919161447695	0.248099257767577	-0.284275723885666	0.000347651425174501	-0.331088454156195	0.0477181665255495	-0.106382535108561	-0.17928797650094	-0.132055624850848	0.169400104601286
CXCR4	0.248045826806632	0.695182342752978	0.704275293240489	0.382336479113025	0.35459002385695	0.608473885654464	0.429033356404717	1	0.360175992157182	0.436759313509591	0.731800988935134	0.209570614829749	0.60424429223466	0.204693520175895	0.337419075033639	0.597221239077261	0.380411238159266	0.225186986556283	0.530585390337262	0.221793881545245	0.395264838550594	0.120496140418642	0.593578311163881	0.0360592387404092	0.301990464297243	0.343103689304651	0.590008760371358	0.36532411747521	0.184441344463917	0.356019760715882	-0.0224260499238383	-0.183058948930672	0.443269742248492	0.388583939471932	0.320948458701424	-0.178015856152822	0.197535831358225	0.00847907843399337	0.275850314604074	0.218759710234104	-0.0132365985837641	0.198402814793045	0.251572496990946	0.39852908693172	0.237436765605454	0.284840257235739	0.145964669486397	0.234105768750486	0.058752925762613	0.012254299492911	0.520183112735107	0.133694188821141	0.00284221826139156	0.113096800610824	0.237775960957575	-0.0127037470255045	0.30646597085689	0.692334670266302	0.0590413108056406	0.0526133524406467	0.222945233785231	0.20754097228161	0.00922636790786113	-0.0338876132447155	0.248024104219132	-0.0428059457043972	0.0859196524055508	-0.125763691536756	0.0417797501801724	-0.0921781010310339	-0.0897309096829547	-0.0474009522369086	0.252460304335387
IL2RG	0.666732492132793	0.626963409827631	0.611039638294403	0.627494682598736	0.327105175279267	0.587868282091485	0.706098871537724	0.360175992157182	1	0.48468664550761	-0.00864733287077563	0.299297417075261	0.707301579103388	0.232523829198768	0.613426414865098	0.266046918368296	0.351521495904289	-0.13478783200461	0.737502565613144	0.226155684133717	0.24377898657223	0.615251063428827	0.0749449708091112	0.652137354288138	0.588877894290649	0.50760627748112	0.610127246750561	0.532212376160159	0.434233728059582	0.56998163414017	0.518895677268899	0.139378761267187	0.297568480232907	0.697346063441911	0.365203475115189	0.547937944618105	0.542615197726444	0.446739365213855	0.367857341282894	0.248123268060597	0.539975352605064	0.338230781745497	0.484664048072257	0.230566592446471	0.626631432249819	0.366307990284558	0.299840466046349	0.136220373951114	0.0581110021088469	-0.0336409450611493	0.220076956136556	0.1985565542287	0.0923494379820726	0.136157443625055	0.328709768504443	-0.137139085608299	0.563906535792414	0.195829332517181	-0.0553805470605305	-0.0197020412312779	0.273167950662674	0.319564792004271	-0.104423914969168	-0.0306439097632876	0.361756157169652	-0.089702890482782	0.245343094536817	-0.151407328394199	0.180170168706775	0.200959636999318	0.0861868986605699	0.185729653441295	0.458069283750234
CD8B	0.165013837059288	0.620037229426699	0.581627401541834	0.604461027991937	0.752747354702585	0.612274212112146	0.649743557834234	0.436759313509591	0.48468664550761	1	-0.047066605324797	0.457023239903158	0.540177204041236	0.530510419658453	0.349670270366292	0.689747193295355	0.0633812708775542	-0.388475662719161	0.474424792221073	0.34519104691301	0.232115840261494	-0.111012063554029	-0.0480125475130811	0.370905978042588	0.505695866327467	0.0198758933446539	0.635519065897797	0.461063196670958	0.115953617401361	0.0762084289450311	-0.0476107268246775	-0.433718293363497	0.355962264072618	0.473604026282496	-0.293832512890441	-0.0329762390994124	-0.209794469251554	-0.177856052277845	0.145647558941573	0.267416713094927	0.342763133058733	0.277039043461758	-0.118884985370067	0.749441596139501	0.285145756005789	0.0394736222274848	0.0770797946521967	-0.0410139252468365	0.107962151071105	-0.18584270665222	0.473085641394022	0.53723536644129	0.012223831720515	-0.0564395838514693	0.383633796550376	-0.0958170293208221	0.0898043323627015	0.0636634868092642	-0.0708681494555017	0.0394108153968866	0.00509525383048992	0.0253354436714375	-0.0648135002362958	-0.0687714687157258	0.076624189379079	-0.0725290753140875	-0.0315875098435052	-0.117292872213608	0.123842127595994	-0.0545732965965155	-0.103521658714255	-0.0646480243104711	0.0294384928019985
