""	CD2	CD3D	CD3G	CD8B	KLRB1	CD44	APLP2	S1PR4	SIGLEC10	NOTCH2	CXCR4	ITGA4	CANX	TSPAN14	TLR4	CD47	SIRPA	SMAP1	ADRB2	PTPRA	CD226	CD4	IFITM1	INSR	SORT1	PLAUR	ITGB1	SCARB1	C1QBP	SORL1	LRP1	HAVCR2	PLXDC2	CD46	ADORA3	TNFRSF1A	TMIGD3	CD81	AXL	ITGB2
CD2	1	0.665264207817116	0.950725858744381	0.33819245657999	0.60813566013347	0.950126875831735	0.690999143994403	0.789326810894416	0.811411198307711	0.370914941895003	0.885037009951819	0.991276545933386	0.5500994564749	0.717040664086883	0.604810109924254	0.776053081117621	0.541957214503387	0.923067362081757	-0.270763032465128	0.850360799374276	0.293725315502885	0.673021355935127	0.655758318085087	0.370244247172741	0.692529902958299	0.637405391529909	0.852094384382244	0.752878455967887	0.622816183085779	0.785159497062251	0.523008526422444	0.65548765663167	0.617232963710775	0.321152206678757	0.913989198631608	0.76805838649651	0.501607632421514	0.899541137540477	0.74584890683229	0.76149321061974
CD3D	0.665264207817116	1	0.829331202576734	0.857241901419283	0.976914970805122	0.60897604044939	0.616076396413936	0.0979847697473739	0.398647979806954	0.571633486134424	0.377648171096155	0.574822787463993	0.731172905003401	0.694451047966227	0.0529724776425186	0.246713797138324	0.880299384208427	0.484553843819136	-0.15213763196085	0.804323158631677	0.573405402528803	0.38913300658041	0.925887007462938	0.539332772322842	0.300751170208797	0.133966021856854	0.815535707743902	0.365990680605858	0.636835805946745	0.646488265739969	-0.0169022488360926	0.344382232372669	0.319256689920641	0.690898800819308	0.645149535610136	0.211682394807277	0.179320309341296	0.615553572383613	0.604280572284692	0.752119536347251
CD3G	0.950725858744381	0.829331202576734	1	0.484234946644185	0.749306430200869	0.898264396256157	0.708673965525698	0.602042766382198	0.694802328067763	0.453131430937082	0.775159424717314	0.911666652710172	0.658905726746304	0.749756928412284	0.442004981935057	0.645525182232283	0.703364627249638	0.869535528808173	-0.247524687321892	0.882849901361532	0.366263344058725	0.63163768476632	0.829692408976204	0.388271029286111	0.565765729917725	0.494811991783837	0.910875739197256	0.668372384335405	0.732751766283176	0.802399456696913	0.388223838606906	0.628473655883567	0.567128442233476	0.494085566918091	0.899933279225873	0.642842211251993	0.45225891208533	0.869631249506438	0.734091473800018	0.832019978751629
CD8B	0.33819245657999	0.857241901419283	0.484234946644185	1	0.930956358950043	0.315939624074084	0.393448181529743	-0.213706906773114	0.144958294977559	0.586669317216697	0.0568388563263434	0.234493257375942	0.59160396443369	0.503796208714513	-0.167118256259308	-0.0527918201248091	0.763458739871186	0.0868396229723366	-0.0804412812704813	0.579805426589575	0.675311467730127	0.14380456888707	0.686588625596365	0.620818634858975	0.138620427080917	-0.043153599292238	0.524560569990734	0.12037689280947	0.274382021522898	0.373189106422731	-0.314251842293485	0.0251669337785047	0.0713174944254945	0.587860430509883	0.326248937683343	-0.1333281112662	-0.124121531284981	0.322545951358954	0.391571345150931	0.491990470919343
KLRB1	0.60813566013347	0.976914970805122	0.749306430200869	0.930956358950043	1	0.554176360027703	0.574706159630544	0.0371228062851925	0.37701054622618	0.576954234980157	0.31044964529007	0.517151834712134	0.70291126890245	0.672851767302957	0.0148335901227681	0.187710449641642	0.854992480878603	0.382245208169551	-0.135947079481243	0.773409290370906	0.635891530935867	0.324292285366378	0.860418812279741	0.609909021308084	0.296708513529098	0.108854072894292	0.75567553567458	0.314371911840618	0.528825461047283	0.583594778116055	-0.0914625036665077	0.255356669982198	0.262435394098599	0.664943282031235	0.566337459496307	0.129457449936269	0.0970407296389012	0.543616000715958	0.576629138955196	0.685843892115458
CD44	0.950126875831735	0.60897604044939	0.898264396256157	0.315939624074084	0.554176360027703	1	0.630104705594957	0.829341983986209	0.710818454364918	0.493970591377388	0.94150902576917	0.928027138372629	0.542111807870787	0.691736630901176	0.655251302457791	0.797974156702345	0.49345054639774	0.919939115678465	-0.244120449331646	0.856150789533309	0.221056433594439	0.737273437858686	0.536703339257046	0.385913193112779	0.718986783865229	0.767678472961663	0.772959571475662	0.860791822697177	0.485357368215862	0.758844752950781	0.527082428305316	0.665243306856728	0.616039230946186	0.262135806998829	0.944083362806212	0.770598978584462	0.461922895641305	0.908463309937975	0.743150041102972	0.701474373835336
APLP2	0.690999143994403	0.616076396413936	0.708673965525698	0.393448181529743	0.574706159630544	0.630104705594957	1	0.443740538495323	0.853803078437012	0.573124448568738	0.647497110541853	0.662217558354922	0.54374254126994	0.943991078314197	0.672265008852863	0.77297640475268	0.776850352545408	0.695121060082395	0.436260831094374	0.839856540623698	0.374769953259728	0.874768313382708	0.515730744499738	0.782176632947062	0.768471126008705	0.453672293162047	0.917222666082076	0.663263121214751	0.585819212890937	0.965278612856142	0.532071708630429	0.888036563836888	0.875381240464267	0.734104194557662	0.797783854644813	0.694056643579871	0.653935841335187	0.713406094603503	0.949752099694392	0.594405618506528
S1PR4	0.789326810894416	0.0979847697473739	0.602042766382198	-0.213706906773114	0.0371228062851925	0.829341983986209	0.443740538495323	1	0.719171884864518	0.144618600041492	0.926047546769336	0.83613712155364	0.168100652846469	0.418289559829975	0.801821236506634	0.878315876212494	0.0375580155272398	0.853131775848272	-0.198727337061896	0.553255997621755	-0.139809139038298	0.665955855207038	0.0994462869411286	0.11779937986029	0.708643933044089	0.803217176044233	0.481600747603389	0.795198818822481	0.283626434560045	0.5524345248794	0.760423425330269	0.634983904247983	0.584623577082438	-0.129550165255205	0.75727830550065	0.88762420712317	0.570262963177666	0.750685246050955	0.568173485361143	0.41543385617956
SIGLEC10	0.811411198307711	0.398647979806954	0.694802328067763	0.144958294977559	0.37701054622618	0.710818454364918	0.853803078437012	0.719171884864518	1	0.271854889661608	0.786455272160282	0.835755453215846	0.418617235809719	0.81325674737055	0.80617201085567	0.874379004101226	0.495047393854347	0.807724871513394	0.207562358578956	0.72411771186477	0.307673609390187	0.775026948370219	0.351987214918926	0.547080194922661	0.864830963970717	0.595567625377257	0.808314353160456	0.705999263010513	0.508648251583303	0.847739429026482	0.640247108789691	0.823434590841291	0.848494756637492	0.408176355874496	0.774956141536358	0.808999771178852	0.626548803270129	0.738005536746077	0.83396453439072	0.536819196257933
NOTCH2	0.370914941895003	0.571633486134424	0.453131430937082	0.586669317216697	0.576954234980157	0.493970591377388	0.573124448568738	0.144618600041492	0.271854889661608	1	0.368935417946737	0.286142234591024	0.351731579865278	0.613521778971572	0.271694185790889	0.360067893348494	0.608113014625828	0.322006933443529	0.174088821789562	0.625055987348239	0.309553570811337	0.608633007006842	0.364608251273372	0.788924048413699	0.402870604766299	0.419729286192673	0.542472594082782	0.544834943718599	0.101355847452704	0.63809729276047	0.0789144985383818	0.468263443534402	0.415255405424682	0.644104333930836	0.580660363812959	0.341479926237937	0.150637255392081	0.423175059329436	0.615204126271483	0.329564504651468
