""	GPR171	CD2	CXCR4	CLEC2D	NCL	PTGER2	CD44	ITGB1	RPSA	CD96	LAG3	TNFRSF14	CD69	ADRB2	DIP2A	SLC16A7	CD47	FAS	PTPRA	CD46	PDCD1	CD3G	CD3D	SORL1	ITGA4	ITGA1	CCR5	PTPRC	ERAP1	S1PR4	PILRB	IL2RG	JAML	TIGIT	SELL	DPP4	LRP10	PTPRJ	TRADD	F2R	CXCR3	ACTR2	HLA.DPB1	CD226	CD8B	CD8A	CD247	KLRD1	SPN	TNFRSF25	CD81	CD74	VSIR	RACK1	LAMP1	JMJD6	IFITM1	STX4	ADCY7	ITGAL	CD63	SMAP1	PTGER4	MCFD2	TSPAN5	TSPAN14	ADGRE5	CD6	KLRB1	ATP5F1B	TFRC	CD82	CXCR6	TNFRSF1B	RIPK1	CANX	LPP	CD4	C1QBP
GPR171	1	0.753987163372555	0.821212412184577	0.546992038296658	0.557956440869788	0.922551223220671	0.695167028480836	0.496630498941703	0.821487178421604	0.716716968331684	0.69866787269118	0.638312843290321	0.844070233273854	0.2889961378319	0.352073780503142	0.457714096050719	0.751247931586178	0.63435078757815	0.509679144210496	0.522573109260983	0.452241601553059	0.816096744513553	0.901852572871958	0.183032824663924	0.540950171047106	0.354272902124311	0.0782741426822862	0.780462951757226	0.592054856414257	0.817105583932957	0.301539483056114	0.860484320954373	0.540507128294861	0.018058135718798	0.900087843194106	0.841960547373071	0.330778188583983	0.122526222279085	0.91326517269498	0.141317072733552	0.670864803399607	0.482861112045992	0.406296878280735	0.899768445905863	0.455170469288863	0.478310053766225	0.787819596752316	0.552279066053537	0.699502188004202	0.791977297054618	0.294733345572183	0.0452787530871508	0.269852454358158	0.799336725112077	0.262099818812261	0.452503207790781	0.914601669247289	0.37728509240588	0.240547356939194	0.353607819271038	0.381174706979961	0.651861221803512	0.636777249342509	0.281865409227135	0.343879026803022	0.436981230593867	0.479099171585901	0.887349305847803	0.767534794387799	0.545828389662595	0.217853845834341	0.472788077573261	0.507288412532985	0.386785911232233	0.263703080993698	0.240091476185302	0.247469443140603	0.402156561700204	0.601635086521895
CD2	0.753987163372555	1	0.878143157715173	0.839898487087763	0.63413648518467	0.737497480347071	0.762842539557872	0.626739158651382	0.596036544886975	0.908313627887049	0.775493710455422	0.827040532809235	0.736500395283183	0.613769351121186	0.594032580266536	0.719063075103772	0.705153020176474	0.818551550948859	0.604635354913823	0.546800534893301	0.548029947710594	0.955872065199376	0.850895513478368	0.0658863569918076	0.810313577256103	0.359552409477382	0.495471665008379	0.921548252662387	0.343786739786321	0.849332954816796	0.486592458412594	0.79272065233409	0.725740542924399	0.540354556795027	0.71509577857921	0.683630841458101	0.393525168268617	0.311487739794378	0.743394852661868	0.556876872638926	0.788292035081081	0.502147978132909	0.334018948513583	0.676966713463269	0.790090102284582	0.780211846564423	0.872784264910134	0.826566575098863	0.811408047249945	0.655485716022108	0.187413276950967	-0.0317944884002538	0.120684663645154	0.60349602210266	0.271697265740161	0.580851434217156	0.776236634196184	0.215065259344278	0.162993312010924	0.758232116943434	0.258105049656025	0.63517443921647	0.831716174129554	0.439930440319965	0.56894632399109	0.43770736678962	0.771871324619837	0.755492073329107	0.653980368836131	0.442381581643639	0.319230042357293	0.534788119180826	0.671173778783159	0.541393040440742	0.397484030335497	0.283180266119495	0.218791033848102	0.304210144581912	0.452866568163651
CXCR4	0.821212412184577	0.878143157715173	1	0.788118047187957	0.80633544242883	0.86858943994193	0.902967817495429	0.754009087282244	0.825499704524417	0.826921876759741	0.775791984681036	0.839006965409944	0.891832513418701	0.437909905370796	0.5678921516654	0.7698787761834	0.81344912001986	0.853393647631876	0.716905076479832	0.697742122117274	0.552210786746676	0.904808758242154	0.92586260304975	0.376095848762938	0.82638989190982	0.572200869596692	0.178683125788466	0.939878825210124	0.651256432054787	0.936125437601249	0.515413425866146	0.925052362355644	0.817917806225989	0.259702365153749	0.863994757186438	0.785694262705226	0.50023119212769	0.406667495057424	0.88041226959125	0.446555306403239	0.653280439817035	0.706321558952625	0.57029461291174	0.802751339118579	0.686828726852597	0.689000704456	0.775065854031448	0.73049727654503	0.846557674523055	0.869055796626859	0.465276972123893	0.233545130015567	0.42785426675207	0.826884924451588	0.507409211625027	0.733663088449107	0.843844827278387	0.477914181763843	0.438404755104203	0.617683699044294	0.522718264772906	0.83755541710696	0.758023346420141	0.527683989690861	0.566953400814142	0.664170028248667	0.677915218216577	0.793900569409088	0.689488867523183	0.685818345145517	0.399735336549936	0.695260063160951	0.439013487676633	0.704873990952438	0.491108620109781	0.464727790982669	0.385252861717419	0.566655018122978	0.665693630558993
CLEC2D	0.546992038296658	0.839898487087763	0.788118047187957	1	0.67115124023815	0.625518380283308	0.757504942622741	0.632899614465821	0.485762288110171	0.744007522800894	0.712136373749319	0.789979726342285	0.623898320781173	0.580327739119424	0.800626114628902	0.797314778878015	0.632247141471447	0.747720303726218	0.635996433390359	0.597173892876241	0.607258454136412	0.787719030461474	0.70824333476053	0.231738173841799	0.874074985024295	0.462001619979513	0.432606067533118	0.881978822097519	0.410032460381541	0.738467337480911	0.622854671683664	0.690106133318565	0.804705949930523	0.536819305547405	0.617582562831679	0.458574264177794	0.452990985354666	0.455430192019772	0.552675532901154	0.629336842277604	0.553809745979269	0.525380013420137	0.28668035115261	0.527113094115081	0.791871844475062	0.774168998945854	0.730467761720834	0.802283633488269	0.703697791950658	0.667549633655267	0.228513802218412	0.0202076050100204	0.179786627183616	0.48980344766957	0.407879871264578	0.692455532349206	0.640691995406377	0.184676784290074	0.290829150309625	0.735489967302987	0.271454377284227	0.670927304234459	0.803951275548234	0.498469733666975	0.712525299817836	0.577314079267205	0.675309356414244	0.600015534533024	0.424743222292594	0.432288985199146	0.430195302063467	0.667244638935511	0.385407602022003	0.662151151436951	0.551537882127093	0.388755471809127	0.401578358554749	0.333798226105579	0.405311677033834
NCL	0.557956440869788	0.63413648518467	0.80633544242883	0.67115124023815	1	0.684192177099248	0.931049140058685	0.863173501099478	0.807375951509711	0.525361741993602	0.707882678715265	0.717647777372017	0.683585458588313	0.243458811278651	0.640566959620957	0.68714147249469	0.73993518834766	0.717050931258673	0.906375230361423	0.835568838655437	0.56795455875079	0.672092712956384	0.686687580027288	0.503704256062281	0.757255742541597	0.849691089604555	-0.0138016606536446	0.754542531678564	0.501224399767184	0.750935878496098	0.537417312836536	0.740836412408347	0.782722052591484	0.0866094801599837	0.636992185977827	0.548967987019183	0.780666307899137	0.545578233312279	0.685496258471366	0.600882920768151	0.372420986130104	0.868460633097164	0.664714576505536	0.617275915662012	0.607499925396391	0.565530153258222	0.554421530084005	0.590241842462743	0.586000296161509	0.7514004665059	0.787171171264012	0.468658347560529	0.557511814840809	0.827008667934033	0.799987730667356	0.902007033144751	0.636228884886311	0.680126710498061	0.510581645091697	0.406577691052861	0.844695669394012	0.912076808097912	0.561788937002953	0.849071472562009	0.755023972472529	0.870369715206651	0.468969812925192	0.564392327195695	0.412107627933499	0.905399009262469	0.763471515075799	0.875288016701968	0.177269695256784	0.839883815017097	0.778597282958937	0.790435630971231	0.698846568872557	0.65397741821989	0.883781779659785
PTGER2	0.922551223220671	0.737497480347071	0.86858943994193	0.625518380283308	0.684192177099248	1	0.755016884649368	0.579609774268141	0.90031072566494	0.726211467592836	0.735833450539052	0.74307054015116	0.923109445967021	0.285026819608186	0.399511604252445	0.572710259783081	0.807043791775801	0.720810161188959	0.592582329719841	0.61410581120044	0.450100590474765	0.807807835272021	0.938768252475646	0.297805675773112	0.616126078022759	0.441955463420907	-0.0532223667679113	0.822412888975135	0.671695400044442	0.873385616281515	0.34882372858591	0.90385515554564	0.685509930175423	-0.0485630809858828	0.930439959469666	0.868165746141674	0.37140862577519	0.173581864942819	0.93147997677764	0.167380050310288	0.608768888820051	0.562734071318948	0.463586146864907	0.921184339001011	0.521260385556081	0.532209015052344	0.754055160545821	0.596720468049402	0.731966647771665	0.898857205035542	0.387789213643435	0.105743296663184	0.368377248606759	0.879472796930893	0.395254014609846	0.576502558011674	0.932327262482348	0.421337652210362	0.359728581210264	0.34762933890943	0.469090796490186	0.772813980493856	0.664807088537656	0.366998412183297	0.398625678104446	0.549412588742087	0.437178896271195	0.836610181618772	0.775846140840271	0.625755531111357	0.320589760532403	0.569515622634538	0.37966423130307	0.483286289113916	0.316529007629434	0.334081220344602	0.312201479284166	0.47137207517823	0.682030051976613
CD44	0.695167028480836	0.762842539557872	0.902967817495429	0.757504942622741	0.931049140058685	0.755016884649368	1	0.814561327805671	0.80767698231588	0.664979901898751	0.774546972583218	0.812659629397478	0.779159582048102	0.316380683685123	0.684531257162425	0.704346191658768	0.760663972992661	0.787634478960386	0.848636196658734	0.785038618792164	0.610845990576249	0.803882271185122	0.807982123294039	0.386707361959682	0.787696204167333	0.77440282177506	0.0938075142670776	0.874729804219413	0.512409838600896	0.864905487881983	0.625537345892345	0.858451130381	0.846274709017364	0.205395931046181	0.732244964926785	0.594860413191523	0.675700898895215	0.518011304758424	0.752835230705267	0.59022196641946	0.45021171415472	0.792331100586448	0.563198714080741	0.717965660673188	0.710630523664174	0.700728227046531	0.656670938976256	0.733046548494526	0.651374849877427	0.826549680754669	0.635182675150401	0.306332414617001	0.444571775105407	0.810676271451807	0.683657516646785	0.868559896769429	0.737493764452517	0.61704275839413	0.429982632445309	0.560684775713863	0.700968816163216	0.937785483826002	0.648929333004421	0.741216396338024	0.795538599284988	0.805681858276707	0.587289536440365	0.679959762672675	0.494189377294311	0.816479310642841	0.633042257042504	0.881615578718188	0.337665196006091	0.792628960292596	0.673449736343224	0.652961691842056	0.6020407059059	0.56580195987014	0.798104656068739
ITGB1	0.496630498941703	0.626739158651382	0.754009087282244	0.632899614465821	0.863173501099478	0.579609774268141	0.814561327805671	1	0.717767392385372	0.58588759991468	0.497815796637441	0.722217025400993	0.579836699969595	0.374484528326255	0.732943636284958	0.706734758950455	0.800798917829302	0.738055495595686	0.854239993185583	0.925761473367925	0.400788768609421	0.670525415581768	0.664934814554967	0.609423337126437	0.752364960670956	0.749953566644021	0.220090986309489	0.737050646961157	0.494400509975331	0.665636034713071	0.673891795817239	0.665221096834382	0.631999678683191	0.215869611134104	0.598806156320992	0.522466982258909	0.848540278978005	0.664427101300598	0.689348130633371	0.63751673788674	0.542170317278732	0.872906187920787	0.70183612876688	0.577827909309724	0.48547325893643	0.406584695845655	0.500014555221541	0.518018775467056	0.642529946880699	0.62339076508158	0.770555587668692	0.568870358940792	0.581036181863367	0.76496882673459	0.823214689590522	0.759487286691124	0.560789313574752	0.758311507500353	0.631544302370324	0.457539396298083	0.775970735350186	0.781942706871783	0.686113505225121	0.829678563109192	0.65529899080911	0.822513422365386	0.634028512838555	0.535830613560903	0.445908221313117	0.814063350689796	0.716587765785245	0.736383887747748	0.159898120405923	0.879565353155722	0.679974338329584	0.832322529139966	0.712506061390298	0.748436498673843	0.747978537516524
RPSA	0.821487178421604	0.596036544886975	0.825499704524417	0.485762288110171	0.807375951509711	0.90031072566494	0.80767698231588	0.717767392385372	1	0.585542079559847	0.678653198721633	0.656086462559323	0.882958108907168	0.214403469875045	0.398191919331752	0.506836752672092	0.835492677439749	0.704169881627269	0.726102459098065	0.704536148305888	0.381535263858946	0.719283009654361	0.856849943506638	0.448341927728613	0.542777271969253	0.630188113795519	-0.175242011041495	0.722410621244152	0.652433315756053	0.834795866447568	0.367821060134229	0.873337288547035	0.651544648743975	-0.207343269796233	0.856034058627476	0.823247079141178	0.570565611652317	0.288589253867193	0.918077741224121	0.152698675370036	0.515960637397384	0.73470565477944	0.649038722660102	0.901703808511842	0.441122789838187	0.397706527028934	0.636591535737395	0.492267760825215	0.622608347724715	0.845980261662981	0.690676814836686	0.366404076675044	0.557321285226666	0.994642561643045	0.624566709162209	0.655828846131832	0.864806279616839	0.693186948454811	0.46706300901166	0.183399085668821	0.76679881107509	0.845531859351038	0.548028917374461	0.542675506142308	0.443148691442055	0.688826826429944	0.38904679566082	0.71459753494364	0.73530792793339	0.85926870558969	0.496248015771643	0.659363306791513	0.244430427231992	0.59456222462753	0.431241648053346	0.583378349598882	0.468627266854711	0.64497530340255	0.896584208031439
CD96	0.716716968331684	0.908313627887049	0.826921876759741	0.744007522800894	0.525361741993602	0.726211467592836	0.664979901898751	0.58588759991468	0.585542079559847	1	0.741842510451841	0.745774708253984	0.748105986965355	0.665956269452323	0.547365233353061	0.663388557062103	0.742866616032568	0.721790503072876	0.51606518481032	0.491655280133168	0.232248609871237	0.942046063606698	0.864009754344492	0.102495062857457	0.69670915944913	0.2419468099766	0.513886760432989	0.870156124146944	0.378516866824002	0.785657250773527	0.472125249618515	0.7703389733367	0.632370630119872	0.449913330793833	0.668690800352141	0.683252274477619	0.329304615274408	0.141259452238392	0.774710739093921	0.42866997441453	0.833877552449969	0.373622298753416	0.268307056085676	0.690069076271576	0.712132375469333	0.705045930497924	0.870973611066368	0.832404254113834	0.805331681036116	0.597105849849067	0.138584911536781	-0.0865651066287252	0.0303846206052064	0.592525867045566	0.172503149131018	0.39837005673534	0.790985173520484	0.261268602459723	0.212086260502524	0.771473594932715	0.192398537102049	0.595652443716621	0.901923004816866	0.321904180560213	0.439198021063438	0.290299803581801	0.845963640108924	0.769483460072302	0.725009560153327	0.378491867069707	0.221607922235945	0.378901885116264	0.629698125239102	0.428262276689717	0.162328471639817	0.190257422315674	0.117126862775181	0.202002491101815	0.410984194412783
