""	SIGLEC10	CCR1	ITGB2	CD163	LILRB1	LILRB2	CANX	CD86	APLP2	CCR5	C5AR1	ADGRE2	PLXNB2	CD40	TNFRSF1A	ITGAM	IGF2R	KCNQ3	CD4	ITGA5	SIRPA	PILRA	ITGB1	ITGA4	TLR2	KCNQ1	IL6R	TREM2	FPR1	CD74	LTBR	HAVCR2	ITGB5	ENG	THBD	PDE1B	TLR4	INSR	GPNMB	ABCA1	RXRA	TLR7	SIGLEC1	AXL	CD81	SORL1	TREM1	TLR6	TSPAN14	LPP	CD9	CD99L2	TNFRSF10D	TNFRSF14	TNFRSF10A	TSPAN15	P2RY12	PLD2	RYR1	SCARF1	UNC5B	TLR1	ADCY7	ASGR1	ITGAL	RIPK1	STX3	TNFRSF11B	TSPAN17	KCNN4	NOTCH2	ACKR3	ITGAV	PILRB	SORT1	LRP1	CADM1	SMAP1	TNFRSF10B	AMFR	CMKLR1	NRP1	CXCR4	PTPRA	CD44	TFRC	STX4	ADGRE5	CD33	NOTCH1	PTPRC	MCFD2	CD93	TNFRSF12A	EDNRB	SLC16A7	CD63	NCL	SCARB1	SDC3	SLC16A1	PTGER4	CD69	C1QBP	PTPRZ1
SIGLEC10	1	0.525570053153495	0.832451407226723	0.872396610993864	0.869450306972457	0.61440864937139	0.745775899093781	0.803106434232046	0.660867652029911	0.702524574823605	0.077440003874677	0.663726095245985	0.720043067886942	0.758065826860182	0.77663323535087	0.838536384588975	0.423027568085067	0.741157881005061	0.721361750159283	0.516620688714211	0.733856318600893	0.701701953869532	0.784466073598639	0.868993215921921	0.810509935575708	0.854730482059165	0.643594070286819	0.856122149151666	0.87828208844954	0.949417168379832	0.657445437414192	0.832518970710554	0.4856079499387	0.657502488028257	0.270702252447947	0.489207720641774	0.539015035346193	0.30740180615702	-0.204696870961093	-0.0920965913289518	0.617812142468196	0.864025491011668	0.361836475985748	0.718615404581629	0.848614216826912	0.946678582549232	0.120247146762313	0.623226548416276	0.528847686397369	0.630240878119757	0.275665465880526	0.676883524866756	0.0849852913870879	0.323582390326285	0.296707653141647	0.766017383030868	0.851133375598699	0.799449611877435	0.455815909230454	0.670327406528326	0.814855312105725	0.89307017690468	0.810912424629652	0.655369124239543	0.393601590291187	0.674670413169269	0.47574149457442	0.672640080616098	0.702971408443672	0.43759691310489	0.533243446537406	0.270784855842849	0.813130293411337	0.271281899569477	0.823682822782309	0.504777395558577	0.693638475158079	0.820527670792251	0.44747344511723	0.580028982872442	0.431772560776609	0.24993260361734	0.566245247688207	0.651715154498759	0.241564033294659	0.230487685689112	0.337328577432062	0.0531942750577711	0.898780402808674	0.501848266786519	0.85815696668506	0.701129566044982	0.865817610184841	0.263123043815811	0.190078778032169	0.358560485457094	0.705364421111247	0.559230867735104	0.765522323944894	0.228481865990297	0.0753801821009074	0.298749359311547	0.302725334711502	0.629372821687749	-0.177036472332701
CCR1	0.525570053153495	1	0.732169366375215	0.702515822546347	0.633898677173619	0.657190322269985	0.874037840256643	0.555761553656461	0.80316529633841	0.529914409080903	0.433465044017589	0.684212482611452	0.77646276834903	0.419066708850192	0.795009525075791	0.639729716156372	0.67145866022501	0.536720784676143	0.73423867218189	0.744066155893518	0.803084234025909	0.202433052039241	0.734827252982534	0.756216150424061	0.684474849011221	0.540572603501708	0.844959128056151	0.567776369930874	0.694706211700639	0.454093632410948	0.811756253624744	0.676075508801733	0.675135730648582	0.733694719532776	0.656876583248831	0.744459635393809	0.671489203205565	0.260203821380509	0.31339339412183	0.32611074097472	0.773834359668821	0.632304069962284	0.366462591549824	0.431613318996982	0.591370026403948	0.504449561545861	0.496452439722742	0.503058336857928	0.593702124139828	0.694827442216013	0.366766656532791	0.704724025066522	0.509903165672329	0.591779680729845	0.664113844911482	0.567004630668888	0.285954916116042	0.546644167683203	0.284942758563567	0.565666194422733	0.718470723762582	0.606694538743435	0.755278698682059	0.485186412197166	0.637038763088949	0.70650759268265	0.581723251147264	0.510647881935	0.689716795102037	0.722595234665796	0.747460854306478	0.41389338920556	0.695413976483365	0.644287815887318	0.688409621187347	0.536679206752158	0.63634644214028	0.625547539984045	0.530507910493	0.700370743746271	0.570715125425077	0.707060040021984	0.301193687153948	0.647422726401933	0.675341831302728	0.504693592276608	0.575605753083788	0.546683876461297	0.618627919368826	0.653397214645878	0.741260277903833	0.714777626622702	0.663091864471896	0.48655133146653	0.439749357916068	0.595646405425354	0.679442250258358	0.778894523212422	0.559208653400365	0.412371802274768	0.409249895855752	0.462387117610489	0.335384956852213	0.585440043208244	-0.105483827388039
ITGB2	0.832451407226723	0.732169366375215	1	0.883931757546286	0.823505968049113	0.728831614612513	0.901460981990586	0.87301269643173	0.895935641189382	0.706411423635201	0.426083133350045	0.770972063590734	0.892169080995579	0.733394028946027	0.918341563724563	0.927159334971214	0.644332023865619	0.67900145143608	0.938058577948579	0.81225867191866	0.920150077444027	0.61167767053588	0.894382801097502	0.906675955205242	0.825976399866686	0.876290954544615	0.851557903893946	0.874946889262085	0.931712364180807	0.812013431985336	0.882356034393916	0.91601926681598	0.7190595782066	0.871137375785418	0.649513779124279	0.669839890379998	0.66683593064586	0.384521221818994	0.196157906133441	0.251103185177703	0.736076972591679	0.908588108881634	0.429745058764662	0.71189655520949	0.898089066122019	0.795615742721367	0.528647476772004	0.496647143853465	0.710781059487824	0.714881918400615	0.526963107435752	0.741068113929794	0.463415019208739	0.640949875911893	0.598132927006534	0.83499712910638	0.700732503203622	0.815376815315929	0.427266074101771	0.805385960514066	0.897460070023611	0.80722185912084	0.91069679445944	0.776230292132279	0.584169898177481	0.743316439211824	0.673732311669174	0.627780640390087	0.634330064492204	0.624483185573401	0.663267129614531	0.498015938390143	0.81547320081971	0.309854746241157	0.886962137910162	0.674740486498393	0.768626994238355	0.857041869553316	0.591328570854162	0.807468929444467	0.568553748378327	0.578754277207989	0.571922352006337	0.700566627720141	0.619357555430848	0.526467010849232	0.680651384035013	0.291880057718626	0.869986553782499	0.629820581454317	0.883760944040321	0.801685914162859	0.866437612194642	0.477430626739102	0.324535890122978	0.511600255355954	0.867274135642683	0.776666818528369	0.804050267479087	0.402495602540346	0.334484446211789	0.620603631355181	0.521078389932049	0.757147156108388	-0.145720547337795
CD163	0.872396610993864	0.702515822546347	0.883931757546286	1	0.896208939409211	0.767281038571071	0.88387067253659	0.799390954885507	0.877118312407483	0.648829248056357	0.4728642548378	0.889910403681402	0.907090491924	0.731233130224936	0.864464266941642	0.848028626878222	0.741254413449028	0.830501936120749	0.879641107547306	0.679924927251632	0.900952269039477	0.640473357398547	0.899985887975937	0.917609834548278	0.932794520488328	0.831907687195115	0.79338688178061	0.889391829610704	0.88528504834661	0.869402559889992	0.844068920270857	0.931309798266474	0.798085071038722	0.847349660317392	0.538802392356112	0.733228852216148	0.827197479216133	0.434495378011687	0.175276219795475	0.31615043949691	0.795159706330055	0.893428529225362	0.584096008584703	0.831783297316184	0.805791575400507	0.883051609988208	0.361446087676672	0.743565034239666	0.806743814798421	0.83892414954224	0.523300850509773	0.78963183015152	0.37520543312069	0.651770220667213	0.480112061132893	0.743545829739837	0.692865362319112	0.860759040246302	0.589087067173898	0.763461051441358	0.892768206328202	0.927440315467451	0.918177723285938	0.55239779905747	0.632686966954501	0.761120362596352	0.700732556369775	0.516728712371221	0.704886682413805	0.597408891358524	0.741606455091557	0.539680447704394	0.956541077581301	0.480203231705772	0.877348825611245	0.790578986300921	0.887941691180449	0.809659260387886	0.574241170539833	0.802637198876544	0.735426464521583	0.629583840480467	0.574469769617475	0.678153334366827	0.481763274032728	0.378392703807048	0.538088022363108	0.252547088891004	0.852674195493323	0.668564136972051	0.909395107845345	0.727298714129108	0.89249700911634	0.404720535527996	0.357287128545134	0.374153398815147	0.783687929192445	0.63824637405734	0.811808074571188	0.525207303863031	0.200369727099859	0.51465144827446	0.309723137322244	0.539716313409778	-0.14212238200153
LILRB1	0.869450306972457	0.633898677173619	0.823505968049113	0.896208939409211	1	0.735710789409808	0.787754183021503	0.655184530774149	0.710955046739925	0.575946420140054	0.251752812263158	0.770827344921924	0.809381514664991	0.682867530373631	0.743791978252464	0.792698411970723	0.573296444239317	0.835920692498543	0.786036746919152	0.555929922533513	0.76228476627444	0.553794732180079	0.733487258756362	0.828417266165291	0.888959957954207	0.789310653801684	0.717123343018602	0.782935905264402	0.838603663637372	0.809778015225193	0.725159485656191	0.815591364739962	0.634402288456564	0.753677342466947	0.361526985207724	0.665279644152541	0.698208101992236	0.270242772246799	-0.0530687624259206	0.101160538884423	0.752649619020444	0.899522760775463	0.539633810970361	0.737446622059896	0.711451830041089	0.841604041883612	0.145347541575526	0.772753531427646	0.634555722638448	0.777754547282346	0.251279633685241	0.605476522154364	0.202936650437286	0.412741023866047	0.438682778751651	0.685999452864587	0.743639029931551	0.836933662090705	0.59779323034309	0.744100108501591	0.841158458276473	0.872716757887242	0.865662255573433	0.516700935177005	0.491706305268352	0.627241751483686	0.508987943300641	0.462880908729991	0.646891396034289	0.447810289251929	0.577940632624024	0.346402067595639	0.875444433178526	0.402461136390173	0.807399300754696	0.668116406638237	0.738052947316238	0.67945914745811	0.411044799628754	0.647848326732136	0.59771406301493	0.463369662259763	0.324078397371589	0.568899961942027	0.279033632436701	0.202245845855069	0.3149520872102	0.0878209184982631	0.851222178686676	0.548494773239318	0.790735977148405	0.582869849026497	0.920130702974035	0.210667055613276	0.250896835724279	0.376720656400057	0.641822333550313	0.511276040030291	0.735407800159983	0.374236962152401	0.0639596488111558	0.312932519309287	0.187631516239903	0.482018217351746	-0.210093718076826
LILRB2	0.61440864937139	0.657190322269985	0.728831614612513	0.767281038571071	0.735710789409808	1	0.68174494427141	0.62349101635253	0.744395093189123	0.553019976118397	0.602545112990975	0.776462197339735	0.759996436390818	0.508149621219856	0.661183537194615	0.72269339706662	0.689888026245283	0.513679642306817	0.724940463052951	0.70108258963846	0.772797614610048	0.574952977696601	0.682130078375046	0.660118254922411	0.795313232422434	0.632345921266907	0.691325902483	0.630390978652407	0.715726861979958	0.574718111445406	0.701059289973416	0.745341814457388	0.658643357591966	0.801662233026872	0.620173447855094	0.634530244038905	0.670032295565666	0.306804621367244	0.256066241754283	0.349689482394215	0.767634034111203	0.680329217403826	0.476601964140278	0.574796451734346	0.575560969117954	0.668236511341524	0.500743932168201	0.585674528885455	0.735263119967743	0.644554280211261	0.471936481194996	0.591525575894005	0.530508379581166	0.58003306485427	0.615883398997735	0.5823038398799	0.428134367187688	0.69635150078447	0.356156740663839	0.712862994018129	0.607272342974053	0.653626252410912	0.757830545551631	0.546461385054086	0.54731436201543	0.519845345229214	0.656606316704308	0.221248051647318	0.438438391932777	0.577340737184405	0.626073371143389	0.558267213321611	0.698361893244874	0.330178266788629	0.650243973261453	0.725625959643825	0.662472680055829	0.613949646451139	0.454427870613351	0.693932394179263	0.567957917063393	0.526602111418704	0.358814445366485	0.469264488912101	0.602492210305022	0.324715322818195	0.53208015691836	0.404368227162931	0.688331627039741	0.494470918275045	0.691481693441842	0.529423740835276	0.715709141070542	0.305454796141269	0.487324710249289	0.359393495007175	0.589562227742085	0.530845716255208	0.638983601231441	0.386453234755795	0.168117672249039	0.474199588803903	0.298206712108312	0.412341190100157	-0.191202336506233
CANX	0.745775899093781	0.874037840256643	0.901460981990586	0.88387067253659	0.787754183021503	0.68174494427141	1	0.755412796774583	0.932306219530334	0.651859633969631	0.448093783266188	0.809094501321073	0.914502616874591	0.645316679761088	0.946183828441227	0.809021666244193	0.736375900397323	0.734983846668573	0.887837066753242	0.781422824304774	0.924652608248585	0.428946592750177	0.916009467999052	0.906305942078225	0.810177279925629	0.739760152500772	0.908374128588602	0.798921899552465	0.855330603416859	0.713868593163799	0.928100695488831	0.871375643152525	0.787816257446102	0.85036404060184	0.658443866576868	0.75980057012945	0.773951943181262	0.438400429779549	0.279956126160102	0.33497886150319	0.813246270921319	0.837594596706011	0.452468089180245	0.675518844906072	0.809317361515519	0.719307543599438	0.487608925925432	0.597673342453516	0.729856224958934	0.826588301540601	0.537049736138806	0.83800453372641	0.453060500835496	0.674737306357744	0.61535507554236	0.729853733735403	0.552056243566848	0.752077936359701	0.448581323221995	0.708455032638249	0.910533962256618	0.795748344247257	0.891709546721966	0.578231248599264	0.671139884058991	0.853880366181644	0.676999995126698	0.646141122036618	0.748917082553543	0.725046033155058	0.798416314432162	0.499908027588849	0.87896564694535	0.598969777439485	0.891322827961905	0.697269843500463	0.841464393126299	0.833695288155683	0.679950360867647	0.82849936388185	0.669005757311585	0.737077258704172	0.503458496608633	0.811174989212102	0.667877101430059	0.604304860354628	0.664396704096758	0.440128220184155	0.791002885511966	0.776038278196313	0.886428026697556	0.86414471734213	0.815073595989968	0.60703671746704	0.446662686289835	0.579364582855394	0.861791401340421	0.847227278555085	0.782979300428877	0.558253224649157	0.492268948187808	0.574816504049083	0.425990131116652	0.720074731502955	0.00160681959237964
CD86	0.803106434232046	0.555761553656461	0.87301269643173	0.799390954885507	0.655184530774149	0.62349101635253	0.755412796774583	1	0.77016550569092	0.745580939474113	0.351410977474599	0.680359841094607	0.71594103812152	0.75770479214765	0.80943143473319	0.834330352032461	0.528572397030406	0.531270959783131	0.764030402536031	0.720666351425909	0.805848755577475	0.779278067319572	0.869220313290834	0.835845782108699	0.710876147652895	0.837413459998482	0.697025169812249	0.895871799126308	0.8855913509334	0.828141650564814	0.743416463336938	0.880582707027469	0.567990683805676	0.738965351455592	0.557368266390127	0.505907918128146	0.508904813767893	0.44233957080716	0.146423274617446	0.184814509294049	0.576732664936517	0.766571389963885	0.273700485843093	0.677169358637431	0.928192955695989	0.831894900861543	0.503932405305211	0.359346630445812	0.605336310240107	0.531697321206266	0.614793215290661	0.726568681306898	0.37104439097257	0.551084137594731	0.414882723763577	0.842160068201161	0.703871594014104	0.735588658170055	0.269795581255037	0.699654123964379	0.734372288445302	0.77688182449871	0.752401396290583	0.782276546342362	0.486142077963654	0.667172993594316	0.642447508130637	0.649346324806568	0.650030664771738	0.565030178064343	0.598552434713814	0.449720306850933	0.699574508508543	0.147383372826986	0.768631597753651	0.530745546522084	0.706406446645041	0.864388129836038	0.556344119587185	0.713443966262152	0.461605141779192	0.365071306506548	0.787298879793972	0.67104801312648	0.561787041867899	0.421758654642731	0.625823897929738	0.289236270086693	0.819920982850352	0.52998723246699	0.892634636275795	0.807541809514398	0.701595869029665	0.460931165903512	0.278029349494492	0.29224201469276	0.871582707627897	0.660114344389146	0.797090328027391	0.293855057706223	0.23542644373689	0.514632359239215	0.47147585707069	0.768015119701158	-0.125599630090468
APLP2	0.660867652029911	0.80316529633841	0.895935641189382	0.877118312407483	0.710955046739925	0.744395093189123	0.932306219530334	0.77016550569092	1	0.639717844038326	0.677969753443434	0.859076655980036	0.928550984605843	0.638803784599724	0.910608934207617	0.818762149797691	0.837098583093245	0.627718877903349	0.923029033148148	0.855187616383363	0.955964871980618	0.495147516019952	0.934940271475129	0.865306868580703	0.806435349433373	0.732302239619212	0.867193193565173	0.796912330997903	0.801118787316557	0.660983879957335	0.925122561848871	0.88669080645633	0.86972136541037	0.910760383291203	0.789609141477872	0.756394791105532	0.805459737723417	0.522627701087539	0.478796586720685	0.53624097657083	0.788266270105772	0.789440833695459	0.484701981227636	0.682272338986571	0.778688703884918	0.671548410408204	0.677790804630704	0.50965890782428	0.853739700331411	0.794041958456816	0.720540863719497	0.839821046647014	0.637999553251681	0.839832447302	0.669588035698797	0.718458589460357	0.474902534933502	0.733490893971612	0.402217693763617	0.753530961413327	0.837585990590569	0.741088713351043	0.864454926193368	0.61527870928813	0.707857324434715	0.796823927067471	0.785120503586205	0.507265272164831	0.580345197895921	0.74559042649562	0.816328121339085	0.667115306239457	0.851484690244112	0.511222207013144	0.85527024662975	0.820554599663423	0.871442298189315	0.812587783012489	0.727939989575846	0.897880142554702	0.717048439621311	0.803318999290663	0.566988543872086	0.747597769143469	0.794617625221462	0.668127302501897	0.805018046857701	0.483674407139121	0.739085328584957	0.768410275485787	0.846651838949362	0.817748856133994	0.745665589488473	0.650796451355305	0.493209789978056	0.507033011775103	0.859642847074777	0.829357672786624	0.764973077767666	0.638093706814536	0.522191854254431	0.731692932844318	0.509891565600626	0.661719273101569	0.0261551348397016
CCR5	0.702524574823605	0.529914409080903	0.706411423635201	0.648829248056357	0.575946420140054	0.553019976118397	0.651859633969631	0.745580939474113	0.639717844038326	1	0.247855393267453	0.53253521141342	0.588305613730393	0.540461281018616	0.688489766165084	0.678589088805918	0.430732124678699	0.394839712384416	0.571055794845144	0.615779572179052	0.647139682138397	0.633276076378234	0.710303933752685	0.697737276185653	0.56577995957995	0.686853659868566	0.627899314502476	0.667222236242723	0.700880575352603	0.661395548029083	0.617743973916811	0.694729977438362	0.410239850538763	0.588366643595315	0.379505080503976	0.3857756148857	0.387525261560214	0.291279671033233	0.121806812628866	0.102990234889003	0.513652892155616	0.611451431678956	0.0901342930141817	0.463523552690604	0.720871303578421	0.691263333292706	0.365791349715643	0.371794983859733	0.486149171263843	0.415941609054564	0.485069488610448	0.60453231658715	0.271497447822046	0.445323418294758	0.429722808254405	0.652210372303055	0.572153805289113	0.595532858749387	0.175404563614612	0.620962763985041	0.575638953349306	0.62232881437557	0.619761729930567	0.66715630651977	0.477097798400407	0.553115609122501	0.470361139610217	0.552886548879512	0.557152288446	0.493597478543602	0.624164507425253	0.264901878753412	0.575756625744429	0.218389067519604	0.64025491133055	0.358594655164578	0.542848811755712	0.739643060469522	0.498376724558625	0.581611587955764	0.34730369372515	0.257996645725841	0.598329361789594	0.585727838741285	0.509410456712341	0.343702079650132	0.480856632944194	0.38848189766855	0.687330297200631	0.433758450117407	0.759861440396287	0.675290306404963	0.545447513284269	0.384250665367112	0.205071265597971	0.283153603962566	0.698490548308232	0.577139467242719	0.651281621496139	0.158041020749576	0.205673917367461	0.356091642256188	0.381041790135301	0.640434421167635	-0.0943738708025629
