""	CD44	ITGA4	PTGDR	CXCR4	CLEC2D	CD3D	PTPRC	GPR171	CD69	CD2	CD3G	CD96	ITGA1	RPSA	TNFRSF14	ITGB1	JAML	CD8A	CD8B	EPHA1	CD247	NCL	S1PR4	CD47	CD6	CXCR3	CCR5	CD74	KLRB1	CD226	SIRPG	ERAP1	ITGAL	LRP10	TRADD	DIP2A	ACTR2	CD46	VSIR	KLRD1	PTPRA	TSPAN5	JMJD6	RACK1	TNFRSF25	LAMP1	PTPRZ1	STX4	PTGER4	SORL1	CD63	CXCR6	TSPAN14	ATP5F1B	SMAP1	TNFRSF1B	CD81	TNFRSF1A	CANX	C1QBP	CD4
CD44	1	0.717642159249806	0.648506688341436	0.474288914921322	0.477247413971935	0.657038631948092	0.712330458107946	0.235298197445807	0.51860513964758	0.686258154664844	0.603698625491334	0.54892928185315	0.771605701350473	0.171476135713566	0.849085505930391	0.720188859299744	0.36567484784315	0.636942555276164	0.77990635608406	0.858140278411516	0.492994124126906	0.119601399154746	0.289439804258555	0.241151439639266	0.406858628677119	0.240595969353025	0.890127556698247	0.10288106607964	-0.0262552496339724	0.145540580668609	0.748648769197389	0.329606187657621	0.867415354502324	0.114705628222254	0.0819429306114504	0.0435349551740554	0.234089513087333	0.212560039285705	0.13659780346669	0.239247465144058	0.00930512138436705	0.503437192422517	0.347209870531471	0.224185325661583	0.14988669049712	0.00271719824288554	-0.564288761751233	0.217384570648859	0.454013992516942	-0.316935723702825	-0.45632393437704	0.303918386899733	0.392452695928906	0.117554634303841	0.226778258208029	0.492933679811723	-0.0166370194444589	0.186011899215533	-0.375440168561646	0.1130347096106	0.090823477303066
ITGA4	0.717642159249806	1	0.563771767977131	0.694269039114815	0.746556620302211	0.674562218835581	0.776420810450715	0.549586482742873	0.762289570091262	0.733887387068771	0.63841733283595	0.754728502494869	0.46648827799558	0.622284184624923	0.594949448681698	0.793776088747695	0.548437358050364	0.26073595714785	0.480033097652451	0.528501619868871	0.740766943106264	0.488562212953314	0.727647552380909	0.641156740795294	0.714424195118609	0.606527655049792	0.69461288979441	0.383041232291748	0.475732945100994	0.56630131617828	0.236125017643846	0.590059705809427	0.513994287867278	0.610182799579242	0.586518335225832	0.313373882166954	0.588843438277362	0.625191836840826	0.494310873941456	0.179107430085616	0.150146937082956	0.604068466633867	0.73040068426677	0.662932822674159	0.498612095104756	0.51102123146218	-0.527050015743268	0.419427850532259	0.658009037976082	-0.0413861770776494	-0.141225612096426	0.511896579993	0.715175513953979	0.499079583595096	0.548799772572733	0.797156664783692	-0.0191990132344212	0.295564629281256	-0.0577935578032323	0.459999859183965	0.531719426181285
PTGDR	0.648506688341436	0.563771767977131	1	0.581209883839584	0.26787750016448	0.668290837845295	0.529622382808564	0.109364776801861	0.371568868505055	0.538698050294882	0.649996250867289	0.472614549640318	0.523107681684298	0.142384302508755	0.645297483352082	0.420981383189043	0.167722994223613	0.77308015029417	0.708832372874984	0.742250587504788	0.646764259749284	-0.144067558404237	0.245126296408599	0.109608250687709	0.209327130024266	0.401974585225977	0.627684095333824	-0.0699762967387465	-0.00132908256182669	-0.0629392484746665	0.41142938607073	0.157997526927434	0.685906795228938	0.150974536124159	0.0198726487877562	-0.248822176924951	-0.016177630366112	0.0942409043971274	0.191465328578888	0.42208878963951	-0.197552085923809	0.434538710507036	0.163558061022106	0.157666270399288	-0.022905830515308	-0.113574667184328	-0.599596836163729	0.192332954786103	0.081952183887279	-0.553858622189213	-0.459219657747963	0.447482154987273	-0.012019362644728	-0.0503346974101451	-0.0295037579387741	0.250006897510186	0.0958809063123996	0.223462051129288	-0.506999510846589	-0.00725628502726791	-0.0320556511903741
CXCR4	0.474288914921322	0.694269039114815	0.581209883839584	1	0.79451857743326	0.931368759735413	0.661586822869125	0.769831046265036	0.79863712887198	0.880850634173799	0.929006749729233	0.886827440437857	0.180650757316078	0.802267894515942	0.343539694786628	0.711016319026632	0.660540199460332	0.459962202387841	0.421351465714285	0.540396115543347	0.747438294974729	0.392966944256758	0.831905910368331	0.701995091653589	0.766094832403235	0.897638086043644	0.601255856039059	0.308557809053555	0.726440793304155	0.622575950976518	0.0879752104934611	0.646916181502233	0.364958176341025	0.623044453559518	0.701351980209329	0.0526762060097074	0.612521696931713	0.331910022889418	0.308917167401017	0.418933805150224	-0.188490125531976	0.591832944924623	0.74945219293839	0.800746501161544	0.663270214035743	0.494270241358697	-0.62906984966049	0.480598960515935	0.510629746482787	-0.190508698384735	-0.0535769558628141	0.907688111533388	0.57913680557129	0.432642662328254	0.457157830062349	0.732601814943123	0.379799129577646	0.520239831225722	0.0269770108870165	0.536471982971623	0.600583838645451
CLEC2D	0.477247413971935	0.746556620302211	0.26787750016448	0.79451857743326	1	0.777309737154184	0.818184382177642	0.910560153671856	0.926978724434171	0.865829288199712	0.729923086251103	0.86496117257482	0.259311760107262	0.787583359926198	0.18570165404823	0.856156651474945	0.865294099621748	0.181699585932013	0.368844393219759	0.398062720654268	0.64973428165599	0.747379957718201	0.893173028076449	0.880885221366505	0.955282376902475	0.766228916156478	0.600307822207459	0.22554574141367	0.748543684182496	0.858710024617779	-0.0579148427299817	0.704281321093326	0.270223904509229	0.564552531168353	0.808093656589196	0.545598332179987	0.883519825528847	0.573600935330236	0.257544501258381	0.399128901032389	0.183207949963394	0.687202497405216	0.939166284283929	0.838552751839893	0.854400419512874	0.717095564606217	-0.425790355758298	0.573243963664846	0.874460012393499	0.131314392341231	0.0515175084456483	0.764652000612638	0.840449553973429	0.690975826457558	0.798921923715009	0.920507846675399	0.100657011466049	0.204207828482963	0.212977957805308	0.664758180313302	0.718482361667416
CD3D	0.657038631948092	0.674562218835581	0.668290837845295	0.931368759735413	0.777309737154184	1	0.753658277284834	0.715967214700133	0.802573029797053	0.934079105650648	0.958789728403116	0.836860405724464	0.366144788497606	0.646698075856416	0.484336647227418	0.7877549419722	0.684231181237714	0.65113889062612	0.607011490217593	0.743172438491572	0.663222640731807	0.340983360262623	0.698083861701971	0.623897086812358	0.744728204223059	0.770752480330557	0.788016456550124	0.149219388465512	0.541468005825292	0.531624500354671	0.283759488075532	0.514208567979235	0.560205399111692	0.411335901883422	0.526893310565754	0.0480710889900653	0.568675080644098	0.245747271625772	0.136726248560427	0.49924235427623	-0.222508524333758	0.573916675457189	0.67586450222475	0.654297418293982	0.61375454046248	0.313501844985417	-0.68190185811455	0.479320064373174	0.561029228279306	-0.248552969076394	-0.23210432354341	0.866765316303465	0.536687789982418	0.360191644754503	0.459054420945623	0.706572731565782	0.320470498527455	0.367399733425626	-0.096633029257603	0.415784870565087	0.505231685733027
PTPRC	0.712330458107946	0.776420810450715	0.529622382808564	0.661586822869125	0.818184382177642	0.753658277284834	1	0.602872444928375	0.882452841286187	0.878184016250738	0.671432698922683	0.767156117693346	0.672724262573055	0.410710474985682	0.495714217301505	0.859678548182884	0.796715443603307	0.512462898538218	0.764946413730145	0.558602999864784	0.772889009587828	0.486639099046486	0.625732527557796	0.60111654949044	0.693690913004264	0.525302762715807	0.763491479721179	0.0461932045928744	0.302510299231585	0.502233435745965	0.244628833805851	0.577064936269006	0.633100115978774	0.346929840667065	0.414500436097921	0.471632444206177	0.665190944182863	0.586234244356524	0.243276726228652	0.651976960965537	0.23230924074767	0.668399079133871	0.726326868085554	0.487191558496598	0.465860146580992	0.37994603241465	-0.565071499526035	0.663942261863156	0.825368784929245	-0.0184756076831153	-0.325969626541088	0.635018935628112	0.616236648644364	0.420436669239561	0.606405299311025	0.779744703957448	-0.0893896480438579	0.00145595451705146	-0.205606520247262	0.346550981624395	0.333167105506502
GPR171	0.235298197445807	0.549586482742873	0.109364776801861	0.769831046265036	0.910560153671856	0.715967214700133	0.602872444928375	1	0.842498317419356	0.751008088487785	0.677678834494803	0.798998162610099	-0.0109539270064373	0.867012741015967	0.00113571419437991	0.728268711027431	0.842555070366561	0.0739498931235216	0.103355313128766	0.241859684564734	0.461394346583494	0.774586032320477	0.855605582177271	0.923603601663283	0.904193276074593	0.781116181038231	0.426216539912729	0.338253297642118	0.863143612330317	0.874380160505426	-0.251818080939148	0.590600502966827	0.00351401031240119	0.521208383716763	0.862424392803316	0.502939523969039	0.891644439666598	0.514829079990234	0.176646769959361	0.307985471966293	0.059846251212313	0.522685175309322	0.898904777078711	0.885717469238048	0.942327934529186	0.734794019999964	-0.290797405694853	0.525284235850682	0.764719631961774	0.261413023877075	0.23902703785376	0.756286527250298	0.80645249990411	0.738977379964967	0.828608847987215	0.859461267441277	0.294944937012541	0.228734669186428	0.457359072994319	0.699455584312514	0.818835393582211
CD69	0.51860513964758	0.762289570091262	0.371568868505055	0.79863712887198	0.926978724434171	0.802573029797053	0.882452841286187	0.842498317419356	1	0.915134262411233	0.707929675634377	0.841311866853083	0.358349338240291	0.706819337198832	0.28552467939991	0.837892474014522	0.885142981299058	0.283377998376498	0.497503678648496	0.423465988241724	0.745083868403984	0.70361259074375	0.830940194053228	0.821542239745904	0.85112856564307	0.713565069165761	0.640728348797268	0.22325468463041	0.63244905982168	0.758207151209604	-0.00199184564868512	0.601251894080804	0.363876403812973	0.546911582992306	0.671903108039022	0.473903921284766	0.866905886347558	0.66385332989168	0.242051064853473	0.56640636403379	0.211636495842752	0.609811630164747	0.891807063917149	0.755281375013086	0.729483118216144	0.565735018878189	-0.49853792662504	0.744104804561591	0.900798202673013	0.0616644465271017	-0.0887580862899668	0.797836294278436	0.793575934760342	0.665296944902302	0.796706700341855	0.89843205276161	0.0807459303421055	0.0783480632062092	0.105973591502481	0.605874097796535	0.631281000199971
CD2	0.686258154664844	0.733887387068771	0.538698050294882	0.880850634173799	0.865829288199712	0.934079105650648	0.878184016250738	0.751008088487785	0.915134262411233	1	0.85810843986786	0.873409238941877	0.448835195059733	0.636321964875377	0.476781914227184	0.861991849443105	0.807099651536097	0.542800333919581	0.661854637680561	0.642530730669734	0.759165335871836	0.485235117970857	0.745633110476564	0.681239732714108	0.77710826735166	0.736291422446952	0.792289387260023	0.179253412129602	0.526452997848523	0.603093633666451	0.270128853997055	0.600971513111586	0.552281825787015	0.447177708230979	0.554191172201458	0.237697001842496	0.698359274908588	0.422926108910807	0.182755006390628	0.567855059387328	-0.00619116516543313	0.640635887275967	0.77296775857155	0.674398777843584	0.626423358541507	0.383361589153075	-0.652285912048773	0.625304800245724	0.752329912943415	-0.161028009507878	-0.236682693325369	0.839451629299693	0.654863966424396	0.454578458945702	0.586692528403115	0.796101052773094	0.207409864028982	0.242746350933709	-0.0849269053773039	0.471426828259799	0.491710395715338
