""	IFITM1	CD3D	CD44	KLRD1	ITGA4	CD247	CD69	CD8A	CD8B	CD3G	PTPRC	CD2	S1PR4	SIGIRR	ITGAL	PTGER4	CXCR4	CD47	CD27	KLRC1	IL2RG	CD46	CD226	ITGB2	C1QBP	ITGB1	TGFBR3	TNFRSF1B	SELL	KLRF1	CXCR3	F2R	ADGRE5	SPN	TSPAN14	PILRB	CD81	HLA.DPB1	CLEC2D	CD6	TRADD	LAIR1	KLRB1	VSIR	IGF2R	CD96	SORL1	TIGIT	NCR3	PTGDR	TNFRSF14	JMJD6	SLC16A7	ATP5F1B	TSPAN5	TNFRSF1A	RACK1	LPP	PTGER2	SMAP1	STX4	CD74	MCFD2	CANX	EGFR	PTPRA	LAMP1	CD63	RPSA	LRP10
IFITM1	1	0.855681541442799	0.558217158194883	0.895530690661527	0.880283877009979	0.920310158075549	0.839099425810154	0.903636335251174	0.811138714594992	0.772993213837443	0.834590115543705	0.836200963713046	0.690693942020475	0.92502125440168	0.948018469614379	0.79674353812381	0.82946114732843	0.802155547711042	0.629269952250735	0.925346494926338	0.896617070433024	0.559006307701399	0.716494138894619	0.814894796540408	0.48376535801363	0.667335646946622	0.871843341307231	0.740159319361331	0.254679983788065	0.921891355550422	0.566448952811563	0.823886862616418	0.911306337331022	0.950903318360614	0.761124789873809	0.898676226124085	0.343662252353429	0.200886718241765	0.741230072270256	0.624209207029595	0.590488909002048	0.511093065380984	0.884069960239857	0.487215161591888	0.763996461948118	0.947083588947611	0.23052039923277	0.87000336431479	0.923523044368011	0.858467469069415	0.795597059924867	0.524684939459755	0.607471199903168	0.0120459651958429	0.353402686321585	0.477297567497711	0.323435554832018	0.568364691159907	0.86826270803992	0.658170898957739	0.32730798698089	0.0615190576239982	-0.111541019200156	0.175851698814387	-0.579692792772355	0.60003279782813	0.318020556394489	-0.0378106654090363	0.489873351131889	0.678352185984962
CD3D	0.855681541442799	1	0.67087458696117	0.737057974918786	0.899840364911228	0.767458405181771	0.814421280772722	0.876479911132165	0.876144651976023	0.923652438998366	0.928521235307209	0.939346755858996	0.784885553614977	0.787839442816433	0.741464340990985	0.726558314261905	0.899121718029163	0.831787449759956	0.737366552632251	0.796962514736411	0.947026966488779	0.667574010237884	0.834247730538587	0.653968022531817	0.469652691836259	0.762238649249243	0.647482585758803	0.723747908214871	0.564322241378837	0.69010054573377	0.614448851843492	0.655120812205548	0.902436152442652	0.918016965279816	0.760250407255627	0.632320415366888	0.271219452978879	0.277700275881265	0.919916059275696	0.830595304867839	0.759990263821413	0.41678313386945	0.906001157889283	0.404194294520964	0.582878452285131	0.89764295691894	0.249204662149979	0.918824892716018	0.835691668294541	0.687403065888351	0.836672844703412	0.346484161966476	0.787570035122822	0.0134241023748512	0.504298477210739	0.306634935014118	0.506259942083294	0.539808895729954	0.899202761609051	0.655174593864066	0.170758515045243	0.192731723369708	-0.200252326502512	0.0767321227785312	-0.653508845635507	0.657546890741775	0.346571342355476	-0.140782873197366	0.71025067946495	0.727642508956542
CD44	0.558217158194883	0.67087458696117	1	0.479213649868092	0.67123897180564	0.461800878601794	0.642300712469065	0.55624891771782	0.580559964265946	0.670643202843442	0.704954457256779	0.621570628539067	0.624236199595261	0.629011223004467	0.470945498341976	0.562369157222093	0.717305106340063	0.676788238375026	0.555655562943422	0.477412320908988	0.637103381652583	0.619696604804213	0.613856736365636	0.64939074164525	0.525952068866129	0.793643883656413	0.454005189029972	0.749979454761898	0.538899232725249	0.444682727779242	0.34971473424901	0.434496033165843	0.601224406468884	0.631506034288651	0.708590269748959	0.45283638661498	0.587948717396587	0.563698236132047	0.693516080830994	0.507441666073938	0.737449391262505	0.631793271811057	0.655792710721567	0.573376866748584	0.54486831834785	0.574656143228232	0.451013128826244	0.58811194954523	0.503047085578934	0.471322750767439	0.821433380886016	0.520349501285543	0.557470622517122	0.270275100520339	0.280966726448335	0.436223209678221	0.778976275272233	0.493529875342642	0.607261410579416	0.762357511385872	0.527130646666393	0.48283585909057	0.408838003310924	0.44864472525229	-0.497469169740558	0.534640919195251	0.672586452899615	0.452166678879652	0.736962671707538	0.734749192801397
KLRD1	0.895530690661527	0.737057974918786	0.479213649868092	1	0.883511296595244	0.924426661191718	0.777227844010519	0.883868804311723	0.856556400674187	0.750083104599779	0.830955054233334	0.730032061138644	0.399127569906349	0.778817988986292	0.927093865361197	0.91844860026242	0.776868714603039	0.834835547172707	0.296604554510537	0.760826512807615	0.847032002452569	0.70959856825363	0.711854742246554	0.789183924440019	0.297624225481493	0.640278118908014	0.950671390839889	0.830453111632743	0.110716584250557	0.963292549508775	0.4591101877238	0.892766877916293	0.882451498042391	0.894825637040276	0.758446375490592	0.914398301522112	0.401264309250712	0.153877539674049	0.651175709763922	0.484578978474917	0.348913530056969	0.535369729401226	0.747419363521558	0.491273362972163	0.912540883199901	0.875362906389319	0.35639434861937	0.793171945539904	0.852809825107048	0.929054912335834	0.712077531610226	0.605534476970433	0.515993725513666	0.0324534664919467	0.393279232356356	0.539109997435098	0.149414707882016	0.747423859333996	0.711478507401329	0.664869937955411	0.31087410857144	0.0272797487200742	-0.074825341131268	0.375229498472611	-0.401278982868756	0.767544343958913	0.422709570292229	0.0391531511679279	0.308583406328086	0.704718698009678
ITGA4	0.880283877009979	0.899840364911228	0.67123897180564	0.883511296595244	1	0.839887361795652	0.844808482981985	0.93179695995042	0.908318916058997	0.908966588045068	0.939881100673852	0.885870151295149	0.663085572116485	0.842792206490927	0.834916108021731	0.841926211271159	0.908272312286532	0.894563814427833	0.585921134475722	0.750267069592265	0.944350782503743	0.785208939170612	0.854286467933724	0.759277336986193	0.37621477627898	0.766653391994653	0.839172561668964	0.809921321250844	0.428529448998277	0.845338846201173	0.594682192944611	0.809717940469274	0.903264946903283	0.921599454538867	0.846007622553348	0.792409978346863	0.376029616903099	0.268407624351481	0.843235771893601	0.595709222691641	0.599467984034609	0.499974678440788	0.852084365503047	0.460375920354651	0.765818649315368	0.912827484764835	0.338272640529781	0.928173774560338	0.83802576083154	0.844473376038439	0.836316884608244	0.454765630343116	0.699206218928807	0.00125254592671867	0.439709063262847	0.402750839776293	0.381843159500699	0.68313758167332	0.81076522196424	0.696198172949249	0.23996947494865	0.167038537972572	-0.146010831750037	0.228477690443547	-0.546881343838033	0.743858529552747	0.397682289774977	-0.0535663575034859	0.575329684275035	0.770830394019037
CD247	0.920310158075549	0.767458405181771	0.461800878601794	0.924426661191718	0.839887361795652	1	0.696882495268558	0.896021200724162	0.808813891300914	0.717213811578399	0.808542034603853	0.824847149919319	0.463439578721986	0.812561810094423	0.955076914040742	0.800405090809019	0.708693484512818	0.754770996074883	0.475404411213528	0.868656745185635	0.883965828698322	0.585357568328796	0.754656601751522	0.826124726429757	0.296444293889595	0.579399062836803	0.840200415855973	0.734330449908931	0.0689410069303237	0.942588046544481	0.641477952434675	0.851382871479649	0.929307233212868	0.913861748281355	0.703196498937429	0.865020713705921	0.383807315561509	0.163325129981225	0.620708295658895	0.589545499054032	0.413497784582217	0.571845574819925	0.777159478518935	0.41507622206977	0.78578726668277	0.938278071394172	0.303039288021974	0.860634427414362	0.925325320797111	0.919534568133203	0.714736776497353	0.540161394604762	0.573508008844543	0.0358972823621937	0.457548816360512	0.489063147954502	0.160111945330159	0.699776413718586	0.710644684899951	0.617862222758793	0.38625008123869	0.0232741835581459	-0.142099878271952	0.200845322264558	-0.487407693043144	0.704989765731924	0.417274445472866	-0.0136948982977527	0.290659907966338	0.638513583462823
CD69	0.839099425810154	0.814421280772722	0.642300712469065	0.777227844010519	0.844808482981985	0.696882495268558	1	0.714442279794739	0.704395910425553	0.858456002807296	0.877655954345726	0.703398967952305	0.715773858698112	0.812434716184297	0.755711329032602	0.835416188686181	0.949871146384224	0.906711754234973	0.571687746127825	0.701142272652969	0.794097355202865	0.698685381036494	0.769435602573528	0.679768255322081	0.590531683322834	0.823178120638649	0.77254375882775	0.796473955024128	0.603542123675901	0.745715812520536	0.315918605957177	0.687751418220507	0.805815722729659	0.868290252728773	0.878793994913731	0.735556247998161	0.337924889577573	0.348706753485668	0.850629680747965	0.501666840410667	0.731019708459862	0.454014838059697	0.907266646317363	0.593730640566829	0.760050365180122	0.778300706385623	0.325172906425206	0.72110922579008	0.73218804718489	0.699041527888183	0.877057925945952	0.401804007590229	0.686563219016865	0.0951810817655311	0.386358432173112	0.422978564670916	0.542684379063582	0.519000861551921	0.856412568991585	0.814484008054839	0.235827175639025	0.280771039928963	-0.092664917112623	0.284970127217443	-0.490866022323329	0.700141081095008	0.306815492051664	-0.019060578322201	0.759118374020241	0.857754665982635
CD8A	0.903636335251174	0.876479911132165	0.55624891771782	0.883868804311723	0.93179695995042	0.896021200724162	0.714442279794739	1	0.937787017108526	0.830562854613201	0.842514643862272	0.914400678385814	0.568864815785864	0.862900798666251	0.872763869929828	0.751535132128175	0.777346745341977	0.759269055940012	0.590387949878924	0.816664601687459	0.920740990538913	0.63971660891789	0.752322845487949	0.775395655453181	0.285727208137952	0.597017405788165	0.813971799941416	0.717388435388508	0.190012658784168	0.881846519133652	0.742073552741163	0.818088811228325	0.894069258328254	0.906528417509619	0.71267524644771	0.818915644335285	0.346886433945278	0.164577785509568	0.719605157417531	0.640032372325778	0.489011548497639	0.488364889604648	0.788534438776459	0.388810774979133	0.70049956370308	0.956673217964041	0.256795903073995	0.937407169574897	0.891289469563028	0.888211061303174	0.709127910286417	0.489947738222606	0.659530615063984	-0.0512606672969325	0.362616164055417	0.414936551910037	0.203962314424268	0.614256126411525	0.772678721239384	0.55163849576557	0.269150351917564	0.0161468434538316	-0.202226580160734	0.128182290377439	-0.555812795789317	0.640575263002133	0.343243631698071	-0.0847930945773452	0.38044087177635	0.62274759594233
CD8B	0.811138714594992	0.876144651976023	0.580559964265946	0.856556400674187	0.908318916058997	0.808813891300914	0.704395910425553	0.937787017108526	1	0.851701889227976	0.863174408742015	0.867899234687971	0.53375718614675	0.756518384258825	0.752728632633357	0.75599405940741	0.782805982888887	0.802971842718115	0.444727023549913	0.716885558898933	0.888771723685719	0.743712482292089	0.749339782355083	0.687844633302199	0.290628127691181	0.640092048527322	0.782223297503627	0.768738655577917	0.251038145484234	0.808785207079281	0.667880515558806	0.754389220618411	0.860811552585593	0.874788335276095	0.701856606744165	0.726251335264933	0.350621081241358	0.196003842454787	0.774785270949724	0.64738813800669	0.458167634884319	0.470231926377481	0.732868248046791	0.39867153812422	0.695925971841513	0.862783941500724	0.326076760334526	0.865384562089222	0.801110714091449	0.844052427875807	0.71141409031358	0.4669369163425	0.601168225785097	-0.00839638379443606	0.366250211418907	0.398294943008315	0.261324356210994	0.637493935976553	0.787587736942173	0.561240492006278	0.175567934150459	0.0734443078322222	-0.140276406034339	0.217932401941511	-0.507630926212472	0.717854479207391	0.395500185645202	-0.038254377323097	0.422665418532169	0.650245040657128
CD3G	0.772993213837443	0.923652438998366	0.670643202843442	0.750083104599779	0.908966588045068	0.717213811578399	0.858456002807296	0.830562854613201	0.851701889227976	1	0.949588362277859	0.89014147536869	0.663787276310959	0.721896065591009	0.66839112359909	0.800060062708657	0.924100173138615	0.903175918999727	0.608204340588641	0.685943942318178	0.879067879335068	0.797553535000312	0.905025510382749	0.609600570772614	0.418820976876109	0.774445353913856	0.658620483944341	0.756041124270135	0.641879756372656	0.689214106430593	0.544370925174122	0.641724956717073	0.84498896510029	0.877322236128258	0.843368807181679	0.600680056443058	0.271455291243305	0.278148490505852	0.874462102910735	0.652419712607342	0.658855472251469	0.386703750891566	0.872145276511253	0.414273626544609	0.647441138648613	0.853930474261171	0.288360026525231	0.848053876102383	0.728947591307962	0.711039318821575	0.8362415838454	0.310529606732727	0.855136939597917	0.0450496806528796	0.500166943797696	0.248774884957345	0.4863729179878	0.582962174359866	0.780211558547261	0.704723960527538	0.136904356696878	0.196821547778995	-0.266375186005249	0.126802455397571	-0.554907742465596	0.765885700246885	0.332787553601969	-0.137422071037963	0.720783588598938	0.825635571409647
