""	TLR2	TLR4	CD68	CD36	FPR2	SDC2	CD93	C5AR1	CD63	CD44	LRP1	TLR1	CCR1	TLR6	SIRPA	PLAUR	SDC3	ADGRE2	ALOX5	ITGAM	ABCA1	FPR1	APLP2	CSF3R	CR1	IL6R	SORT1	ITGA5	LILRB1	PLSCR1	LILRB2	TNFRSF1A	INSR	ITGB2	NRP1	ACTR2	CD9	ITGAV	PTPRJ	GPR84	TNFRSF10D	ADGRE5	ITGB1	CD82	NRP2	IFNAR1	TNFRSF1B	CD33	GPNMB	SELL	RXRA	IL2RG	CD46	RIPK1	CAP1	CSF2RA	CANX	ENG	SORL1	THBD	NOTCH2	COLEC12	CD47	ST14	PTGER4	HAVCR2	SCARF1	SDC4	IGF1R	LILRA1	LAIR1	TREM1	HLA.DPB1	NCSTN	CD300LF	CD163	IGF2R	P2RX7	TNFRSF21	CD69	TNFRSF14	SPN	SLC1A5	LRP8	TSPAN14	CD74	C1QBP	CD4	LTBR	RHBDF2	CD40	ITGB8	STX3	FFAR2	IL18BP	FPR3	CLEC12A	PLXNB2	CD151	PLXND1	ACVRL1	PTGER2	RYK	PTPRC	NOTCH1	STAB1	STX4	LPP	AMFR	TFRC	KCNJ15	CD226	LRP10	RPSA	LAMP1	TMIGD3	ADCY7	RACK1	CXCR4	MCFD2	CCR5	KCNN4	JMJD6	PILRA	SLC16A1	SMAP1	VSIR	ERAP1	IL2RA	SIGLEC10	ITGAL	SIGIRR	PTPRA	CCRL2	TRADD	S1PR4	CD81
TLR2	1	0.973302510627474	0.928084032129641	0.937707370120228	0.513868168135867	0.917604349666013	0.847034763790042	0.990250168298311	0.958002304331746	0.975917803702411	0.953369292023253	0.965716620573038	0.966824864094162	0.788966616676464	0.952943152323884	0.915435716113767	0.966454959784854	0.985948594767563	0.962785052818985	0.923853473281223	0.967286964789461	0.947766900815428	0.980993434863971	0.226760540734913	0.880006629905718	0.970416451795951	0.904434643483085	0.962204128132328	0.986735789822791	0.967273383169846	0.972623054071115	0.993911718841381	0.926200212295345	0.897064312103941	0.862474795918198	0.967745555123077	0.863792357562957	0.974151145578821	0.9645269366658	0.941666321891697	0.944117296170215	0.961209131982557	0.964146763542018	0.937795938449443	0.871369830276408	0.933176516659586	0.934300804018713	0.981109505340779	0.86486397583716	0.593675451437866	0.990459926189029	0.850158184191513	0.932243788815562	0.933233163650011	0.975948167923027	0.924934535769106	0.921817729288711	0.955573110821779	0.762448909260845	0.964663719721351	0.911890899572918	0.934511955350908	0.94543257872233	0.946899790836551	0.843125812029419	0.964477714036013	0.93805791693624	0.945447975520823	0.901503940050124	0.931014226691766	0.98262014154473	0.943681479196125	0.82916768610891	0.946717584373999	0.979055861656924	0.979943512453323	0.924067415782637	0.933551417307203	0.873548391172493	0.166827053622679	0.728358780837882	0.903857923664247	0.945912578481931	0.896099592359427	0.964694390093025	0.883051151685908	0.901388195182505	0.883296596925603	0.939574022657472	0.928217250809625	0.832815085855357	0.931353589445449	0.810416700226475	0.438820795065186	0.860513603555142	0.876837855565253	0.943199884560222	0.899804669451419	0.94637333775345	0.88149818567688	0.963912335220145	0.858068853613776	0.965545566174938	0.881099118790825	0.910964232536032	0.883390803924042	0.955520911323612	0.919942142178023	0.938091638510634	0.91323095472691	-0.403630923529545	0.853131892420251	0.860807615942562	0.880708527445906	0.953447380735059	0.946746641173614	0.939526046782375	0.911367335301197	0.500532243754054	0.92109820631061	0.834077282575673	0.897634314914295	0.960226308776719	0.911316605479069	0.894242783681878	0.92224589212767	0.97943840615033	0.885956197040587	0.74945147962151	0.952630779643624	0.88238583900143	0.878204002036393	0.942069125559609	0.443889052596146	0.737674717501606	0.864317876491383	0.920699943287594
TLR4	0.973302510627474	1	0.845744222146371	0.87247761372342	0.63410797747181	0.829331776040644	0.88901616163479	0.964206164963811	0.887169587833175	0.919757958018848	0.883221584993914	0.930748759159655	0.91750049457801	0.705479977526323	0.889247736186029	0.830673227211636	0.907900792455639	0.950151409366424	0.903548896212964	0.848533730020827	0.906120286321447	0.964481694432322	0.934217220929947	0.384815313194757	0.907346781737982	0.949855086882772	0.825688139758168	0.907372766758892	0.949821951305012	0.960186334580755	0.97044673154393	0.977531453418055	0.857302844481644	0.812883722574206	0.766626756512769	0.912282726139825	0.761713842552266	0.920155856804408	0.905265757623859	0.879795683164524	0.925077141612126	0.923595288022316	0.901277266041565	0.862546698399063	0.776443811153038	0.857777742573263	0.867427462269594	0.933945458446776	0.766200441057417	0.671781184690497	0.960466227700255	0.762980237940829	0.863875780132815	0.882241058685839	0.931365596656817	0.855759220534057	0.83906343694096	0.886754778094894	0.702758241695828	0.900019088567415	0.832859402530326	0.867699057277935	0.883001521810123	0.87813871520737	0.764959693716824	0.905179628975684	0.875106281090277	0.878492583932604	0.817521613947065	0.933590333575189	0.932904168647898	0.871204095664873	0.751718437331603	0.880969779533982	0.945688782085673	0.969494093025493	0.842914577637463	0.855767460021353	0.781864716154597	0.114604677249511	0.633528977519718	0.823526002076492	0.883923475939123	0.810338491387642	0.903601524914273	0.804688470109669	0.818853873150432	0.794394853784249	0.867366733321761	0.847329849468444	0.73643937509407	0.854443987963588	0.767115288897951	0.533386659595046	0.758034560945268	0.789055296969256	0.874884055268735	0.818290942259103	0.87318261220924	0.796847978197542	0.899377902818654	0.888740444310411	0.922920656559292	0.851406127454489	0.877956063409705	0.909091261532012	0.894230347597466	0.846266388061929	0.860222675022268	0.834434485383011	-0.305848323319063	0.76101164040207	0.775552605027727	0.79049131430709	0.883334270659159	0.895769271011137	0.885692512553296	0.828946187994155	0.427645789934566	0.840402623249376	0.7324938731793	0.810626784713893	0.920909477536916	0.828579922888671	0.80914596153116	0.846379421262097	0.93746533030472	0.795498805166304	0.682935791103468	0.900014604767361	0.797373605254879	0.796314779995735	0.874860464163226	0.47886674207368	0.653156258001853	0.770616414490146	0.838462530873275
CD68	0.928084032129641	0.845744222146371	1	0.959363403800895	0.247073784852484	0.989943045801617	0.628632185137702	0.904183678572908	0.991446219309037	0.978413946715217	0.9933050472983	0.951653892648076	0.951997716306756	0.870770494536864	0.987202846490249	0.997000987306231	0.958971736567571	0.945286180244005	0.981422555277599	0.98351215061867	0.988155219282272	0.807253135003247	0.961232170885918	-0.0148870608799206	0.700576046929043	0.87608992799352	0.971323704170467	0.970823461337388	0.945336487721331	0.864032925875848	0.847906662533171	0.907337361583748	0.96426849683091	0.983451959468947	0.978028627674612	0.973613054233568	0.98056699286078	0.974693130030791	0.965511546431083	0.965765640947938	0.868015527514619	0.90765468371014	0.967943370263221	0.973626052147053	0.989314651750537	0.993733322314706	0.951912534519346	0.964401229520635	0.987316094548511	0.371002206155008	0.929296181111229	0.935270700087345	0.957801329220981	0.914898447249045	0.965781845990085	0.969273072010254	0.993171074269617	0.984937485822599	0.768530752721009	0.978178120080558	0.972500479231346	0.947580913921412	0.966374443082707	0.979149487734434	0.894604152113346	0.975485832315622	0.972889865761305	0.964517756543663	0.966851805765775	0.783315503500809	0.966542036626479	0.994300014167331	0.90896656090857	0.97880720687248	0.956138847604329	0.87346954529089	0.979906559292081	0.998785692246503	0.981458644202924	0.252053480616233	0.844483397527314	0.972596980134927	0.966091163271575	0.97659020103533	0.972854690906408	0.960510896638993	0.977637130568211	0.979902760057954	0.992104391640015	0.994605156760575	0.951222858775799	0.947141590599022	0.809120605717549	0.201464690546651	0.983857416756682	0.975667301422777	0.988359994995695	0.982597327538752	0.989805753223069	0.969245656127499	0.968689402818503	0.653433610446656	0.916728495148303	0.833759556358605	0.848929272727124	0.690071800654031	0.953498651641598	0.970471954216297	0.990187024531239	0.980181793023178	-0.543534428172797	0.956595050633379	0.942770442450748	0.969973127602853	0.988200617346741	0.935113981778423	0.945777897707837	0.981860838230179	0.544818532088288	0.989602052117239	0.966867139896667	0.988293006432204	0.928433909500455	0.996240533703853	0.977131657177546	0.970744127519395	0.951890729706458	0.969616757358004	0.779540539150612	0.967321141685749	0.960795398573548	0.913818813716734	0.965358039048293	0.291447442242815	0.809574145204608	0.945348744051871	0.98817959408825
CD36	0.937707370120228	0.87247761372342	0.959363403800895	1	0.316982670590432	0.972082924209306	0.696277502003157	0.930890391756924	0.963473428936762	0.97216003647465	0.971881601894652	0.963444712005684	0.989591435801722	0.872458458238101	0.979758560205982	0.963060715273755	0.959050601486858	0.965647791806257	0.972395953205174	0.980192546848448	0.966580669684879	0.84099587158976	0.955535879130099	0.0180498219559271	0.715424192313052	0.912841265476411	0.986596521481115	0.984410179070325	0.965136914700634	0.885543134657404	0.895120113613408	0.930577591270968	0.990415140106269	0.968577772741444	0.957575040672886	0.975040447157988	0.932591517866907	0.960467438870477	0.975804681861159	0.947332069268587	0.947294779624483	0.934778646952157	0.965723164922563	0.964624267968472	0.922595451697545	0.9612592821347	0.94364536579417	0.962664685662004	0.937962314741874	0.443814346272436	0.946454106419085	0.90570256298103	0.952364159487048	0.922975617332424	0.966371114344213	0.931098142997476	0.973604091374541	0.980487987914892	0.699683666345785	0.982670146498639	0.952993074634711	0.973913185941301	0.955143840245921	0.981639125522563	0.874004723117175	0.951288975473625	0.981556055484217	0.971361724186113	0.897505624789119	0.834357112600393	0.974266421890543	0.968508487955962	0.88744288436383	0.977131409473375	0.940167587410322	0.903863404895583	0.96171130336383	0.962914065766268	0.939612681906691	0.239157362925292	0.775781277096873	0.97541525591458	0.985909201889524	0.970512101110487	0.96384583679321	0.942870030854946	0.981326077163061	0.953370493060808	0.966702138305379	0.963276645016468	0.949595172204608	0.934999066267544	0.796662793123702	0.284811952919384	0.943084188698127	0.963605984934111	0.980271632567409	0.969868164660183	0.9727290435611	0.972548179655646	0.969838242705748	0.701085410695707	0.958166815451637	0.852402514096874	0.863456210917198	0.746845496677003	0.976772457381707	0.981878655576508	0.959595804582561	0.956577350757037	-0.515844826661637	0.943139645330062	0.896527294210755	0.94739600588475	0.951334131156279	0.875664263269267	0.93265487799762	0.955668809728174	0.51808484527907	0.965084211449482	0.925840158743894	0.96756397760856	0.939683220348572	0.951571057116936	0.960277035727625	0.94484144600852	0.963176783894605	0.933096354056428	0.79723336692925	0.949502372242379	0.954862643586616	0.908643652979272	0.970303720884799	0.31394446910046	0.771010689165464	0.936218278865402	0.980817229793294
FPR2	0.513868168135867	0.63410797747181	0.247073784852484	0.316982670590432	1	0.239670157723609	0.656518996192972	0.491392241382288	0.293520629250508	0.3523622426989	0.292516736941091	0.398666506953335	0.377230145920873	0.168428737945548	0.3115752692146	0.228490589075014	0.361923537532864	0.438455259649701	0.340568863870571	0.257337234525417	0.329401118982074	0.602234725356242	0.40198337355273	0.873694537395168	0.707956283726106	0.481835390499514	0.237816099808924	0.34655794627634	0.425178586668732	0.504054494845499	0.552582813261172	0.538138299861473	0.281009048595398	0.194113392691414	0.152966996940611	0.340224060411939	0.149999114564421	0.348918448416565	0.354216586073002	0.328875055197011	0.448107077821535	0.46780527190789	0.332560989893092	0.269356184310893	0.158172787735379	0.262305931754807	0.295592813054741	0.385660989563568	0.151936545472566	0.56019546826612	0.456691507309764	0.150579124261394	0.299214366718188	0.32784066825049	0.39133232509429	0.258497574928021	0.223561668092396	0.298565991950382	0.277985382418637	0.342773474573727	0.208908433760262	0.322390019124447	0.28822570971796	0.296657073623508	0.15029529924244	0.313042036314128	0.339016907971587	0.298786940235452	0.286286193005061	0.573987869651093	0.39386698410743	0.29370462338006	0.121238539551135	0.292300084120453	0.431439797523564	0.509786436034713	0.253759715022043	0.257233712162887	0.15825410729069	-0.148735079010979	-0.0670040599032227	0.211009754229212	0.30085138094067	0.204076367367779	0.327146863153769	0.180707411157653	0.204966419968308	0.161173388862134	0.274324573086208	0.237529549250399	0.117592007558136	0.34392664114985	0.455876225420508	0.852478178338147	0.140092772371067	0.177033208349108	0.298487508766239	0.200333011377835	0.274511847283151	0.186442568338192	0.35104752025021	0.584593760129559	0.408871708942172	0.362599814406158	0.313720919434251	0.6079727964833	0.325567198997946	0.256597409606136	0.264943735647657	0.20468057448991	0.26861800635209	0.123926859556164	0.130842629831651	0.146848530752338	0.286247989151684	0.388907137171526	0.296151614610266	0.197628237197493	-0.0474270600198879	0.210255038721118	0.0904968985192126	0.195738622722021	0.357875571603731	0.23901681255376	0.182107856218269	0.224689561651271	0.408339197098156	0.171578319175222	0.130733816199232	0.314207317636487	0.169863150962336	0.190538476499064	0.280009528451637	0.234062936419589	0.0356353973248245	0.137102831559965	0.233277557096027
SDC2	0.917604349666013	0.829331776040644	0.989943045801617	0.972082924209306	0.239670157723609	1	0.627544046791384	0.901491697750457	0.98065896312498	0.973535932515248	0.988167459166006	0.940871269194429	0.96320297182592	0.878067869753332	0.988329323107864	0.99381174527091	0.963736767460705	0.946563699930714	0.981615127541703	0.99202381931462	0.979841975141017	0.783087671278761	0.955618714211087	-0.046879747035337	0.681113761770613	0.874248810128783	0.987248996438049	0.973839450780369	0.942749981664692	0.852022016507161	0.84060022697403	0.897241308955332	0.981438120158002	0.985996407634566	0.982593346071942	0.971483843265454	0.975588871556446	0.963418846137592	0.972765977754984	0.956830008909611	0.881785244847943	0.913328471354452	0.970633053741453	0.981228289505067	0.975110719533996	0.98874462427545	0.942669348944504	0.959808538482188	0.984098575023413	0.341797446224437	0.923391618588321	0.936102556705235	0.957537376077884	0.901309820974216	0.958191756318288	0.957409985075061	0.992014208925588	0.986494867957008	0.749677490249805	0.985605273677773	0.973294619227545	0.97291495142362	0.956899830960468	0.989827443595483	0.889737300383738	0.963762073641883	0.975629336833519	0.969196051400252	0.952665960217071	0.790455249429029	0.962883169758749	0.99106651280791	0.904765890600819	0.983700652059623	0.935110958514444	0.86356997780614	0.986180791672633	0.988949163023401	0.981571675845185	0.239826064710359	0.818666409325421	0.981928350202934	0.970757954627207	0.984915545695417	0.966721318416236	0.959126245530759	0.985938619333068	0.980043168659041	0.984540788135472	0.985880295921689	0.963125874813587	0.961712023560755	0.814282974984959	0.215907114914826	0.983081821773334	0.984637419364389	0.98773170447655	0.986922880357824	0.99011613654584	0.984675731493411	0.969763832805031	0.633598374101216	0.927421084429509	0.820945712780702	0.837651758425447	0.684690953127499	0.963654145198555	0.979537503737945	0.984260148747388	0.978730117985796	-0.569345498254736	0.966569947907659	0.925637869162211	0.967134357219307	0.976465977141912	0.909234152351605	0.937256754160604	0.974257328469516	0.531256621246731	0.985698175087006	0.964381314667886	0.989728321600178	0.920848940526031	0.988733474616941	0.9764094278736	0.96089120101927	0.944724043283837	0.971409988279502	0.788195690767387	0.957238979726823	0.967765757015212	0.912147193924545	0.964570172874603	0.265168762249427	0.797875934625959	0.947125171343616	0.99204941598743
CD93	0.847034763790042	0.88901616163479	0.628632185137702	0.696277502003157	0.656518996192972	0.627544046791384	1	0.886685170990037	0.698047321076909	0.760408357030061	0.691119811906861	0.735825110400854	0.771419763084108	0.437316609301691	0.682840827324884	0.609649599346073	0.767342523911702	0.824841257808277	0.732438103894092	0.630806478253275	0.726041172645075	0.870280688893951	0.813715612897361	0.360622583089996	0.9019990945692	0.864276065100194	0.611808507456845	0.746906380357402	0.826534821917703	0.887548363591522	0.912920663532145	0.882066569614	0.676970672487041	0.576623030724129	0.507521081606355	0.757349694568273	0.502367795918121	0.768212415980678	0.762357908688248	0.667836636714528	0.859918127204028	0.810026344627176	0.770648880466389	0.700133120614952	0.527121223015037	0.646672850585183	0.722006133225528	0.793338268332816	0.510225023813767	0.778136916588288	0.860983873286634	0.549113410729366	0.697328960799861	0.765201416539031	0.782118769707293	0.659487177038501	0.616336120486376	0.703499767301622	0.62181621944833	0.743868979761317	0.639215035569908	0.735812781443484	0.71636234241439	0.704246707864289	0.603453958221445	0.75234096544085	0.654551823685536	0.732987365839462	0.608921521743134	0.967096378642106	0.795601115079124	0.653489595640608	0.549261815982011	0.701593264251555	0.797536905460681	0.903360020114486	0.664906327423656	0.643534302051178	0.52745977968455	0.0104864821524018	0.396986901837135	0.611417808842428	0.711617462369336	0.576359754690285	0.753697558340052	0.582011044218167	0.603972197536572	0.568738058199801	0.650170512172515	0.628828862590241	0.491692947577009	0.74450627864936	0.569429406660917	0.525630968791926	0.513577918491095	0.543467876294037	0.690001506165774	0.584508528636523	0.680882772601694	0.570664290666423	0.729932340981161	0.971937703564353	0.82161762786541	0.767870672743319	0.835540746366377	0.987368231315239	0.746577174088998	0.637039941393852	0.677223996116333	0.630741712062979	-0.299680583771513	0.528125384061936	0.598425846382301	0.58072540699173	0.697061838113558	0.761715460701228	0.755853772050319	0.630630595294927	0.346038341975607	0.63779540236438	0.478349238794512	0.581124171003314	0.797247975831199	0.584897531473903	0.58223983031677	0.662820318272355	0.799777267892546	0.600760117410826	0.574176062941636	0.719690778096959	0.599679694348703	0.665376832206533	0.707558896616189	0.453230625567533	0.522446729751662	0.592355333446355	0.636702705043284
C5AR1	0.990250168298311	0.964206164963811	0.904183678572908	0.930890391756924	0.491392241382288	0.901491697750457	0.886685170990037	1	0.940908049197507	0.965448507522375	0.937548968959844	0.947516166640359	0.964327304593066	0.7560892975284	0.935059149807729	0.892229052236681	0.960866732681781	0.982295017605348	0.94902885303723	0.902273280452403	0.95182495253002	0.935840569887392	0.979223821713388	0.187955327559312	0.882743943723791	0.973663288158399	0.887844629311131	0.954655831854392	0.983568559373309	0.96682568186381	0.977959203464578	0.992647562459072	0.917573913180285	0.870390560561061	0.833117476218926	0.958299158052142	0.831361857878231	0.965874065911217	0.958278429234546	0.913205209008204	0.962534341686706	0.95166564356994	0.960978205731726	0.927904706051239	0.837678415324256	0.908946919503094	0.923924541870952	0.972861284384912	0.832452308957106	0.609872577533415	0.993234486119823	0.822332096587369	0.916345866035676	0.927439746140876	0.96461947999817	0.899694890309657	0.899600225081866	0.941920569963926	0.755594922442285	0.957956077970758	0.895998959061912	0.939036644839172	0.93036963321555	0.937057783366582	0.825761214516209	0.954043538578395	0.91305409898116	0.939690702722529	0.873472277758127	0.959908753125991	0.977308047901386	0.921118536123623	0.803073297965101	0.933417187281781	0.963726736590462	0.986712332617103	0.913270432461228	0.910219167106185	0.840700497983587	0.132404056272293	0.706855151947241	0.883994471575326	0.934455397212857	0.870404139587506	0.954857057143162	0.855792019512728	0.882801109409816	0.858297479785904	0.914677519491991	0.9025884134849	0.807704366820031	0.931694550227112	0.777118640429478	0.417059133958032	0.834024490263004	0.849460276239005	0.929367208057851	0.874751053578766	0.929480579575928	0.8620540797087	0.950747988185227	0.892827939044351	0.969149892559885	0.873397949505807	0.931387033196065	0.921253659436594	0.949326771979896	0.899665661864246	0.920303444748647	0.892829757076203	-0.435128246934591	0.827973119429621	0.844516131877076	0.858316249118946	0.935357371053026	0.935874368576342	0.932144684780367	0.890836308880626	0.486057429667784	0.90462744737183	0.801203620643797	0.873019254485686	0.956456297214857	0.880119603369162	0.868148578308433	0.905995620918662	0.970638351191523	0.86572838918175	0.743152800728675	0.935140843633547	0.863362090586371	0.868661983445441	0.929732429090583	0.468237649293015	0.723440894998018	0.849303192405629	0.903000907746497
CD63	0.958002304331746	0.887169587833175	0.991446219309037	0.963473428936762	0.293520629250508	0.98065896312498	0.698047321076909	0.940908049197507	1	0.991243386458412	0.993062383883057	0.965287175951375	0.968705391096467	0.850368174213582	0.989173159934264	0.984766368019875	0.977660818401666	0.968969193844106	0.986036397877358	0.97883846518237	0.996931999568023	0.860701714083406	0.976072927566816	0.014185662892235	0.756699884247378	0.92172315940357	0.961800327623599	0.97682267866243	0.970806208438988	0.910288464315973	0.897393037244361	0.940781595097661	0.963594648845638	0.972758738704366	0.955214075632909	0.986096396244165	0.959874732053523	0.985844281884275	0.976651468108324	0.9773433464403	0.898236218627084	0.93684338468113	0.98194082321656	0.98141112106172	0.967035660106131	0.988547381641307	0.964795428322292	0.982890451082998	0.963225116262147	0.437467020285115	0.960575757076418	0.933114633034715	0.966451425931394	0.937438818895702	0.981046480007412	0.978045215120011	0.988203984854268	0.990848134978287	0.76140794247763	0.986076554058389	0.976365442058136	0.954001106600143	0.979464662086652	0.982473068450026	0.908159698379191	0.990634511148692	0.971387567631829	0.976302566189707	0.948594433011424	0.836595672627919	0.9825354037117	0.99161083411577	0.911713926426056	0.983871324596265	0.971771385742449	0.918215547499807	0.97307691071613	0.992288480492845	0.965937228529339	0.247477322248826	0.850006162552903	0.969227874086363	0.973817297925249	0.970064440578747	0.987625018695137	0.958439471841325	0.96814704207685	0.967199454808813	0.991319089936654	0.989766365926592	0.930214493660906	0.95459624062374	0.794364545858336	0.250847004681471	0.960590928258259	0.96012773739951	0.985108970387288	0.972138013754727	0.992214815555494	0.954604861139716	0.984879163613096	0.730056054775593	0.947468351199497	0.866315661939299	0.891050953494307	0.753408873062792	0.972169900962763	0.970435452449225	0.990591035262948	0.978612590813172	-0.53239152823203	0.944459342612617	0.936887303402816	0.962815326826666	0.996624032451116	0.943892308650187	0.960713289659086	0.978235836865905	0.561447067148991	0.988506565953786	0.944794715752955	0.974783693480107	0.957976549535967	0.981798949038776	0.970012113056898	0.980148648036771	0.970463787507721	0.966408946973794	0.800584141641751	0.978107885903704	0.95484446619172	0.926417707015792	0.976353619931447	0.373420261818191	0.819845907874571	0.941343648587329	0.981561905612246
CD44	0.975917803702411	0.919757958018848	0.978413946715217	0.97216003647465	0.3523622426989	0.973535932515248	0.760408357030061	0.965448507522375	0.991243386458412	1	0.991796043718769	0.974569475470061	0.985853887901366	0.846742695426838	0.989892043246976	0.97325150054095	0.984813055500567	0.988972249407321	0.995302322082282	0.976635106401708	0.996139706315416	0.888674299273437	0.991557097421575	0.059374219389305	0.791860883603647	0.947762833949639	0.963470300167533	0.991088788482113	0.989055395039071	0.941307839351119	0.929649893242917	0.965895015130066	0.974099997687287	0.96432136548381	0.939002162495257	0.99704780484914	0.934693154032367	0.994114345699176	0.991885790181405	0.967848891277629	0.937868625132507	0.959886619660362	0.993987054665465	0.983873140134089	0.943971796686449	0.983861500772126	0.970788973069754	0.995501663059088	0.940620285455376	0.512431864335263	0.98000802571774	0.926606057103762	0.972785337651653	0.952054056818781	0.994777519451504	0.97035693819015	0.977886510954521	0.993224924073185	0.783398550227032	0.993705019179884	0.972463359267306	0.970205564651453	0.984573746710818	0.989471226772098	0.908435624397881	0.994073601327768	0.972671566405458	0.984496864785529	0.939850981559374	0.882934780858505	0.995205752905255	0.983005462257625	0.904778564601065	0.98911273253912	0.982106334990544	0.947939470998381	0.978020150328646	0.982412470251342	0.94753336411636	0.251599345984402	0.812967671752233	0.967733577290181	0.984800926967031	0.959433365968718	0.993544790505261	0.951638532350466	0.966998713557742	0.959552823634508	0.984336487473147	0.980701977645718	0.920620198861913	0.956367192084035	0.807421545970372	0.297864105381567	0.937867628636965	0.948915711737761	0.986484293249839	0.965812248044277	0.990642061311526	0.952745974125486	0.983655513627718	0.774917933405266	0.970884579095476	0.8977393434274	0.92020565769065	0.809263587185211	0.983664441619662	0.972137402393689	0.986128150715116	0.976219331124809	-0.529245140373272	0.937826970150572	0.934633768531883	0.955678966008097	0.989872464126341	0.947755167989015	0.976345984914812	0.973757710622847	0.572324747038438	0.980233694930494	0.925566368570651	0.965847185674958	0.975677403268405	0.9670805412126	0.963504646374362	0.973169685726834	0.989808236465024	0.956502468156317	0.816127408363526	0.985289958488165	0.956445194914788	0.934007041597625	0.983371140846684	0.363914482871053	0.819391764726285	0.941451740951923	0.979081543137935
