""	SIGLEC10	CCR1	FPR1	CCRL2	LILRB1	LILRB2	TNFRSF1A	CD86	CD40	C5AR1	ITGB2	APLP2	LILRA1	TLR2	ADGRE2	PILRA	SIRPA	PLXNB2	CD4	ITGB1	ITGAM	HAVCR2	CD9	IGF2R	TLR4	CD163	TREM2	CANX	CD81	THBD	TFRC	CD74	TLR7	NOTCH4	PECAM1	ENG	LTBR	KCNQ3	KCNQ1	GPNMB	CADM1	AXL	CXCR4	NECTIN2	ITGAL	SDC2	ERAP1	IL6R	TNFRSF14	SORL1	RIPK1	ITGB5	TNFRSF10B	SIGLEC1	PLD1	TLR6	CD72	TNFRSF10D	FAS	CD300LF	TNFRSF11B	ITGA5	PDE1B	CD47	P2RY12	PLD2	SCARF1	TLR1	TREM1	UNC5B	ADRB2	P2RY6	RYR1	TSPAN15	NOTCH2	ITGAV	ADCY7	TSPAN14	RXRA	LPP	LRP1	SMAP1	ABCA1	ITGA4	STX4	CD99L2	STAB1	RACK1	NOTCH1	INSR	STX3	PTPRC	MRC2	SORT1	ADGRE5	MCFD2	EDNRB	TNFRSF12A	NRP1	CD226	SLC1A5	PTGER4	CD33	SCARB1	LAMP1	PTPRA	CD69	CD63	PILRB	CD44	AMFR	CD93	C5AR2	C3AR1	ITGAX	SLC16A1	C1QBP	CD46	CLEC2D
SIGLEC10	1	0.698520910051283	0.829675295706071	0.777684757137348	0.909320174269343	0.30907558859007	0.867517507042987	0.763808198426021	0.686028082342617	0.579041390343218	0.772015099022046	0.633491318482796	0.759405257165856	0.802555792557743	0.788376368963361	0.698737053697248	0.77650779690883	0.707188489837864	0.882535488373122	0.693372278987232	0.672336267038995	0.815395753218172	0.383426479673611	0.673780341847809	0.646847040959619	0.746154817074273	0.831648225815544	0.337453129322381	0.855730098599175	0.0901520089125235	0.523268701982136	0.798696672365436	0.740979768201516	0.336444191360955	0.671721341634982	0.71339385403032	0.827461798573513	0.710421775758193	0.726337424415183	0.199078732404615	0.5536890330996	0.804052060187448	0.421070165831339	0.570091461802345	0.722579151202377	0.139232096097213	0.603634567981713	0.846315501235367	0.64456597462059	0.879836074395035	0.759796970001588	0.357156670843687	0.726480545233363	0.291068060857247	0.690938721628866	0.801414463684683	0.656594541979486	0.481823313583514	0.698874396369743	0.727749897894433	0.734056009172397	0.389472158528321	0.762869548035337	0.754858148048105	0.579808388540024	0.82592946695603	0.575250158453637	0.871735808114595	0.470551230495714	0.851643407218176	0.666880803218773	0.625776563421746	0.629507173104378	0.782925026602635	0.417208116023855	0.921403377950181	0.879533515091051	0.821813675171257	0.519389907717686	0.767908815568927	0.749794956322116	0.671107576808868	0.411346140952648	0.211823538203213	0.75099200819599	0.678306212792289	0.863920564927142	0.757614080072652	0.494272824683253	0.113976220963942	0.707159314008784	0.850921340674566	0.842997076853509	0.765901386087029	0.545972807283836	0.65676230579841	0.603739239514717	0.512032975638239	0.552279372336002	0.803604229847495	0.626816129033157	0.742667760359401	0.800276975427714	0.796206466297258	0.682995113854268	0.692905170704463	0.726534544829245	0.689601164126404	0.626332670417456	-0.0878311939241102	0.483325281314505	0.391036524109613	0.423770607618108	0.810164054720496	0.702932538370047	0.193611133553122	0.717287086372234	0.726758267976856	0.585654494765459
CCR1	0.698520910051283	1	0.822265776880832	0.786907810436224	0.71739556851765	-0.0118620963437217	0.748802948711248	0.667501123402555	0.695644069354434	0.666446501731945	0.69687884040943	0.724339549406312	0.56983375098334	0.547831188165993	0.597212939124215	0.741766152255431	0.712377960261148	0.725974282942658	0.791418362104762	0.666099672661042	0.746926909265896	0.850745225429444	0.360666559180161	0.555126603628231	0.501771068358371	0.462363432261309	0.716301127067693	0.516807917096196	0.711588187829652	0.352779219180259	0.641140080111584	0.372203864638769	0.400217232883424	0.335687298981567	0.390097747080819	0.699855447682476	0.616338388261479	0.728882942582672	0.682226169407393	0.454431348258113	0.212343639306227	0.444419892801094	0.311496998801845	0.646509887035662	0.572283058443183	0.451418712554062	0.562908070317139	0.760967764013579	0.547559370485883	0.808192399258939	0.761137763543158	0.630246688923085	0.746657992648436	0.0536206321429714	0.728057936420386	0.657753611814572	0.379041724832052	0.572666941419509	0.723122726770835	0.431785684120627	0.648526621048366	0.448643653347841	0.631224277960325	0.613663579175702	0.695431039265718	0.712977112570946	0.547121163079599	0.579602565759507	0.615377452348781	0.604814901565891	0.78946510672474	0.540453022803922	0.574970938899123	0.680716027590504	0.461435881679113	0.7425065287133	0.693149706444933	0.748507945088551	0.612801695140787	0.672168499214157	0.757924371766776	0.570916085108354	0.590100714478234	-0.210980309881315	0.733956958158632	0.589277040275573	0.67196952130842	0.602278938368074	0.333225686173422	0.0517737312113372	0.619367731008861	0.758614322457608	0.64650338832184	0.706130768301848	0.658693928366324	0.716678612995647	0.641547712976095	0.621734014459928	0.679148159342712	0.74921780537976	0.788726808537401	0.640201773820196	0.609582596085541	0.664303750142703	0.768449612999142	0.628180461477272	0.676097413906032	0.706141526731501	0.573978252647127	-0.116605389952514	0.392039568324935	0.110977406316763	0.58666250989681	0.870280834866491	0.781259488437169	0.237635892891743	0.559245603053806	0.558682194900986	0.456687849216828
FPR1	0.829675295706071	0.822265776880832	1	0.865002553997336	0.86513852219098	0.0882896738900461	0.844551860768445	0.813373080134694	0.798256777426403	0.71570556185496	0.854961357182796	0.792590049528375	0.715305811678915	0.609663224992119	0.74570859947457	0.842457245707595	0.791087824294259	0.822586977464588	0.936097821662833	0.763047152296963	0.84845846466857	0.925668510179469	0.420091008439933	0.636997780579202	0.405773751022852	0.547588526845684	0.870657128976643	0.463434078794982	0.855013012689395	0.388313997770899	0.757528546809734	0.484800967270735	0.414556268814315	0.330626579137979	0.468791355728817	0.840573232075725	0.69463718489946	0.757585821048236	0.844553051828149	0.398360285913361	0.264431197992722	0.543557601288632	0.379390300850034	0.678874709402838	0.814736986783634	0.406139869863739	0.53508176064117	0.81323536782049	0.606782455634793	0.904272583629585	0.813080861637476	0.549325630693711	0.848937092464777	0.0504347443260049	0.783142712807934	0.746584000671259	0.485423347281849	0.629324916954434	0.825710575789872	0.485005866127111	0.803071031339793	0.492312013227567	0.723253927685049	0.716892609770703	0.710543735998071	0.782796465464175	0.53382416442708	0.679041078429073	0.737887913243927	0.759479773918606	0.736559383862702	0.706603927887243	0.608407857316859	0.797414799679377	0.500983566847214	0.867773631882958	0.769466228815659	0.850349647971883	0.7015070612847	0.760752192347686	0.854059635479511	0.679771372046339	0.618593751071726	-0.192046620784868	0.823823250261599	0.629670509137158	0.790040325238948	0.773291945518137	0.410990280608605	0.0191424400780567	0.62657599882742	0.865648072665885	0.7414165184614	0.788741757014861	0.785812048470857	0.791160732388775	0.670634016987652	0.72512743659874	0.728667002800306	0.895020427450657	0.807160011536419	0.77610605261984	0.727929554456182	0.713829064766166	0.815430679569827	0.739289618404497	0.801737901141224	0.755942482407085	0.597780869604645	-0.167583619864273	0.394923381868092	0.189668620135901	0.639538485235984	0.885575625172225	0.87339712833196	0.270013297538767	0.718674796768636	0.63313807702214	0.504660793304452
CCRL2	0.777684757137348	0.786907810436224	0.865002553997336	1	0.825455391179723	0.170334942838472	0.838660282394921	0.738053776607547	0.718837828262309	0.791454769124179	0.761750821564625	0.793273966691587	0.739231121528128	0.649998220679415	0.761525503664451	0.75142273622083	0.823214477253686	0.785594110048115	0.852878054660671	0.788659160152426	0.738084608660851	0.887338052466761	0.451445249501948	0.716780103277534	0.441734533803383	0.605123199566759	0.805749212556719	0.566289824971903	0.793811398866274	0.369037095483828	0.693447755043173	0.524858196062866	0.435696716885331	0.422139560934138	0.60727832120747	0.757908893759739	0.66343129875266	0.746526550651851	0.716716099769925	0.456586964988511	0.348188262122763	0.542822647893029	0.450101830659867	0.694949982972777	0.719648831554664	0.445080751164588	0.613414137571358	0.850485003578682	0.695428168329535	0.821370882283933	0.832496023287267	0.462450871752646	0.827283695219433	0.0463254936143655	0.707015705133841	0.664436090177151	0.572930490053164	0.559203559889507	0.817184799614167	0.555112029630745	0.798132744021671	0.526272307245049	0.699374224789668	0.729964627646922	0.585755215403165	0.801461620433714	0.477374538364754	0.683927953616167	0.72004777552075	0.750990779035295	0.709643899644315	0.551604426362753	0.592966143668419	0.728353677934006	0.559709615100782	0.863927287833296	0.793629712757235	0.847258157626852	0.681260678541466	0.773388332837908	0.837462372564374	0.717285886856272	0.625344986884491	-0.0567765952168383	0.840745822652566	0.698892497101976	0.721860808225865	0.762953236284012	0.468731285247359	0.123693499605648	0.698890742766893	0.844071809829069	0.759532922462981	0.799283806262441	0.787280200706522	0.79484929705702	0.736986872052719	0.660495250595592	0.706968951023554	0.795629797845168	0.718112679524865	0.840740853248164	0.643630246065415	0.774926966536388	0.781592401822921	0.754987823775283	0.820532493084803	0.761024978006201	0.714436040135276	-0.00536061123944532	0.499812268604952	0.211749743040675	0.643554470052996	0.857761022767921	0.832827768368385	0.321413917023751	0.708282616359299	0.666073632948819	0.558314902933051
LILRB1	0.909320174269343	0.71739556851765	0.86513852219098	0.825455391179723	1	0.337029864803754	0.882873175063866	0.844667097882639	0.731140563843882	0.705899652957586	0.845787720681547	0.766686971227193	0.797154732343714	0.798640237598986	0.867407063070221	0.77488454805189	0.839818841825949	0.805719888929617	0.914273619271682	0.8004326026309	0.776508377598365	0.874827486685035	0.524969399031139	0.735786653653506	0.592131754783051	0.774912901067935	0.859841575838232	0.481411840771285	0.867843688989394	0.279736997762148	0.635305642875659	0.743016249097681	0.629039302754629	0.337422411913725	0.692860767148535	0.796001985011503	0.804694983582134	0.76023392551664	0.794323053397823	0.351789754346985	0.547848781676459	0.774079635551152	0.512003366757967	0.693950796736555	0.807842976348392	0.302803887829939	0.642772713290844	0.858685301070649	0.722302818255725	0.867967744405161	0.843996782664076	0.437730515607774	0.795303043549142	0.269716009726679	0.718494735888449	0.808396565080095	0.72135868507018	0.568637042641331	0.765386862624974	0.681794935966925	0.751463137448329	0.495999333345669	0.772575160129282	0.817145455132385	0.526676390030625	0.814420783920952	0.573772402732638	0.865236617855432	0.641744189427577	0.87656674151361	0.681439822115946	0.688919504160359	0.567584409235606	0.795036992305819	0.490659617244588	0.906184404380878	0.852166200275321	0.882775904099078	0.66931872337394	0.825226573277345	0.836744231012792	0.760426817978711	0.566027697266696	0.187941378368955	0.841773550160833	0.70455861645735	0.856165317017619	0.811728130208904	0.53501600002125	0.138907856793801	0.725747188589628	0.927725320637315	0.85521353512986	0.796769747666983	0.706307194475268	0.751879673460736	0.664043385745001	0.648470228591072	0.682927499107993	0.835667627634572	0.691781466802525	0.825235107309191	0.782072805938031	0.781161195304668	0.751810651930802	0.775143399293891	0.755967122683889	0.736278552828974	0.663939099054315	0.011547944609492	0.547861832498829	0.381091311596837	0.559312789325217	0.822475792517395	0.782880787584537	0.29463967848688	0.76495673857823	0.797610619654573	0.649253988248145
LILRB2	0.30907558859007	-0.0118620963437217	0.0882896738900461	0.170334942838472	0.337029864803754	1	0.295939886055582	0.209331041783639	0.0344858526446181	0.312994582890551	0.16916771315766	0.106499897019996	0.430864560287309	0.494774874345891	0.383616913918385	0.0395752393266662	0.25250283009646	0.131678418389982	0.137466821448847	0.18169732630147	0.116325875691735	0.0571938528079279	0.229574074317137	0.345913280048132	0.406039196891014	0.512618226962675	0.124035514471708	0.0521596654248575	0.175265061128543	0.0776909079165997	-0.0500760320770269	0.576396165493489	0.486401273253267	-0.00455432475858213	0.637007132762832	0.0264768852087122	0.351530643979502	0.0782216005837147	0.065698017832269	-0.00525003556843841	0.534008263080904	0.547649129321028	0.424005725563546	0.118221076099703	0.275406084154136	-0.13086437624907	0.309412512769434	0.21219466782551	0.408491825704993	0.0858819175439974	0.153874706134	-0.0490553687090427	0.0247225847986257	0.337926679221694	0.0396896648476687	0.224193715179761	0.492584417556906	-0.0234268409477823	0.0253213978065874	0.55849532284965	0.0173012590108051	0.213317377096433	0.213651842292228	0.267473540809185	-0.187663233013924	0.263514666718302	0.0898233803046696	0.443708863779636	0.0109791742308955	0.326193101247859	-0.0154508321823833	0.075893908807621	0.117130666515417	0.0767430102436941	0.436268636865767	0.216184601051363	0.347281983317776	0.224534541199083	0.13545481780252	0.17671686384714	0.126286994470488	0.240347422757207	4.44194584792708e-05	0.741991209294086	0.143391027215516	0.187946620936376	0.246686863740392	0.252883959759558	0.266556877333543	0.10269910329329	0.3146115312829	0.283780571884551	0.307414930561823	0.125817970001799	0.133293351227992	0.0562150603699576	0.0757138636805878	-0.0535085464114129	-0.0104207969375554	0.0594781278049276	0.0197192129938403	0.240312108547242	0.250667497184861	0.261203694384462	0.0231563419196702	0.13554201008236	0.128859926587857	0.127307576207109	0.196514096638047	0.579263430080048	0.381197624773574	0.554327294394708	0.101383183931148	0.103283516230942	0.032854608604563	-0.0505667563918694	0.199028361839475	0.380982422015272	0.213864100977101
TNFRSF1A	0.867517507042987	0.748802948711248	0.844551860768445	0.838660282394921	0.882873175063866	0.295939886055582	1	0.870088592977206	0.788225331362315	0.687071454868945	0.875018073662838	0.804176051682169	0.757378575339491	0.757108764173438	0.788516359093122	0.810459191527777	0.896125005015309	0.799530613006411	0.881300384216752	0.817824761842469	0.767923178967682	0.875760368845205	0.612286747890546	0.760892901510521	0.538277328203123	0.77653702652566	0.882450229964632	0.593038004169734	0.90928880691299	0.330176828722922	0.565140492539735	0.722413526391693	0.567510852680643	0.244476434290906	0.650265011653024	0.783639159202428	0.839682491995706	0.676651345912408	0.765979048435787	0.508176758053003	0.611783363188903	0.779262938826443	0.473687341916477	0.773873093061274	0.753396160508952	0.424868351441063	0.679291172153783	0.828502891483932	0.825755602040561	0.784825994277985	0.854361816458276	0.508757567408452	0.731228292691633	0.285046844200856	0.656270857041852	0.691409633485177	0.717889128600142	0.519094432547348	0.731575536600997	0.744937241835471	0.68806030441334	0.489741355390343	0.804080037671158	0.831281688148557	0.427972327957913	0.81244903702705	0.518346038548739	0.836180437487358	0.623053048906018	0.878002962125186	0.639872739346574	0.701198525613378	0.486434567799036	0.805763548974548	0.516181007789382	0.878715900297323	0.809622754843099	0.838147562255168	0.740148920585618	0.77691330172081	0.862496649523916	0.844705185388072	0.649211289975694	0.191104846436493	0.767491602540334	0.693660945488314	0.848761015717764	0.881607524709039	0.444437847868239	0.0813145051340486	0.73526271881677	0.872662737792654	0.786209766369721	0.725396092465554	0.708884448161732	0.827405401620317	0.720684973596679	0.697266178805386	0.737939934190351	0.771597077974591	0.752757570801406	0.770905421432933	0.826684191830203	0.805162654802048	0.817613264790125	0.796394327600547	0.686810044069284	0.846322637674294	0.657573002679122	0.140077907924866	0.604062778074613	0.327046519633101	0.496599792489937	0.826064662261409	0.740236988426641	0.323394261559904	0.814526322552995	0.78781120551124	0.577145491925917
CD86	0.763808198426021	0.667501123402555	0.813373080134694	0.738053776607547	0.844667097882639	0.209331041783639	0.870088592977206	1	0.823249377942372	0.605936762522619	0.956788897977575	0.864340804680295	0.672766967812442	0.658222014193966	0.769298630966086	0.89398462291231	0.901762625880449	0.845212643827172	0.85714934473549	0.83240687154082	0.823384238578625	0.865453809303213	0.780668318898832	0.684593321101294	0.434852948839036	0.786102743813627	0.919751558337073	0.576044700243818	0.921653311026603	0.448833090503363	0.565840532124536	0.637159927415062	0.394235017822773	0.0741535168066367	0.469627764421354	0.846292542345953	0.801102930984951	0.646459094780761	0.79754389352715	0.64465312944184	0.5926114841613	0.719738550087976	0.429353866366661	0.820527499497354	0.789585194692395	0.53149752859244	0.580225081623951	0.70225404325505	0.808674754089137	0.717725195348505	0.794451258788039	0.589137958644699	0.669185971709135	0.329270441599592	0.628186769385491	0.692657594590676	0.721635731751168	0.491892772864108	0.722258257672201	0.646506246994798	0.638165482813391	0.415274079670433	0.814645260394729	0.844363369577419	0.294640883927497	0.752694536433973	0.449618835938343	0.793502516818659	0.760780371578488	0.812430147085379	0.575858233959284	0.780593894596525	0.280719985447779	0.776492426980437	0.448173291486549	0.765690229031375	0.683791500793517	0.751931184198899	0.837434009396984	0.747832003161851	0.886228910536838	0.852338776745885	0.751117544057425	0.10703900544205	0.760730025557845	0.592373059496921	0.822964243217132	0.890607329328019	0.338848859781905	-0.0316490728819292	0.642462301883815	0.871933932911606	0.695759629072425	0.617592097209627	0.743140503205183	0.850716000384863	0.638834226345381	0.812017644973258	0.800217974278589	0.764820875178232	0.738884703841141	0.69110469171641	0.821260595005036	0.66121008638251	0.859186176261069	0.78722051216105	0.584236479494321	0.866380020046733	0.512280783321881	0.129793618314117	0.559920375975275	0.237696848538401	0.47858932562348	0.752569857806079	0.705664000115344	0.26867600629236	0.812131737773493	0.781212972831997	0.541656971148399
CD40	0.686028082342617	0.695644069354434	0.798256777426403	0.718837828262309	0.731140563843882	0.0344858526446181	0.788225331362315	0.823249377942372	1	0.535717863792455	0.852484011283007	0.827859227163972	0.543642091858414	0.459841287283036	0.608597899047433	0.868950545419652	0.794312816642591	0.7768182556544	0.807261019264758	0.815465654115827	0.748225334631456	0.83562296952743	0.626950040465285	0.663360420915341	0.335953258730021	0.614192793261318	0.864238781107086	0.582864782105809	0.859532966498309	0.422503204590811	0.533702211787724	0.397383887100844	0.262741091870363	0.165027384591543	0.356158656837069	0.803523909978698	0.707939721423519	0.579506659529498	0.774516395828367	0.629602297584434	0.423831425934629	0.516991594867031	0.236382505166889	0.779150232684944	0.678166365817588	0.573375360694882	0.549530667540208	0.654055272280095	0.686900501298413	0.69106619820971	0.795455304042356	0.581369233750368	0.671150916496124	0.19850058654645	0.669621495394256	0.576504202977023	0.492208226713463	0.465875247666686	0.732925968314132	0.511480789354433	0.654126412479959	0.436935299078841	0.773162017142099	0.735431066512419	0.388365047687977	0.711321432573859	0.439012788292061	0.612882375816992	0.664797720317113	0.71029122414967	0.611402879382096	0.669431011738044	0.275510287385875	0.781226509514332	0.411668159461065	0.738769018382045	0.590678733896317	0.675931603610271	0.776471877832208	0.705742187152141	0.842335099349811	0.774019721961034	0.707222050331324	-0.134704529284439	0.668456119645761	0.574926059433617	0.730570464421915	0.817086875037447	0.269328461834441	0.0342375381859913	0.598021528430607	0.756870689506132	0.582171417535387	0.60257477384783	0.73817572331058	0.838011518990238	0.68345121455416	0.749563266200853	0.813221939758618	0.752773190453671	0.740726073768671	0.556297780728444	0.76421918050676	0.620975281253088	0.882296179436527	0.760482496878343	0.526090576483306	0.859096629398956	0.540133882320689	0.0130193031222815	0.487546617051485	0.106333112340483	0.450256316769292	0.731866576408752	0.676084001370553	0.328498590595302	0.762898502713338	0.667893540277553	0.451822354838493
C5AR1	0.579041390343218	0.666446501731945	0.71570556185496	0.791454769124179	0.705899652957586	0.312994582890551	0.687071454868945	0.605936762522619	0.535717863792455	1	0.601577446959362	0.776085929371015	0.627405158163849	0.646678777951717	0.779248759258882	0.619176088028419	0.755026634973152	0.695067961258985	0.673036033701416	0.732723189618129	0.705237178891071	0.774346370440732	0.515920561853724	0.681891126687786	0.453976079801516	0.567691177955027	0.548166469915458	0.662814148486647	0.539270409572942	0.625079042941158	0.814100735394502	0.454607900568697	0.427048632123985	0.391427241456889	0.651584969872485	0.574975122658462	0.516688883339771	0.728862933833693	0.530611260991945	0.50856205139819	0.334838605878556	0.472218844615456	0.720070944918584	0.651327596847284	0.642099644296993	0.585298050970897	0.634930019321251	0.791541515643742	0.671689471414524	0.692346948777474	0.734715476884149	0.438678481875716	0.73449761583786	0.0257371828206357	0.603033880857733	0.601045893821049	0.600840230548536	0.670355211244749	0.599601594357869	0.408497486867512	0.544064700184003	0.652850478422074	0.512050152423996	0.618992905864242	0.450433189074797	0.646156257785291	0.297671953013046	0.59569896426218	0.717930201768721	0.655744636830133	0.595816104386163	0.345659347816736	0.589379772753143	0.435778062325536	0.694073008005604	0.699808822501793	0.69990773094226	0.818895620144912	0.6848891891874	0.71037913105583	0.730947274148388	0.627784377005343	0.716300244197553	0.0595490066744521	0.848647916299464	0.595872566629459	0.470022284121599	0.565415367520248	0.585318828224315	0.17465825923485	0.706035677743691	0.791800881531404	0.731745305840687	0.718070876299887	0.790091769662529	0.662102446734799	0.679216703965284	0.617227259074469	0.625422187125795	0.643232181150488	0.695470716542535	0.85033124211333	0.422431627967725	0.671184889117405	0.636545891286827	0.640672444900087	0.808232101577293	0.571841705108304	0.661751364989942	0.281864988751609	0.615757148300996	0.202909973170831	0.840780024628304	0.773099170118303	0.84614651275806	0.4013825303251	0.501916462454411	0.663663994567441	0.578254885729419
