""	ITGB8	EGFR	GPR37L1	THY1	LRP5	LRP6	SORT1	LRP4	VLDLR	NRCAM	MRC2	SDC3	CD9	LRP1	C1QBP	CNR1	TNFRSF12A	NOTCH1	ADORA1	TNFRSF1A	CANX	TFRC	IGF1R	TYRO3	FZD3	CD82	EDNRB	CD46	ABCA1	CHL1	CD47	LRP8	RIPK1	CAV1	CD81	INSR	ITGB1	ITGA3	SCARB1	ERBB2	LPP	TSPAN12	CD44	ANTXR1	RYK	SORL1	TSPAN5	ATP5F1B	CADM1	SDC1	ADCY1	FGFR1	CELSR2	VANGL2	CHRM3	PTK7	PDGFRA	NOTCH2	F2R	PODXL	SMAD3	MCAM	PTPRS	RAMP1	FZD5	FZD7	FZD8	PLXNB1	KCND2	FZD1	MCFD2	ITGAV	TNFRSF11B	FZD2	ITGA6	GPC1	APLP2	RAMP2	KCNJ10	ADGRV1	CD99L2	SLC1A5	CXADR	RACK1	SMAP1	PTPRA	TNFRSF10B	ERBB4	NT5E	PLXNA4	ATRN	PLXNA2	ACKR3	NOTCH3	CALCRL	LINGO1	TNFRSF19	PRTG	IL17RC	EPHA4	MGRN1	SEMA4C	GRIN2B	TRAF2	PLXNB2	TSPAN17	CAP1	S1PR2	DAG1	TNFRSF21	APLP1	SLC16A1	NCSTN	EPHB3	TMEM67	HMMR	NRP2	LIFR	IGF2R	PTPRJ	EPHB2	PILRB	ADGRE5	RXRA	ASGR1	JMJD6	CD63	AMFR	STX4	RPSA	TSPAN14	CDH10	LRP10	SIRPA	PTPRZ1	LAMP1	PLAUR	HLA.DPB1	GPC2	SDC4	CD68	NCL	CD74	GPNMB	CD163	CLEC2D
ITGB8	1	0.842204984112491	0.867166453938629	0.636917224112428	0.796017432810582	0.706206219696296	0.928352015755286	0.662427264636566	0.890308934025331	0.931520908361541	0.920926106994183	0.85743036025973	0.658673026330341	0.903914024757687	0.712255665160336	0.904967714997559	0.722888931950355	0.673740042459165	0.831117387193959	0.804988770477075	0.923256901462572	0.864809656885435	0.863440869615105	0.874375439513387	0.920242071454807	0.659897022164014	0.892307035835645	0.88413323417079	0.838266989124929	0.863152403190855	0.869259642242891	0.730920256043767	0.901301846297323	0.656122597540636	0.802743812906056	0.734623151163831	0.851556647965676	0.687877312836693	0.799587389710444	0.812541164880466	0.948834709841776	0.698071306092063	0.623759727777838	0.666927877770833	0.855632051642267	0.673981897651613	0.860787369896225	0.688355606042352	0.81146228976268	0.680715350487978	0.655342695365386	0.852091643064287	0.863225655282219	0.76290674791987	0.636057167516482	0.82493709186147	0.585000753769463	0.937711518092426	0.924734068460443	0.878705299824953	0.754623952102734	0.855718776320755	0.802891292791465	0.790207187409263	0.876702913929947	0.736049750975149	0.834282890905251	0.763861015901738	0.520958778257715	0.852468917803608	0.90819374136397	0.910686874977732	0.745534676981354	0.623550679618935	0.593894156468673	0.832601019589047	0.919637615504593	0.575220474824731	0.779907911960775	0.842698504126463	0.880997301799689	0.55718472382894	0.680436325422618	0.689588557725955	0.829305950885366	0.921957123685957	0.809973098007718	0.726655476915993	0.777358255870415	0.728934618826585	0.950695042863772	0.664905540443158	0.548020666599692	0.838485504745638	0.643151064478072	0.503787601133275	0.876054901963041	0.727727913994049	0.852618368060987	0.833930724377618	0.905832932188553	0.746737864928567	0.688092581562732	0.613137976072574	0.862128510386556	0.839071270192006	0.845702328042552	0.647597993364421	0.930261364390755	0.831404167169861	0.774726759436202	0.793881316656941	0.875977615100986	0.446571011502156	0.914703976963477	0.412594756460177	0.73964063205466	0.798685831796178	0.883327718225879	0.91988501114961	0.707849092708877	0.881449731139153	0.903613161676461	0.808933995686471	0.672800830932618	0.760596871584182	0.796375499601663	0.840768225826949	0.877323433549037	0.705183812428242	0.801557850344295	0.52666662265316	0.82355321500156	0.718957724341611	0.897657859720383	0.902317354746794	0.621725601836221	0.298032621085661	0.486755705265232	0.743932772137724	0.322654906784355	0.830340764900424	0.340714611609025	0.401726554105165	0.136110196754898	0.580770355646801
EGFR	0.842204984112491	1	0.827588276723184	0.818742727174992	0.914301360233279	0.855688051663264	0.914427109566875	0.792990021105946	0.753336980175001	0.753189605126322	0.761179809318011	0.84233672069894	0.830811663943712	0.932154801651585	0.858009996726344	0.687511327094706	0.564936332095387	0.898253260598247	0.741758390305604	0.729935239023725	0.864740478219743	0.831574767508667	0.847738507816492	0.936326931356331	0.926569881935907	0.84969698691831	0.833508024487584	0.841952316172904	0.628305394134149	0.712533333632263	0.842674269602392	0.804696860088288	0.857866794988426	0.392436519625705	0.826772107417376	0.852660425048101	0.640581982710637	0.385993968376421	0.819898005334566	0.62488753772644	0.786070713073423	0.915897082818511	0.339713257073773	0.78778214615438	0.949560766806516	0.456084261834164	0.83920200521468	0.86122482324489	0.602390614495594	0.803285670148404	0.816634681236276	0.705169505297882	0.941663878257678	0.903028239295219	0.744726392059628	0.934006989058341	0.824613719281938	0.855120557651486	0.829961557909334	0.696717175662893	0.645438010474237	0.815519797497787	0.886900822181237	0.692702170250154	0.866878735447369	0.406296023595373	0.627436026095306	0.898365112058341	0.746044339433903	0.69647410575742	0.79807381179665	0.771224988776816	0.840531205201621	0.859999985121711	0.465995793145999	0.658513085279496	0.816901402122008	0.815181629772462	0.862787462998205	0.804917231396774	0.840536294898433	0.735991007975735	0.886510659282476	0.82767844013442	0.944161245056382	0.948473762618565	0.867115500899892	0.742301802010676	0.889147508685005	0.440051481664289	0.852521986353011	0.795650725843721	0.817451696088046	0.847538087314143	0.654080309024083	0.792053835521763	0.76871302278611	0.81518764188415	0.717657723588452	0.629807602979857	0.90380095910647	0.895305216664964	0.727120227516164	0.825112884161842	0.743227776058678	0.886604295101417	0.821021332936213	0.830083333802923	0.860863246156862	0.810410707658965	0.625307999472291	0.901375025405894	0.822966387325352	0.733823005043151	0.82695142464348	0.614846480964294	0.444444250578449	0.618265923827555	0.784090535663743	0.827388041756694	0.893262122461601	0.884582162245932	0.8356891277675	0.897071845049472	0.782302489159444	0.891387099760277	0.764035483098366	0.85654431543685	0.827160203890861	0.861522887021023	0.902148092205054	0.66971433807818	0.655987992052324	0.54735394091865	0.925420366485671	0.812379857539547	0.655201461936802	0.343635956812214	0.71316446752522	0.516227718850194	0.245593713191114	0.945811853502929	0.366664735553577	0.302013801098683	0.0876950768361083	0.758418884731972
GPR37L1	0.867166453938629	0.827588276723184	1	0.673940124664395	0.840276382670022	0.580599277998233	0.888227376567535	0.588131417259064	0.867517674955711	0.819512930596776	0.914022680271259	0.942613674939467	0.768858537609721	0.93257852655448	0.842533875975552	0.815604124720744	0.830496237006635	0.640114014215257	0.937174153172588	0.955682775034221	0.923277164342956	0.868154046490063	0.740251004686433	0.88671031513718	0.856880959243093	0.664927973592207	0.952540770870836	0.691571426130748	0.82524911812098	0.873517770492465	0.901082511304323	0.637156008444371	0.917679665979125	0.675830367895843	0.945203309717374	0.647325053733771	0.813072685503844	0.710673621357566	0.784739591154535	0.898382625281223	0.881581885615748	0.741107802565787	0.714432705792155	0.560300685934003	0.800507462011905	0.762841892190347	0.925790735490421	0.826603639700344	0.873054022861948	0.743216287049096	0.574759151669076	0.860174867624067	0.86240793546601	0.723704299941673	0.466851136084928	0.824193945020617	0.508161048003354	0.924834745399657	0.931377637460819	0.923298870222513	0.878982724475165	0.796639341137536	0.709722428313825	0.92506182802854	0.794258736920358	0.718865027015389	0.843868083932354	0.815821629228832	0.408896009993402	0.818241785772224	0.933027252430775	0.902862674527974	0.724925688551926	0.721004432211172	0.695164946860993	0.918044882762232	0.922400326108386	0.690288926679421	0.782404447082405	0.741149529868635	0.910372309557044	0.609259607989491	0.69527363134727	0.822054293697081	0.858216604535566	0.908477867215831	0.860017229908786	0.561681345413621	0.841648845273762	0.686355672387598	0.88547727473681	0.586639390756004	0.631943809429182	0.901766321689176	0.528645724277172	0.521709305962604	0.89089962727066	0.589764341839297	0.918394132219416	0.795067876150967	0.800073772228006	0.701559924461557	0.563283995616314	0.693929885360376	0.90397395864846	0.874714508818755	0.917910279424349	0.632997118196552	0.955031549996315	0.883048516678623	0.869013376733711	0.776842304345249	0.944993983034502	0.464559453015014	0.777199895267738	0.416693503565307	0.723207145378972	0.823473575429379	0.844524686715579	0.90657122333821	0.698588060779323	0.847639945859518	0.937004015417006	0.810716646383579	0.689508206081297	0.806360451810919	0.907533357539771	0.899370134389563	0.931004679058662	0.839416910607436	0.798720931590713	0.412288704186539	0.91378482430958	0.832508463679894	0.78381669635422	0.951257565009079	0.636521693949748	0.310452686595251	0.415380319903242	0.793855929472202	0.292456009904107	0.793997982480618	0.350518648670841	0.338058536165573	0.0845655318136848	0.455452279293719
THY1	0.636917224112428	0.818742727174992	0.673940124664395	1	0.780848732527885	0.833090981439562	0.724317142576962	0.71599025578889	0.561394958845959	0.663921768723224	0.516113295315684	0.566623037283659	0.802807015893291	0.777077615213874	0.868785045543392	0.405393192674165	0.485658362191528	0.871585127588661	0.50396449132928	0.577091989835105	0.675723253846975	0.625269764364726	0.702455576234673	0.833488652128002	0.734235956237563	0.944403073163732	0.591801923181879	0.688929293658978	0.415756994499583	0.443533270462893	0.684575856555278	0.752342936414885	0.718559735572644	0.403030529004656	0.767397610696114	0.825002294756522	0.554251277222105	0.316425652414569	0.741295334205793	0.419354290638874	0.592463934142822	0.865712783907177	0.203351717559824	0.824780938667787	0.805044379350385	0.219816191099759	0.700808554645581	0.855925317994218	0.399675964327011	0.793444207835958	0.76465310733523	0.557207991089483	0.78034180314609	0.863502971527378	0.686984941697114	0.792532677388478	0.835734872175696	0.646920408185498	0.647382430831491	0.465530841909255	0.495081347804516	0.745890872409876	0.78588478479702	0.551917927121187	0.629033762854454	0.21360793734348	0.386633543346752	0.86446959964471	0.822055225378709	0.534679268061906	0.674810574824355	0.646911563245221	0.633067260861788	0.78802729996278	0.135977833410996	0.491038357875966	0.654828934800408	0.856381537174863	0.759733623852927	0.540057654838964	0.676102044117979	0.728028503688152	0.89439574902817	0.825382551846827	0.868123784357868	0.750645686438587	0.823180802138427	0.639423996062167	0.817089704987907	0.257023199903615	0.63926089182042	0.794959845830659	0.694121581721786	0.593301070020274	0.762983961285697	0.876693571664339	0.50906429150553	0.716812142399457	0.532550863842457	0.515176204864227	0.751603499519824	0.814676497640664	0.54079663379098	0.843504869386928	0.577383740818284	0.835430897234431	0.754018247267991	0.867710146918329	0.655258516560072	0.706476889736144	0.562843447916692	0.747571810765725	0.65584639037896	0.798120390844486	0.561106770507143	0.557223156036338	0.33122245486802	0.34590756731265	0.568055070708837	0.596318022057657	0.810827897988366	0.724852821211925	0.728080512219924	0.764474407474219	0.803695788190902	0.828960767154433	0.632863395897945	0.723187265093589	0.735962648544863	0.872916537660853	0.779598494513134	0.756166628251445	0.484677331588147	0.315199484250619	0.765571796080746	0.652322204927398	0.608136242913426	0.305163934392828	0.82880517445095	0.384733795175895	0.174733779699449	0.875610268900781	0.303377351739616	0.149608105666208	-0.0160002949541786	0.690196910958122
LRP5	0.796017432810582	0.914301360233279	0.840276382670022	0.780848732527885	1	0.790290186079739	0.884863705507295	0.714960709127736	0.74472567041639	0.702458922493758	0.760011915864228	0.853079179152363	0.832920950469171	0.910103282483514	0.873753017769993	0.658180038039285	0.606584969035748	0.86177772879188	0.776667510647388	0.763866828679413	0.847783442929556	0.835674536653063	0.775032184102221	0.906088351680966	0.875440963270624	0.793742877106402	0.826685026995713	0.769996497471199	0.61606422276802	0.730608066563573	0.827326372058917	0.770088354566211	0.839813782487769	0.421378919942822	0.831505566155952	0.787928785778628	0.62202023861975	0.394934447442374	0.827980392771907	0.650194525643156	0.756435253810959	0.893168283676976	0.366626684514957	0.728862219930831	0.91614227596941	0.487745578464084	0.834270611531621	0.869959648192065	0.61453718731904	0.818114887556537	0.77689614109669	0.684549487794129	0.920294366453634	0.84699252062152	0.692491090127626	0.919182690682428	0.771374452022574	0.823407584600371	0.822881466785527	0.714723848156812	0.66768736671039	0.775342973709217	0.854455595343011	0.700038412110208	0.85088351175243	0.417517083051312	0.639165647959798	0.87386198327217	0.669223168905757	0.685390865064191	0.7862451479458	0.740502708559676	0.815338496007562	0.851894467524917	0.490809606244502	0.679395209455736	0.805082346870049	0.798824022456914	0.836746133561412	0.759912438871853	0.848741829331785	0.749273068222175	0.869955672485754	0.83855446572201	0.910064657988942	0.910680066405222	0.860414117980277	0.639830990733316	0.883057074073033	0.455221028844308	0.813610907988463	0.765566676053881	0.810421824941602	0.856268493684976	0.593850841091248	0.765969744850353	0.792465130108075	0.756417438830621	0.725847392854892	0.592726194262397	0.850140675141471	0.857417230039142	0.681556041496408	0.811437797938893	0.749669626615632	0.862558255083112	0.827385243597326	0.804449337883289	0.855551806633939	0.792965562690096	0.642271260907034	0.877837626570884	0.826694197154087	0.718023214254576	0.775584232430972	0.57329733317636	0.44444658749097	0.626382245210839	0.768558326166049	0.810437232316991	0.87354014378883	0.849829348059844	0.817288408225387	0.881295364046251	0.753591724765395	0.864355453143608	0.792327734034961	0.867072629578663	0.81115192311552	0.871170517841904	0.891281691176142	0.572612021653	0.678640549496708	0.582141120882335	0.857859420433167	0.811957212131635	0.677924021096394	0.3289217211931	0.670098459214088	0.52974016327286	0.240390299765251	0.90816850211244	0.349697594213863	0.281424015746332	0.091372805432971	0.706470039820282
LRP6	0.706206219696296	0.855688051663264	0.580599277998233	0.833090981439562	0.790290186079739	1	0.772179904933169	0.830815761072691	0.581666708822976	0.668249535218122	0.514245244455372	0.596993464178063	0.669051165261409	0.783261769879596	0.694350624211603	0.48217150394724	0.295976444277534	0.934019651842059	0.466449124780237	0.441616820284291	0.67183725272338	0.634108325726232	0.83592708139998	0.803991852359113	0.824094829136453	0.888511036440823	0.580941615838667	0.847508816929968	0.431878618644573	0.469695805888825	0.611173902652034	0.859514105568074	0.670940702851993	0.212295184259895	0.604308611610447	0.895746858750149	0.443621833582822	0.171316113727061	0.729183857576401	0.322000076507166	0.620916747310635	0.852193075663825	0.079231630518575	0.931160281945073	0.871982018440467	0.194179130696431	0.60790491562008	0.695655578089036	0.325297297333204	0.677454404738835	0.851085926043948	0.530653011711439	0.838459655136206	0.898481517314464	0.849680576719297	0.82799365990185	0.936410981217518	0.651515225136081	0.621444451374697	0.434120497671604	0.427809918533623	0.729284311175656	0.902906771143715	0.387183111275826	0.730036354043771	0.1303913605057	0.353391786743009	0.827457706995203	0.923700906715519	0.473991278174219	0.593625183746607	0.595035144975018	0.69363661548461	0.743277555600297	0.200868214210216	0.371547597929338	0.601714709424526	0.682549637147473	0.842821299581049	0.742196231168707	0.670746866732847	0.652948934754304	0.860443557799017	0.648870770731119	0.820045178044559	0.77856329017259	0.710523824452319	0.828699739822233	0.764996194899281	0.248936435685258	0.723485795324982	0.870801103962894	0.689778650904911	0.596926250425188	0.765106701636121	0.866512077718469	0.525014259265825	0.865394352975861	0.452857449109145	0.421748279969095	0.834092612114258	0.854401244891372	0.694621514995839	0.699409405902244	0.512067143918037	0.757930208606642	0.61885406732111	0.8841577485219	0.637651988020118	0.691564525346394	0.397659719373586	0.785943677516721	0.594822778215118	0.806504822046913	0.728375896320034	0.547842092881997	0.229065308687634	0.386253638890455	0.632970330540482	0.641215110514288	0.830512420438439	0.757455270019694	0.631132957939805	0.783832348963902	0.760885320468619	0.751242172833396	0.488739101299459	0.647240745141481	0.625074216597474	0.700293081813551	0.799047624892216	0.809246597457893	0.386834733536118	0.264683229913625	0.900714307021379	0.568546884611074	0.563062286491159	0.291906937450677	0.886399172834599	0.258183338328087	0.189745307486603	0.877712960853256	0.316001973492789	0.222974372108267	0.0910028826299492	0.852315306789224
SORT1	0.928352015755286	0.914427109566875	0.888227376567535	0.724317142576962	0.884863705507295	0.772179904933169	1	0.738186003782569	0.880973473046437	0.889251411551906	0.885199340790884	0.893532200988209	0.755062267472775	0.947674118426981	0.806703582400953	0.807029618105851	0.704952438001508	0.790556529416297	0.819919818298708	0.839317857030266	0.945942806334607	0.853560517309	0.883501036031508	0.913464063748818	0.929813612344116	0.761993806286683	0.897396725630389	0.854366277405887	0.819182806970485	0.820498183704228	0.924261027903376	0.790259669712694	0.934147191477194	0.590731567001842	0.860310058953496	0.807806544598828	0.812688251583801	0.625230497433729	0.841089879923637	0.782339322996462	0.923150256351128	0.79889954566739	0.591081342927604	0.712020472473445	0.904565438952301	0.682273512850004	0.922258316753607	0.806271809539606	0.800282588583183	0.801976755928334	0.787012394884947	0.871969586102089	0.944472948578049	0.858765047245194	0.63615614733161	0.914014684362967	0.664128120052229	0.949863638917541	0.941219441594277	0.849397576029771	0.805229453049033	0.8916528338053	0.845514610082685	0.788324912341402	0.901742528356531	0.645747062632733	0.793947942119325	0.844351036708595	0.597389884089614	0.856726278996662	0.901258985627239	0.905560328833874	0.749638456023184	0.75620837270959	0.606488452222982	0.811113109780606	0.93578849862084	0.667335156018345	0.87629428998359	0.816815750719601	0.947885395797045	0.630566100309633	0.752719420964346	0.774451247287978	0.912045012991666	0.96887883415086	0.869745734934326	0.750258280540131	0.799468640545658	0.688633677542006	0.942738058713744	0.743988304346428	0.677945686109885	0.902099911934406	0.676439256687085	0.616605627626494	0.86917970013819	0.748071062933069	0.860799177113976	0.781279972290813	0.917940201410749	0.828982134280192	0.631855416433842	0.766492607189418	0.896255136785434	0.881391622596932	0.896886295959154	0.71413133484365	0.953379731110789	0.836195275562394	0.79754602607788	0.856712686940145	0.916074819839317	0.580554193085221	0.887982561996402	0.616363774609601	0.681966332024186	0.797584719975625	0.889783062034067	0.899777911191878	0.849125285102412	0.952555677617753	0.903232867752666	0.894963012067951	0.709258834102221	0.834079203057842	0.812221380492341	0.912418764866641	0.879941163176444	0.802145620244516	0.856295381262332	0.575186286926667	0.820729677470354	0.735539805301909	0.906592333733899	0.920152295061676	0.665368948179108	0.337807433624446	0.567766397606373	0.725403640302329	0.328322943107223	0.906692259431949	0.396290286725096	0.403273871652322	0.163511372402806	0.661864073746195
LRP4	0.662427264636566	0.792990021105946	0.588131417259064	0.71599025578889	0.714960709127736	0.830815761072691	0.738186003782569	1	0.604409620793222	0.650069862113513	0.496254515953366	0.628074790699874	0.574460834122005	0.761741393873863	0.592533672787742	0.479130572342841	0.242090436884059	0.833079735623521	0.440252259364056	0.46290758162897	0.650192552721864	0.556906803699519	0.81513776893102	0.750537627914308	0.781680000080928	0.838066355746393	0.588628906713776	0.739458215714585	0.521440961189795	0.48627790105736	0.560128682475102	0.861284172963634	0.643692512991643	0.185311594614947	0.577115666168434	0.833084834896475	0.415542915377103	0.196359454376072	0.633723601625715	0.355220890701552	0.597908620217468	0.745686749393577	0.171236384674814	0.85448022633539	0.78439914481665	0.298802405665804	0.584073654334811	0.599598662512802	0.381737358427739	0.556539563526908	0.796873647669067	0.570456789160812	0.822824349962032	0.856002703043446	0.712173823622764	0.730749999764214	0.760914875175438	0.630767472488871	0.615956636565588	0.458603475265591	0.492566748173642	0.642547805908422	0.787774487546852	0.375792745507075	0.627923479312145	0.19387382406516	0.387351208961699	0.820067276694792	0.803710846553155	0.502948205973595	0.561926485038566	0.597515331848662	0.552633802685345	0.626176272004067	0.335258240608946	0.372897257841236	0.566377441636237	0.609672583533598	0.832736371528979	0.684890731867767	0.662090722580023	0.545735859387747	0.698919630751013	0.545673534620535	0.736562638943709	0.748998515419197	0.625578306987476	0.807312710667843	0.652818093015197	0.361195500252883	0.701262444038664	0.819556071961829	0.58922049178493	0.573976856553925	0.762297969703201	0.779171491195872	0.539267677765254	0.753195260525426	0.515004775004619	0.404863781062514	0.76945926297016	0.761216897477437	0.563402999507326	0.589421748101054	0.504185081056256	0.695552590977504	0.563902507681664	0.743228783007267	0.631248899752596	0.673238990636119	0.408134420167675	0.671457248454902	0.586733109193445	0.650732671239293	0.633289992936358	0.387794532389981	0.26374410672406	0.498556263535645	0.652942532802446	0.643498584050978	0.755508836929984	0.705196354866712	0.58969342037564	0.761178158000926	0.656469759434814	0.645706755529038	0.426877696987521	0.612597666299627	0.577441559662914	0.600949546316984	0.722519120228889	0.81227329446453	0.418746291166729	0.369226009775654	0.833569005003244	0.539081042645097	0.471776393723471	0.295912053031528	0.760009024768394	0.265505925363962	0.192535826603885	0.757706183093204	0.34107967999329	0.252542954838187	0.0769270273977263	0.68594796579095
VLDLR	0.890308934025331	0.753336980175001	0.867517674955711	0.561394958845959	0.74472567041639	0.581666708822976	0.880973473046437	0.604409620793222	1	0.868934307862044	0.910863685260779	0.857352133786824	0.68352478693528	0.875761656085335	0.683148052418058	0.867954341513476	0.741383910254447	0.59328135974335	0.83246539417551	0.858953794107524	0.933367193672155	0.84101562865328	0.816850016645793	0.804497611232275	0.855290841870441	0.587689053997843	0.871842651185994	0.765440804378506	0.87814122482777	0.892454512313852	0.841269198582576	0.684524967571796	0.885400611604227	0.705413371376512	0.812954571387682	0.664007686999681	0.8316691137525	0.715233863804252	0.804070549387146	0.848054549644045	0.919032963277457	0.609829653726406	0.709393834240881	0.56823769718851	0.778234677138885	0.765764797323039	0.853759747909321	0.666661064688587	0.853436079067638	0.635593520664427	0.57732996748042	0.88013191974377	0.829294020310276	0.708423811338334	0.533183874322301	0.768955487907409	0.451360815925305	0.902955956039368	0.88893032175598	0.896066445266896	0.813895249372905	0.787001172349191	0.685894527018617	0.788790556087868	0.805461489511172	0.765070313887187	0.867628035139702	0.744228101997554	0.386777320145111	0.826604007683008	0.907694970343276	0.892985080408349	0.62196565904426	0.593576643124145	0.689212364770802	0.865055837020322	0.904037700662054	0.52318150906295	0.756149166487334	0.739732921270662	0.884977482187871	0.581966462879762	0.581780089480236	0.696682642459543	0.77615548094922	0.860847367749183	0.771305579455868	0.620700100924082	0.689534832050864	0.772274172148775	0.90643156574311	0.637545052782528	0.500159246086462	0.853590554967313	0.597897308208012	0.438078075825439	0.879795409241024	0.607663197500318	0.876104168251059	0.817586297444739	0.818841933159243	0.690936055961425	0.548734595271574	0.556736816895985	0.882227463744654	0.813416630286715	0.854509925487738	0.572621730794514	0.911863746306372	0.821840544098239	0.81799953635194	0.766062696826691	0.892705334663296	0.379763100762458	0.826526536603872	0.35609045752214	0.75333705308875	0.84033264152295	0.891040944290388	0.87603509454097	0.651196397839164	0.84880382903803	0.872693948195579	0.830861374698014	0.606406681527119	0.727626924917565	0.78368613007679	0.845618320601251	0.862675432803462	0.690253772315424	0.727810106040154	0.430873420853226	0.877055794926898	0.794072164329454	0.777963320102766	0.894580427914813	0.612619349074825	0.319846399991222	0.3813357038722	0.795240289261904	0.33160708148346	0.744639636434324	0.377738311379143	0.415611465460547	0.144126872213245	0.453703299072262
NRCAM	0.931520908361541	0.753189605126322	0.819512930596776	0.663921768723224	0.702458922493758	0.668249535218122	0.889251411551906	0.650069862113513	0.868934307862044	1	0.844935076860219	0.742386813329732	0.574683130646226	0.846035956503944	0.663471956773091	0.802981443947133	0.727335261224492	0.604513054802665	0.729996888086259	0.788352944244433	0.884498183731269	0.732662347320601	0.831412294789123	0.793724371511837	0.838347098900387	0.692716107572664	0.807539225991642	0.834087350666548	0.890945283395134	0.757294728538515	0.828302984861914	0.729730724779573	0.882319579106051	0.758580492039519	0.786199143107858	0.71497747446972	0.904960804303497	0.801765410309923	0.770068365795656	0.798763707999118	0.951919456783235	0.59118118814249	0.733431122886508	0.66073053150082	0.765250568516129	0.717626245541704	0.836406864888473	0.636164525622189	0.842957405134425	0.659550854621192	0.618918193708602	0.924774948819949	0.794329554814429	0.743817433513733	0.522379740207773	0.743794730100161	0.502575127174023	0.907825888604512	0.912807865152305	0.838729101007647	0.810033903248914	0.864725065908868	0.73673463789957	0.764404352045011	0.744639880449147	0.772268667652068	0.798946948070261	0.739909251128339	0.503755751728314	0.873522960216335	0.908586311081526	0.958439830454272	0.553507908807214	0.533354869912952	0.549406596081478	0.823329055579642	0.907664497771153	0.497351103369061	0.774110614292117	0.728774222109484	0.865473997380487	0.451427002256315	0.585274505935604	0.638163830772165	0.776426392964175	0.846618386477326	0.793805473002854	0.737159569111673	0.668718183400555	0.81888169463489	0.912191075929628	0.640966444503213	0.399505003330356	0.733879557538683	0.773062980227945	0.449022851002888	0.780093352615011	0.633531392007023	0.848093261953811	0.869227612776779	0.862003409053167	0.668918379293336	0.487281314259078	0.586523380530558	0.878459990242732	0.807840576334337	0.851245256229029	0.581104181517982	0.881704875589922	0.805181089733172	0.855203043666277	0.682355689060652	0.848205339040057	0.371577544126943	0.82795565464271	0.42318653626724	0.836439375181625	0.800721467373203	0.869207132998364	0.84225372039985	0.631511667077178	0.875502647575519	0.879286829656604	0.767591289094042	0.638004329993274	0.697423604340506	0.716853544675634	0.804180602525202	0.854198899354498	0.656451089344574	0.692484405145261	0.564476738310237	0.844952402338178	0.730341752182452	0.828595196005392	0.879146695402545	0.58984447373288	0.288158577540097	0.470680507517987	0.808296816514469	0.336506303511216	0.768577217971822	0.346838684654659	0.408613768414908	0.151571632948538	0.532294611263604
