""	ITGA4	CD2	CD44	ITGB1	GPR171	NCL	RPSA	ITGA1	CXCR4	NOTCH1	CRTAM	CLEC2D	CD69	DIP2A	PTGDR	SLC16A7	PTGER2	PTPRA	RACK1	LRP10	CD47	CD3D	CD96	CD3G	PTPRJ	PTPRC	PDCD1	CD8A	CD8B	ACTR2	JAML	TIGIT	S1PR4	TNFRSF1B	CD6	CXCR3	CCR5	TFRC	ADRB2	CD46	CD74	KLRD1	CD247	SIRPG	CSF3R	LAG3	VSIR	JMJD6	SORL1	STX4	CD63	ADCY7	TSPAN5	F2R	TNFRSF14	LAMP1	CXCR6	APLP2	CD81	PTGER4	RHBDF2	IFITM1	TSPAN14	HAVCR2	TNFRSF1A	ITGAX	C1QBP	TMIGD3	CANX
ITGA4	1	0.956011516311179	0.915727625601369	0.954662641605071	0.742223136823466	0.901075173351206	0.921366997837261	0.937637907280467	0.904059123931733	0.388336136510446	0.942758595670092	0.906049627733669	0.942912412457553	-0.562949529429114	0.862373702807413	0.81968334736775	0.855482728448165	0.628815498738541	0.90972968151467	0.833347260818456	0.947171752585509	0.816918468679974	0.975170911446506	0.933297386127328	-0.0632794004495596	0.95104391937278	0.689480639846295	0.930097535481111	0.905221284772547	0.567706265835717	0.879878433993187	0.823991392491161	0.828568656568631	0.772914150863599	0.713012782537814	0.809742685519644	0.77719327081077	-0.470863531516699	-0.00147391394171705	0.765617536206688	-0.251258977978513	0.957004677009698	0.860157608436452	0.872882048079846	-0.708716215745667	0.960335846268547	-0.0823844170636179	0.422331771488706	-0.782661210227469	0.51835144308413	0.84256715659054	-0.106049441357808	0.96041034639488	0.932950037889513	0.941327420577638	0.505046332999525	0.892733223572798	-0.0729878071372221	0.48038990805507	0.931104362487021	-0.731103803956579	0.952894466932126	-0.18969565687888	-0.209224809453427	0.874288997539504	-0.809885417742343	0.909168779432396	-0.541999349292385	-0.157500110210809
CD2	0.956011516311179	1	0.941521524672375	0.900731779480625	0.863628471210052	0.83810787427557	0.980349712037167	0.961112867493407	0.978373356629717	0.401642600212177	0.974332142550658	0.832096197632942	0.985508722461783	-0.684393898686108	0.944666510110409	0.904073852293429	0.871721973727811	0.479540061571368	0.980757781826613	0.886862041159922	0.887686488665799	0.936807331830309	0.977835169492215	0.97661968371932	-0.0294634141406099	0.908372729153777	0.795283811403222	0.963002545158109	0.94976160616468	0.459587546261532	0.853071813059294	0.908285201907555	0.923850989335576	0.737950020210368	0.768861557717109	0.916908464629716	0.745960806302663	-0.427061581945535	-0.165918771381639	0.837400780171266	-0.283292879559295	0.902011763268954	0.945254086494775	0.95585429051741	-0.783537950843564	0.913603479464699	-0.0669659226973718	0.504544340249587	-0.833869624051908	0.440219686805212	0.894695321505364	-0.24080195023835	0.959177808776577	0.915770629798163	0.904574784443812	0.547934430125005	0.87487160896268	-0.147428705502892	0.58209233148721	0.900212100910018	-0.802422835875546	0.968467033407703	-0.325164007070675	-0.270130936401242	0.82300486886451	-0.88081350835914	0.935429070906557	-0.579312162715991	-0.244514870033995
CD44	0.915727625601369	0.941521524672375	1	0.827765784974485	0.86143225529294	0.779701037373643	0.948382899261808	0.879744571047161	0.918339163609922	0.367618503575505	0.932707475536806	0.738259827094145	0.916645489953976	-0.640310213696085	0.877331185258197	0.819539080928411	0.861120476991978	0.48992275316018	0.938940981724687	0.882151891920085	0.803031749493513	0.91153174239036	0.942352868011425	0.950157893047394	-0.0164943508019033	0.88357615356101	0.648867965244689	0.953436533484835	0.961995500986028	0.449681440287956	0.755361128847734	0.823690967065651	0.864514917538619	0.78467497847518	0.833756519024665	0.914694781123585	0.75668683520696	-0.299316172185116	-0.0958671341901416	0.883855474314433	-0.205963377544385	0.81057018984224	0.931475013252083	0.900158292522382	-0.722642997854666	0.876599020706318	0.0778602000279799	0.474827389686179	-0.777653439800473	0.389414965772741	0.851945583592669	-0.0737698592724192	0.922028434710907	0.876428256102135	0.917514241481389	0.602506485937992	0.712643626032151	-0.104457866642994	0.576990203204085	0.809438679970268	-0.734717466233031	0.950285348230447	-0.288434077356108	-0.24945122363922	0.863567139371066	-0.823194184229771	0.881246705769821	-0.519224204705726	-0.148059539197408
ITGB1	0.954662641605071	0.900731779480625	0.827765784974485	1	0.596355415081322	0.952502276033687	0.876389446716012	0.88449803514154	0.850874487440631	0.288072889946829	0.875332281379787	0.965288739372878	0.923591080475798	-0.420546614972625	0.772015005068473	0.716984885755054	0.895632672199169	0.678737505252929	0.866722530776402	0.807560233627299	0.976382151135979	0.753118451432146	0.905146167250489	0.902259097337998	-0.00168036075963006	0.924090817370046	0.633760069952758	0.906663931469431	0.862704828069139	0.703970385205397	0.943420954352706	0.779124730968567	0.720412995655673	0.764690826539591	0.513961595916012	0.756750702876305	0.627282814482642	-0.404125842648835	0.0689136650006457	0.716174399673541	-0.111844532750654	0.975393532224852	0.742350014044257	0.797416943871087	-0.564009422849344	0.928401459731003	0.0285284393928037	0.512091389070871	-0.62904882567948	0.603909729877454	0.870864278430294	-0.10499545931316	0.949128523900131	0.868413254311037	0.920850135127391	0.493113938284014	0.90149374890171	0.0946292270280588	0.539053386489614	0.985920219333501	-0.573258933715834	0.913042967272697	-0.00160206255039767	-0.000973439806593317	0.869617170109693	-0.664255462525344	0.928144633049597	-0.386220922067443	-0.0335190420872516
GPR171	0.742223136823466	0.863628471210052	0.86143225529294	0.596355415081322	1	0.563410983129653	0.890996747453334	0.75706462825102	0.915292746285412	0.357198598699092	0.860758582823429	0.479409804553232	0.831519727091713	-0.718980024862114	0.888755866596209	0.876269073595262	0.606369398703908	0.150209266469083	0.897066228133605	0.746067507918822	0.596795953127238	0.924746103963931	0.833787113855386	0.846838572626528	-0.102829936514806	0.670888420401582	0.665299711923051	0.802545621034613	0.856208119976123	0.111204950385907	0.530581865098692	0.826535584524417	0.939193893655194	0.624743178650955	0.852294823254963	0.88469836984762	0.614575082474545	-0.240871921957451	-0.335200315691303	0.816317589823307	-0.300564798007981	0.627188590377657	0.969149649646322	0.903386178759506	-0.783819642605027	0.676611935021597	-0.0235943788014405	0.424974349550417	-0.794334875411137	0.269113104228568	0.767091770185341	-0.335035123192441	0.727667552224886	0.712278135920832	0.740099686337143	0.472986515571519	0.626994852354492	-0.302991931386295	0.574583222435431	0.596800422480849	-0.792850507798339	0.843234834999775	-0.617416781430123	-0.396453801023998	0.674364574793526	-0.861119287833877	0.737681102973247	-0.569086901831546	-0.350576688019748
NCL	0.901075173351206	0.83810787427557	0.779701037373643	0.952502276033687	0.563410983129653	1	0.815782888349813	0.820660480883858	0.805513157684825	0.413604311533131	0.795706292630954	0.905721541351245	0.856237391671403	-0.311916823253311	0.722045909191271	0.67090384594084	0.802006419008485	0.789261705198945	0.809550607255362	0.798269728180684	0.952369688074382	0.676941204507345	0.861855682148242	0.822130499317808	0.143794581392178	0.915706727043183	0.579934601530968	0.816840777876969	0.78307945782556	0.787111051250522	0.840211812935143	0.772746345423552	0.655559284768844	0.788399535367788	0.477939099926478	0.700132379959973	0.582265096459029	-0.207272836408432	0.155311592936451	0.675988001437323	0.0686137844733075	0.925357341624641	0.696644848475028	0.754516513786308	-0.452887481619375	0.861736703696706	0.128960806404194	0.532594776278374	-0.516681717052999	0.685349209812544	0.868661331461193	-0.08200974466576	0.90494519154317	0.851274030379207	0.887185219072183	0.626961619082552	0.866923240536019	0.285487713111815	0.615618286430507	0.932291252705298	-0.447433209829093	0.842806940305939	0.0810691802496275	0.1291708390264	0.896021859443854	-0.56889410822807	0.892873548299038	-0.247833113248989	0.184227122986192
RPSA	0.921366997837261	0.980349712037167	0.948382899261808	0.876389446716012	0.890996747453334	0.815782888349813	1	0.903990401769612	0.986320721887626	0.290375168202478	0.973272767853091	0.793166674535622	0.985711503176516	-0.65668731702331	0.923403359696822	0.867815040193953	0.878361759105428	0.403428374023427	0.998006469945357	0.882230829658678	0.84969744803378	0.968503453222532	0.949081132303958	0.992418847426314	-0.0615366695055916	0.860158506010033	0.721397285290539	0.974590043908829	0.978008370458443	0.427971769317638	0.83655021879127	0.896926610703814	0.915752568856042	0.750630452263149	0.757507511136418	0.949240571621088	0.661037103459391	-0.357123372398005	-0.170590853869929	0.880076857660071	-0.232306701741672	0.868368075283868	0.947251203662841	0.96063092133556	-0.754884465844958	0.892091583771589	0.028068953078329	0.536075993673188	-0.794812606739625	0.462381181554239	0.920894836805188	-0.250595843506413	0.933931064209029	0.86382331311452	0.920115929438906	0.52166093141481	0.830037766582455	-0.144190416010598	0.650863527332453	0.870414821985777	-0.76369245889808	0.980718582923851	-0.35410860050085	-0.221041407017653	0.842450304598826	-0.849351137117355	0.935573243381996	-0.522289578950841	-0.243130639657234
ITGA1	0.937637907280467	0.961112867493407	0.879744571047161	0.88449803514154	0.75706462825102	0.820660480883858	0.903990401769612	1	0.907599433650439	0.503679947145843	0.929751398223401	0.844490949391766	0.934185879702146	-0.657455424019244	0.923465833400595	0.897588813935711	0.858993517589506	0.541272667065126	0.908105835634039	0.883594279786499	0.862746637128167	0.857083712874796	0.936644960560103	0.908506098395829	0.105585264039391	0.932162902830364	0.878579552767423	0.902189513190466	0.854242057161241	0.522893857247753	0.861967519312408	0.864567814770552	0.85749993796558	0.683261049534333	0.760475064658796	0.834333834290485	0.84118173956018	-0.483662388046253	-0.0432469207922165	0.789997382044918	-0.259161564908987	0.870982557162738	0.862074886703326	0.917964427604806	-0.728805926576699	0.917348002953376	-0.129642445406202	0.436251362357954	-0.814788519638841	0.432058852759999	0.828814244044367	-0.143237540249898	0.942461172665289	0.939005380059232	0.82554546875256	0.555010693621113	0.885098391276465	-0.110430695100755	0.514817987860512	0.888217083346562	-0.779810193433778	0.886025639363223	-0.235640720605912	-0.26507724301582	0.749514845885991	-0.840060260777177	0.890941405154782	-0.557665131153454	-0.189906290369958
CXCR4	0.904059123931733	0.978373356629717	0.918339163609922	0.850874487440631	0.915292746285412	0.805513157684825	0.986320721887626	0.907599433650439	1	0.36508297580326	0.959132619918542	0.756765544175391	0.978820158484688	-0.653372953003025	0.933404215578311	0.904411393824427	0.818318174397395	0.394660545251932	0.990162432487633	0.868785299146699	0.834047767808103	0.959788237046362	0.947497644861797	0.96814187125803	-0.024699827067105	0.850240433223023	0.761182088380195	0.939357177830235	0.944977831210375	0.416434677390113	0.80461873281809	0.896602606874011	0.953259393306166	0.760865592315379	0.756887315193279	0.925712416759138	0.666469053838083	-0.331452399198859	-0.188085963769143	0.873020507767339	-0.222304155143765	0.856148598972274	0.963158830753381	0.962034739729295	-0.744634970845145	0.853516954356882	0.018786321750652	0.560659646584908	-0.78114818586926	0.473975345857917	0.914644337520936	-0.292675013520186	0.907005488725395	0.847126350884358	0.89103091328151	0.527325511644019	0.838204384934211	-0.125730193545815	0.650063031368261	0.855177294366469	-0.760857970779651	0.959685497865581	-0.37592739502482	-0.217755372807267	0.81867813871711	-0.848615065524538	0.909128241033998	-0.522105613748748	-0.235374309868749
NOTCH1	0.388336136510446	0.401642600212177	0.367618503575505	0.288072889946829	0.357198598699092	0.413604311533131	0.290375168202478	0.503679947145843	0.36508297580326	1	0.321076063554929	0.255954134637574	0.299838550007795	-0.19207783466833	0.473536773423978	0.530220040302165	0.179875253913408	0.52189719416915	0.309099481732046	0.475998104870918	0.320509120452095	0.271879186446939	0.429182594376521	0.249248500228521	0.41943263447962	0.521946501251566	0.564096934141366	0.242550412189414	0.210273967824893	0.31963984547674	0.179373573202722	0.432416853692138	0.398693711403357	0.365165486804043	0.507251765999777	0.278610896882737	0.638074019010437	0.0692957964329654	0.108670015729424	0.305437774339885	0.0571729002503552	0.283872096876395	0.411727520314048	0.405604768138391	-0.261231823266733	0.316680764976706	-0.0458639802197792	0.0674785977265231	-0.302055471927208	0.225929590781665	0.334404196109372	0.0774668315240933	0.397309092982521	0.529068289564333	0.245011473574346	0.689779507389401	0.355162405159271	0.235870032410589	0.279616982934488	0.290072127263988	-0.292647798265877	0.253920877137189	-0.00419356579029501	-0.116817411806811	0.304699378218036	-0.398380001420816	0.29595352323183	-0.191790976733121	0.296195719960955
