""	PTPRZ1	EGFR	NRCAM	SDC3	GPC1	PTPRA	FGFR1	PTPRS	NOTCH1	DDR1	SLC16A1	NLGN3	NCL	LIFR	F3	ITGA7	ADCYAP1R1	SDC4	RAMP1	LRP6	PLXNB2	PTPRD	TNFRSF12A	APLP1	NLGN1	NRXN2	NOTCH2	TNFRSF21	NCSTN	AQP1	LRP1	NOTCH3	RPSA	LRP4	MCAM	CD63	BCAM	LINGO1	CD47	HMMR	PDE1C	LRP10	TNFRSF19	ITGA2	ITGA6	PTPRF	SMO	VLDLR	TSPAN5	TYRO3	PDGFRA	APLP2	ITGA3	FZD3	CNTN1	THY1	EPHB1	ROBO1	NLGN2	NRP2	LAMP1	DCBLD2	NCAM2	EPHB4	CHL1	DAG1	ROBO2	ROBO3	CDH2	PLXNA4	CD99L2	RAMP2	CAV1	PILRB	EPHA4	NRXN1	EPHB2	CD44	TRAF2	SORT1	MCFD2	ACKR3	FGFRL1	FAS	LGR4	PTK7	GP1BB	CD46	NEO1	NOTCH4	RXRA	FZD5	NT5E	ITGAV	LRRTM2	PLXNA3	RTN4RL2	RGMB	RACK1	PLXNA1	BMPR2	CD81	NPTXR	CNR1	PVR	EDNRB	LRRN3	LRP8	AMFR	DPP4	ITGB1	TMEM67	ATP5F1B	F2R	IL17RC	NRP1	SMAP1	ACVR1B	BMPR1A	ANTXR1	CALCRL	DIP2A	S1PR3	GPR37L1	ACTR2	CADM1	NECTIN2	IGF1R	SIRPA	LRP5	TSPAN17	ABCA1	ERAP1	STX4	TRADD	CANX	SORL1	SCARB1	CD82	JMJD6	CD9	TFRC	TNFRSF1A	ITGB8	IGF2R	TSPAN14	CD74	LPP	C1QBP
PTPRZ1	1	0.777570341994569	0.868461184401774	0.880602462743049	0.660132122935006	0.941010641226766	0.506344806358219	0.738340554872405	0.840023237113185	0.807901731002259	0.664448263405398	0.862045927423877	0.695521115068021	0.791428354258142	0.738526831820934	0.6193036597044	0.674346058861959	0.261795078019398	0.729740226245438	0.911554300745785	0.725345501224839	0.638086878839963	0.241659671442797	0.640424371810251	0.905664013415133	0.884937908509013	0.872259940376846	0.846695440637829	0.76002738987766	0.404491146559711	0.945140819136557	0.781548879140196	0.477844292202309	0.829722929970879	0.72621783917653	0.468485192045255	0.760474721860642	0.531982922468113	0.757253952824657	0.348908272985301	0.780847402562419	0.741553775604965	0.780301877390306	0.909554375770154	0.870543518477302	0.651089824480475	0.744961235295784	0.670101294713123	0.60620747088738	0.870290778947592	0.741503005041775	0.822325309286142	0.611254940531753	0.914240159566031	0.405613166651228	0.611746348153706	0.867952081543618	0.848643770143904	0.782833162592333	0.749547041534951	0.789446424116546	0.716611225582092	0.897121861889705	0.643729588532882	0.913623538802593	0.85556234533403	0.926855338586606	0.633152791483965	0.821946489893294	0.665997216778325	0.840748007710603	0.564802673632422	0.112479068659456	0.538157904401548	0.745068615836224	0.894824952926924	0.640032621305679	0.434958542562285	0.468233918740097	0.859869244650956	0.771542111086967	0.753811103783324	0.583026401420973	0.336287968012728	0.736257944207722	0.774096620837519	0.736405617518156	0.803199067652107	0.814331119941719	0.650369288250258	0.726887527560337	0.836565825128062	0.754805227941196	0.894689055180833	0.961896233132184	0.621819826520454	0.452426620642402	0.748160843981707	0.359128451495308	0.73149681457378	0.900344225911469	0.69156121535094	0.900004190216921	0.891755944331457	0.725614423582188	0.814999615210845	0.916572244574456	0.577725512748784	0.771678224171616	0.666611194624062	0.674971787203219	0.850092461032179	0.453921204342765	0.871624520654484	0.780733068624289	0.237912982153329	0.802780980624054	0.777300542481446	0.877920326515415	0.866899813813671	0.862557707089906	0.827000405105353	0.414019481546997	0.824889282039148	0.780997208000332	0.847938217736558	0.645068288956026	0.675852694714505	0.81146905829922	0.763257409823164	0.70047762252536	0.630618694436636	0.853721214748232	0.689264070856197	0.563778515211071	0.837985122380838	0.790147211498189	0.552453718518127	0.328476725441359	0.322871800316782	0.446836139829662	0.796459144143479	0.62883834798057	0.910820046725889	0.79444348128083	0.703787967251611	0.520320349205507	0.823416211271875	0.47050243078394
EGFR	0.777570341994569	1	0.747074900858621	0.721555677229545	0.798393001986633	0.870031690997638	0.732355557846276	0.852946241643294	0.887517615174145	0.643752250315496	0.836538744617412	0.802370507438566	0.885417255596114	0.513240707812597	0.450598313730423	0.887995867263614	0.42671915555317	0.495766653303028	0.730600633638713	0.84350163187168	0.854292520216065	0.654898964939797	0.613808170731654	0.740024010958026	0.900147531735763	0.718486938493512	0.820109206883611	0.726398712145025	0.851271810276003	0.238685527377431	0.853792935325933	0.695669347217777	0.782273420477992	0.781786225836985	0.748196961762066	0.802266460947726	0.748824824152471	0.725036951108788	0.849446242774055	0.640988206038958	0.758231666273421	0.691520556444398	0.883287816256386	0.861659195945784	0.669198877592195	0.542571416068534	0.813161005258262	0.661094655715855	0.843212872175553	0.768743047892105	0.61688545213889	0.920112660572498	0.729249037496497	0.895996117158615	0.499459214577578	0.844676605899968	0.687374161106172	0.878737494578242	0.77689241564584	0.783382251114816	0.834026579421118	0.813297525780764	0.654953905831782	0.819252309012669	0.723588673123953	0.886188500298825	0.831610254054021	0.697257863717888	0.91761602346405	0.547456093454986	0.845999244531811	0.709370939319532	0.217269941523509	0.687834590815527	0.875420578116824	0.731897834703098	0.832950331916533	0.309101946365535	0.779703253220281	0.829759009384575	0.91661532567377	0.742307349819775	0.691786016848157	0.599532922352255	0.863200399966625	0.878637069615858	0.794710288797764	0.813967347152785	0.849667873280007	0.655489730912115	0.849284987619728	0.819405551570047	0.889067125178853	0.739468588995681	0.817881448446363	0.756074116665559	0.735900549874147	0.760326758963687	0.735101977715947	0.856221906383483	0.822114840931139	0.743325655646962	0.743063654663825	0.858960139171822	0.879345857596625	0.565103792309127	0.803800093568242	0.781276161289439	0.820244381418623	0.856414164623687	0.890582337751106	0.785764041962702	0.783545745544924	0.766584944794754	0.770509635190516	0.384994291237306	0.881691120554311	0.774220485190792	0.785337682594969	0.797461707113478	0.826997732289412	0.833372737720723	0.602571283174614	0.683282081049679	0.937768489202343	0.847053574132302	0.71883820445414	0.587341025520519	0.621754164750397	0.845013265275348	0.83463268638173	0.526043073286227	0.800563929994674	0.834852072514032	0.70815817784385	0.908862602929213	0.726876171317317	0.752516004783962	0.587579174749767	0.658937403936072	0.632434188679959	0.883492673756344	0.65967449590647	0.900836537616733	0.822198186578052	0.799439851760462	0.680201636940803	0.851548969776209	0.789316734781182
NRCAM	0.868461184401774	0.747074900858621	1	0.853377134539759	0.82171349572069	0.886327806499993	0.640276713758875	0.629185107174908	0.743945135445166	0.875699771080303	0.749885043380825	0.650385731883408	0.590165148705015	0.826890695801889	0.843606591169505	0.557511454768904	0.718908143309037	0.572405932435495	0.714942330684022	0.77729212822353	0.854252867842957	0.672666251796635	0.390237526067308	0.760003013456374	0.795343446130944	0.802822253817813	0.897250088067394	0.862222523138959	0.785549543906277	0.522889189665243	0.882564356500029	0.905989247289649	0.456274338265429	0.626178156298347	0.569725055745198	0.503270666589511	0.821388538835331	0.322071900315875	0.844841507810228	0.292547567171933	0.817001598652045	0.874436151771419	0.723277276833117	0.846648146330883	0.867548873540976	0.888634308225852	0.737896287708765	0.896400016008026	0.520366708115259	0.780585518385519	0.560611246230784	0.863743479893509	0.817039521591782	0.876664686649821	0.113674055353175	0.50233002765575	0.73087769014115	0.730750017694226	0.795431638453866	0.925041586215268	0.842324417700992	0.892108617110417	0.820538508386458	0.584511247210092	0.93801236787761	0.781865746097909	0.807231074117344	0.704474153463033	0.849852911811152	0.876856806701199	0.813405229983103	0.403970621839185	0.489129814257009	0.557865413709675	0.637575323370996	0.662926540385574	0.648933997183487	0.721074727296058	0.410851834525135	0.855971206892293	0.816174357112182	0.676254445797585	0.74198091300847	0.442055420158482	0.64844533608074	0.787931352658413	0.787497135916533	0.832347499220235	0.70022250588908	0.651272552055264	0.808734075123208	0.837869608786278	0.733101587617819	0.932682774628453	0.862030686458322	0.806756162545029	0.332741996514066	0.749106093655624	0.38786853969567	0.81986322513883	0.895929194754684	0.728981775711075	0.822432326611028	0.905701957745804	0.700274310566046	0.784072615538729	0.811783080881863	0.47795325474132	0.846283707448583	0.638226318143713	0.725078968333259	0.861487787413639	0.41800454412557	0.872386233089718	0.843596588613862	0.550195253219812	0.76317450989414	0.879784061636793	0.813592798519271	0.775570279253021	0.841953211560963	0.751567927290101	0.629488558891406	0.686919158767989	0.761046076183835	0.834848926699092	0.74298293361612	0.840837116044112	0.870427846802575	0.638747589657027	0.709350072326908	0.883356977343188	0.87075234121171	0.759052065749349	0.723355060666515	0.898695973035968	0.903395732728636	0.707112010012971	0.0961179535263959	0.452562587343759	0.621821288405971	0.751204461223664	0.809336410493358	0.769073875230865	0.865206893898088	0.667626834434771	0.633934735002895	0.909097152337023	0.41723941751771
SDC3	0.880602462743049	0.721555677229545	0.853377134539759	1	0.75728698870764	0.926319129697271	0.419885779822571	0.697587061989858	0.793653263007265	0.948922950225901	0.613662161430768	0.833414038980597	0.615451207284356	0.902752175916937	0.868166798613764	0.557783734417599	0.871877167379649	0.291041559811828	0.884381896236786	0.778763379658727	0.773899631639243	0.480893394104969	0.229353989867148	0.791252693694471	0.804246159778552	0.863586118393083	0.890174194923194	0.964329319009816	0.835822501664462	0.678259764144282	0.877475385608605	0.835874696365208	0.561844923204989	0.658235140696022	0.676074394364159	0.536801228202494	0.817684088385576	0.442428844850437	0.765462858404105	0.352236918356449	0.667821406011577	0.85979317306428	0.719369783925924	0.838898955115341	0.931936802554484	0.761435730697268	0.810476753881512	0.758976647580521	0.589178398211319	0.911800580670949	0.573607503337172	0.813070381594032	0.657406963378243	0.838434206638265	0.274033652228666	0.624635760056342	0.880987319346409	0.766362237901561	0.797699924977311	0.800029017317866	0.883184237211161	0.729548670481231	0.829227984568048	0.642905734823086	0.893864882267489	0.884933528852266	0.89631619522998	0.764311104587608	0.751149673021267	0.807065539334892	0.880812251335693	0.532323608124595	0.205469596491417	0.474337962817559	0.654016145892457	0.783417854548597	0.715012454385305	0.611114671353763	0.442813569201071	0.90885147056486	0.795935835306321	0.825872622511065	0.606547531703282	0.262224802338848	0.666683284987071	0.773905502992257	0.774017497519888	0.620535428588327	0.763135877714486	0.710292166270356	0.804670867235796	0.769786138546321	0.730834257116951	0.935751113126955	0.871564595329217	0.605708015026935	0.44716415846805	0.660386053269525	0.41117604146394	0.70957357006036	0.879866091425413	0.852230723566006	0.922207832876978	0.82448439245474	0.672115985669252	0.939445643577561	0.914723619941019	0.494814676657197	0.849061527903707	0.607891514323698	0.622826681798919	0.787911616519682	0.520496264462901	0.963030382708785	0.849328587392713	0.21125240425258	0.824625247643984	0.821211359866995	0.864824163386994	0.856866690895567	0.825436464467723	0.698110340516138	0.423197023434702	0.908121509561127	0.74936516018683	0.91168251700216	0.793984374384087	0.572773849017814	0.93611818686155	0.671870527361238	0.744301890327163	0.720701248451981	0.792690015667013	0.720041946341186	0.667222561936249	0.830376354044234	0.885012150114666	0.566944412572982	0.252841940193827	0.247355579864807	0.531679825781929	0.683554085504194	0.801521798057066	0.770544253597325	0.766447110587074	0.665675506664805	0.592409195862968	0.717035699211287	0.514980988861881
GPC1	0.660132122935006	0.798393001986633	0.82171349572069	0.75728698870764	1	0.804499662695864	0.666117298308715	0.680611747047423	0.739323947465803	0.756727962544756	0.791111727814726	0.649789309121297	0.699747356092238	0.589072561268905	0.639993063914195	0.710967329729092	0.537911581236017	0.69166213724566	0.8389706660123	0.615019955618886	0.924068857938196	0.583504755845179	0.597523274028241	0.924999035926389	0.710777846750016	0.623246888596735	0.803061463591026	0.806889492499288	0.905299988417628	0.407184019749832	0.785492728582633	0.840754610928275	0.739314924705488	0.490380309776552	0.582318251522505	0.814642982745261	0.828678713789468	0.451349152655448	0.895448887679217	0.474864136886715	0.709568644020715	0.867699420369265	0.744397716120182	0.725918525581951	0.684989813201238	0.740961399859624	0.832401289223212	0.814411627614922	0.70150172166298	0.71388550189597	0.386600400976988	0.91048305355214	0.892759470720933	0.771878595181569	0.1491811196735	0.722895447553952	0.544455121009226	0.681588731844781	0.774473139972357	0.897055521542948	0.918940116473108	0.885016126781719	0.569078218808389	0.700671303031734	0.744979684828002	0.8087299759012	0.683700412318742	0.78991966381128	0.868661708531892	0.742229027702029	0.816722970099802	0.589579398782508	0.52132424691379	0.528376547581285	0.680351871129275	0.470499668068029	0.822506289896147	0.628030816576811	0.63641848079804	0.824211372343962	0.910960714666351	0.653940961821445	0.829502311732027	0.54803790718439	0.713061151576152	0.831526650950341	0.801601637315141	0.687904176178653	0.657654585313447	0.677578514058347	0.860453208709883	0.745416941153407	0.781633995483722	0.78312166748362	0.696142284074726	0.843282971891687	0.578838311611932	0.62193887366086	0.70044823887657	0.885161150595544	0.746179910266683	0.87450419477937	0.698014101872525	0.809679280471928	0.766678584237303	0.598107538712123	0.716364911460057	0.587045896224312	0.881407624727267	0.755537713678342	0.845116929612924	0.713741130785229	0.725857391233828	0.814069118907563	0.870816539515833	0.53527050861454	0.816889769644667	0.86031973026135	0.686514776351164	0.655141515345244	0.736592492173622	0.63713600221127	0.671065266628938	0.666435864326953	0.825833070637813	0.813376359587957	0.874383966373999	0.604192804718078	0.742369597950542	0.647338407497865	0.819859601845741	0.695399857025952	0.787254428579168	0.860402539118386	0.868792969492006	0.894260729456147	0.821006532823722	0.777357402544793	0.309105987857663	0.573621728856914	0.804139543812595	0.76824286338973	0.919110401896768	0.6665130529539	0.801459097874149	0.703107723049233	0.751161991840589	0.779705782761664	0.714995875001884
PTPRA	0.941010641226766	0.870031690997638	0.886327806499993	0.926319129697271	0.804499662695864	1	0.610892804100929	0.817511960273012	0.902065472406501	0.858329068831261	0.778788669961323	0.891067092775087	0.812244598772349	0.784955011036749	0.751146609831074	0.746580146269133	0.704211922021253	0.39215995737364	0.864404550309683	0.901424253072941	0.843926947064701	0.618158393493794	0.401165011476146	0.791617651425887	0.931185757832143	0.870778863789477	0.927850095123113	0.914964215413951	0.892330252424699	0.473088137675	0.954099331285431	0.840209831745191	0.692497199654184	0.799336192071093	0.763999828064804	0.679472561359388	0.847103910004901	0.606483511652117	0.880451143952057	0.50712838031846	0.789525341524798	0.830584911433123	0.864891872905171	0.917239319399521	0.873169017843413	0.713526753527489	0.846963705537681	0.745770561700773	0.765321878143623	0.904499501431525	0.691742919042957	0.923838053200519	0.702176075624117	0.958014209530143	0.431044146702593	0.75648195302284	0.861141116184307	0.901244446193491	0.835445272630981	0.834424995194812	0.919694125386681	0.818985878694229	0.839807211463185	0.763556664320083	0.918241025795384	0.941270171965747	0.949467809610705	0.760810400197905	0.900474899038881	0.709871291261039	0.922745713878243	0.665046428729159	0.209090004252583	0.604676543625316	0.81595224396636	0.852872255403299	0.803465236412509	0.509912234614393	0.629872017221944	0.948213031740819	0.907944427310297	0.83304604339066	0.667005639270723	0.472447270912456	0.821538655321142	0.873535147203122	0.825777543955105	0.795178808529678	0.876545372751915	0.723550146148586	0.87214339169076	0.870656724118344	0.833805343191847	0.912442986653144	0.951908933937411	0.707207742799913	0.607059227017773	0.77481733282572	0.574235532582743	0.815388767416451	0.932838176701933	0.847695764223154	0.918099294489808	0.930622196283011	0.809263679202185	0.831793425055814	0.946616094881267	0.679871260919853	0.898053623877679	0.78718336344057	0.795702501599253	0.863335599594388	0.658824903307468	0.941453301117925	0.863464547852886	0.278016402742032	0.929323936101181	0.850697141678728	0.923967669876983	0.899448420622953	0.902619937130005	0.839753644697676	0.528627660424087	0.852851113055603	0.900638255699484	0.93993625616632	0.776015024523919	0.649000230711098	0.863807301444168	0.801325561058018	0.823110628684087	0.66884717973341	0.875092630212453	0.828830064474272	0.70663008234621	0.932242200378531	0.853132930168368	0.654265056247023	0.446844034676899	0.451368129443192	0.601955266714561	0.846629740896364	0.772617337663831	0.910428769413585	0.850147159393579	0.797539297561959	0.635887317078593	0.846661277726011	0.667830115180548
FGFR1	0.506344806358219	0.732355557846276	0.640276713758875	0.419885779822571	0.666117298308715	0.610892804100929	1	0.577141199108299	0.624411873118197	0.416570939384112	0.913168369551604	0.4238638791788	0.721847722667967	0.270619977293046	0.272356977465431	0.750651022938448	0.173731656140337	0.751395978439859	0.424017874665243	0.598649076298057	0.726251612254818	0.779475510531152	0.613533617522754	0.542794621103168	0.640963278620046	0.428254631581625	0.611343294127732	0.435531596171252	0.652274065500249	0.0815156507559338	0.628779601893614	0.63611853669879	0.631088394605755	0.544040050868167	0.480591497767385	0.666174182828403	0.547097595092499	0.518562627887003	0.713617850011006	0.515103118033169	0.653434764657039	0.486871215930766	0.747136887547278	0.592467899832624	0.446599515592484	0.579154000174204	0.524174459318483	0.565161272152387	0.700478222058057	0.419491364486516	0.349930965867968	0.765297266021899	0.677455403535674	0.706331500118163	0.266379632797781	0.578943840947493	0.310239109349134	0.649919148898712	0.509337228700131	0.692672384416084	0.59719853537116	0.745281434698608	0.369671871435663	0.606097802201077	0.515050719400649	0.601202183773756	0.538367244745087	0.527024932341058	0.788799366927672	0.419003767434663	0.585316271320414	0.451361569294597	0.567176436290859	0.544748048187056	0.668916472038649	0.390200785216084	0.626888954366275	0.278443743632209	0.606650513370116	0.58494260902353	0.723724727524629	0.430314438944899	0.688846763708461	0.777835655523471	0.649525110873171	0.662794320090139	0.599506968335171	0.780148534892304	0.592040640622898	0.391476959953368	0.717688343403403	0.604104903291089	0.68822634474511	0.48911141591653	0.55220675652076	0.794807045361211	0.552915670256553	0.653827107246672	0.68374374879414	0.73026309378667	0.623937497268275	0.485652696502158	0.438557269209399	0.731456310624571	0.709912254261318	0.266204594718479	0.522436472165725	0.635203691298439	0.695361331179508	0.705016887993064	0.754392587387365	0.588717411416174	0.622458297161403	0.524808271074335	0.529755360468579	0.577098791640217	0.665305534514031	0.613568559370697	0.563304449535259	0.490366216185533	0.60350353000017	0.705296355048947	0.84713471273701	0.274312005314794	0.763991603724328	0.588510504893497	0.476593949660645	0.666446505715813	0.398568142222754	0.597036544861692	0.590058603191632	0.569066487126378	0.643971154965993	0.655028771546904	0.539976877955969	0.785092796869246	0.557006623049596	0.759761087397257	0.414487602235268	0.717511169154633	0.718087946466337	0.785530591787236	0.500926308756444	0.637410321491426	0.686598368038002	0.622670889166403	0.502606535529422	0.772466760827829	0.602620818608585
PTPRS	0.738340554872405	0.852946241643294	0.629185107174908	0.697587061989858	0.680611747047423	0.817511960273012	0.577141199108299	1	0.87763641449315	0.591084641737348	0.698009172992457	0.816081654759634	0.83840263555602	0.482331106032468	0.398811247089339	0.82227892808372	0.407271723429222	0.306243846269635	0.723405564540744	0.802670380694648	0.748954763016661	0.503823415910176	0.511246157787541	0.677567813035542	0.853403031496005	0.655281911340612	0.776742215544212	0.670462994307498	0.809994201813696	0.210558258673053	0.813405930686949	0.599166071187657	0.755092431062522	0.752482338049263	0.799253634659547	0.735815513936777	0.696762638019237	0.745211043891937	0.75834574633901	0.694447355318863	0.621900031118953	0.624731959121984	0.815665662270871	0.803791817727882	0.621207020172101	0.415789729240339	0.7746063323921	0.505977096296186	0.808694833099302	0.739996937356277	0.597076806400423	0.830502352758601	0.628520252677664	0.812561861366823	0.553279340964733	0.816237620707343	0.661432907577308	0.856787594764823	0.732215903650886	0.648546257117496	0.774055230728796	0.661711037349148	0.61645434071775	0.789968749928658	0.65929109862163	0.851323583452472	0.799619071801016	0.615228121113626	0.804298708948054	0.427452609950497	0.809232364033424	0.728917227124699	0.0400755984687544	0.697114590153769	0.826911012043337	0.717079565612729	0.769781624307735	0.223033074229469	0.775822019295666	0.800318216735658	0.829488642310155	0.74580094737686	0.552646880082467	0.517469997101197	0.812419484756512	0.774148657785652	0.702990652489207	0.688147073527672	0.809279631337917	0.662052755577649	0.757981618232518	0.736839455572202	0.797915070887421	0.68295900229368	0.77924338190829	0.576484379081004	0.706045588168301	0.684725829674294	0.67437607144661	0.712667569731035	0.752902580806962	0.702520108720662	0.713003822274973	0.769779754999098	0.797235394558778	0.564030894491283	0.786451425514626	0.708335886145903	0.766320902715965	0.805767335957387	0.776092886792987	0.732957208054068	0.762139076440624	0.738286298174238	0.721271482520563	0.177379381333755	0.819483366371462	0.662387839991539	0.757342948450887	0.769322329136795	0.76090306877556	0.797686157206033	0.419297902362044	0.701203008322974	0.870462503173328	0.791299644325891	0.683316702713199	0.437277137978931	0.581849695999742	0.757088573292945	0.769807175413691	0.388461078605606	0.692330044290052	0.757521682515715	0.595405497053233	0.795106920186858	0.649130391501807	0.589353206754874	0.631913440706954	0.532171842404997	0.520503482830478	0.78315056312819	0.56457674059553	0.850244389190134	0.724426674115802	0.771328938509418	0.594539433072462	0.703221185278359	0.755848127427847
NOTCH1	0.840023237113185	0.887517615174145	0.743945135445166	0.793653263007265	0.739323947465803	0.902065472406501	0.624411873118197	0.87763641449315	1	0.708395231396073	0.758704508192991	0.871704403950421	0.864691910371811	0.608359328206739	0.509481746316435	0.862458207622286	0.511692673014507	0.335283813951147	0.749245354772734	0.898380674473115	0.839051768318217	0.584205651261321	0.408960016703261	0.724518845758344	0.938125257252069	0.769729939132886	0.889009433772568	0.768428774470453	0.860541516331514	0.30521126081289	0.907588227359324	0.682877299615951	0.72165641522216	0.843041736846891	0.852076883016379	0.719792559277031	0.76340961560699	0.724214649563758	0.82887819537036	0.668387799140838	0.710724946477657	0.70168449125618	0.896020276335686	0.888260394742823	0.727446846575592	0.534384268868375	0.812292953917435	0.5983597198723	0.836775934928875	0.83440880090923	0.702872334066785	0.905404831212604	0.650888463325155	0.906043043348621	0.583332592039797	0.793199566920977	0.776293219219125	0.941274379001971	0.812425212458632	0.734607349991795	0.842161172588486	0.750799167051694	0.714271796052943	0.806099238419871	0.777480228292395	0.932258636212722	0.908102782413514	0.647163694917467	0.877211335625284	0.549367778319181	0.887241190691711	0.685749425560708	0.0602587171565368	0.724741703183219	0.91483789825594	0.805568098092211	0.838014820475841	0.339374430131469	0.747441743332233	0.907726627693742	0.86063177969505	0.798571370476292	0.567894085248628	0.532047239325971	0.89539326130493	0.865642442312769	0.808305587071587	0.763342526163607	0.916341320994147	0.680118261380969	0.848937465884893	0.825606808459794	0.835851840690209	0.797024152917864	0.874219716203906	0.649516229073755	0.68957644014624	0.739077955349127	0.605362162980883	0.793777413124424	0.876896242148021	0.731646081939089	0.831092788352307	0.85678357706588	0.848316393227423	0.662169246526691	0.871242703750583	0.781253234750458	0.826957486753683	0.844015738192787	0.845483029199706	0.799011805860291	0.717710945726404	0.816603235980287	0.781253820764628	0.225993988990596	0.859565458694921	0.78126006702569	0.865784086341391	0.871768089655081	0.845445271338598	0.886797502781761	0.471786748782318	0.742875343477669	0.920871562087408	0.865640984023211	0.688968727067727	0.551401913793295	0.69990078494116	0.855088621782031	0.794635703161935	0.507602835280137	0.802541622336631	0.745904154994474	0.596552027097296	0.877607796542219	0.760958999272235	0.609514403483268	0.631383522852577	0.471003278929407	0.495443459780272	0.834988485244577	0.626730388677359	0.936050226906324	0.847575203652004	0.869991293320459	0.64459405600894	0.803139731808447	0.722759389847607
DDR1	0.807901731002259	0.643752250315496	0.875699771080303	0.948922950225901	0.756727962544756	0.858329068831261	0.416570939384112	0.591084641737348	0.708395231396073	1	0.576711448549264	0.70421480623975	0.485407578674621	0.919085202269826	0.919281604344294	0.449765572375083	0.915414453118413	0.347694033280454	0.819265117001703	0.698850912344904	0.784069872540179	0.430989697829623	0.212458944077084	0.798067948290008	0.709533137783178	0.845249739266053	0.875722211163753	0.941429630762042	0.789732474969255	0.793752698003226	0.823409020968857	0.843676588363624	0.453296305348115	0.555731525688692	0.584105944518669	0.446263938111858	0.798674051253535	0.283384612751115	0.724720140713121	0.242308217969477	0.647376311649307	0.893999503894576	0.634260270341899	0.777131032431105	0.924100938099395	0.854132429422125	0.775353614636975	0.835943517819505	0.463069636373569	0.861615843726799	0.49471000744745	0.763681490808327	0.678118397539355	0.768568005045619	0.141003110314008	0.490199576345118	0.811549523195459	0.665849996635742	0.774752775714161	0.842974309215401	0.849953942184414	0.755552127800491	0.799888090717674	0.549996861396455	0.882210665039404	0.802356568700436	0.815547135474776	0.752637996955524	0.688637059427816	0.890803189168216	0.812195057538598	0.392731411231671	0.342137708951477	0.437640474320144	0.558811859112793	0.661431775826644	0.6539930859879	0.7600930518793	0.330479932078803	0.866866333142341	0.741958970667734	0.764764994416345	0.626017388164839	0.275528782352751	0.580304894401472	0.727042266146714	0.749608977420037	0.592976171393653	0.692049402826795	0.675746797757923	0.765824941144846	0.723677948214004	0.6346784264212	0.944026518077938	0.803366202139423	0.63475893199868	0.318618512583722	0.655503182135934	0.317996885914933	0.694625249215146	0.851179532060814	0.809266060480913	0.874389485068205	0.78972950414678	0.60369586886437	0.921498678969766	0.823025207534235	0.405285205596439	0.829126209364529	0.516944134575271	0.567782596387619	0.767576033389299	0.404704216767082	0.929448752989056	0.845068823767036	0.312440076092417	0.735236996201129	0.836384722248773	0.815427329201911	0.803466699832875	0.792812096162986	0.618222155078364	0.448875588564127	0.831009594948617	0.662482004149125	0.862700522571969	0.792796729396815	0.641313190455334	0.952678010584254	0.578348791292526	0.667077812936447	0.838306801035484	0.77924299062351	0.664916740899218	0.657319779615733	0.798520580839345	0.915804435512456	0.562274774506526	0.0931664363941624	0.233842645934032	0.512194835283649	0.602955927533163	0.826072286146956	0.670683381078833	0.759588764765654	0.608127700589907	0.592624857302113	0.717541160850506	0.392817754768802
