""	TNFRSF21	NOTCH1	THY1	EGFR	ITGAV	LRP1	ITGB8	LRP4	LRP6	LDLR	LRP8	SCARB1	SDC3	VLDLR	GPR37L1	CHRNA4	C1QBP	CD47	CD46	INSR	CD81	KLRC2	GPC1	CADM1	NRCAM	IGF1R	IL1RAPL1	PTPRK	PTPRS	SEMA4C	CELSR2	KCNJ10	ITGB1	CD99L2	TFRC	PTK7	APLP2	FZD3	PDGFRA	TSPAN5	TYRO3	VANGL2	CANX	ABCA1	TRADD	PILRB	TSHR	SMAP1	RAMP1	SORT1	F2R	CELSR3	RAMP2	RYK	KCND2	ATP5F1B	ANTXR1	IGF2R	NOTCH4	EPHB2	RACK1	CD82	CD9	ASGR1	ADCY9	LPP	CD63	CALCRL	SIRPA	ADCYAP1R1	FGFR1	LINGO1	TSPAN15	S1PR2	TSPAN17	TRPC3	PTPRD	ITGA6	LIFR	RTN4R	AMFR	MCFD2	NOTCH2	SLC16A7	NCSTN	ERBB3	APLP1	PLXNB2	PLXNB1	PTPRA	DCC	PTPRJ	STX4	JMJD6	KCNQ3	SLC16A1	CHL1	LAMP1	RPSA	NEO1	NRP2	GFRA1	NCAM2	BMPR2	ROBO1	TSPAN14	CDH10	PTPRZ1	ERAP1	NCL
TNFRSF21	1	0.955723480195582	0.974300301333697	0.841775601184956	0.920989023921013	0.948696400500606	0.910959598865301	0.91620733071653	0.925142136168232	0.945458476538268	0.910906070139214	0.977838327494769	0.964749335653807	0.919635087593868	0.950314122185154	0.951707162874103	0.961213542078336	0.914525958546815	0.884499717879652	0.919715647654149	0.951741267126356	0.865457693434694	0.952382853815672	0.985481550904676	0.921722389779418	0.923738153171836	0.880055383845455	0.921743548536613	0.824285874805382	0.913712644520128	0.932243603068562	0.955123297943098	0.928208331068622	0.933751404873083	0.805583024573627	0.875146003589579	0.930597380950315	0.936377935931773	0.829850571802753	0.95141392853879	0.95176404588798	0.922725142414683	0.950282558543553	0.519744969707981	0.929030832285227	0.889538013281364	0.844526048129052	0.958095584797023	0.823924062676375	0.779670025883496	0.950442974393558	0.944646385977574	0.925160765590642	0.940518201492143	0.805213528380904	0.965022728840293	0.910458037280069	0.927359883671652	0.804262444607497	0.934411366318527	0.945303086042811	0.850865413188292	0.722373386867874	0.812466841858777	0.880271476710519	0.845140387855411	0.95230945910561	0.730911944523392	0.873959650757454	0.851332406994474	0.889663942744401	0.923733492880106	0.932251244028257	0.897249984207837	0.924474710175876	0.87588024945158	0.680488600633572	0.891379417844754	0.678842076041928	0.94415394710306	0.920445590885731	0.932759135400794	0.838420366207251	0.876781525908846	0.923831267055339	0.946441332760413	0.965595702566157	0.88895224870313	0.966983052928394	0.957916361830859	0.785752179562202	0.883663624487861	0.91976757151442	0.881222264111436	0.826682984798938	0.919905508705602	0.858758201234137	0.965589569465077	0.955546486740714	0.925041102087314	0.555565695776929	0.938065945174138	0.864069885008785	0.921622923199186	0.933203674552118	0.746227882282753	0.714294285370006	0.903710319659653	0.876577727729107	0.89194260032836
NOTCH1	0.955723480195582	1	0.957429425636906	0.91550279995038	0.958627625399131	0.986923632268075	0.956178406067531	0.96196564997464	0.963001718411698	0.958135597737001	0.954811569289512	0.953851861357731	0.971209551135322	0.930511512229868	0.926385197895808	0.933923242404073	0.935206738214832	0.951191543236245	0.925510914481062	0.96029076224637	0.952277244166068	0.915281019691223	0.954136139938667	0.964010376981917	0.966572724519544	0.962537678090903	0.941580099527306	0.941937572882201	0.888607258177285	0.923818751257381	0.963544802097529	0.977989899031376	0.958623628584063	0.949460743575487	0.851437712398379	0.902215223392795	0.957349369140879	0.970972265712556	0.911258522695331	0.968946551441172	0.95605434399879	0.962065211212072	0.970247876171402	0.604685620539202	0.903950060358865	0.945349015255326	0.883595907972531	0.970488535441086	0.872072732079905	0.819730546677412	0.963972594185381	0.972544488895255	0.901972647033305	0.95626324155292	0.879836831287309	0.951246065172068	0.951820637971176	0.958747753578074	0.854771021776211	0.918547357974461	0.943010899320898	0.893429190964391	0.722891958322615	0.851263845119634	0.899823487402249	0.907789741692163	0.935244037339272	0.812048344579265	0.90320079240944	0.892275231121076	0.951927335864927	0.956288723018875	0.877786552825237	0.935406447164819	0.912871095097244	0.910337444325326	0.775291389498531	0.902788116858165	0.774422496602385	0.916831879904406	0.939819008623501	0.963432285344338	0.889944382449061	0.911538490300924	0.949110813410383	0.942717184397024	0.926782226514269	0.91577859138738	0.973038397583771	0.979359135066507	0.836238242284528	0.92041387115648	0.945366967774931	0.928150234812557	0.893629982660578	0.942846503470897	0.920541100440097	0.959215375433572	0.948751769489679	0.943316608865118	0.65958586306911	0.96620013061453	0.923608830654783	0.966211490097279	0.969744021305657	0.78344108976044	0.819813372109138	0.951111547079753	0.906920599569343	0.921769531652038
THY1	0.974300301333697	0.957429425636906	1	0.838144353137723	0.912582215184894	0.953823300792993	0.89357456073539	0.911750798120821	0.910768437995752	0.92956104865764	0.888536343572638	0.958713467633935	0.957611529374085	0.897863484432841	0.95702596608938	0.9552161436073	0.984404514593069	0.907300876378735	0.868772367779744	0.909000530453521	0.97154024477096	0.899568759275565	0.979163873015332	0.962212544086652	0.913215615021003	0.902190299702042	0.880179693507285	0.906942347077027	0.81199726898591	0.901921042947623	0.923027823076329	0.955001152454685	0.926622003479286	0.938854176256442	0.781302346582488	0.890694992135257	0.915913108282171	0.928592687432139	0.84347600168493	0.956599666573836	0.961867488750001	0.911592395698391	0.93546165491219	0.505099235027221	0.934135167624023	0.899381937267592	0.838306823244488	0.982228094377256	0.867845195275983	0.744211645023186	0.954191548709032	0.945031232126311	0.953041421643144	0.93841895923181	0.820579339555076	0.983968496470475	0.911622590565741	0.910310557774019	0.83417343315714	0.91797267433503	0.980937559143056	0.86992946076553	0.694098545389204	0.850070509884846	0.869764966946344	0.831051239416585	0.966690268735763	0.738830082837508	0.867614459288547	0.841045679889113	0.902083208147477	0.940327273793552	0.908574110489111	0.903860933276967	0.932074200100627	0.87232476259905	0.659418007098857	0.865071205989525	0.663713048450301	0.961993018799967	0.913203778461793	0.94197845440095	0.827207940616139	0.863744629235259	0.940134163636589	0.915890695104453	0.958451424041601	0.880305281529634	0.956847363507909	0.958319080272117	0.785731023033062	0.862334301493946	0.93043861532797	0.897279779087941	0.833007365030305	0.921240004560756	0.856521114860497	0.962191825989141	0.986896571021685	0.900083589329394	0.561144575263807	0.924834752953936	0.850819552585422	0.908817587326355	0.924621985159854	0.745549835794532	0.73790028627311	0.897303217250317	0.85044364179191	0.873037625917144
EGFR	0.841775601184956	0.91550279995038	0.838144353137723	1	0.938147156508629	0.929833361303508	0.948369346924483	0.947774092391646	0.930058995449638	0.91178796348348	0.930697446961721	0.839160951085804	0.911857740644449	0.85605838855951	0.800096824188138	0.827289719584063	0.804540858009151	0.922396118868041	0.920881943675366	0.936669725485434	0.851398938891975	0.932238454472398	0.842016359742932	0.881191944880482	0.951926806762959	0.948447596870917	0.918167828247411	0.904183090102921	0.888333842685714	0.874054092288312	0.918543549598063	0.904415925164868	0.906470005723057	0.86373041451193	0.869234555835137	0.848210977117308	0.919091574873489	0.932833697009475	0.960870292152401	0.915087361452451	0.855061899998951	0.916642564286348	0.918993503468394	0.653886866454659	0.761716782329766	0.895822604406901	0.888337577327913	0.889015002331179	0.880273499133246	0.82637625002304	0.888495797474774	0.907687104886453	0.807148964124518	0.914158869041928	0.908677951968737	0.834757932356448	0.926699432175415	0.911134129339956	0.8029773446607	0.820479439619096	0.829678781784193	0.858939803929742	0.667202667712537	0.837632523824018	0.853426729801645	0.91730045925033	0.821617506039326	0.904129710324302	0.847331850941842	0.901745508158841	0.943549727730227	0.911894117556641	0.756778567873878	0.889033938689069	0.787492452259775	0.88221309624679	0.902548965202388	0.843309761690315	0.89143867437142	0.774189728795652	0.881321444957377	0.909090796194482	0.927555648132902	0.914423339602395	0.871119173131593	0.884383062126408	0.78782571237399	0.869807765231231	0.886773072892732	0.920504915678473	0.886839911265382	0.911276895294442	0.89224325595431	0.910735907921408	0.905854021887274	0.884114601250753	0.957804674670807	0.856980775865883	0.839277399267397	0.879962619176413	0.714930819977188	0.940943874985673	0.954107664047179	0.940778518915822	0.944036196538303	0.761244536397269	0.907263227876959	0.939351153842652	0.895577622975564	0.905408545965533
ITGAV	0.920989023921013	0.958627625399131	0.912582215184894	0.938147156508629	1	0.963675985697043	0.977748572631836	0.972753001435471	0.976873162416945	0.951135823482331	0.965751166240792	0.923906048336647	0.951194689798444	0.917296169793001	0.880649341664413	0.888712433146889	0.878409290651405	0.969716810333697	0.964293252116983	0.961829759467936	0.903851615792934	0.918082116724236	0.914051568117343	0.944931091627359	0.975467593310407	0.972498810446373	0.959250212151973	0.961289148853336	0.929655476788254	0.904711885672536	0.950392693204091	0.968413103279229	0.967417655701973	0.923101143594937	0.885163225891486	0.888579107147681	0.975491715112896	0.97410412995486	0.942425767059707	0.9527960301552	0.918998553770252	0.945346225449678	0.978921010914051	0.656755986273818	0.867816087591937	0.935321118635187	0.921870733927949	0.93693182851546	0.835141291919673	0.86400532011208	0.944896517215549	0.939428672133037	0.847620836481084	0.957425661747299	0.89539211905771	0.888825465294442	0.952569262613542	0.959205432942276	0.843263471871534	0.880233685308801	0.884689562093763	0.845398812897136	0.737763762508697	0.813359178754167	0.905596680730361	0.933401428402464	0.892590466578693	0.865641205222808	0.897880279327629	0.898778594977092	0.948382818645495	0.919762326884048	0.866396524982728	0.900279368410445	0.834419317649768	0.913152348450971	0.840677454780173	0.919585475502534	0.83248906448621	0.84431740100398	0.939590526920639	0.957866979737761	0.911542837585905	0.946497901209804	0.919258743115805	0.929517327117434	0.868855478893074	0.898916758460097	0.936185062401822	0.972466027635908	0.871526509152022	0.940623177443134	0.934903050724777	0.931522198071737	0.9126136092805	0.928489897068811	0.959412503101566	0.931426803830948	0.889827661483971	0.944632501647107	0.696693334795307	0.97884410568224	0.963280670970343	0.974536476033326	0.981679440007566	0.787536021863531	0.851690130475459	0.980306332343904	0.931898226107648	0.963337160062252
LRP1	0.948696400500606	0.986923632268075	0.953823300792993	0.929833361303508	0.963675985697043	1	0.957486627105638	0.968380779049103	0.965613404258846	0.959241805460422	0.952854801226014	0.944563116843054	0.97603937207063	0.926875504465925	0.919849067367253	0.931695025144951	0.928950365912993	0.952102629434992	0.92719412052238	0.961448469017598	0.954413461451907	0.929803011355313	0.951392061888214	0.962104046560431	0.966650705436725	0.961524710435007	0.93354719468343	0.946970060648598	0.88798121172761	0.922773570183033	0.961138265207619	0.973272982408657	0.96129982690634	0.944584344230846	0.866205909875544	0.904637073145352	0.954157633801102	0.968416528633926	0.927902470529475	0.973154447218428	0.956312822221289	0.955609535239545	0.968591756394933	0.637051906958761	0.897574630278078	0.946851314000511	0.882646042131708	0.971444930345444	0.886319697464645	0.830287892089891	0.963076612061198	0.972872123905339	0.908215434429472	0.959354180477525	0.886993211429296	0.949342011602642	0.95263241164822	0.958658719807841	0.857151919077628	0.913094357244087	0.940839947251831	0.904510507247179	0.730373499421484	0.869101434297745	0.888006741879784	0.914726799563545	0.937582270305028	0.8329698586736	0.90874503027517	0.900882391707594	0.960198091843633	0.961774221458834	0.877816689982906	0.925325570979493	0.904258161340169	0.912066345514735	0.800003896507127	0.892693366332554	0.794334139398591	0.911352548421682	0.939765970899887	0.965845052236138	0.902572612483999	0.913770266295396	0.954798170941829	0.946667639853461	0.920904226062819	0.920987102624688	0.969773104430318	0.977693721590287	0.857959847368849	0.934490641258686	0.947792559493304	0.938640068524824	0.895469899689736	0.943245474902083	0.934593315893589	0.958304092050964	0.945964504909153	0.93654429683228	0.674344337966181	0.965831917677363	0.931046468656574	0.962629917000491	0.96881182778653	0.807432160836734	0.839017849408092	0.953120101056446	0.91812312094544	0.918793539678238
ITGB8	0.910959598865301	0.956178406067531	0.89357456073539	0.948369346924483	0.977748572631836	0.957486627105638	1	0.975749334005254	0.983262086159703	0.953514699913239	0.970707817443643	0.9109746963616	0.939824257115262	0.928919209858925	0.865078697829872	0.87298014237356	0.855358798235165	0.973219097298903	0.975078368122096	0.965675342172888	0.881420712457152	0.912278587240865	0.897257916964285	0.942142023304054	0.98736326392788	0.978781847831339	0.969491654269797	0.961289269465977	0.945869715451544	0.902520436027311	0.944589945388141	0.966878716221296	0.962903839213736	0.917779118083435	0.884221874481165	0.877425338610353	0.98220596837356	0.977028461451374	0.957097436354911	0.939797482152805	0.904575415137302	0.957243450988766	0.981646865211134	0.637700487188169	0.837492782937129	0.931345352640381	0.930971572986501	0.924483700490885	0.825434576263301	0.868422204090716	0.942224082685026	0.93290610773685	0.821181758279484	0.957805912747294	0.904528463814141	0.870333439887885	0.950253995667481	0.95435015748223	0.825561538403783	0.872521159838141	0.862412989057779	0.845480614446123	0.711725249575291	0.82216628173933	0.904558515241036	0.95196715398768	0.864779656178632	0.878613548040315	0.885256159194549	0.886983870432699	0.947417113205175	0.909153280826296	0.853329431056224	0.888412779755124	0.829612530145899	0.913820631749261	0.863981340333525	0.916877544266525	0.841882081399786	0.822926998144922	0.932129889649408	0.950584423704493	0.899226578067058	0.954740042335417	0.903778626488907	0.920366380038301	0.845285061268085	0.891463085958172	0.925467285040503	0.965546843078724	0.894653339730723	0.93844946774449	0.917498191070141	0.924824413107664	0.926403168823993	0.931134105660032	0.967054051357833	0.913767180192325	0.86991893938625	0.944358648803559	0.690412025133485	0.983123606298831	0.978138733309736	0.982852369906513	0.986879265011127	0.764246769244882	0.864113934937794	0.990260863468956	0.931577853444238	0.971253569077529
LRP4	0.91620733071653	0.96196564997464	0.911750798120821	0.947774092391646	0.972753001435471	0.968380779049103	0.975749334005254	1	0.972722489960281	0.950945361632853	0.962069992111384	0.922482591172952	0.951754495426912	0.926712050628694	0.88698104500927	0.886192311858264	0.880567037142329	0.961181072599771	0.953739876326089	0.961527913833158	0.902649451483086	0.936964110007217	0.913913965125518	0.942089349138696	0.979492937469177	0.967485559228161	0.957869451471294	0.947900174072427	0.927960989481138	0.909891401271777	0.946187609669926	0.964273361230999	0.957423595086695	0.924890526602353	0.86750589075678	0.890171362594799	0.96786434597085	0.973268532409727	0.949426653357261	0.954255793083657	0.919501244903271	0.952058962024326	0.970933047086717	0.627126456854853	0.845793085627597	0.944034083141506	0.912802866677072	0.937195162291901	0.855571021914659	0.849798483431238	0.947883414581753	0.942635654437473	0.849813433129252	0.963087272522799	0.906656330187358	0.89426390704983	0.947126718604832	0.9512697390855	0.821619455440188	0.88689487494853	0.88663125873298	0.863860445972446	0.703583636798201	0.83685660537559	0.890492839906663	0.942690097263307	0.882501398488234	0.870988319684347	0.887877159911093	0.893549607369007	0.955418058927476	0.924922379824122	0.854285626143811	0.905346820640599	0.85265754345293	0.917828081418532	0.851717409808533	0.905614565083001	0.828528555489788	0.849255019130766	0.928691749913705	0.956823065829615	0.908951580373336	0.935215081308672	0.922741247566378	0.923053453071835	0.864887710095443	0.897178289423841	0.936825918504567	0.96535513009831	0.883472637233595	0.930788326259085	0.920377158956245	0.934642363833267	0.905232263082734	0.933486178644636	0.955675163142622	0.921179193942243	0.894214731619075	0.936994831059871	0.683508443493422	0.972294470605309	0.960155827938514	0.971674690714961	0.977385258110948	0.772800834772404	0.865324501577939	0.973698497005747	0.913849588655752	0.9459546957444
LRP6	0.925142136168232	0.963001718411698	0.910768437995752	0.930058995449638	0.976873162416945	0.965613404258846	0.983262086159703	0.972722489960281	1	0.960680857507561	0.976145217726949	0.926458286716555	0.943884265254188	0.927975327034031	0.877151964488375	0.884701368571878	0.877355366888842	0.971987962730375	0.969110798175343	0.961954026074922	0.889048097976983	0.910411706023262	0.903910417168836	0.948952192639781	0.98268332909972	0.979324323959285	0.956602460347547	0.958468300156162	0.942633767558776	0.904444677498502	0.949496912217365	0.967366747401289	0.964335793983848	0.917545253519418	0.885307247409299	0.884177548544039	0.97575493036393	0.980252641161679	0.934570718868622	0.946474657928366	0.919721689412457	0.956483682168256	0.980075446757929	0.637343999762779	0.852899122802855	0.942319303430282	0.926470915374665	0.931352047331884	0.808989012596451	0.866461032984629	0.949345664438783	0.947008018738787	0.834789587514652	0.964445496106377	0.878230165506894	0.884527523393542	0.946019557007847	0.958964591847873	0.828987354781848	0.882250100866463	0.877339248717638	0.837287442490464	0.7058264996548	0.817144277619171	0.904301405891604	0.941442278561987	0.873204709733886	0.860441407412138	0.888727128159521	0.881437602287173	0.945077662927004	0.906298143004813	0.873818319286198	0.893316067497399	0.839331995728481	0.919808560314729	0.839473438263642	0.916680948737129	0.818028291859969	0.838962057505461	0.933626393351876	0.957418063531149	0.890602462501952	0.945128420297561	0.911511534656034	0.932860886652577	0.861809439001666	0.890996616075725	0.940009735930865	0.969644317272424	0.878538802987521	0.932835150696743	0.920851912015235	0.92632714619764	0.912973055143587	0.93995017218862	0.950828099781813	0.925719111174818	0.884797299910427	0.945134591094376	0.688000243318512	0.976861509409183	0.961742710759551	0.977510731559155	0.984128073890546	0.774908311639296	0.83889604499891	0.978905962102505	0.930219316670607	0.959564943217039
LDLR	0.945458476538268	0.958135597737001	0.92956104865764	0.91178796348348	0.951135823482331	0.959241805460422	0.953514699913239	0.950945361632853	0.960680857507561	1	0.945796012293426	0.933851410169469	0.952205142906706	0.916175980495979	0.889560641229668	0.905382776458692	0.897876094753771	0.942934493282815	0.93164238120573	0.944872599105468	0.906589369785398	0.898700277277741	0.914964078788585	0.957756426697634	0.955630825583004	0.952593410030994	0.932618798660813	0.936343931442482	0.871002004996111	0.919646767072225	0.94051208817482	0.952669076523297	0.940183916314132	0.91988318502602	0.869524935718028	0.881718444966484	0.946371272920689	0.957856632568489	0.909513558030632	0.942946164457413	0.929974147540424	0.943745124714907	0.958201162682922	0.590246215205274	0.8668904235432	0.923253359858269	0.892590662595887	0.937823967730197	0.837436181815409	0.820327597535846	0.944955711877958	0.942951442016522	0.872852645644129	0.959133773223672	0.855978316670037	0.913967492825474	0.92568769605108	0.935774069875604	0.816223184809034	0.902592778302504	0.896293647846337	0.85997523186626	0.70015706347484	0.837506024883963	0.897701544582669	0.909946474210268	0.896551969716981	0.828295387292447	0.871160812340133	0.872957055251067	0.948884620491141	0.934970537883689	0.876969428754028	0.902616509190886	0.870947645461465	0.89511300763801	0.793223860282396	0.887071660382195	0.778890346657558	0.872875804581794	0.917499787619639	0.945923070805921	0.882892183108995	0.907354363766071	0.919203547826036	0.932664756579278	0.891836586512791	0.894279001041365	0.94878579836722	0.955873498833532	0.860560217313983	0.924035189102547	0.925020895633501	0.919028888755704	0.88198436887549	0.927431270205186	0.920110961303985	0.928328436748632	0.908358946406878	0.923657761770617	0.641427744851088	0.958904571605883	0.925170428203723	0.950621540280867	0.959720655433758	0.753141523993651	0.802882536324897	0.944495572732835	0.894241981333382	0.916407663346112
