""	CD2	CD3D	CXCR3	KLRD1	CD247	KLRB1	CD3G	KLRC1	CD8A	CD8B	ITGA4	KLRF1	ITGAL	CXCR4	F2R	ITGB2	ITGB1	CD226	ADGRE5	PILRB	TGFBR3	IGF2R	S1PR4	CD44	SMAP1	TNFRSF1A	SELL	TNFRSF14	RACK1	CD69	PTGDR	SLC16A7	PTPRC	CLEC2D	TSPAN14	CD81	LPP	PTPRA	CANX	PTGER4	TSPAN5	EGFR	MCFD2	SORL1	LAMP1	CD74	CD63	C1QBP
ITGA4	0.885870151295149	0.899840364911228	0.594682192944611	0.883511296595244	0.839887361795652	0.852084365503047	0.908966588045068	0.750267069592265	0.93179695995042	0.908318916058997	1	0.845338846201173	0.834916108021731	0.908272312286532	0.809717940469274	0.759277336986193	0.766653391994653	0.854286467933724	0.903264946903283	0.792409978346863	0.839172561668964	0.765818649315368	0.663085572116485	0.67123897180564	0.696198172949249	0.402750839776293	0.428529448998277	0.836316884608244	0.381843159500699	0.844808482981985	0.844473376038439	0.699206218928807	0.939881100673852	0.843235771893601	0.846007622553348	0.376029616903099	0.68313758167332	0.743858529552747	0.228477690443547	0.841926211271159	0.439709063262847	-0.546881343838033	-0.146010831750037	0.338272640529781	0.397682289774977	0.167038537972572	-0.0535663575034859	0.37621477627898
KLRF1	0.735085351520785	0.69010054573377	0.563402380222204	0.963292549508775	0.942588046544481	0.72138514531912	0.689214106430593	0.823834401543271	0.881846519133652	0.808785207079281	0.845338846201173	1	0.940065309700681	0.707900091302978	0.89087559028596	0.828897307629854	0.557015976357858	0.67157346719324	0.846700330648747	0.946949878226187	0.948839101036872	0.857558149436438	0.432926057925224	0.444682727779242	0.607594167357995	0.530253356683571	0.0138649897913409	0.689136591160037	0.113653756670434	0.745715812520536	0.963884325632691	0.461043757430903	0.759371278839564	0.578340521040338	0.733843872922242	0.399483044082474	0.656818178652026	0.665471406361927	0.286618972641733	0.819130226489009	0.30023980673957	-0.405524340983671	-0.0842278002990576	0.293686258025742	0.343846593038148	-0.0213456986518288	0.0323440118782531	0.323343348029369
ITGAL	0.749121862515107	0.741464340990985	0.528208141083834	0.927093865361197	0.955076914040742	0.796057334853457	0.66839112359909	0.84003070799601	0.872763869929828	0.752728632633357	0.834916108021731	0.940065309700681	1	0.737399981235749	0.875400182248877	0.850746624672454	0.60826516610039	0.665160715484386	0.902116815131874	0.919546053951715	0.879741673973497	0.819320118273478	0.495182396053947	0.470945498341976	0.660868529523045	0.551671845562079	0.0791414043648729	0.713085215928124	0.168623059006027	0.755711329032602	0.871958809052898	0.519539072909452	0.774025397472922	0.625500607304745	0.710724149960687	0.399327248974333	0.658341774966631	0.63494283486512	0.261589197235095	0.818085187672038	0.402983744946341	-0.476467232181529	-0.0909925899242872	0.288717006500277	0.3952951539179	0.0471124497810005	0.0298346530881975	0.324971392132474
CXCR4	0.803057669323606	0.899121718029163	0.385710386575097	0.776868714603039	0.708693484512818	0.913422813595869	0.924100173138615	0.683285671786378	0.777346745341977	0.782805982888887	0.908272312286532	0.707900091302978	0.737399981235749	1	0.666001475432449	0.64972396433106	0.857822820784448	0.821423693754906	0.844191417649855	0.695023102052573	0.742524136190664	0.707264712071562	0.766482362161456	0.717305106340063	0.785841422816387	0.338665084043565	0.683005420417206	0.91555717518964	0.58410430070692	0.949871146384224	0.687235054261167	0.777083732992771	0.946881338572269	0.918545339985011	0.855634151845718	0.316567966436264	0.58283000899633	0.728692256396968	0.226641606673684	0.847422225677396	0.466567596397335	-0.579463120182355	-0.107060352576756	0.319927674199766	0.367744194584408	0.291857493450786	-0.0592465655665902	0.540195175448117
F2R	0.681312778781666	0.655120812205548	0.52764684513576	0.892766877916293	0.851382871479649	0.6276660659926	0.641724956717073	0.689417519616371	0.818088811228325	0.754389220618411	0.809717940469274	0.89087559028596	0.875400182248877	0.666001475432449	1	0.794252289499197	0.676404622408912	0.624008251986658	0.803412407514903	0.880100950054728	0.878301062632984	0.855118709912165	0.356967142255748	0.434496033165843	0.606077043072596	0.611135918988158	0.00663466256306709	0.653701991175625	0.103034662944887	0.687751418220507	0.874530669846154	0.412903581534239	0.72646524513032	0.589274228848824	0.763558586506554	0.48488460410721	0.738347489957295	0.709312235663761	0.408314407346331	0.787475979555085	0.458385607016063	-0.290117963255045	0.00799540114177234	0.375640792640594	0.463857197466585	0.0581046941114804	0.0837333335155314	0.249639239431966
ITGB2	0.687095696496762	0.653968022531817	0.52402246338221	0.789183924440019	0.826124726429757	0.682046960059312	0.609600570772614	0.726439704134684	0.775395655453181	0.687844633302199	0.759277336986193	0.828897307629854	0.850746624672454	0.64972396433106	0.794252289499197	1	0.694312552507342	0.642826594013399	0.800636051414383	0.820271428897237	0.761478010923851	0.791748410992896	0.454318866572806	0.64939074164525	0.719781458696803	0.757244238617433	0.0777492781786926	0.74997028446472	0.364802485605489	0.679768255322081	0.790027668026792	0.445498837207127	0.726178232644934	0.573458146485682	0.790979479008672	0.765657029639355	0.692339357882014	0.622805276337946	0.442321691054741	0.738006756236078	0.330656581578219	-0.418030076692678	0.112356338963555	0.634123144341103	0.662230465359639	0.444791070084882	0.356999821891651	0.350907507267872
ITGB1	0.646036537427949	0.762238649249243	0.254220775033806	0.640278118908014	0.579399062836803	0.763562082143117	0.774445353913856	0.536880237970217	0.597017405788165	0.640092048527322	0.766653391994653	0.557015976357858	0.60826516610039	0.857822820784448	0.676404622408912	0.694312552507342	1	0.745617804097183	0.749742361421881	0.565650078299266	0.607345937946467	0.723766817421814	0.630973869216392	0.793643883656413	0.854993526806051	0.548339935271009	0.617719639691845	0.891963747808811	0.70093330967687	0.823178120638649	0.545636599567524	0.617153753909994	0.852797302607357	0.838198144423574	0.894253946615131	0.599577527863873	0.680947286784488	0.762327963111941	0.509832448081383	0.781197614260682	0.555528619624898	-0.438735115379026	0.188976222731104	0.567308558651774	0.676909900363532	0.555492716494154	0.268729031418908	0.536022813952229
CD226	0.856086999870221	0.834247730538587	0.553898613839223	0.711854742246554	0.754656601751522	0.834094893802583	0.905025510382749	0.709260019837395	0.752322845487949	0.749339782355083	0.854286467933724	0.67157346719324	0.665160715484386	0.821423693754906	0.624008251986658	0.642826594013399	0.745617804097183	1	0.833404036121207	0.568254486146331	0.611390010686215	0.636956407007157	0.603175979470747	0.613856736365636	0.682431743845608	0.286181296113421	0.561332805080576	0.816977910971154	0.462051806789547	0.769435602573528	0.708280591046323	0.779914958565591	0.92752417468115	0.80932442993438	0.844008194525794	0.3258314900897	0.691429444973905	0.829133572806873	0.134637606262081	0.757595273821111	0.571746232168613	-0.455296885796513	-0.230848083550048	0.40432978797853	0.407473827689471	0.277838392321824	-0.12022628473894	0.347967670285076
ADGRE5	0.874694840694074	0.902436152442652	0.56950183015731	0.882451498042391	0.929307233212868	0.890079286003222	0.84498896510029	0.823303203541624	0.894069258328254	0.860811552585593	0.903264946903283	0.846700330648747	0.902116815131874	0.844191417649855	0.803412407514903	0.800636051414383	0.749742361421881	0.833404036121207	1	0.770714408385872	0.774385297438694	0.773720434129641	0.600045297145595	0.601224406468884	0.732224118453365	0.496585197042275	0.338344171279909	0.808801722789028	0.349688274860853	0.805815722729659	0.813463139507919	0.718591299900172	0.917424928520344	0.796901708128968	0.78601619202437	0.387774761404802	0.711796241998908	0.77293971567057	0.24483662144901	0.848786610391844	0.574176552837731	-0.545627924342303	-0.161320235933007	0.361012845214754	0.467951498178624	0.178065277366576	-0.0228466111152919	0.381458350677684
PILRB	0.651693899962562	0.632320415366888	0.471064998348242	0.914398301522112	0.865020713705921	0.673462534373811	0.600680056443058	0.777715567460372	0.818915644335285	0.726251335264933	0.792409978346863	0.946949878226187	0.919546053951715	0.695023102052573	0.880100950054728	0.820271428897237	0.565650078299266	0.568254486146331	0.770714408385872	1	0.945265961381485	0.843580286440516	0.457607027145135	0.45283638661498	0.575744142094351	0.605800118437782	0.00597125727691546	0.678815984172136	0.127523728136807	0.735556247998161	0.894842077730843	0.391960677957475	0.701119732445771	0.563935755333351	0.712220251648764	0.427832953368607	0.675647670144871	0.601664978137343	0.358795452792114	0.786179790290066	0.268727456264043	-0.297244591326354	0.0359559085063113	0.348169094399829	0.361343311579815	0.0393128731011213	0.0655429975586215	0.32467296109705
TGFBR3	0.640577758279511	0.647482585758803	0.402748248239624	0.950671390839889	0.840200415855973	0.674678095578454	0.658620483944341	0.728693191773995	0.813971799941416	0.782223297503627	0.839172561668964	0.948839101036872	0.879741673973497	0.742524136190664	0.878301062632984	0.761478010923851	0.607345937946467	0.611390010686215	0.774385297438694	0.945265961381485	1	0.878176792919763	0.458163482480994	0.454005189029972	0.589405463697079	0.52392461024484	0.0833547178942394	0.693870961393846	0.154532860499535	0.77254375882775	0.907777802619527	0.371517839413921	0.752987583291766	0.625532677452632	0.739849719786007	0.385988223968592	0.677805867559274	0.663667765915544	0.36725530774866	0.84516681935434	0.28105054720464	-0.34456418772908	0.0152261725646961	0.33329446192274	0.336715110645327	0.0336887843057031	0.0392719052170037	0.336805155476569
IGF2R	0.533580774645601	0.582878452285131	0.22358654499867	0.912540883199901	0.78578726668277	0.660104736233769	0.647441138648613	0.607616931424779	0.70049956370308	0.695925971841513	0.765818649315368	0.857558149436438	0.819320118273478	0.707264712071562	0.855118709912165	0.791748410992896	0.723766817421814	0.636956407007157	0.773720434129641	0.843580286440516	0.878176792919763	1	0.25887460480356	0.54486831834785	0.761879702501658	0.699174971540061	0.116419483917601	0.695433039530051	0.225348476978386	0.760050365180122	0.811907838339455	0.428763952966984	0.74877387691081	0.554816982218295	0.803799344442971	0.559921086743007	0.800272107448453	0.799080365225021	0.643596279824443	0.926015588303469	0.395060416321307	-0.232111702237692	0.148687762019969	0.534289605988075	0.598061616849135	0.197782146857901	0.28958147881734	0.307932142022164
S1PR4	0.710186120932507	0.784885553614977	0.441301339038052	0.399127569906349	0.463439578721986	0.775197910838661	0.663787276310959	0.689622796375065	0.568864815785864	0.53375718614675	0.663085572116485	0.432926057925224	0.495182396053947	0.766482362161456	0.356967142255748	0.454318866572806	0.630973869216392	0.603175979470747	0.600045297145595	0.457607027145135	0.458163482480994	0.25887460480356	1	0.624236199595261	0.459136458870401	0.0919367685592666	0.680080381811152	0.764591008278923	0.662396875218156	0.715773858698112	0.409387662806019	0.56420185193708	0.684051689193508	0.824466596722646	0.595964930529839	0.119066382814404	0.193290914688231	0.288828910075803	-0.127893180286993	0.390612839607863	0.224793646847985	-0.641362314862561	-0.065042453418378	0.0798565200483751	0.096811920997175	0.272414367891782	-0.192647282580849	0.605905525866815
CD44	0.621570628539067	0.67087458696117	0.34971473424901	0.479213649868092	0.461800878601794	0.655792710721567	0.670643202843442	0.477412320908988	0.55624891771782	0.580559964265946	0.67123897180564	0.444682727779242	0.470945498341976	0.717305106340063	0.434496033165843	0.64939074164525	0.793643883656413	0.613856736365636	0.601224406468884	0.45283638661498	0.454005189029972	0.54486831834785	0.624236199595261	1	0.762357511385872	0.436223209678221	0.538899232725249	0.821433380886016	0.778976275272233	0.642300712469065	0.471322750767439	0.557470622517122	0.704954457256779	0.693516080830994	0.708590269748959	0.587948717396587	0.493529875342642	0.534640919195251	0.44864472525229	0.562369157222093	0.280966726448335	-0.497469169740558	0.408838003310924	0.451013128826244	0.672586452899615	0.48283585909057	0.452166678879652	0.525952068866129
SMAP1	0.556784089492362	0.655174593864066	0.193506209695277	0.664869937955411	0.617862222758793	0.75474500486302	0.704723960527538	0.503542491215184	0.55163849576557	0.561240492006278	0.696198172949249	0.607594167357995	0.660868529523045	0.785841422816387	0.606077043072596	0.719781458696803	0.854993526806051	0.682431743845608	0.732224118453365	0.575744142094351	0.589405463697079	0.761879702501658	0.459136458870401	0.762357511385872	1	0.565529849077927	0.486930737581644	0.830060076787407	0.64896500702141	0.814484008054839	0.556097987458999	0.568073542055686	0.770323906356465	0.679082857455699	0.802976038428751	0.606723602956574	0.603902197482278	0.734264001851145	0.55663303541098	0.791259393241265	0.492365642975429	-0.385467477735647	0.202155472720389	0.462357400156069	0.638767697497408	0.443526052165036	0.424408388979975	0.5823115261507
TNFRSF1A	0.241645609345838	0.306634935014118	0.114916946102109	0.539109997435098	0.489063147954502	0.356464329390101	0.248774884957345	0.364835407471905	0.414936551910037	0.398294943008315	0.402750839776293	0.530253356683571	0.551671845562079	0.338665084043565	0.611135918988158	0.757244238617433	0.548339935271009	0.286181296113421	0.496585197042275	0.605800118437782	0.52392461024484	0.699174971540061	0.0919367685592666	0.436223209678221	0.565529849077927	1	-0.133065641574879	0.417946568053736	0.276174722882408	0.422978564670916	0.475026627880663	0.160596362087492	0.393478429666353	0.271279502630681	0.546429903061871	0.809383025553504	0.62306801446492	0.522508215530621	0.756570105139151	0.553164653256169	0.2862144915077	0.0603777738449188	0.403783146598133	0.734014737987147	0.671542903809401	0.484617812368026	0.578242890770868	0.35802668836203
SELL	0.415127247630952	0.564322241378837	-0.0125457438120951	0.110716584250557	0.0689410069303237	0.596046740623285	0.641879756372656	0.201913561730813	0.190012658784168	0.251038145484234	0.428529448998277	0.0138649897913409	0.0791414043648729	0.683005420417206	0.00663466256306709	0.0777492781786926	0.617719639691845	0.561332805080576	0.338344171279909	0.00597125727691546	0.0833547178942394	0.116419483917601	0.680080381811152	0.538899232725249	0.486930737581644	-0.133065641574879	1	0.603936816346733	0.721429837523915	0.603542123675901	0.0076684048279303	0.661751360359023	0.580721416909944	0.693810960133345	0.509557789289919	-0.00894775552798442	0.13105589363963	0.354050424252054	-0.0499498284120478	0.35869885982674	0.347153298620869	-0.413714720710258	-0.158722688625792	0.11215498131387	0.0880176265760975	0.405052113355258	-0.186659085366918	0.461138162844612
TNFRSF14	0.796461349735562	0.836672844703412	0.449948348000533	0.712077531610226	0.714736776497353	0.842743440510693	0.8362415838454	0.699999924072167	0.709127910286417	0.71141409031358	0.836316884608244	0.689136591160037	0.713085215928124	0.91555717518964	0.653701991175625	0.74997028446472	0.891963747808811	0.816977910971154	0.808801722789028	0.678815984172136	0.693870961393846	0.695433039530051	0.764591008278923	0.821433380886016	0.830060076787407	0.417946568053736	0.603936816346733	1	0.681619010527551	0.877057925945952	0.696950488079683	0.674522268434117	0.911923249821445	0.871854785074421	0.876073981741857	0.491551165487904	0.633922185812201	0.723798658573922	0.288911012256366	0.766110739559799	0.50189850008902	-0.565821662769348	0.0958931288972341	0.457781759810471	0.55664131119282	0.434144690380831	0.140571754728891	0.563542797650583
RACK1	0.378212807052354	0.506259942083294	0.0603428709872681	0.149414707882016	0.160111945330159	0.551970006795496	0.4863729179878	0.310491191371661	0.203962314424268	0.261324356210994	0.381843159500699	0.113653756670434	0.168623059006027	0.58410430070692	0.103034662944887	0.364802485605489	0.70093330967687	0.462051806789547	0.349688274860853	0.127523728136807	0.154532860499535	0.225348476978386	0.662396875218156	0.778976275272233	0.64896500702141	0.276174722882408	0.721429837523915	0.681619010527551	1	0.542684379063582	0.110139021342856	0.434894037462055	0.521800650529337	0.615412428534082	0.538229647236312	0.494098197366827	0.20671212349572	0.350772713058137	0.30940328779268	0.333746935042113	0.255591699218925	-0.414293185848043	0.386056298396091	0.375054708464702	0.462170966339622	0.651317703778578	0.397581012401588	0.786632084201783
CD69	0.703398967952305	0.814421280772722	0.315918605957177	0.777227844010519	0.696882495268558	0.907266646317363	0.858456002807296	0.701142272652969	0.714442279794739	0.704395910425553	0.844808482981985	0.745715812520536	0.755711329032602	0.949871146384224	0.687751418220507	0.679768255322081	0.823178120638649	0.769435602573528	0.805815722729659	0.735556247998161	0.77254375882775	0.760050365180122	0.715773858698112	0.642300712469065	0.814484008054839	0.422978564670916	0.603542123675901	0.877057925945952	0.542684379063582	1	0.699041527888183	0.686563219016865	0.877655954345726	0.850629680747965	0.878793994913731	0.337924889577573	0.519000861551921	0.700141081095008	0.284970127217443	0.835416188686181	0.386358432173112	-0.490866022323329	-0.092664917112623	0.325172906425206	0.306815492051664	0.280771039928963	-0.019060578322201	0.590531683322834
PTGDR	0.773172427881396	0.687403065888351	0.673937514967939	0.929054912335834	0.919534568133203	0.668507634954026	0.711039318821575	0.786585691473517	0.888211061303174	0.844052427875807	0.844473376038439	0.963884325632691	0.871958809052898	0.687235054261167	0.874530669846154	0.790027668026792	0.545636599567524	0.708280591046323	0.813463139507919	0.894842077730843	0.907777802619527	0.811907838339455	0.409387662806019	0.471322750767439	0.556097987458999	0.475026627880663	0.0076684048279303	0.696950488079683	0.110139021342856	0.699041527888183	1	0.478628792908106	0.764472539999304	0.588216444909828	0.727869952664513	0.401826208758205	0.666219737291634	0.703183785407147	0.247311419821308	0.764759521416591	0.301264949467216	-0.399765683158701	-0.065867393920901	0.321145273672587	0.374052368918832	-0.0203415244620327	0.0198252585867273	0.273411133999186
SLC16A7	0.76935692963867	0.787570035122822	0.443450798344989	0.515993725513666	0.573508008844543	0.801298182586059	0.855136939597917	0.555374809265578	0.659530615063984	0.601168225785097	0.699206218928807	0.461043757430903	0.519539072909452	0.777083732992771	0.412903581534239	0.445498837207127	0.617153753909994	0.779914958565591	0.718591299900172	0.391960677957475	0.371517839413921	0.428763952966984	0.56420185193708	0.557470622517122	0.568073542055686	0.160596362087492	0.661751360359023	0.674522268434117	0.434894037462055	0.686563219016865	0.478628792908106	1	0.774355942457867	0.672456677615688	0.646768209697718	0.140495819193497	0.430228615458695	0.614134762566484	-0.0220022282905295	0.621557605193431	0.523737772443576	-0.472303119643104	-0.344181684060417	0.175216082440841	0.242564957894212	0.171354553203172	-0.200933298060122	0.358259455715387
PTPRC	0.886244610001197	0.928521235307209	0.50289496719465	0.830955054233334	0.808542034603853	0.896185755273858	0.949588362277859	0.739903502997471	0.842514643862272	0.863174408742015	0.939881100673852	0.759371278839564	0.774025397472922	0.946881338572269	0.72646524513032	0.726178232644934	0.852797302607357	0.92752417468115	0.917424928520344	0.701119732445771	0.752987583291766	0.74877387691081	0.684051689193508	0.704954457256779	0.770323906356465	0.393478429666353	0.580721416909944	0.911923249821445	0.521800650529337	0.877655954345726	0.764472539999304	0.774355942457867	1	0.912219620674247	0.880005487797694	0.398978434246248	0.732577646884384	0.8413396449219	0.250860163913003	0.877802783204368	0.575031242603056	-0.551150528345768	-0.132451016357504	0.444969382631658	0.482000959782851	0.318437379492963	-0.0461351689152259	0.437277453499349
CLEC2D	0.813188651473933	0.919916059275696	0.458066406991918	0.651175709763922	0.620708295658895	0.841433462391918	0.874462102910735	0.660889279321208	0.719605157417531	0.774785270949724	0.843235771893601	0.578340521040338	0.625500607304745	0.918545339985011	0.589274228848824	0.573458146485682	0.838198144423574	0.80932442993438	0.796901708128968	0.563935755333351	0.625532677452632	0.554816982218295	0.824466596722646	0.693516080830994	0.679082857455699	0.271279502630681	0.693810960133345	0.871854785074421	0.615412428534082	0.850629680747965	0.588216444909828	0.672456677615688	0.912219620674247	1	0.801128055512618	0.27645201359574	0.544836255112132	0.67438232576565	0.151648845537323	0.702523261844886	0.518993098872282	-0.564114678028222	-0.0869561146590228	0.325647724652135	0.364766450788919	0.343185963495633	-0.121035843581475	0.484962849834797
