""	CD2	CD3D	CXCR3	KLRD1	CD247	KLRB1	CD3G	KLRC1	CD8A	CD8B	ITGA4	KLRF1	ITGAL	CXCR4	F2R	ITGB2	ITGB1	CD226	ADGRE5	PILRB	TGFBR3	IGF2R	S1PR4	CD44	SMAP1	TNFRSF1A	SELL	TNFRSF14	RACK1	CD69	PTGDR	SLC16A7	PTPRC	CLEC2D	TSPAN14	CD81	LPP	PTPRA	CANX	PTGER4	TSPAN5	EGFR	MCFD2	SORL1	LAMP1	CD74	CD63	C1QBP
CD2	1	0.939346755858996	0.801060377855653	0.730032061138644	0.824847149919319	0.824561418291122	0.89014147536869	0.818535941268511	0.914400678385814	0.867899234687971	0.885870151295149	0.735085351520785	0.749121862515107	0.803057669323606	0.681312778781666	0.687095696496762	0.646036537427949	0.856086999870221	0.874694840694074	0.651693899962562	0.640577758279511	0.533580774645601	0.710186120932507	0.621570628539067	0.556784089492362	0.241645609345838	0.415127247630952	0.796461349735562	0.378212807052354	0.703398967952305	0.773172427881396	0.76935692963867	0.886244610001197	0.813188651473933	0.718644958144407	0.274466057452393	0.559890397138048	0.636328464725724	-0.0441998870396116	0.650748338717674	0.49150508151984	-0.628691707024962	-0.258239993978349	0.226527661972579	0.326246899605376	0.11053107031079	-0.179096027268288	0.34208603538713
CD3D	0.939346755858996	1	0.614448851843492	0.737057974918786	0.767458405181771	0.906001157889283	0.923652438998366	0.796962514736411	0.876479911132165	0.876144651976023	0.899840364911228	0.69010054573377	0.741464340990985	0.899121718029163	0.655120812205548	0.653968022531817	0.762238649249243	0.834247730538587	0.902436152442652	0.632320415366888	0.647482585758803	0.582878452285131	0.784885553614977	0.67087458696117	0.655174593864066	0.306634935014118	0.564322241378837	0.836672844703412	0.506259942083294	0.814421280772722	0.687403065888351	0.787570035122822	0.928521235307209	0.919916059275696	0.760250407255627	0.271219452978879	0.539808895729954	0.657546890741775	0.0767321227785312	0.726558314261905	0.504298477210739	-0.653508845635507	-0.200252326502512	0.249204662149979	0.346571342355476	0.192731723369708	-0.140782873197366	0.469652691836259
CXCR3	0.801060377855653	0.614448851843492	1	0.4591101877238	0.641477952434675	0.436156374787039	0.544370925174122	0.61940172470571	0.742073552741163	0.667880515558806	0.594682192944611	0.563402380222204	0.528208141083834	0.385710386575097	0.52764684513576	0.52402246338221	0.254220775033806	0.553898613839223	0.56950183015731	0.471064998348242	0.402748248239624	0.22358654499867	0.441301339038052	0.34971473424901	0.193506209695277	0.114916946102109	-0.0125457438120951	0.449948348000533	0.0603428709872681	0.315918605957177	0.673937514967939	0.443450798344989	0.50289496719465	0.458066406991918	0.402977026019848	0.192773826554473	0.301220726049077	0.329424849284544	-0.23762851878908	0.223723090467621	0.238603104971078	-0.434084336497011	-0.250293616002418	0.0558743511925622	0.164081989399939	-0.0897452650603098	-0.173230608759384	0.0807345161577532
KLRD1	0.730032061138644	0.737057974918786	0.4591101877238	1	0.924426661191718	0.747419363521558	0.750083104599779	0.760826512807615	0.883868804311723	0.856556400674187	0.883511296595244	0.963292549508775	0.927093865361197	0.776868714603039	0.892766877916293	0.789183924440019	0.640278118908014	0.711854742246554	0.882451498042391	0.914398301522112	0.950671390839889	0.912540883199901	0.399127569906349	0.479213649868092	0.664869937955411	0.539109997435098	0.110716584250557	0.712077531610226	0.149414707882016	0.777227844010519	0.929054912335834	0.515993725513666	0.830955054233334	0.651175709763922	0.758446375490592	0.401264309250712	0.747423859333996	0.767544343958913	0.375229498472611	0.91844860026242	0.393279232356356	-0.401278982868756	-0.074825341131268	0.35639434861937	0.422709570292229	0.0272797487200742	0.0391531511679279	0.297624225481493
CD247	0.824847149919319	0.767458405181771	0.641477952434675	0.924426661191718	1	0.777159478518935	0.717213811578399	0.868656745185635	0.896021200724162	0.808813891300914	0.839887361795652	0.942588046544481	0.955076914040742	0.708693484512818	0.851382871479649	0.826124726429757	0.579399062836803	0.754656601751522	0.929307233212868	0.865020713705921	0.840200415855973	0.78578726668277	0.463439578721986	0.461800878601794	0.617862222758793	0.489063147954502	0.0689410069303237	0.714736776497353	0.160111945330159	0.696882495268558	0.919534568133203	0.573508008844543	0.808542034603853	0.620708295658895	0.703196498937429	0.383807315561509	0.699776413718586	0.704989765731924	0.200845322264558	0.800405090809019	0.457548816360512	-0.487407693043144	-0.142099878271952	0.303039288021974	0.417274445472866	0.0232741835581459	-0.0136948982977527	0.296444293889595
KLRB1	0.824561418291122	0.906001157889283	0.436156374787039	0.747419363521558	0.777159478518935	1	0.872145276511253	0.830687175448269	0.788534438776459	0.732868248046791	0.852084365503047	0.72138514531912	0.796057334853457	0.913422813595869	0.6276660659926	0.682046960059312	0.763562082143117	0.834094893802583	0.890079286003222	0.673462534373811	0.674678095578454	0.660104736233769	0.775197910838661	0.655792710721567	0.75474500486302	0.356464329390101	0.596046740623285	0.842743440510693	0.551970006795496	0.907266646317363	0.668507634954026	0.801298182586059	0.896185755273858	0.841433462391918	0.788351837446818	0.276105632272775	0.498157397800519	0.656086607994872	0.135217079331033	0.78081633180899	0.420289710072763	-0.626631428612967	-0.169934651484937	0.2399660228113	0.306470859946728	0.221905716031467	-0.0806313449033203	0.573466813468786
CD3G	0.89014147536869	0.923652438998366	0.544370925174122	0.750083104599779	0.717213811578399	0.872145276511253	1	0.685943942318178	0.830562854613201	0.851701889227976	0.908966588045068	0.689214106430593	0.66839112359909	0.924100173138615	0.641724956717073	0.609600570772614	0.774445353913856	0.905025510382749	0.84498896510029	0.600680056443058	0.658620483944341	0.647441138648613	0.663787276310959	0.670643202843442	0.704723960527538	0.248774884957345	0.641879756372656	0.8362415838454	0.4863729179878	0.858456002807296	0.711039318821575	0.855136939597917	0.949588362277859	0.874462102910735	0.843368807181679	0.271455291243305	0.582962174359866	0.765885700246885	0.126802455397571	0.800060062708657	0.500166943797696	-0.554907742465596	-0.266375186005249	0.288360026525231	0.332787553601969	0.196821547778995	-0.137422071037963	0.418820976876109
KLRC1	0.818535941268511	0.796962514736411	0.61940172470571	0.760826512807615	0.868656745185635	0.830687175448269	0.685943942318178	1	0.816664601687459	0.716885558898933	0.750267069592265	0.823834401543271	0.84003070799601	0.683285671786378	0.689417519616371	0.726439704134684	0.536880237970217	0.709260019837395	0.823303203541624	0.777715567460372	0.728693191773995	0.607616931424779	0.689622796375065	0.477412320908988	0.503542491215184	0.364835407471905	0.201913561730813	0.699999924072167	0.310491191371661	0.701142272652969	0.786585691473517	0.555374809265578	0.739903502997471	0.660889279321208	0.666267967206928	0.262230721972289	0.463489329983698	0.500512334002497	0.0282203074100881	0.633329374844332	0.270474248834371	-0.568309320073477	-0.130706052237283	0.166249290356169	0.247597774966735	0.0117776058623671	-0.0953354376778241	0.467482894173687
CD8A	0.914400678385814	0.876479911132165	0.742073552741163	0.883868804311723	0.896021200724162	0.788534438776459	0.830562854613201	0.816664601687459	1	0.937787017108526	0.93179695995042	0.881846519133652	0.872763869929828	0.777346745341977	0.818088811228325	0.775395655453181	0.597017405788165	0.752322845487949	0.894069258328254	0.818915644335285	0.813971799941416	0.70049956370308	0.568864815785864	0.55624891771782	0.55163849576557	0.414936551910037	0.190012658784168	0.709127910286417	0.203962314424268	0.714442279794739	0.888211061303174	0.659530615063984	0.842514643862272	0.719605157417531	0.71267524644771	0.346886433945278	0.614256126411525	0.640575263002133	0.128182290377439	0.751535132128175	0.362616164055417	-0.555812795789317	-0.202226580160734	0.256795903073995	0.343243631698071	0.0161468434538316	-0.0847930945773452	0.285727208137952
CD8B	0.867899234687971	0.876144651976023	0.667880515558806	0.856556400674187	0.808813891300914	0.732868248046791	0.851701889227976	0.716885558898933	0.937787017108526	1	0.908318916058997	0.808785207079281	0.752728632633357	0.782805982888887	0.754389220618411	0.687844633302199	0.640092048527322	0.749339782355083	0.860811552585593	0.726251335264933	0.782223297503627	0.695925971841513	0.53375718614675	0.580559964265946	0.561240492006278	0.398294943008315	0.251038145484234	0.71141409031358	0.261324356210994	0.704395910425553	0.844052427875807	0.601168225785097	0.863174408742015	0.774785270949724	0.701856606744165	0.350621081241358	0.637493935976553	0.717854479207391	0.217932401941511	0.75599405940741	0.366250211418907	-0.507630926212472	-0.140276406034339	0.326076760334526	0.395500185645202	0.0734443078322222	-0.038254377323097	0.290628127691181
