""	SIGLEC10	CCRL2	CCR1	FPR1	CD68	TREM2	C5AR1	ENG	TNFRSF1A	CD33	ITGB2	LILRB1	KCNQ3	CD163	TFRC	LTBR	CD86	KCNQ1	VSIR	ADGRE2	IGF2R	CD3D	CD3G	CD4	CD93	CD2	CD8B	CD8A	SDC2	PTPRC	PTGER4	HLA.DPB1	TLR4	ITGB5	CXCR4	TNFRSF1B	HAVCR2	CD44	CD74	ITGAM	SORL1	LRP1	CD69	STAB1	RHBDF2	LPP	ITGB1	ITGA5	SELL	C1QBP	ADRB2	KLRB1	PLXNB2	ABCA1	CD226	AXL	THBD	GPNMB	ADCY7	UNC5B	C3AR1	APLP2	SIRPA	PILRA	NRP1	CD81	SEMA4C	TLR7	TNFRSF14	NECTIN2	TLR2	COLEC12	IL6R	NRP2	TLR1	NOTCH2	C5AR2	RACK1	EDNRB	SLC1A5	TRADD	TNFRSF12A	MCFD2	NOTCH1	TSPAN14	SMAP1	CANX	ITGAV	S1PR4	CXADR	ITGAX	TNFRSF21	ADGRE5	CD63	RXRA	PTPRA	TSPAN17	CD46	CADM1	CD9	SORT1	SLC16A7	SLC16A1	CD47	IFITM1	SDC3	NCL	PTPRZ1
SIGLEC10	1	0.769081865893787	0.880387962543491	0.831212105616284	0.658231413573224	0.894110945647653	0.773724014825078	0.797497431376424	0.648320997154909	0.90162596645529	0.93062954778941	0.882882020904893	0.9085669811478	0.92333139602876	0.678891777662218	0.926656383836271	0.878920915016048	0.580573942089126	0.853046009124605	0.79463183990491	0.271195721261806	-0.302665672611368	0.0811441837279812	0.637398859470177	0.728027151106541	-0.136933333466738	-0.0669318510958558	-0.0961528517786198	0.74753216969269	0.463810045637097	0.771208147117703	0.871890958472873	0.481391927225561	0.0414395970984777	-0.1280134791662	0.775575806733974	0.966945445739873	-0.0411791596824333	0.928342986579215	0.83183653063506	0.896882252666523	0.255920602907412	0.269376786538242	0.864493485907853	0.845508182869096	-0.0491535138323464	0.198735871754614	0.255872000865571	-0.332046311903401	-0.0345122318837693	0.837273749885291	0.0715761715066438	0.189844277589296	0.349083253079465	0.706813275273024	0.988623737613056	0.462337850455956	0.333829698924958	0.872897289458249	0.965943485910648	0.815862769391066	0.223042490097815	0.826030052290559	0.261963492228922	0.879913438605226	0.487264330089136	0.760606992954025	0.924556748025536	0.345347679320931	0.634165468658354	0.408781545053518	0.429963493249164	0.73299041504358	0.722533980213572	0.897949940377382	-0.319222319745062	0.524581416829662	-0.0795488171758635	0.226364782402781	0.39878295801344	0.294786813757391	0.107227207743785	0.0755744258688269	-0.253043004515349	0.672446150643772	-0.219899192621633	-0.0352787950236438	0.250304812074461	-0.215565775484861	-0.10976414622785	-0.0536501427453399	-0.102226736137406	-0.368372276914354	0.0942710399527494	-0.159580319569638	-0.224220782451912	-0.0486626396321482	0.193542945325335	-0.0714275778096227	-0.226710615137261	-0.161751620929595	-0.398068960001369	-0.0291712404403577	-0.24394023861869	0.0397389488824923	-0.10264858481794	-0.158906760881441	-0.254396388763395
CCRL2	0.769081865893787	1	0.569591601337908	0.665125920034496	0.251132267954688	0.578393045220731	0.48807659074639	0.445374555996709	0.327988887959822	0.704274698300713	0.659377839263307	0.759864857029399	0.621727333945637	0.584573306391858	0.669659660403852	0.806210822141211	0.73839301390197	0.179530174199794	0.833062177072531	0.900135891993961	-0.0697657708867528	0.000981641381654171	0.201739098752413	0.232175851484619	0.353257099950896	0.217156446438217	0.101093492921523	-0.146734760452426	0.439303088626063	0.6357342050577	0.905041995083294	0.841451967033815	0.426140314435371	-0.184157199830304	0.118188415121439	0.810385621441187	0.772144704236554	-0.12470090079267	0.792541984374816	0.530383412947064	0.848959769872413	-0.02182604577807	0.382875727998122	0.511491962763604	0.806900941640721	-0.144472005405761	-0.014307552727947	-0.17391220525049	0.0158664924088564	-0.204520599194031	0.717579821380063	0.394563563403788	-0.153298839426755	0.139639011342075	0.611496999013344	0.767137245301153	0.131517679174687	-0.0618213604189769	0.721683461200174	0.79767923304098	0.458916313290673	-0.100155910582354	0.491452386687803	0.0118848836618306	0.557547980367081	0.162949675644489	0.518478154340174	0.728384888904853	0.0892722722342208	0.332151540048242	0.498999273607364	0.0256680146308444	0.610919244054383	0.397225946782653	0.850076338148304	-0.372429263648205	0.494943245602964	-0.134438562857301	-0.117423152582995	0.240561154957876	0.287101256354029	-0.0857466433616671	-0.132994356468815	-0.358901370716543	0.645085536245207	-0.249743700774362	-0.206347774382486	0.070505813715162	0.261029532830161	-0.199382458841526	0.296270495542692	-0.252126030236775	-0.261544998663557	-0.154338378858573	-0.326568280313665	-0.324406907538951	-0.297367144926372	0.175900986396332	-0.267771762181309	-0.321789388287751	-0.229889542929541	-0.433363633039195	-0.106327828395398	-0.313045884022829	0.174238052933417	-0.267288434847492	-0.204415252303971	-0.305287971924645
CCR1	0.880387962543491	0.569591601337908	1	0.837725551125721	0.850967793579321	0.859257000765438	0.899233185100231	0.847821915224617	0.521467196289901	0.706388334982436	0.881157845854324	0.753264844634665	0.92223042321771	0.952227424671338	0.42956337374823	0.709291596218685	0.794093205978646	0.865024708096036	0.625569021910248	0.52901089524456	0.458488044101234	-0.247694685068586	0.156333543812408	0.843510288923965	0.920335509348656	-0.163999906278763	-0.0176113927327183	0.182679257018984	0.720121220586179	0.4360229491546	0.509436094721171	0.651053251198347	0.556931843497843	0.0713938824342475	-0.0793045498084198	0.635776981373326	0.837398352320847	0.261748049350263	0.75490419004168	0.928060339033397	0.675783740616733	0.229678734695405	0.249009210261746	0.93061238972926	0.634782370537036	-0.160050309419345	0.124839042760554	0.481912067366342	-0.218273348931765	-0.0432284155064457	0.751509335676694	-0.00985099863562674	0.296103227185067	0.215144075992895	0.577329080249133	0.884498562312548	0.644890226064069	0.581314376452433	0.780170433758399	0.771270583304239	0.936717769572778	0.256449272371712	0.814614096112195	0.57613505425082	0.886966000280657	0.452531182283931	0.575640442958822	0.835791398598737	0.521166039841683	0.652351137619371	0.323856105720304	0.625722655612737	0.598442152517921	0.763713225844186	0.622831294562481	-0.346909455928557	0.590037158442301	-0.199692611860773	0.459241134137476	0.356550482119109	0.232557310041647	0.0681500673427008	0.0500565367737848	-0.280658875580002	0.39906644539255	-0.336366819443136	-0.10332496768874	0.0820900945682139	-0.289960484361609	-0.25052061228957	-0.282502462372657	-0.127577563162435	-0.321733252919147	0.0553049028908475	-0.115127774698565	-0.322932749250819	0.115760232151879	-0.0532691367287545	-0.14179800234244	-0.345058229910657	-0.276184722265453	-0.405182209301798	-0.231286569789574	-0.327442680953974	0.0802598984894528	-0.132077227571794	-0.27331254926399	-0.3643056589159
FPR1	0.831212105616284	0.665125920034496	0.837725551125721	1	0.590411799471915	0.83937154371227	0.755828188374324	0.641471592571492	0.403678665367375	0.83044565498568	0.944629308920878	0.828659603180034	0.722501705331726	0.860528946293969	0.373293242765715	0.62647343826671	0.651346778953349	0.594241295934556	0.822612322705166	0.669958158323583	0.152280700542014	0.0526927839500069	0.386555999433833	0.580438760753027	0.779195143245698	0.120863989909051	0.181125545257135	0.205316822578528	0.471974148265107	0.611868130777819	0.69165878334794	0.66380430322204	0.577445317785025	-0.103954551369108	0.172011834161093	0.858535947668245	0.757171447141692	0.0808045825035972	0.784969512021307	0.832469600784293	0.732642484487502	0.0258170929561067	0.458445018079454	0.760425070753523	0.538274221846976	-0.290598393240908	-0.053977599357269	0.234350220977925	0.107361870383755	-0.206433075971533	0.879479427290694	0.239794284832679	0.100210400547967	0.00473702206401755	0.665440655015312	0.782996944647765	0.424055525248173	0.284020412822395	0.937616575465053	0.761421791619484	0.726973781588155	0.0402227091314681	0.807298477124088	0.420078989878007	0.735634781422149	0.286569338748622	0.534360827534351	0.831917248164802	0.333089766335524	0.544636340574304	0.327015675446014	0.370355208316635	0.503957459865073	0.544051674733438	0.671125433405707	-0.432942662264484	0.420433395023787	-0.300238000671696	0.155395393773112	0.198967611533549	0.281890690550132	-0.125706704490085	-0.11507945342015	-0.362505262157307	0.438615033363507	-0.384792687598211	-0.268391355918117	0.0117111448348429	0.0673491507492932	-0.30775970722762	0.0289753932200095	-0.281418297024738	-0.208528656407712	-0.0927079136900423	-0.326388234874848	-0.403103770780676	-0.152212965131255	-0.158552193077229	-0.24035987623334	-0.423041952753041	-0.383357805671137	-0.48872452518208	-0.323075676455861	-0.391937699059836	0.254756291500024	-0.268003194134188	-0.341361877609374	-0.429288874284882
CD68	0.658231413573224	0.251132267954688	0.850967793579321	0.590411799471915	1	0.586002548913322	0.858744830710591	0.941693514360494	0.591805912528073	0.405388028336933	0.679637982982483	0.351890240195061	0.854267411341229	0.862959499546025	0.454381386037784	0.540100537499802	0.60578759361898	0.836907298465016	0.256054630379771	0.217220274401811	0.810395499860379	-0.38228781192799	-0.0349905573812422	0.990470379243575	0.942161336244025	-0.377778432266264	-0.159609269361369	0.14333723098185	0.723537229764116	0.218196759421737	0.152120040570993	0.30677315428339	0.660985261411732	0.349681051795889	-0.290875427104767	0.333540313819486	0.606589800294223	0.498712972301715	0.410534104629578	0.905598559510617	0.348460008494555	0.397691021016311	-0.0520052340820176	0.93792890723663	0.482291060219704	0.0327780748134068	0.324631758599859	0.815990427125102	-0.316201061977561	0.197773685519453	0.436510300039987	-0.316896991127998	0.632056191710961	0.509365358979748	0.165045951506624	0.663911483250757	0.885370019727493	0.903711060850934	0.459138406973617	0.505162635243175	0.944779497584773	0.506072893497525	0.618033123635196	0.722408335293422	0.894562992947588	0.552133006813881	0.43980041008237	0.504641585763575	0.795199124877447	0.697880512608814	0.417081285340587	0.92957479361827	0.633137250435843	0.905036264441711	0.304899300264964	-0.0080840898841816	0.741068304977157	-0.0125718170701675	0.839393266434435	0.659429257963935	-0.0381918661692877	0.323595426366119	0.303674085762832	-0.0430513109444816	0.202590500015116	-0.126203477703933	0.155589815901562	0.122306776218006	-0.476550916030153	-0.110557078907652	-0.536254539084516	0.14849280523573	-0.225771388560707	0.276990981753549	0.303857049624062	-0.101509351996123	0.430793407772965	0.0689593138787913	0.0610571413390186	-0.12785381738117	-0.049936035231958	-0.14210467546627	-0.0401600967068196	-0.105618103470188	-0.124345904658861	0.119756094717998	-0.0814877807495719	-0.180718854589609
TREM2	0.894110945647653	0.578393045220731	0.859257000765438	0.83937154371227	0.586002548913322	1	0.656798951820417	0.647857296075976	0.493199597557504	0.895903652953869	0.912135558805107	0.902805601053639	0.751172132906837	0.846461408579907	0.337899347958197	0.703559480904449	0.767862748914064	0.651231117874263	0.794486147559141	0.580856504502752	0.124419778545335	-0.256080655971954	0.145002489894113	0.571875687083081	0.703552034573913	-0.140122436278722	-0.0137712401443036	0.0344343283443532	0.596639060750503	0.32515811530145	0.602550431146796	0.803246805022394	0.280272161994079	-0.0681162092585694	-0.0720037156003698	0.677193545550052	0.845887380969202	-0.153796844469805	0.917954980234102	0.71724980530748	0.767509130551782	0.165248982007695	0.298947909676816	0.751000076026085	0.609874604201663	-0.175544588003531	0.071740463503738	0.203872361377788	-0.299408520749072	-0.120232141356455	0.77617099088145	0.0739103726916031	0.0781811596849706	0.0634717774725056	0.820651681566076	0.88583575515683	0.293437589677645	0.225870934106791	0.858135044245105	0.829453671697931	0.778781543517424	0.128221884099255	0.883692158658901	0.297019847950532	0.741803205453879	0.389634098151274	0.664176946590261	0.955167238050737	0.17935576310146	0.503541955524452	0.100181326099712	0.305173940324939	0.425471490089764	0.52409794160109	0.773132211457992	-0.446623231308656	0.211242532529901	-0.200968071306699	0.109064170338826	0.119970104540399	0.325435101767438	-0.0477459762269176	-0.0551964192618528	-0.295932068923387	0.461156560635519	-0.319259241453994	-0.165920613549323	0.1708198631567	-0.279351907518748	-0.170590806188781	-0.0755504490638902	-0.225340696980464	-0.39624375184209	0.0197561428367511	-0.337593711953452	-0.28958224870965	-0.100722078224103	-0.0238998047419506	-0.133823811615556	-0.299080124521342	-0.288283694662079	-0.461094155324036	-0.20059792116541	-0.322559321349218	0.0969738332188259	-0.18419976062158	-0.264336507574298	-0.313514514636174
C5AR1	0.773724014825078	0.48807659074639	0.899233185100231	0.755828188374324	0.858744830710591	0.656798951820417	1	0.825551585536197	0.480966019019669	0.579376760237166	0.792784638778676	0.602553565536232	0.887027182312416	0.896374790144525	0.479561373777357	0.641735050092839	0.674059257627486	0.813983268011749	0.518833696112895	0.450792831055333	0.519423413416182	-0.219564586937618	0.114147957595799	0.824080058253966	0.897144001761171	-0.159174771462093	-0.0184356208670446	0.170692118569786	0.767621284084561	0.438997112685104	0.434240504759608	0.516401077821058	0.621346034578199	0.0888208026516711	-0.0489681837622236	0.636333546107539	0.704951676000945	0.440864688273503	0.586789358440749	0.941295187322728	0.585906534568423	0.197897679263503	0.206573368698503	0.905597482696112	0.588953333749937	-0.155729406226348	0.102799679744437	0.550174833126282	-0.151373847612115	-0.0377725801928087	0.716875168646066	-0.0519643073584774	0.317057646534776	0.330672522585285	0.401115542210412	0.780458818217607	0.828819206955311	0.710958981974012	0.66536603761035	0.691927808383535	0.846556289673833	0.254021094159392	0.740031227051357	0.727413781925751	0.866519341540529	0.404401104176438	0.470358112975343	0.627238627361764	0.566281619304359	0.703490379255158	0.518477946729793	0.71226160872001	0.610359598792201	0.795115220538379	0.510923565229734	-0.27784263290615	0.727686911219472	-0.178448472557411	0.528540989006784	0.433519788986557	0.0891335458569217	0.0838445215559662	0.082732642471293	-0.27148621385681	0.342464698237009	-0.312901195844391	-0.0740418196604221	0.0142275523675629	-0.238356372038716	-0.288135798488368	-0.16925655287087	-0.0856772464341943	-0.227737919185803	0.0517155267936669	-0.0368748154158487	-0.316426595747024	0.137939382803757	-0.0968571107120515	-0.136059692465234	-0.31577892625752	-0.247904641211094	-0.373259484051388	-0.201892536903655	-0.31896343665891	0.0619629259525485	-0.127326203899265	-0.26217997776974	-0.373126106100591
ENG	0.797497431376424	0.445374555996709	0.847821915224617	0.641471592571492	0.941693514360494	0.647857296075976	0.825551585536197	1	0.770562062057811	0.562284661351051	0.763130077940696	0.468506649863266	0.922524466219387	0.91187136295732	0.695018575648988	0.747734879484445	0.708757172357784	0.703019707151161	0.436663643011382	0.442215246714318	0.769695913496339	-0.425664770445055	-0.0618289066408423	0.935979101761827	0.881691687784515	-0.356692706441996	-0.175824981851141	-0.0201870282998161	0.782881912805666	0.290089584125243	0.371033633127927	0.488108717841868	0.7177037398645	0.430768700604991	-0.33312004573652	0.467540246938182	0.753699204130927	0.354205843620129	0.565288125879619	0.906593116950525	0.546198847952708	0.513782069554724	-0.0267837171121381	0.965037606198873	0.678832784610168	0.185776269005091	0.467882548576696	0.748512409785006	-0.396465811503605	0.291717140586938	0.537473598092983	-0.256419176783223	0.657746476467826	0.644637308584476	0.262471121607027	0.788719316979971	0.797471220695568	0.785133255235323	0.567904420801162	0.686202552715558	0.93788403878388	0.582854692950135	0.657951625485847	0.507195441313769	0.956087895229279	0.682186044319165	0.65016722801688	0.612702551426525	0.774107290705661	0.774845791722379	0.500396622060367	0.866362922152268	0.797870134332819	0.95773200074631	0.525281471166504	0.0753526304717675	0.774657535810759	0.136176275545372	0.760942420181014	0.766634080657974	0.0620225375000448	0.447265715604923	0.408711451263409	0.0468679787551328	0.462525481000798	0.0189811662376577	0.274531566220363	0.318845494140307	-0.428722201497718	0.0533565389796693	-0.459184033237007	0.244573480352574	-0.214099090936049	0.387177736890462	0.341377512366163	0.0221196431517222	0.411567037209421	0.311309204145737	0.176728396406765	-0.00368961755836259	0.0937827772556018	-0.0786253469759452	0.15001980339552	0.0177952589789053	-0.141284006918451	0.222373478829924	0.0677659097295515	-0.045589919408313
TNFRSF1A	0.648320997154909	0.327988887959822	0.521467196289901	0.403678665367375	0.591805912528073	0.493199597557504	0.480966019019669	0.770562062057811	1	0.530884662613644	0.546514187099924	0.379285334693989	0.688020177311784	0.644244593812347	0.750832479193456	0.686209774983993	0.48032480715531	0.354864731540979	0.407391171674589	0.409481662740098	0.639563416534299	-0.517062129727149	-0.234990792572172	0.603168234215188	0.502869345221761	-0.419822125828101	-0.308105028311569	-0.334082005984042	0.738752507282599	0.0445210520196008	0.327152059327678	0.490525243740615	0.619273753991416	0.749283353759405	-0.4610261167899	0.316455056818007	0.598975341353355	0.147778675687704	0.510683456216185	0.554036521234747	0.530409109095806	0.856438033765971	-0.183258866990823	0.639963457194024	0.561270354683184	0.679609896948257	0.839484264750801	0.641887253251607	-0.488620330721456	0.699148154876367	0.450250206348466	-0.296427814385693	0.755283152721806	0.77535643908631	0.232828821307121	0.61613502055401	0.401029038808682	0.451203572584305	0.448655613889528	0.659574215446765	0.594993666990612	0.849702382279163	0.601053503612054	0.0577361930662629	0.656101761467324	0.943603960331287	0.90591564672846	0.493682705045159	0.583479144004837	0.805257668297079	0.247995475249629	0.610824062013335	0.656872218858521	0.71255229233968	0.516432704461234	0.477989455120494	0.458415767755334	0.647212947350723	0.510801228591607	0.70817134746333	0.258601228890257	0.800609448557133	0.785254219268726	0.535028005345509	0.763434461733313	0.555144822922008	0.718808423294749	0.826232424868944	-0.427156927215689	0.6175847342133	-0.337924861094956	0.669478834181389	0.0788123012854847	0.803059580849943	0.538086960161451	0.56223277790579	0.598739832896547	0.71828153064398	0.684238992283502	0.556348688508625	0.606729264073958	0.342332482206932	0.681888361751075	0.544621558248613	-0.298652916481641	0.664300952408056	0.596515368564553	0.509030401018616
CD33	0.90162596645529	0.704274698300713	0.706388334982436	0.83044565498568	0.405388028336933	0.895903652953869	0.579376760237166	0.562284661351051	0.530884662613644	1	0.910250918677609	0.906112177320225	0.682734527940763	0.782556812291517	0.500168600323827	0.779210656544828	0.692104368556211	0.384923477184956	0.902254863992421	0.736228552198669	-0.0431582660856907	-0.207558773970995	0.137008324925429	0.37112550754274	0.539955906658969	-0.053575008940701	0.00856584685744373	-0.14938008498537	0.577657975235185	0.382508591951457	0.780483903787537	0.851217766416283	0.276927468815198	-0.10658323655215	-0.0501755946727501	0.827065741030921	0.835929222696177	-0.298717493816785	0.930975010272959	0.632078026105927	0.863516433714631	0.107936380775842	0.316413209094332	0.655193664569004	0.680849006142468	-0.136094539614416	0.071917802510108	0.03582448361763	-0.275162312789307	-0.146494283688568	0.856209103768899	0.161741686261288	-0.0262189252896608	0.152269112426889	0.802242055765999	0.861049221945395	0.204731068242357	0.0757750454253335	0.8986795306615	0.910298424375052	0.604054386072599	0.0552953360502749	0.827022207262661	0.111792122407138	0.694109448136975	0.345896106900823	0.729950168109231	0.896161399636358	0.0466676120175741	0.479716467227049	0.237694456936409	0.163066056657783	0.50866191718399	0.475170362830431	0.897649478268597	-0.403082091148679	0.240987574224857	-0.137950378046543	-0.0694167982981504	0.154862318448479	0.275530010187269	-0.0525752455610122	-0.0609996346898113	-0.292530192593759	0.613642484243229	-0.23825800663976	-0.147535917715707	0.226862243542799	-0.119130058300378	-0.100523186031035	0.116927103841975	-0.221403300737293	-0.36758116833408	0.0113339431265708	-0.379755027852195	-0.24183033597609	-0.254107985888558	0.0828493858913397	-0.109206147415538	-0.229687994146971	-0.218848546009267	-0.482542622802751	-0.0692251456609971	-0.273438953746132	0.0909864445327719	-0.195017296466554	-0.192547938641686	-0.25303919135678
