""	CD44	ITGA4	GPR171	PTGER2	CD6	ITGB1	CXCR4	CD2	CLEC2D	TNFRSF14	CD96	TNFRSF1B	S1PR4	RPSA	CD3D	CD3G	VSIR	ANTXR1	CD8A	CD247	ACTR2	PTPRZ1	CD8B	SORL1	CD46	F2R	CD74	ERBB3	NCL	CD47	PTPRA	ITGAV	JMJD6	NOTCH1	CNTN1	LRP1	KLRD1	CXCR6	ROBO1	TSPAN5	HLA.DPB1	ATP5F1B	SMAP1	PDGFRA	THY1	HAVCR2	CANX	PTGER4	CD81
CD44	1	0.971469117254103	0.993994285063238	0.979750251623998	0.977980441439312	0.640470648508341	0.96418272548813	0.993318138304058	0.979737050193806	0.938361993871861	0.991284216157391	0.376615471264633	0.987215669621648	0.210069112871306	0.995586233237722	0.995099106672425	0.0177418087434805	-0.115906376683602	0.983284255579029	0.977712981197736	0.0539085197512766	-0.310624120037412	0.983230335927314	-0.146533118313821	-0.0160127182018349	0.88511337475607	-0.0425526504948533	0.0753618086000469	-0.0102750184517833	0.418038619050558	-0.021173742906884	-0.2602318489153	0.277379603556508	-0.423845000414082	-0.227606972399929	-0.427620695337778	0.950328019907484	0.980196210519816	-0.285257895038278	0.438214902851456	0.133693386078366	-0.187713912289072	0.167668024750715	-0.276138568515699	-0.363819716354671	-0.0183290381584682	-0.29172557153378	0.925791424823657	-0.16829540683035
ITGA4	0.971469117254103	1	0.97281289240957	0.97208910218288	0.93449569475225	0.658383535832974	0.975274078216148	0.969752718821096	0.960239620595002	0.921654976723073	0.965273837257914	0.472955694383387	0.97321899744732	0.209325139578467	0.961927461796304	0.967415709139759	0.144089806119539	-0.153284972111769	0.9446912405053	0.959188442298623	0.109486556017288	-0.338526583682352	0.938518369302401	-0.0390236404311143	0.00760874002714559	0.821759855287176	0.0817581501802129	0.0361890131175291	-0.0209938816599328	0.381246428335878	-0.0378726022532278	-0.273721452789017	0.26892157921303	-0.410984913261781	-0.264651104334252	-0.406154795847235	0.922958424003126	0.966269125533132	-0.317489546144929	0.400364227918802	0.248588265901849	-0.16575513050863	0.115151627216306	-0.316346824379791	-0.372478398931444	0.130592243579046	-0.27825439157255	0.898972904131506	-0.121621621413332
GPR171	0.993994285063238	0.97281289240957	1	0.984610696768952	0.968478364187522	0.605835810249995	0.953853416958751	0.992204715469057	0.967885732320074	0.925742066951151	0.994985958542153	0.338525853260643	0.993976768041076	0.159858764649032	0.993583078946807	0.996539510498494	-0.0103025789073955	-0.156494006906813	0.986586485638103	0.984342245284676	-0.00223993671412984	-0.360062412265286	0.989781682449494	-0.164750016603253	-0.0753069218565975	0.864184109945691	-0.0633331643605498	0.0416955998966713	-0.0659334546992274	0.370335201999579	-0.080157812239567	-0.317850114002252	0.245337210801546	-0.473902982206083	-0.276790829557072	-0.473240405178166	0.964052058536047	0.966517108261724	-0.337623258212231	0.383387230051558	0.115132405490905	-0.235136818281879	0.119769388816153	-0.322885322110891	-0.413515111697127	-0.0289482582852383	-0.342480217468868	0.91728995154094	-0.216726609574802
PTGER2	0.979750251623998	0.97208910218288	0.984610696768952	1	0.972696533458788	0.625592652641268	0.959359117702857	0.982315293577514	0.951160948197663	0.952809649079362	0.987142924693709	0.372782064550834	0.981315892362939	0.202873594910945	0.985277956743435	0.984354290954381	0.0526243383700898	-0.133596751941875	0.969063697211004	0.981835203659862	0.0441835664484014	-0.345274671181011	0.972028207632127	-0.122599354856795	-0.0593430077865645	0.86674714086452	0.0207916083420106	0.0585462113346065	-0.0399403895013082	0.386436393982819	-0.0593805152052227	-0.30021967595378	0.264859553949408	-0.452836017835958	-0.263964592795295	-0.428113861995912	0.970627833842753	0.967292886228015	-0.324061961139746	0.397103522548174	0.200148829925995	-0.177870332140679	0.135010645738896	-0.313227235240857	-0.372500531375851	0.0101595969374194	-0.303920390818066	0.913440852057825	-0.159526066062932
CD6	0.977980441439312	0.93449569475225	0.968478364187522	0.972696533458788	1	0.713091612285483	0.952169232827062	0.965423090285347	0.964654944840333	0.975725855463465	0.968826615168454	0.383214584358039	0.958788781078314	0.341146659290123	0.98257477013438	0.971403414660155	0.047201487193129	0.0327569463264965	0.955665820294086	0.963444750294436	0.14611587816447	-0.180786288951831	0.960150267777914	-0.114671161888542	0.0795661087225252	0.935282413631819	0.00514883560576425	0.172181572986105	0.123672367100368	0.533200318756444	0.110388305269276	-0.135616126353965	0.372227948147117	-0.328506409525806	-0.0972708115859614	-0.30417389807998	0.94064160904198	0.961920696302473	-0.153332397042365	0.549259570796878	0.182079700449599	-0.0503017565097743	0.311520049093396	-0.153785886255555	-0.226063858660358	-0.00897014510060024	-0.161583957833316	0.929544502026386	-0.0465172862044952
ITGB1	0.640470648508341	0.658383535832974	0.605835810249995	0.625592652641268	0.713091612285483	1	0.759303342146838	0.586086409074828	0.736324908371994	0.785772955475259	0.570452170896765	0.761397275152512	0.579156461202959	0.768006420573477	0.6164896966137	0.600309867547923	0.576095364120157	0.477938204641977	0.528723445343844	0.585411228768789	0.734436607981974	0.342746319900607	0.524766150572804	0.466114955954784	0.676904873760915	0.730608302115296	0.514741311143214	0.487495950051849	0.658719521440024	0.874163383307973	0.6593413601279	0.474772233855387	0.748331753977859	0.285437948647764	0.386515719362693	0.32708866192728	0.493416099933061	0.679577009922708	0.383970554526001	0.880500809846897	0.599529765214592	0.547052225449441	0.683234500812024	0.265086519205521	0.368837118399434	0.516777681246908	0.473939992046332	0.751372744792628	0.598718757369887
CXCR4	0.96418272548813	0.975274078216148	0.953853416958751	0.959359117702857	0.952169232827062	0.759303342146838	1	0.959067201955481	0.974509290147084	0.955096609523291	0.944550630425999	0.591413128433657	0.945630547683541	0.318875845244321	0.955155057324645	0.955947540009043	0.25290805834717	-0.0356149084591343	0.925480645324401	0.942252667885504	0.232905472311344	-0.244950833029798	0.917426537316428	0.0641344105506114	0.104932025786197	0.848243773231745	0.194305088513225	0.0887564422475549	0.116057598729069	0.506806425829738	0.104436267255532	-0.158090244584457	0.435581342784419	-0.330901567692153	-0.177477275236753	-0.300445189260178	0.895265700421587	0.979349830348697	-0.206175240607255	0.523031123143904	0.345927186367566	-0.0317849523261939	0.243624529686809	-0.247872665989926	-0.25055549516279	0.223097604884725	-0.154526410685151	0.952833293023004	0.0140782634757301
CD2	0.993318138304058	0.969752718821096	0.992204715469057	0.982315293577514	0.965423090285347	0.586086409074828	0.959067201955481	1	0.962966997996929	0.922099357710546	0.994482608055683	0.357561311876628	0.988646645542801	0.153925208706918	0.993274557234337	0.995452130100644	-0.00571588769473581	-0.16703301324664	0.992442148714302	0.983015590294539	-0.00200096877818907	-0.370600982934447	0.987942577151124	-0.177672133573724	-0.0949083439347507	0.86250038456401	-0.0549573531572887	0.0169176109045912	-0.0673902473027752	0.359433285422575	-0.0812177705084764	-0.329822453828572	0.262215138019459	-0.49070285947786	-0.288393872975331	-0.477961407294363	0.965456574532929	0.973731002728612	-0.342194947461105	0.37398291908267	0.120427575634934	-0.236054239616909	0.115639808201315	-0.331363712812909	-0.414582903544915	-0.0328567754548255	-0.3473881187429	0.914930924076571	-0.218045449476055
CLEC2D	0.979737050193806	0.960239620595002	0.967885732320074	0.951160948197663	0.964654944840333	0.736324908371994	0.974509290147084	0.962966997996929	1	0.937066550714495	0.955541945559823	0.476357620246981	0.955009054756606	0.272909938771284	0.967109222702786	0.967779914163152	0.114007649162568	-0.0524411880048672	0.942221172583485	0.94817341863976	0.15063012537834	-0.232482678207238	0.943269278947215	-0.0388016142011565	0.116957582369734	0.872418612711854	0.0451547364357661	0.163038213851344	0.0766509325031113	0.518434352173377	0.080838256951252	-0.154126903569217	0.374056430405518	-0.306101912027041	-0.156850459457911	-0.330622700418835	0.905347831695547	0.968734443242632	-0.195325499937508	0.512938819332899	0.206737034116341	-0.110102630758866	0.225714335932633	-0.225419425496372	-0.279523184013395	0.0810646971027412	-0.196697218026164	0.953199717608101	-0.0696584477979912
TNFRSF14	0.938361993871861	0.921654976723073	0.925742066951151	0.952809649079362	0.975725855463465	0.785772955475259	0.955096609523291	0.922099357710546	0.937066550714495	1	0.924490470378012	0.498952266003943	0.910709469559927	0.445107899499863	0.940545691630135	0.933432470035329	0.205782497339332	0.110089228079321	0.894440609486786	0.920303483889377	0.291353032911924	-0.115421374520389	0.900921480738291	0.00811719281613416	0.157567911873589	0.913886018595678	0.171799809999506	0.20076348708672	0.223522997387949	0.57568858067912	0.194026446301213	-0.0512928873642303	0.444182868132554	-0.259765562460292	-0.0418892941584687	-0.203347318614705	0.888049744811075	0.952294519471843	-0.09121741000485	0.61801400885427	0.343576341751946	0.0827738571639862	0.375174578680108	-0.102511154198517	-0.125336940190252	0.132468669644014	-0.0515565128405353	0.925737486928211	0.096104870912277
CD96	0.991284216157391	0.965273837257914	0.994985958542153	0.987142924693709	0.968826615168454	0.570452170896765	0.944550630425999	0.994482608055683	0.955541945559823	0.924490470378012	1	0.308878350154614	0.994777701180028	0.140967122436571	0.996394202171075	0.994977939203019	-0.0456238728847458	-0.15756059638099	0.989431398692543	0.990938510981225	-0.032826665057594	-0.372625182850789	0.992109577049845	-0.213089486350724	-0.110053545675062	0.867802463055826	-0.0980997811374482	0.00537049748056099	-0.0827334565280578	0.346761972111406	-0.0999860603095413	-0.340121667618862	0.211365764753702	-0.503299652810768	-0.289816046418472	-0.496781280774306	0.97885068943278	0.969439273138163	-0.35244246751482	0.362461406164754	0.077290766450676	-0.258051526189593	0.108306521666302	-0.323794564928245	-0.433305743922143	-0.0706039657893492	-0.36645413257293	0.904645182293462	-0.24470030104495
TNFRSF1B	0.376615471264633	0.472955694383387	0.338525853260643	0.372782064550834	0.383214584358039	0.761397275152512	0.591413128433657	0.357561311876628	0.476357620246981	0.498952266003943	0.308878350154614	1	0.323184365650468	0.505577683627978	0.345734349307945	0.346838066243305	0.882489602995509	0.222856470096328	0.263459514686165	0.319151269449531	0.719951664632094	0.114773583066004	0.237215881393184	0.752744677219661	0.486174781002079	0.296924978760919	0.808151037985957	0.064484448241539	0.482901061776326	0.558962311232005	0.487537006869685	0.292686102203285	0.660947261483324	0.173463168866722	0.098189089696102	0.258258944387711	0.209196252858832	0.499722229329557	0.168819856587991	0.581534797469142	0.793235288711732	0.480657601098004	0.37261359540988	-0.0074149959453672	0.239525835268352	0.857460351622826	0.380751073567782	0.552145874970124	0.593739697368046
S1PR4	0.987215669621648	0.97321899744732	0.993976768041076	0.981315892362939	0.958788781078314	0.579156461202959	0.945630547683541	0.988646645542801	0.955009054756606	0.910709469559927	0.994777701180028	0.323184365650468	1	0.14229470018473	0.990925811840991	0.987057928175284	-0.0349605579361008	-0.150926489746776	0.982808468046096	0.992582028730691	-0.0268598465687827	-0.363752428430383	0.983503804060965	-0.195611835427075	-0.0883033679278949	0.858341411289173	-0.0969661285968112	-0.00429790578620313	-0.0758444291272892	0.352644812924849	-0.0907710389096903	-0.330988202891684	0.210872109816116	-0.487940095516922	-0.283493977716551	-0.489577288676587	0.973544585649603	0.962937163745152	-0.343844553290356	0.364320185431072	0.0708981584289956	-0.255405609647191	0.112383873696575	-0.317737624823053	-0.434124512964624	-0.037126523885955	-0.359668579309354	0.896666070159388	-0.239819795705713
RPSA	0.210069112871306	0.209325139578467	0.159858764649032	0.202873594910945	0.341146659290123	0.768006420573477	0.318875845244321	0.153925208706918	0.272909938771284	0.445107899499863	0.140967122436571	0.505577683627978	0.14229470018473	1	0.191264441109949	0.162244641914484	0.489712022652076	0.833377807962553	0.106184523674166	0.159588673440611	0.906421413287932	0.795946191908285	0.0944462542722212	0.415995552099321	0.83644196805639	0.541313275530741	0.463440283278384	0.636223152422152	0.941342255062676	0.8552999829039	0.910466265083031	0.82689083418402	0.707114136030421	0.632057493786239	0.821298135376936	0.748706716845785	0.0805269862287422	0.247523956865234	0.798772251273676	0.926367347009088	0.50636293269551	0.898289660782692	0.930344278361183	0.758950451195753	0.812968892446046	0.393170836470518	0.854273835289754	0.26588124533257	0.871067868186391
CD3D	0.995586233237722	0.961927461796304	0.993583078946807	0.985277956743435	0.98257477013438	0.6164896966137	0.955155057324645	0.993274557234337	0.967109222702786	0.940545691630135	0.996394202171075	0.345734349307945	0.990925811840991	0.191264441109949	1	0.994232922855002	-0.0104656487555792	-0.108668538948533	0.986373628458156	0.987051178237412	0.0171419855467157	-0.328188658849888	0.988552849223562	-0.177929340744652	-0.0555612954439911	0.884691142559396	-0.0657028805178235	0.0363677584891219	-0.0258957646550907	0.40046722921659	-0.0396992985155431	-0.286572735786407	0.258790357332527	-0.45949601695877	-0.246812120746318	-0.45235943544692	0.968193848480617	0.976854710608389	-0.303527822000459	0.419199324117003	0.107930980866873	-0.203654896786774	0.163985071487122	-0.289066108711554	-0.384524138152441	-0.0407899703336882	-0.314855237669672	0.921715635088746	-0.192199642167329
CD3G	0.995099106672425	0.967415709139759	0.996539510498494	0.984354290954381	0.971403414660155	0.600309867547923	0.955947540009043	0.995452130100644	0.967779914163152	0.933432470035329	0.994977939203019	0.346838066243305	0.987057928175284	0.162244641914484	0.994232922855002	1	-0.00326795377535369	-0.160774584652275	0.989011184740379	0.979390800477624	0.00530495399739477	-0.365621923980494	0.991498565861551	-0.168502936001737	-0.089174682248512	0.865910558476417	-0.0519685464372423	0.0357036958602715	-0.0644057856917324	0.364400331079627	-0.0819725250860045	-0.322282222881589	0.255396598527003	-0.486503506256468	-0.282601729406717	-0.476527544700155	0.960902588847902	0.974115411650245	-0.341912960832258	0.384865868795978	0.128706050323282	-0.231236103171907	0.119124203051313	-0.326918069817307	-0.409726354116812	-0.0371943335143828	-0.342703348779646	0.922084606519257	-0.212138249967182
