""	TREM2	LRP1	CD74	CD81	SORL1	TLR4	ABCA1	SORT1	C3AR1	CD4	PLXDC2	VSIR	RHBDF2	ITGAM	LAIR1	CD33	AXL	PLAUR	TMIGD3	ITGAV	HAVCR2	ITGB2	CD46	ADORA3	TNFRSF1A	ADRB2	CCR1	TNFRSF1B	ITGAX	INSR	KCNQ3	ITGB1	TSPAN14	TLR2	MERTK	P2RY12	C5AR2	C5AR1	LPP	TLR1	TLR6	ALOX5	ADCY7	C1QBP	PTPRC	PILRA	CANX	TLR7	IL6R	TFRC	STAB1	FPR1	CXCR4	GPNMB	MCFD2	LILRA4	MRC2	RYR1	PLXNB2	MILR1	SLC1A5	ENG	LAMP1	CD47	SIRPA	APLP2	LILRB1	PTPRA	PILRB	CLEC2D
TREM2	1	0.794138689803953	0.930165194778004	0.835774896095095	0.856794522525943	-0.0161730167632261	0.694838253527858	0.751968467864908	0.725824753163622	0.806283349821637	0.806245109893394	0.815095817032078	0.8205219282232	0.577684124472404	0.716689584422202	0.225966948786041	0.903184826473596	0.707976586342024	0.876949941262821	0.730938111596629	0.644417092122841	0.900520794884294	0.537458318020766	0.863541042472937	0.878562790584967	0.698097684787683	0.856065761701379	0.850438189463435	0.727926365521898	0.622532951846336	0.680399670725801	0.809924910219215	0.740480495470885	0.749917089676172	0.789480127237122	0.550861062824043	0.622601021078589	0.820248004788238	0.319356656712301	0.488593831263641	0.526990038206483	0.6509450972812	0.822124419579733	0.664205728134395	0.834840487385458	0.479671509942533	0.626713531009702	0.609845546952664	0.720335093158264	0.665761456898889	0.0599436310652531	0.910183835779593	0.815911733909975	0.553299073582255	0.420934146684112	0.313365579262849	-0.00715254369478182	0.204498252298592	0.55725015819625	0.0889710907958781	0.801633335865198	0.644049529166731	0.371675105116231	0.347291338722879	0.641466052726948	0.854448766178309	0.630014953719117	0.461760040751983	0.202798998541515	0.36604457029042
LRP1	0.794138689803953	1	0.771714065631121	0.671742839947887	0.706170772684162	0.172633583365069	0.539638203002693	0.698277855137859	0.744527807961692	0.637386019992469	0.604374980410993	0.636685217492569	0.627779209494852	0.385419915163193	0.691338029037924	0.0973346760518768	0.682484230079478	0.792770169744598	0.805861614601338	0.83997456066245	0.669132487178381	0.847246240237294	0.734676413062067	0.77699102460274	0.790232663782957	0.760150309400394	0.802077291804876	0.847362331959724	0.682092471351288	0.332791825508712	0.43864944487666	0.913225241607895	0.880359769514458	0.756852590069781	0.637382382812484	0.318468843063628	0.643219648539902	0.597846512259286	0.391763487265724	0.705039961743148	0.511122678240015	0.612999934207108	0.712299622384485	0.642796726992655	0.729182456739106	0.264625850785723	0.59801970720749	0.609906754623315	0.698247666423736	0.425085013211992	0.0298433906555374	0.803908774225005	0.864358618955763	0.461553266275229	0.504306176905168	0.352750010963873	-0.0678389863763267	0.159107043775425	0.55892181807718	-0.0426466592633592	0.680477877523304	0.606319097748317	0.201744090530747	0.632235055071707	0.673870095917554	0.819778960520735	0.834501064686689	0.317300759383815	-0.0772081958127047	0.473157286138914
CD74	0.930165194778004	0.771714065631121	1	0.928009245090169	0.90858734151816	0.00103375758802399	0.686170636680628	0.729194326428944	0.757070663973596	0.787966047592701	0.865914412605226	0.851701881496943	0.881021242602733	0.656295437803211	0.727728469780735	0.439758812192001	0.906037828183528	0.587375875905665	0.830839603807371	0.570559412405354	0.559187387194426	0.84024334454795	0.555746578340459	0.806938022444535	0.877992030765823	0.640452378862494	0.760956744080415	0.773056064979777	0.734402926246945	0.633511163229548	0.755388942027424	0.82718727220035	0.697316519314923	0.648801903741881	0.900421437632638	0.534173185348809	0.530789939739008	0.826772745305452	0.475348207362734	0.381024726488429	0.657578210350691	0.597683250719557	0.879660418269489	0.570289249269787	0.88430425077576	0.589890684388443	0.742436385924046	0.660679290966339	0.557214335288487	0.742321988687423	0.200773585505826	0.821102151444238	0.780928265016142	0.389931908416874	0.399164366791224	0.40429100320989	0.167531083185619	0.156282689003883	0.632082016945746	0.267365530292678	0.81709528967071	0.520870541702445	0.544425378957061	0.300889415497448	0.574527905399565	0.851672568481805	0.706364355470399	0.668658292807535	0.345959014351304	0.518593384740079
CD81	0.835774896095095	0.671742839947887	0.928009245090169	1	0.833803156297523	-0.037704743737069	0.680491307606382	0.595256516165505	0.773434199280491	0.652573847070584	0.807412609517145	0.764798334833083	0.850673223758235	0.71890474948981	0.678195815999168	0.627165081553116	0.899957994223424	0.40218830777063	0.709546232565349	0.420697654878426	0.383004594919578	0.790985893381808	0.501035534059767	0.610700340293974	0.849489101850635	0.525838145609853	0.590006010290892	0.707122663266274	0.586326886045538	0.670168356045118	0.684995401507562	0.75276067847021	0.677957617149208	0.506314873356652	0.884915278705288	0.354272305463454	0.316781813110307	0.816178180784151	0.544761379693347	0.15950554062361	0.672803401914541	0.456808446384094	0.838659544909679	0.558451802327055	0.822715591514463	0.555610429407128	0.796837763021206	0.68800209138385	0.352503754217234	0.775594830992343	0.440041398129766	0.716543698060288	0.723537027492982	0.451880720314217	0.298895402749224	0.445876968063708	0.206409321313388	0.00287008155350361	0.701321671956527	0.276265698715473	0.777163988978789	0.316072649802468	0.720256432862228	0.268170634740317	0.504422319857228	0.845625010481418	0.702611106347129	0.74621596471265	0.467830528474016	0.637127341053198
SORL1	0.856794522525943	0.706170772684162	0.90858734151816	0.833803156297523	1	-0.0137472684668969	0.768234447932338	0.855781151232852	0.629888389433697	0.825773673430199	0.931730614179436	0.854424696141368	0.949526890147984	0.600295957287687	0.808797982056394	0.335277472321484	0.846210095848632	0.540959474793124	0.764325665131596	0.5177872204407	0.689812453516963	0.698714311388992	0.542728279872587	0.854106557859281	0.864312188028835	0.711576916744267	0.710258940585951	0.727583806683222	0.706893703842692	0.678950522543289	0.908013302003607	0.776173725283434	0.673474959833019	0.680794767761279	0.904164237704668	0.633701992541654	0.520043598257333	0.832317863632853	0.572304031374415	0.394394619947836	0.490901112197031	0.687615310087236	0.835977731896667	0.564001486981443	0.900636088345231	0.504601995496385	0.653099957425756	0.673526579238234	0.654430399972308	0.790148847087781	0.271467749432917	0.745036424326717	0.794743126875679	0.301463673986982	0.366346404336422	0.202332926145754	0.0470075622077885	0.276392954646298	0.617936644210142	0.252644662412263	0.7738596069136	0.66254118974373	0.37603419844066	0.261285192120602	0.636903343738551	0.833665369664992	0.675736464134302	0.640943725013345	0.442447161625568	0.538476787573178
TLR4	-0.0161730167632261	0.172633583365069	0.00103375758802399	-0.037704743737069	-0.0137472684668969	1	-0.315602612379038	0.0738101432030513	0.267665704395144	0.129512569468655	-0.120396890331014	0.210881486504632	0.0776724805671633	0.423338266773246	-0.0378466036769704	-0.104101500855364	-0.164318056545813	0.075239803103067	0.0466704191535043	0.11040565755053	0.100793374317806	0.101897545735176	0.371315258915344	0.0428408126969239	0.0162117860378197	0.134866164912299	0.103660978192651	0.26130278023958	0.40476311221481	-0.173726105582402	-0.0885388682605086	0.037702286194463	0.289437713251506	0.311396819222726	-0.0916980890728165	0.276291972717845	0.019397202048951	-0.251122816714687	0.358628829349366	0.411454696349803	0.27422306724771	-0.0718088132913433	0.0966074602330162	-0.0825579210970083	0.122512671878652	0.133691253156883	0.0186665032064542	-0.0420980137806045	0.18148990792656	-0.20871292020795	-0.140356681281766	0.0970298646936148	-0.0480625612199416	-0.0606404979007574	0.168984029566897	0.446632729978456	0.35640834887553	0.622533985002785	0.160784883098393	0.308110506448875	-0.0855951719609177	0.120130283706119	0.0521666915543543	0.471689852016119	-0.113187183853368	0.010166374474481	0.237574710665793	-0.0698940079394676	0.168042378007887	-0.0195761419881341
ABCA1	0.694838253527858	0.539638203002693	0.686170636680628	0.680491307606382	0.768234447932338	-0.315602612379038	1	0.686259222458061	0.456944505021594	0.686797349022532	0.768551146407747	0.523259384237334	0.716355451396405	0.423409446678024	0.584491204960629	0.0992809403802797	0.697643628708917	0.520175514226778	0.55344608909506	0.506685419887555	0.504313430625101	0.624257660503471	0.31021490929105	0.668859568483284	0.774100565542719	0.50236043731476	0.60145444746048	0.650242304424683	0.504972783631934	0.666746570038197	0.720700781314678	0.610393667751939	0.450186735317484	0.604192791884534	0.698079459704992	0.36010312708373	0.555840417253928	0.900112645167477	0.376025389248738	0.311599725840374	0.240922531789495	0.497637291805122	0.517884469564288	0.497126792964086	0.721650983364535	0.260031150413939	0.566986777373931	0.488232675128486	0.497765885083675	0.683696800803096	0.32984544637872	0.5907452930495	0.759176404163222	0.527653466841581	0.426860745038994	-0.0358526190725137	-0.215865641823489	0.194562271203185	0.454920580984796	0.0414980932643446	0.719590299115289	0.558004583113285	0.267155554917231	0.141793338888549	0.705807502327005	0.724986771164542	0.389866537816904	0.403900012188038	0.277259113771886	0.519136438315046
SORT1	0.751968467864908	0.698277855137859	0.729194326428944	0.595256516165505	0.855781151232852	0.0738101432030513	0.686259222458061	1	0.587047750040127	0.846757611833566	0.722867971807243	0.695539865480463	0.783091949677373	0.424492558599488	0.648076839399463	0.0449657362697427	0.590114782982538	0.707613428753039	0.72492194087241	0.598757242431601	0.713244328302166	0.644751562409505	0.620727473878494	0.886235999994402	0.748319157884963	0.629812471517883	0.761165675259726	0.703638540454423	0.778618846669311	0.476117128140056	0.759050617264394	0.754161782938591	0.663470525089733	0.759809773391744	0.758542499560874	0.638208986982464	0.739572514069645	0.731656688909758	0.365223283534807	0.682989654841287	0.450741651594966	0.547810953163812	0.69842745953024	0.38696084442696	0.846843206852907	0.516558352632979	0.563399940770135	0.543566994516679	0.736616633177554	0.596803917242082	-0.0181152631198504	0.73191677880249	0.774529674614795	0.152134210414592	0.626180776472008	0.122979940317268	-0.140628850913601	0.454969137510136	0.444813297225605	0.257549986464582	0.756834291968934	0.841409460035216	0.129179651111861	0.459169083006093	0.65441210246053	0.726806861073506	0.566075987328967	0.354687139724259	0.293302264934991	0.415901405518456
C3AR1	0.725824753163622	0.744527807961692	0.757070663973596	0.773434199280491	0.629888389433697	0.267665704395144	0.456944505021594	0.587047750040127	1	0.634938236159628	0.517036870796208	0.663079582797811	0.619085106571026	0.595133057502284	0.562786645989097	0.438118516073686	0.615502094489718	0.599978335694475	0.696782408482786	0.536630835578943	0.364056595299962	0.820049822921217	0.706541170200389	0.529005298565844	0.774437644065633	0.434996693054922	0.620513001087617	0.704868485119053	0.653805043225343	0.325090897389736	0.382443322085369	0.730648399038954	0.763941890870762	0.552232843710129	0.712307380090654	0.324245927602552	0.47757090330685	0.537558144286478	0.478870174584846	0.502552329090746	0.744590943391195	0.289048093831067	0.76827754935235	0.396041116770518	0.755520011436396	0.584338309256914	0.781427021261193	0.652326238901802	0.355936118146986	0.439900706998663	0.264364629785066	0.783685986436689	0.651118688562859	0.338904434656578	0.557736782616245	0.623955519777888	0.233070068803437	0.14610584913219	0.761203582624239	0.116839931878763	0.782905501384501	0.432832458771978	0.584129245824153	0.686725777993901	0.495906160479584	0.840457412111161	0.681384343888457	0.464546545790229	0.309741532356483	0.648000585035805
CD4	0.806283349821637	0.637386019992469	0.787966047592701	0.652573847070584	0.825773673430199	0.129512569468655	0.686797349022532	0.846757611833566	0.634938236159628	1	0.75659323862506	0.789094908830259	0.79844911696208	0.53566232466451	0.666750692991563	0.00459540973674591	0.650367448631994	0.58794853570716	0.681181563325108	0.548545634193047	0.708288464997525	0.734826503794553	0.566792565499449	0.877189101265204	0.760126487904997	0.634808164784339	0.810485849484266	0.722994391175247	0.827963251938974	0.597280049319872	0.732529188242082	0.678922367187237	0.574226709255472	0.73957401413301	0.698188269492424	0.783802848298104	0.646331838598839	0.698050626190718	0.335499199282328	0.594524319950121	0.388081740609062	0.587952633631123	0.692672192684954	0.353278298838452	0.829091877686502	0.626240697414242	0.558489196054597	0.536818531220927	0.695751177476019	0.54874666751559	-0.0903665718506477	0.744569117212257	0.635043103130338	0.281036719581304	0.515061739673913	0.307535678567059	0.0191611815747701	0.528126390382971	0.532102983114609	0.177565109967778	0.731053012728085	0.761168937366004	0.215917616085012	0.416994102083534	0.666979828653273	0.746181711901101	0.431277496398155	0.345361582039469	0.414161695314621	0.387164051629829
