""	THY1	MYLK	TNFRSF12A	PARD3	TNFRSF1A	CHRM3	ITGB8	LRP6	CAV1	F2R	IL13RA2	CD9	PTPRS	CELSR2	CD81	MCFD2	KCND2	PTPRA	PLXNB2	SORT1	CD47	NOTCH1	ITGB1	ITGB5	SEMA4C	KCNJ10	PODXL	LRP1	ERBB3	APLP2	SMAP1	ITGAV	PLXNB1	CADM1	CXADR	ITGA3	NRCAM	OPRD1	TRAF2	EDNRB	IGF1R	LINGO1	IGF2R	LIFR	MCAM	LPP	GPR37L1	TSPAN15	LRP8	TRADD	CANX	PILRB	HLA.DPA1	NCSTN	SLC16A1	JMJD6	TSPAN5	NOTCH2	RACK1	AMFR	STX4	CD63	TFRC	LAMP1	CD74	CD53	SORL1	ABCA1	TSPAN14	LAG3	ADGRE5	CD44	CLEC2D	CD69	CXCR4	PTGER4
THY1	1	0.942479332420069	0.909240077502248	0.914175885412001	0.883294605571618	0.856087678331489	0.88738339661597	0.895503574898312	0.839896525066112	0.906500568142251	0.916270204124662	0.853099318076021	0.786782344738504	0.90319389194895	0.874962300990165	0.873913378846673	0.720018448415341	0.843780285527499	0.899622511931911	0.885269363746698	0.830749950325645	0.906841450108811	0.924986777093844	0.833512292209506	0.740980383893576	0.416727032372274	0.844318448983854	0.866208203999779	0.784586744952969	0.921258305703435	0.808202611449301	0.93068054073546	0.731552605170854	0.91431912071293	0.861915238391355	0.901657516416343	0.943524107698928	0.873353072414174	0.842748559881946	0.820944389796685	0.933216606946445	0.691362517990087	0.806699358670204	0.927537450731119	0.885065966958562	0.922830278890264	0.711322024913828	0.697224927110555	0.819556878235651	0.690174778267197	0.861856713411909	0.847918695691578	0.802514706070473	0.816989619959342	0.878423418136304	0.878075918836108	0.901529288371342	0.924809317287283	0.690001320747841	0.909457767878185	0.908071701610539	0.918658597470951	0.814741876412073	0.86767148638285	0.820042945006614	0.521789725089489	0.793201292205614	0.904070852869012	0.81340464187695	0.735165317554182	0.802885880001539	0.835111790988407	0.459328239408102	0.17763077888309	0.425159664923087	0.432837521878895
MYLK	0.942479332420069	1	0.976857390802437	0.916961467209844	0.968276148079068	0.829460760992109	0.877672546025108	0.922131006569917	0.930132614064797	0.979278533419637	0.93478864023235	0.910742779477154	0.859141350897564	0.904478353605709	0.966276792362459	0.976221966780769	0.76949873006549	0.941337984810926	0.970270455191506	0.928703623421718	0.921819938342482	0.944435767430408	0.979865050465098	0.940774489044237	0.852513258147876	0.532517440081281	0.948451339055124	0.89718691395406	0.820518955131251	0.950376260874333	0.90963403573778	0.946346461262929	0.806990621092782	0.866736147872421	0.901612692569081	0.974961231906316	0.951892398636746	0.788313149234387	0.947745101658565	0.869615946883792	0.966364426084441	0.750751031101219	0.940161736462217	0.895641215864734	0.978042731260905	0.964033903897214	0.762606063452999	0.850976461966093	0.949859151514504	0.777697935216699	0.963021544174344	0.922639265610119	0.874400912710114	0.912539019527885	0.954136794323804	0.925500876003321	0.944838030509363	0.946671627908369	0.833935502488018	0.938399405971491	0.96984317780434	0.971583627795162	0.932686913678722	0.95744460157117	0.916322475560657	0.672267553078545	0.866605725626716	0.916845903370748	0.913495459048386	0.821555368367708	0.874619970044458	0.904258242227348	0.579228548850255	0.304772686288411	0.521175727923672	0.562483765375526
TNFRSF12A	0.909240077502248	0.976857390802437	1	0.928777451968802	0.988549279599544	0.864908779613633	0.902885551326881	0.94452364091769	0.896052496844235	0.987263766743356	0.928123748376946	0.953960971297379	0.92039176015044	0.92079249543323	0.984143301225205	0.978867367873186	0.813885218351455	0.975332807518806	0.992635092432245	0.956168584823048	0.965756705948269	0.965561517545374	0.984595165794659	0.965269495389867	0.912966347204977	0.600253214082857	0.959528943962107	0.922528139009902	0.848041216998576	0.969822277809919	0.94985543708094	0.959570445358239	0.861814122483676	0.887271571017036	0.95469985616397	0.978846971911726	0.965163466689423	0.802219799443843	0.977417988430287	0.896650292403455	0.981702652054086	0.794526631254948	0.962842735094242	0.899237550188914	0.977708159299013	0.97638690818697	0.82609042215082	0.860534249668546	0.955267972309464	0.826852119197227	0.983358641146934	0.961255438640365	0.869648802252737	0.959014890902657	0.986413641606102	0.956671225111856	0.971537066234352	0.957060602718848	0.871193626554888	0.969691552634928	0.977504369969745	0.987853041257391	0.965318009483716	0.98460771718956	0.929178133627327	0.745721265381883	0.915347986731719	0.935739903768847	0.95447570031185	0.868153291497122	0.933676491618197	0.938964242160896	0.690674908328274	0.411582191251607	0.612252987031426	0.645178797953358
PARD3	0.914175885412001	0.916961467209844	0.928777451968802	1	0.925156831493892	0.97536915440203	0.988867284086608	0.990989784978776	0.73611167452439	0.926807326257446	0.970820825454627	0.950227428250736	0.922947672974827	0.989341644619141	0.907190311916489	0.917988220553617	0.929179534587503	0.922464016944365	0.927519946691658	0.985559920337053	0.907479326466687	0.973937903995151	0.947574777575363	0.901424804693302	0.847082002106651	0.706614825124805	0.930428872926923	0.987021663163643	0.963347810291519	0.976446412284513	0.935853911612231	0.984960919415546	0.926163223261908	0.961461673190649	0.967837627305741	0.880642042876211	0.976161372504309	0.897712075314786	0.884833929561266	0.976010438016537	0.965538376594067	0.90060154913814	0.884653609303552	0.976061278737454	0.933910489641246	0.979277365873647	0.918758847403312	0.731425423841138	0.858064991640777	0.725653811534145	0.914071096024817	0.943934221352761	0.796535668788424	0.911591668124647	0.95122961027684	0.97824520170971	0.965384902558608	0.978775995428294	0.725212504378003	0.964278753265137	0.947572856243963	0.951680280087748	0.880476502181713	0.929009795883362	0.828426109834021	0.612986287274917	0.864290395477472	0.980666747201341	0.923907980824678	0.72651890386312	0.848784029353557	0.880623749002605	0.639410023618547	0.343758837980551	0.572404690488551	0.567075186296988
TNFRSF1A	0.883294605571618	0.968276148079068	0.988549279599544	0.925156831493892	1	0.861989151304334	0.899357287694833	0.944114005523266	0.888336315401155	0.989449524392196	0.922830795227823	0.968391718620031	0.932002221458491	0.916730793562809	0.997729900122212	0.989237642732118	0.83114664929764	0.990359794387105	0.992367776802187	0.962092311924021	0.985784207464146	0.97521859600305	0.991696498059494	0.980227088969147	0.936275884623442	0.665221527315411	0.968531354072165	0.928540657740002	0.856076578915673	0.973459417136447	0.967100644216263	0.959186049033283	0.87886204242308	0.880171786708744	0.954907649683112	0.976626030491557	0.958987518164778	0.791249612929394	0.990158395830908	0.897155254551309	0.974982984728641	0.813068781281382	0.983030604473688	0.892813262543672	0.981193157659004	0.978884762802696	0.841868643973423	0.887159068995217	0.971662234900924	0.867883106418216	0.996636743992365	0.975197573844384	0.89506424407343	0.978454357542929	0.989483083649324	0.966099217287885	0.977046605101308	0.954636106143072	0.91208495274109	0.973604952183638	0.989941185991386	0.990396752137764	0.985411646398391	0.997238449557889	0.955036327029123	0.801041067298595	0.943374359839513	0.942847256720617	0.978485623791599	0.880698513516982	0.950046510905122	0.963873822808616	0.722646538125022	0.485680972877475	0.674686549085017	0.708931677453851
CHRM3	0.856087678331489	0.829460760992109	0.864908779613633	0.97536915440203	0.861989151304334	1	0.994528825751011	0.972495736818552	0.596132372138524	0.857704377366704	0.945144431233575	0.916729678824697	0.902938465958174	0.984644882947463	0.840849421922949	0.83591565008594	0.937304286571171	0.869137823521713	0.871208257755305	0.960355525675829	0.863881190808503	0.944229883981075	0.888103075976424	0.833131507422586	0.796408577836911	0.738080972134009	0.853893911650046	0.9749340782672	0.965429641827281	0.948073031994627	0.895140144859343	0.959342885781965	0.913907185166781	0.975992569439867	0.953867534332928	0.798189274452029	0.949641959355176	0.936756121833859	0.820721255494232	0.962926428122745	0.925005743682739	0.890870242812433	0.811929089696274	0.97600203191977	0.85266462464081	0.937171574986291	0.931766639286717	0.619433284637827	0.765769032037637	0.700279133665156	0.842778935548213	0.912745675598627	0.747952505943711	0.865659660004052	0.90541210864252	0.956046605202815	0.936271425546254	0.953043953967573	0.648286132290779	0.941953689964839	0.894248013836842	0.901339365319693	0.822411576254603	0.874554687982442	0.769803671479478	0.59294587967349	0.853335303354253	0.96807661936944	0.882196301259873	0.670886298167413	0.827473711078382	0.851751718826827	0.652120750076955	0.38501884980434	0.616211807578015	0.574551902469657
ITGB8	0.88738339661597	0.877672546025108	0.902885551326881	0.988867284086608	0.899357287694833	0.994528825751011	1	0.987835121751721	0.666267305921149	0.900413344803609	0.969012934929503	0.938024462010996	0.918762944915372	0.995692585626186	0.880536954596462	0.879724848928091	0.937965927830403	0.902177556000977	0.907011809754849	0.977334739237309	0.892690409860973	0.964876467920294	0.924716519075286	0.871792217005053	0.823931061790806	0.730303942223669	0.892246619209845	0.988958672266025	0.968570107398517	0.970381218963551	0.918021701656155	0.98069005676776	0.92095886969134	0.978976049345957	0.966293223251435	0.849261438546639	0.97279341127149	0.930171552844148	0.859434297449011	0.972841844321629	0.954829652380282	0.891495618778014	0.854173358668018	0.985582751605559	0.893108509667827	0.96336905625201	0.931029466152073	0.664981490538106	0.812224345975636	0.725673809066852	0.882653910195625	0.936605574235036	0.781854921969511	0.893834038812961	0.935701288376202	0.973831686093899	0.960584268514002	0.97710893110186	0.690971725404883	0.962440445940916	0.928406766036561	0.935343396881288	0.861502237363614	0.909877895876913	0.808703641020772	0.619374735408749	0.874617781793511	0.984153836253643	0.909481169706081	0.704190015937865	0.853767886664905	0.881313116453219	0.659395122561488	0.381868987585496	0.616127509650801	0.586791897285226
LRP6	0.895503574898312	0.922131006569917	0.94452364091769	0.990989784978776	0.944114005523266	0.972495736818552	0.987835121751721	1	0.745406066536032	0.939359868716738	0.974898143181446	0.9639803620827	0.948769685688492	0.990208002031525	0.928153738755736	0.934251525760426	0.938346659472153	0.943557111405298	0.942558980458332	0.992985601416206	0.933094254157009	0.982138311782524	0.958742944352026	0.928878032545698	0.876445629971867	0.728741711244814	0.942526450821463	0.994449973829024	0.965294879606885	0.98398029594268	0.959973539986336	0.988767580019254	0.935002881983911	0.955512672136766	0.980586495068667	0.898386228110719	0.98040251083218	0.890463147467911	0.912553241734607	0.978333197451245	0.971617027402437	0.906878849220892	0.911152362609578	0.969742533223907	0.943704410799961	0.984227409668966	0.930514556947161	0.751247590051867	0.881052292913895	0.763551431110566	0.933715156462623	0.961659362930789	0.81492825293259	0.933739241363929	0.969896200849968	0.990651628911873	0.976295889557458	0.984433222926612	0.763835573977967	0.974504038135813	0.959217760941696	0.966387354278924	0.911074261185286	0.951599343624089	0.854098173589365	0.669356047103678	0.895805632097619	0.983682975311483	0.947738988416688	0.752216893986787	0.880441788974115	0.908346945988674	0.676386841339315	0.410492933612844	0.625648238138114	0.620320950903418
CAV1	0.839896525066112	0.930132614064797	0.896052496844235	0.73611167452439	0.888336315401155	0.596132372138524	0.666267305921149	0.745406066536032	1	0.905608322753795	0.748671917846912	0.797153438839662	0.733067910878846	0.699897790433114	0.895215663898702	0.905203786088129	0.561826454099955	0.847972370892157	0.879077883407056	0.763826420674411	0.8326214491649	0.798259672504884	0.8837162106453	0.87593149613796	0.804799109792301	0.362077614198413	0.86570994074988	0.711200333598874	0.597343836917883	0.80305521778551	0.782308312091609	0.787288265040266	0.644706238765552	0.659255027513697	0.749259115119069	0.93958546612549	0.800016519636931	0.549790529121681	0.881656777800296	0.664922426950611	0.838811292446483	0.576533000624271	0.87173902090309	0.68785043741433	0.893114519165132	0.825620999027739	0.570872027813785	0.868174409559068	0.903139939350848	0.72913368853782	0.894235471290073	0.797109746129989	0.785455533849993	0.828889742419007	0.841690980849465	0.765242883200783	0.804266484317174	0.783030079622551	0.846501016001102	0.796079809080337	0.858841731180657	0.866698702360747	0.861131786930718	0.866451371655343	0.85049802258983	0.645373830850807	0.743763681776403	0.742093100548791	0.808337413598605	0.806071724816416	0.795141992152518	0.807940534724867	0.50609299210473	0.265783771535212	0.418612535837362	0.506598768593392
F2R	0.906500568142251	0.979278533419637	0.987263766743356	0.926807326257446	0.989449524392196	0.857704377366704	0.900413344803609	0.939359868716738	0.905608322753795	1	0.933102807949637	0.954680685524983	0.916445994319499	0.917337241452753	0.987327586311009	0.985440425463771	0.817209326407731	0.977362569913511	0.989575675133206	0.951806787525446	0.966158094735714	0.967290900012025	0.992897222673796	0.972243829008413	0.913203797988232	0.629831026526453	0.964234477214308	0.92508829047062	0.848528161505977	0.971679414117394	0.941071129024405	0.963287465949353	0.863432433657975	0.885578920395044	0.941601495899718	0.988719912097488	0.964586584918607	0.796079132110611	0.975580261780354	0.890572761885261	0.983204556395651	0.79137966191704	0.970510944739787	0.901405517591353	0.976396584872303	0.976901924540613	0.824756370083995	0.85471941755574	0.956850865913717	0.838032216736757	0.986079780823018	0.968654657069008	0.883866403250901	0.964470921940633	0.984069721364997	0.953898834369875	0.975246543700935	0.961131500137998	0.877643860321451	0.968416429226109	0.985380800393039	0.990708729596388	0.971057292486422	0.987842254864555	0.939895328670973	0.758939849756236	0.916980763147547	0.946396393173018	0.960440919442182	0.861397400629362	0.93610274212649	0.953072288909727	0.703943878987902	0.422347156298885	0.632335608955995	0.659441255864808
