""	EGFR	GRM7	ERBB3	ITGB8	ADCYAP1R1	APLP2	ADCY1	PTPRA	PLXNB1	CANX	TFRC	NOTCH1	PLXNB2	CD81	MTTP	NOTCH2	RXRA	THY1	TNFRSF1A	SMAP1	GPR37L1	GPR37	PILRB	TNFRSF19	C1QBP	S1PR2	LRP1	SDC3	LPP	ITGAV	ITGB1	SCARB1	CD46	PTPRC	ABCA1	TREM2	SORL1
EGFR	1	0.73934047969883	0.0861785945440373	0.982209896686588	0.976127186901954	0.978421317099092	0.90923317047251	0.990919865468119	0.989763672760503	0.996570759916768	0.919639560081814	0.990763171322541	0.270280409329316	0.891708462605175	0.981124130621102	0.9941417503847	0.875746034057932	0.0162379157540421	0.912230286943309	0.992328254400191	0.995370279754658	0.983365324502529	0.983140479940831	0.994164361712867	0.995826557410682	0.961391249229567	0.952001668866537	0.983609724981562	0.874434406776697	0.969039108573691	0.95365298279352	0.20041129170903	0.966266828892336	0.258951588061696	0.57260480737228	0.267141346733418	0.503749120199454
GRM7	0.73934047969883	1	0.627275016781183	0.820276572843507	0.715527890959674	0.84395035495427	0.875724631590433	0.812530838835062	0.787098305926984	0.76815037791705	0.871338154251637	0.783168754066749	0.676561504140453	0.87370638018685	0.826706652251676	0.788987558285655	0.908676849349318	0.392092630117097	0.887695158713002	0.790931263195578	0.797983358739857	0.81259760788773	0.830341789422072	0.75721026276253	0.688807942695345	0.57870216138577	0.883710478393551	0.834337936288558	0.887331470948906	0.854650617639388	0.862501169948477	0.679828689298894	0.757507905693667	0.616945994125316	0.835954715780303	0.598245659777462	0.800081019816764
ERBB3	0.0861785945440373	0.627275016781183	1	0.138450844637841	0.0140750933219172	0.225837082260681	0.195292154423599	0.162513627340857	0.117002228800831	0.110469922094052	0.226774866789174	0.116829444584468	0.526732327000729	0.229656047059587	0.159907214488506	0.141447906051367	0.287580576172261	0.833477609176223	0.293118695211516	0.154567716727761	0.168728207247081	0.150699193127058	0.203949114391681	0.0998299804673038	0.0424071870621463	0.00160762546072314	0.307971148465609	0.179658074621524	0.357812175979208	0.273340107076136	0.24862097279164	0.656003491484719	0.245846967730067	0.411389845882082	0.394955914599963	0.330930773494527	0.464718675566024
ITGB8	0.982209896686588	0.820276572843507	0.138450844637841	1	0.970015808812323	0.99135706172176	0.970173060208814	0.995488590541414	0.991516362134463	0.990356810640446	0.969663323144917	0.992296070702634	0.397244117933229	0.954094688367186	0.996263683881627	0.992301923120573	0.94477467596502	0.00411563015820735	0.959915906840006	0.988543824673178	0.98910641900921	0.995920908084842	0.991344808835169	0.985304165109864	0.964806340925873	0.89508572942409	0.97540798534825	0.997471985929878	0.921173532762688	0.979465890722754	0.982351257093438	0.327678209335249	0.934432141861022	0.392093754113554	0.699336977392631	0.411320837173958	0.623864735769094
ADCYAP1R1	0.976127186901954	0.715527890959674	0.0140750933219172	0.970015808812323	1	0.949771327181123	0.915141963173891	0.963941513345926	0.989519031928077	0.967622366280205	0.903361329425281	0.982972428328241	0.234663557327959	0.876132901573391	0.955649700018095	0.96343996136063	0.885971664025157	-0.0862599633532	0.877888516452823	0.95644789165022	0.966037390180125	0.97735549569428	0.944306624129082	0.962117144791416	0.977507912366213	0.928560258392287	0.922153119011541	0.959630405260551	0.828143158725149	0.923664032675041	0.914683903303291	0.172509255512582	0.893685612380545	0.247419951298694	0.572381457032118	0.247627095139222	0.47971861195417
APLP2	0.978421317099092	0.84395035495427	0.225837082260681	0.99135706172176	0.949771327181123	1	0.959401752499924	0.992946311657471	0.982661280271337	0.987850847930321	0.974260500552936	0.988880014740857	0.450067681749814	0.956655987752648	0.98832643778592	0.993256074935088	0.945657527278135	0.0977838555628174	0.974601020931143	0.990451446037449	0.989996254605527	0.99101724059071	0.99519850067093	0.981937407596091	0.960396538090737	0.89304817005212	0.993421205339424	0.993676737108646	0.951545426332318	0.99451411584305	0.99163491731271	0.394350436390802	0.957436599877116	0.437365002559896	0.719523879741992	0.430350758851307	0.66354165358493
ADCY1	0.90923317047251	0.875724631590433	0.195292154423599	0.970173060208814	0.915141963173891	0.959401752499924	1	0.947775533076869	0.943581015704577	0.930426267846475	0.988143111033384	0.947141956640059	0.554379653952711	0.989260893594338	0.959047313753537	0.939262263235598	0.9903999287551	-0.0161507861642122	0.97545854241999	0.931502800315841	0.928649456531878	0.962964499265347	0.948422764463494	0.923569019313142	0.878220456337226	0.762615857737747	0.960111424504708	0.960855967496244	0.94126728442666	0.942114593285936	0.969755150426555	0.492583558121548	0.843593236055883	0.560742893586364	0.836994832337478	0.587761041865162	0.757734175645076
PTPRA	0.990919865468119	0.812530838835062	0.162513627340857	0.995488590541414	0.963941513345926	0.992946311657471	0.947775533076869	1	0.989925598882443	0.996121625455966	0.954515149993333	0.991156245834087	0.369665649848602	0.934248267316467	0.997152797723666	0.99741111221435	0.921221735401151	0.0598292366202277	0.950983540181657	0.996351582620109	0.9975840394486	0.991108140301916	0.997387111370679	0.99339621886563	0.975311293009177	0.921592442918392	0.975605418008336	0.99856506497703	0.915635770010607	0.986871943751448	0.980413052603341	0.298447470574997	0.961680525007247	0.348791056500307	0.657724590661809	0.361430503176124	0.590072718442678
PLXNB1	0.989763672760503	0.787098305926984	0.117002228800831	0.991516362134463	0.989519031928077	0.982661280271337	0.943581015704577	0.989925598882443	1	0.988614656070471	0.940999705280574	0.997155325863692	0.325292688922561	0.917168936288164	0.984058400294479	0.988238561314767	0.919368499782247	0.0110713049646547	0.927959560176703	0.983442200182367	0.990621290992052	0.994779512517574	0.979473748193453	0.982387585418343	0.98208296334926	0.928192209146639	0.963714798919222	0.98798218936453	0.886772630582586	0.965673939502734	0.958092546499877	0.260422192599122	0.935300808313827	0.318820739217741	0.6341147270859	0.318874729298292	0.554417164901595
CANX	0.996570759916768	0.76815037791705	0.110469922094052	0.990356810640446	0.967622366280205	0.987850847930321	0.930426267846475	0.996121625455966	0.988614656070471	1	0.942931742485135	0.991573609136119	0.323667304749116	0.919996325751198	0.990215203194758	0.998755856884275	0.898384535436523	0.0155003331472616	0.93771782285689	0.997030336590606	0.996691671948085	0.988402947239652	0.992415084320205	0.995369790632778	0.986558437172689	0.940904415856451	0.964891154349338	0.99177802002636	0.90222454921776	0.981102772647697	0.972323127320639	0.255454998887513	0.966563520713801	0.318045511094012	0.623506953786553	0.332835952972191	0.558385617118253
