""	SIGLEC10	CD40	C5AR1	CCR1	CD86	TFRC	CCRL2	CD163	CD74	LILRB1	LILRB2	TNFRSF1A	TREM2	ADGRE2	HLA.DPA1	SIRPA	ITGB2	HAVCR2	ENG	THBD	SDC4	TLR4	KCNQ3	TLR2	ADRB2	TMIGD3	FPR1	TNFRSF14	GPNMB	CD93	ITGB1	CD44	IL6R	AXL	STAB1	HLA.DPB1	NECTIN2	CD63	PILRA	CD4	CD68	PECAM1	PLAUR	APLP2	ITGB5	ADCY7	TSPAN14	UNC5B	SORL1	CXCR4	CANX	CD81	ITGAM	IGF2R	ITGA5	CD72	ADORA3	TNFRSF10B	PLXNB2	TLR7	TLR1	RXRA	TREM1	ITGAV	TRPM2	ITGA4	CD33	SDC2	NOTCH2	LPP	LRP1	RHBDF2	VSIR	PTPRC	PTGER4	SLC1A5	RACK1	SMAP1	ITGAX	ITGA6	SORT1	ADGRE5	SCARB1	CADM1	CD69	C3AR1	ABCA1	NRP1	MCFD2	TNFRSF1B	SIGIRR	PTPRA	NCSTN	TNFRSF21	MRC2	CD47	RPSA	LRP10	IL2RA	TRADD	CD46	C1QBP	SDC3	NCL	PTPRZ1
SIGLEC10	1	0.642148662867472	0.511794790946758	0.840472432202799	0.527162979038427	0.256423853833833	0.196192447592738	0.891168411268346	0.59683985153794	0.727968169123577	0.680609388735695	0.763869636446153	0.71371382566808	0.333187726460825	0.367873960932658	0.767074771174819	0.934902712924346	0.253723207095727	0.908292419311138	0.701740586991792	0.330278178589244	0.545957315690121	0.420751714420156	0.661682910386551	0.00679092103803194	0.259211615750293	0.647904967215408	0.623850275805308	0.541544898213773	0.86087841219947	0.699469329728447	0.784916542364439	0.447747632630722	0.548643352879808	0.900249267766138	0.232271911190537	0.713821164935386	0.763225120270638	0.29463025076137	0.879300165885798	0.91291608524455	0.149064957088679	0.0744600778186566	0.847899850263888	0.892420915897763	0.655024112956734	0.54543114165158	0.668475194272855	0.126130320493525	-0.240480320844314	0.850690057039352	0.846419408472313	0.877870098705753	0.620826657183916	0.508377068972884	0.14167955246255	0.892146502608284	0.389392996048682	0.755593909897414	0.361381406848131	0.417791485862331	0.678625372515466	0.0418446515990136	0.596855945370577	0.909849375732778	0.717551760930555	0.854721208925962	0.249185357798822	0.266354427405843	0.525095921230821	0.803263358093992	0.109363310542992	0.210419728848297	0.65995508737643	0.398114463659981	0.553936183067653	0.589447194128763	0.723952853166701	-0.146362920669594	0.515372475246303	0.381228926626862	0.436452979445969	0.391310447231544	0.297515960037297	0.159994477781625	0.610071006201	0.516514136872965	0.908489503037736	0.712461378572681	0.381660337114489	0.448862168043687	0.302532044664559	0.674476044514536	0.329219197519472	0.272675216114858	0.862079761440883	0.729267665518786	0.696650602205978	0.695034768274643	0.745727376888311	0.702998410533766	0.756639562334731	0.572430161084281	0.743673361013496	0.0340537248408095
CD40	0.642148662867472	1	0.442497447830056	0.6768682421298	0.597345778378913	0.563822507565073	0.625414410676984	0.405679066190465	0.384400757260611	0.622991474007484	0.0831680381758174	0.515323133125894	0.678356684447633	0.294631102014578	0.109511387118956	0.587592362720954	0.667781754168044	0.672224776924899	0.556468177955128	0.276830035834978	0.405581589587133	0.254582750265605	0.430354199332697	0.647479292723443	0.477098108744631	0.609876202718828	0.751226164914708	0.294537713935839	0.438924536257808	0.377751691437487	0.695033331318094	0.452627329191987	0.705814151814089	0.706566441972004	0.448875483039651	-0.00407685098576288	0.500683538298079	0.608058813399031	0.514429791905839	0.635677992935468	0.617232941539314	0.296267618565836	0.573974161424683	0.665446711920007	0.568212349119539	0.427769102087535	0.742447941558326	0.402429181528116	0.55999208314974	-0.156360649279872	0.494481076416903	0.638283752728662	0.499159170162588	0.340131177727191	0.620483774411226	-0.238231601840688	0.5282575393017	0.625429548488385	0.520259581837712	0.449836609575148	0.358944166527019	0.609002352571945	0.0632747956399779	0.781132728035117	0.642911113758294	0.269268941274322	0.534310556894276	0.335893460677322	0.130881051719483	0.478768259082058	0.595628239179073	0.36154506825223	0.238342297850161	0.694166243752922	0.73033387409489	0.718125661030913	0.409458585229063	0.418853928751651	0.424768553961499	0.631776986043776	0.54077409299475	0.425580101173989	0.524433820702272	0.0821322823658469	0.536657940529792	0.66916267179108	0.63039837736635	0.615775020533348	0.518059016034881	0.376920563848969	0.402888824241145	0.344449796907764	0.542966838916842	0.0403614683758076	0.376295651315184	0.632123786370594	0.483073753516367	0.704646790121232	0.192511548954091	0.573727708096079	0.497533021696224	0.529754225490969	0.473806170560865	0.562483274013682	0.106226393503637
C5AR1	0.511794790946758	0.442497447830056	1	0.398780101662777	0.522929491877632	0.544629568414707	0.222848488030199	0.544223068554396	0.651544649759907	0.546476586437272	0.449823318441696	0.465471561780222	0.613687042978055	0.683530269696066	0.49663377884465	0.582978086558109	0.570494359086794	0.151936519047737	0.54471150991284	0.555145257158938	0.274148056833065	0.522624780005648	0.470563164042927	0.442088631490143	-0.104362837462951	0.0981279738282706	0.554155428962555	0.606837002056339	0.242603488851252	0.547678534758185	0.48655676206346	0.594101241495653	0.432174735772894	0.492194412908449	0.523132863476418	0.474503015071478	0.559972486891939	0.377957172819381	0.507516498304294	0.626684105974246	0.470935112251107	0.520289653751192	0.442282013642807	0.519511538762543	0.522367955369856	0.512650715554018	0.462151975330342	0.513545355643317	0.371621934853846	-0.0885216923790323	0.449607863945916	0.645898753388322	0.378376112071924	0.295440962992847	0.4491915545258	0.363623287538193	0.491026364642226	0.328399497987482	0.489727135536785	0.569093606213222	0.215036764630183	0.389340216811828	-0.0487699244135249	0.525592081430916	0.488171248270743	0.472362100972961	0.517398670961808	0.0391093654279359	0.427999547520089	0.315189421191462	0.498174454659241	0.417733755315003	0.474653953726518	0.531167457793139	0.486875588768242	0.267748599286957	0.596176793072157	0.413832390450895	-0.0245523882837635	0.49434937257834	0.28408384102808	0.226034030102657	0.342901234898254	0.441604779191093	0.16341810264981	0.308344216130328	0.569626898855678	0.395789493404053	0.372343644990253	0.64176147433864	0.465484823398519	0.214737876439087	0.284522924485059	0.341598406755681	0.271128682973234	0.395340414906557	0.467028469655026	0.558595678931131	0.476933635981815	0.381513066577737	0.47114426794465	0.305671306629905	0.36093052883075	0.397526284431267	-0.0223786076394664
CCR1	0.840472432202799	0.6768682421298	0.398780101662777	1	0.504819910219393	0.332107205307693	0.381255638910954	0.751531116915945	0.259248458028823	0.678498032120039	0.508875087661006	0.675435175288746	0.628011194332127	0.0914689355734983	-0.0313101830488643	0.715273296064934	0.811520377019853	0.402430375624505	0.833074718790219	0.555961877283135	0.426103664757996	0.277779865202865	0.267278199643238	0.653251103427229	0.26667370276301	0.503534090294349	0.6325846662315	0.31830289941224	0.660672948392596	0.66047777725607	0.642886229540764	0.671059768093694	0.576555835938927	0.463404160656449	0.781842096422576	-0.168208351101533	0.639138195441547	0.708983489908708	0.287444888530046	0.746416156234053	0.873112961127513	0.0612879080765286	0.179329165197046	0.842508478569505	0.831786248939921	0.442075606207604	0.578937608759541	0.47525356765943	0.198824181511008	-0.452212426823778	0.733441342925477	0.734391558003735	0.806491811267629	0.613549967341928	0.545102203086055	-0.212751464228006	0.748258406580916	0.46656640860035	0.58912719107138	0.329964013395647	0.42217004900381	0.638080699782243	0.192080056161827	0.641233206008188	0.810462047954957	0.476731538116693	0.696550419593628	0.349501057298607	0.15281371145954	0.409177661041975	0.7405696456505	0.111367141203436	-0.00479548622888103	0.527380860485508	0.451315234995469	0.493023892927187	0.285610029427289	0.546223546032187	0.169132597881734	0.436989585140419	0.388994398889981	0.475279457498719	0.456067675867072	0.0185231807107092	0.120710121803356	0.646401839880457	0.542372522767978	0.874401990717576	0.615108119209239	0.11663582878378	0.282382748070919	0.24826061223924	0.629087951458531	0.187713025010878	0.249005810648549	0.741476742878194	0.474645618173044	0.611245976448503	0.424135518392406	0.611358577849679	0.567108416455104	0.561360871545812	0.521418283461975	0.585856749635862	0.0352125252739942
CD86	0.527162979038427	0.597345778378913	0.522929491877632	0.504819910219393	1	0.448777528047359	0.435139798487741	0.414820049557825	0.548644550175086	0.58891743543228	0.293223186030342	0.365642413408951	0.635367831435876	0.413778402120438	0.388190999968613	0.557345256771873	0.642802288551137	0.447148092563688	0.415963300473769	0.332972281963986	0.331009338858838	0.421213596481188	0.414943309604425	0.556138427588626	0.234600297118428	0.353903855234522	0.674014838233524	0.417149264045834	0.358451061756145	0.341468149048491	0.479613973499925	0.457537842807145	0.486093581523409	0.625487228967699	0.417919496891911	0.291614333736878	0.453694590650482	0.415235045906027	0.636571480068873	0.497967669998886	0.544600789151338	0.430393259004526	0.488768601082292	0.507054816094785	0.446216295834243	0.425122745401944	0.535985021099253	0.435833103147839	0.40781944670441	0.0524810174130254	0.362468482484161	0.501174321992624	0.376332788446886	0.288258376362871	0.344020645069142	0.108813044427044	0.488559530088277	0.474717830181833	0.36376085370098	0.519698324931983	0.353542803056851	0.364552506756049	0.115679780465652	0.495662403906751	0.463590311179034	0.308680852486876	0.48592808189206	0.162111056687614	0.28430903111512	0.272808125460224	0.425761183519702	0.335532349868342	0.458978961944417	0.609695552088449	0.574803463026048	0.439166120574308	0.455202257526126	0.400115528653872	0.155300785197017	0.437312386482605	0.236378153653274	0.173325781467502	0.429902604917049	0.182102216927284	0.330807679243134	0.527790112966375	0.515142342473436	0.437210193817668	0.327372442836164	0.399805085390153	0.434132330951869	0.111808523557209	0.371226437565213	0.0523041034682366	0.198341328418995	0.448368838062032	0.422615060350613	0.493959453354348	0.29953822955505	0.413058218684557	0.388493249358975	0.309714706565891	0.26545679458643	0.407138724591657	-0.0692213776501132
TFRC	0.256423853833833	0.563822507565073	0.544629568414707	0.332107205307693	0.448777528047359	1	0.469842167629524	0.0634162855856227	0.276418349597316	0.364060721567278	-0.130672459679429	0.341816893601978	0.638133382232918	0.555460463299621	0.0465846920850736	0.374770302101966	0.305676270571773	0.681520290127546	0.290551960283359	-0.0731210867979238	0.168751941376307	0.238773063143129	0.561665033188109	0.408529999959255	0.350243850866851	0.553950397304251	0.645550256560346	0.0651698714324797	0.14372784962665	0.0156221148891823	0.470211662285571	0.109061442394859	0.714803048609589	0.677343596985685	0.0999378462477348	-0.00549694225498658	0.358955974659737	0.201824987859992	0.548221345520893	0.372472641989702	0.196547188057254	0.373355273128277	0.620092305554468	0.32974329423433	0.205969073942068	0.20367798844023	0.744565126193312	0.290680693759442	0.85226607599776	0.0200751400040371	0.11419615505922	0.48475576866685	0.0397453127905221	-0.0566448664263661	0.455772707385815	-0.260698817564911	0.207877232295666	0.443254402363541	0.329045695171294	0.657309534529604	0.403065489525127	0.252131754649178	-0.103714554637091	0.728729268170887	0.291627461110142	0.0282633700732657	0.232492542847351	-0.00237662516450154	0.0875110100302345	0.273840167716549	0.311993457557514	0.773453359163643	0.523346404812988	0.570305577678752	0.719146045669742	0.371119242801481	0.212628375544072	0.020389933091804	0.548041250793872	0.599084997233632	0.514110669478314	0.335671022534033	0.399613932897145	0.17210085252686	0.543720399566643	0.459012601087654	0.503171186498666	0.114811519821762	0.173123951431538	0.55097702748454	0.162388397398009	0.295345981322456	0.277459887098152	-0.0420360495570242	0.406193334602578	0.206211049628918	0.176007515564276	0.47107169971813	-0.107221877010864	0.163243499517738	0.332801606009024	0.102812283824114	0.265566464314711	0.203631815065549	0.119421200975242
CCRL2	0.196192447592738	0.625414410676984	0.222848488030199	0.381255638910954	0.435139798487741	0.469842167629524	1	-0.0180786786515752	0.00547384291713863	0.264641146016809	-0.238178194718994	0.00527424237727101	0.482691264548143	-0.012063644671652	-0.198588650891428	0.333918239927049	0.25039533702157	0.78163565779005	0.140341624354497	-0.0965741100272144	0.524559623300209	0.0222510513092457	0.0811045439551589	0.233164624028371	0.808646563797937	0.82746790576838	0.544124369655436	-0.185808913602917	0.405554652940798	-0.118494858598421	0.352683159737932	0.125498349232442	0.707760308574003	0.485408373566011	0.0247986500211984	-0.292795498760396	0.0221055910571178	0.242835563633214	0.586494589843874	0.176667711152517	0.282430880848886	0.24913676732076	0.835111090267833	0.373523585957677	0.067599438306058	0.0395375408431385	0.505610406903233	-0.0407089759590397	0.558723937056183	-0.301585203779547	-0.015135367720019	0.216722901905282	0.0587670641063931	0.0108180023805936	0.460030152331517	-0.375969112989705	0.0691925086947521	0.460730849383048	0.02214006045725	0.429682947415644	0.193236181640559	0.272988802369547	0.12320806859227	0.6176651084438	0.161103778555113	-0.281662282219845	0.0853984759063103	0.182486131891357	-0.265779866177883	0.0511942014286091	0.244427946414766	0.210466597627559	0.000599528782164593	0.202354715478866	0.690351519239661	0.347679195872697	-0.0367266958073244	-0.0798272595427748	0.59509029464546	0.246918615427637	0.326766300477009	0.0185226440879987	0.546622513237678	-0.25647852975485	0.295378578254524	0.535464913937296	0.582793020070737	0.219945283211907	0.0462123733508429	-0.0429921514055571	0.19938742118834	-0.00517020257102045	0.184581509983503	-0.275791091860217	0.075847426231521	0.129169233751184	-0.0603443478851927	0.239569572160742	-0.298423208812771	0.172840265994439	0.00675637683788742	-0.0583317024115055	0.103598507651427	0.00975535112207732	-0.0962652075068165
CD163	0.891168411268346	0.405679066190465	0.544223068554396	0.751531116915945	0.414820049557825	0.0634162855856227	-0.0180786786515752	1	0.595727499854869	0.628996870848768	0.873747960826829	0.733022988478487	0.556510525997074	0.300018082821869	0.430722201630615	0.73274127838094	0.84660411925988	-0.0692982718309882	0.902275817895737	0.860706705108802	0.346985639977859	0.540709084303269	0.334010432398157	0.534124019513196	-0.236516390011936	-0.00536587050942131	0.42329073290617	0.705905062341526	0.559364858952324	0.955097738000843	0.574336477364679	0.881133934564623	0.246325692478511	0.331765662552747	0.977531066447907	0.334543053897404	0.73068992486778	0.704731536231743	0.214333562891782	0.842484469208926	0.888174203541239	0.186072230849005	-0.105821887755959	0.796371222117109	0.915617973037791	0.650444852517817	0.294553368244787	0.651672921886075	-0.134350489019892	-0.297322967673021	0.873380861169841	0.796237796316696	0.894888595167088	0.730941711475637	0.430502455337466	0.363333466982612	0.885174222043048	0.221924991382903	0.733658051205275	0.228596100873262	0.223392232961189	0.616752956541997	0.0465028910701544	0.393927397800757	0.850199829244358	0.805547822302023	0.837486689965684	0.248322466777384	0.395731240432399	0.467553703636888	0.795994530867413	-0.0988862508187299	0.0770107722838677	0.490663539755687	0.149108193470305	0.334810209427866	0.587120606759899	0.775515558862516	-0.385675359447316	0.35972479069601	0.19947701533716	0.349073610096891	0.29390976511122	0.392872326209969	-0.105496075382119	0.358765733552718	0.473521814840692	0.896806634061188	0.680249978337468	0.307039074882485	0.410379103559865	0.242167260207374	0.611422894638906	0.493633065269431	0.182489285200012	0.806664455696876	0.688395073468544	0.58384769588868	0.869516553334858	0.718383865286974	0.688550040808924	0.700365976889846	0.54482498266204	0.704933009593355	0.0135941855058442
CD74	0.59683985153794	0.384400757260611	0.651544649759907	0.259248458028823	0.548644550175086	0.276418349597316	0.00547384291713863	0.595727499854869	1	0.627462983416322	0.557208936859448	0.456969720908634	0.6074422051608	0.74060481016707	0.93077751601888	0.465099630273831	0.605962377192609	0.0689421499764155	0.512633203133849	0.482392013775825	0.0948980035252628	0.743009336076524	0.595913451041323	0.313574228840786	-0.26514551757261	-0.167819480972375	0.514262720028649	0.774192054341006	0.0540173957284806	0.606961799781044	0.433708592134908	0.561857724475803	0.170250598858348	0.561164281790058	0.595159956795425	0.870349715406354	0.522563424900713	0.361203382274476	0.463806298500162	0.693644919585284	0.455936833359312	0.498174270883161	0.205506196035734	0.409257934832886	0.510332640376153	0.615939299184156	0.310494721458583	0.720545525748305	0.17261962542952	0.267763901842397	0.476673495813708	0.644983763434295	0.400712502020282	0.252148444332769	0.108368184841567	0.584714192032348	0.610148509457631	0.240530139985538	0.531794865111067	0.535480779623417	0.238621892797587	0.259944054123309	-0.365211243255675	0.394855131156701	0.541950071384724	0.724124685255244	0.645645414636856	-0.120728305551708	0.457111789199418	0.370856255531873	0.45648562550609	0.225824589193386	0.674741584835887	0.664945909539752	0.402693854149203	0.344828129660638	0.828367440456618	0.513987048675907	-0.395758543337713	0.479590933842477	0.119223390037527	0.00117198325678951	0.339496571168723	0.688166154129477	0.292407269700402	0.232305992620736	0.369256078586634	0.418975270227921	0.377594566167537	0.742454348851605	0.555020669510596	0.204125318328609	0.404897667815644	0.364412816502	0.229370576636742	0.482634080988637	0.715272504906899	0.578087712793088	0.714267858923833	0.49659531186993	0.518619322280584	0.498278385476778	0.311732348828452	0.540254430523526	-0.0406426911829948
LILRB1	0.727968169123577	0.622991474007484	0.546476586437272	0.678498032120039	0.58891743543228	0.364060721567278	0.264641146016809	0.628996870848768	0.627462983416322	1	0.470057348606051	0.549073649541984	0.623664654959383	0.397948748738206	0.407926089790131	0.491243823612792	0.730598680248403	0.370719926966865	0.658377401197917	0.445625632884497	0.181763514998255	0.515106037557243	0.526119478592442	0.538160501160714	0.0821893693650395	0.22410604058843	0.706085762377412	0.505359788062287	0.254245013647874	0.603526737337297	0.517593260246676	0.570352067240512	0.465344655221321	0.532387314640433	0.649224570909782	0.294443516892943	0.59191367477245	0.487817254206339	0.321098263114945	0.774754243647365	0.647506386381558	0.293942217233277	0.302224330236386	0.622751949949127	0.698245062079196	0.611585367224727	0.51939553894654	0.629266408377361	0.27690465008819	-0.110195856870539	0.581201571572704	0.671204482257546	0.608438018429731	0.36765212400155	0.319251953387694	0.027789546884701	0.693655113911241	0.413656817888571	0.495511887003866	0.522487199435991	0.507184339717218	0.401665976734874	-0.0580043771334441	0.614387243586749	0.689018204744196	0.614788192067053	0.718432724154875	0.0405830253349611	0.244804680842709	0.368532101463137	0.560349013399199	0.288854767922703	0.439360017031477	0.683971578569952	0.572951489196064	0.54311409178919	0.554849752138832	0.492106746624425	0.0495930070329484	0.542592524414984	0.214984289748044	0.211217305879249	0.379255669239194	0.309188522329898	0.331470350394861	0.539273693118415	0.369070723402558	0.635951584235514	0.431823806213764	0.494721884357381	0.406423094052948	0.208381938235419	0.494951714545834	0.179745350555033	0.248837769310326	0.581855844775636	0.606534543174854	0.651546803734646	0.490918709279162	0.487758083250932	0.514705261937128	0.491301810017013	0.375562465113269	0.556274863161218	-0.051817978550159
