""	ERBB3	LRP6	KLRC2	ITGB8	PARD3	APLP2	EGFR	THY1	NOTCH4	CHRM3	NRCAM	TNFRSF12A	TNFRSF1A	NOTCH1	CELSR2	ERBB2	CD81	CD99L2	PILRB	CXADR	PLXNB2	CD47	F2R	CD9	SORT1	CADM1	MYLK	PDE1C	INSR	AR	SMAP1	GRM5	KCND2	LPP	CANX	PTPRA	PLXNB1	LRP1	ITGB1	ITGAV	PODXL	GRIN2B	ACKR3	KCNJ10	IL13RA2	PTPRS	LTBR	ITGA3	CNR1	SEMA4C	TRAF2	TNFRSF21	PRTG	NOTCH2	IGF1R	LRP8	ADCY9	EDNRB	MCAM	LRP4	IGF2R	RIPK1	LRP5	ERBB4	LINGO1	TNFRSF19	SLC16A1	MCFD2	GPR37L1	AMFR	RACK1	TSPAN5	SLC16A7	TFRC	RXRA	TSPAN15	HLA.DPA1	S1PR2	JMJD6	TNFRSF14	TRADD	CD2	ABCA1	CD63	TSPAN14	CD53	CD3D	CXCR4	ADGRE5	ENG	SORL1	CD74	C1QBP	ITGB2	CD44	RHBDF2	GPNMB	CD163	CD69	PTPRC
ERBB3	1	0.856337059187196	0.473192965139479	0.695504177433471	0.719963002469581	0.714293129992207	0.334693160637434	0.836854831317618	0.767649612967459	0.80778594936112	0.669752840548483	0.703517277373087	0.755477272997725	0.771459069750696	0.767955699725968	0.637252931022957	0.754470062917964	0.723242920902482	0.713057171972179	0.794713901713607	0.71075934491907	0.768140709164033	0.709688883582688	0.745371146207419	0.711171332692325	0.622586614677717	0.592304936238136	0.567305571158622	0.837407580625798	0.683601936968309	0.83228615524434	0.688578190633144	0.725505424218649	0.776875492638953	0.773601246896544	0.750200143843735	0.747726815738412	0.762779228019756	0.758269056537939	0.682555594490578	0.815307816226617	0.587544178008203	0.678279719017416	0.706381004155671	0.674041852633863	0.690293921631677	0.753107750624333	0.687028997253358	0.47901077086841	0.816850382553123	0.703904279219763	0.821028451534844	0.836191239446395	0.652948800277706	0.683157544227043	0.640662787259914	0.634560538842889	0.792612286060317	0.83068213780043	0.683034118119517	0.578851955611608	0.796295302354319	0.72307410418304	0.663961526999625	0.696062952527574	0.57125538720568	0.756826146208657	0.764061236575696	0.813659960190816	0.740219266318344	0.893198861049345	0.673568671661287	0.7557888192981	0.722736196449044	0.665238997753303	0.877081710232393	0.412797290977746	0.839542046261327	0.792236125647556	0.507456742330839	0.687546685125386	0.145064798956579	0.643539882658381	0.769536057102136	0.785484213594202	0.267145593846202	0.17883088011094	0.333847008092663	0.65119071836026	0.671632437576203	0.561611192543892	0.398972619072781	0.90878867672724	0.267508122719011	0.312460422426989	0.647082892687401	0.227604952439014	0.226437465835557	0.203659828012367	0.257531614013063
LRP6	0.856337059187196	1	0.474953673216201	0.841158829902093	0.896741838638691	0.896393079253564	0.533241515977871	0.944356296106249	0.851473709320153	0.899589590120566	0.836940740391852	0.828874388898601	0.860065190177967	0.929520448616526	0.891196098133095	0.772876950985626	0.883117775871576	0.848979366291358	0.912005865535497	0.802467579064924	0.849323910741228	0.913819319712285	0.89220061463751	0.863663019710312	0.886836531229514	0.864593662266158	0.72517300705718	0.730759991549046	0.925537741815501	0.843943266879329	0.956456709843701	0.768860368993097	0.803415099270759	0.929352308542002	0.909600109878915	0.90843158082346	0.872209098559427	0.856557210633238	0.913526566587454	0.848835228769975	0.839119752036886	0.765563989608487	0.783319168592075	0.744449632457336	0.851154700318147	0.871567587833179	0.801688951688113	0.802930579476148	0.69613794207417	0.885157506442299	0.812241645565024	0.880756770546957	0.907191632278996	0.844166165811281	0.890252024747987	0.855579172162722	0.797901042221557	0.882011893006451	0.933772442992768	0.834934666325965	0.792951957514485	0.909920206770893	0.899738842131478	0.866611213107922	0.839539282239704	0.772695693631319	0.944373558506196	0.914024601368473	0.866887558023164	0.884708770745587	0.88490136201739	0.901291172211092	0.896013305941468	0.831226357751615	0.819459505311502	0.853071173945581	0.516414288417942	0.796553921674823	0.945289738432616	0.565970097565051	0.768721087408412	0.130408546040687	0.826481924047485	0.894272667150557	0.888145382775484	0.343529542434499	0.124751734479289	0.32776125862455	0.736331071652837	0.542885084382318	0.71923032878256	0.47814907558097	0.896259319166722	0.331376468497285	0.387089692824707	0.754895143724599	0.372956967852447	0.300062081759502	0.123310958544381	0.302128051311607
KLRC2	0.473192965139479	0.474953673216201	1	0.365233162472804	0.363147188191439	0.385554568451484	0.672025842655462	0.555597943861917	0.436804285828585	0.485654475622574	0.356269953853323	0.415925252781557	0.404204796550311	0.437584049458358	0.493408372199904	0.189464891417008	0.49512607579956	0.366858852573727	0.351859808477538	0.709650135053264	0.34439116338554	0.477132796703041	0.408415364993248	0.49642080280322	0.415858431596644	0.406199395119398	0.38101241283696	0.445442053323449	0.531709610627327	0.366169985107933	0.551580079526635	0.679116921809727	0.659435335538347	0.416775054191483	0.38020565442498	0.487285754218775	0.5077888865791	0.551374866631246	0.354863683183966	0.349261254182989	0.338620464694238	0.220938537496652	0.380415658706733	0.594742402812024	0.386204917874298	0.547179326457913	0.398978813729809	0.449231249256241	0.340565670844829	0.474656703126341	0.347964872456456	0.55522344460622	0.60768171004578	0.325593557853605	0.448482431572788	0.625781282845536	0.496663020834449	0.360811301223032	0.370574878750035	0.463671758543027	0.245807237231502	0.470609766487653	0.424387885935557	0.41028768696874	0.747556413677193	0.2989453435811	0.463033879264639	0.37807463930812	0.528793114314688	0.398946312964299	0.382386772761816	0.443824997554382	0.545647090484379	0.388990554509402	0.317001156185998	0.362934655760218	0.0644600597867973	0.667352223627005	0.567790655062521	0.166086276713553	0.258218566554329	-0.133577622689608	0.340539272241047	0.424734909453195	0.370881087350027	-0.036217639277803	-0.0663091965515293	-0.0675811118484984	0.223444238391882	0.105519797127331	0.195929962304859	0.0313067526426942	0.46274676471791	-0.0396110304720463	-0.0657196777073466	0.391819272156724	0.0783260619194902	0.00532785437154167	-0.140338345653169	-0.0850843317167982
ITGB8	0.695504177433471	0.841158829902093	0.365233162472804	1	0.920679520416485	0.969375764829863	0.457174633020578	0.864219109703538	0.80279498464433	0.908124779861534	0.973583071336412	0.889668811396903	0.949134198422765	0.863536995256677	0.965900625644884	0.948761955073322	0.925083850518057	0.958588419043408	0.871630511801495	0.712311393577541	0.968320905463795	0.955390028811671	0.805633506955506	0.918789141334439	0.958129168144073	0.900958422321958	0.90292545866573	0.909892897089047	0.828659510272326	0.955592101076857	0.848850297079281	0.665947092271753	0.849333252607427	0.961283343431438	0.960325283170765	0.939946373817316	0.94809157455373	0.951490525848747	0.942571360247423	0.987746434241655	0.918858547089837	0.937045769222837	0.83538376728458	0.822425372351267	0.927103568190263	0.818401808098003	0.910698546833604	0.910519985760421	0.755305519281288	0.756855389059659	0.540703191986739	0.860323844781076	0.818711723795001	0.966266702075102	0.916361532585417	0.763182246642129	0.89100970968742	0.940915267913502	0.858213255062724	0.968554514907128	0.877433255548083	0.89509642078444	0.853715444691776	0.937652621672108	0.763223323368444	0.899325668279184	0.909095969094921	0.945824945392586	0.937655814420083	0.96631710007641	0.667945731515774	0.840516216575029	0.887905578416386	0.711845616984182	0.942623309469046	0.652023053458384	0.672164903217263	0.653496274213139	0.844897931550745	0.59912162033689	0.796725524028545	0.189500654375677	0.949614142512831	0.956281123587624	0.915560307498602	0.391183659876047	0.0843431409803155	0.341062398441517	0.782909137400741	0.456287973403635	0.759955956999097	0.635072442332037	0.674612900076908	0.396967970819515	0.487251582914144	0.782491908248942	0.433905529874154	0.370704749344153	0.136294511253793	0.359267759300189
PARD3	0.719963002469581	0.896741838638691	0.363147188191439	0.920679520416485	1	0.947622975089189	0.450127950603559	0.872956701310996	0.800474528704767	0.908692470306402	0.931042530101059	0.903664005608685	0.895393886110687	0.848996148378569	0.918200401786869	0.866561471096741	0.899927646100072	0.903953105397594	0.884299984005359	0.690610499107919	0.937655526431715	0.918198058309216	0.837191197239175	0.879218375477515	0.926477446918764	0.92188624991362	0.822858001318122	0.831478266897105	0.857531588031173	0.913162146699991	0.866225116371736	0.631710319360623	0.782853786422384	0.955902368693656	0.938778533046909	0.91361549568296	0.895064986531638	0.875062949481418	0.964610212075961	0.925555398703876	0.872107227213908	0.871033753560762	0.711115708949379	0.719005001779344	0.885206256131374	0.840671474797485	0.823343633143009	0.886424894916261	0.771189937097352	0.740942759323036	0.611156821181141	0.853918211832671	0.834927590883321	0.923728267909799	0.949931969373048	0.779637171730228	0.87251843099082	0.901572378147732	0.91465113737565	0.888279132211013	0.892521771607461	0.882726208491783	0.908507269328765	0.936381543576999	0.72750055934781	0.867442665731841	0.923544078250768	0.947426373617987	0.852108822637334	0.932358153754866	0.770908744343565	0.890122776304695	0.868415424299677	0.759014891263083	0.916336456703305	0.739321963959544	0.616926731808872	0.677794081716247	0.891875437078293	0.6007924523762	0.788085405720003	0.183761490970743	0.904127884614807	0.932363184286002	0.902758774685576	0.384420854196924	0.122820919284156	0.351773761182034	0.809544142856446	0.480573717444382	0.756040225520539	0.565259321155143	0.745862123127334	0.383650215378026	0.496077049629479	0.796727570204658	0.448406117578368	0.348851634920459	0.129253425012927	0.358631581175552
APLP2	0.714293129992207	0.896393079253564	0.385554568451484	0.969375764829863	0.947622975089189	1	0.503846239725072	0.907468567434202	0.843415322619446	0.928862837248639	0.97449160374236	0.900337346653635	0.960675726280703	0.91505775806131	0.966940793862361	0.911816162108593	0.964804981613567	0.95041201046112	0.924950425713605	0.751995871218248	0.970748403621104	0.967834779527502	0.867505606376531	0.948641727910365	0.979680277501404	0.931489909441449	0.899204306932492	0.904950525187021	0.873174968757932	0.951708589439634	0.90175156771512	0.703195748136625	0.862391048907455	0.983583988927444	0.985906493221824	0.97374556475359	0.941407543033632	0.950548893740757	0.973007142782738	0.98203873256395	0.89882644744966	0.896570652291	0.809239516257496	0.8060706706045	0.939450248170808	0.863454619520592	0.91016066579659	0.913988145757867	0.79139179888267	0.785166172748498	0.634310142565741	0.899916525551475	0.865201095403558	0.978216457208686	0.949713545954549	0.818796707306673	0.896459395730406	0.939566638840578	0.892480228877915	0.954650510919833	0.92976991653368	0.937190740839477	0.909126626822861	0.955717550393444	0.79938159217035	0.924611452895809	0.954648562977532	0.978776026927332	0.919240638691185	0.9783919497489	0.755616725450642	0.905947077104748	0.926739762338523	0.812182182718699	0.953363101220308	0.707781174942614	0.697715188089614	0.711092348998671	0.905610973600128	0.665255811678695	0.834099579149964	0.193153672504975	0.977107186276213	0.97432071476134	0.944251748709333	0.463060945434275	0.127057782186109	0.38293984891182	0.804215744567369	0.49848722977333	0.837707953950338	0.652166996848347	0.746099992237413	0.466805586216688	0.544400449638389	0.843544926670268	0.534403273463022	0.444731609779463	0.133657687049845	0.404430113270444
EGFR	0.334693160637434	0.533241515977871	0.672025842655462	0.457174633020578	0.450127950603559	0.503846239725072	1	0.496300350726192	0.360967643896994	0.483202679884506	0.463025003877588	0.357655135183293	0.439592181976553	0.505050726952865	0.515177829197537	0.32152966155464	0.514461799893094	0.414359364143204	0.456344707673062	0.532412350641979	0.389274813278733	0.513203163939862	0.539785926431683	0.484999582447249	0.493112811156618	0.526816883430383	0.50241115116088	0.546355804263535	0.536423352663783	0.439568538358318	0.60045122150506	0.564890078755447	0.616291448325228	0.488147355975548	0.463755597399384	0.587092751573994	0.484359988447654	0.550137877139153	0.414226201751488	0.450410991164489	0.289554146160146	0.391432530814122	0.442299231066676	0.472802298990144	0.483369069414227	0.678155473837239	0.424981436399553	0.429351412267476	0.507421692952165	0.457898084375053	0.45448939581327	0.457734542063561	0.612432756664643	0.483513197409265	0.4960261032216	0.7958268137459	0.461146587001778	0.346211942342514	0.349146299757595	0.544937729951296	0.462522575669013	0.526091356693356	0.482576486646967	0.513256217344345	0.727014787697278	0.416641628286461	0.535626371811346	0.506919825208794	0.516594406207246	0.448207140892009	0.35634731049058	0.51731910217761	0.676691567281144	0.472236086059476	0.401404371054121	0.295687482461819	0.155785710466945	0.471308037557772	0.57656385235612	0.202776378444539	0.323450817556452	-0.0329538789870304	0.496115439185316	0.444574871064089	0.416071743018065	0.0563110774663401	-0.049599778600119	0.00187946885924693	0.23371658053846	0.0974101989807706	0.318617157453247	0.116822289083566	0.397417623991225	0.0536393366973318	0.0771496063491351	0.370037171285083	0.158419473742212	0.0734330898507858	-0.0908491282520596	0.0403709683358684
THY1	0.836854831317618	0.944356296106249	0.555597943861917	0.864219109703538	0.872956701310996	0.907468567434202	0.496300350726192	1	0.899946318794372	0.929062144632998	0.865612303227234	0.872493997039168	0.918081412016893	0.944538999962464	0.925984601460965	0.798552765922504	0.93564471169477	0.880526287075961	0.893367081307536	0.887932634350701	0.880430770591704	0.930199525648854	0.856743549152279	0.932741723479675	0.926000793862099	0.831258811703294	0.764911006810555	0.794191954008855	0.906835177822516	0.8681703125129	0.958966010346497	0.826148811182419	0.882632513859346	0.924826284920646	0.913652473294912	0.928053964368159	0.921365626829271	0.918751665873999	0.912654419342008	0.870839248740787	0.89238616021722	0.742576661307459	0.819550514496099	0.865197770103068	0.880483655113188	0.853022910107782	0.867976409569512	0.885930128365724	0.695250659919147	0.88803844527751	0.776707130157479	0.917865789757387	0.902203838094054	0.849706006280564	0.886284345726108	0.815192177074327	0.857237274513756	0.904555753854284	0.909061699166961	0.865524876910111	0.746371022853003	0.928484757213723	0.889356418052302	0.849262895951593	0.88538053936954	0.809924360519082	0.94389473758027	0.908711276452795	0.925144209464001	0.896308672026103	0.846048774052344	0.900099458793937	0.887759327742435	0.796718102364971	0.834647081551353	0.816386821065891	0.526493383814012	0.844063359188996	0.919671240520223	0.547937552726071	0.759588696684798	0.0666813420326894	0.834897738616728	0.93220474266783	0.897040027795868	0.306288029371054	0.0721824087131464	0.278671906278723	0.725909920425336	0.508261398803153	0.729914871836374	0.486264480594101	0.892657170245702	0.302996249460371	0.339870936477018	0.786852784284842	0.35503501568114	0.288488719031136	0.069171025445437	0.232874340176737
NOTCH4	0.767649612967459	0.851473709320153	0.436804285828585	0.80279498464433	0.800474528704767	0.843415322619446	0.360967643896994	0.899946318794372	1	0.853581222756642	0.807535929054825	0.82844492910222	0.854604681841514	0.882550992528417	0.869985993570963	0.778002029936534	0.876475606407683	0.810400098704672	0.866444939929538	0.813529249519737	0.839278517842109	0.857055668390072	0.809551769186922	0.87941577708501	0.871389613224234	0.764615491229219	0.673204151069192	0.70965124808797	0.838830836046127	0.801022908441726	0.878565648940224	0.724573404241337	0.774306566362305	0.862995564780469	0.86595263118861	0.84953966272667	0.863249936549583	0.832608579902352	0.877478167350673	0.807983478205872	0.875605279617731	0.664089799952141	0.72306572714837	0.766360456249609	0.835120982621537	0.762321936484157	0.807053930674944	0.840664893777255	0.613291832678284	0.813199612386048	0.727567662202615	0.845695563393347	0.847249740630248	0.796485940021892	0.837751616121024	0.705290015272173	0.82694044406246	0.82785925743391	0.882212605981837	0.781017842382668	0.706204254750082	0.86647319180807	0.854328927386161	0.791433624778652	0.774045133306679	0.758808276178393	0.868508549197911	0.852346140060339	0.827978760689289	0.845804833745352	0.797483497584963	0.845502088482987	0.788936666085949	0.744516966663032	0.794249272712538	0.770896447122761	0.599478829049483	0.731252965172634	0.855692090095853	0.610541732069159	0.761113047378839	0.152189546334248	0.779166353415014	0.873410524966567	0.872930630069386	0.411121038975425	0.148980715273973	0.37728601662704	0.784803902720782	0.615016449491192	0.737938618010036	0.572376198917328	0.824571492805104	0.405873986114955	0.418005618589702	0.779250069427208	0.370153522743871	0.370069519298494	0.18589105146813	0.347667376373329
CHRM3	0.80778594936112	0.899589590120566	0.485654475622574	0.908124779861534	0.908692470306402	0.928862837248639	0.483202679884506	0.929062144632998	0.853581222756642	1	0.912991478599846	0.888447045570023	0.91357325246834	0.900680285991161	0.931902686291623	0.844257227163596	0.911824002118178	0.926622566470991	0.897884680668938	0.838634333741946	0.933506418899143	0.940372432649466	0.792487177621606	0.92555819936949	0.94127765154338	0.826181347814005	0.812853664130016	0.851124896619296	0.877998104791571	0.886417771838363	0.919368634781725	0.759659430713583	0.907008835501517	0.939067800400831	0.926994471771409	0.925237603031504	0.897310059104923	0.939538124322184	0.932474945296299	0.907420092402401	0.920619122045139	0.806244942738567	0.806702358069501	0.845794856908073	0.871635757125983	0.836870853748743	0.866437784895609	0.890485134912291	0.693017690725275	0.832781785613256	0.680414190569927	0.915136353536931	0.899193995221057	0.886177107503428	0.903361830243387	0.792845346642254	0.854719378617663	0.923955613603741	0.907155057950217	0.892436195660588	0.800547049768178	0.91949659657463	0.861264914367956	0.878440631104609	0.818042318169222	0.831637369201835	0.931396804313557	0.918369950398778	0.925013698196428	0.920365716795686	0.774168365029326	0.88207353181839	0.890792004525789	0.769798449203956	0.869395111762858	0.771159892291651	0.582864640149408	0.774479876277094	0.873967370733065	0.596789914249789	0.765963121921088	0.164111917602934	0.870369273136403	0.937866011361424	0.915548843907619	0.361432464373334	0.117866204397947	0.324184514574238	0.765165790484831	0.499068353511927	0.757562933216046	0.54039340018919	0.805670443702312	0.359665180656353	0.418258704871847	0.812679442318641	0.391612415007883	0.32370225188556	0.126548551663867	0.311114607064145
