""	PARD3	CHRM3	F2R	ERBB3	ADGRV1	EGFR	KLRC2	PVR	NECTIN1	CANX	ITGB8	NRCAM	NOTCH4	CD99L2	LRP6	IGF2R	KCND2	SMAP1	GRIN2B	CAV1	PLXNB1	CADM1	TNFRSF1A	CD9	SLC16A7	APLP2	SLC16A1	TSPAN5	CNR1	INSR	TFRC	PLXNB2	MYLK	LRP8	THY1	HMMR	CD47	NOTCH1	PTPRA	NECTIN2	MCAM	KCNJ10	GRIN2D	AR	CACNA1C	PDE1A	TSPAN12	TNFRSF10B	NOTCH2	IGF1R	ADCY9	EDNRB	VLDLR	PTPRK	SORT1	LIFR	LPP	LRP1	RACK1	LINGO1	LRP5	GPR37L1	ASGR1	TNFRSF12A	NGFR	MCFD2	TNFRSF19	ITGB1	CD81	PILRB	ITGAV	RIPK1	AMFR	S1PR2	RXRA	ABCA1	NRP1	TSPAN14	CD63	LAMP1	MRC2	C1QBP	STX4	SCARB1	SORL1	SLC1A5	CD46	CD74	CLEC2D	CXCR4
PARD3	1	0.716203549485847	0.896725251520245	0.594424143916765	0.215273755968016	0.591733062852053	0.751590213531181	0.78016161120213	0.68344610080339	0.654229701124884	0.723312204061375	0.768322250176542	0.637634646622379	0.69461758205043	0.835973773199735	0.749677427001358	0.615404036252573	0.877845604280632	0.699507196953844	0.261253541100155	0.743071792258302	0.817768840779843	0.550044676498178	0.316586546306422	0.826274164089431	0.768551100397334	0.247667350913842	0.732880674348456	0.661013491483861	0.535026983667831	0.789187888102845	0.739017266376161	0.295795621565002	0.788856223444993	0.598642122130973	0.656791883178969	0.836725780497627	0.65073537220659	0.877701513678362	0.796051730247215	0.649541064832279	0.623245447798244	0.38760332479051	0.665835276872341	0.589448429069493	0.49580799549912	0.626441199524584	0.760876209059359	0.571334308050987	0.619300678404261	0.764535372488598	0.443939671918727	0.647307623241373	0.722511267735555	0.822873918966012	0.595569698175912	0.813824348742136	0.761127136640785	0.778750701178706	0.80059526259056	0.819101463409608	0.57239483256346	0.802974401520556	0.755007698740983	0.518659311250179	0.769751085913009	0.514457562323279	0.549864264927552	0.621871997754363	0.820007867197536	0.738745931970639	0.712501827705488	0.848102958017972	0.703322525970303	0.472214759650929	0.519498524515464	0.415895896530281	0.584066286501562	0.73245565669154	0.784499585187749	0.524446691186319	0.799871813870053	0.604231062885222	0.45313111941338	0.302682783829129	0.43441035209314	0.845374468423843	0.08726912360583	0.67309644949194	0.0545049643763357
CHRM3	0.716203549485847	1	0.722130083306549	0.666552582352297	0.221193341949546	0.493205392765334	0.742219102695965	0.716433164972601	0.75141371937444	0.779373510339082	0.771197816268053	0.769954844585258	0.600454499171744	0.565178787061518	0.799807901549246	0.757177620586735	0.745916845738278	0.789953400880108	0.681302302025768	0.431603286065042	0.666103232846806	0.751959754663304	0.451814529656667	0.478508436573048	0.859080844470769	0.76778365826733	0.485435626911926	0.532092076487484	0.534069625736337	0.550598887374386	0.766882281265958	0.704776047276671	0.197804817385661	0.720598510274818	0.418906015464171	0.474019620662046	0.816772390955216	0.717045294314512	0.822149317071513	0.574459223470232	0.439439437125086	0.744084022583561	0.251429893607127	0.592509337489177	0.515510919054956	0.313933260145113	0.683492379569292	0.754870809199933	0.548266134199091	0.706482534545833	0.691882996428755	0.351011874404632	0.723461805124966	0.624365917669903	0.771030769881405	0.611937669626165	0.716232676807246	0.819739323259517	0.685171691914913	0.760288170566196	0.757917780545469	0.588863488850274	0.61190356718844	0.641203955996491	0.396846086828839	0.720012138395683	0.595764574467052	0.311833207915552	0.516472064716867	0.742220379685552	0.686978470957627	0.767146228418016	0.823260073933378	0.720928507171194	0.578477088357992	0.563296282628377	0.31648290342361	0.430172704547339	0.565786325856199	0.660815728572106	0.567949971481228	0.678359893995236	0.543037898687954	0.670288889074289	0.22196013115095	0.464416878517976	0.769693861690794	0.0473339852681443	0.707197995038899	0.06584323646788
F2R	0.896725251520245	0.722130083306549	1	0.494397963461228	0.157766004026777	0.63716827066956	0.731687600920224	0.810505977951437	0.768093635297937	0.675133869679261	0.666713747441635	0.792115819437138	0.733596532547898	0.757111971894805	0.894139145966696	0.836029083196387	0.548945784280505	0.876876381463453	0.775975619297969	0.271194084676561	0.708242419037529	0.807466463018124	0.50342943878409	0.329065341932648	0.8592408114016	0.774021349603312	0.271218887853	0.809548326249185	0.705559483882874	0.686423184795019	0.818273650252421	0.794565047215969	0.340058867570252	0.837155973071561	0.638876022179038	0.603532437139618	0.81532430485503	0.596253651637576	0.868070719589031	0.812681533790192	0.721251799132552	0.544190852811314	0.524494866829554	0.620551142777082	0.727875554147453	0.607903001920985	0.560378224508289	0.767826163242307	0.526932202175949	0.732667558464901	0.805072844955051	0.381764370437823	0.675380566297624	0.8346750150229	0.811605139332578	0.531716003065233	0.852702265582652	0.733252384910684	0.726186669055593	0.785720839227619	0.745054360231024	0.503250682245561	0.7736407624336	0.664471696282179	0.6360144974953	0.787552039399612	0.531594945794751	0.694912944180054	0.579102200621781	0.838592024236071	0.746312335835488	0.738070281530044	0.836719794784054	0.632737901577749	0.522911633529216	0.590234052484127	0.579292398014851	0.703794574305428	0.722944538496024	0.747920333485405	0.493344706411005	0.737045941302741	0.609427502748559	0.581019901899975	0.355549075153783	0.42579471656548	0.911707857054302	0.137358896975311	0.676557072829929	0.120651452840486
ERBB3	0.594424143916765	0.666552582352297	0.494397963461228	1	0.522772940088994	0.291590118514568	0.680418858974063	0.488179722860502	0.309268541311621	0.4472755982952	0.883166155656262	0.674517595562137	0.332544301465221	0.395408811563259	0.524174807709871	0.439284320477529	0.907175525911014	0.647607817897725	0.339108153756236	0.136670306294803	0.778395969467742	0.805068098408302	0.582639332585428	0.212570893647619	0.57449751296482	0.63195782215414	0.0925483719093934	0.247913874074901	0.320324747345782	0.15371088404412	0.607453341762144	0.467780571283901	0.070229186078662	0.450383446563352	0.559649387560614	0.590291193836213	0.780780804329474	0.932674591384242	0.743337091876007	0.525249176606444	0.434767164069577	0.924211503867302	-0.135324817471074	0.765435440900462	0.071413760101301	0.00298186403692313	0.917293128246897	0.602512005526526	0.770811430372313	0.262103901378741	0.498777415997937	0.634222939609508	0.596190268965359	0.433526437875944	0.768583963307656	0.693599553373306	0.613716252160061	0.847012725431752	0.645866988754888	0.751361175643855	0.786347830596132	0.832957204165709	0.486628396169689	0.670040321369585	0.00253238923444358	0.539048411217826	0.336037173214184	0.123050927411971	0.680736030670928	0.539076224510244	0.740746064403018	0.679180973145713	0.721730584227714	0.828769474336512	0.153487467769968	0.11544379177487	-0.214179681256802	0.0861492338396361	0.619575249519024	0.773537241706357	0.667537612255183	0.760837594654876	0.474609384848046	0.195681645362697	0.0910344599975071	0.310989271595793	0.456423613838456	-0.0146584834705568	0.602919951994381	-0.107043678957008
ADGRV1	0.215273755968016	0.221193341949546	0.157766004026777	0.522772940088994	1	0.28243788356851	0.0336700936047917	0.28217595590746	-0.0686300505288471	0.203716836302327	0.645971039823563	0.543180451658723	0.108329307383627	0.199175756715461	0.127689324144812	0.390314834353358	0.237944183776977	0.116591370601964	0.243439368665794	0.0966534810062822	0.701361117099861	0.363698547004856	0.620480099530682	0.150194463692637	0.192936127346334	0.467309952131674	0.0755143605450685	0.0170033449533086	0.383590167902502	0.0916791377275295	0.133029992398886	0.389879991211619	0.416647966405778	0.089890782226909	0.307119423971375	0.00260363958045044	0.464358194403588	0.575838747199592	0.410431061038718	0.36078099803306	0.315142958524351	0.618940632044415	-0.248384549626694	0.745899208001859	0.125200525550697	-0.170065523674018	0.445879584637657	0.100937604767458	0.736771124932499	0.214661590235826	0.434630073865901	0.899470531666974	0.615769226344438	0.228077565210614	0.570876845089879	0.812459634912241	0.476808191040766	0.543280028798851	0.0903385854523051	0.0836487473650858	0.214358049592342	0.719532888655502	0.185259324210184	0.285604487526628	-0.0777253686617355	0.393183852033296	0.50726771389122	0.127953984011438	0.569976403670667	0.115309764602122	0.523184651857778	0.42885484401788	0.393770836956892	0.334308654452694	0.131582361777884	0.198374702102467	-0.111678663709159	0.00818422406223106	0.375970646642528	0.543788431624458	0.768331226058811	0.110491549217191	0.219361283560603	0.0126140967205212	0.183558302480819	0.29380123989158	0.10932508293913	0.0258436834204386	0.255843862602662	-0.066668377809517
EGFR	0.591733062852053	0.493205392765334	0.63716827066956	0.291590118514568	0.28243788356851	1	0.519828213241841	0.624531294170618	0.629558676364684	0.428260899176179	0.506616283966495	0.738932657315169	0.501648202309504	0.708863096662949	0.702536684249143	0.675981807520298	0.298474840188156	0.574166094873983	0.737980511963929	0.0708665556154368	0.566151033150946	0.497074583860588	0.249197075456443	0.105605294150453	0.668214201251598	0.567792909471384	0.138026099605587	0.705321219981853	0.735968715243865	0.517415093398349	0.560577658320468	0.586046867086001	0.236654936906242	0.690385250310187	0.284208944314405	0.178277457798486	0.614767687471557	0.342504167961535	0.652337284231602	0.439163315742937	0.352290142179087	0.409189300553505	0.484202409690274	0.466802299142696	0.699382791208806	0.57572893953874	0.330375507302588	0.473509279166161	0.353134340369274	0.677453077103867	0.685855814824627	0.383328179033753	0.592511699244109	0.595900453976955	0.586008261667273	0.496518158483513	0.553744988390221	0.535743032717851	0.351842782191152	0.452579197406611	0.373357606619034	0.377817625330473	0.652447318990347	0.24893477190318	0.599599318073351	0.554218169877749	0.446575777261671	0.402522946410383	0.358486456794318	0.569343583676015	0.484709371278825	0.607988789573003	0.625791769580319	0.344583494231929	0.293389129591382	0.537567412958342	0.526696229979936	0.588755497542694	0.374308615964908	0.485820830443609	0.311052158306328	0.39789665426272	0.371196777181855	0.367294481646042	0.326088701317431	0.210267855337515	0.691617629856069	0.0663529069178714	0.488930816340687	0.0689633553961189
KLRC2	0.751590213531181	0.742219102695965	0.731687600920224	0.680418858974063	0.0336700936047917	0.519828213241841	1	0.592131734195543	0.636776224870711	0.462480815618396	0.648978242689547	0.717120053945298	0.496128635947995	0.751267710467642	0.847534064571673	0.534737382585996	0.79938552225869	0.893830197430093	0.67254344273791	0.0178160666716856	0.599527575761794	0.768057996828118	0.251438762180204	0.0641314420593947	0.79557428655054	0.574564180175362	0.0506549054605075	0.755636515948945	0.612713011769121	0.358114500930228	0.799736000705761	0.463825877169789	-0.105636157379717	0.822270840700998	0.414644953600472	0.580045046522262	0.776837623329046	0.641952856845767	0.821270529601421	0.4778642357048	0.32368805552219	0.648163342231142	0.477147803131505	0.462904098804391	0.365297690309605	0.5760560990223	0.707981934894395	0.687983869781525	0.36611052847506	0.539165197616013	0.635933414059366	0.230218007313728	0.493455174847767	0.58647383380447	0.686043365087661	0.371334201244241	0.521975517597748	0.716707200988296	0.782996990132312	0.872191979524148	0.802490783236938	0.485935682178199	0.78874796566994	0.536733867575879	0.478316018253751	0.560384148262422	0.200740616316748	0.207962974267413	0.448974099092928	0.72500460718148	0.562246715617308	0.635053993461802	0.76381265644147	0.721741532593024	0.189024116490436	0.252243354171183	0.202134565701659	0.414945834941509	0.512367439446635	0.627523937177972	0.27902450776473	0.902668930449497	0.500193209120278	0.294740726750673	0.125583163953167	0.22425492348896	0.764721278814822	-0.0272067650965106	0.657793943683787	-0.0783591061369964
PVR	0.78016161120213	0.716433164972601	0.810505977951437	0.488179722860502	0.28217595590746	0.624531294170618	0.592131734195543	1	0.710505058485266	0.629696150113017	0.669715542489532	0.735844347107158	0.771540332955269	0.646137652647999	0.801555919872571	0.830225074666025	0.507777607857899	0.685005679461473	0.717697200529063	0.21061868099825	0.712108551986994	0.716482244833346	0.452349520225211	0.262441937043463	0.800326100529386	0.723290008822415	0.276231715351081	0.650848007920335	0.638112601843008	0.748141472491384	0.724264768659109	0.754926649561547	0.256612567784173	0.778742671615337	0.441694737537053	0.50634120333714	0.74453358107486	0.58382235363945	0.754117740545669	0.683115321787907	0.673155031748111	0.588277803289244	0.35054862544614	0.61756544054874	0.738600567752512	0.411214514085388	0.500858275410141	0.682229897987678	0.497716642713521	0.723666462296375	0.744884237677488	0.402698041036866	0.708539286286281	0.759397563863941	0.770790768594426	0.617511203576488	0.802176553021019	0.689610234163551	0.514262801303388	0.650576614468552	0.666066169548851	0.523895594753894	0.682275798499318	0.575516434372649	0.548531493365632	0.687806502824821	0.547420162911292	0.542180452780901	0.494447384639078	0.84382998296254	0.706547212086966	0.686178967710286	0.730806544265992	0.560380041416567	0.511221788227547	0.589397779490829	0.579285591427411	0.688129191524096	0.553777046515345	0.661222187426801	0.518399492030427	0.561763068140273	0.530589491603511	0.564832906236655	0.354756701381598	0.354762381784579	0.837377061422525	0.111837380380833	0.691492684017524	0.101177332315528
NECTIN1	0.68344610080339	0.75141371937444	0.768093635297937	0.309268541311621	-0.0686300505288471	0.629558676364684	0.636776224870711	0.710505058485266	1	0.674534005602316	0.4691489765805	0.621582000120003	0.667082474947917	0.571109539002697	0.828131745383577	0.748298520122653	0.439048659013772	0.726549646468984	0.757353542140755	0.292294460241684	0.462874678078386	0.582468321645538	0.211144331054921	0.323946268826735	0.815393116163614	0.590282092876813	0.368336154333887	0.676671073733582	0.565320671089213	0.680391674935971	0.688739929333655	0.678256035806645	0.196954640490942	0.79452690480235	0.3189151686108	0.362070290390385	0.623366702842795	0.39483141315989	0.685410909315973	0.490353102797409	0.439877512871245	0.389677178403216	0.481700777439011	0.356231414064932	0.742866577370539	0.498345958108175	0.352323927328079	0.712115175514061	0.247510511980784	0.757077690121265	0.664366230189564	0.0827536526845845	0.584481610295348	0.623764918952708	0.587875094835135	0.347609667448381	0.639339295563725	0.54950076342728	0.524267785306855	0.669051723242466	0.572791499968431	0.284308889326598	0.623737838675537	0.442063985425294	0.662597469596243	0.604501714373107	0.443863746803122	0.465540097804297	0.300738528083195	0.740327008009512	0.518762770674783	0.613217918775841	0.697682868565263	0.467985892447151	0.571652057804769	0.627728571634386	0.58902085546116	0.602479821358326	0.418305376634877	0.450910731634908	0.2663290499678	0.523720171206489	0.487451437070034	0.68943098100322	0.26664660331275	0.296471824505348	0.811785188781976	0.0807542830945108	0.571716900972111	0.12131812704943
CANX	0.654229701124884	0.779373510339082	0.675133869679261	0.4472755982952	0.203716836302327	0.428260899176179	0.462480815618396	0.629696150113017	0.674534005602316	1	0.622643752959144	0.674573106873097	0.548642106296521	0.448260494806831	0.633917543768766	0.753210994926919	0.466145932374979	0.714642872184236	0.502186833770622	0.785452159278658	0.572785542267487	0.674236056501607	0.625037987150291	0.838914900708908	0.741353488842845	0.863182374113667	0.822587304742241	0.437512206415205	0.414548949033183	0.516051989382476	0.670347951748743	0.812934247183088	0.546793630133284	0.519812953343081	0.405637019406498	0.490104196676883	0.737583020950311	0.540695698652823	0.735700053144199	0.689962275952353	0.469132393142232	0.512116154461968	0.161785259734753	0.599421724182701	0.564213258515593	0.213018202797009	0.485834674919748	0.693488897184122	0.606488638720331	0.674462532663684	0.585778349899219	0.375110608839018	0.715331405719017	0.505657723554094	0.69453119069351	0.646117854229208	0.743250139985287	0.724070355578786	0.735528274201577	0.520674169398685	0.608091369205149	0.462373002759283	0.476268743989326	0.719225985100559	0.392956502033219	0.890187685099354	0.787519224116077	0.456672087368321	0.589785534925109	0.639357329658054	0.690265486207712	0.715292007332917	0.775906917990382	0.634806288140781	0.817988473837738	0.797373293723082	0.466865161303441	0.467561997587394	0.683888286545041	0.674122398300024	0.575575148772475	0.538349553507726	0.63489234942561	0.805150430272421	0.356027037971408	0.725152933119036	0.710043376132416	0.203991688298099	0.54387550083684	0.269771139858787
