""	NCL	CXCR4	CD2	CLEC2D	PTPRC	BTN3A2	CD69	GPR171	ITGA4	CD44	BTN3A3	SELL	CD3D	LAG3	CD3G	RPSA	DIP2A	PTPRA	ITGB1	IL2RG	SLC16A7	CD4	SIRPG	S1PR4	CCR5	CD47	TFRC	CD8A	TNFRSF14	CD8B	CCR4	PILRB	CD96	ERAP1	RACK1	JAML	TIGIT	PLSCR1	LRP10	SORL1	TRADD	FAS	CD247	IFITM1	KLRD1	ACTR2	ITGB2	CD226	KLRK1	SPN	TNFRSF25	CD74	CD46	PTPRJ	LAMP1	ITGAL	CXCR6	IGF2R	PTGER4	CD81	CD63	CD163	TSPAN5	HAVCR2	SMAP1	TNFRSF1B	KLRB1	TSPAN14	JMJD6	ATP5F1B	APLP2	CANX	LPP	C1QBP
NCL	1	0.482213310995114	0.38172272197242	0.494388109950765	0.634857858498072	0.345716526827094	0.441880327774377	0.357112463700653	0.800474930081751	0.76100283653597	0.259704052753719	0.531828227875424	0.428621109768417	-0.111126374418315	0.467257080077442	0.788689528382986	0.484142738183119	0.599016968190961	0.847798295152213	0.532247711354374	0.487069444262039	0.767286380207536	0.488692413507069	0.64136681628181	-0.0414231712822253	0.712540286271171	0.608461574512587	-0.195707745017458	0.622486679303509	-0.142448427744639	0.490586150121866	0.0908050145965717	0.315604453982208	0.470925715457546	0.894441725931772	0.647664428613426	0.547040029524945	0.62611639992339	0.748813079971725	0.565265255456281	0.542639910395495	0.515609368707973	0.48006877762319	0.295672087231456	-0.168047440792759	0.83696464185793	0.741749439523105	0.61812802398206	-0.192896953744536	0.52622456315558	0.420814875964452	0.711249853786974	0.64798064065869	0.421424514640246	0.654117336217715	0.529872350142113	0.138350849536461	0.366552226224668	0.503518804671873	0.802005086940879	0.731439616394277	0.440980032243121	0.581701971046567	0.532048133500765	0.850659767197854	0.668975478738387	0.419124695503185	0.675513458514666	0.631056214629388	0.847737288306532	0.703656588573053	0.755443263619953	0.512360484562637	0.831383802595589
CXCR4	0.482213310995114	1	0.146496110229858	0.293712563656926	0.259899569994288	0.264317884883313	0.962338143842272	0.717931653400544	0.300752742206928	0.540469967945105	0.0512175699970814	0.800329106224052	0.202835640218864	-0.393126052356811	0.263432787117845	0.507575491624482	0.156660639175468	0.0528229803447687	0.439755993610288	0.198385122166056	0.369951194387049	0.397938773171522	0.245441921949391	0.394002276326057	-0.375434320587041	0.165729414002923	0.222425055936235	-0.361011283259253	0.334684023720981	-0.275024150470462	0.481184665898166	-0.284016946528955	0.118206076547573	-0.0370842381032873	0.529310737366036	0.338331762854252	0.398894508741414	-0.125944704469838	0.425841724622101	0.359864714720635	0.498251182369148	0.259706710786933	0.442140358304024	-0.0884370104598768	-0.290370831884523	0.155254036313665	-0.0115905617890691	0.428368228884439	-0.245798505294353	0.12304217372435	0.401502291218223	-0.000677989586038699	0.172452676972513	-0.148490825395394	0.0828104104320648	0.210919431984538	0.00185638704522803	-0.129075267107031	0.886147370281032	0.0951207580709178	0.0178687319232308	-0.0521001961139992	0.460132699172832	-0.124926715216363	0.558390093025642	0.3618089416862	0.582975969146548	0.518622766237012	0.421331768434091	0.155219830239784	0.0898029451677846	0.14725622550406	0.0909805000203676	0.26516026364503
CD2	0.38172272197242	0.146496110229858	1	0.680932740588667	0.887370975345693	0.527161559516547	0.066609763083371	0.360141088291769	0.619111269489296	0.221228019854279	0.496757552313751	0.19476462752809	0.932285523611966	0.461070352370734	0.914605951275677	0.360968132581625	0.183028149881749	0.639954470091215	0.519510171689151	0.881627941554067	0.352672097770856	0.2933048803039	0.768773339446753	0.524891913386271	0.409629914914179	0.476762521314313	0.170200768059514	0.388902061273051	0.507385002415307	0.417707803781795	0.52481462761041	0.125583147279428	0.856067952290279	0.389221367811346	0.363735356331393	0.344848108343147	0.541052250872342	0.130072915029472	0.307646365517512	-0.0964560510671116	0.330493278437559	0.495643774943713	0.806579751061756	0.719013739297401	0.433386571011227	0.254448099931715	0.21959607095167	0.378306792988051	0.427152908937833	0.530276746924452	0.365468953247625	0.0649495902579951	0.596391928910728	0.230055449273062	0.110446635274885	0.496090441119787	0.731530419513922	0.366247425521167	0.224822161597483	0.144120186531088	0.0662961578036705	-0.241036554775741	0.621243431455366	0.268280099921136	0.38966018885178	0.461836118662393	0.305284314608329	0.208490795613313	0.202843440321451	0.200931595788126	-0.0271540147668394	0.0445954052040436	0.153059927260407	0.136902871190366
CLEC2D	0.494388109950765	0.293712563656926	0.680932740588667	1	0.735416220250752	0.613820991653872	0.219250754831762	0.245697355488354	0.659605685922949	0.478837765526038	0.55640720136919	0.28448206824088	0.655973922663541	0.352668289655317	0.64711059593024	0.303029973777669	0.53841225994172	0.643758382216706	0.536098263529747	0.726728261590959	0.459830763218893	0.45212592297335	0.761809290229587	0.366247786536481	0.270410835524797	0.532080128482141	0.470732094881077	0.286884189211023	0.606262412053011	0.281078259335364	0.659389555939045	0.31641096051218	0.662254065164376	0.512133061637766	0.405786936557551	0.332476685667324	0.722668460241036	0.271457660688538	0.587664465578224	0.146662319073013	0.190960855802732	0.733020845305214	0.597657615939498	0.367771281913444	0.105775813699442	0.426230248834797	0.281102431739219	0.374413878199747	0.22250975231584	0.603266344491553	0.31021544143428	0.266911842456508	0.578918044688304	0.406998680982645	0.340921182266737	0.672947896617944	0.520167217390147	0.578408023353088	0.321165487996966	0.322277522129702	0.210355016266997	0.0192077809571377	0.660439670154641	0.412951078150804	0.521904792856174	0.684092505687686	0.161212194272458	0.48144247736318	0.379871674452317	0.339867820340712	0.252918496120175	0.319687916788034	0.481011702992188	0.166414234671776
PTPRC	0.634857858498072	0.259899569994288	0.887370975345693	0.735416220250752	1	0.614919686860011	0.165562023596748	0.400471822722137	0.794969661577251	0.413669396444101	0.553396665393639	0.280035914503612	0.885566945956599	0.382528987843529	0.876317791778545	0.531009157872286	0.346781630094337	0.752869883486435	0.707619094795299	0.882957162747924	0.470668486568634	0.489139278817688	0.798057405327833	0.637963404018873	0.401667702326215	0.635562220342457	0.37402325478444	0.325151751778272	0.616006814225374	0.36715217242377	0.611209361446613	0.183470905663005	0.802736982247569	0.51068242506541	0.580332875451739	0.502352862111694	0.623988974608315	0.380174781435844	0.507272199725766	0.09536051546182	0.417414308385492	0.604566566563172	0.777678723549739	0.676163028565759	0.345454870086854	0.534654123242146	0.488798986217983	0.498390554632658	0.338837372543263	0.552599740635233	0.425450173014358	0.356526134680478	0.667232160255357	0.355781889787065	0.32185004765817	0.650580860865269	0.635404932621489	0.444799378411551	0.319509704409871	0.432219950860299	0.323713412018197	0.00795729336311566	0.671794328066711	0.466432298896033	0.570274700043611	0.631936317365417	0.314923484486456	0.36459886803901	0.39868554852974	0.487787758217074	0.258267707007299	0.315298700964225	0.279316290075149	0.412615374962827
BTN3A2	0.345716526827094	0.264317884883313	0.527161559516547	0.613820991653872	0.614919686860011	1	0.157237531639443	0.319234879465322	0.427764403532552	0.278617880468972	0.488984057365745	0.0420482559316553	0.524872201346334	0.465267059158921	0.538818490094763	0.0580814157631851	0.267034026001208	0.475525461510844	0.353085377320677	0.474912281170456	0.286279496471074	0.147353484359001	0.579453865658095	0.16383586991187	0.423178694933785	0.244691162603663	0.226455789684181	0.478400923246846	0.423209742915914	0.506458615736252	0.499955357257365	0.176092697038496	0.524310909779815	0.334809149007595	0.146551404518585	0.330368255573892	0.501396635843707	0.218558868095538	0.335997801929736	-0.100573282452601	-0.0311992378945683	0.549007027601562	0.46142143936398	0.394911957753457	0.367171143485017	0.257752212806148	0.222608072127667	0.062945694265251	0.552413130147219	0.376466511481596	-0.0304226139916345	0.142861081202406	0.279071530642521	0.142834986106783	0.105512445710174	0.632967814721572	0.459080811328268	0.327712444016524	0.228068739606602	0.204599876403715	0.100678122313787	-0.0912177026539374	0.496234693801974	0.331740320068352	0.296052504522501	0.387653993192548	-0.0813183915698156	0.173198567533927	0.394459452178307	0.167750882278608	0.0956402407256445	0.144080384733543	0.150705224938865	0.0982034869354969
CD69	0.441880327774377	0.962338143842272	0.066609763083371	0.219250754831762	0.165562023596748	0.157237531639443	1	0.696112602771858	0.217002304263085	0.537652797208461	-0.0395091270380263	0.830749712158036	0.114541686935489	-0.436700479410967	0.169653163108403	0.535577789956426	0.125972887566649	-0.0192121777087035	0.412983452624621	0.118822237481547	0.343542600070655	0.387727253860006	0.138351367983847	0.341859972426615	-0.434165976198986	0.127647722559831	0.196484883351331	-0.430884622073162	0.258903544476293	-0.347799244281547	0.381170404954144	-0.275991629436709	0.0125179588061532	-0.0706927170466427	0.53284176173658	0.280345776857123	0.300993586904286	-0.147469807702063	0.385933980250835	0.406262385152757	0.509648704762541	0.19439113490808	0.371167303945334	-0.135743004907858	-0.330673237677989	0.13090123027185	-0.0380917818068331	0.415841187611781	-0.315080792317561	0.0820985397546085	0.435167540549787	-0.0193674251301542	0.151956357691317	-0.172731415314188	0.0873043655517637	0.116477816343642	-0.0851055961872237	-0.163288469698881	0.897864690185148	0.0787034305769419	0.0328677025238336	-0.0277441776994204	0.393530752201723	-0.162083356893286	0.517809356342453	0.305637948924907	0.640403003923845	0.508005082877784	0.367794619322621	0.156900429916915	0.0814824246095911	0.157189522569343	0.0772222279842729	0.280948716823855
GPR171	0.357112463700653	0.717931653400544	0.360141088291769	0.245697355488354	0.400471822722137	0.319234879465322	0.696112602771858	1	0.266958980217816	0.252951715967225	0.136709258534384	0.607104822406183	0.364443253185453	-0.115554744177083	0.484625896369101	0.438418222323188	-0.0221668453851126	0.0935907752468579	0.404034689635167	0.307538140436387	0.397538785696867	0.199858143374785	0.216590149735366	0.464850228384258	-0.102286626503239	0.130510339101626	-0.0247440177252024	-0.0609031160601575	0.242182753757571	0.0447145198986058	0.327369072975168	-0.296689756325837	0.341040267328201	0.0551627041793804	0.403379145698959	0.316904352371921	0.17337886296753	-0.172927691174692	0.152910453641287	0.112029950497235	0.491738159674097	0.136767513017776	0.548686300419089	0.278194270115792	0.0253153630710119	0.0253567096455228	-0.0660969461886444	0.39237863208454	0.0556309824766652	0.092716637139019	0.40206146861866	-0.146005473483921	0.137267386644592	-0.298814163561137	-0.113245091287253	0.192556527022082	0.0977616442271504	-0.156174070031712	0.757841783439798	-0.0381465036666174	-0.136364321710592	-0.2623339375662	0.357972957772546	-0.153010438964345	0.361386123588682	0.189271626771999	0.630881485554692	0.25968672233627	0.415776420483152	0.0454333866414461	-0.136523146013143	-0.0918601990651699	-0.160778313478405	0.17856972941009
ITGA4	0.800474930081751	0.300752742206928	0.619111269489296	0.659605685922949	0.794969661577251	0.427764403532552	0.217002304263085	0.266958980217816	1	0.583983906068201	0.47299401231027	0.349060335652567	0.644466545789393	0.154375073578702	0.644660004366742	0.612580568259913	0.566723493581289	0.74248374748349	0.756584252365135	0.750555060492009	0.501869289789094	0.740682701170301	0.695132656871675	0.602872572730722	0.200635481969082	0.695726556417504	0.616821491457626	0.0905782015144528	0.675276303389716	0.0859233194150571	0.628726018543526	0.234351161854902	0.561380881460471	0.6088351641242	0.719252533948362	0.601639583979531	0.644475266492162	0.606009008978058	0.716987850093138	0.397224068954409	0.427109742149914	0.597979095502454	0.645837351756136	0.391154483860535	0.00717305441006866	0.775360785260376	0.689347013435324	0.548422329221602	-0.00170876671988575	0.660809340928345	0.36242532924536	0.63952352753763	0.695476269717506	0.552031339500515	0.589214747709399	0.626057010178459	0.382984754137673	0.532033428741521	0.321566777734932	0.691045180058796	0.570039895702255	0.356506739756053	0.658089278864	0.623593547266914	0.754754463363809	0.775210702148902	0.291913069494625	0.578992703541091	0.547528960841384	0.700750197619825	0.570809401574878	0.603948944959849	0.545339623999459	0.612824046723007
CD44	0.76100283653597	0.540469967945105	0.221228019854279	0.478837765526038	0.413669396444101	0.278617880468972	0.537652797208461	0.252951715967225	0.583983906068201	1	0.223652736023894	0.525513421725768	0.27189793126824	-0.212131983697287	0.288422502573612	0.607588554523917	0.58600500357994	0.491965693197524	0.730791129206937	0.385812447561547	0.29295603330046	0.723384012803976	0.36703192062541	0.430325668099033	-0.184368095210972	0.603574165018181	0.765023642155247	-0.336500853169405	0.646706060210996	-0.339604548322121	0.51658226673632	0.201929681640474	0.12275767344912	0.324775094514917	0.731029235961728	0.434949224331756	0.614996379629538	0.468735264695188	0.781218551509012	0.678489548944891	0.414501439217792	0.52603987599831	0.361106295767968	0.0384719142421993	-0.30335997908108	0.681241157266126	0.500572186280042	0.544390852553233	-0.324626409423919	0.427413216767859	0.424457061545341	0.544707486644613	0.528540198241288	0.427284650675505	0.728573709258149	0.430229837298716	0.00617289754634955	0.444933591795004	0.552117451414325	0.6344682064837	0.674738946025127	0.480432656570352	0.521921978273195	0.430069191704431	0.764884814870886	0.707858422588484	0.345193885744849	0.766489237265341	0.549497053747575	0.623386391548352	0.711516427951211	0.781989960483736	0.697805601161902	0.556987523550084
