""	CD4	ITGB2	TNFRSF1A	ITGB1	HAVCR2	LRP1	STAB1	ITGAX	PLXDC2	HLA.DPB1	CD81	TNFRSF1B	C5AR1	CD44	CD68	CXCR4	CD63	CANX	CD163	ITGAV	C3AR1	CD2	TREM2	CD3D	CD69	AXL	C1QBP	PILRA	SORL1	PTPRZ1	MERTK	FPR1	CD47	SIRPA	AQP1	PTPRC	NCL	LAIR1	APLP2	PTPRA	SLC1A5	SIGLEC10	VSIR
CD4	1	0.946189413275373	0.925423066340904	0.905063234284287	0.916065712005278	0.934688357917613	0.903039186639178	0.927535243922324	0.923830523059086	0.952816772889155	0.947274730261622	0.890596261091869	0.891819840800092	0.901213633921003	0.938973080002113	0.941473155991985	0.942645406892266	0.925703414290871	0.904063999208275	0.917237614675092	0.915663543880651	0.924517315963807	0.945273713709575	0.929922184218491	0.9248735235286	0.920110176889773	0.931365156624629	0.915142524030072	0.935755169395938	0.925580354178722	0.880741336444279	0.916017433192093	0.897932451136385	0.892056803727522	0.91370299808161	0.887363742017507	0.79436582501112	0.925036488343421	0.868937584754363	0.901654372361354	0.904120029717608	0.905705219281368	0.925997164283578
ITGB2	0.946189413275373	1	0.946995564404073	0.933076604805795	0.95338842993763	0.964021557985818	0.928463474789264	0.947907753310692	0.948895876390535	0.990262606134783	0.988363560995445	0.929206672345793	0.922078132456567	0.926600708424469	0.981092683945044	0.976163854657754	0.989084017747657	0.942955370192164	0.92554757418634	0.9535143235199	0.950823789465255	0.951360703434451	0.985404766321378	0.962845795712561	0.958825987246599	0.952034974393358	0.967487729107797	0.927617321715134	0.964867245893245	0.951716293031293	0.903274211689239	0.960212721951306	0.929745611278778	0.918363027866345	0.933610676985696	0.897783561108186	0.791622855781619	0.960824861057473	0.889493159584191	0.928266335909758	0.921667285843563	0.939061170535271	0.968381928979122
TNFRSF1A	0.925423066340904	0.946995564404073	1	0.913905295446007	0.916156271749709	0.929958404427769	0.899264466991773	0.92403406848277	0.932102096312507	0.952603323057969	0.952194556094918	0.905589486606695	0.881599755737159	0.90298625084095	0.939571194918379	0.944206103772212	0.94743499467884	0.927127314878211	0.909022708317141	0.924526362859016	0.920890260109453	0.917773804549048	0.94491593453277	0.92884330545024	0.931301107991657	0.924557066214083	0.931818675837663	0.898233947329711	0.948909959149323	0.928249697800014	0.870963999590063	0.919541815619345	0.898208060571153	0.889495139828359	0.901809144369458	0.885751286964714	0.792021625503011	0.922518136218264	0.866305608887605	0.904892063451832	0.898821078143302	0.925301391825265	0.933781237595741
ITGB1	0.905063234284287	0.933076604805795	0.913905295446007	1	0.917703237647	0.939128600395156	0.875291233506874	0.918669248896065	0.945671472673045	0.935847412652457	0.93682391824811	0.896201811408731	0.905270663800012	0.875316862610784	0.924445809513923	0.944320754166572	0.925321217814329	0.940699007956848	0.915441135793425	0.928087418079774	0.925551282195325	0.923324999870655	0.932002033076272	0.91602363456147	0.936786879977297	0.919704549885097	0.911351762846622	0.884404236101492	0.949703488844431	0.954796710497513	0.9334890079188	0.913525226598783	0.8745017751446	0.903292420092603	0.88632564498618	0.925622105972844	0.884980613790281	0.908172267796041	0.906581659453483	0.93456461721018	0.889543060479572	0.898435462289937	0.909921190787399
HAVCR2	0.916065712005278	0.95338842993763	0.916156271749709	0.917703237647	1	0.942319498643549	0.896378203947264	0.932145296970686	0.923508557393909	0.958836147954684	0.956410924938522	0.895871002890974	0.893497552813273	0.89815450008391	0.94681215854131	0.950735191669737	0.954561873056087	0.922721264976523	0.898960818756825	0.927904866225201	0.93284613105921	0.93068125138543	0.948232954649093	0.940779375399865	0.934345717607983	0.930016528215345	0.948070903270428	0.915323369808048	0.939395756407428	0.933774770134597	0.881257086407994	0.920975146928184	0.903742337489621	0.893834445771356	0.914051236295388	0.894251126126493	0.806889178037683	0.931943043415078	0.87651413539034	0.905494986900791	0.893068638546552	0.895472926695143	0.940049177744745
LRP1	0.934688357917613	0.964021557985818	0.929958404427769	0.939128600395156	0.942319498643549	1	0.923025873478203	0.941349174453283	0.949572381387741	0.968115108730595	0.963576506213545	0.909294950530746	0.91849917703516	0.916488699179959	0.958092778747689	0.96394194395437	0.960348014123432	0.93758631809988	0.932117979622122	0.942243845161168	0.937673427607305	0.947165051880354	0.961412821900919	0.94767770322574	0.944009283577623	0.950813162941915	0.944691094481162	0.922146454313933	0.959339677189902	0.959470530909683	0.908429663121263	0.941007730477308	0.904124274194559	0.91673971645689	0.923317784616055	0.917049677845924	0.832612209685313	0.942865644916164	0.897575769391536	0.929435864510257	0.915299403834397	0.932028568014166	0.946754916853521
STAB1	0.903039186639178	0.928463474789264	0.899264466991773	0.875291233506874	0.896378203947264	0.923025873478203	1	0.909561561798516	0.905846373753928	0.939647282897492	0.933539080079762	0.884067086865746	0.876181113544989	0.873685173726277	0.929383314082729	0.930948116026168	0.93523185287679	0.889182472990034	0.891313405592011	0.900104690652499	0.901388578156586	0.908130383669415	0.934332630959384	0.911626890047602	0.905904930896257	0.908017460552134	0.911354486691878	0.888952067725209	0.905635342588625	0.906649463173101	0.848340393791163	0.911902555756784	0.875137959701238	0.872315650341555	0.901000083461434	0.845492683418984	0.75761572707544	0.916286613162129	0.835519368562496	0.871188333619901	0.894933116965509	0.899206836957596	0.922116133062484
ITGAX	0.927535243922324	0.947907753310692	0.92403406848277	0.918669248896065	0.932145296970686	0.941349174453283	0.909561561798516	1	0.935382247572775	0.955294062116569	0.954163804851929	0.899849546127144	0.897148780982586	0.899327637913663	0.937603373237063	0.95268022442692	0.949661012551997	0.929023560174707	0.923109379111742	0.927639356843481	0.921912192668849	0.941524724751865	0.945890932419454	0.937618139479278	0.940189387263671	0.926687732383743	0.934639867281996	0.901779467615292	0.945438821903523	0.943038014901062	0.902742345703754	0.913840567864625	0.893316246534185	0.909346397733347	0.917873211886653	0.905923548059305	0.810190966393367	0.930218909722312	0.886962272020028	0.925324842121899	0.892139631988364	0.920202399041646	0.939182036732753
PLXDC2	0.923830523059086	0.948895876390535	0.932102096312507	0.945671472673045	0.923508557393909	0.949572381387741	0.905846373753928	0.935382247572775	1	0.955240801054427	0.955959336194579	0.914347535997889	0.922437480475597	0.898837790463147	0.936229618668287	0.961526803199563	0.944793398426063	0.948047582083615	0.935444663848832	0.946263531135011	0.928879996833597	0.93811939512555	0.950925845154607	0.920376488837558	0.933078572319738	0.93367594677667	0.93258297550848	0.902846530922983	0.957584634779544	0.96330392429905	0.924691402278136	0.93778616696157	0.892434962197122	0.924959007121163	0.899494722838539	0.938868885925393	0.863284470270672	0.931432657628147	0.913065363912257	0.939536290664762	0.919674048581399	0.926679157950243	0.923867687083736
HLA-DPB1	0.952816772889155	0.990262606134783	0.952603323057969	0.935847412652457	0.958836147954684	0.968115108730595	0.939647282897492	0.955294062116569	0.955240801054427	1	0.995575251492821	0.926072254432431	0.922461112175799	0.933352875247571	0.987407570038404	0.984713741031818	0.995407006138427	0.947449693775172	0.932391375292376	0.960612743834979	0.961742049309142	0.960211001591455	0.992347821975188	0.973439906921103	0.964315718191135	0.956874222336139	0.975201388653886	0.945660357858135	0.96555578052805	0.953864706134925	0.902113633622688	0.964928618765051	0.930924122613635	0.925804858397071	0.942806358986031	0.899110189465555	0.789398124962448	0.963764845246891	0.889718543638115	0.929068455159172	0.931875038886263	0.947843832366927	0.978592289200586
