""	DPP4	CXCR3	CD3D	CD3G	CD2	CCR5	KLRD1	F2R	CD247	KLRB1	CD8B	CD8A	CXCR4	ITGAL	ITGA4	ADGRE5	IGF2R	ITGB1	CD226	LAG3	TNFRSF14	TNFRSF25	S1PR4	ITGB2	CD69	CD44	CD4	SMAP1	PTPRA	TSPAN5	PTPRC	SLC16A7	TSPAN14	CANX	TFRC	CD81	SORL1	STX4	CD74	NCL	PTGER4	APLP2	CD63	PTPRZ1	C1QBP
DPP4	1	0.689370193694543	0.841599503201324	0.865918119453908	0.847552074332447	0.487180961166459	0.286218471731782	0.0802883433466401	0.564899238711791	0.870549641127078	0.450777265193938	0.420906118067363	0.636184049789601	0.401454840008305	0.398117092016218	0.669053013281833	0.329763955930243	0.296179086944387	0.847965056489573	0.687506459634913	0.729935805563435	0.705314150066405	0.80712895224765	0.0870542656393279	0.592473904149675	0.605530906477017	0.274044496632184	0.577777559898209	0.335872951050344	0.528142793576464	0.668589991802342	0.395999028221421	0.190112136686538	-0.0305947954470106	-0.145647757091778	0.0429121768705005	0.227153819164861	0.342842922627824	-0.0232297239902411	0.186026698222667	0.443403499858139	-0.271021595736628	0.0513847638908	-0.39062918502829	0.156207188945802
CXCR3	0.689370193694543	1	0.842869321399651	0.818772747629741	0.811913889470263	0.40221265912957	0.322608990075794	0.348170646114353	0.677957816277298	0.701880147550572	0.616395450252374	0.539102274429864	0.655932919337975	0.483555960369391	0.339187683329578	0.748357171606236	0.245093487179098	0.484001251319333	0.722897216253231	0.739205820157252	0.753532361891755	0.757200858665025	0.788469607722982	0.115972229577002	0.585240869044977	0.739813513383675	0.375732967878661	0.604532717437117	0.371970224068517	0.531401437480828	0.716278898130697	0.572709372453665	0.188738543281349	0.0974774233039403	-0.0963556408763177	0.0840932206432502	0.237075501769004	0.284824424388583	0.0184768451517809	0.316956543508981	0.531334872792956	-0.217359622902282	0.101305155803364	-0.306610698859527	0.153333725304388
CD3D	0.841599503201324	0.842869321399651	1	0.981314272880374	0.945068129598148	0.513035228306671	0.54222828411245	0.34293863354145	0.77035433244169	0.86578672164867	0.697727450491981	0.692519307387402	0.796095038200813	0.654996061847213	0.509459161601012	0.863040178436626	0.353179726068297	0.555801545639859	0.875733201473552	0.778487301594724	0.878924125580035	0.895004551213055	0.869720626269578	0.113621527562157	0.752987452360399	0.846382837559955	0.376925686968751	0.702345859886139	0.4194629517231	0.625430974162345	0.860863287291845	0.650453528122001	0.353759789123738	0.0778566685119	-0.136547740191946	0.0905996402884029	0.306182883629982	0.325847295077766	-0.0230592122696583	0.297161400822495	0.678533746422037	-0.27492604933794	0.0833449984897271	-0.373273628636599	0.163899976273421
CD3G	0.865918119453908	0.818772747629741	0.981314272880374	1	0.973194380718147	0.573511178422828	0.545092386152145	0.357622837416774	0.803896886330976	0.859206573170037	0.706899871932085	0.6935788134025	0.781707143260408	0.665480607289074	0.530347083761567	0.853355250325389	0.391536148599493	0.515486163524454	0.894651486709597	0.808469483023472	0.862463632348492	0.840395420465639	0.895995907792028	0.104599373676705	0.727465430558202	0.821724375114608	0.365002008739809	0.654138601073623	0.412602107932434	0.605256391937055	0.872755293377458	0.639989923183327	0.377981388909927	0.0216672067776134	-0.175975847694217	0.0500731498373205	0.28710458036884	0.298076497295811	-0.0489135541104136	0.244795136676739	0.6569432263686	-0.310967511755974	0.0265647339850552	-0.409938227817954	0.118894930193931
CD2	0.847552074332447	0.811913889470263	0.945068129598148	0.973194380718147	1	0.703277321312985	0.544687886326105	0.438166652304669	0.805793403578888	0.793743758147896	0.706179935950702	0.671297298578651	0.730581016251548	0.64694285195974	0.573421717899973	0.85119067432466	0.426053706570955	0.490808739770204	0.877274889906906	0.846892584328646	0.860901417404915	0.80614115962969	0.867462111850784	0.106607778891628	0.68849228874225	0.817592689207062	0.365124743755252	0.617371641331808	0.438067716938349	0.544308637742772	0.909856506761057	0.658870844531277	0.418431118496871	-0.0162307190947898	-0.174609861347746	-0.00226589073106149	0.322483644268827	0.291244183418791	-0.0681044662508904	0.214316939237952	0.619189540848811	-0.338524325154589	-0.0256478951229586	-0.407937190367764	0.0633143023939557
CCR5	0.487180961166459	0.40221265912957	0.513035228306671	0.573511178422828	0.703277321312985	1	0.460914219119549	0.634410508925435	0.57246109588478	0.260193356234278	0.551092433666674	0.465334770884989	0.318368021848888	0.456391774301987	0.666297184174856	0.563725057643968	0.555037087409663	0.37222392397177	0.550126476401463	0.703810333787563	0.538540744282986	0.369407872245387	0.459335771246097	0.215312891552391	0.326187881098714	0.571139219790481	0.325225038920387	0.30285954053034	0.446215356286472	0.283591162503507	0.756820339074181	0.592717447372044	0.621158406167632	-0.00562220037005978	-0.0824014111596828	-0.0215939540992786	0.392280991248039	0.29758013243622	0.0451746886497104	0.152111125122488	0.342926617564873	-0.192758231007339	-0.117067673970789	-0.289749424466639	-0.094802873180527
KLRD1	0.286218471731782	0.322608990075794	0.54222828411245	0.545092386152145	0.544687886326105	0.460914219119549	1	0.637513977811846	0.756688673655049	0.382094360952424	0.715498742009077	0.785666057813478	0.663425620056652	0.821821412954123	0.655565497955919	0.538663771319246	0.155217930128279	0.479851844644775	0.393818771596107	0.519558634284835	0.473821184330258	0.605491052732197	0.561239941074485	0.115841448246555	0.713125286716264	0.565667445897272	0.14332625208319	0.412883050725105	0.19793344340846	0.249981179802918	0.668069485083186	0.59764643572576	0.486175203518362	-0.0346920077473814	-0.154699914626367	-0.0289147252940788	0.177994413915772	0.0471124640526756	-0.10169971865165	0.0380943814157004	0.700373101085488	-0.279611190454428	-0.140706521733653	-0.278049933568112	-0.123935465677743
F2R	0.0802883433466401	0.348170646114353	0.34293863354145	0.357622837416774	0.438166652304669	0.634410508925435	0.637513977811846	1	0.588313507548749	0.055530391595813	0.668023660106512	0.571700223886816	0.331988686168003	0.611783733173268	0.511657218392479	0.412474570070689	0.163624907727176	0.476461225088277	0.182552182868902	0.523081971422382	0.313762886988923	0.321923670305543	0.355953398575831	0.0911462886206339	0.36830357995898	0.530454559689143	0.191407087777922	0.275704452070087	0.415072825906794	0.272744073615693	0.640538350308321	0.632686247791734	0.554346863230934	0.0550852394177058	-0.000565766460370845	-0.0289106076880843	0.226526641328968	0.106334862440165	-0.0668588060671593	0.100398881458286	0.444010065969833	-0.160388901489478	-0.126842040893887	-0.0926661270371626	-0.122049663002233
CD247	0.564899238711791	0.677957816277298	0.77035433244169	0.803896886330976	0.805793403578888	0.57246109588478	0.756688673655049	0.588313507548749	1	0.626562891469467	0.707937332684138	0.778089634438597	0.741926778995828	0.798148716441823	0.733727319910844	0.766656343560878	0.286164457854518	0.588511009545246	0.681067519021295	0.786814937418948	0.704753230623551	0.723724478529739	0.845383705845709	0.220639840133074	0.692805187591424	0.780982003455351	0.367104601271748	0.563814567627122	0.37735059143253	0.44998408497622	0.865577879043504	0.622827836830827	0.43354516421285	0.0493735369201382	-0.19235898672831	0.0804119574663009	0.331075167594953	0.188696800675845	0.0114393079378456	0.207194089123081	0.630016697552351	-0.252721411488684	-0.0279916324235458	-0.40419766630827	0.0216543424359174
KLRB1	0.870549641127078	0.701880147550572	0.86578672164867	0.859206573170037	0.793743758147896	0.260193356234278	0.382094360952424	0.055530391595813	0.626562891469467	1	0.403741315206911	0.459722566131263	0.857631470039225	0.500335523578015	0.409958774617028	0.786307245144897	0.239959386325505	0.428879370083358	0.854931332321834	0.639377946366647	0.756204682367588	0.778571619973003	0.883216595995748	0.107635750940938	0.801628856356593	0.637909675773324	0.315574553031747	0.666967098194402	0.292497610292378	0.555641477493852	0.64278901253167	0.443322779678735	0.129139628587372	0.0627008118421093	-0.0909234859073058	0.110356031151475	0.267898135814224	0.334413192186202	-0.00129783016639688	0.256270830731491	0.675408233236693	-0.220586392768491	0.126200175916819	-0.328506619114817	0.215217641528431
