""	EGFR	LRP1	ITGAV	ADGRV1	ITGB8	NRCAM	LRP6	SDC3	CHL1	EDNRB	RAMP1	GPR37L1	SORT1	CD9	ADORA1	THY1	C1QBP	CD46	CD81	LRP4	LINGO1	AR	ADCY1	GPR37	KLRC2	CELSR2	CNR1	PTPRK	TNFRSF19	PTPRS	S1PR1	CADM1	ERBB4	SDC2	TGFBR3	FGFR2	FGFR3	ITGA6	CALCRL	FZD3	IL1RAPL1	EDNRA	LPP	MRC2	TNFRSF21	TNFRSF1A	ITGA3	CHRM3	NT5E	GPC1	SLC16A7	NOTCH2	NOTCH1	FAS	CD47	COLEC12	FZD6	RIPK1	ADCYAP1R1	TSPAN5	ITGB1	NRP1	TSPAN12	F2R	PLXNB1	FGFR1	ATP5F1B	CD82	IGF1R	GRM5	CD44	APLP2	SLC16A1	RAMP2	VANGL2	TYRO3	TLR4	INSR	KCNQ5	MCAM	CANX	ANTXR1	KCNJ10	SORL1	NCSTN	ABCA1	PTK7	RXRA	KCND2	CD63	LIFR	F3	SIGIRR	DPP4	FZD5	SMAP1	PDGFRA	ACKR3	IL13RA2	RYK	IGF2R	SEMA4C	TNFRSF12A	SMAD3	TNFRSF10B	PLXNB2	CD99L2	TFRC	MCFD2	PTPRA	AMFR	KLRK1	NRP2	SIRPA	DCC	RACK1	PLXNA3	MERTK	TSPAN14	JMJD6	LAMP1	PTPRJ	STX4	ERAP1	ADGRE5	LRP10	RPSA	HLA.DPB1	CD74
EGFR	1	0.889788667164673	0.873612199700857	0.814327206695495	0.875203442852433	0.898980080358777	0.728519910875358	0.844690526753749	0.859877691468015	0.859164589900624	0.77842541843224	0.841958163484222	0.830017142348962	0.822113665083947	0.867879880386289	0.360533164283622	0.708011930703289	0.818199375747684	0.717398416018833	0.605813326579104	0.471630664647558	0.867432456765422	0.77290697842428	0.826241108595468	0.816902945168177	0.820883313413435	0.787986892776803	0.73371119242381	0.742093698703985	0.761023090045874	0.637176651934585	0.876783656697046	0.908007416560044	0.778486471312342	0.771959672544498	0.840399530569319	0.752214156968793	0.80285735420892	0.837203293645061	0.805377125957118	0.462692905437755	0.779972326558988	0.780431357917565	0.75981476678273	0.765781218128564	0.776085321673507	0.63668088054368	0.761119479844306	0.839761812854244	0.613902434494649	0.846624983239237	0.877738851095344	0.626307037764357	0.725308536252795	0.715608973090932	0.768393879993555	0.86593990920706	0.777990178522788	0.817973049521921	0.728284685937224	0.594809632566287	0.663727443170123	0.695182113068632	0.578189630467904	0.80263170284683	0.633114712169145	0.701777430568535	0.433518357229577	0.473916165023815	0.834844948701293	0.585568413741055	0.818333454797832	0.804350993330141	0.277899577422769	0.745627213969019	0.457945202162878	0.617419764767256	0.310918463734099	0.802693732205177	0.404484462087773	0.783882111308713	0.666201828295461	0.856289720572252	0.769777659853062	0.837955260945836	0.688345269212738	0.611083032594656	0.683372374631043	0.591410860270578	0.683158708735699	0.896515704243527	0.755060256636235	0.666663140264131	0.698193851276742	0.678507057270248	0.774952264128576	0.344972897541587	0.641678422971183	0.490514688414786	0.7989765979655	0.796452927266025	0.647468528991321	0.47855054805409	0.638041796955471	0.573357134393837	0.667654269220475	0.827235370470211	0.481530260504153	0.790999560475235	0.899629159387717	0.71222693636002	0.776232379473193	0.609395904845753	0.805922245143202	0.760544480745897	0.517773131488817	0.528020479908423	0.59742348406716	0.564791183083332	0.541797248789468	0.789375501977197	0.502892407919742	0.630161756227349	0.733074370288846	0.33435227906843	0.774837753986278	0.369023327628151	0.263786358067845	0.211920265759155
LRP1	0.889788667164673	1	0.962332483961093	0.880237779778022	0.949795285045414	0.961538572743065	0.798678745472174	0.954293443038437	0.960336031417618	0.921392304758743	0.786773378312582	0.89297699959087	0.899618461018184	0.80911001800586	0.921156798290735	0.396141647545031	0.750949469280165	0.870756071269284	0.828665764815782	0.609062843839271	0.513345029641975	0.869918440637427	0.713101055491519	0.828186342700932	0.764490382517278	0.925864807710175	0.902432976257058	0.860446927909526	0.861712524565284	0.734570191562209	0.784896173403894	0.943430038171944	0.919097773517938	0.91612980205638	0.864734234867045	0.872378042934944	0.720936147853506	0.890577745834928	0.913273274871644	0.891678617245252	0.606036431344125	0.897169445895566	0.876501205387258	0.859661169897504	0.826990103255326	0.89655224711256	0.750396936693436	0.759836369706762	0.855085808335224	0.726328037103353	0.883404010993622	0.926667667693145	0.74063856520474	0.851787805045383	0.847233163102713	0.915371676399863	0.887970129466835	0.812739881195933	0.808458174506236	0.819144830693842	0.714472774440771	0.786167189835547	0.684744600312347	0.699088582364821	0.868227050612834	0.753567401966406	0.71512704674625	0.43757355456026	0.592041346378325	0.841766373039977	0.773907785832519	0.91083184826113	0.798845232894	0.273657679861748	0.819856889769592	0.532011402243491	0.758046089950259	0.47173991943277	0.888987973467835	0.573041216991994	0.858537051947157	0.738334286367074	0.907680651535821	0.882062043513084	0.905072134933565	0.796270761480832	0.735641572092899	0.809544579049353	0.633207163940348	0.734750119998303	0.952489744430147	0.862324617861405	0.743110421278107	0.800227153130102	0.785234837679066	0.838973945190402	0.343439081833599	0.723951379919327	0.510661409285578	0.870497624004319	0.888174169699416	0.776180741429822	0.51848404234535	0.778791560482221	0.682808606753819	0.809312428590364	0.827550479818808	0.593423987667439	0.881289618749369	0.946182321780672	0.819473810816088	0.717241966510248	0.70384353251091	0.877681801425671	0.844810236606513	0.582544782859076	0.579657096312119	0.700496690512836	0.718669931954393	0.57310650718862	0.904264017677325	0.67540710872505	0.720716910660675	0.79892797756734	0.305340754039152	0.889140893693208	0.397455227915941	0.318725801963919	0.289933177257379
ITGAV	0.873612199700857	0.962332483961093	1	0.830442154251123	0.948579061340443	0.95436086247365	0.792436171607771	0.92705373183203	0.947991136278237	0.915528159703201	0.790882813073527	0.862326837019583	0.914049857460035	0.76402356598313	0.912081294903266	0.412810278268395	0.759423721830631	0.860510875630819	0.820977190791042	0.655595982223352	0.465423912425568	0.833068363436332	0.743131258048939	0.844103545423194	0.768333797569555	0.906957512513056	0.925617418281324	0.846746249398047	0.84910739769774	0.722928854652207	0.725669543758851	0.950860190729627	0.916837521578914	0.9062856942152	0.874022595735758	0.854051928766938	0.631572533499628	0.865074547541476	0.923491031312354	0.90251565951407	0.568666366124054	0.939576307619097	0.886335091626074	0.865612453795973	0.866737830841038	0.899727565009615	0.737809384880484	0.745557110552411	0.858194369519228	0.711921505361378	0.912021866298422	0.936282989412412	0.737316594812149	0.85216633129341	0.86125809036542	0.922607361825379	0.913009311002659	0.819090623859868	0.805188821801128	0.826679156744093	0.727513263932686	0.810107120751353	0.706715116708085	0.69589508145937	0.829586115719928	0.735759123258582	0.699931597394102	0.444378302644453	0.589519240212682	0.861195508739952	0.818687379745297	0.932798228571866	0.813781811618551	0.269169334694273	0.764239893320254	0.519673156929135	0.75658757671401	0.442421783850838	0.890552903932118	0.544867312930251	0.889865561573867	0.787320372645548	0.887780290531836	0.893368803154128	0.889960538218791	0.815504378260286	0.758059345932164	0.803811432528419	0.60861335860911	0.760642113229794	0.941476624186847	0.878033710608035	0.735255106312605	0.775172085344076	0.806235801191921	0.832546801432043	0.377620575410272	0.757071245043205	0.532488287559222	0.850888445155591	0.906966624545246	0.807575742090137	0.534267721533644	0.800277300488126	0.671655611708821	0.821490995151524	0.830967138212589	0.588799468959011	0.889636372862559	0.940280394367334	0.839629443981505	0.729815669538698	0.700882416641755	0.868952523522171	0.821023141000646	0.603672776229151	0.555331829384971	0.707760430735522	0.688440193202122	0.609715973093551	0.923128654429891	0.676086800884762	0.716705091621254	0.852790967282626	0.373724779591139	0.887049658068577	0.428507859174897	0.358627959879372	0.322781002152438
ADGRV1	0.814327206695495	0.880237779778022	0.830442154251123	1	0.791352314374757	0.879842620098263	0.676980200554888	0.841712630030161	0.860388743239124	0.841668342794914	0.586526884505513	0.804940634603435	0.765796412975591	0.661533797426656	0.875892067875176	0.162967549736817	0.50996705684336	0.873620523129073	0.651385373848142	0.431282929460556	0.266061320844837	0.810915970921003	0.606098869156558	0.74612312183609	0.585496746118567	0.74863318903832	0.78808790400367	0.739633977090638	0.763249219688193	0.567136484857115	0.695355810688696	0.811267365815673	0.841766838373595	0.774455235578555	0.710441936644207	0.858162684295024	0.68924947741023	0.855555370671263	0.868843277565063	0.783429664618252	0.54963852942972	0.777420860539868	0.776211205477308	0.800776384376103	0.666687839852668	0.784841441776779	0.731337832708638	0.625504440891149	0.700331980299881	0.664262274940517	0.742058646896644	0.822151059954534	0.575403239117005	0.774298172449844	0.675021210163926	0.833326595866486	0.764861660156222	0.661714146205065	0.787545804670308	0.668000931292322	0.542670081630217	0.652356908909555	0.442069484336585	0.578930864399329	0.84667803566253	0.58658423743762	0.497206041306729	0.211360078779257	0.507600674728801	0.777087655954353	0.661275732546171	0.751731558968428	0.629947696214429	0.0413420766172604	0.656799673348848	0.344353235767383	0.652731755345825	0.415593096642853	0.836942177621767	0.417725689747148	0.66221663712504	0.550902743037682	0.83013708646188	0.787418634833925	0.730045979953659	0.694415912430127	0.593837644981418	0.646551838331019	0.435778110370153	0.543750746890252	0.84344242740629	0.852224488323267	0.606839543444573	0.705689530539822	0.630632905170963	0.618679935333906	0.142735510883773	0.592535486641346	0.260152178332908	0.730495333605005	0.802366731235858	0.660444858845267	0.3830612668373	0.655568264059407	0.540677970846389	0.651147637010758	0.667713925001291	0.488554196004269	0.734375730391452	0.806092764408855	0.689174542772883	0.748283297878629	0.684744856884417	0.812259539502237	0.699024655596887	0.342522521096824	0.407419993496798	0.591149827047277	0.583069800686908	0.372514610007592	0.7245591629557	0.498029996976798	0.581819972608061	0.752768750192464	0.133044500707439	0.784884327589534	0.14723309843514	0.185989523885531	0.153271672507557
ITGB8	0.875203442852433	0.949795285045414	0.948579061340443	0.791352314374757	1	0.940372716896523	0.850845399310371	0.934052429208068	0.919263309173286	0.850371867234098	0.780244079468747	0.839769981232767	0.933932673073571	0.750656570470575	0.846435177790313	0.495799303634003	0.789536906778554	0.840326660351502	0.784524656720756	0.672450217637765	0.559935092161914	0.820749951022254	0.745991687835201	0.761913658696808	0.798699725299766	0.928831885961918	0.917034076191004	0.863826609181334	0.885588397185377	0.781426224011052	0.752726483205821	0.937083302368204	0.900698933507086	0.905258724409629	0.92545505339842	0.774346023054018	0.640667050439029	0.864920045715707	0.837384971363414	0.925307520536655	0.664438774177209	0.893454869207127	0.883752037249452	0.810257000416062	0.83681300746337	0.848333467181957	0.761277100816052	0.810063186898147	0.895949963614217	0.724553004445117	0.901174826017294	0.911709115775147	0.794568815567134	0.845755183115269	0.858554196795946	0.900904766241318	0.908728567283033	0.815857706851851	0.72881050282692	0.86643703697943	0.768545241565945	0.829664831505903	0.747049010460297	0.748954892745284	0.803472638460458	0.823664485547013	0.73156895804783	0.515777139870821	0.659963633334513	0.833531183658621	0.7206529090336	0.926601671020709	0.825338302169105	0.32769042020978	0.832622672093202	0.589949834920582	0.792579733092189	0.51349614942472	0.840298107266354	0.672520229930732	0.900222209559242	0.809351122217736	0.888318999712236	0.860377857966543	0.870154035556547	0.786689974844303	0.732469829389512	0.842553430650742	0.704098199127097	0.761457434237792	0.957999791658588	0.746072674420333	0.688214799314762	0.788782922744144	0.800703516499441	0.837595849253993	0.377477608947712	0.692526082904991	0.591499774610023	0.862450708273746	0.882489746462849	0.76418966391467	0.539037851461248	0.817879437424479	0.746775420888298	0.84249478377372	0.854791735200592	0.662373067464639	0.896344091961549	0.935909220743072	0.790907531929237	0.694737046747004	0.665829270973782	0.815189218705064	0.911420738403196	0.654078852239399	0.619592934985544	0.714566509116531	0.76029596065901	0.627816085311816	0.88649203888485	0.723070905833042	0.748133712908004	0.794721793013309	0.335562323669906	0.887695410372592	0.483846183880012	0.353055681867422	0.331672084644577
NRCAM	0.898980080358777	0.961538572743065	0.95436086247365	0.879842620098263	0.940372716896523	1	0.857400378120422	0.907813525083419	0.944133442696898	0.886935261522143	0.781163065285197	0.846884124565731	0.92550781829045	0.793959924157702	0.909975165983411	0.468671481204566	0.771492810733446	0.923141898697924	0.793038530514242	0.614355086338847	0.519455266397056	0.886824582544408	0.74222614026508	0.797916483426158	0.818872097762703	0.905843842810597	0.887342778105861	0.877369887494282	0.902111358349266	0.771603788434077	0.739486297767183	0.934855131295716	0.924572302735035	0.919177351643456	0.885160186045523	0.822713824820556	0.683629694946927	0.916544491484847	0.908086893253848	0.934284597348027	0.654509951598562	0.908557014437476	0.910553983222645	0.891351342522865	0.831559869643312	0.908077175577256	0.810156454303675	0.814290021738225	0.873466967152687	0.79172404686321	0.915271290040932	0.923426033396751	0.778114821610222	0.895383604137758	0.872744375722819	0.918264252796601	0.918195665247234	0.830503826923514	0.774296490194985	0.867588744506879	0.77580351934144	0.809879790409288	0.70932845249673	0.767913725660941	0.815633825676347	0.808119755211983	0.728862781657899	0.501808436258444	0.682358748480754	0.862099886749802	0.75668747626706	0.932355085288996	0.846726384368829	0.290321945725063	0.801957581914096	0.526083734306468	0.787922416839047	0.519907493097588	0.899716736044713	0.604724668307195	0.888070718965519	0.754617553097118	0.887343311689724	0.859220281433399	0.88627730801136	0.797841536208303	0.75497503501407	0.79817173926176	0.67731452983497	0.783157522550396	0.949553437063194	0.857026215270813	0.715880690479813	0.827338577906311	0.81302522414304	0.846607382402383	0.38908249654263	0.717890979991743	0.519007493862783	0.917018625354691	0.925115333095853	0.7704533196804	0.600291580704202	0.81492784105829	0.737871427419002	0.836692789822554	0.842781186344269	0.668821799069391	0.92630185571537	0.955424401015429	0.851942635452899	0.759349355955507	0.747955123581735	0.842052376831876	0.862252760410212	0.637367730820507	0.572801809643764	0.675772429869666	0.73923848447093	0.63000231041547	0.885865442503349	0.668032968775094	0.765525545199545	0.835071998393063	0.331768624662461	0.911292536101032	0.454919617396103	0.327887650871775	0.271496197999794
LRP6	0.728519910875358	0.798678745472174	0.792436171607771	0.676980200554888	0.850845399310371	0.857400378120422	1	0.769108604751018	0.786019972286156	0.632263493102807	0.688923697541462	0.611520119478668	0.903027032211679	0.641432333865794	0.693237263809044	0.703577921186653	0.770728391590347	0.84148300242317	0.67338491574047	0.632522690158702	0.636057381872325	0.778305883250266	0.642836009398999	0.548463082057218	0.81814012070492	0.852726179027644	0.755723824412166	0.845530509957334	0.914515158684048	0.800005311561991	0.6536848797486	0.805123070017135	0.759742911750759	0.841332068895273	0.865208852973754	0.530979696686161	0.468760312277315	0.783928309491491	0.658694841889873	0.912977613687612	0.817733562629135	0.788887866177372	0.859660213358166	0.806825848549925	0.776778195227831	0.769387864960566	0.744899471059964	0.867975992874777	0.819316375930769	0.778337466752052	0.869434450923849	0.797613544058057	0.881918150806735	0.83046711105453	0.836871146550872	0.8138581706959	0.848123412324884	0.796432840465937	0.472156794521968	0.886245534924721	0.883339887158384	0.825499201742309	0.736518298372102	0.857202708117604	0.610561045146347	0.909992044613891	0.725049099824081	0.714051956314069	0.849030194202198	0.722313061062645	0.661436103841896	0.876825266770472	0.820913902236771	0.420859116376233	0.818599484040237	0.652365858371797	0.830368497298943	0.632460994940021	0.7345500855038	0.813240673608457	0.881239252763092	0.803228851230927	0.717602200207658	0.722435799705222	0.752892847485676	0.736983875628031	0.757923786849595	0.847143569154114	0.830282197643026	0.797194661651352	0.826197344900213	0.608600746259319	0.553007270809048	0.766873325713999	0.801257669130377	0.812196395609673	0.556907187768515	0.577980580159704	0.632057935869459	0.879795052957903	0.839179488885935	0.679496335811972	0.639438144144637	0.802617742951933	0.850079630009971	0.817368193083731	0.78567974574493	0.8143532378788	0.882677956962268	0.851900154238621	0.779593829600336	0.594705488157509	0.707141707994046	0.616927778321848	0.904239318573047	0.775994035206693	0.657602228883334	0.62411348415227	0.823528282011326	0.72580860386694	0.775415209863339	0.731942877805191	0.808025316393177	0.703429381416184	0.333481077189248	0.847262451541246	0.614558353404392	0.385715468056167	0.339136026104724
SDC3	0.844690526753749	0.954293443038437	0.92705373183203	0.841712630030161	0.934052429208068	0.907813525083419	0.769108604751018	1	0.936743156076116	0.915863608907196	0.803372228884839	0.843096093778956	0.87012814094515	0.786993976796695	0.884589619573147	0.376742257035541	0.71848506915872	0.788049612914527	0.860901327791328	0.625653400401252	0.485838858470144	0.820813099691703	0.650247243182256	0.777007534522557	0.723803616479821	0.91706074558809	0.870414203055439	0.861659024452791	0.804682550647139	0.736917486060091	0.786363057507681	0.918725590665055	0.877523636938548	0.889548649439761	0.838881699167899	0.845900002532731	0.690142662825221	0.837178404952597	0.884923195327342	0.835893088910623	0.57153387960254	0.875940232509729	0.797215536744459	0.795629858721446	0.756889898297263	0.848421251264422	0.636671483966634	0.696962530308779	0.843194180800337	0.633903400426569	0.844432501369999	0.891585234777035	0.726399133392753	0.756713175100486	0.81396513028947	0.863035179489846	0.832661680420519	0.769209389544898	0.781939336116725	0.776359905054952	0.659626526651738	0.729657340650762	0.678158072898941	0.677060885862982	0.88386041127288	0.708820310811173	0.70059783677634	0.395189335673679	0.549662939135367	0.770105591043303	0.751877504565165	0.877774440678536	0.734264122898777	0.285318134075863	0.798572794269599	0.517068445184328	0.720555102526662	0.45087139524505	0.846581444355935	0.566904922503527	0.824012072611004	0.723472923441954	0.91523066289447	0.840292515494819	0.861806946417707	0.722444622758148	0.683025120471596	0.770144164492942	0.607922615999608	0.668939327869166	0.921628599925813	0.823672701896685	0.751419063068277	0.736556967284873	0.73074693712157	0.822666080367676	0.318168224194332	0.748970484467215	0.552864147584397	0.812570049796101	0.814997152683757	0.788775159108042	0.390506902073174	0.740211306410963	0.599967597993322	0.770149352410272	0.796305350782578	0.535359812307147	0.82477337049355	0.910738652282902	0.778938663453376	0.627183715693858	0.608544488427747	0.843157008155376	0.802137041455	0.542476776597978	0.543853827051667	0.645501433171789	0.687257545176565	0.511098541963997	0.918233817960486	0.616731041313621	0.63688008937524	0.736132589278237	0.207072285755311	0.85637549071515	0.368086904191897	0.236560504910819	0.233077645127783
CHL1	0.859877691468015	0.960336031417618	0.947991136278237	0.860388743239124	0.919263309173286	0.944133442696898	0.786019972286156	0.936743156076116	1	0.94011014741834	0.802348697235036	0.868454015760408	0.863044781312695	0.80796012664066	0.926930512382798	0.408521376268053	0.743249497765568	0.861555548859631	0.844444869434802	0.61362812598176	0.529209894274244	0.843933233510997	0.702362351339708	0.779347744101302	0.771431002092964	0.906685219203661	0.888756597513482	0.866280079970967	0.841690471914573	0.724169889444555	0.725994665330576	0.942295508243506	0.925839773716309	0.88772929856055	0.824737323900699	0.844380114590583	0.696007565415525	0.841473961587753	0.920754027781336	0.860594076305864	0.6057000617895	0.889618905944202	0.826439137285987	0.799989194055027	0.796297890405834	0.842074966305504	0.667927652682431	0.729185596068292	0.843248212968946	0.646622508535871	0.886403795621774	0.896972440662602	0.695698905860907	0.80594817870119	0.852211234058082	0.861126318261763	0.857145839641994	0.767536513056116	0.810350698193984	0.787141164915811	0.661333953111769	0.702484601343341	0.698185543851415	0.649666683664361	0.84407660003425	0.717451668507502	0.69983810269777	0.40984549683446	0.549181562029565	0.848937670605901	0.73018346626503	0.884098977448196	0.784492649269024	0.288557699300494	0.83122960931302	0.54400005174983	0.688316212006313	0.404013696682813	0.861789081020798	0.543251262234695	0.824079058074043	0.71587498018563	0.90684247202197	0.802711313367514	0.857191424561808	0.697250163194673	0.695109679990179	0.762623958614983	0.650417734689457	0.694501914751622	0.923663984041083	0.8781047198451	0.774404288580032	0.781489076182083	0.793087295406171	0.85597380015921	0.377787190810676	0.811720751357864	0.510575071348711	0.838498827059936	0.826516289575179	0.795732966016409	0.448023513030991	0.767925758403101	0.625796362083458	0.743090077364418	0.776461399835231	0.521523697099641	0.843232520391501	0.933191585583848	0.775092623444488	0.705220050741526	0.605126864193052	0.816280030859561	0.81328534570463	0.555665649721895	0.559407701989866	0.604938732291092	0.634927445477227	0.539090196716733	0.903443720546993	0.574692333487839	0.642661260167514	0.753365746442975	0.245260920053654	0.850281955359478	0.381823650879572	0.19331887965061	0.15594199957661
EDNRB	0.859164589900624	0.921392304758743	0.915528159703201	0.841668342794914	0.850371867234098	0.886935261522143	0.632263493102807	0.915863608907196	0.94011014741834	1	0.799876090307484	0.865549591457751	0.76870294377093	0.819463162566168	0.936026831340489	0.229458929429198	0.654204447617948	0.769616625373094	0.84804829419097	0.526579597589924	0.378663683572581	0.809593690123051	0.639261571119786	0.828939107566204	0.686512800343424	0.845520904864897	0.840738470316913	0.799941412850177	0.688704130287539	0.647460781425645	0.715870594212377	0.896880601819835	0.89366889618808	0.836682352916254	0.724437984031562	0.898951061001547	0.699102559273291	0.773746983252073	0.956140416560211	0.754916347233713	0.428167939150792	0.849946986391281	0.723194742460662	0.753365597749611	0.72235543821526	0.801153432080053	0.550090618990046	0.587941197799395	0.768429781917841	0.521164849106085	0.809734215097859	0.87981319478705	0.56755202395142	0.709888537027776	0.756832441295823	0.790590820852633	0.776837253537984	0.696683265140202	0.900785892831924	0.658826988037005	0.515092906943721	0.583953360974173	0.604677067115804	0.5117403264811	0.875287789558993	0.545302982175052	0.642322520776797	0.253119652902233	0.379122125924612	0.778088828733738	0.711027135297582	0.797881517745581	0.6882491425362	0.216246678570897	0.724471367495349	0.379863735663151	0.577385408709881	0.250087410544396	0.854407648491042	0.351665499730093	0.724878807697702	0.632396113624728	0.913501782394076	0.769120068147938	0.83830971039183	0.631682525648392	0.589492307209378	0.618517057666172	0.484359416491487	0.593139707229395	0.879084098444938	0.915787066133227	0.787849898817641	0.711484621035928	0.680295674008529	0.791666067553078	0.258970180313549	0.813800453630631	0.414692288947691	0.747175765061717	0.744824169957481	0.77881837180033	0.34267537994761	0.644205996110441	0.452363506059839	0.650872408707385	0.722720053058505	0.345126195623584	0.753111007081589	0.883241456354591	0.720195414123143	0.679487143964854	0.532462223692136	0.842506204838327	0.666284815348466	0.408312682315677	0.454192710050669	0.535088967451086	0.485667417955471	0.416228134539861	0.896741284777008	0.4585812587977	0.517403848843461	0.695863255985786	0.190045224442211	0.775504852053081	0.250992248791467	0.111691838503052	0.0878898399812455
