""	EGFR	ITGB8	GPR37L1	LRP1	NRCAM	SDC3	CHL1	TFRC	ITGAV	LRP4	LRP6	LRP8	THY1	CNR1	CD47	CD82	TSPAN12	SORT1	C1QBP	FZD3	TSPAN5	EDNRB	AR	ANTXR1	MRC2	ADCY1	ADGRV1	NOTCH2	F2R	LRP5	CD81	CD9	LDLR	LPP	NOTCH1	RYK	GPR37	CADM1	CD46	RIPK1	TNFRSF12A	IGF1R	PDE1C	CHRM3	S1PR3	TNFRSF1A	PTPRK	CELSR2	PLXNB1	TNFRSF21	PTPRS	GPC1	F3	CD44	ERBB2	RAMP1	ABCA1	FZD7	FGFR3	MCAM	ROR1	PTK7	KCND2	ADORA1	CANX	SMAD3	TNFRSF19	VANGL2	KCNJ10	NOTCH4	PLXNB2	ITGB1	NRP1	ATP5F1B	MCFD2	FGFR1	INSR	RAMP2	SMAP1	TYRO3	LINGO1	PTPRA	ADCYAP1R1	APLP2	ERBB4	PILRB	NOTCH3	PODXL	PDGFRA	IGF2R	PRTG	EPHB2	NT5E	TSPAN17	NCSTN	TNFRSF10B	AMFR	PLXNA3	CD99L2	SLC16A1	PLXNA2	LIFR	ITGA2	HMMR	DCC	PLXNA1	CD63	RXRA	APLP1	MERTK	ITGA6	RACK1	SIRPA	STX4	EPHB3	LAMP1	CDH10	LRP10	ADGRE5	JMJD6	RPSA	TSPAN14	PTPRZ1	SORL1	HLA.DPB1	CD74	ERAP1	NCL	CLEC2D
EGFR	1	0.901060038821016	0.869789571069225	0.878572824044105	0.809494171650437	0.877209392928545	0.820141567547342	0.853093378228684	0.896849772748021	0.872460192188547	0.83882093330573	0.810078304685305	0.636882083508515	0.730163115023988	0.843905820976254	0.767163819339643	0.846320469137714	0.842594562273447	0.817142568985532	0.869352438146772	0.806785544888688	0.777158912181367	0.788186814020687	0.844107219262132	0.852938507920591	0.88024844714317	0.762891209421435	0.892064364116845	0.666794870625353	0.819740060178035	0.834703950748491	0.823054852947864	0.636919109866426	0.821435187021681	0.882414282456565	0.881612398300643	0.715401268536242	0.862039284838408	0.837095931710858	0.847454640204648	0.688579263273051	0.720646945718098	0.823646352331209	0.790720008410344	0.532616035158057	0.780478520812893	0.761419433766112	0.866095307641561	0.736324793105046	0.874449733163598	0.852624898239866	0.680605137420289	0.736681904546859	0.0458057886961332	0.789732543941728	0.851966981476717	0.795086870174327	0.621138521735997	0.41813606918252	0.532091310340399	0.724403033866664	0.799257683416194	0.870087449591838	0.752173393838874	0.877074334042577	0.820562475210606	0.793217087686199	0.813943552135596	0.857755863461544	0.652326926576131	0.825195309230296	0.72740691880449	0.558759716254219	0.842496312153275	0.86961130958494	0.865684616845972	0.417162747832644	0.797605169181745	0.838586676147724	0.875079388838102	0.811243180990859	0.881600035731944	0.156570903259303	0.865245143820743	0.82001593146445	0.779128066568943	0.619846002338667	0.561131066494879	0.0990352980033028	0.821880510443404	0.798491307439966	0.832828950061426	0.844036348175413	0.826176889653075	0.855655067931961	0.80766020914036	0.870546477983563	0.822074653902713	0.848924220158751	0.85484634077351	0.695375615923927	0.602809234035427	0.538434468956923	0.621071426148869	0.718029469099517	0.833070127084323	0.814419994080669	0.82827894089148	0.78560907858925	0.771668660805056	0.378236429646558	0.843887057902053	0.604394367903601	0.835353582448435	0.757378374992114	0.827079564396766	0.816301021240403	0.723536176462219	0.803121017744719	0.782023192040941	0.821785714012318	0.680658906797416	0.907892312765838	0.572558608572371	0.53422121679484	0.549849416503959	0.813820303188382	0.845480423192413	0.759588704024731
ITGB8	0.901060038821016	1	0.922877418950063	0.960743436282967	0.877021325902651	0.948411498396877	0.943298303468238	0.942049187327419	0.975581941669352	0.928707783707614	0.891384001725728	0.894610209712821	0.613399137316801	0.859656114123134	0.915886777729418	0.832377208342469	0.923260829789765	0.894994568499394	0.914637235145288	0.969368213675347	0.902947258696373	0.901354837808539	0.892500449611535	0.91984995296652	0.948322018887749	0.903910452501204	0.869610307501988	0.943810409886448	0.796408760814292	0.861886607074214	0.946740411751349	0.85347942627249	0.729112935318726	0.893412190854282	0.892523720332446	0.945488156329928	0.841577599165369	0.9262331224635	0.873277329839377	0.915278042562453	0.815281586880957	0.761750288064212	0.903405461256604	0.894834290037498	0.665320396059022	0.905761791058639	0.751723578471626	0.933105394725105	0.791526865670592	0.919163390675008	0.863353018476711	0.80267947145604	0.893724543416572	0.183744792775244	0.869946298431589	0.956916951188532	0.847551058779119	0.780274514729923	0.53521585154547	0.525270886155142	0.849723879575683	0.878857541826228	0.903008761318097	0.841716257163898	0.957636380030312	0.87245444231448	0.861008818473103	0.9007748271289	0.925570393608466	0.675617766594806	0.88304192668697	0.755942155958053	0.617193301696635	0.917377632466546	0.959769477123926	0.905225101445079	0.40951429096657	0.872154419951615	0.939570158226059	0.956127055661179	0.790371321707873	0.977933524526122	0.313907403148326	0.938926096187524	0.837118567030036	0.804685580835699	0.639149793125429	0.618734880205833	0.14120069274773	0.855317170799679	0.835218489303968	0.858833605680721	0.930077919066676	0.87480295053906	0.924805075775002	0.870289484976251	0.934089711823032	0.865095997051196	0.910760221393604	0.926805032496822	0.719690227862771	0.776915317654749	0.63734202077702	0.600336523231083	0.785405047482588	0.875128806728868	0.918168043449414	0.88070037250767	0.849586597810474	0.823584756443418	0.476927873781723	0.898564834424244	0.740314304461313	0.929404339117529	0.791175682051758	0.9350678957542	0.873403998826839	0.848994840246378	0.839439019736158	0.823178769668511	0.88563250248753	0.684694737175185	0.969582466551623	0.631530657949053	0.539849754989055	0.558439173384209	0.874192282617865	0.928731131033224	0.779451136914749
GPR37L1	0.869789571069225	0.922877418950063	1	0.928038004365897	0.755686185998402	0.922235568060146	0.890343856579439	0.912235042867472	0.907335187472708	0.892926789166818	0.769785491857038	0.819749278132412	0.56034823817196	0.792490764152471	0.840266985354425	0.829419189113473	0.884757477946245	0.789152919039607	0.91088149953698	0.865410835253102	0.872016993793001	0.813593822398241	0.753112897592126	0.813349609136846	0.904565791992128	0.860656174820112	0.834892525358983	0.864616928580759	0.617908123802586	0.850145740763604	0.871278451652177	0.77909813645439	0.579627821969061	0.783493474863775	0.816522445162787	0.871867760316727	0.717828151564848	0.872904005862688	0.775638552128698	0.857911307872157	0.777268160804318	0.601868168548464	0.864355123121438	0.849480313210006	0.528038669579019	0.813277706952824	0.65239329406281	0.86570975394885	0.703952079272054	0.904740413403726	0.786087648257438	0.714016562347041	0.804491351406798	-0.0495450936792321	0.74396948901065	0.912813094179588	0.725444520446048	0.664571847392242	0.450422206459868	0.456523497033188	0.763196594191841	0.812892349891579	0.881773777035304	0.83645240836295	0.900341736354849	0.789178952417603	0.793517164420012	0.76651962408013	0.854360882644692	0.624824687624862	0.797038545549627	0.681068669128663	0.525789293272993	0.891649129318071	0.879909083497129	0.828590997538608	0.356129556123763	0.859630466530898	0.881753018699603	0.895047810527371	0.794040402967747	0.912281219216264	0.149383183204877	0.892589982392089	0.78462110367195	0.680935888521149	0.59460901334416	0.511167804214659	0.175088766080838	0.77221794528392	0.773204294613696	0.844339366284056	0.92250340757232	0.827002459723655	0.861363018816671	0.793813882957711	0.866744772348883	0.808527763251457	0.84409639645997	0.879365936891155	0.713923543045531	0.590051777702958	0.447019494124201	0.4995171361424	0.744135985493424	0.836909063858513	0.884039999622013	0.769032792341483	0.774547845023458	0.729087178457123	0.340404184671679	0.845512575667938	0.581947939802988	0.871990176839248	0.75180459401108	0.844089901632683	0.879021220945653	0.68775711751972	0.838788360208774	0.737262540812035	0.853844068106836	0.609751121200521	0.958027477571044	0.525395723053047	0.473687809979964	0.489000693631867	0.786067544417507	0.888783272127657	0.648854534511874
LRP1	0.878572824044105	0.960743436282967	0.928038004365897	1	0.822522497584247	0.89533565919511	0.942089744249538	0.972964216762413	0.958996350134646	0.947198100516823	0.899802995126807	0.932665039484738	0.623690357315177	0.896518517853284	0.907066151465286	0.907297089361389	0.944835275289258	0.883757152692497	0.93569997401291	0.92819019522571	0.93407833772574	0.861757081197122	0.838799114219577	0.92332698528088	0.949589337554528	0.92869508581131	0.813625943808744	0.948616505291185	0.741151170736332	0.904361188579443	0.921799342518113	0.82601921375333	0.660573629991736	0.867491337638531	0.895887888342114	0.956628492322954	0.829000558197093	0.913706046788975	0.882616122227487	0.93440039581939	0.775917801550715	0.736033873705114	0.910838688760993	0.907039499347263	0.650474172773069	0.862475361940089	0.767995646976698	0.939868002226223	0.734193347904284	0.953728251794336	0.849154212452734	0.711246120683272	0.822614885767601	0.042683959353295	0.85638649948621	0.927415315380068	0.83080060537114	0.728860677816722	0.395463384015337	0.587310602936945	0.880180341101892	0.917207440566675	0.926816973164964	0.777886317807134	0.953465090195492	0.885700615605225	0.900980058370014	0.868162398831904	0.887592727108849	0.72130765815747	0.907859850654844	0.79325455349128	0.641355485849764	0.945128713009576	0.947176658653162	0.929154504542855	0.467217022102858	0.910751738038721	0.924897121891328	0.952579164294712	0.829138864236706	0.966763597804058	0.192084819808859	0.94378054783729	0.799057930374036	0.821848854882808	0.671120460328157	0.602358935144908	0.22865049081951	0.876141185078192	0.86293132405874	0.878444366537833	0.97009781228289	0.895867518808457	0.944803431598954	0.905313234881207	0.931368534170587	0.893947541428445	0.910714998657131	0.931739994545809	0.750938260707524	0.682526230182856	0.5634476132259	0.612633929147655	0.852505330395777	0.896267256796242	0.924206570848909	0.873119359498725	0.829129543332315	0.852970451923748	0.38702391766442	0.916497810139214	0.676559818578386	0.938307061069077	0.813081832899425	0.901555614553093	0.914906728324904	0.793273754734896	0.842527390799142	0.843040968539453	0.913484167635399	0.722935384768983	0.964877542539115	0.628883275856277	0.577690149375597	0.594679472766598	0.853963806245752	0.945012016631211	0.775830236942707
NRCAM	0.809494171650437	0.877021325902651	0.755686185998402	0.822522497584247	1	0.813966057035158	0.839581007763186	0.840783110413442	0.887657168294841	0.778064049553546	0.876246982234614	0.816976737739577	0.782667589005761	0.735148348234522	0.868344063104649	0.680527697091383	0.778263039525266	0.86023519644415	0.823509724550163	0.902966377892421	0.776016642057115	0.797223894459123	0.854431785479164	0.872690421236906	0.839175948863764	0.782586577582576	0.748227266156819	0.862555504711687	0.821861224155472	0.763438955920231	0.882176683533405	0.878815427610501	0.772543295255238	0.899895502261033	0.861674354609237	0.8792414356981	0.767942182643792	0.867781734368555	0.875814293169363	0.847711948191369	0.779050347549649	0.786106078861792	0.832705892973037	0.777515778739906	0.688443720336229	0.880184768262283	0.764663887583172	0.835526718916591	0.821512798728654	0.850539212347662	0.866340231575171	0.852486375165632	0.791075515834245	0.360025652938346	0.830254397485637	0.842013042107063	0.854047809295645	0.723132328242972	0.522930334463357	0.593295921726205	0.77038991861578	0.76517608719963	0.745853325927725	0.773128471436496	0.880704614492528	0.835595278729704	0.741207561341957	0.847476142773639	0.867980859795124	0.680284446804323	0.81692338186171	0.773741798310282	0.689437166021578	0.828945900304156	0.893317247552896	0.860532899949921	0.483174301712217	0.770359040665206	0.86911062293284	0.835461057381468	0.737894125912756	0.858614533846875	0.327600783564602	0.858833500678536	0.877055209106918	0.790788448435933	0.593311888816831	0.688568117802452	0.204454232484222	0.862647593855891	0.78925211407316	0.776922239360517	0.79772442497535	0.81380929467827	0.859516838019294	0.808483279192993	0.862041393458183	0.843495340433757	0.841713714976675	0.845957320755763	0.727141276541655	0.757331700152703	0.687672179243883	0.602520264634638	0.6654037465637	0.827240788753683	0.813239606493455	0.872723382575223	0.860707233746415	0.768969670137834	0.560491125008512	0.831725314362885	0.739556227563759	0.872139446392548	0.66705933761931	0.874827952211829	0.707399271624342	0.843408457368183	0.729076565440169	0.836067037185136	0.798991420963404	0.737887572588523	0.842754246440167	0.69672985055981	0.630599422906328	0.6420406125075	0.84817996607769	0.837389028354357	0.761061015424873
SDC3	0.877209392928545	0.948411498396877	0.922235568060146	0.89533565919511	0.813966057035158	1	0.886326289177034	0.866349225186368	0.931861473521672	0.872778301073665	0.801275752790353	0.811391153128291	0.600597012622728	0.740494461997959	0.848480413256833	0.731380712671156	0.85711312678768	0.838448540582578	0.845956171436464	0.922114613871976	0.815016998350295	0.884927316163644	0.846377750948184	0.847919796544122	0.899104673905236	0.850216808955842	0.911483993405222	0.863436245646383	0.756078620627251	0.7836121630678	0.910100520250029	0.824433293442855	0.720145200168244	0.840440036645325	0.835934937376249	0.867201231580129	0.760509312026381	0.87088397240627	0.807228934987094	0.844351133543712	0.761723189133009	0.71342997014539	0.856839369824075	0.805634590066571	0.63525975585501	0.876208983744784	0.700879713992491	0.871764064563947	0.813068832610519	0.862330937284765	0.800210354720469	0.793269721958174	0.89878200899674	0.190521769504102	0.793601775081701	0.928054330284171	0.784581438231638	0.746574938780679	0.621047477996522	0.49053042912754	0.729857528537074	0.779692547053528	0.859696757088914	0.89208988180389	0.897677020627497	0.803195958621995	0.755586465393254	0.821550807836781	0.905201679159974	0.647350777282124	0.799529811450041	0.703331317039817	0.568652635633708	0.834536825038217	0.892227285564033	0.822500388228495	0.396279441301001	0.819959500071507	0.899578749923209	0.89389694160773	0.745498351428976	0.923118818874461	0.369668193336073	0.879548730278275	0.833006117839392	0.728436129661214	0.633744019169214	0.646683311741223	0.129311211144498	0.783572046791847	0.751303939598776	0.789639583500484	0.855233729198783	0.806871909247431	0.85353582870358	0.776419186609886	0.883500947890053	0.813168292754892	0.849667999927092	0.864770863755462	0.708866054298468	0.76401908738719	0.614904763294203	0.510842921192025	0.672603650869273	0.806896375378273	0.834340894823327	0.814283245873798	0.806684087958605	0.741336769294988	0.534964401767861	0.803983889089436	0.717574325141	0.864141714666324	0.727640087527222	0.902119034484033	0.822729729175199	0.799970824664244	0.784367842880077	0.748930605347636	0.799740257160206	0.626368314941837	0.940235361962883	0.602352593773907	0.493388028938451	0.509067274016097	0.811083126605473	0.846928280784153	0.707021075959473
CHL1	0.820141567547342	0.943298303468238	0.890343856579439	0.942089744249538	0.839581007763186	0.886326289177034	1	0.937314614710661	0.944158076963612	0.885565974139058	0.844369928981649	0.92154806460137	0.576602249219668	0.916371676977015	0.917456890396941	0.838535217553453	0.924993349065678	0.917591434145187	0.929333367715763	0.922890231093484	0.934509664209176	0.939503218826693	0.89028905915749	0.909917576511942	0.959387245403912	0.835467025226186	0.863839929692133	0.918390120976668	0.80401109738561	0.877349162136474	0.964992228952211	0.807969245020864	0.72850055097652	0.844347495069631	0.860444463802086	0.937567025020082	0.848688759818618	0.932955476306837	0.85360145521714	0.937095815084032	0.773555267043946	0.697077561958524	0.878146508790126	0.854933630655082	0.71994840102214	0.932177257196204	0.691393999138204	0.93918112876061	0.765999516016098	0.933740440599747	0.791342891284537	0.782703851499284	0.900966355271344	0.227859850800909	0.853830711758534	0.948986519276339	0.846433035895275	0.826603258187573	0.51553024375665	0.522331006425451	0.855642602913208	0.888991286000675	0.830828965382371	0.827688500936061	0.964412281557507	0.868964344654045	0.890503575022782	0.858862498522393	0.88852627094827	0.704071315848465	0.892826526840924	0.777309596563962	0.682830656926686	0.937404075541153	0.955171047454747	0.895536465607928	0.445464948882871	0.89229142331183	0.940258685762133	0.910575543235183	0.75271991933137	0.965308190574372	0.36196320359991	0.952840575256173	0.747231440839847	0.82796564559561	0.647583757675712	0.647123444941008	0.119615986406271	0.866328697435088	0.810340016457002	0.872489142251331	0.938561703522776	0.877486263231783	0.932762517226487	0.840340997880891	0.937067694514447	0.84506813698966	0.906003646515008	0.932884266891994	0.682943985128485	0.791181390110711	0.648800396774342	0.642574831753343	0.801060992740163	0.884801085628059	0.926189177416583	0.859376313958982	0.8544470984345	0.837587686549213	0.538500674512167	0.890941851292083	0.777619589193117	0.929014807218658	0.767463586309844	0.950421920954319	0.86499327513499	0.874959759463315	0.78085606225917	0.823721364138869	0.901957800294174	0.713244136436178	0.908474110131033	0.704439177045567	0.61307289032617	0.629025758163071	0.903310352731775	0.923276616957509	0.770084865422159
TFRC	0.853093378228684	0.942049187327419	0.912235042867472	0.972964216762413	0.840783110413442	0.866349225186368	0.937314614710661	1	0.942159148811638	0.917464892627614	0.886483018765913	0.927255690222189	0.64116538687033	0.903360926436693	0.899942573233832	0.889635393082934	0.915808773744906	0.873117341858212	0.948687590029152	0.91588311825001	0.927436045861215	0.840211853247093	0.825959030889989	0.921541632939264	0.937064936741254	0.894069825963961	0.786269792027723	0.935050667407404	0.754857194862568	0.901926636954808	0.91993761274691	0.820188331548082	0.655124061980024	0.882417527358914	0.877800741261364	0.949427533082181	0.828327736532842	0.899686931948384	0.890205062017838	0.928266985742813	0.803170671915464	0.738007590476019	0.89920289146346	0.907550282312103	0.667181162541176	0.871403771897522	0.77963651600052	0.912823291165964	0.720099930331482	0.961782998100217	0.839940386153396	0.730358582892243	0.816133312611204	0.0550434344689875	0.82891573049481	0.907044672115411	0.834823744107524	0.717664551556889	0.368300837383054	0.632921301699347	0.882045298160989	0.901012556228578	0.884484820820367	0.771974478578298	0.950401280710723	0.874606518362437	0.878661901200658	0.84140199580926	0.862051171839627	0.760770601284626	0.896360662481834	0.831544087303566	0.706848643619272	0.951297050726214	0.94855299590695	0.909716600835499	0.534022571660833	0.937772612594462	0.919115375958704	0.923888490159828	0.821100338481425	0.947790200004702	0.171207366330937	0.942419790265323	0.789775265975174	0.791291414562442	0.68129033960801	0.640680687317523	0.197888693659493	0.896084499458047	0.869729152751198	0.867459772746955	0.963435072861666	0.899092337246729	0.943777424706802	0.893891462119679	0.920549518454962	0.886185149659871	0.887529493891795	0.930071376156151	0.796327023895377	0.665317862262698	0.568341806246226	0.578072316759012	0.844952387691886	0.89979227802795	0.936144169205863	0.864131221333978	0.815584380813695	0.846959952708935	0.412530831276877	0.921168189342166	0.66502313381319	0.953042715353701	0.758565796851323	0.893118593223267	0.889871100538712	0.785959245109083	0.818856934365956	0.880569437210396	0.913680985398698	0.758236513613158	0.943065272932701	0.639861683196746	0.612006448542526	0.625878343279554	0.846517658225355	0.947316401771503	0.752213850060829
ITGAV	0.896849772748021	0.975581941669352	0.907335187472708	0.958996350134646	0.887657168294841	0.931861473521672	0.944158076963612	0.942159148811638	1	0.920948384389195	0.900348821728243	0.908194154904456	0.645180118549933	0.843484015352869	0.94284034392698	0.836756435836833	0.926180397678851	0.93526750377129	0.915164932604711	0.962098660713439	0.910001804825773	0.899208623990036	0.893278237737606	0.925070899415015	0.957646119939813	0.8986689890089	0.862188913516456	0.960354210895261	0.82018437225672	0.884326921414863	0.950945193867088	0.853740490167738	0.760936711910997	0.915276110499665	0.913672497130621	0.958781794452259	0.833550900295287	0.953768432379103	0.916128477816989	0.946242014264893	0.811902893557183	0.792696171109095	0.920212446181178	0.878646683270206	0.721550512830573	0.928486508233618	0.797484559324687	0.949833122986405	0.804006179495617	0.943485869432214	0.862782478949722	0.791881458341871	0.869149983438567	0.182313167691692	0.891378050885496	0.957860007346835	0.878862499022188	0.781126350783555	0.518057835029766	0.617406610738332	0.871365134375356	0.891259127003474	0.906607976454026	0.839893945061665	0.962400869105483	0.888336045274897	0.879012534545642	0.902707097049146	0.932702222096957	0.754530109169868	0.916024599118142	0.831797608665448	0.697194420141698	0.931452454330295	0.96139438636863	0.938556952308572	0.509991559204812	0.888147397692877	0.934833168558697	0.95018210143863	0.788359883926189	0.973721798196856	0.277658240106328	0.960560009430672	0.853363040764878	0.864039986807997	0.711375487599225	0.668405779274169	0.171229225505255	0.906423196599918	0.846521853795997	0.882391897728878	0.931566020971593	0.891512147122294	0.946333250954771	0.897331605446192	0.948689668208004	0.879359214126055	0.930461379948734	0.936349530516366	0.768668277101694	0.762534750474946	0.654189606836707	0.673688613641148	0.788208306257914	0.901127129930036	0.905343620547773	0.904876072499583	0.882816689015102	0.88159680871729	0.518548993224228	0.909513118135109	0.768345577238977	0.939597649540835	0.790719143475315	0.942232421853164	0.84256047449688	0.864899246775467	0.834234002778882	0.856567375601822	0.888273089572765	0.769258743283162	0.959154224005627	0.716424833438256	0.643685021026501	0.662324372587793	0.91127272209601	0.92568869096834	0.821882785474173
LRP4	0.872460192188547	0.928707783707614	0.892926789166818	0.947198100516823	0.778064049553546	0.872778301073665	0.885565974139058	0.917464892627614	0.920948384389195	1	0.875671969358171	0.884366574804191	0.591990703302503	0.827237106657086	0.870719111538181	0.859051187044525	0.918252953682555	0.850260742652129	0.861023728478676	0.9053839403007	0.885327279247403	0.834247368954564	0.802707709583524	0.888007049618353	0.900704525624684	0.907877820414901	0.802560075425978	0.91805537707087	0.696002667429456	0.859716746263714	0.864161297348177	0.788556732591191	0.601571376419301	0.822501221181737	0.888662401842487	0.917594811497873	0.764986147586099	0.877304549149216	0.845123624083308	0.895084681099146	0.695087843569331	0.736159818127668	0.844453798067786	0.840266423993462	0.604691608911156	0.78929489408968	0.76559595515306	0.902673770782971	0.69036989229321	0.909290480001725	0.839173944140929	0.663257795631784	0.786433945982746	0.0105724322665398	0.815872030449184	0.884406771705759	0.811234960559938	0.699162107368019	0.402515617438995	0.553383792064468	0.814549324782301	0.873623472584396	0.92596681700253	0.726717801264896	0.909570560648198	0.865287613393148	0.88219239485468	0.857014064495143	0.852396696724347	0.674033896546915	0.858914278710914	0.739405133995523	0.578710935261413	0.894306439034684	0.900509348188795	0.884346251566553	0.431534114164933	0.85549585469356	0.874630559748079	0.922983227005011	0.807545618548538	0.931011222694343	0.186746308612357	0.895747829304471	0.7904453218889	0.811412307058309	0.649328018479717	0.561881671935213	0.179904037581046	0.817037174522584	0.825458158087949	0.840758119006775	0.910364958250038	0.842906094872607	0.890816049406808	0.876055433289648	0.906956379000771	0.834062173265707	0.882375273926708	0.885134836113035	0.719257344281162	0.642868994259231	0.541314123753835	0.626489137191093	0.822041864095337	0.84241806840264	0.86284941177771	0.843270637520958	0.764305338694064	0.810845227939125	0.355609231406366	0.867597083871914	0.629911273675252	0.88084493483685	0.827063995058688	0.858003945860873	0.887922391730518	0.760411728156646	0.807059010881971	0.789126682010851	0.865538713327557	0.656347821239274	0.934575750518279	0.552142163317634	0.493675595346029	0.513467087570939	0.832439302164324	0.891490047878479	0.744530615885607
