""	EGFR	ERBB3	KLRC2	THY1	CD9	LRP6	ACKR3	CANX	INSR	ITGB1	PTPRA	CAV1	CD47	NRCAM	APLP2	SMAP1	NOTCH1	CADM1	CD99L2	KCND2	RACK1	TNFRSF21	LPP	KCNJ10	CELSR2	PLXNB1	ITGB8	TSPAN12	GPR37L1	TNFRSF1A	IGF1R	C1QBP	LINGO1	AMFR	TSPAN5	NOTCH2	SLC16A1	LRP1	SDC3	MRC2	CD46	MCFD2	CD81	TFRC	SORT1	ABCA1	ITGAV	CD63	TSPAN14	RXRA	CD74	SORL1
EGFR	1	0.159003075296075	0.13874985485473	0.130077521086944	0.0219717452528579	0.460460961071147	0.223619520904261	0.214679050873371	0.324814433052055	0.183227558314341	0.354260530423845	0.0122545092838691	0.0508212244623643	0.451449971192099	0.162117306838769	0.168456822338771	0.277013617341637	0.386828551169417	0.424442149154242	0.114588480675955	0.0175457725131517	0.0702667608879114	0.183565896972741	0.314048836397162	0.349042140925999	0.418811622789856	0.22693635900282	0.300469368437554	0.365133882727707	0.0609501919361468	0.23709130375422	0.0746432706931699	0.349590857242113	0.224591169886995	0.287890159843807	0.290154018061082	0.259996723751414	0.282580494376606	0.339934051831954	0.147115909460644	0.36792759974346	0.152254715933491	0.225319491535885	0.0280766679956793	0.208952077963039	0.168266128669151	0.23079438132205	0.0382190416491371	0.156625367395318	0.292860554274601	-0.0543702126188372	0.0666241385548725
ERBB3	0.159003075296075	1	0.731118924015805	0.906214562428774	0.703594373396413	0.75542991017123	0.647602535637114	0.69666344765451	0.692988860351635	0.647020075706184	0.599114541535047	0.766107248759624	0.851302510897224	0.625503556361498	0.62731578141056	0.792809009475413	0.748833494805438	0.754738203890864	0.530140931905028	0.831840255957222	0.817559048468286	0.679218124224282	0.704482479284454	0.716515097916325	0.632550753585866	0.538786966918813	0.685513982147608	0.69942737102488	0.178753116920139	0.49137551498678	0.5365828727731	0.824792828195756	0.762970171898131	0.524855842818068	0.707142127424155	0.352621871181305	0.585930674220914	0.690444272394222	0.660227629115535	0.315095964763744	0.613462987248856	0.728051136958807	0.489053787176683	0.203322008299942	0.718836231702551	0.258354266681655	0.504898716959619	0.6796707761138	0.374876390048048	0.33352380576984	-0.0742433497374926	-0.0856214071528045
KLRC2	0.13874985485473	0.731118924015805	1	0.745464893081686	0.560742492450597	0.633798821940997	0.483287749519352	0.537522434850859	0.431817318045649	0.562130556163467	0.543353049454478	0.644861309108453	0.700918656595932	0.411525664451183	0.513595617974725	0.750033468615921	0.604079514378244	0.607852435875213	0.388369666294412	0.643023263410778	0.707975808361916	0.40916894767854	0.503034509629227	0.416168630294397	0.474830884339763	0.29156155529948	0.493040713317445	0.528572569213421	-0.02778426153587	0.346985849545923	0.470319207766757	0.72833801747165	0.754864071664205	0.372781048310534	0.659870920409289	0.17233734728539	0.484692613732259	0.464852518036707	0.442819737338009	0.26816246216061	0.432592620797984	0.657141521685578	0.262400192547219	0.0453329050628437	0.453330484578773	0.162100254441146	0.347798785976045	0.558519565357861	0.197181720400525	0.228661144985411	-0.143478587601385	-0.218202772718002
THY1	0.130077521086944	0.906214562428774	0.745464893081686	1	0.717421134118344	0.812884972235224	0.692423118298735	0.747106434654661	0.533541463528767	0.715054124718003	0.670003756715847	0.796019140229903	0.841990171744862	0.712741041038617	0.732367732827347	0.888599950804109	0.832264422097589	0.763036672294375	0.555749933273749	0.879185946853182	0.889889547895397	0.697660347087425	0.765975712225117	0.540204234290169	0.597759469592524	0.521158383451964	0.678945498703642	0.818376698732223	0.140108127199783	0.550517498491697	0.576313499810553	0.909330908561681	0.846809653186017	0.587499863979203	0.633299156349576	0.487354176900075	0.710362515109062	0.758193130003617	0.616374629648381	0.482456392268285	0.617673138732856	0.740698221728774	0.546473937901696	0.309691059135375	0.716018455250292	0.300131333125126	0.607234741359607	0.7445177309971	0.427915814644515	0.420063154099226	0.0391187183922198	-0.00538044402826602
CD9	0.0219717452528579	0.703594373396413	0.560742492450597	0.717421134118344	1	0.541881398982182	0.889728346005817	0.928995243947506	0.652291870918628	0.855259973375559	0.800095938572029	0.950766159644115	0.891501900383456	0.68205640435551	0.895496485656495	0.813082050940416	0.832702400430912	0.625956015938168	0.777103097628945	0.827897658266046	0.863663318227254	0.350175386568281	0.908936039288295	0.50065039168434	0.790156281769489	0.672362382049967	0.933071688846669	0.791413779897686	0.246553965346387	0.902833607529434	0.849427653927673	0.833951592029937	0.569580628832718	0.833583489950061	0.740559719844223	0.707402433526409	0.784749965672889	0.803132091403552	0.858211584149744	0.755744583754773	0.812792314837405	0.918746076185488	0.789507697416094	0.559552815992432	0.872057294371449	0.731019446466601	0.820418147107818	0.949623074482022	0.620601903829001	0.706551941878163	0.310229103817541	0.316567102435741
LRP6	0.460460961071147	0.75542991017123	0.633798821940997	0.812884972235224	0.541881398982182	1	0.599678485175158	0.680233866339125	0.591533058208874	0.628265488457709	0.709554956484823	0.567118378401638	0.667132067109506	0.751214212602136	0.683570648578008	0.751101637015779	0.748475663169588	0.788886034708361	0.626350599252317	0.71093607083394	0.697968064829711	0.629514282359994	0.661979851456125	0.509247465623337	0.626625234803964	0.543702079528531	0.601534630101702	0.751199853155341	0.210409420793069	0.431517016879021	0.543041009504094	0.690176836658369	0.800722943291671	0.574300669915111	0.603171027899988	0.548061327535773	0.683297515177897	0.758361483560669	0.547135603593406	0.539228003906165	0.608618069614647	0.64315546079622	0.53558865275783	0.291446063778845	0.650262398178978	0.318984750443193	0.634622501264795	0.562211624569346	0.418852631322832	0.499655267230003	0.0908111294764798	0.0872960590525998
ACKR3	0.223619520904261	0.647602535637114	0.483287749519352	0.692423118298735	0.889728346005817	0.599678485175158	1	0.895748378735908	0.634894752751857	0.793275171801548	0.84421924676929	0.856411189230358	0.837077634578013	0.765839208070145	0.856398425817678	0.740827639049052	0.825795597868668	0.586300964253081	0.828441852068006	0.759021276187842	0.775731788643986	0.294269288454822	0.901880854511571	0.539837656434583	0.790385905194298	0.714021577452741	0.934064194027903	0.795900970689497	0.370901604384048	0.836517278415741	0.8511468607434	0.766391453214176	0.613343269782312	0.891092672678307	0.700607423119606	0.746423563021877	0.807494312117053	0.809484097266349	0.841541000195104	0.739982509581683	0.814501465497308	0.848778705953316	0.818341102162062	0.502414315341392	0.846834577170781	0.687361054665252	0.862576705701834	0.875564960749132	0.60231626524381	0.705570391585658	0.279918266506743	0.314882867403172
CANX	0.214679050873371	0.69666344765451	0.537522434850859	0.747106434654661	0.928995243947506	0.680233866339125	0.895748378735908	1	0.692977558407609	0.942388917331675	0.909565553088266	0.915440452141587	0.84856070173537	0.777705517369705	0.96716804695601	0.837951624170366	0.875921509809963	0.710669767761535	0.897505151452246	0.862684282064778	0.876958943325739	0.34671084709156	0.964728451824801	0.50659642088645	0.883024094524454	0.751895507221206	0.94222100688371	0.868822364942446	0.303665721411705	0.900068398231115	0.932838706644844	0.842210904472458	0.687173319577275	0.909209222905073	0.78202156765803	0.810070227054964	0.896021632334833	0.921767457687674	0.901059586387619	0.837913322327424	0.905374975139676	0.927621921060401	0.886211942066013	0.675083408365409	0.927373919474146	0.783315476755726	0.893944105066813	0.9557160735503	0.735895752382284	0.831312908775841	0.420536886997524	0.439707084199463
INSR	0.324814433052055	0.692988860351635	0.431817318045649	0.533541463528767	0.652291870918628	0.591533058208874	0.634894752751857	0.692977558407609	1	0.613692843671427	0.604907449337445	0.632955466711383	0.664319586671014	0.62287209302487	0.602124492037838	0.573643290054982	0.615597608951383	0.65089865398642	0.642878099144097	0.601577489597877	0.571892670038725	0.356628152939805	0.674982303787808	0.743834211716984	0.769324745267491	0.712225860026859	0.72066325719318	0.510768216172123	0.307444511251243	0.602933020045781	0.635407769749599	0.501430252798503	0.479443190684624	0.658925207168044	0.736363564882878	0.49495453969594	0.463410150394555	0.699890240958952	0.716852114170863	0.421002124989973	0.783672593436675	0.706527494202759	0.624286316671157	0.396223300757696	0.737659634417806	0.576482083340782	0.624926297915064	0.618577060511527	0.572017018614507	0.459151645735548	0.201179073451402	0.282747775874891
ITGB1	0.183227558314341	0.647020075706184	0.562130556163467	0.715054124718003	0.855259973375559	0.628265488457709	0.793275171801548	0.942388917331675	0.613692843671427	1	0.867613760296099	0.891379533124623	0.808498194032861	0.646666595124992	0.942458230909332	0.843297558673674	0.852504642316791	0.641298516060242	0.826756586628784	0.859257816314107	0.885709743621393	0.266148502420042	0.922525657393402	0.38788839529191	0.826519237616792	0.636497235006988	0.837452898254628	0.847303792348902	0.128803998866818	0.870058223565603	0.889858013859705	0.868811627257139	0.704067405386339	0.874554382378111	0.784178902048042	0.717085246999645	0.860505190369656	0.851056145291476	0.82108309841206	0.787001349946101	0.862667142485173	0.89690120972122	0.824424373864087	0.719784376259566	0.855932078431561	0.741105214058233	0.803139518710526	0.95145519508659	0.789371583333146	0.771223496031917	0.493950397863826	0.472016170572986
