""	CD3D	CD3G	CD69	CD8A	PTPRC	CD44	LAG3	ITGA4	CD8B	CCR5	CD2	IFITM1	ITGAL	CXCR4	CXCR6	CXCR3	S1PR4	CD247	CD27	CD6	PTGER4	CD47	CD4	ITGB2	ITGB1	TNFRSF1B	CD7	SIGIRR	IL2RG	CD46	CD96	TSPAN5	F2R	ADGRE5	SORL1	HLA.DPB1	CD5	TRADD	SPN	C1QBP	EPHA1	TNFRSF1A	KLRB1	TSPAN14	CD81	CD82	CAP1	LAIR1	PILRB	RACK1	CLEC2D	SIRPG	PTPRJ	IGF2R	PTGER2	PDCD1	JMJD6	TNFRSF14	JAML	CD74	ATP5F1B	RPSA	SMAP1	CD9	STX4	PTPRA	CANX	CD63	LRP10	LAMP1	APLP2	NCL	PTPRZ1
CD2	0.95996878001675	0.968265525215881	0.894354685392085	0.656724862724167	0.808664850732471	0.876696897065314	0.696117819328026	0.81263956994422	0.680000616443092	0.620168220413645	1	0.757408309480142	0.799961891229843	0.875147035461879	0.857795610506024	0.745098918929805	0.836138654302054	0.930226988239734	0.597133686926359	0.926929359079627	0.886825785125565	0.799764978330005	0.709854308371284	0.781188634281497	0.781374786275567	0.925718811989243	0.840572027206691	0.866973606723692	0.906745636977266	0.765072761167348	0.873255374812914	0.70731358132518	0.63092785357368	0.926684858323778	0.516904834367987	0.499715951905384	0.708692566673575	0.833873771119001	0.908870638004204	0.305751323439863	0.704315043628354	0.294468952093525	0.779636550692479	0.797666769304118	0.347883964202854	0.47218485463311	0.893805385164859	0.656389008884826	0.440430130388201	0.76343281666181	0.921611012941846	0.619364223800665	0.517960525629065	0.702841758341046	0.778035533306649	0.626868574448631	0.813139386689678	0.879975266577677	0.772432876674908	0.354267633457727	0.380412398878175	0.775189352499668	0.638757945733435	-0.127460396743375	0.51277647681801	0.0751558319370182	0.057666646036917	-0.118938576451447	0.809142022514793	0.486412230364394	-0.129063166318685	0.513903014354019	-0.379370872825144
IFITM1	0.757952646861259	0.684686941669225	0.801606870235536	0.466916826339601	0.524772795357425	0.81026450963916	0.524644654939742	0.505309217900754	0.454299153075421	0.265411035700371	0.757408309480142	1	0.615751875012508	0.805399540912719	0.719808479729812	0.671265456733022	0.886915782864858	0.748146415299339	0.445997905089858	0.747265666467994	0.610216066684289	0.696600203356925	0.619158401001985	0.703750978516474	0.667562700976904	0.694302747898366	0.776388663792381	0.864175133812937	0.749282294757789	0.568891442978163	0.648990551404868	0.436390138347832	0.548809842016231	0.763048581629037	0.348159819916673	0.546014565322222	0.839004612963997	0.767055899014766	0.765957009929003	0.317546489475531	0.479625024600766	0.519540522278033	0.704473674320364	0.639315455459833	0.4078174962457	0.427182201421877	0.774968683449125	0.677711358904551	0.338656346054453	0.735905951575236	0.813690614128774	0.560441025893138	0.279719160909053	0.3913640006311	0.705426082185888	0.632903513795183	0.587518426229333	0.725362376752968	0.545699553128122	0.475215389955707	0.542891268610982	0.786404784401557	0.520187339314613	-0.0462066214100217	0.433638902650773	-0.0275326774827251	0.071611358754328	-0.0236490473758804	0.732173914336179	0.390103974722933	-0.0370372484786755	0.360901702230997	-0.269882497884421
ITGAL	0.85777068334988	0.855746677999024	0.79621836531551	0.731225626681673	0.852682078717183	0.6922108792212	0.676073748885698	0.870883476226038	0.785939364323407	0.663363456865586	0.799961891229843	0.615751875012508	1	0.722014222654929	0.872704538123557	0.609764738829446	0.692317889079556	0.759145411073649	0.666813480314967	0.627414014831043	0.836817556064799	0.579149144053775	0.451020812055226	0.588192738509459	0.78807901451263	0.768163676373875	0.704383179220389	0.660969808177626	0.720072785866433	0.766637759045933	0.81505466000034	0.583158569356438	0.705183303302917	0.860965992751357	0.462307202723677	0.470134411817205	0.576511228881499	0.578818428156602	0.68219869760083	0.242386718188717	0.461005124394947	0.241569405382482	0.557908013841058	0.830040602431426	0.33498918869404	0.362975382817658	0.731483655398945	0.370942636748338	0.477074179055615	0.520233997571759	0.678152168908804	0.663091554427282	0.67205858281337	0.677489000530644	0.651086248982242	0.434333278293516	0.675722890745473	0.746063486059065	0.778837798229664	0.237266837100752	0.20454084598412	0.515171498972657	0.569042605938644	-0.0787579224260205	0.485063524901968	0.164655613177708	0.0291641941735003	-0.0967676669679834	0.598200329357638	0.570132844927904	-0.0910815878005916	0.403679670993752	-0.333296727829015
CXCR4	0.902166577381653	0.879432898913327	0.933109023246037	0.759070078178892	0.685614925288093	0.961997321197764	0.758004757504502	0.56269950630011	0.68570237686433	0.517888098848483	0.875147035461879	0.805399540912719	0.722014222654929	1	0.707536623085488	0.808143024693665	0.872052101355711	0.939456613345256	0.766484495875502	0.822402759869988	0.664270887258394	0.745901784000384	0.571275733145568	0.808103230094538	0.693764224484632	0.738655527766006	0.716180765738381	0.865286468088877	0.770072595450403	0.614434694532046	0.785613926524392	0.685347630036048	0.708699565375638	0.865965204753703	0.407978006449059	0.715584474931933	0.827846005151783	0.739509675818204	0.838571959269758	0.245868050069009	0.819193770419118	0.470004639691506	0.630125177267306	0.64015408005616	0.380788744022082	0.353912060994399	0.790984372214786	0.565695065011142	0.549238853892155	0.772027038409104	0.859166095879543	0.726549190379701	0.40142819064497	0.428969996670034	0.638072877358954	0.818647814916431	0.714128008219099	0.843292856242914	0.768405538065448	0.566659747654248	0.444068456662786	0.787444321611585	0.493505553912761	-0.23115051615225	0.51511875295163	-0.0619738372950975	-0.0538882385247655	-0.204636780262419	0.716304787111759	0.285451341405553	-0.157231498379797	0.301707076696267	-0.442029982731927
CXCR6	0.87657979384999	0.85379786900465	0.810561171469302	0.685241018064886	0.829130714690202	0.69508635180976	0.687882747409454	0.892214543968195	0.781352027596956	0.600075174892095	0.857795610506024	0.719808479729812	0.872704538123557	0.707536623085488	1	0.695778627219587	0.722758045237628	0.77315148461535	0.576610090558722	0.7116946967756	0.884973394043159	0.640817860014531	0.512266505349217	0.592301328098403	0.743066791253033	0.797734461467023	0.812111246094053	0.724343073100094	0.788529952864655	0.735191994043619	0.871521215305343	0.600512853797802	0.602268032004547	0.85434656903276	0.454443154157623	0.377877110088142	0.574813697221178	0.651877592159664	0.715038272536328	0.282753531959507	0.41846154738439	0.278450789935825	0.6366551443681	0.825664132973876	0.304632977034581	0.388075938568656	0.771802133165526	0.457379725024843	0.362279965493806	0.570878536212974	0.704338614644336	0.643837571074756	0.631369985885766	0.693588770868047	0.695931749226993	0.45406285447542	0.624290197080741	0.766958357641716	0.745869224735121	0.156275871445841	0.226785880478416	0.565155363491874	0.55254696870627	-0.0801165044341258	0.440264396299564	0.143335359978776	0.0507389514352723	-0.0883039246502153	0.666360102970059	0.59427305817027	-0.156846403187717	0.443004350143522	-0.320660577953935
CXCR3	0.844949997815263	0.72966028008893	0.824199737700992	0.648118437741322	0.702601079479886	0.85005115167362	0.850429864036876	0.569226215100476	0.658123499216217	0.594669058673968	0.745098918929805	0.671265456733022	0.609764738829446	0.808143024693665	0.695778627219587	1	0.640664205085303	0.805456728884712	0.736903099962682	0.660451351066597	0.555032385627225	0.618212971910269	0.300109260979858	0.523746403575745	0.58085474408898	0.566404721609771	0.502360014483153	0.786418463377164	0.651734532414714	0.382917751983014	0.870573631892804	0.674906814039607	0.591724328301444	0.649454310886334	0.316357718420791	0.538069544950566	0.643915745156568	0.634113942299382	0.752845904538254	0.166297962029705	0.685270609261351	0.391543861914869	0.411886551802836	0.576897168091252	0.317338351332546	0.301999577475159	0.621568421780129	0.329889183398137	0.610414097083748	0.592105348606882	0.644329906202042	0.510736604702569	0.319583960855396	0.358074051017393	0.439215728870058	0.678849544803419	0.468501146931193	0.702488623646761	0.746110360613705	0.318960466290213	0.312835063196127	0.615803715064907	0.415581362831057	-0.2574252790289	0.333341589308729	0.0291439785266702	-0.121904650622014	-0.239240541580387	0.549396858216275	0.255314395427695	-0.288063661610992	0.247473524572886	-0.402202187986467
S1PR4	0.832114344985042	0.794550278007916	0.855175904266064	0.538901754844522	0.615045350284742	0.826334614404402	0.5430498399044	0.586978290066735	0.57326781951456	0.40842193806711	0.836138654302054	0.886915782864858	0.692317889079556	0.872052101355711	0.722758045237628	0.640664205085303	1	0.789425419998739	0.487277300989225	0.790835870200144	0.71147855079165	0.758720710538205	0.677007032508787	0.847025831094687	0.765395930671286	0.766931670800481	0.85929097261949	0.892143030853554	0.812940346266476	0.702191591755958	0.653964304381857	0.511496977343288	0.552633406176648	0.82902076381739	0.523296429527333	0.65342223366572	0.88660184594995	0.799815491960764	0.801533695226438	0.32392342994275	0.613185203263503	0.522441606584928	0.784063041893555	0.7074985420475	0.423261237523187	0.443002073913928	0.827262025951032	0.734346067664484	0.35687956234343	0.813735336380003	0.89535991802539	0.676697666966864	0.383632145909293	0.461734216422967	0.788648438804547	0.594990345141229	0.739600532489434	0.879653265429794	0.661203444657654	0.600061317196225	0.549527218264494	0.824686499033282	0.610819070368618	-0.069105998854977	0.474985804847693	-0.0391163692069943	0.0850866576878287	-0.0413998508751089	0.822367092764195	0.378574610977949	0.0323917227713636	0.397238446854429	-0.315763880736395
CD247	0.923170109396525	0.939290262407317	0.918987897378605	0.791781225888196	0.759801532178294	0.909092451162773	0.79437490766767	0.673529768071694	0.767440715305515	0.598779061562673	0.930226988239734	0.748146415299339	0.759145411073649	0.939456613345256	0.77315148461535	0.805456728884712	0.789425419998739	1	0.780642792557466	0.837773737546161	0.746285344761997	0.702450439142425	0.520089914437775	0.70815531881751	0.660396040102639	0.805893882218602	0.696270215563522	0.798207977442939	0.764181689978305	0.629262056720263	0.852724839087574	0.798117665350485	0.73244280803585	0.874956570171472	0.336750119648594	0.523548106637328	0.684259187632405	0.692999066043852	0.850971763541804	0.226277870864537	0.799202672264061	0.325354001441072	0.592955408828311	0.652986729247905	0.325394862408118	0.362067901283431	0.789302169186044	0.489910605368582	0.516465186002221	0.694729045019971	0.838273210511012	0.701856612439359	0.449799538155692	0.536093239302092	0.591037010180855	0.78307153004003	0.745724065988352	0.820692155785728	0.792396929022156	0.342872808080105	0.347751612527318	0.705455484040502	0.490146436341212	-0.228555967720627	0.528753589474793	-0.00972639830605418	-0.0560972482585336	-0.222961438512275	0.711755265201753	0.294944529707315	-0.239238795982026	0.356884385066938	-0.437815300111589
CD27	0.715769519544075	0.680207982795755	0.696241274352972	0.916510997003869	0.66479318088103	0.714137810817596	0.829770477011227	0.460208168009185	0.827093460263599	0.608790373251954	0.597133686926359	0.445997905089858	0.666813480314967	0.766484495875502	0.576610090558722	0.736903099962682	0.487277300989225	0.780642792557466	1	0.413051324311754	0.440660840610929	0.329109037701786	0.0398542015553968	0.34641501716541	0.403996429423042	0.38496423106322	0.283443952007044	0.498295208364097	0.378209219056711	0.310866528963959	0.722036932499636	0.689244054118418	0.79991687250236	0.619656774595882	0.0581670205527577	0.454789375617453	0.501906351694253	0.240041141452041	0.507946260869162	0.0122117251367804	0.689324624740484	0.20018243306238	0.107148107406178	0.407118534499334	0.177914358204705	0.0471331440693253	0.406732999953437	-0.0382728677842554	0.5508116215604	0.322794280231355	0.41568550156177	0.741202300303593	0.398149313699731	0.226686856118014	0.190711825560066	0.745121100745798	0.368394103880671	0.50137177198604	0.728951001619675	0.157350396839789	0.0357246874246033	0.304623440376084	0.156345696107499	-0.393022135695817	0.388872418673307	-0.0682863758068699	-0.285746004639302	-0.391257869666251	0.266569290183613	0.0657654416251822	-0.425883713616836	-0.00306934990935352	-0.48748713358607
CD6	0.848173543796592	0.869448222746763	0.819442593866583	0.478563975453755	0.567754955325283	0.85096157695617	0.524406692529279	0.630321624559092	0.439001009554671	0.381993222175007	0.926929359079627	0.747265666467994	0.627414014831043	0.822402759869988	0.7116946967756	0.660451351066597	0.790835870200144	0.837773737546161	0.413051324311754	1	0.757584576827411	0.850110976434351	0.832160885843025	0.81838196546986	0.698283535954722	0.85430474909562	0.804583804881411	0.843081853622436	0.903458073611407	0.715101036115354	0.71140915958897	0.603599276723077	0.437670545036116	0.866329760976915	0.464586754620655	0.457729666817488	0.676976756224471	0.908596226014064	0.917145665583161	0.348936297091864	0.65953336454266	0.281560513219232	0.844860954059577	0.679600975590998	0.346291407603061	0.551107594518204	0.867363041834972	0.771830854505635	0.415162645891876	0.830553526399028	0.941964294710137	0.464935249364897	0.355668417204452	0.625297488012488	0.805790529969107	0.619013307223393	0.809851759383249	0.801448795321769	0.560849107250103	0.416878645810643	0.492010339996376	0.866891279202866	0.639575406518505	-0.0433714621744229	0.481235406590485	0.0581607198488068	0.165535961482439	-0.0298806329920149	0.841267041582571	0.452872974761706	-0.0552184231954226	0.521593887205089	-0.283808052153257
PTGER4	0.853837589418875	0.880435464479588	0.76593204057821	0.587096173143786	0.850574605606498	0.668148388992584	0.518207442988972	0.948045639016268	0.664263096784504	0.592220451406061	0.886825785125565	0.610216066684289	0.836817556064799	0.664270887258394	0.884973394043159	0.555032385627225	0.71147855079165	0.746285344761997	0.440660840610929	0.757584576827411	1	0.693438554903174	0.64899652904946	0.690042724131138	0.820533511031901	0.927382352088384	0.862338356118645	0.740717767741361	0.862388275801346	0.835659404275683	0.809141380671349	0.554914274786018	0.519696158884548	0.880675911076949	0.637848305249695	0.408504940025061	0.557239351106522	0.715224220706602	0.748625702874854	0.345678992008529	0.428341145140333	0.223880921690786	0.761952233478708	0.906080916366886	0.348102841474913	0.462283844869965	0.843578515200542	0.599212035887302	0.287721928451911	0.626104684626636	0.768571798516496	0.56808465616921	0.58565365819178	0.849015915410826	0.810720643201525	0.357619805368939	0.754547771988956	0.820239273781628	0.774375844419838	0.247710878992088	0.261630502350548	0.615202958727952	0.678476975483345	0.00353143375140195	0.554290224604638	0.208757832758344	0.15305738394554	0.014205532187289	0.741282193822485	0.684410541724778	0.0375671744564441	0.591828174513258	-0.243044485528018
CD47	0.764927626432376	0.74585629030818	0.768529084788031	0.363598266189203	0.563079129023993	0.782916623307109	0.458488652934984	0.593618584180763	0.349514614377607	0.336494662610408	0.799764978330005	0.696600203356925	0.579149144053775	0.745901784000384	0.640817860014531	0.618212971910269	0.758720710538205	0.702450439142425	0.329109037701786	0.850110976434351	0.693438554903174	1	0.767680889169197	0.77521448984021	0.840692493265243	0.747197702128016	0.775690463693921	0.831204842844099	0.86860942799098	0.761738322869838	0.638740570011405	0.5429666740913	0.470222941307311	0.796220572285375	0.58351528541657	0.559397227811145	0.696424865749687	0.876368109010723	0.815303220346829	0.660145586150034	0.607301799467586	0.610691454544221	0.824677991251565	0.708486524425648	0.690754807456525	0.762549778070855	0.900510487630109	0.754409620663591	0.513588890171564	0.934069997577189	0.887305742426691	0.401626679440113	0.382498499756506	0.613224770021999	0.807311149300881	0.46365558315914	0.789578482613257	0.794905038516222	0.558595216404194	0.508421364337936	0.746295890531642	0.925959903097861	0.820616533906111	0.317961256210414	0.553873645815567	0.41571832351878	0.465831798754565	0.347113058851046	0.843008264129697	0.683418991923142	0.300063218815717	0.762176915160889	0.0431729186752949
