""	CD3D	CD3G	CD69	CD8A	PTPRC	CD44	LAG3	ITGA4	CD8B	CCR5	CD2	IFITM1	ITGAL	CXCR4	CXCR6	CXCR3	S1PR4	CD247	CD27	CD6	PTGER4	CD47	CD4	ITGB2	ITGB1	TNFRSF1B	CD7	SIGIRR	IL2RG	CD46	CD96	TSPAN5	F2R	ADGRE5	SORL1	HLA.DPB1	CD5	TRADD	SPN	C1QBP	EPHA1	TNFRSF1A	KLRB1	TSPAN14	CD81	CD82	CAP1	LAIR1	PILRB	RACK1	CLEC2D	SIRPG	PTPRJ	IGF2R	PTGER2	PDCD1	JMJD6	TNFRSF14	JAML	CD74	ATP5F1B	RPSA	SMAP1	CD9	STX4	PTPRA	CANX	CD63	LRP10	LAMP1	APLP2	NCL	PTPRZ1
CD3D	1	0.95269898467016	0.922862465473646	0.726756787962048	0.872970609545245	0.914353783916262	0.790419947060131	0.821470169195834	0.75506740096121	0.709878314500757	0.95996878001675	0.757952646861259	0.85777068334988	0.902166577381653	0.87657979384999	0.844949997815263	0.832114344985042	0.923170109396525	0.715769519544075	0.848173543796592	0.853837589418875	0.764927626432376	0.579908551111021	0.738708193644041	0.813511611986133	0.854024305226371	0.774210241242146	0.892417582502486	0.871786466640178	0.709407482578242	0.935917910020014	0.717806316481377	0.697762247048245	0.905529267395473	0.505247457839018	0.584027992522272	0.761289405761104	0.785847731006028	0.889614054978411	0.284900920915559	0.712190359270631	0.346072740544318	0.687062175418104	0.820355911996821	0.379686225402495	0.442191372560713	0.859079592833688	0.546517310008823	0.562860763490288	0.732216421763264	0.865544937686193	0.646326185855282	0.531062139335519	0.665415849694332	0.721614887994083	0.660063937025046	0.749218020985142	0.878548422521597	0.853931648402965	0.373656890111934	0.359269087309517	0.739267069767407	0.631999226859149	-0.167924534960709	0.494858716904009	0.096874840223736	-0.00649057770587131	-0.156448781447492	0.739559539147563	0.483597395489676	-0.168379043439003	0.454597719927001	-0.409787436452682
CD3G	0.95269898467016	1	0.918598408711816	0.742337354933422	0.841783703202528	0.854048711614815	0.743208564131358	0.826003688652717	0.766042335440013	0.667240444469377	0.968265525215881	0.684686941669225	0.855746677999024	0.879432898913327	0.85379786900465	0.72966028008893	0.794550278007916	0.939290262407317	0.680207982795755	0.869448222746763	0.880435464479588	0.74585629030818	0.617757383441491	0.761147784019788	0.766260405816587	0.885120590427638	0.79677572758076	0.801682236850298	0.857045904946697	0.753969110383315	0.872954611567992	0.746752279513348	0.659102478727503	0.926716625251841	0.492742406405851	0.508535861617459	0.655447711792524	0.746792330267432	0.848994278310002	0.263703820535173	0.726944112561299	0.270118252596381	0.708643293742875	0.776030185001006	0.314774619694063	0.409546750777578	0.85523412117964	0.557488748939276	0.489680416800745	0.707104211681172	0.864139544225219	0.657122095512645	0.547109615881383	0.721821220618459	0.714654303882802	0.625322091680257	0.825426656486228	0.88524469670312	0.826371716071948	0.331393628774902	0.305417365160065	0.706483492533245	0.602571030493269	-0.1729018243819	0.523638210742237	0.0666285621679629	0.00265457424037668	-0.166195655909573	0.7629900257245	0.455220030295921	-0.170174182243528	0.453626185419993	-0.409427764356652
CD69	0.922862465473646	0.918598408711816	1	0.715771243273839	0.766742927495263	0.915879078526777	0.767757546541837	0.711908171735967	0.714030930324702	0.541244503310644	0.894354685392085	0.801606870235536	0.79621836531551	0.933109023246037	0.810561171469302	0.824199737700992	0.855175904266064	0.918987897378605	0.696241274352972	0.819442593866583	0.76593204057821	0.768529084788031	0.568064101061584	0.778320634546801	0.775673486887955	0.794210025826859	0.782716137028108	0.864853706335575	0.833961859302431	0.650409395031376	0.845472477030659	0.693145094561363	0.602721941784096	0.87483374932962	0.457867548800981	0.632665724474239	0.750506547461039	0.778279477963352	0.843503429787031	0.247057136261994	0.776838063627725	0.432986080134959	0.69316100554232	0.728073067344632	0.370546683746476	0.386723816515036	0.829940502852697	0.547367837236817	0.589643884784914	0.759806866467662	0.856415775331768	0.646277950968661	0.403442479244831	0.575474463696396	0.69888251234209	0.682145291826905	0.729462399364553	0.913918373445478	0.807381940758874	0.467648925057653	0.407446008267651	0.770974167522165	0.577244302117465	-0.199216117567203	0.465311143930081	0.0172400713598252	-0.0308413190548552	-0.168866522631603	0.73356796924801	0.414469598299812	-0.165571448976138	0.37952811854022	-0.413744223849595
CD8A	0.726756787962048	0.742337354933422	0.715771243273839	1	0.681714657935204	0.671700641357662	0.774529200917333	0.576678776738019	0.904504181565389	0.582695706234083	0.656724862724167	0.466916826339601	0.731225626681673	0.759070078178892	0.685241018064886	0.648118437741322	0.538901754844522	0.791781225888196	0.916510997003869	0.478563975453755	0.587096173143786	0.363598266189203	0.126687974179794	0.415543877312695	0.436164226638794	0.516156150674893	0.458615823648605	0.478003547427853	0.425447872780017	0.486212436597792	0.732976935389172	0.707119789744767	0.781972326093847	0.721593752534692	0.123855938748157	0.388045258716698	0.445877210105721	0.266692377018718	0.475606352509967	0.0656142084565734	0.573733494275296	0.166464262335391	0.195046792996512	0.529825786749933	0.172486855863667	0.0666317247673502	0.445333516638472	0.0541118983703536	0.404455056211814	0.329838607740759	0.456766015032009	0.854061857727163	0.524860801442675	0.322012584693868	0.291452206907025	0.724678236520826	0.423181213070808	0.562296871613842	0.735916809054858	0.115718280796797	0.038222059153127	0.313118325646939	0.164343365691159	-0.331785385146606	0.452835548531906	-0.0607502651473734	-0.211626798274237	-0.332754103436954	0.375502346984445	0.17427476553534	-0.363452762493427	0.0724972836544495	-0.462232392045228
PTPRC	0.872970609545245	0.841783703202528	0.766742927495263	0.681714657935204	1	0.691017071463762	0.753499429939964	0.90398299586632	0.77354470605559	0.851265347377443	0.808664850732471	0.524772795357425	0.852682078717183	0.685614925288093	0.829130714690202	0.702601079479886	0.615045350284742	0.759801532178294	0.66479318088103	0.567754955325283	0.850574605606498	0.563079129023993	0.343338186614663	0.521996456213909	0.77432353072212	0.777511891074494	0.644230412717803	0.693338274362403	0.700611624601874	0.636538143684539	0.917726501096216	0.625414556525698	0.708720325412533	0.751155229363231	0.561894089868535	0.494372380989579	0.560334792511379	0.540116531359087	0.649953918285298	0.209660739161685	0.554658213853128	0.26140166439579	0.491899989808133	0.829168504044078	0.307185564653458	0.27091564141829	0.712620254752631	0.323983382431218	0.45101380138067	0.476265501853526	0.624300335223775	0.554013222564926	0.600009879423184	0.722456917036663	0.552257018914711	0.405790628749418	0.596405238954104	0.75470015322165	0.908185052702695	0.20724730806841	0.126749246092007	0.450104449025014	0.545021703018792	-0.163347659333686	0.426329451020132	0.193325421213525	-0.0725646418029686	-0.160557658552247	0.517457838125406	0.515122054297463	-0.128971050074806	0.429712079486927	-0.368504741529229
CD44	0.914353783916262	0.854048711614815	0.915879078526777	0.671700641357662	0.691017071463762	1	0.73993425096793	0.585448743866422	0.579257535662259	0.497962110719007	0.876696897065314	0.81026450963916	0.6922108792212	0.961997321197764	0.69508635180976	0.85005115167362	0.826334614404402	0.909092451162773	0.714137810817596	0.85096157695617	0.668148388992584	0.782916623307109	0.609261432475148	0.782244174666489	0.742582929004188	0.7540929542877	0.69088339917901	0.917266696879961	0.821095764597118	0.573878311359917	0.823725273604203	0.652020472293083	0.656990193158113	0.843579012312727	0.42723991808723	0.711179675523711	0.835917923158433	0.805866588515679	0.8917739443925	0.268702753985833	0.795575706279357	0.449143478533566	0.663018258319628	0.670660168894472	0.42126010790421	0.418633157456439	0.823673258117353	0.588371211105771	0.619138088900713	0.797461383286959	0.872530042137043	0.594213007437826	0.306982866802571	0.48856593223781	0.675097909614618	0.79032192860145	0.671429313304038	0.81092001450219	0.750874641868144	0.554314437626819	0.468829270972874	0.825023054738977	0.557057561395714	-0.195495854397169	0.484801419426059	0.0157320459796976	-0.0131807097415386	-0.160743705774829	0.693283292145365	0.373724740560063	-0.14583630697755	0.371342730639197	-0.406181950659159
LAG3	0.790419947060131	0.743208564131358	0.767757546541837	0.774529200917333	0.753499429939964	0.73993425096793	1	0.5850922047156	0.80436435870573	0.755135327407243	0.696117819328026	0.524644654939742	0.676073748885698	0.758004757504502	0.687882747409454	0.850429864036876	0.5430498399044	0.79437490766767	0.829770477011227	0.524406692529279	0.518207442988972	0.458488652934984	0.127792697593772	0.426594261801546	0.488805656455645	0.5192318088844	0.397367407424779	0.582714598080562	0.481396347747206	0.359647966435355	0.852653901688583	0.747138526919602	0.705570494359149	0.5867497105448	0.242926085271924	0.461715791703202	0.482150528575915	0.398397459722408	0.600743122036779	0.0144971980997645	0.715665024676369	0.306672577708683	0.211265146514672	0.509190473596737	0.192112532698285	0.104201332746969	0.480732557002844	0.133757011994381	0.617600894907379	0.389481792211027	0.529402720808716	0.561365751451805	0.472073272595603	0.334733577277694	0.235177086087223	0.644357830294158	0.432048274338298	0.616219620193813	0.766385498609317	0.191596021048329	0.104840886539338	0.392103808361012	0.250821065130196	-0.351126587205818	0.288908036156236	-0.00136720638650719	-0.245573692548689	-0.368771668752118	0.388820162775727	0.143780703348679	-0.363423325086727	0.118321291094375	-0.480730244460921
ITGA4	0.821470169195834	0.826003688652717	0.711908171735967	0.576678776738019	0.90398299586632	0.585448743866422	0.5850922047156	1	0.69926331946726	0.689221027530463	0.81263956994422	0.505309217900754	0.870883476226038	0.56269950630011	0.892214543968195	0.569226215100476	0.586978290066735	0.673529768071694	0.460208168009185	0.630321624559092	0.948045639016268	0.593618584180763	0.483873732405053	0.528461274423024	0.78847253027128	0.850157769905601	0.750090463475358	0.642526825006745	0.770933000770686	0.759686366525181	0.849513106039587	0.54920531444178	0.517428661282821	0.783882658737191	0.588636377511679	0.334999073285822	0.437157411230514	0.603317679060605	0.645841477399924	0.280319114329216	0.365549882588746	0.1651073570058	0.618010584954386	0.886035463966868	0.304410957488865	0.388704911245314	0.75373731921042	0.424597972021281	0.35613730933567	0.492745746744097	0.641945946271073	0.480708004209138	0.631785362795721	0.83998115541675	0.686430691551923	0.265533381818204	0.636364316977138	0.735934477952867	0.77279350323035	0.109646259379724	0.151477957464568	0.474486736586111	0.628461910250833	-0.0123662138101648	0.413039658708173	0.274011237308232	0.104848839379337	-0.017603396151509	0.611860358835838	0.685708888397697	-0.0374179608756308	0.558699808657634	-0.25236264436874
CD8B	0.75506740096121	0.766042335440013	0.714030930324702	0.904504181565389	0.77354470605559	0.579257535662259	0.80436435870573	0.69926331946726	1	0.709167593859529	0.680000616443092	0.454299153075421	0.785939364323407	0.68570237686433	0.781352027596956	0.658123499216217	0.57326781951456	0.767440715305515	0.827093460263599	0.439001009554671	0.664263096784504	0.349514614377607	0.0789325984852663	0.411125889006833	0.476722617148241	0.560351149916661	0.500061413459144	0.469862040033897	0.438920959316159	0.521395784063622	0.772219347262862	0.739829538180947	0.715353870459145	0.670362478139026	0.238489562390002	0.342290652516571	0.39593016266952	0.267023857083056	0.482115330772346	0.0739365427264346	0.514341020318924	0.201312207425518	0.216712730233531	0.579276733155915	0.171991586339179	0.102316473794526	0.473229843594066	0.0790052544943362	0.378173811845177	0.312382203022189	0.457706272798018	0.794871848862916	0.630316143255974	0.423091401780271	0.294217698891681	0.560685411491785	0.497611424303241	0.639699601850876	0.798211661149844	0.0726388821030906	0.0287210714453655	0.27560478017953	0.251231810906357	-0.267608566145837	0.412744825510874	-0.0074735504896127	-0.172763958868218	-0.292837153329855	0.440144714867044	0.209319484621482	-0.297822754153585	0.140665368532114	-0.423222235135036
CCR5	0.709878314500757	0.667240444469377	0.541244503310644	0.582695706234083	0.851265347377443	0.497962110719007	0.755135327407243	0.689221027530463	0.709167593859529	1	0.620168220413645	0.265411035700371	0.663363456865586	0.517888098848483	0.600075174892095	0.594669058673968	0.40842193806711	0.598779061562673	0.608790373251954	0.381993222175007	0.592220451406061	0.336494662610408	0.0691937754241197	0.321357570662174	0.505739543299013	0.541744151299082	0.345359753140128	0.455716779360834	0.413624993640955	0.410865130906195	0.771049133686	0.621428644194333	0.635468492569359	0.485046704427184	0.390575084458844	0.312233840347315	0.369131011703045	0.289608449992883	0.462489143037014	0.0537379780164893	0.514936701800711	0.111975264453145	0.186761940694952	0.605339400288783	0.141277231670287	0.106988198221738	0.414611530343795	0.0827602400975992	0.44809148639019	0.242441597142818	0.412865897293264	0.384887049097617	0.573192581670455	0.504132989912985	0.216405813223963	0.312479605794117	0.455242496415565	0.552051352578227	0.763368537974173	0.0484657599100988	-0.0170184358043757	0.209404791085724	0.360744330563884	-0.224955698571952	0.222659403633887	0.119513467378171	-0.183909693728148	-0.258156055016836	0.314756361512062	0.207404561233796	-0.21302209683399	0.23255511625329	-0.366831748092896
