""	CD3D	CD3G	KLRD1	CD247	PTPRC	CD44	ITGA4	CD8A	CD8B	KLRK1	PTGER4	CD2	CD69	CXCR4	CXCR6	KLRC1	S1PR4	ADRB2	CD226	ITGB2	SIGIRR	CD47	ICOS	TFRC	TNFRSF1B	PILRB	SORL1	CD46	TNFRSF14	ITGAL	IL2RG	CLEC2D	ITGB1	SPN	C1QBP	ADGRE5	TRADD	F2R	LPP	TSPAN14	CD81	TSPAN5	RACK1	PTGDR	PDCD1	JMJD6	PTGER2	CD63	STX4	HLA.DPB1	CD74	VSIR	LAMP1	ATP5F1B	PTPRA	CANX	RPSA	GPR171	SMAP1	APLP2	PTPRZ1
CD3D	1	0.986928044679404	0.951001278627679	0.990057731611652	0.986614314196443	0.946354638431261	0.965995720211517	0.888301651693157	0.978941468259071	0.975624597209922	0.978875310467933	0.990756374799765	0.966275539942148	0.986282066016287	0.973800346412564	0.953528839734309	0.976914382304541	0.824095038722276	0.871225908495866	0.826353392057272	0.967739505591394	0.723072298694015	0.825750682117949	0.461672606500138	0.888477794393806	0.441772760890759	0.524334697673211	0.626785481539007	0.938197612276127	0.941571494467989	0.979608193103728	0.946840764229153	0.877210824816503	0.989977270556712	0.803821322718654	0.960429546056812	0.980621399373899	0.498552929807363	0.751435184472135	0.8406121511635	0.319285553528352	0.270691419516351	0.964586464428587	0.982197709833253	0.969428096483589	0.915731718287497	0.957537132834043	0.224558120992437	0.84972556863207	0.547016318667253	0.247271070608122	0.39074713778372	0.438635374527737	0.517571079816696	0.409829176813801	0.619431820880613	0.962312174963776	0.866151908931497	0.74587762353181	0.328942109760163	-0.468673340675586
CD3G	0.986928044679404	1	0.942349026026461	0.973495757605189	0.994409888829976	0.919905668793157	0.988097281546167	0.833929247031907	0.996451542093893	0.969508679433735	0.97957270609379	0.996894146664812	0.965862176959387	0.974341284594905	0.963636699548855	0.935248536501337	0.971402392843355	0.768525305482242	0.887237303869274	0.758222430824215	0.965149810649709	0.720071273496277	0.8694842605642	0.387522720422064	0.925615154377851	0.410412567054151	0.48105971126851	0.593673468734267	0.893589622939246	0.963566731617421	0.992555340155905	0.974705590271039	0.863012429001932	0.981893652527814	0.833165507199668	0.920494116579295	0.955599915758628	0.378348047304522	0.732274647465978	0.810705902411681	0.24542278640813	0.166407385932899	0.937533117774999	0.98806089683761	0.988750061988806	0.950154580501558	0.971778872216865	0.149181557753018	0.888825803583348	0.45873200554875	0.163836112626449	0.271794338000409	0.346873293223238	0.491784748195276	0.378824040998611	0.607621110406363	0.926692304446496	0.793809335609458	0.69390121211533	0.340977044836741	-0.435200645114874
KLRD1	0.951001278627679	0.942349026026461	1	0.97623367951	0.951091524212835	0.867656951537094	0.946643765400628	0.849042570063202	0.945235197350008	0.961699918259582	0.891463187293928	0.944653658249146	0.883665543571935	0.932836325221903	0.894966356851153	0.965135323734439	0.883495033713259	0.838930849019532	0.933898217113085	0.822482610479637	0.881304634803648	0.742866499880671	0.814485168882936	0.530350783076835	0.854113496762025	0.476011795257168	0.533063927381325	0.668719038258445	0.891721946116467	0.897698843795667	0.950929135912371	0.92532538619171	0.853630693048484	0.923227440886119	0.820700744661468	0.935890624098854	0.908262456508564	0.516527301009192	0.766075163626294	0.814556005781118	0.383482380234084	0.32941932747876	0.935375693418058	0.973214786792542	0.937626045486172	0.939363345026305	0.949111680455738	0.308299105604781	0.827630703750553	0.517815502361262	0.249288450175058	0.396845232546972	0.436039316106883	0.62377267821077	0.443496998958983	0.713457405257038	0.939234230655534	0.844597097278166	0.808258394817753	0.431838648147503	-0.367858983007645
CD247	0.990057731611652	0.973495757605189	0.97623367951	1	0.979540382688654	0.916858723674281	0.96214640083671	0.873804463043983	0.967063917080469	0.969872987510848	0.949357109455071	0.978034688824281	0.934546264725615	0.96973029639864	0.946594983828763	0.958997631981801	0.945691906259726	0.825868332816541	0.903198799019039	0.837956270703419	0.934509077699027	0.73490896063925	0.835975179570658	0.52232173668238	0.883006917670205	0.491025418203493	0.521477245410181	0.670025451107853	0.93028691747605	0.939221637096649	0.974112758228612	0.946979688459067	0.893466956220576	0.973307439436399	0.804072017754971	0.962106979264287	0.960804453794126	0.517901407092292	0.758834816071571	0.829469999116536	0.342609750037823	0.295405394600901	0.963861452697781	0.981599714705069	0.958488170159811	0.920762046071041	0.967343455919395	0.262575792351138	0.840818625722243	0.539662777003915	0.252931126494741	0.412464649702237	0.461465277284496	0.56308647160605	0.429832395006431	0.654932388237693	0.963888370158468	0.869679666510616	0.787942118951352	0.354224777025043	-0.44382474110617
PTPRC	0.986614314196443	0.994409888829976	0.951091524212835	0.979540382688654	1	0.911868614008622	0.989395934230659	0.827323652848381	0.99184020348329	0.966389043483451	0.970847606307996	0.994365837211317	0.955324407073547	0.971922032473357	0.952654301069221	0.932301062001088	0.961193093687326	0.776240761941903	0.904796348990434	0.780042751432556	0.956847276796648	0.749328192272536	0.881516639833969	0.43500760192163	0.939437988344119	0.440553297769142	0.525661571569292	0.634054698271855	0.910866547532734	0.963083215875455	0.994431463758246	0.979309068511806	0.88583372829695	0.982714413787313	0.846812271938735	0.92080088060495	0.957554884703896	0.391565997949372	0.773126837769848	0.826200031809102	0.289074154588258	0.169408486598213	0.947111938739496	0.984723061929912	0.988626891445041	0.955400357892465	0.97993703603006	0.195133490371729	0.897022836067528	0.481966478699088	0.211836950891031	0.321374278285752	0.376310321753143	0.527139857349794	0.402638425926057	0.6527891105732	0.933050547771966	0.790284966379636	0.724907337550561	0.385708500754189	-0.412520959497193
CD44	0.946354638431261	0.919905668793157	0.867656951537094	0.916858723674281	0.911868614008622	1	0.884657498080693	0.960657109030009	0.918001426054977	0.962949951785973	0.960199351518123	0.933770169028886	0.976803634552062	0.972619795385688	0.984098424076968	0.937593007495074	0.962785277618831	0.89340421801262	0.733886293197193	0.782523684015524	0.962364105068474	0.692873253873762	0.629889122737571	0.413118239992475	0.747388304576611	0.358892082467244	0.525144794000261	0.569639719583134	0.949851301397125	0.815496148441541	0.898483719442127	0.827340418849447	0.755360034792225	0.94773868446378	0.708817429141421	0.951089722258734	0.964634979108664	0.630593381528783	0.732610795089664	0.855959446144079	0.330089714641349	0.389610454869144	0.898211112047701	0.925590588898255	0.906031775000955	0.817475146795762	0.836518323585522	0.178514843199722	0.757093336329178	0.593004869600881	0.255291428539724	0.402999805634031	0.498262934331326	0.398997840857258	0.433235389902548	0.540178881114185	0.908382504749822	0.900925102220615	0.634661936535082	0.22685120121629	-0.448188527530561
ITGA4	0.965995720211517	0.988097281546167	0.946643765400628	0.96214640083671	0.989395934230659	0.884657498080693	1	0.784146071840913	0.991701581650441	0.956925305065688	0.949928490386129	0.988366668594945	0.935569709903762	0.948801488995174	0.929933979857588	0.914530887422036	0.933381862784871	0.734203024629353	0.927820903178803	0.721074952456416	0.938015667680984	0.745989161318294	0.898144323002764	0.403000285286152	0.945705888683923	0.411948451513831	0.471412655965979	0.605240540150623	0.865170549794562	0.958425903657478	0.994800408270379	0.985437783816556	0.858976926411646	0.956602293451993	0.845571553039388	0.89476342928551	0.92585329551226	0.333187419259754	0.75271255627649	0.796436450062993	0.218839146955215	0.104988724216462	0.911408371470004	0.979996803999578	0.992500717917524	0.969571532231341	0.984279010392233	0.132754241330145	0.9020458406063	0.400875133174262	0.129362503944163	0.233969891861576	0.299900336841013	0.504372326784106	0.358277385445441	0.631296050922486	0.89567816448805	0.742123241026445	0.685973785039189	0.371205643028465	-0.388221620642016
CD8A	0.888301651693157	0.833929247031907	0.849042570063202	0.873804463043983	0.827323652848381	0.960657109030009	0.784146071840913	1	0.828592699904292	0.922553570943363	0.880017130194528	0.848665574833895	0.90215007011378	0.919395050145542	0.923015901299475	0.932229069423217	0.892298665786307	0.956978818015665	0.662137874058222	0.83571061295657	0.884355509329201	0.662226297895391	0.484513664412572	0.491028140548764	0.602561063499892	0.376049666433198	0.560873118903266	0.585832244409701	0.936283307966237	0.715752086596234	0.805898312789409	0.712929178827306	0.707524292217351	0.880377879716727	0.643438144481909	0.945048318515381	0.910933625839253	0.784471581780915	0.701877213897455	0.851489488829949	0.46625702754625	0.586256559280971	0.873446651195683	0.869239966774344	0.807792949502875	0.73166957214404	0.740312301369554	0.316614425445157	0.64064557961362	0.688501336128906	0.350834110001012	0.537800619667522	0.602633046648088	0.460104676578249	0.490037327054837	0.56428652311821	0.902244516562579	0.966186658910102	0.694937489237037	0.245874571922996	-0.414252545510564
CD8B	0.978941468259071	0.996451542093893	0.945235197350008	0.967063917080469	0.99184020348329	0.918001426054977	0.991701581650441	0.828592699904292	1	0.974433193321478	0.970637184179168	0.995785941658011	0.963629324492884	0.96983541757213	0.957801697621638	0.936756716695099	0.960521677773557	0.772405069545302	0.897577836153379	0.737743420501405	0.96051258572084	0.725663489481336	0.868591285015955	0.37551418243968	0.927138762563155	0.391011401967287	0.471863784682896	0.586902193939629	0.88924067790035	0.949021480917837	0.993442466302785	0.976022988927049	0.84302666373151	0.973357029804977	0.835684025125987	0.911361477938261	0.950516973837883	0.369458593807603	0.739922284433583	0.805105970179745	0.229082833229571	0.156047795589208	0.922596590471639	0.988152307336293	0.994879397376452	0.959825316819861	0.970231667088848	0.131026948074611	0.891924933367895	0.435066063375574	0.141243260147972	0.243367458041424	0.324469853617632	0.478718279092734	0.372772700118869	0.607987341650049	0.912020494520222	0.77665840654554	0.675069702791972	0.33930721740208	-0.417410949392141
KLRK1	0.975624597209922	0.969508679433735	0.961699918259582	0.969872987510848	0.966389043483451	0.962949951785973	0.956925305065688	0.922553570943363	0.974433193321478	1	0.961347177407955	0.975338118730383	0.970121895894872	0.984978736354563	0.972726781678664	0.981385680107807	0.956400596259743	0.885896973800761	0.861754578934907	0.79610981280172	0.956974102424877	0.748794841762309	0.756149765736946	0.445984986952807	0.839298686790435	0.402519406818757	0.530312121277544	0.620834218129908	0.936341149854555	0.887500549185351	0.961291313555118	0.915654284263506	0.815215876495205	0.966379526510631	0.808113997208144	0.958145027000741	0.963369740149326	0.546549711376172	0.766646905946313	0.857782688983409	0.337920968799545	0.340267708171375	0.934476199506855	0.987664987804962	0.96556591241945	0.925168488795797	0.924150390909446	0.212645555665623	0.839034031674277	0.53622787526423	0.217197062385329	0.353137229182759	0.44094749861826	0.510830312616692	0.444888364934035	0.642881709600176	0.939492908794886	0.87378323091908	0.718099629417548	0.343889471041453	-0.398713168709337
