""	CD69	NCL	PTPRC	F2R	NCSTN	CD63	CXCR4	ERAP1	CD46	RPSA	TFRC	ITGAV	PTPRZ1	FGFR1	CD47	NRCAM	CAV1	CD44	PTPRA	GPC1	ITGB1	JMJD6	IGF2R	DCBLD2	RACK1	ACTR2	ABCA1	CD81	TNFRSF12A	APLP2	CANX	LPP	SMAP1	CD74	RIPK1	LAMP1	C1QBP
CD69	1	0.648869245350897	0.872415235004992	0.567047752899737	0.414377285681216	0.640185171409891	0.894603248040507	0.39293261657116	0.480619426631298	0.473505491797024	0.5150486135972	0.616198061420003	0.636128498036729	0.427409041275923	0.643867698636036	0.606598699003565	0.317499370152956	0.645364179759261	0.631339293203071	0.563636528690667	0.710622541670027	0.305642266174715	0.554380009480139	0.467689260908932	0.429111141305157	0.668853991731377	0.564230420754267	0.638451718622171	0.356909737470764	0.546602042762738	0.380804639567147	0.573770966039772	0.41233986889083	0.685969115240066	0.265113417301574	0.691178553675777	0.486242220894756
NCL	0.648869245350897	1	0.640066721876484	0.787083268286085	0.81899993767648	0.912542880403995	0.735873463650343	0.472240895185303	0.723004179330135	0.923736513369832	0.866981703481008	0.916429458501702	0.911220079027825	0.858865244362107	0.927521574839587	0.919167269120419	0.59315542804484	0.749438168671629	0.951092609820925	0.736074500672846	0.943427322117836	0.861514086817342	0.81534251757638	0.624726474476377	0.928117336089542	0.956345069182314	0.773444819088048	0.892855099924956	0.629389048649797	0.945890966512249	0.886974336488879	0.767838259590036	0.923023755559103	0.424856626710447	0.611638165493683	0.894340867214163	0.933542228453322
PTPRC	0.872415235004992	0.640066721876484	1	0.454508140066579	0.489185341880355	0.652407018529627	0.902383170520739	0.293475483177299	0.536573473483232	0.488085546818772	0.484836098760898	0.633228616227561	0.584841379886025	0.408758167109371	0.66708274130155	0.562538207629207	0.323306786510337	0.73594382582354	0.573006732764244	0.638866869407931	0.675857817255068	0.325797869242753	0.53976872300571	0.571584021783868	0.446223818398241	0.676517079762092	0.66240753997212	0.674781829362837	0.459691072814594	0.548275174443109	0.376927544329739	0.556607939507699	0.41161484276754	0.741836364707039	0.366245258563753	0.777111741454346	0.487318051140926
F2R	0.567047752899737	0.787083268286085	0.454508140066579	1	0.727017094922284	0.677176456591622	0.64991615293439	0.556415885928684	0.730561736439447	0.675581364624406	0.86808584434604	0.778206759165311	0.827894000988922	0.804015376653853	0.832128490721101	0.850836343703773	0.41358625593676	0.551832850090872	0.865315023116044	0.527543987629887	0.861491602263024	0.73065075926703	0.79193731878689	0.400782300976063	0.717140210722677	0.852559703323759	0.727898627200063	0.631228676095025	0.364714222913298	0.851222024724101	0.836892392354626	0.744215023708189	0.775583536221163	0.350335632940393	0.555130636728912	0.69137142707119	0.711088497445844
NCSTN	0.414377285681216	0.81899993767648	0.489185341880355	0.727017094922284	1	0.782055190360788	0.551718443113858	0.399767784353257	0.771853613305628	0.791190684175022	0.875042926639234	0.839004774486429	0.769858423542808	0.819374473464939	0.871873375678733	0.797639199884597	0.581822743259517	0.705381172879759	0.830691025793636	0.629438576582976	0.85569808913511	0.796762414082734	0.806272615456652	0.51564917788783	0.842925890396031	0.860997847011727	0.787865828989023	0.809947525983219	0.558961317999385	0.908791768085545	0.854321301889921	0.727852175151541	0.860586448961089	0.492506020371674	0.682235893609596	0.791683916339378	0.789597710117689
CD63	0.640185171409891	0.912542880403995	0.652407018529627	0.677176456591622	0.782055190360788	1	0.680201965711834	0.484071081738552	0.637753940455815	0.943419310634351	0.772549665092743	0.878733072817115	0.755115824323988	0.750565887430311	0.901400280554572	0.782557015414633	0.828902343314632	0.918791987799112	0.839258828201723	0.894790241939953	0.889604528616298	0.777188461614433	0.717591519984121	0.83672639617969	0.92991695416281	0.847517531405387	0.675611340199636	0.98876327063687	0.868149778860233	0.870023226728449	0.805242034330509	0.630187050704915	0.803829745312223	0.386653878760566	0.517101969381649	0.912559386706747	0.941513739492225
CXCR4	0.894603248040507	0.735873463650343	0.902383170520739	0.64991615293439	0.551718443113858	0.680201965711834	1	0.421926950104933	0.64324201423502	0.547600421005645	0.614008916329323	0.685920838035975	0.725125825214324	0.542462991550839	0.728907902342102	0.708239065188299	0.343432410791815	0.684555144632727	0.726270833346052	0.576200472860448	0.788069654253411	0.46758986342548	0.712656464440643	0.459491914118384	0.522219083483114	0.785624392953453	0.764434594137117	0.68241173668263	0.396369771598451	0.688720467356441	0.517237283376678	0.692778602877404	0.581547549068112	0.718984851314344	0.503991696043567	0.800535710910993	0.559453383950651
ERAP1	0.39293261657116	0.472240895185303	0.293475483177299	0.556415885928684	0.399767784353257	0.484071081738552	0.421926950104933	1	0.435694226335225	0.369554698648978	0.634725904290201	0.487102416580589	0.423024467601476	0.431379008619992	0.488065055264539	0.472346633858793	0.411279710047065	0.496221963918043	0.505974966654296	0.36375762079544	0.595606600849693	0.534522491581422	0.57962436303646	0.237853830799862	0.419048229103425	0.537083432040639	0.508242497457147	0.460583342298256	0.33303854078328	0.537308441151529	0.559296525850343	0.410166930514055	0.443753624119725	0.294543842462445	0.446227107525274	0.53417685769996	0.437291032686699
CD46	0.480619426631298	0.723004179330135	0.536573473483232	0.730561736439447	0.771853613305628	0.637753940455815	0.64324201423502	0.435694226335225	1	0.576318605348695	0.73272669035073	0.863700686132999	0.855003757090256	0.896157626487759	0.858740789654028	0.885695974142242	0.386126489728838	0.634239152003801	0.839226081753008	0.594007633002484	0.819378502032336	0.734295832559031	0.878180868746104	0.472507826145949	0.637878728816507	0.803958194770047	0.915207991192822	0.645042864789039	0.391221248136587	0.822721002229155	0.785505685211055	0.94260961355538	0.73634117662569	0.413248299791469	0.827154017494293	0.755299250153577	0.605426750792664
RPSA	0.473505491797024	0.923736513369832	0.488085546818772	0.675581364624406	0.791190684175022	0.943419310634351	0.547600421005645	0.369554698648978	0.576318605348695	1	0.794585582439894	0.831131008332594	0.77061824837592	0.786733964328184	0.849087122552333	0.786356903308709	0.745236487000191	0.776427457487083	0.83972208245262	0.78706565181625	0.826653397870956	0.845431018953899	0.696098271276319	0.733437859330013	0.983850916079978	0.829802359801689	0.603142390742994	0.918541266659857	0.791058145513739	0.87227018027184	0.848630451433385	0.592649319631309	0.873562977527934	0.245781078415043	0.492256566886511	0.829035666939898	0.979743454660987
