""	TNFRSF1A	VSIR	CD81	SORL1	LRP1	ABCA1	PLAUR	TMIGD3	C3AR1	PLXDC2	RHBDF2	SORT1	IL6R	ADORA3	C1QBP	TLR4	LAIR1	CD4	C5AR1	FPR1	ITGAX	ADCY7	INSR	KCNQ3	TREM2	ITGAM	AXL	ADRB2	TNFRSF1B	TLR2	CD74	ITGB2	CXCR4	ITGB1	P2RY12	PTPRC	SLC1A5	GPNMB	CD46	LILRA4	TSPAN14	LPP	HAVCR2	ALOX5	TFRC	LILRB1	CANX	PTPRA	PILRA	APLP2	CD69
TNFRSF1A	1	0.7453904920657	0.733038511175551	0.741905855966587	0.560814006664898	0.46312730286562	0.439119447560953	0.713955267715515	0.730212238031626	0.666088761788907	0.592538388895581	0.784647676785571	0.333009874867698	0.800950005188747	0.658458094027266	0.473095986952411	0.652105442171582	0.454890210866065	0.565881780984279	0.533090049687224	0.563866490851166	0.527260424486114	0.233947880428839	0.30012804504535	0.748084263095092	0.588243151872509	0.740776156943476	0.535401097937393	0.628577990195548	0.448516641821769	0.80260097266283	0.744598220247251	0.696426166899702	0.692419299974279	0.517940255341428	0.73161918765282	0.628550769948474	0.675046567822684	0.638504269398547	0.640293096875663	0.640386237760286	0.4154410317368	0.62897545076206	0.556369732935637	0.295900610037126	0.633857129592331	0.767807983372383	0.491919325140322	0.616093065495578	0.668929251046244	0.443715624867866
VSIR	0.7453904920657	1	0.597356493932187	0.627411241841016	0.587514703395919	0.509732596717903	0.387715427535769	0.672008328606319	0.618532159160792	0.620912242117707	0.595256870543639	0.674845845551073	0.341312196809439	0.749200701091492	0.496452879291735	0.407065264357702	0.63635566856754	0.422612136010773	0.478363954085582	0.584445264042584	0.467019891398191	0.650136595912631	0.298452417714123	0.293887576641001	0.542033708703955	0.4431307552656	0.695869219937799	0.621893815240315	0.606849339065275	0.367259478301536	0.677512717170316	0.553285565926175	0.683251061395482	0.568961825651618	0.433309336468479	0.777006189425842	0.682927987465105	0.439199986898776	0.493731860286673	0.443574259874403	0.575710370746616	0.319046523188361	0.560351301100193	0.572011521848551	0.399837916172552	0.565897401454094	0.581377729172316	0.437691393935793	0.561740292013889	0.596334540714585	0.55519669065025
CD81	0.733038511175551	0.597356493932187	1	0.851709491930211	0.561059522364029	0.596950312705506	0.596052229788773	0.848914513750434	0.808000388999299	0.736584305901572	0.677389894903723	0.758287309566401	0.320486102307792	0.758254175567534	0.809990533149726	0.288015273883785	0.602520793417125	0.532022397798168	0.635164594619314	0.537251451856736	0.559145717974058	0.418915025213032	0.325143307182947	0.4996703731842	0.898090849833731	0.706423374110385	0.82306352214589	0.297550729331816	0.64258318887399	0.354690492453039	0.934102074581931	0.904962857556835	0.694977338113825	0.752033579049187	0.624229777166133	0.704744946699821	0.636649180832847	0.897152042778828	0.658634276613766	0.770426567998859	0.725961119199994	0.56409898244543	0.75620384620911	0.632317866952705	0.24820389350979	0.650593585100246	0.762906107311693	0.674774056765631	0.636790422908015	0.730526591127349	0.317591550944324
SORL1	0.741905855966587	0.627411241841016	0.851709491930211	1	0.620246008276459	0.518532876914089	0.449448924404972	0.802257255456129	0.730742973801235	0.654846121890087	0.590011107382362	0.725877674091631	0.423887251879594	0.798288625441366	0.793018659326854	0.438259835310728	0.611297164391935	0.533414387838058	0.420610834682226	0.517408461929813	0.458548698620799	0.478262887988914	0.259189632894361	0.372836432270549	0.79581677071827	0.658965764341724	0.80684803329201	0.338790954369569	0.567687779126181	0.290499128716149	0.888594265989328	0.762371688638249	0.648580249489866	0.643323917781498	0.650012347432679	0.776329093561403	0.562825934474945	0.774977617847369	0.643981226362206	0.624683055686151	0.633657805615164	0.452392539961074	0.682793289994493	0.621433114976104	0.145434420434625	0.639973443134734	0.726007927145061	0.573597928619435	0.725498037881143	0.687142826283152	0.268002883583187
LRP1	0.560814006664898	0.587514703395919	0.561059522364029	0.620246008276459	1	0.555468476892152	0.488159816349793	0.598232967374389	0.600637247002065	0.561085235851564	0.453427163749826	0.524491614381816	0.434084428168367	0.553282441455408	0.350058727278468	0.277457527410958	0.578347166490274	0.404400407853947	0.488832589211629	0.549029719672763	0.582766559356592	0.425069029704551	0.219589668156145	0.270953742534239	0.558277215247773	0.606138919621724	0.679942921190813	0.239406508045056	0.64908608027259	0.463466961238984	0.63717250640603	0.466318646752275	0.63331103084067	0.535825737818485	0.396003947608362	0.721840237491967	0.512446352962323	0.564903260007181	0.526226291616922	0.402987261372861	0.483137236148865	0.321965785165904	0.470777719391826	0.499241814812805	0.371452384942948	0.428481341515697	0.550587914818305	0.461729844165934	0.527330212501625	0.562783430105306	0.294218723297292
ABCA1	0.46312730286562	0.509732596717903	0.596950312705506	0.518532876914089	0.555468476892152	1	0.47706276103193	0.535912482744412	0.59048056751096	0.505396885685584	0.297954105843199	0.440643295403149	0.440956310883775	0.51911287443647	0.449592755818097	0.30878708482512	0.582347445574364	0.340240040297471	0.488732549267361	0.640054979470153	0.543947409969634	0.321841504501188	0.169067254875027	0.337486612782645	0.603008721736139	0.596805902941065	0.679209182807188	0.266049594095093	0.587644968825047	0.384643719589779	0.57755610630907	0.496108750823189	0.659413616220552	0.586070856873612	0.207098976429913	0.641738600256962	0.558478348578853	0.605318084562127	0.448880065777295	0.409784304510574	0.60107804377493	0.280386663894413	0.601267212153298	0.355076224104844	0.426977062453786	0.489730561040053	0.493858811393799	0.476870950785006	0.35736857985944	0.518657636124605	0.216581343002288
PLAUR	0.439119447560953	0.387715427535769	0.596052229788773	0.449448924404972	0.488159816349793	0.47706276103193	1	0.64765754769655	0.645276331617818	0.848375293942214	0.65352502657102	0.557592892515907	0.258058662150363	0.50186578758641	0.406642576616177	-0.128526144244452	0.301102109552443	0.499273252597728	0.859554738704398	0.620795444956933	0.774012730395508	0.326003715294465	0.560065945056941	0.587530115640702	0.671463898892809	0.543754465404499	0.48410270248888	0.132264572788452	0.694433977912379	0.576529192705754	0.628905640173337	0.663823594358481	0.783750264290477	0.729967141095983	0.197649147276349	0.573526908325154	0.360814102002743	0.655261537609864	0.527993666057752	0.705207130127333	0.791799850246845	0.423924451060783	0.469017772547436	0.464809943007447	0.621238517232565	0.145862210265957	0.592997380606821	0.56531298551812	0.266939567975867	0.645487141048377	0.551930077987624
TMIGD3	0.713955267715515	0.672008328606319	0.848914513750434	0.802257255456129	0.598232967374389	0.535912482744412	0.64765754769655	1	0.8336818815711	0.787116440463421	0.68065913856032	0.76201668483707	0.487945077090751	0.79153558648361	0.765150941045678	0.211505325091374	0.58030840947679	0.60708268662342	0.604065743184378	0.604575271748342	0.584564837141995	0.468014651758428	0.452746206114013	0.420668292727934	0.808181961993633	0.737356009287136	0.787869496731542	0.356717631357113	0.662115089373021	0.400810330267918	0.896584785321929	0.813256177999995	0.679895126351045	0.729264604714127	0.61486460678709	0.770005101958529	0.579837289200233	0.778048220206202	0.626882174852391	0.70539352381431	0.738723446516713	0.445700080168124	0.717940970012087	0.692926990020544	0.216051724046977	0.532280068595658	0.772494441007301	0.675261123941987	0.625335200483178	0.791833946511545	0.504838641526826
C3AR1	0.730212238031626	0.618532159160792	0.808000388999299	0.730742973801235	0.600637247002065	0.59048056751096	0.645276331617818	0.8336818815711	1	0.794414480152303	0.639323955597872	0.671015885509178	0.325316541638859	0.720634481074217	0.763487402417237	0.253180412617827	0.586652069719535	0.600782700027968	0.655093900150957	0.617758868726132	0.666597886647554	0.502368808343521	0.380355033190442	0.402875527596985	0.802997804991543	0.744196046881932	0.821997680245886	0.346763288149079	0.745412115230332	0.504760750708387	0.889733087323621	0.828242745359382	0.73979111177605	0.773449559412583	0.61868717106415	0.715928708471127	0.559011230547051	0.820777595006583	0.665341555417287	0.785849059499256	0.755348915169157	0.548779470192551	0.643545214416734	0.642966325434169	0.36216944440427	0.50676283849607	0.850930798448729	0.707489145042729	0.580459009369444	0.804403698913589	0.524595291753351
PLXDC2	0.666088761788907	0.620912242117707	0.736584305901572	0.654846121890087	0.561085235851564	0.505396885685584	0.848375293942214	0.787116440463421	0.794414480152303	1	0.773852969123234	0.703704256751101	0.331214393070045	0.723596651312494	0.572124658109257	0.0256773243302096	0.392764420763351	0.672123162935951	0.853308774771587	0.700355595149155	0.771640641007369	0.508723683243699	0.568651218902478	0.597320150670504	0.771237653813109	0.660750183586275	0.646268743570944	0.355963580403373	0.790879204289185	0.658216931794246	0.797709834853879	0.818201548635206	0.829528163552784	0.795841998426284	0.407041518499038	0.723312105278418	0.486377978999115	0.714510984963096	0.678456164596433	0.82598980254778	0.896048437183692	0.539142403482294	0.609490933129853	0.571847568980129	0.571271676288061	0.290470288958288	0.745189785490307	0.645364190315235	0.475030201533974	0.868022774896581	0.62565772225661
RHBDF2	0.592538388895581	0.595256870543639	0.677389894903723	0.590011107382362	0.453427163749826	0.297954105843199	0.65352502657102	0.68065913856032	0.639323955597872	0.773852969123234	1	0.62415278397051	0.23439394527724	0.640945311223776	0.529356462414776	0.125154675113506	0.370698736001388	0.490497819403861	0.700210487612782	0.469329597284525	0.590452307198942	0.404909050066066	0.585849240391177	0.519003376805807	0.595010426334862	0.507385839530378	0.571367673717284	0.368246227353427	0.662598365822154	0.635227415555091	0.688783744764937	0.676078608711769	0.699337179641771	0.569030297483164	0.394063450843814	0.564307805535211	0.481650656917035	0.563202202157943	0.508222786252037	0.559938132451078	0.70160484202982	0.690623486131706	0.577646007964553	0.512119872037338	0.399093434387769	0.338055069134433	0.579748635845037	0.485955984750232	0.480580098970507	0.603220258801864	0.67733751822542
SORT1	0.784647676785571	0.674845845551073	0.758287309566401	0.725877674091631	0.524491614381816	0.440643295403149	0.557592892515907	0.76201668483707	0.671015885509178	0.703704256751101	0.62415278397051	1	0.405784539766979	0.787605333441506	0.64784938797856	0.455776228988457	0.579620526415726	0.368593473000822	0.528302232905613	0.572941821028173	0.505495407977218	0.552092161018703	0.256632829502601	0.300978591184482	0.807375787676864	0.60073721885465	0.70823126262158	0.607649040322842	0.698678215218197	0.365776985186761	0.817755036552661	0.753877049193584	0.654799146274313	0.797077779596057	0.402439888593133	0.68249140476847	0.659490363843423	0.71211876067607	0.759610656313069	0.664421079661049	0.709451710686033	0.358711054173497	0.729865203988563	0.569441904722487	0.229441328269026	0.560705033175205	0.797372856169181	0.575104250322817	0.585995226682462	0.670761321754886	0.384309753210897
IL6R	0.333009874867698	0.341312196809439	0.320486102307792	0.423887251879594	0.434084428168367	0.440956310883775	0.258058662150363	0.487945077090751	0.325316541638859	0.331214393070045	0.23439394527724	0.405784539766979	1	0.421004802461166	0.331298436887605	0.211461257885924	0.456418710803397	0.241641649327996	0.172088135332404	0.302130644782245	0.316658459524663	0.201638878801007	0.150363513696648	0.124114236758558	0.367313386296543	0.459977797533673	0.356484442043616	0.269527438287441	0.35490913768907	0.218715460097163	0.400878345965408	0.293571961212816	0.293108832621749	0.354349325114052	0.127479028351643	0.480931014611097	0.300261249246759	0.386301899795018	0.386074783564646	0.246274802390306	0.343334252380892	0.114847309362211	0.420719983895598	0.516808756855531	-0.041074058641664	0.283567899008906	0.364290756759718	0.28582085563285	0.412537511629968	0.395180838943312	0.104663733259488
