""	CD44	CXCR4	ITGA4	PTGDR	CLEC2D	CD3D	CD2	GPR171	CD3G	RPSA	JAML	CD96	TNFRSF14	ITGA1	S1PR4	PTPRC	CD69	CD8B	CD8A	NCL	CD74	CXCR3	CD247	CCR5	CD6	KLRB1	PTPRZ1	ITGB1	SORL1	CD46	CD63	DIP2A	CD47	ACTR2	VSIR	TRADD	PTPRA	TSPAN5	CXCR6	PTGER4	RACK1	STX4	TSPAN14	ITGAL	LAMP1	APLP2	SMAP1	CD81	ATP5F1B	TNFRSF1B	IFITM1	TNFRSF1A	CANX	C1QBP	ITGB2	CD68
CD44	1	0.958557970045723	0.943752219357737	0.810416720591986	0.837243925916829	0.96423017022908	0.913991142679236	0.799099639993526	0.936363063531365	0.642606289044533	0.881868979546027	0.924487116890619	0.864557644976858	0.896951402915047	0.886875881986068	0.924905609775312	0.884760888439925	0.783003384844482	0.727043573208343	0.0902704970930624	0.215001804130434	0.733327139208984	0.958340602541143	0.883563928976959	0.872951432608568	0.680206594629041	-0.449446602097936	0.754751824946958	0.180341170581798	0.609896957816274	-0.226376846418533	0.624068121063096	0.707389596645907	0.628818523930216	0.535401740675837	0.704552492554662	-0.217565669942449	0.760848914844902	0.782177957839257	0.817875164132679	0.584119238067143	0.363994646608037	0.772214676388754	0.782416906104711	0.308696780973747	0.00917735276955662	0.395045841484422	0.0902331888609105	-0.0831361079387534	0.663251938625989	0.916977961100297	0.359574226738273	-0.181792393621785	0.0330062515900525	0.466514479886051	0.031812675797502
CXCR4	0.958557970045723	1	0.925117260936709	0.72084467656203	0.890485065390887	0.952443112596741	0.934926173128183	0.868537978800107	0.905677226418432	0.767976601539307	0.919928019150499	0.961369497882518	0.823358490709687	0.824772801793939	0.782876869671053	0.959559015310621	0.952275268622184	0.728896086350892	0.620869961465578	0.275868514935402	0.345353559581355	0.696605208489031	0.92900796555177	0.820169803401618	0.910994409011011	0.789145507483751	-0.412300979289143	0.811895824460928	0.308481652383616	0.689991213784093	-0.070171512903713	0.630025607255326	0.750354972542873	0.749546945821148	0.671346667111864	0.806099562192465	-0.152928910415539	0.788226518064476	0.76201657403308	0.912190921942151	0.72529673812388	0.421356479304146	0.824464454447156	0.721067057820021	0.474987871536377	0.152709846136233	0.502087427968477	0.225566385756095	0.00267342712646082	0.791655428211607	0.843518860313419	0.474178759615292	-0.0698697333296065	0.211223574975139	0.560072996384878	0.144346921932112
ITGA4	0.943752219357737	0.925117260936709	1	0.764736720789268	0.835305302932558	0.913248255593635	0.851656757214993	0.785815125130187	0.917310492930457	0.698518437012123	0.871588933379029	0.879077541085323	0.880766430624085	0.837750864773114	0.872199891255675	0.900819950040186	0.830007395107607	0.655254959796654	0.577086386090327	0.130113821709898	0.293363774666112	0.651815585912364	0.887504294130519	0.820385963411682	0.899045857678138	0.698811785289653	-0.406638417539704	0.761893250168746	0.223828283700032	0.622496157560178	-0.122629231855852	0.479354417787073	0.705840518007123	0.66512236799446	0.578975264269182	0.73359054867399	-0.142388876963567	0.742264584848792	0.642129763765994	0.763626193063088	0.636429757213294	0.460026383870164	0.824968590218267	0.753769152227684	0.336097427759574	0.0698298107711231	0.51637534418267	0.147100203665864	0.0260990613019195	0.688243655579101	0.879710513725066	0.380641883149781	-0.0813644397051452	0.114579044218991	0.483348542689392	0.0541658499021397
PTGDR	0.810416720591986	0.72084467656203	0.764736720789268	1	0.542815513969792	0.842808000649118	0.840541336974795	0.67652365084283	0.856215050316547	0.248780597047466	0.748953503042409	0.773486020840884	0.72688861971473	0.940584372682039	0.686208224858662	0.822513603048748	0.727244449706695	0.912255536874646	0.823538667566294	-0.126047140361082	-0.00357334668124221	0.331356784082822	0.668341554157328	0.691098800505788	0.54196428356481	0.365631402048099	-0.460882385147954	0.438725936143383	0.0446786914150504	0.57893176035759	-0.3965996363419	0.738940766695681	0.66946291298239	0.377945678107617	0.234754065897253	0.405241198165616	-0.279491598708903	0.669778872539926	0.795029117468914	0.685727621537441	0.198747183821192	0.339647971728586	0.644907086549462	0.945012181680287	0.210956064504579	-0.21138189777085	0.242449936476352	-0.0589300186263968	-0.229251264354646	0.374549435707552	0.678321901980846	-0.000362686367075948	-0.33042874267213	-0.133555063021	0.349018715260721	-0.152132273678255
CLEC2D	0.837243925916829	0.890485065390887	0.835305302932558	0.542815513969792	1	0.869314426341092	0.81232752154698	0.854706911909055	0.847790375212289	0.785617857510859	0.867242449176236	0.895960802816231	0.676359528023683	0.682896481592511	0.664125373282639	0.853622021149845	0.869905464709743	0.482792364770909	0.386202863016526	0.284071266398617	0.247541632981286	0.541930801253021	0.854727861184423	0.63039629529941	0.957382200427806	0.936352028359071	-0.308514886736901	0.721730412786365	0.217892494951754	0.489533583883369	-0.088122916966504	0.377223491082712	0.640064783940865	0.672442115814691	0.636717233118425	0.939159543942466	-0.058822884634125	0.704124870188711	0.523022632737927	0.842537843260619	0.715525645655761	0.29996820769519	0.785743233999095	0.508780085739065	0.407157776947447	0.12830179656759	0.532125167027102	0.120866133544402	-0.0839549212809127	0.709976129717283	0.800589074498383	0.396014738768883	0.0261902846620717	0.157795322130812	0.443069024409428	0.0612986122754279
CD3D	0.96423017022908	0.952443112596741	0.913248255593635	0.842808000649118	0.869314426341092	1	0.973020884050044	0.858072502993528	0.977596882553508	0.609210934856117	0.92840248242055	0.970579353800379	0.838817730601313	0.930737351871809	0.799118036915533	0.959450527801529	0.945350563634048	0.831436790700683	0.743821525371987	0.0929907396538478	0.128573600339815	0.617084467591369	0.916465945969496	0.807187731936539	0.871943537304454	0.744019202241686	-0.481777941611956	0.675777430323845	0.128679689782545	0.602309218933915	-0.296776660347384	0.64370596200895	0.713436324675089	0.586800364874136	0.490271785937702	0.740524462741762	-0.243367424845963	0.764866282857886	0.827145095185026	0.883558022043763	0.552350644689618	0.330529269985131	0.759803713208708	0.823386885330426	0.316225878626781	-0.0693919780681495	0.380926024138006	0.0142819830205835	-0.180383155868278	0.664460720343849	0.872500917119326	0.254462851636038	-0.230955280335383	0.0188547578157449	0.428739773222499	-0.0600434664428132
CD2	0.913991142679236	0.934926173128183	0.851656757214993	0.840541336974795	0.81232752154698	0.973020884050044	1	0.899957862942743	0.927911674082415	0.556375884622994	0.897921967513499	0.977162522816113	0.753664989092935	0.907224978835919	0.675562063011704	0.955101028284209	0.97482069600309	0.872356506959623	0.735626233811887	0.133768972550882	0.0968633389598778	0.547974190944251	0.843756819715816	0.783491244486116	0.803475542524148	0.710337436922835	-0.461384904241747	0.611037134653295	0.122340390861956	0.656175280885351	-0.28407300050643	0.741318315732671	0.71132632490616	0.573452914729381	0.456556559785891	0.691583861274905	-0.258139316683221	0.745768245379901	0.8681257005131	0.928701385480913	0.51177598826707	0.322405340099175	0.737897743615797	0.824797443104788	0.36534740794099	-0.0697685263489689	0.350240456094704	0.017149965512402	-0.207176641923073	0.646585676220302	0.75236073978697	0.224477465658798	-0.252296042398863	0.062449746748951	0.420272540520631	-0.0772308426984832
GPR171	0.799099639993526	0.868537978800107	0.785815125130187	0.67652365084283	0.854706911909055	0.858072502993528	0.899957862942743	1	0.792608312952722	0.617725425319625	0.790030568134702	0.92784425363504	0.544587877531234	0.711761865036259	0.485165703584575	0.873393774451711	0.933589040899584	0.637808905989957	0.407432641242239	0.244169032914578	0.115999727901399	0.367436059829897	0.739445178355462	0.665539253571716	0.817102000474956	0.81955154664789	-0.30409778258319	0.579343026993806	0.140609495837328	0.644069523495936	-0.153328185442393	0.613566479522937	0.687221735006053	0.613828212079236	0.508247474025705	0.81551333032646	-0.156222339588655	0.71007010226486	0.598188668915094	0.919409593105626	0.549170528214157	0.2951030509103	0.785147093150667	0.602052953050395	0.43693311019426	0.0420264613357382	0.450613812322802	0.0706327445060067	-0.204099845830899	0.576465594439195	0.583669665254323	0.241227703688741	-0.0825469198849785	0.150779324998757	0.389205478951473	-0.0387639103033212
CD3G	0.936363063531365	0.905677226418432	0.917310492930457	0.856215050316547	0.847790375212289	0.977596882553508	0.927911674082415	0.792608312952722	1	0.587654737897555	0.936126824038851	0.921738931079946	0.878232332260218	0.947902814690003	0.811596887638779	0.938978941917186	0.88284198945084	0.798934306530365	0.74384922553873	0.0820058303365851	0.149699375170798	0.560782429324736	0.867792268512834	0.753664303525	0.848518258994743	0.702861509568592	-0.461227608660428	0.662412286605482	0.145567123940913	0.581141311973827	-0.280682916480672	0.589561903417952	0.728216997623033	0.573828189106482	0.476326907092272	0.718580404349939	-0.178653157524324	0.756648609052058	0.784248583888718	0.827705806243209	0.531833942390797	0.388683531790389	0.767710743858879	0.865019695257227	0.303233742487055	-0.0694976581937814	0.430894532515566	0.021211741258995	-0.130480893489522	0.6538879039558	0.889203231273254	0.226459061072918	-0.182702569372278	0.0164756650476718	0.444128610390619	-0.0674844205416639
RPSA	0.642606289044533	0.767976601539307	0.698518437012123	0.248780597047466	0.785617857510859	0.609210934856117	0.556375884622994	0.617725425319625	0.587654737897555	1	0.729222352845302	0.664187743508949	0.600559319430127	0.382976643858738	0.544949940426964	0.67120186210419	0.666998303754911	0.218601227794854	0.127659886118081	0.681703520214114	0.610428288424673	0.531924593562343	0.683865701857214	0.407969680560141	0.811513789210953	0.80382217523727	-0.0879967241638317	0.811541899246508	0.476246159591465	0.545975018379457	0.445793301581346	0.208619046104281	0.693723452266755	0.865803305769297	0.791681789215174	0.867418306652288	0.256354002046509	0.727348119013349	0.304869727456646	0.654267000649717	0.987790793076053	0.430710952211191	0.680184768638459	0.312402811347373	0.588902271748881	0.483828978760933	0.755137170052655	0.486337891311907	0.464089657067158	0.810394006467839	0.632976161696096	0.659845153042982	0.403653825282379	0.659302543195883	0.531102014990094	0.342015954185209
