""	ITGB2	TREM2	PLAUR	CD93	LRP1	CD4	CD44	CD68	C5AR1	ITGB1	PTPRC	CCR1	ITGA4	ABCA1	APLP2	C1QBP	CD36	HLA.DPB1	CD33	SORL1	CD47	CD74	FPR1	PTGER4	HAVCR2	SDC3	C3AR1	SDC2	SCARB1	LAIR1	TLR1	MRC2	ITGA6	TLR4	TNFRSF1B	RXRA	CD163	TSPAN15	LILRB2	CD81	LILRB1	ITGAM	TNFRSF1A	TLR2	ENG	IL6R	NRP1	PLXDC2	GPNMB	AXL	ADCY7	SIGIRR	ACKR3	STAB1	ST14	ITGB5	C5AR2	TNFRSF14	TNFRSF21	TLR7	ASGR1	TREM1	KCNQ3	VSIR	THBD	CD46	CANX	ITGAX	TFRC	KCNN4	CD180	SIRPA	UNC5B	CXCR4	FPR3	ADGRE2	TMIGD3	RHBDF2	RACK1	PECAM1	ITGA5	ADORA3	LPP	MERTK	SLC1A5	CADM1	PTPRJ	TSPAN14	SMAP1	AMFR	ITGAV	ALOX5	PLXNB2	CD69	IGF2R	ATP5F1B	CD63	SORT1	CD9	PILRA	TRPM2	GPR84	EPHB2	NCSTN	TRADD	TNFRSF12A	CD82	NRP2	ADGRE5	IL2RG	MCFD2	NOTCH2	JMJD6	LAMP1	LRP10	PTPRA	ERAP1	RPSA	CLEC2D
ITGB2	1	0.865328214947132	0.934328577363815	0.762390215722997	0.672070637234033	0.828015117576977	0.85833229577645	0.612060051205115	0.434152572008988	0.90371830637351	0.936802774194018	0.7867922269582	0.907824760610744	0.260502663076387	0.874458381631687	0.786829498185074	0.508690854840215	0.535412675195425	0.915404788035241	0.857339392306408	0.897892862346303	0.641658081114479	0.842223666827373	0.777490552654731	0.949874910631451	0.320768311229306	0.895238914297075	0.446545023614265	0.797724548957504	0.890869369282196	0.791467999782639	0.764790374757776	0.778086685551855	0.694128173714034	0.798663270184914	0.839606367012748	0.718572692431625	0.872433804696131	0.743082931767443	0.856240734606946	0.829246376205611	0.881924798708731	0.913008451736996	0.851277577392531	0.856378312699718	0.748379777264823	0.726064401477997	0.864390216952411	0.385853038868803	0.62218541296436	0.839160210240264	0.894871266818458	0.626565220172938	0.57153047458369	0.840162941490705	0.601814769761976	0.549144893014071	0.649937925357551	0.73983572137936	0.733115496705204	0.820122200931713	0.743044372246246	0.735719963996666	0.863602790779017	0.775555508227792	0.858039027692083	0.903708725241093	0.38044396702839	0.686900607033348	0.807919315515193	0.825392331444134	0.88230671716441	0.673070449678287	0.794613413306969	0.727660040165126	0.782857449529848	0.571353244714288	0.790004437525689	0.89301738396751	0.523021422974954	0.734932282272164	0.665074123237153	0.814432978230441	0.538913698935361	0.823732619061435	0.591992834790693	0.78806874240365	0.785785001076461	0.874485122852557	0.752234504751768	0.749706133082931	0.916963327522265	0.829145907229451	0.79713720276204	0.527984043640518	0.84912797208069	0.923592376137693	0.775865015464094	0.823303800624711	0.319530059883554	0.794088513204234	0.862407671816131	0.699837343453136	0.861915325689246	0.887504988522128	0.815633528042965	0.650910474247358	0.64322938451127	0.80647040134948	0.771941734297028	0.863311111726205	0.685107681665279	0.803051155599959	0.692845209361246	0.878084127084875	0.848811807560447	0.774716666690802	0.832787984883388	0.696064450872623
TREM2	0.865328214947132	1	0.843735133212167	0.801538764091499	0.767211104407313	0.815909261581627	0.612386530782595	0.716936303333916	0.597313479178697	0.882844486235494	0.794873629248337	0.712863212876626	0.75917257944449	0.17055153871838	0.848329059360409	0.557615865337552	0.30855079148836	0.724729593292654	0.795433729669072	0.802302110330091	0.777485063196236	0.824382914852333	0.921916403368693	0.791691867418975	0.878270297932808	0.585380050507581	0.944433507755998	0.431808202909999	0.808007377778139	0.927721865885706	0.896443290508806	0.801977027162717	0.833811319475787	0.770704206914829	0.781033652146367	0.618309584399864	0.832949997941246	0.847431340269894	0.794433759646216	0.894382597368758	0.919553438896568	0.757252990431349	0.863324599660803	0.888174997645399	0.83655874770879	0.488401545156343	0.796351564117949	0.912260041471843	0.284788335489676	0.770518846108582	0.831262421510718	0.721707552809062	0.437210637276773	0.736252991176668	0.742521034148445	0.685155147909681	0.367382363698095	0.600882204502398	0.665973775681973	0.831277114330821	0.58250779644514	0.492270040984641	0.815253829312609	0.818281848078575	0.550242052750573	0.815246981232152	0.757368879616447	0.325749521947164	0.747289700277065	0.578057799043332	0.539173544729543	0.889487141836274	0.866164012885938	0.666182454627512	0.803312603956039	0.901449092729921	0.73788897925228	0.898964230576258	0.673019103301965	0.759325655083147	0.484787043813407	0.910600299718514	0.778431045853087	0.758687569578891	0.638620554893208	0.758234542667391	0.782200092149014	0.839143006353894	0.719956387080786	0.633822568439506	0.846904115944889	0.758271456339227	0.709634691037523	0.64027057219754	0.420035726750229	0.63236059436124	0.869422854380523	0.652511735632972	0.869956907960173	0.581029259567058	0.828991234315917	0.792767012997607	0.731457602387047	0.806946210947617	0.844830164797561	0.622021122064877	0.604512054528536	0.523666909707519	0.676543547972576	0.652973433910788	0.70615318679852	0.55307521824312	0.583012237539544	0.72078365422795	0.831833866275217	0.744553039414439	0.750907534826884	0.562569819559751	0.676734400583593
PLAUR	0.934328577363815	0.843735133212167	1	0.769889503951983	0.786377989755516	0.863090325558641	0.85677322908401	0.742016920765487	0.550417535536041	0.928884212996369	0.832843123803764	0.859713892295012	0.799224358663901	0.445417973625359	0.916856925592296	0.678089466634892	0.594300512544	0.465460712305495	0.863248224222102	0.752767056938973	0.835036476367696	0.572909825059649	0.750565052002351	0.709466890585573	0.887592816515796	0.457983595628686	0.846222392966505	0.618211890532085	0.805897464665001	0.854580471749641	0.734210609340691	0.72062789286611	0.696322164423887	0.764380408421124	0.813227470289947	0.842860518004344	0.798160199114548	0.858540065693549	0.704282915259375	0.889570997355952	0.782291575380016	0.897824087364214	0.869525734735939	0.850489346830957	0.860869693093368	0.72620168221609	0.806196550441637	0.809745559740254	0.559930410528104	0.542323773056148	0.802950981181635	0.831724451300982	0.67577402537716	0.649062410077446	0.848657435296329	0.725205788773629	0.615860711566252	0.738654685468233	0.811360585044645	0.675173121079004	0.73162645968169	0.814961886654528	0.743796017960205	0.735789078966361	0.740018293415696	0.834596195800316	0.884414595585657	0.556082962238107	0.721381024224193	0.726290923793855	0.768303180607941	0.886557845638147	0.676455632123611	0.695958263926828	0.797421162398276	0.774054937470206	0.695428423518911	0.786633063603186	0.813948485843359	0.551780187393954	0.753781184174184	0.679827928765749	0.844689793607433	0.638367596201294	0.718255860306928	0.625358855713195	0.809449011492654	0.819084723060999	0.865573237127139	0.793715295019148	0.730181001880467	0.829826899584893	0.839104827710045	0.649472361896121	0.656935205800513	0.747977775764217	0.938612419112558	0.704456037424147	0.838932288425069	0.397751666578411	0.775252577889108	0.794998244274843	0.734761067323433	0.835630984456754	0.847906194083459	0.812867191403866	0.768442810346911	0.754541785110292	0.803654072875661	0.726380414121477	0.864698061424793	0.714935804962439	0.777451664335804	0.805736306819229	0.843700040610271	0.802851743188519	0.745309482865203	0.729649288481517	0.686941763431246
CD93	0.762390215722997	0.801538764091499	0.769889503951983	1	0.758386552725207	0.891525603727278	0.621261623956582	0.491896267024359	0.40473329200578	0.83877124479327	0.69663987084705	0.708007814690936	0.781384254031413	0.128289786315333	0.834056416907934	0.592944307595727	0.438782094019727	0.430655724923448	0.758530842674732	0.733066337411957	0.755750579403834	0.54891518890741	0.709619599100393	0.671867504971255	0.752407363856668	0.581324457184502	0.769915478287808	0.24746776058377	0.763198371586743	0.852956190109449	0.677585033009793	0.836897463058027	0.80738874524767	0.694100846884221	0.622786733520936	0.733488909373555	0.825137230063442	0.881122501139818	0.728822713956304	0.905366769981523	0.805257273822901	0.789965177945913	0.82438192635707	0.846019785529767	0.900248541868909	0.560889491853189	0.833678680605214	0.82705046121937	0.152677297103931	0.466560391162175	0.818806905741031	0.673180978942734	0.612364234011882	0.863454915010635	0.842748228901981	0.72188960384922	0.487775145092301	0.464964565650902	0.71689766183355	0.776970473559129	0.662954695076564	0.508620901861035	0.731561604935512	0.623600636665356	0.687966630900119	0.72157881504055	0.75814055990814	0.234066907912707	0.642255107005814	0.630899676891659	0.574612791110968	0.878474345246648	0.78969987419088	0.455809109354289	0.848582720953584	0.787272129988697	0.648811672274715	0.780054173617894	0.662282205626086	0.579335748135883	0.641886691353104	0.761586630905814	0.797699187816566	0.780573845892802	0.649566449077142	0.596049945193105	0.882346988599071	0.786375146747106	0.668602596943099	0.631348622941576	0.775582713760881	0.75629751849563	0.807821729722697	0.576098187924248	0.485979705251544	0.641901401643274	0.771209822024605	0.574128467700567	0.61502351150314	0.230979219372899	0.868050123197199	0.733761020575534	0.77192615120268	0.806868854277047	0.706361272408556	0.669509181575756	0.612624792730468	0.574545815785367	0.742122223377567	0.602439964673302	0.725695166388273	0.515084982052838	0.515244392879973	0.582136496318928	0.687725127243227	0.773365703296006	0.815620186077257	0.606179278036707	0.6355160662586
LRP1	0.672070637234033	0.767211104407313	0.786377989755516	0.758386552725207	1	0.869917842936106	0.634049077417182	0.836723272631546	0.756968071970452	0.859314065512687	0.564643779881131	0.796429331312241	0.510844960053439	0.582867740963421	0.884176941132713	0.336015475488226	0.502016029650815	0.46040990066107	0.636904387441951	0.562634358324187	0.595766537041642	0.554923460676492	0.592023610717111	0.56307952084473	0.655787264042829	0.807832559682949	0.715079734115537	0.616299679430484	0.759807784205571	0.751966201618025	0.647831206872603	0.686750989110561	0.624092663392886	0.870389135814458	0.766026796546261	0.621966612258571	0.918417964346676	0.741612636367679	0.643856075338494	0.874765377966478	0.723407709917804	0.767226047320665	0.729077088751294	0.797175815045152	0.780541209179449	0.508049954009824	0.879272810109318	0.726692221829857	0.60814442136438	0.462114683683296	0.690732262516509	0.58975480569102	0.590420532467457	0.860073215582394	0.739380240044351	0.888098123452969	0.571277836116845	0.766057921582809	0.76802663332056	0.656578344960631	0.412170855201818	0.546962109536809	0.720576482959791	0.482080287668598	0.495236037405083	0.727110910468528	0.702442477850647	0.657108537004953	0.744629902017698	0.375440559561895	0.438644389523931	0.821654221153025	0.735380018620517	0.402192361787725	0.888566804535481	0.774925008108396	0.839156819716809	0.778878839902006	0.516965667327654	0.704008829991338	0.57430910006144	0.77626743526179	0.840871011359533	0.883902595488911	0.394069190881163	0.738147321653225	0.78784484681548	0.849896485273163	0.715361127512559	0.752539560942551	0.79462748705579	0.526300157721224	0.755083866559341	0.308971176923686	0.734812265160771	0.413198659328706	0.790721880709337	0.511567571433242	0.75256410254089	0.590441837720277	0.728473437711739	0.543692497546121	0.793710483870657	0.736850381165948	0.68497514724853	0.520428166306358	0.824691693412276	0.793891030776244	0.645705215486803	0.539228431494709	0.704463113153422	0.651424525830913	0.508903902203037	0.852255285038545	0.679943173731786	0.622001752947858	0.685577240403614	0.383284940771708	0.671379825074428
CD4	0.828015117576977	0.815909261581627	0.863090325558641	0.891525603727278	0.869917842936106	1	0.754633371099734	0.683274199574132	0.549124930382627	0.927775361430746	0.742128515989891	0.836785083153062	0.752092320396969	0.405989654950318	0.940614758612256	0.576181485910347	0.564913085660095	0.425926711969089	0.79015337810716	0.728909018824457	0.775939930131284	0.545020395530107	0.689775990162857	0.668574993409702	0.799100040806544	0.646552172986612	0.792042651554079	0.474765043868016	0.822917511681024	0.861063528503997	0.701142963859966	0.827652294417444	0.776121269710575	0.81814946710489	0.770822798400502	0.806681962232287	0.895245817858442	0.866952260221392	0.717828826326519	0.950766081362193	0.805516880456032	0.883436224616924	0.854953147010097	0.860990411786617	0.904275066310725	0.662529191086113	0.889047129782892	0.814221576577839	0.447129511814478	0.477481263993594	0.826012794043548	0.737005894970003	0.706162148110828	0.863584194454644	0.893851271934708	0.837034517577596	0.60204691904729	0.684851943297059	0.809278142764186	0.732869709677484	0.653131575261893	0.649091057605979	0.765225230671489	0.623205625203566	0.694525627502497	0.790995662009985	0.841696979553395	0.493745327970479	0.713771275421961	0.620486499881138	0.655778332362789	0.914369088998268	0.766886579485023	0.51666715563261	0.889635394213486	0.810706755178382	0.750153489362164	0.802382959355538	0.705699744979246	0.604877226693137	0.739566244217855	0.752149684493002	0.884091111555019	0.805393807993799	0.627877048263045	0.666054894767297	0.899622239790699	0.869154458074814	0.799555565353788	0.787229460455866	0.821302651371201	0.744965202799766	0.891332909065497	0.555490322384024	0.678661030629169	0.647690310942419	0.875017257070989	0.647926865197797	0.721297107561413	0.357955369118826	0.832997581716933	0.69796505695514	0.848739922392694	0.861815783489994	0.777738710629264	0.705695435171403	0.792771729855109	0.773618504000372	0.798759443971044	0.69412487963228	0.825879231005425	0.670401332997182	0.622407109531418	0.775557554557	0.754745108640609	0.800521423973584	0.813042492060744	0.622574132448252	0.710813117758131
CD44	0.85833229577645	0.612386530782595	0.85677322908401	0.621261623956582	0.634049077417182	0.754633371099734	1	0.580032515823496	0.431896470176839	0.826709711086456	0.856806080302261	0.785836355716057	0.809142730523233	0.463306359968155	0.821788593263938	0.785384200789957	0.671382631025212	0.353922283580155	0.853399055393275	0.763522834707602	0.838582946777094	0.435577467253438	0.599478741162768	0.638131571199711	0.798256948556647	0.231779729976385	0.700248464994599	0.502467649721574	0.717324279260505	0.728792909350368	0.57496002617792	0.609291955077998	0.596293855803772	0.68430931496228	0.764548222311973	0.890154441634106	0.612870570585172	0.749536349494088	0.653019589230916	0.744485970071615	0.638770136112531	0.871562632712003	0.826635593275853	0.737029861180285	0.756688327734552	0.896495710012339	0.603329619217645	0.704636589828267	0.517351457269124	0.401418590236446	0.736572245826284	0.901251960830493	0.678495104630423	0.447952562437139	0.801594522875438	0.532281748723857	0.663763357386189	0.730707449793514	0.768447187873494	0.576316482218644	0.815688454906818	0.767966381066446	0.585798171758344	0.70685307617519	0.819498962295923	0.804247940438324	0.915429209608883	0.51197535269682	0.660879196859479	0.767555657002875	0.849657894799543	0.770763166806069	0.463288841750195	0.727518151155719	0.65291714277338	0.608906879768653	0.41302358046421	0.608614400418197	0.924855617300542	0.364604971442858	0.864256420563912	0.398052470957188	0.818377333657164	0.422999606018727	0.770858161539444	0.456156331177616	0.717390240982848	0.707410824751794	0.918166101219348	0.833299160702907	0.656625904823439	0.830728852200839	0.837760683338268	0.712248990632062	0.65840574439421	0.827661230288719	0.835986188736446	0.746745151160674	0.69373665155747	0.233166639388617	0.660460278562756	0.747334035001878	0.660636394020141	0.782915965920258	0.807012659861939	0.776049625989357	0.679704766502654	0.797345536228071	0.844680591089793	0.740883103307635	0.907406950358622	0.827770930646528	0.841139043017486	0.688358884777798	0.81237361549064	0.827629402625407	0.697562845443825	0.873720296343806	0.70783639237687
CD68	0.612060051205115	0.716936303333916	0.742016920765487	0.491896267024359	0.836723272631546	0.683274199574132	0.580032515823496	1	0.826516202732854	0.744793085081704	0.496258123317871	0.764661363072128	0.358282840263922	0.652286853457309	0.781389773800647	0.232060544726817	0.478289824463551	0.539217108672576	0.569231792607054	0.438334743785177	0.500559163344956	0.59712291711176	0.570124071066028	0.504386130568494	0.612648139789525	0.718439011252096	0.668911872067239	0.797994687374877	0.660705328462519	0.654231440121464	0.655041439969677	0.460944524686973	0.464856381215187	0.804302791207222	0.752489768548872	0.479163773591844	0.802535822576726	0.597835058298257	0.57332901817192	0.719624934777641	0.656462042911912	0.635789833527096	0.621090801485416	0.659655137764402	0.598239362730389	0.445851699895764	0.723228681905366	0.587154267115576	0.754393620338066	0.511499711549461	0.559575676049079	0.5076824730922	0.41721528575674	0.619167299407397	0.588040076185041	0.767844321036232	0.406986289456904	0.833075050589165	0.67166174274823	0.536281745285198	0.305323301406601	0.524176368751733	0.6116680987457	0.477901604653196	0.343543448358592	0.670530517868895	0.612380998561942	0.730425522084256	0.691890037419763	0.249428634022435	0.35727156180164	0.672643346574811	0.593261605169205	0.447821004464596	0.752865831833252	0.647728885296982	0.826993312316481	0.674189955201829	0.444222240333952	0.654741904259299	0.464884163855355	0.722858185651357	0.663896990662837	0.72260702741097	0.284663599032595	0.673488915756153	0.577650849800329	0.764136557650762	0.690581171326185	0.627428142283815	0.65767267454835	0.406993328795844	0.564214536877331	0.228494562061572	0.675251595375648	0.310300942483843	0.767173949547813	0.385750659625076	0.7505007422888	0.782319034597337	0.52741257930071	0.458154226838957	0.662496158290023	0.598375915739107	0.689754943345224	0.397473486066473	0.764424293865624	0.740748265772984	0.504442189265313	0.455354176691236	0.61256605144541	0.607439184342051	0.467641606109168	0.929650668698733	0.641031224873136	0.44324524271374	0.488883719634739	0.288214836478953	0.528800040660135
C5AR1	0.434152572008988	0.597313479178697	0.550417535536041	0.40473329200578	0.756968071970452	0.549124930382627	0.431896470176839	0.826516202732854	1	0.605691087322419	0.387832637357022	0.51795020588266	0.216914977945261	0.605697996041768	0.610578707984194	0.0480525792904749	0.197889068182562	0.657549905442899	0.384588591254405	0.416793918832385	0.310264622806233	0.674592669807101	0.497600130866621	0.519391901789384	0.444060554429265	0.691949211603456	0.58131721153856	0.648074646326516	0.551669827871118	0.518218283500559	0.602272076810577	0.416565098846474	0.421516029707022	0.792646324620426	0.735417871264659	0.280765899859181	0.650156165083687	0.421613735458222	0.531031460838085	0.573612516878264	0.561689055578519	0.474356101522551	0.486073794580414	0.612880365343916	0.420739528355431	0.272921625570956	0.563626535300678	0.580150139945768	0.59757455651084	0.578095509909432	0.440420184127077	0.411548083549446	0.289549305106053	0.542400386484774	0.357420569544269	0.603314543036242	0.39796070446379	0.773733204404747	0.503515194413647	0.523599394819961	0.0931435597645144	0.240278430955771	0.612411880019944	0.430675501325748	0.136111325622959	0.597955058522166	0.412739031803229	0.655227199918012	0.744778694591988	0.012514392898756	0.147591405802098	0.550875866640226	0.597569216003526	0.425546532282394	0.649418454731685	0.655032648238824	0.677967125785297	0.667804488114521	0.295623318604237	0.777164757714511	0.22497545217722	0.671550100983955	0.60473657517218	0.715072099180494	0.124196690382068	0.774823255452378	0.479569427261918	0.70086945220827	0.547067867395059	0.568984327752738	0.669038114937904	0.260919282470632	0.442095335684058	0.166347257957875	0.55803077630461	0.123869234078652	0.510703704243725	0.321118121688442	0.706677991496728	0.875573321441289	0.443692653651035	0.341392663925093	0.556388055252545	0.45306341756207	0.538688092586845	0.142793466013629	0.539049970961028	0.636107722745745	0.407969177387678	0.403219228337606	0.428570505734359	0.574860078592966	0.308639090827661	0.70281094027981	0.581417966233861	0.349756497165884	0.381546301916698	0.110428631073443	0.58730130050818
ITGB1	0.90371830637351	0.882844486235494	0.928884212996369	0.83877124479327	0.859314065512687	0.927775361430746	0.826709711086456	0.744793085081704	0.605691087322419	1	0.832684870320086	0.859365185554737	0.800481711568084	0.426844935962746	0.961022241281621	0.651014317815401	0.55618376012298	0.523897950909382	0.848414708317137	0.800445613467886	0.841160665644848	0.638529991200682	0.775952962198974	0.726433895705359	0.870154539250081	0.584826377057951	0.866509470542323	0.547798451804973	0.861537633912693	0.906024749970756	0.772508662605477	0.819276590134819	0.794240447902722	0.835584266480305	0.847665528073355	0.815659422705563	0.87137743626705	0.880209628752154	0.7611277020557	0.950146694020501	0.843057849749792	0.905332609653013	0.904318454368657	0.899722503070137	0.897000421440584	0.71591351326964	0.864634446561002	0.874670984169954	0.49514473045682	0.577585754865082	0.847913323693968	0.832837943501923	0.674949568481464	0.774930135194138	0.872694043363434	0.795888490094075	0.5893699302632	0.744386871891163	0.802422515315754	0.765880110434739	0.687277131449894	0.689255789656274	0.79809273702223	0.732821572707139	0.702711559436113	0.862140979032209	0.896540615496727	0.526161287140415	0.763182613196856	0.670849502274545	0.715803043824611	0.935809589272289	0.767867601136901	0.64631726513058	0.859395076524202	0.847706739491687	0.740697319458768	0.852585181499771	0.788427179461686	0.652238588180963	0.729233219186794	0.765897371747923	0.91120104394031	0.75834330166686	0.698592129021426	0.719352640742553	0.877109515515098	0.886604161558285	0.867106337937508	0.828170093704756	0.85421986400401	0.797545008666094	0.885469564376667	0.639878167539077	0.669027449137839	0.723371199631948	0.93150920491149	0.721616066864298	0.842988752035714	0.454889505796591	0.829910788473112	0.777397837675265	0.804135031232054	0.878231749868524	0.860380624271312	0.753484486701056	0.798079379495846	0.784037397785167	0.835335945370251	0.746830222024878	0.867853870476829	0.741438949005812	0.725905814214764	0.822123830401847	0.851001052894331	0.843795155789157	0.8170888456114	0.693278767321978	0.770571625979883
