""	CD3D	CD2	CD3G	CXCR4	CD8A	CD8B	CD247	CXCR3	KLRD1	F2R	ITGAL	CCR5	KLRB1	ICOS	PILRB	SIRPG	SELL	CD47	ITGA4	RACK1	TRADD	ADGRE5	FAS	CD53	TNFRSF14	CD44	TNFRSF1B	PTPRA	TNFRSF25	TNFRSF1A	SMAP1	TNFRSF9	CCR6	TRAF3	IGF2R	PTGDR	LAG3	CD226	S1PR4	CD4	VSIR	ADRB2	ITGB2	CD81	TSPAN5	HLA.DPA1	ITGB1	CD69	SLC16A7	TFRC	CANX	JMJD6	PTPRC	TSPAN14	LPP	PTGER4	ADCY7	CD74	HAVCR2	SORL1	APLP2	C1QBP	CD63
CD3D	1	0.950906067372213	0.93988791483698	0.867895355835177	0.104147952223805	0.153794017188684	0.914841874037624	0.703614546387609	0.163872048732965	0.334499515012986	0.76083719491995	0.402990658398385	0.633520045951496	0.762726841898402	0.276081037958312	0.836448493325369	0.422770167558286	0.799842909118079	0.788617643937883	0.781800612255958	0.646572788202999	0.743760420168901	0.800292061185622	0.905251671279414	0.903811497346401	0.808698928904921	0.809225455658824	0.780746897061431	0.717786127600058	0.609548953779368	0.844517897059826	0.667690990014368	0.714364137789589	0.792277399837409	0.625816951620839	-0.0273335275108677	0.599568949489038	0.664145638921257	0.843710435865084	0.720565703825141	0.695319669356644	0.203416575564268	0.82260475264033	0.524169102477117	0.855160252112394	0.440146402947713	0.736376083347751	0.803189666875603	0.617517612501922	0.641118484631189	0.65106513940798	0.541243382738658	0.815953458566239	0.791274727233655	0.656426956717804	0.656637883650174	0.644979917855828	0.465982136001118	0.693695347063269	0.509627989029693	0.283734893589176	0.691075938582209	0.444153875540071
CD2	0.950906067372213	1	0.906758429791894	0.785441343024989	0.172805551636242	0.187383755260514	0.87524618687766	0.734180941589917	0.16795644469416	0.424136397195005	0.816605094454708	0.521619081097696	0.529562521430686	0.741181137399026	0.365629625189079	0.838854954324393	0.249499871940175	0.73712534967592	0.838453501704563	0.644602448530153	0.487543260555506	0.767005993681707	0.800834577429942	0.828182753661577	0.857627901973963	0.810740027518391	0.819794859272831	0.789436403356718	0.619076880480817	0.576306958098291	0.767062964410043	0.699012993861516	0.657667063118231	0.794090418639581	0.660042866547719	0.0661609999668745	0.663328618634111	0.584795469009987	0.736171648640456	0.676907086680481	0.575063535869019	0.244953705155791	0.828838605401346	0.542944003721896	0.864054002880499	0.433680580966892	0.678797520674161	0.695900891450257	0.608622006055496	0.656058355756417	0.605945125730086	0.555327836871952	0.856336417978425	0.756939191408819	0.653426647638371	0.532380543359593	0.651655657069295	0.454118599263275	0.7365030161185	0.416701723054548	0.276534717758774	0.563408762765453	0.413986504472672
CD3G	0.93988791483698	0.906758429791894	1	0.910695312721617	0.181629338902084	0.210146861714175	0.897784782156368	0.660621787410981	0.194426841150769	0.436920067132129	0.821150212739864	0.442342619447181	0.596769379125386	0.667661590209433	0.414670674473213	0.753709684035669	0.480280551317696	0.857048894138228	0.803500746901825	0.791788364168538	0.649394678894389	0.816607942679982	0.753510492047181	0.890299204698204	0.890173488317659	0.895409248848048	0.743657687605201	0.808739999040092	0.670121031953128	0.563171503409727	0.812246358848232	0.605837500438868	0.684415660972763	0.785128469768823	0.678272805992167	0.0470796224869703	0.579570511415281	0.672040353191657	0.824638003607518	0.669926670093294	0.677545669568494	0.314891127178547	0.790057462903302	0.565741370837682	0.856988130231125	0.419169713912021	0.781938435141504	0.836887586786947	0.731935981090722	0.655610021556075	0.664468877239563	0.585422003463434	0.88467248403867	0.813087727459924	0.670757120951274	0.752360743331218	0.689749682810592	0.45561786013121	0.635212202000444	0.586786007396512	0.283116178656503	0.694746780682429	0.420422302324641
CXCR4	0.867895355835177	0.785441343024989	0.910695312721617	1	0.224334460469965	0.281911648747892	0.856675385248511	0.583339701030455	0.334491527614692	0.371401286920986	0.698682400526367	0.318004103787405	0.626349814714822	0.554965555842745	0.372349498735512	0.616262091678632	0.524332575490853	0.856616659122412	0.658219787649357	0.817406837102518	0.680186308792209	0.791675233663088	0.633529720029718	0.871146793129333	0.81561918993678	0.836550472986953	0.599989212450123	0.699510624290884	0.64528399700356	0.551233490338596	0.77481283943199	0.456225682676969	0.594197221030304	0.640869572966003	0.564988769512607	0.0531172188850783	0.502062313044807	0.659343928834382	0.81714500651587	0.574490110958789	0.690752608119735	0.346115196855475	0.730881796766345	0.572375172091898	0.754435651881384	0.406637024453812	0.742071835824467	0.907747644243663	0.693252597517206	0.559011446859025	0.6235786859306	0.621658188460453	0.768751453893097	0.733447138059328	0.562627189759885	0.839791683495036	0.618207531037806	0.428080697025156	0.51157659148738	0.590364000228323	0.233323404242563	0.711803719952339	0.381414330156153
CD8A	0.104147952223805	0.172805551636242	0.181629338902084	0.224334460469965	1	0.949530202578417	0.112736751634505	0.458200283780007	0.654162923890963	0.646496575267738	0.375095303573524	0.689099422805474	-0.401441236367106	-0.353690290188284	0.673171910240343	-0.213955075222568	-0.399990354717332	0.0932587663456191	0.0102438906303222	-0.202211347105894	-0.408263263453303	0.484675111129315	-0.184104099360216	-0.0963846397749175	-0.0303178720125134	0.246208608599124	-0.190358970588122	-0.0469963331368404	-0.476934804252481	0.123871096093254	-0.179276569960693	-0.13926757118884	-0.477356594089867	-0.0828218130345801	0.0711014314181675	0.731595708775682	0.5501676839015	-0.44382905712239	-0.191368986284388	-0.473566924305665	-0.340529614429427	0.696124937327853	0.253793235956482	0.60708575508822	0.110962800060649	0.106464514000765	-0.0983801342191947	-0.0861012598602348	0.0708737159326107	-0.135112192059916	-0.112174847415236	0.716821623036427	0.265562843696202	-0.137434053387861	-0.115977580053661	-0.020774151148625	0.0971232545551128	0.0455324171355325	-0.0166059613013315	-0.214765456895848	-0.175643981119093	-0.225531357912021	-0.10870429536981
CD8B	0.153794017188684	0.187383755260514	0.210146861714175	0.281911648747892	0.949530202578417	1	0.16727381673785	0.508280646536305	0.688745477496465	0.590387385640968	0.34763877471833	0.63733846546878	-0.35026452713955	-0.310153217065277	0.605195431972626	-0.177302537341254	-0.37005527892322	0.116042024779512	0.0157810192418165	-0.153904497652351	-0.345851738673649	0.462215808456282	-0.154467420870531	-0.0480105069377629	0.0182180839989113	0.23509642461442	-0.170954455522119	-0.0208249281066379	-0.434658150987213	0.152819555142982	-0.135934109950471	-0.120557226345275	-0.445278228472974	-0.0785471544672456	0.0265138411825462	0.680535292359856	0.526243672625042	-0.400327405615784	-0.132330769930278	-0.450035723545686	-0.306049022287713	0.631026333997571	0.26635007582632	0.602464679458811	0.131293282651058	0.117058830392092	-0.101262640191226	-0.0278147754005161	0.0310907330230099	-0.135165809801462	-0.117282184176241	0.724651637066447	0.247055262882342	-0.132985394228825	-0.128651037598471	0.0260989848872223	0.0822067424077792	0.0417947509954825	-0.00222828092423799	-0.198696882163385	-0.194392818306396	-0.176338013391183	-0.0935799325679723
CD247	0.914841874037624	0.87524618687766	0.897784782156368	0.856675385248511	0.112736751634505	0.16727381673785	1	0.646493436794769	0.316693212898897	0.363922103452636	0.756652587159197	0.388203576466394	0.613856312146629	0.701306874661165	0.343709559867773	0.787096931495789	0.420852644628353	0.803904701412409	0.786034660506131	0.750847640279733	0.623108373165097	0.764832801869306	0.764582049667569	0.888402944944665	0.862543852206321	0.792353264215709	0.772348665386193	0.772932682427263	0.687570143535055	0.604669237046642	0.802888243718454	0.648592865895261	0.686170227397085	0.760109021488364	0.643936100191	0.0653916893801213	0.559091090954122	0.684921880979982	0.815309177869515	0.687996251887083	0.675993846063571	0.245142603445377	0.817771008018931	0.536061504263394	0.834937930748218	0.426105352283486	0.741058660898195	0.802290298744731	0.640342529362515	0.641562206533789	0.658620710298718	0.517239452902879	0.80252883154885	0.791348764783642	0.646962357668146	0.682903165840052	0.663174868675438	0.457659657572963	0.686790473529575	0.541957878642468	0.297806688506075	0.683043472532608	0.46578320540776
CXCR3	0.703614546387609	0.734180941589917	0.660621787410981	0.583339701030455	0.458200283780007	0.508280646536305	0.646493436794769	1	0.293328502031652	0.49012759245607	0.668270996921081	0.59668206413148	0.123058189376671	0.425293968976292	0.399579361913198	0.50688262984822	-0.0392590676524925	0.511451871087551	0.543998114756285	0.319905285817813	0.121031292742454	0.60863571804897	0.523790087043787	0.514078760446989	0.59302068560198	0.575471568182801	0.516714358885386	0.471949200369201	0.19876988247168	0.441064849881215	0.44430231859615	0.446379936343371	0.233319743270317	0.486085667924144	0.389308344362982	0.272468704055389	0.710516028942242	0.168054449082482	0.432078327628831	0.267755164231405	0.218484984348649	0.289978001233604	0.675676212307778	0.59728220170573	0.620030675723765	0.365911019154487	0.365971482017839	0.357433641641785	0.332688146915616	0.295319288851116	0.302614524071854	0.617121887059217	0.620231823094398	0.421050704208708	0.376348686883768	0.240375571389262	0.423319130309521	0.328328851190526	0.531097417031674	0.153261609898624	0.0861072444150138	0.266386899932564	0.230778012170906
KLRD1	0.163872048732965	0.16795644469416	0.194426841150769	0.334491527614692	0.654162923890963	0.688745477496465	0.316693212898897	0.293328502031652	1	0.446901220344987	0.350433813181418	0.39717965062359	-0.0500527880360131	-0.159678687580118	0.524091955836978	-0.049971578862401	-0.185057174907803	0.233823762722805	0.118752488549712	0.0187594513594479	-0.124614096928218	0.520511673166955	-0.0712702500422837	0.141097940976597	0.0966358512851274	0.246692448437842	-0.0271911964237584	0.1223774525885	-0.171459840620822	0.251835825424655	0.0423065155025105	-0.00150056324193083	-0.209535051136847	0.0327785655254648	0.171166881284978	0.653762907899164	0.418692934238092	-0.0797640742969985	0.00258388687634148	-0.197342855205397	-0.0273604121889086	0.548151321542853	0.352532545558024	0.522345338267068	0.195395459658319	0.160902714282622	0.0917814515441512	0.138095495748588	0.156588933066911	0.0166236881053258	0.112121812955123	0.563398626615226	0.252111687998769	0.0801850556444076	0.0536761536855899	0.194084369483278	0.230398079989926	0.134198416282501	0.0966584162491587	0.035805191719477	-0.00118357376538744	0.0570868057279205	0.14432612590299
F2R	0.334499515012986	0.424136397195005	0.436920067132129	0.371401286920986	0.646496575267738	0.590387385640968	0.363922103452636	0.49012759245607	0.446901220344987	1	0.639593776131731	0.720555818294474	-0.0532524448532714	0.00730970924561183	0.733186693648919	0.134930715739197	-0.160162837107896	0.350279799216741	0.403503598863184	0.121680124208179	-0.0864529195050482	0.637134809038545	0.158345802565268	0.211356987078548	0.303168461521689	0.529669421554759	0.206910632803093	0.372414163560019	-0.0936745714943419	0.436894685946785	0.186849314618857	0.143403195725383	-0.0328495488878084	0.30799954084048	0.382360477623165	0.591362295665642	0.593980760185475	-0.00801202997029327	0.110122608576771	0.0161347706543361	0.0419464019790053	0.598653087207788	0.432018395720513	0.701523662906762	0.449324995725422	0.292599881712788	0.383146517496405	0.149339233479291	0.395276385956117	0.285370989525619	0.343928805718824	0.627812257104737	0.557112586202535	0.307683377255291	0.407943237597058	0.184728124511743	0.415542296279434	0.302618907251448	0.318795049826077	0.175219802010561	0.196195486565462	0.146754993986099	0.284839096950453
