""	PTPRC	CD69	IFITM1	LAG3	IL2RG	CD2	CD3G	CD3D	ITGA4	CD6	CXCR4	CD44	CCR4	CD247	KLRK1	CD8A	CXCR6	CD28	CD8B	S1PR4	CTLA4	CD4	ITGAL	CCR5	ITGB1	CD226	PTGER4	FAS	KLRD1	SORL1	CD46	TNFRSF14	CD96	CD27	CD7	CD47	ICOS	C1QBP	TIGIT	TNFRSF1B	SIGIRR	SIRPG	SLC16A7	SELL	SPN	ADGRE5	TSPAN5	TNFRSF25	TRADD	CLEC2D	IGF2R	ITGB2	RPSA	RACK1	HLA.DPB1	PTPRJ	TFRC	HAVCR2	JMJD6	TSPAN14	KLRB1	ATP5F1B	SMAP1	CD74	LPP	CD81	PTPRA	PILRB	ERAP1	LRP10	CD163	CANX	BTN3A2	NCL	BTN3A3	CD63	APLP2	LAMP1
PTPRC	1	0.165562023596748	0.676163028565759	0.382528987843529	0.882957162747924	0.887370975345693	0.876317791778545	0.885566945956599	0.794969661577251	0.654415430989412	0.259899569994288	0.413669396444101	0.611209361446613	0.777678723549739	0.338837372543263	0.325151751778272	0.635404932621489	0.638110101703647	0.36715217242377	0.637963404018873	0.552990508363218	0.489139278817688	0.650580860865269	0.401667702326215	0.707619094795299	0.498390554632658	0.319509704409871	0.604566566563172	0.345454870086854	0.09536051546182	0.667232160255357	0.616006814225374	0.802736982247569	0.757814011741847	0.78654394220208	0.635562220342457	0.762933481718657	0.412615374962827	0.623988974608315	0.631936317365417	0.582583219879248	0.798057405327833	0.470668486568634	0.280035914503612	0.552599740635233	0.649849133836033	0.671794328066711	0.425450173014358	0.417414308385492	0.735416220250752	0.444799378411551	0.488798986217983	0.531009157872286	0.580332875451739	0.469539303730916	0.355781889787065	0.37402325478444	0.466432298896033	0.39868554852974	0.36459886803901	0.314923484486456	0.487787758217074	0.570274700043611	0.356526134680478	0.279316290075149	0.432219950860299	0.752869883486435	0.183470905663005	0.51068242506541	0.507272199725766	0.00795729336311566	0.315298700964225	0.614919686860011	0.634857858498072	0.553396665393639	0.323713412018197	0.258267707007299	0.32185004765817
CD69	0.165562023596748	1	-0.135743004907858	-0.436700479410967	0.118822237481547	0.066609763083371	0.169653163108403	0.114541686935489	0.217002304263085	0.131856811879829	0.962338143842272	0.537652797208461	0.381170404954144	0.371167303945334	-0.315080792317561	-0.430884622073162	-0.0851055961872237	0.496426520175087	-0.347799244281547	0.341859972426615	0.522548279426357	0.387727253860006	0.116477816343642	-0.434165976198986	0.412983452624621	0.415841187611781	0.897864690185148	0.19439113490808	-0.330673237677989	0.406262385152757	0.151956357691317	0.258903544476293	0.0125179588061532	-0.006543507952014	0.11420695929375	0.127647722559831	0.355459243815743	0.280948716823855	0.300993586904286	0.305637948924907	0.261818175742586	0.138351367983847	0.343542600070655	0.830749712158036	0.0820985397546085	0.214523964324871	0.393530752201723	0.435167540549787	0.509648704762541	0.219250754831762	-0.163288469698881	-0.0380917818068331	0.535577789956426	0.53284176173658	-0.0259118594228314	-0.172731415314188	0.196484883351331	-0.162083356893286	0.367794619322621	0.508005082877784	0.640403003923845	0.156900429916915	0.517809356342453	-0.0193674251301542	0.0772222279842729	0.0787034305769419	-0.0192121777087035	-0.275991629436709	-0.0706927170466427	0.385933980250835	-0.0277441776994204	0.157189522569343	0.157237531639443	0.441880327774377	-0.0395091270380263	0.0328677025238336	0.0814824246095911	0.0873043655517637
IFITM1	0.676163028565759	-0.135743004907858	1	0.430028380985921	0.686373422872654	0.719013739297401	0.717244279060746	0.747992263211838	0.391154483860535	0.597414767195866	-0.0884370104598768	0.0384719142421993	0.131272474396829	0.534823246332556	0.394929505010128	0.298574493601073	0.414612789697604	0.230665490470523	0.41878880270398	0.519895163277081	0.107985694356301	0.13713783163621	0.310055248400849	0.284864587983359	0.395636482648042	0.226569758489555	-0.0313312666280082	0.222918959191203	0.476877513099991	-0.15798663735311	0.388365397040476	0.285086603614507	0.660626966737583	0.500080116834267	0.676303675815283	0.35190517882331	0.394244762247335	0.203725118417608	0.205014381519939	0.189282909698008	0.364357800424381	0.469981417930825	0.207361597374043	0.0357215796444796	0.297961018164078	0.423704656482189	0.316761886388742	0.240690765316693	0.33114914767631	0.367771281913444	0.152346227668551	0.236243190122499	0.344704009095608	0.293011115207207	0.219712858287912	0.0472634530543186	-0.00122895925648958	0.210621248392268	0.176983767561666	-0.0282261926863418	0.25401740039535	0.244468579385994	0.222814502884323	0.0925549578045565	-0.0477192008751526	0.148793407776626	0.452948684342925	-0.0278625124371409	0.254775607879769	0.07157128460307	-0.195058452866528	0.00874845318480943	0.394911957753457	0.295672087231456	0.265515994958473	0.113095156345957	-0.0266596887901164	0.0398208881691222
LAG3	0.382528987843529	-0.436700479410967	0.430028380985921	1	0.335611007945387	0.461070352370734	0.30902963223403	0.412975081048225	0.154375073578702	0.224683243493573	-0.393126052356811	-0.212131983697287	0.0899482240321062	0.173616082942279	0.769224827518424	0.813359709515802	0.522685987367748	-0.0610345995975217	0.753327861583393	-0.126540964166675	-0.0926531672204151	-0.246863502569733	0.366339374923228	0.69606416316714	-0.0231337869634506	-0.31261801980648	-0.264351722635038	0.264442099716575	0.59624831630331	-0.3908945059617	0.137886912803285	-0.0387487402628122	0.378772506704034	0.551012826394549	0.196617294930239	0.00341506669822956	0.0727721723563961	-0.159339629697582	0.0670236081849432	0.00494326433260459	-0.0545199172811259	0.273598600073194	-0.0584179927332235	-0.453350781353229	0.213096370775716	0.500509775059906	0.110395255173532	-0.316663254857282	-0.355698971388412	0.352668289655317	0.354885725225378	0.116482096753678	-0.318752085584437	-0.276475922905513	0.133870709538887	0.254362020459429	-0.05950308754686	0.450238254770686	-0.0560221249710533	-0.240082775948214	-0.392275105701394	-0.0549479495469683	-0.199189458841372	0.0319158912971903	-0.0616520211822469	0.0230639105906939	0.345267562807272	0.304885866484485	0.329036707211692	-0.0998242302092841	-0.163557026913541	-0.11942451472164	0.465267059158921	-0.111126374418315	0.413739983489618	-0.0668661622014208	-0.113019872319218	-0.0683105047208647
IL2RG	0.882957162747924	0.118822237481547	0.686373422872654	0.335611007945387	1	0.881627941554067	0.87644920614502	0.902344976605461	0.750555060492009	0.620293700066492	0.198385122166056	0.385812447561547	0.592619383497571	0.797924380570112	0.211562311091509	0.211078981917399	0.600897900868067	0.64865697509033	0.262213692723799	0.630269797524124	0.608580484003201	0.531498052809941	0.603447614367092	0.260962111483524	0.660678149569065	0.466594070861092	0.23496572331462	0.589876440241957	0.264385153947778	0.0961268047875507	0.665684615634686	0.605850591222553	0.787446113329048	0.793993732261683	0.840931078546309	0.60978992952551	0.801374147719989	0.268640114380775	0.674603716031533	0.666066443860162	0.521061404173543	0.815711956790658	0.405940644371018	0.287329281345472	0.607144399243676	0.560112039483377	0.687293553178966	0.414492103423613	0.413035776225821	0.726728261590959	0.440049925253555	0.35778746804356	0.503026697866123	0.538656403789376	0.369601605584606	0.386757917479575	0.394463782874814	0.381285300177869	0.315464881019949	0.356268698720196	0.334979184315583	0.391455209150758	0.572780908544497	0.264356076607595	0.316455811079309	0.324966347157421	0.694746354481192	0.182999557236164	0.484427381297008	0.486284392709636	-0.0485548503892859	0.258449043183075	0.474912281170456	0.532247711354374	0.450230218325681	0.261784358360071	0.198072919868735	0.333383293237637
CD2	0.887370975345693	0.066609763083371	0.719013739297401	0.461070352370734	0.881627941554067	1	0.914605951275677	0.932285523611966	0.619111269489296	0.710270441063516	0.146496110229858	0.221228019854279	0.52481462761041	0.806579751061756	0.427152908937833	0.388902061273051	0.731530419513922	0.559403142932095	0.417707803781795	0.524891913386271	0.455113843468592	0.2933048803039	0.496090441119787	0.409629914914179	0.519510171689151	0.378306792988051	0.224822161597483	0.495643774943713	0.433386571011227	-0.0964560510671116	0.596391928910728	0.507385002415307	0.856067952290279	0.777034829430739	0.796127617592017	0.476762521314313	0.698324088503704	0.136902871190366	0.541052250872342	0.461836118662393	0.433928295006025	0.768773339446753	0.352672097770856	0.19476462752809	0.530276746924452	0.595720871921586	0.621243431455366	0.365468953247625	0.330493278437559	0.680932740588667	0.366247425521167	0.21959607095167	0.360968132581625	0.363735356331393	0.187989258456223	0.230055449273062	0.170200768059514	0.268280099921136	0.202843440321451	0.208490795613313	0.305284314608329	0.200931595788126	0.38966018885178	0.0649495902579951	0.153059927260407	0.144120186531088	0.639954470091215	0.125583147279428	0.389221367811346	0.307646365517512	-0.241036554775741	0.0445954052040436	0.527161559516547	0.38172272197242	0.496757552313751	0.0662961578036705	-0.0271540147668394	0.110446635274885
CD3G	0.876317791778545	0.169653163108403	0.717244279060746	0.30902963223403	0.87644920614502	0.914605951275677	1	0.911553661760103	0.644660004366742	0.72985292091594	0.263432787117845	0.288422502573612	0.563417874389041	0.822534875066641	0.32033498632501	0.280274795292666	0.590065552528907	0.646905001419572	0.342109037380427	0.616317484609866	0.549074427273924	0.370225966301748	0.560205993814997	0.31861321465364	0.58082659325688	0.468563608712387	0.310741143983758	0.495051655357027	0.332462388898339	-0.0315737782215509	0.57604137147092	0.544960589422617	0.832372100862029	0.732808577725628	0.798737241938096	0.504473077546499	0.742122010153854	0.18677826215671	0.564619655521617	0.510921196646028	0.461407582660842	0.770951320724453	0.438897489061758	0.276971694533462	0.552213102847083	0.595602216914296	0.626172137657132	0.415044951914551	0.422522188260822	0.64711059593024	0.299690748081159	0.219118131437951	0.455031009551519	0.460060659197692	0.203965185179211	0.156271188829807	0.205865875738527	0.216430016747634	0.339052356482382	0.294734072343955	0.405154070381915	0.248424429833592	0.489498695106533	0.0759113697087997	0.162563863505051	0.173118904705284	0.623576027689646	0.0814016719075624	0.366471916175123	0.371319834252955	-0.228730607140871	0.0681193876799072	0.538818490094763	0.467257080077442	0.466849146112143	0.103611334819129	0.00460963801170479	0.138758020653407
CD3D	0.885566945956599	0.114541686935489	0.747992263211838	0.412975081048225	0.902344976605461	0.932285523611966	0.911553661760103	1	0.644466545789393	0.68495075149079	0.202835640218864	0.27189793126824	0.515303162947556	0.764581668702061	0.396141796656769	0.343633931245144	0.65368865907823	0.571220203482386	0.417995657990205	0.628810961833636	0.471754831688806	0.351449855619993	0.544456650408423	0.381281443072076	0.574900584457271	0.36559907446875	0.224854870633872	0.478946767671603	0.409819626730532	-0.05329901483855	0.590289013295361	0.536007637899697	0.822711493781378	0.768543821014564	0.830006331915645	0.468289378766687	0.706887006770839	0.207969211504421	0.548898275757465	0.511450790768013	0.498236261099171	0.762097284957365	0.363952743288939	0.215157710457029	0.50031801041274	0.58335302115441	0.649731401236234	0.37839597622979	0.387764615633732	0.655973922663541	0.343585335001406	0.271814597034221	0.431206454133181	0.442274182375054	0.274852558009128	0.223210226172473	0.221727272971309	0.296875803812396	0.223632066007447	0.214790901970068	0.308093169153529	0.294283452762393	0.468751124562031	0.138595634142281	0.139132625784822	0.200017282599312	0.641326664855105	0.0730583463118714	0.375823562031151	0.339588446748294	-0.191501381492127	0.0973725036014905	0.524872201346334	0.428621109768417	0.450448310700241	0.143071932375629	0.0303670239967121	0.145923908957529
ITGA4	0.794969661577251	0.217002304263085	0.391154483860535	0.154375073578702	0.750555060492009	0.619111269489296	0.644660004366742	0.644466545789393	1	0.410750594329216	0.300752742206928	0.583983906068201	0.628726018543526	0.645837351756136	-0.00170876671988575	0.0905782015144528	0.382984754137673	0.688820755523324	0.0859233194150571	0.602872572730722	0.649443074591284	0.740682701170301	0.626057010178459	0.200635481969082	0.756584252365135	0.548422329221602	0.321566777734932	0.597979095502454	0.00717305441006866	0.397224068954409	0.695476269717506	0.675276303389716	0.561380881460471	0.597474068602402	0.599110143856986	0.695726556417504	0.718889696205626	0.612824046723007	0.644475266492162	0.775210702148902	0.579590186771391	0.695132656871675	0.501869289789094	0.349060335652567	0.660809340928345	0.457570950671111	0.658089278864	0.36242532924536	0.427109742149914	0.659605685922949	0.532033428741521	0.689347013435324	0.612580568259913	0.719252533948362	0.689753785967565	0.552031339500515	0.616821491457626	0.623593547266914	0.547528960841384	0.578992703541091	0.291913069494625	0.700750197619825	0.754754463363809	0.63952352753763	0.545339623999459	0.691045180058796	0.74248374748349	0.234351161854902	0.6088351641242	0.716987850093138	0.356506739756053	0.603948944959849	0.427764403532552	0.800474930081751	0.47299401231027	0.570039895702255	0.570809401574878	0.589214747709399
CD6	0.654415430989412	0.131856811879829	0.597414767195866	0.224683243493573	0.620293700066492	0.710270441063516	0.72985292091594	0.68495075149079	0.410750594329216	1	0.159382237974251	0.162196895266203	0.342185457923857	0.665613864946348	0.185292949066181	0.130733450569046	0.424167813480646	0.536125400378148	0.167065232231735	0.517580934423406	0.244053975066396	0.201592304987103	0.341259873800097	0.187221050455285	0.438150874321721	0.396304562650882	0.253292149412924	0.261757251400157	0.295159160529888	-0.0520885024761429	0.430057535919607	0.299334312687533	0.665784806808707	0.447481328519008	0.709850725119628	0.444341272444358	0.480206356020407	0.166737757289518	0.295562646684528	0.243696333227659	0.36155164649618	0.442913194687302	0.397835931407108	0.270942631125023	0.328734442943817	0.399566191632809	0.391977235663841	0.546460874959631	0.444190594560452	0.41242556918886	0.140807946799878	0.0769032807320921	0.471147625547314	0.395969401988526	0.0350256653954835	-0.0233957778339109	0.0248542017475686	0.0285412501335711	-0.00353553836394847	0.125464735932421	0.522910683470801	0.166430152297752	0.314311083460626	-0.061022627052394	-0.0205913660468119	0.0162968678916041	0.37030069282242	-0.01595357901287	0.302200514903236	0.15692664216089	-0.303099991435075	-0.051864174028639	0.304478244839234	0.293687628329936	0.216925932756761	-0.00149132821488182	-0.11508364455621	0.0385883958130556
