""	CXCR4	CD2	CLEC2D	CD69	PTGER2	NCL	LAG3	RPSA	CD44	SELL	ITGA1	CD3D	ITGA4	PDCD1	TIGIT	CD3G	SIRPG	ITGB1	LRP10	PILRB	CD96	DPP4	SORL1	CD46	SLC16A7	CD47	FAS	DIP2A	ADCY7	PTPRA	LAMP1	TSPAN14	CXCR3	APLP2	ACTR2	KLRB1	PTPRC	CD74	TRADD	KLRD1	CD6	CD82	TSPAN5	CD8A	ITGB2	TGFBR2	VSIR	KLRC1	CD247	PTPRJ	CD226	CCR5	CD8B	JAML	S1PR4	TNFRSF14	TNFRSF25	STX4	KLRK1	LY96	RACK1	PLAUR	CCR1	CD63	TNFRSF1B	PTGER4	JMJD6	HAVCR2	ITGAL	SIGIRR	ATP5F1B	GPNMB	SMAP1	CD81	IFITM1	HLA.DPB1	CD9	C1QBP	TNFRSF1A	TREM2	SLC1A5	CD4	CANX	LPP	CD68
CXCR4	1	0.798126781584212	0.67296228149592	0.651556099162794	0.455756294872261	0.495872467746233	0.730465229715502	0.411598940362913	0.377971244538132	0.174314831655699	0.647333976407176	0.859098678361681	0.435088551415139	0.656856251138046	0.820617136372074	0.829475704849353	0.834768945681025	0.138680170958389	0.275371134635572	0.609246847075352	0.84255439779348	0.309676983194615	-0.414558552953791	0.315112656574675	0.872983843836163	0.60364961392731	0.353893657586747	0.256727125914816	-0.146337139910042	0.179646248944403	-0.0614624556643057	0.42627506744568	0.827973038858249	-0.284307711054372	0.331633833053919	0.176878033124352	0.870710804986912	-0.0730687448604389	0.329978348318636	0.531685235087446	0.845646394606682	0.748886446810462	0.669467404109876	0.818627402320288	0.118169730347667	-0.0353921611127135	0.0959409709065326	0.420293265681547	0.826510968048012	-0.0783262127442104	0.528157967028505	0.675669367844983	0.756363904240963	0.770325863920605	0.408058413126436	0.132613093949588	0.1038352025453	-0.13684461128481	0.831181754801721	-0.289504819425423	0.167794379246732	-0.346200796932036	0.062548859410015	-0.123491599712242	-0.101357421031375	0.534708523564982	0.361611351317111	-0.0975538461921164	0.643642527163935	0.798609020505426	0.426540641671461	-0.425359263781815	0.0916878668846185	-0.390449619543874	0.825903126727917	-0.0265396700385759	-0.42322591002224	0.403390169185588	-0.076858616668999	-0.13841064395228	0.463922708690295	-0.179055445561708	-0.0852468248721369	0.0156917704221058	-0.309095485770503
CD2	0.798126781584212	1	0.659386367388483	0.472471229958572	0.547416138719774	0.172846000866009	0.871131777718487	0.108080344677378	0.0755108452291575	0.109231080410605	0.793318040732592	0.940862202849188	0.137204619662482	0.859792661248088	0.912715245220751	0.931722605773047	0.82175219195877	-0.171705479981837	-0.0251438247205647	0.71089511841171	0.928497015005104	0.274955634259721	-0.671395923245025	-0.0820639434703661	0.737286034913923	0.470390821126793	0.200043018165233	0.292634246545535	-0.314135489802985	0.0670285722727971	-0.430613822876028	0.328715773486273	0.951376157085686	-0.582615747329981	0.00738811033604453	0.281300619814664	0.833400890048233	-0.383392220844457	0.273016551930295	0.751272515984358	0.881984600388557	0.671127208252465	0.749940114898666	0.917710137975902	-0.218241222659044	-0.264319330701585	-0.246951078177739	0.622520717959087	0.871524319504044	-0.280491214131889	0.796577431922951	0.685568838348683	0.799189578628726	0.64519044799487	0.284994425747901	-0.0216663520123956	0.204663765678025	-0.422599898200351	0.871652508853845	-0.588203077652359	-0.20245687781491	-0.654725276589794	-0.207094107873197	-0.432049840503651	-0.410404598106349	0.144572733416903	0.197828451400201	-0.399033979175281	0.413105440082614	0.604115323621331	0.0848860711750797	-0.636072224314038	-0.331342953556639	-0.554027471836383	0.846960884673942	-0.372395686948144	-0.636073027334447	0.0964119625882782	-0.405470065248657	-0.394166150516391	0.073990833444187	-0.426997803985777	-0.428720371848676	-0.248546811759002	-0.611330775863935
CLEC2D	0.67296228149592	0.659386367388483	1	0.811134605371076	0.80281732897809	0.269992380097461	0.505393774785646	0.514734064802073	0.218899684703995	0.606655039881236	0.605714705842086	0.793863934853897	0.429757593010786	0.538534858910367	0.617083433603341	0.728691770112199	0.757985320762312	0.208723323319774	0.184248554484745	0.52085382607175	0.759272668598899	0.66655383407296	-0.440844832601661	0.176192037733468	0.61489615904766	0.608651066104368	0.536609763026436	-0.192614818595697	-0.335224548833575	0.0991404098087231	-0.303094242224433	0.418436587293538	0.646476618956308	-0.477684048990746	0.0293494356432987	0.724481553298265	0.621312697447687	-0.322749973578374	0.549190954505266	0.611633871699158	0.679397616611221	0.628133917050454	0.700645702629285	0.637211204866183	-0.161354381927476	-0.432801252926313	-0.125750666149581	0.64120944067961	0.822101298942068	-0.212432799038559	0.647386506366546	0.192015464303907	0.754060868271512	0.75569326026585	0.696189585703821	-0.0712143950905724	0.653511661846865	-0.22770071592547	0.719673813881647	-0.545243531303576	0.186932190264381	-0.540319212581644	-0.367094619235625	-0.363610397875172	-0.343871053869732	0.285800745565362	-0.226985782547989	-0.401596004127801	0.637329385305945	0.758142178756573	0.15282952980866	-0.613615679893956	-0.0466392504645316	-0.551218434598505	0.762274843786297	-0.3064941463148	-0.492238080999361	0.25885323376221	-0.297459755221536	-0.343792190342965	0.138495190246563	-0.373433017584861	-0.377334475142273	-0.0421316206759672	-0.560691124666592
CD69	0.651556099162794	0.472471229958572	0.811134605371076	1	0.730494026594403	0.382900439145765	0.33257138422487	0.701489032156069	0.283887340892877	0.742672622246261	0.340234304746595	0.696993308384523	0.578974960592991	0.275913497087667	0.408422497012926	0.631332376608263	0.708273367989608	0.425215694837998	0.437503055479479	0.395061920738869	0.581520075323283	0.596198510074374	-0.220613015070736	0.400890590342306	0.571975855638257	0.673122994286823	0.722863182504688	-0.221955642576039	-0.205255542652706	0.0982099650723521	-0.196465317699958	0.38128926167968	0.489352471099189	-0.302589739071231	0.180935497701154	0.652345164329408	0.551644012236658	-0.119712230093543	0.676444055395508	0.373064366117892	0.556139693216645	0.511737102707447	0.59454019946319	0.527820922997536	-0.0266373758613635	-0.245665556075174	0.0743776360876113	0.380761857298503	0.638963236609566	-0.107094148573455	0.513966259351204	0.17486998798049	0.753150109270499	0.762008294736251	0.840903383582947	-0.100620905914047	0.616732239436717	-0.00497153663864515	0.577438252084751	-0.377196968385211	0.422546916313655	-0.360414777631823	-0.271327248647664	-0.250224824748877	-0.209036103555188	0.594670791699177	-0.0747001515045659	-0.285949894666054	0.744275331148817	0.714082912365434	0.306311147908124	-0.588423799047354	0.139246915253738	-0.356219437453357	0.746359807949013	-0.0899539216180599	-0.45086182542181	0.393573958677864	-0.13598833622084	-0.144093316248056	0.274502141300005	-0.154490681566084	-0.185253189899769	0.159657995688169	-0.413211922822435
PTGER2	0.455756294872261	0.547416138719774	0.80281732897809	0.730494026594403	1	0.151737361072805	0.200405697035124	0.569249089005679	0.285942514906105	0.777126191538073	0.284725682189993	0.647537574146842	0.380990021792335	0.340328661563626	0.458252976654491	0.624512171534822	0.524987658222762	0.224068924280216	0.248315638818945	0.502485517665192	0.528847941092695	0.780879704820093	-0.36523846939252	-0.0971067422330663	0.357728785257208	0.541269369266482	0.620218138878303	-0.207449564498683	-0.422690078115528	-0.0636144424932553	-0.341071184138394	0.465958264563808	0.570853596488825	-0.491431971992288	-0.145135306132553	0.774230578637802	0.388780719356773	-0.376146099329965	0.788260999150448	0.498595682664994	0.628839680221229	0.457748673087137	0.672823112895563	0.387163674371253	-0.299908332837787	-0.365265239736947	-0.162521705167046	0.558106686568829	0.573618971221821	-0.113998960859548	0.622897368477246	-0.0968226622909755	0.573850048078388	0.680727515018447	0.776316849595111	0.0960676995949302	0.800503630676252	-0.261896515717356	0.435125598187951	-0.526682512812526	0.270049298153468	-0.512174516225137	-0.540476283210547	-0.440626410902204	-0.30508952868373	0.305670692803523	-0.39228506593997	-0.511440196104447	0.549333901283311	0.685803413603262	-0.00361679951271935	-0.58501138381032	-0.11091638882343	-0.553415663586192	0.619566165065659	-0.356512185784699	-0.466863615407445	0.196866755939765	-0.374824215102124	-0.395488964601095	-0.019039640937304	-0.331890489548946	-0.429605653490889	-0.00402190721302117	-0.555011153450972
NCL	0.495872467746233	0.172846000866009	0.269992380097461	0.382900439145765	0.151737361072805	1	0.0392010525058643	0.775728121376513	0.66838886777587	0.106635145552326	0.099065852302484	0.259477100801823	0.863614899387108	0.116673669441407	0.278512256240213	0.183634958128434	0.364434730455478	0.763575867270003	0.803241680255373	0.418877690820289	0.290152456989562	0.113075857160768	0.445176799209948	0.603303023008765	0.545083335562229	0.794006074315267	0.303854133939155	0.398987264267769	0.442397706121439	0.604569577267928	0.651966441165358	0.661415027477695	0.276907886847073	0.575840857862949	0.922021702841603	0.0317985935808003	0.588093828078677	0.71582877191682	0.446008510967273	-0.0206659356215606	0.427589635369378	0.655553973976318	0.416881749064847	0.130136010594734	0.820138167139729	0.588168202843573	0.807834946490092	0.173514148053807	0.290007105772561	0.673272965997914	0.113708863129825	0.262515481864493	0.0552730474294639	0.513829194372759	0.142105803510222	0.238585025876488	-0.0527882719645255	0.59019580399729	0.220377543385436	0.475091396227676	0.771262712916413	0.4605864801222	0.611588475190192	0.681379239197578	0.535898920763776	0.719802717383466	0.465679164584689	0.625871156199928	0.626815015953003	0.598811797661315	0.948487120576293	-0.0249852297868374	0.678212781043621	0.425087083460582	0.288636405788801	0.728975645497347	0.280190332971001	0.974610939791661	0.734200730150961	0.675644227646777	0.942994334303497	0.65047319832281	0.682944478581491	0.61281324376169	0.36947287942551
LAG3	0.730465229715502	0.871131777718487	0.505393774785646	0.33257138422487	0.200405697035124	0.0392010525058643	1	-0.139157924600268	-0.11544607734349	-0.127346997344771	0.848026092226091	0.826351723243287	-0.0580203085031654	0.7945642690879	0.772792875648336	0.828684378622266	0.779297930155631	-0.340785677222263	-0.224975229467755	0.484249455894646	0.87014685374172	-0.0205536808372073	-0.724192538491789	0.0142478115018724	0.689699209949289	0.226403655906578	-0.0688596573099606	0.247846265778444	-0.299932820355572	0.0941721525372844	-0.448236437800252	0.0561474999746798	0.809620546307573	-0.579615291659061	-0.0354015758404903	0.114914845055849	0.738338296928489	-0.41076296732154	-0.057579089766289	0.687221233484898	0.684097575659085	0.535851629948814	0.474224937417277	0.942656307335864	-0.240774076992498	-0.290109192900393	-0.338633731040852	0.512920622473986	0.825942641143214	-0.435776616017597	0.620567812822507	0.83624815637926	0.780644247970771	0.463531107804328	0.106964104011143	-0.172521373226672	-0.0732684994553265	-0.468422460034987	0.897292624289564	-0.558107259850459	-0.390853526563499	-0.629149698486793	-0.094678366363388	-0.414715823389548	-0.449955985295855	-0.0190670060433035	0.328335934768505	-0.356238923636599	0.299732677361547	0.396149826687862	0.00601768184839019	-0.50263486117433	-0.406279929410949	-0.523648946560833	0.777799853221235	-0.396404468569478	-0.580247402039044	-0.069208688422823	-0.415957633573413	-0.414803078711246	-0.0246662597722921	-0.512571108930615	-0.431044271234258	-0.38572964823708	-0.538675233599039
RPSA	0.411598940362913	0.108080344677378	0.514734064802073	0.701489032156069	0.569249089005679	0.775728121376513	-0.139157924600268	1	0.703755028998754	0.66063459900413	-0.0751738905413686	0.313441527964479	0.873378021173215	-0.0451915406571459	0.121199996212094	0.246921151895428	0.39426366808817	0.843533530197427	0.822779344660421	0.277467912363208	0.216290412208431	0.521348404072764	0.338751975531445	0.550821837472192	0.374212185900086	0.811727577685764	0.614368365056203	-0.000360226230937534	0.123961369339904	0.363187894912672	0.427406113195274	0.64478430901246	0.208932295282783	0.311213412805097	0.58798751228036	0.457878981056964	0.382783878897227	0.420117437846118	0.799844669691722	-0.0485827461095108	0.392033510418475	0.499738089996183	0.453101692640651	0.0476483999869195	0.495419347686859	0.292107628483864	0.617739788696857	0.194028390488791	0.278189163955601	0.453558622744751	0.222160058917858	-0.0802712944127829	0.217716561833347	0.672094434970313	0.63500901218963	0.287836955826856	0.459838008805398	0.4496832995188	0.141230507576175	0.238173560721766	0.909948073282459	0.265335005408782	0.184007485152808	0.370564090502718	0.383671188091185	0.748026881764448	0.0484906760989787	0.271820917996318	0.737471166111197	0.700836512908334	0.689871555885695	-0.133184648997073	0.633879226012469	0.106058964707987	0.380918753311704	0.452432578286594	0.124840424582055	0.822876143596744	0.438545985795158	0.369668790280688	0.666438888007354	0.389891364989232	0.409443590086923	0.535350490260873	0.165252862032154
CD44	0.377971244538132	0.0755108452291575	0.218899684703995	0.283887340892877	0.285942514906105	0.66838886777587	-0.11544607734349	0.703755028998754	1	0.25552968809191	-0.0840212512389517	0.139749956832043	0.632392189707391	0.0355633098063538	0.143249193851736	0.126456336622685	0.166051997748618	0.629660826795204	0.72780651103646	0.274257603678317	0.101519667655163	0.260384150485515	0.376551025903711	0.423258238712965	0.270756814213854	0.541542492089043	0.304356461184286	0.272176812218126	0.273143838976002	0.486942568631553	0.617424497828436	0.685242704890057	0.148554295509275	0.42993865310487	0.521426559509431	0.101985153851701	0.323039087968372	0.470107399156947	0.561871826389915	-0.128181027834683	0.32453014858523	0.465674854919401	0.236500637060874	-0.0224867552018073	0.543821939961741	0.552644319140881	0.625103223590785	0.0642730309941225	0.147690134335453	0.586769264913033	-0.0210009972757131	-0.0589398168060016	-0.0827921566400854	0.496668527176535	0.200845364826305	0.706223271160014	0.0927747401066932	0.454864103632254	0.000582099317981108	0.4625379003879	0.782696683350888	0.454751890983584	0.379035686226112	0.505924421821008	0.668671457058327	0.711038329270353	0.206425567010671	0.468374529526865	0.482553343206466	0.65403082214356	0.578492233734087	0.272976295558713	0.690133810805834	0.164434377662063	0.110963442875617	0.543923154599128	0.385687874943607	0.668443580953182	0.529372446993779	0.361374722752825	0.604815810075975	0.405121025008263	0.544365458474878	0.455493351454682	0.43954169629989
SELL	0.174314831655699	0.109231080410605	0.606655039881236	0.742672622246261	0.777126191538073	0.106635145552326	-0.127346997344771	0.66063459900413	0.25552968809191	1	-0.0954049687617287	0.340135617184646	0.379224784842404	-0.0983136488939289	0.0277977106031678	0.324577819436443	0.349228208294188	0.422941722053122	0.328627718467865	0.0605633709576076	0.172228450473719	0.700681834893814	-0.0952347221799701	0.161068401685863	0.102245017479413	0.4447806610102	0.694853046234156	-0.47670894547238	-0.338217705196067	-0.121605000137035	-0.203413606173584	0.25671275922975	0.137364139260176	-0.283458473242124	-0.137612887709167	0.734320253867439	0.0442372800614999	-0.255218300716557	0.760943925532926	0.0685424206590918	0.248453778806716	0.108293773932721	0.389075611621588	0.079321549325436	-0.232434855499724	-0.356299267801526	-0.0639339486327592	0.216231707703509	0.278178452672434	-0.10013794347462	0.305350799835816	-0.330830923876029	0.418400930624073	0.55902338626401	0.925023934915981	0.0213174450398258	0.82294588806529	-0.10811634488641	0.124936356474127	-0.354818600302217	0.439955704025886	-0.285097604019599	-0.524897064916575	-0.317610692978831	-0.204346568389392	0.344803715380375	-0.504137424448425	-0.412525956221941	0.517263274989784	0.448688118441365	0.0323834543076912	-0.393302928636264	0.0755855192697033	-0.370238447431483	0.396430844136464	-0.231994323859769	-0.266487003937318	0.199251149569287	-0.236103020148379	-0.267687023230975	-0.0437083691614846	-0.202722239231255	-0.247029124083278	0.101256183181818	-0.371100951784649
