""	NCL	CXCR4	CD44	LRP10	CLEC2D	RPSA	PTGER2	CD69	ITGB1	ITGA4	CD2	PTPRA	APLP2	PTPRC	GPR171	ITGA6	LAMP1	CD47	CD3G	ACTR2	SORL1	CD3D	KLRD1	CD74	HAVCR2	IFITM1	PTGER4	CD63	RHBDF2	CD46	C1QBP	CANX
NCL	1	0.924465211658345	0.643339890301842	0.918206244838868	0.676719940510992	0.814110310199301	0.869145368957654	0.804093793868171	0.908979277706476	0.171815101311265	0.839914518675323	0.668360260324509	0.851955619749025	0.702951486486798	0.371684990694684	0.223729985564664	0.777905098836427	0.554700465728119	0.88048382459199	0.491485489167127	0.816617047905457	0.203588419254737	0.567711915604289	0.771225027357909	0.417368903882732	0.827423257761247	0.679089047666521	0.862323933937699	0.751789191974874	0.511007601656408	0.500943761751113	0.546737838481194
CXCR4	0.924465211658345	1	0.801485844286664	0.883025612172261	0.747877514309687	0.675336894565641	0.74286525034691	0.816812109045823	0.875681676486385	0.344346535063101	0.847045725189753	0.796574523098327	0.840668952021742	0.864269406684481	0.504178519214454	0.39315823644681	0.64530706370032	0.658743051625485	0.770565666396981	0.595962005309741	0.819302609416077	0.374302620868388	0.642554295019538	0.7494938063698	0.538143132403077	0.844173462439359	0.818918835800824	0.709258550911037	0.790840392979916	0.592449222597576	0.528720885319856	0.615046190772574
CD44	0.643339890301842	0.801485844286664	1	0.742583095060559	0.850215912358146	0.588152114619304	0.557243770767147	0.578266700352088	0.672430221083658	0.650491664648792	0.835950125606204	0.638575646900755	0.495750948393108	0.812522039011192	0.847865315932133	0.646003827071877	0.16566017576479	0.679349478214456	0.548726584596825	0.169453130464704	0.359347070814596	0.718074948954915	0.84053521139533	0.275703497090797	0.0915777145488937	0.916026816742843	0.768976007177822	0.384082801100753	0.336563250386599	0.229273532485198	0.591682392681487	0.534851219680717
LRP10	0.918206244838868	0.883025612172261	0.742583095060559	1	0.760801350487543	0.829354345594193	0.903933814210757	0.773158150731642	0.807236835645138	0.189843798165544	0.855983705406036	0.604686641374545	0.722897194282992	0.617479441276675	0.492769587412802	0.164763095223381	0.645912250608568	0.489157116326407	0.886385746703662	0.37103232908781	0.680157279267592	0.248978179104409	0.624139026990999	0.623267958552579	0.270249337119712	0.879445050682503	0.702342136839111	0.788914807751636	0.607220289562101	0.365838594154492	0.419263038161296	0.43829395686081
CLEC2D	0.676719940510992	0.747877514309687	0.850215912358146	0.760801350487543	1	0.559902210564658	0.660599210543108	0.69444148815975	0.580947837106489	0.409235329899489	0.815148739035015	0.767434298476996	0.60008009043507	0.758500508147385	0.867810230200983	0.379066789331222	0.380352424218401	0.661511217322489	0.67821108278344	0.132053325713618	0.335143736193038	0.522809305062385	0.895229395140043	0.23502995536982	0.0861529569176515	0.88885802103192	0.873307012866061	0.514752012373152	0.406051777192919	0.137302123101923	0.396862282731985	0.268114931033205
RPSA	0.814110310199301	0.675336894565641	0.588152114619304	0.829354345594193	0.559902210564658	1	0.704351555478604	0.52043091276424	0.825152075904456	0.314542911030797	0.760262718333545	0.292899559154002	0.515985416110638	0.457052503405257	0.431950419527436	0.288320672363397	0.519035890553807	0.427808909355912	0.686464814942852	0.135084645922718	0.482978899635814	0.345770704802972	0.539264685791591	0.546685237172159	0.0105863347380239	0.803716066555781	0.408272825711128	0.849998556925671	0.346935974841566	0.182034144906806	0.64683858830857	0.541974472004031
PTGER2	0.869145368957654	0.74286525034691	0.557243770767147	0.903933814210757	0.660599210543108	0.704351555478604	1	0.782028157048203	0.669900080753405	-0.0452560572565696	0.789457213492965	0.529281625468708	0.711935718673752	0.452494456594779	0.318591387777401	-0.0158201804933028	0.687944375891954	0.365113445144327	0.972015855459232	0.23473290601367	0.611664644849277	0.0114423474165706	0.520280114741942	0.493308816392371	0.146027758729375	0.770174311886861	0.598896469246945	0.691850761465488	0.548925965150905	0.236880758124927	0.191531948359627	0.182941754428006
CD69	0.804093793868171	0.816812109045823	0.578266700352088	0.773158150731642	0.69444148815975	0.52043091276424	0.782028157048203	1	0.697400750602075	0.145784541020794	0.821970397104181	0.787193541306143	0.781455639845716	0.698655770562091	0.366032613909515	0.162606026222264	0.759774584095682	0.694354481025151	0.889900322587607	0.408242005364368	0.701298476453097	0.164611114450343	0.602877731510672	0.566025603766801	0.428999654879942	0.681979380196976	0.858327424890682	0.582119969689478	0.755061714326828	0.335311438552025	0.277113141292068	0.186446216734465
ITGB1	0.908979277706476	0.875681676486385	0.672430221083658	0.807236835645138	0.580947837106489	0.825152075904456	0.669900080753405	0.697400750602075	1	0.495215764982468	0.863856291227065	0.516383180882614	0.720223726072602	0.727792748796721	0.418097582951028	0.508417118803923	0.592874595691969	0.725141745756817	0.714775399661673	0.392388142762468	0.70002632749245	0.485545544527106	0.627655858240087	0.707117047552563	0.342063687390762	0.804004744502077	0.580086639923915	0.749764952730659	0.619157860978002	0.460977474628073	0.783054161543919	0.700533148224097
ITGA4	0.171815101311265	0.344346535063101	0.650491664648792	0.189843798165544	0.409235329899489	0.314542911030797	-0.0452560572565696	0.145784541020794	0.495215764982468	1	0.547324474035533	0.12874939319601	0.0250600171481574	0.539030569049421	0.675208965434471	0.940652617498379	-0.277730226689114	0.755438081816683	0.0189219971760664	-0.156812076810119	-0.0967392107775237	0.981738646313387	0.702569969769048	-0.0739917365479506	-0.155770566497599	0.515473050454351	0.317504624194383	-0.0329218945281702	-0.105184128360369	-0.0454869729631647	0.82759197105779	0.510234062394042
