""	CCR1	SDC4	CCRL2	LILRB1	LILRB2	C5AR1	TREM1	SIGLEC10	CD163	ITGAM	LILRA1	PILRA	APLP2	SIRPA	TNFRSF1A	THBD	TLR4	CD40	TLR2	CD1C	CD86	CD9	PLXNB2	PVR	CANX	TFRC	HAVCR2	KCNQ1	NECTIN2	CD53	FPR1	PECAM1	ABCA1	ITGB2	CD74	CD81	CCR5	ENG	PDE1B	DPP4	CD93	SDC2	IGF2R	TNFRSF1B	ITGB1	TNFRSF21	CD4	FLT1	NOTCH2	KCNN4	RXRA	ADGRE2	CD44	ITGA5	CD99L2	TMIGD3	STAB1	LDLR	VSIR	CD36	PLAUR	NOTCH1	SELL	SORT1	INSR	GPNMB	NRP1	TNFRSF10D	TNFRSF10B	FFAR2	ADCY7	IL6R	CD47	STX4	ADRB2	TNFRSF12A	PILRB	LTBR	TRAF3	FLT3	LRP1	CD72	CXCR4	ITGAV	SORL1	LPP	TRPM2	SIGLEC1	TREM2	ITGAL	CADM1	NCSTN	TNFRSF10A	ERAP1	ADORA3	ITGB5	ADORA2B	TLR6	ACVRL1	PLD1	DYSF	CD300LF	CR1	SCARF1	CLEC12A	ASGR1	TLR1	AXL	STX3	RIPK1	S1PR3	ITGA4	SMAD3	TRADD	SCARB1	ADGRE5	CD226	TSPAN14	TNFRSF14	SMAP1	RHBDF2	IGF1R	SLC16A1	AMFR	MCFD2	LAMP1	PTPRA	ATP5F1B	JMJD6	RACK1	PTGER4	PTPRC	ITGB8	CD68	TSPAN17	SLC16A7	S1PR4	CD63	SDC3	CD2	CD69	CLEC2D
CCR1	1	0.520606917119883	0.307198501233744	0.463624984846071	0.435567195376836	0.912955296679168	0.684864213895935	0.482148758114385	0.955027174159649	0.422318315397057	0.0911411900332495	0.89174856608997	0.940872709739518	0.957597451487676	0.911477497205225	0.650048838329729	0.897695266944528	-0.0472044914025692	0.155657432201542	-0.231722031741209	0.340153015064767	0.890965686418104	0.604074780533261	0.598176404134808	0.907950723864958	0.778471213925472	0.905683089429072	0.622063888925563	0.466850854745201	0.800806779296455	0.137993792545851	0.873251574483976	0.91275423945088	0.747173076107849	0.0191455592552005	0.869370099899665	0.751016132577052	0.862722896917555	0.832498666690966	0.824136854907151	-0.0104957068601839	0.908472718850815	0.895849790750439	0.280404819421134	0.929257970863626	0.851119505267897	0.612797031495453	0.165045295755699	0.71049601276234	0.313823912185049	0.627942862612457	0.148230277854315	0.501372194183514	0.78059779279033	0.832288743909793	0.872196399912039	0.899332604620824	0.0295819749886504	0.0416014279232648	0.851094321987687	0.862143449641716	0.367530030864754	-0.145832103576703	0.927845172818968	0.217055943475805	0.861193882115322	0.891089568690303	0.677851415197319	-0.0331335467446335	-0.0703287226603171	0.399171684786022	0.69309395573751	0.68371597709669	0.726692852536526	0.832460110553919	0.837459602434418	0.60199342792431	0.875411830379305	0.648736327460195	-0.250706190648812	0.886763969269344	0.29316856057242	-0.126226453935268	0.940730012881226	0.757784221640819	0.783536780942882	0.84984306219894	0.828317109871213	0.871005554107697	0.39048727356384	0.795102007650466	0.896447774662697	0.0986135729552982	0.821399568174184	0.807764234247134	0.813570567233794	0.861816142086677	0.813132741734669	0.868360587441358	0.859544165183758	0.850651571430204	0.754134234692767	0.86176265690246	-0.0730114312378299	-0.107114623961987	0.901998706524049	0.767340752443816	-0.0712260776916174	0.858467835948653	0.679733204356972	0.11741329179766	-0.0853514006912158	0.0359158973325971	0.232117258484462	0.757591216682775	0.0620161031197459	0.0871122717020795	0.913083828423377	0.805688728276017	0.777769258103895	0.722723238239776	0.719691099335559	0.693290300512669	0.876468573812782	0.893156307772092	0.888176263709753	0.789735655789844	0.720735297126671	0.546249952489868	0.46058905759477	0.0184342692854005	0.108098316450425	0.556822540569519	0.901811304816832	0.798449635306466	0.161509791811472	-0.0850882860031096	0.908444477785772	0.851306653162943	-0.143773639993774	-0.241399329937491	-0.0505427401223884
SDC4	0.520606917119883	1	0.73736813138466	0.867682894382267	0.712923057198904	0.518182322741473	0.816152644406888	0.509947793375208	0.491229284569142	0.799356640886947	0.629127176259812	0.434246632607192	0.314068845863837	0.651885081335283	0.577643271041869	0.899257091712195	0.428596084758712	0.238124312912516	0.689443679940791	0.0221788389403595	0.5059827782647	0.286593612007401	0.634680189677353	0.83388085767499	0.436996286846866	0.439252454628996	0.499084019669105	0.203935264554922	0.408131319977912	0.793231720816049	0.58859586633063	0.396090283690925	0.309515334551736	0.456029929584941	0.160308507869134	0.321794451114575	0.563168272236619	0.608648500854691	0.231179712026081	0.126671985230535	0.539442420906789	0.257772380947751	0.223543913153129	0.768618404940091	0.575520695387278	0.221293589428497	0.411743661831832	0.785774430283064	0.512062708254721	0.805304341006639	0.794937014975189	0.740161960151852	0.863826332794378	0.790400144350521	0.229727509956739	0.182886652294578	0.237074925153412	0.221326764519534	0.365441734640816	0.123339442045482	0.499057152135973	0.668743491048512	0.18444097992551	0.485778865286628	0.153389214306401	0.145087971520526	0.250196095256165	0.82266179102986	0.467339366120359	0.301653326906843	0.30454721954522	0.821848381394486	0.635107196809378	0.545049832742699	0.570602507412805	0.537568009957852	0.364339276580271	0.469790335215701	0.7899132025443	0.0661367945026377	0.244008050680754	0.167528324746485	0.302477863700005	0.509502183239285	0.249984568997658	0.449026992752802	0.286428165465531	0.113327587720132	0.173690323222348	0.581510365155269	0.124739964907804	0.349885018157963	0.663059393828619	0.4692265669436	0.173957338069301	0.203164620215592	0.451255221830237	0.352689644487347	0.409339872867936	0.288051552394339	0.215868776154173	0.423652533047107	0.179395617376836	0.568614796114061	0.357056766142791	0.29264842081853	0.292581966482127	0.13724081291373	0.26737298293039	0.337030902763334	0.710217296556004	0.209660879847423	0.399653510923246	0.263352165532496	0.176390742961421	0.770200358171162	0.198557603502333	0.558568788975484	0.373697783474511	0.465994259403081	0.809066800442994	0.334385163523961	0.577741989912768	0.366171961932413	0.336302282336273	0.192180130647798	0.439736756881784	0.579344204885831	0.671656002949483	0.575428157138517	0.254522415200746	0.365862729278762	0.656785671434229	0.232153552203309	0.591399629677686	0.52827625922568	0.480060400526945	0.299544568246756	0.143046155332577	0.121551902849891	0.129902465991399	0.157388700465454
CCRL2	0.307198501233744	0.73736813138466	1	0.823270624797852	0.649867112259368	0.423940618005375	0.72616426526719	0.227757326309888	0.309886970899276	0.560548115948083	0.826974545036126	0.19733876016951	0.093591225633473	0.375067403422361	0.349906787584251	0.756147730344238	0.328068666196939	-0.0918160214571147	0.893438993472696	-0.108746979372929	0.179917160836399	-0.0200072093335871	0.214390692770375	0.624817306496195	0.078320702236959	0.0385640381574411	0.291224368999219	-0.112461857847142	-0.0497336097076748	0.563024458059011	0.647169242505115	0.175195659481099	0.0204702498944751	0.0211010365374274	-0.14811806977567	-0.00606946969924219	0.203316698898769	0.222981964264016	-0.0924903559502988	-0.0754973659198405	0.804974801943409	-0.0318054957498331	-0.055805007412844	0.750779452625935	0.222909742633244	-0.0921099952998956	-0.0272620791733949	0.824048825865563	0.110814527587566	0.633547946391352	0.831091217343557	0.786886545313862	0.811406056364818	0.673287053614058	-0.0937009349571083	-0.0350027667029787	-0.00724646185634645	0.512256351866109	0.261710274533829	-0.0793566119936187	0.187723546225498	0.48788394099711	0.391576826748105	0.226045105310281	-0.0979717607190735	-0.101931620895563	-0.0817879869944026	0.671577126403036	0.34631643017216	0.723318496433531	-0.0520801079889081	0.72081514863435	0.197174980024656	0.250465198849834	0.254720770217126	0.186379622800472	-0.0770061854860987	0.134693872021835	0.468376371098321	-0.129747525916302	-0.0542894423925852	-0.198018917884467	0.10946106413715	0.227354368764597	-0.0687140063865501	0.0256477900072418	-0.0074254202548895	-0.120245029779098	-0.0707987918500677	0.176333022479814	-0.184394258176636	0.011919540723598	0.699081463775788	0.0642417598463801	-0.113255901195951	-0.0844218644906888	0.142697683993637	-0.00197064221893319	0.0311937281122578	0.0502575270679398	0.0227821887882566	0.242283238231034	-0.0346256002391532	0.477111104180385	0.332904627809047	0.1029254092782	-0.0441254140790273	-0.108897577727232	-0.0120721371824008	-0.0476386419709863	0.760641875294549	-0.102636446339199	0.291896659376294	-0.137487230369638	-0.164096119126626	0.822078912268535	-0.167674182353518	0.244696736946676	-0.025096950034296	0.0615518164788398	0.520441322704048	-0.0506058742507289	0.114435990872274	0.0351213661433329	0.0415993409220677	-0.0488677948518315	0.0729328458616495	0.180889136769692	0.354246628219408	0.176778004350137	-0.0417224942522662	0.0945792999166194	0.393080375311329	-0.0106060753550019	0.196559086747702	0.552426353667859	0.208098547148569	0.0414309897612454	-0.114634456543629	-0.192358112694061	-0.0994590876259967	-0.23007832882352
LILRB1	0.463624984846071	0.867682894382267	0.823270624797852	1	0.84701599107847	0.578960584480361	0.749913332172131	0.541803271429265	0.516647443037018	0.789805553919765	0.849105271715846	0.353900880057641	0.219338472031069	0.546454777359293	0.551535576745948	0.880552301320325	0.461455897253273	0.0795097853536916	0.86326381851675	-0.0154753323844689	0.388214943324181	0.141904241339226	0.524614933138653	0.851059474760705	0.30526747564014	0.32638578377055	0.444851981725595	0.0955503667777396	0.227993515443305	0.742447660703713	0.744578335775703	0.359067062742676	0.178736893386839	0.317919090811531	0.0304226168715879	0.164453951740563	0.434040165403635	0.481771640978418	0.0729037793825083	0.00134995750567616	0.728400000558645	0.116092568504484	0.100067727429261	0.846525515729316	0.458212042266095	0.0812844442660627	0.286410251289353	0.80950177721171	0.368689305118636	0.816525413878275	0.864141423563267	0.890890971384398	0.932300634638683	0.81472391216061	0.0767358610207293	0.0661903440370702	0.126336514147993	0.467789645688135	0.449785692386342	0.0034477608426137	0.37241330702239	0.638828420184057	0.373116239702905	0.400556404944761	0.109074130224404	0.0128055832016482	0.111071053962905	0.841007152398698	0.519143885135115	0.49341004787718	0.187880388070727	0.842679703772112	0.487750284849418	0.439351655861728	0.49875020361446	0.434360716082152	0.216408443065056	0.368996716845619	0.729011476789081	-0.0110662741322153	0.117689951577908	-0.0201453158808415	0.244148760673936	0.456873295756685	0.146073762579511	0.265454709163054	0.164411332793368	-0.0280705503512227	0.0468433854748635	0.512285973516355	-0.044765831047395	0.234746453835984	0.819485017391669	0.339122673630504	0.026260787963405	0.0887938163807833	0.325066519823532	0.202022894838517	0.259316778972056	0.212530977200456	0.100737320964055	0.480327756460769	0.0623019146845754	0.501786691689578	0.500236428219599	0.204205081130941	0.160757968828645	0.0583861065980825	0.139652655568669	0.186261033409784	0.709357152797488	0.112749979320304	0.453811274109742	0.0936002223348144	0.00544644491828767	0.810197396793434	0.0531322580990268	0.447051895369621	0.186516192405694	0.316950477728281	0.714707952642769	0.193677618684816	0.436052031377439	0.240079533852911	0.200168745955434	0.0635684741235524	0.319428219459291	0.505107864285615	0.585453459717341	0.480993700145642	0.149851633480981	0.32201214527762	0.504201013369523	0.108171249809996	0.48665191450709	0.719350674905472	0.425490991661398	0.161535356226514	-0.00228306282341009	0.00766768388662682	0.0360629471792221	0.0179640593414671
LILRB2	0.435567195376836	0.712923057198904	0.649867112259368	0.84701599107847	1	0.614135546046127	0.552516887412855	0.784480626589627	0.551128305365182	0.63769988008674	0.682400162764524	0.455367349128039	0.287241886116875	0.505829334013065	0.637064366174216	0.669228740254371	0.545279171681342	0.292189363828195	0.677559591014023	0.289189984112982	0.608088632804107	0.231009011479231	0.629669686564218	0.70836254513471	0.400193832299889	0.459698611841776	0.570448904333977	0.371967161515981	0.490187554764023	0.764806916271424	0.85581676688947	0.501590928643434	0.23517726861637	0.462944118752165	0.351599517789967	0.297845635220507	0.539697350211997	0.561711838086837	0.21954755319701	0.1193635575587	0.497263270513602	0.156914416783056	0.16758710623577	0.843448941310832	0.478217880070063	0.209751606676856	0.528193189109651	0.517216457209361	0.530528710273572	0.586354215884885	0.71572754027139	0.759563228963793	0.705053854129515	0.630768818365913	0.214519384672662	0.144834426346764	0.227541327238392	0.397495199711721	0.710349228125266	0.0990831652892743	0.508864256003854	0.733647397940194	0.425814720053633	0.456251332992466	0.463772016143505	0.107316322154335	0.160021776827886	0.714968418861831	0.701742367002677	0.26233915826022	0.512927282562838	0.782734393944188	0.581411269591046	0.622763611182151	0.508462708958906	0.494856126375664	0.322014218845076	0.509728474544735	0.692851254665216	0.288604352040706	0.190703729300327	0.329876684492756	0.521207357688007	0.44954147334105	0.321125870901702	0.388876031403396	0.310704770646712	0.0890074396010141	0.144674380984056	0.503417639255126	0.0765817223714517	0.355239921807194	0.712807402610101	0.457141105148779	0.194263706712523	0.216197284996779	0.360485338133705	0.3283624028597	0.297419179454102	0.241596837334253	0.187239819942934	0.655613161568177	0.168673460101995	0.484145967277867	0.676079109417617	0.311953481028471	0.409313908215834	0.386127453331726	0.278584224531772	0.372060492499788	0.359539507704525	0.387367385657403	0.555306099981539	0.350309158973426	0.210291700403289	0.602119139987345	0.260027128462565	0.520450946340506	0.341645126511164	0.497708532779633	0.755532990317511	0.206369091477978	0.469070592531747	0.363694943718554	0.306814812742103	0.156362511105168	0.462233734016193	0.605338349050087	0.730623489842851	0.673099103702476	0.467919611600528	0.601850484789203	0.358466932550472	0.194574386864783	0.549138489479818	0.657632327591886	0.533336239321362	0.242935905175967	0.0881708832518287	0.120092144552512	0.208286778099023	0.150542098176079
C5AR1	0.912955296679168	0.518182322741473	0.423940618005375	0.578960584480361	0.614135546046127	1	0.622174929536022	0.532680338152148	0.964950745431513	0.405563989354262	0.260063144161238	0.849451955027319	0.842856751398719	0.885486753440008	0.934974653987225	0.661925440517255	0.953863201339355	-0.0895247248683063	0.3045775793891	-0.12909185406442	0.366357657527156	0.788447019510847	0.565479291434007	0.568673319971346	0.803605309883797	0.751212464066728	0.878084385435409	0.618858191335747	0.42683045461934	0.789442776198734	0.324054754867436	0.898092143794609	0.818179132300334	0.637477506250949	0.0431525614515255	0.742673093760416	0.705097738871978	0.810073831201963	0.725684429380205	0.681288111336361	0.125291140181986	0.768149658764512	0.773099787258537	0.460445417177086	0.842310301579945	0.7647835795786	0.576059255985635	0.167491022055883	0.688803143183094	0.286937796562212	0.673944744301289	0.268241645866005	0.534997994667802	0.754271681937085	0.732378985952296	0.760741607829258	0.806960430573656	0.174053734643651	0.219392115592761	0.716061526557205	0.8086408476539	0.504292427466022	-0.00498854733445498	0.844709822078008	0.303672797375293	0.735942212111956	0.749722965609359	0.705868421766814	0.109060966813039	0.0179079745985384	0.429642971308362	0.756324608024965	0.607230158994591	0.758067490866318	0.814606977816088	0.750559583579279	0.567490920694224	0.828780540790613	0.589443769199094	-0.153311123641345	0.785091330715468	0.305363346008339	0.00725023715320334	0.90017432597052	0.769591378676062	0.699612850791212	0.775908314757869	0.704917506629792	0.73741790110473	0.385630314165287	0.649665979080902	0.793247326954221	0.225899604858984	0.731497829181352	0.730380009269351	0.709506725972621	0.753715164723125	0.740951266135413	0.764251293614108	0.770379397156784	0.731005291071262	0.850928809787695	0.755989286002676	-0.0755544553493217	0.116043968977712	0.837890691979654	0.732633401900957	0.0275170675802041	0.769714607988205	0.621309780266763	0.0956118094064417	-0.00761747760574001	0.128439378982254	0.206693337567336	0.654607599855011	0.128174141700557	0.0533782410668998	0.890460512755111	0.720434518512543	0.724552211641065	0.747772554058219	0.64783666471533	0.623508563720361	0.804967430165456	0.780291986390068	0.760089183501907	0.709746489492361	0.649649139513793	0.566072534239732	0.456872092720004	0.103842924423392	0.204440614385739	0.493647801234957	0.777291422888969	0.743638603320635	0.31182904986125	0.0154438786422762	0.773875352349336	0.722346251729837	-0.086961748814577	-0.165770462910605	-0.00999777642726745
TREM1	0.684864213895935	0.816152644406888	0.72616426526719	0.749913332172131	0.552516887412855	0.622174929536022	1	0.382811821897701	0.598013901734095	0.805261503747056	0.48899779558964	0.645695054782894	0.522200431961275	0.783845011796601	0.680649901392776	0.919263327714804	0.53518469697572	0.0315322814526079	0.627391638332021	-0.174307542199654	0.39855182595262	0.479802957216844	0.573745156769437	0.821630431571911	0.547580123340459	0.448753598727454	0.592163906424611	0.189568896955946	0.293681339144507	0.811784536154277	0.378635651180751	0.431459575006086	0.455342074390461	0.534327708059717	-0.0387252724333256	0.506091339996711	0.595680157197058	0.630877250795698	0.336213529513789	0.397882487971232	0.439985441484332	0.469206594134299	0.421188336714824	0.585438001620895	0.700743363182378	0.35180095511807	0.387262477189553	0.71841507463767	0.467731543626067	0.783043924735005	0.865833701308444	0.615780082093905	0.856053060183012	0.873335435048533	0.371682834391331	0.405265330246115	0.405247095785493	0.123176739501128	0.158214765673425	0.380763717746846	0.622197180572185	0.428221631013685	0.018537300267639	0.6670619434916	0.0382150479505688	0.360671348854795	0.43853846120321	0.784174940192531	0.218745948606231	0.323662181543666	0.155915799953648	0.767106652526389	0.582181626340972	0.575459752626721	0.621243217424973	0.631873568906796	0.334746346563598	0.548263576839372	0.768286335002142	-0.20541354664298	0.407959601745944	0.0546888795511875	0.0412372904789347	0.599102567913455	0.275344534070956	0.488767332018718	0.43796694743733	0.312061449889412	0.425784932110747	0.485250520020431	0.27557683982319	0.500775495494869	0.487641456882975	0.490002455447247	0.293697513330943	0.4384602285779	0.619793474646449	0.38688304302465	0.535614410519323	0.490697523494439	0.420841992298682	0.391474497230571	0.396895525958307	0.359893697644405	0.156612883323465	0.465498920676508	0.369275280669942	-0.0745932344312318	0.410912017668497	0.292679780315356	0.686697883226175	-0.0830587817842677	0.16573365475665	0.0968610267242654	0.274711010029788	0.609190420822407	0.0279570767231311	0.623575389081851	0.414707099677035	0.472953780866698	0.766097456173534	0.340401904070858	0.522585358094383	0.505373555311244	0.533802281584622	0.415381447987018	0.551536561963375	0.609717208531025	0.553933038261468	0.455616404638023	0.0189848820851657	0.12449709850491	0.727463010199426	0.461899566988355	0.609598700161721	0.391599399394726	0.205633461094785	0.533234353137564	0.346840788930437	-0.0991749154716142	-0.0602293522486529	-0.0760186637657221
SIGLEC10	0.482148758114385	0.509947793375208	0.227757326309888	0.541803271429265	0.784480626589627	0.532680338152148	0.382811821897701	1	0.572750287306255	0.536026251645896	0.246684958460435	0.585266264102351	0.444079986531018	0.545690740392162	0.664025938075063	0.43222774939458	0.505450637216474	0.582810057149429	0.255609441473403	0.415527797858597	0.778781967924777	0.450864889652042	0.844579932855908	0.591879921287397	0.625919989729084	0.680265748269828	0.678607245747133	0.650990712585294	0.802670251673289	0.742176539374059	0.631556736171579	0.576418855757669	0.42222312631655	0.769972774041436	0.65997659994305	0.559571884093552	0.698180806033273	0.704003185859503	0.494054658797907	0.35415136170064	0.0262731770008927	0.371712537627945	0.400523111945591	0.57637555503646	0.617651039262028	0.444881466288042	0.829303850596061	0.168252224888673	0.773316979011276	0.417396364987922	0.406242979267848	0.433039599961575	0.423919427391658	0.453744337115297	0.474397722930191	0.34141972079479	0.419185084190827	-0.0136339974496771	0.721842054399632	0.318247494172641	0.670145862046872	0.611551963516119	0.204227785339271	0.597504378163569	0.635581555308709	0.343086491266514	0.413156712397756	0.51015120511041	0.679401448838025	-0.168709776126587	0.796249317055326	0.635692554029914	0.803940382643895	0.757452091603373	0.625721696479101	0.651100480433676	0.581919427532809	0.690711294077212	0.725795004447976	0.504844186168822	0.412610967763901	0.661202381536348	0.588417546624286	0.520224788859844	0.521653959939522	0.673424345156759	0.539947431827111	0.31958454171236	0.390615476002713	0.638123076893304	0.399006670541807	0.597695082125717	0.463147495729648	0.702324577234112	0.424896126172575	0.505308891470882	0.545590271873609	0.56239287695224	0.501893926787992	0.423866159699064	0.392395485022709	0.685095689596239	0.346556680331776	0.468408449368454	0.549547076977328	0.42931468656018	0.668283514727394	0.577014888508474	0.521213736215241	0.656997470359435	0.000943977001056193	0.621562319945821	0.575156983459542	0.694010316806994	0.544476336561355	0.237413000998745	0.611902667937789	0.621596759657284	0.627472189773748	0.737647726673299	0.745698523374623	0.400431924660004	0.651430087620144	0.598535527153369	0.52045992576709	0.369919138091383	0.718862081152108	0.824406962531934	0.816812661517465	0.871143569566869	0.669879391521519	0.766159701751152	0.369475751045503	0.39810475862463	0.690830025416078	0.430020369571574	0.528217656651478	0.451840303531968	0.319117038810664	0.260010190793641	0.356260660473844	0.348130724463198
CD163	0.955027174159649	0.491229284569142	0.309886970899276	0.516647443037018	0.551128305365182	0.964950745431513	0.598013901734095	0.572750287306255	1	0.407828899027116	0.15614579106423	0.875884256348126	0.89894099328294	0.915671697025192	0.93177156378907	0.622929854889906	0.945770313158138	-0.0595050443823199	0.201068092975301	-0.1431108664092	0.367269625272247	0.844714152929576	0.624601451524261	0.573335504664588	0.875109328101318	0.794056143452343	0.904151052651221	0.672368260134285	0.49025045703992	0.789202449736514	0.247558779480878	0.919974293387171	0.87863536706021	0.7204010952241	0.0618414291712797	0.819237237425655	0.726490552291466	0.857991167085994	0.805369641441389	0.743516394518571	0.0229897135040881	0.839439921380171	0.847594860719639	0.35985453799761	0.889929092454166	0.824780583713173	0.642114020881149	0.116079043056357	0.729870837655488	0.28056890916868	0.620102558021822	0.202146431563311	0.495694042406006	0.750793576333885	0.796957160978055	0.830164260575479	0.872555716591989	0.0976215245600653	0.164418337167058	0.784194244014854	0.837814416462216	0.460996172587933	-0.0661073945077786	0.904340253249947	0.308489774722326	0.815126981934795	0.840183791526534	0.669278960428129	0.0614713653653362	-0.0657854652600841	0.458183189240892	0.711505602221093	0.668417834344321	0.76091892767074	0.840220943608269	0.804542762692096	0.605909541658427	0.879043066205212	0.614273346139882	-0.173159508702236	0.860557659954213	0.332000858888143	-0.036548318874603	0.938618694489603	0.805001615502765	0.758363655141935	0.850732500485319	0.792104501374789	0.813696755246294	0.41400801576434	0.742085063071531	0.868639742342488	0.158271290284609	0.810958776347635	0.804928725358892	0.783903060270419	0.801486811914615	0.80142791468406	0.83422784727339	0.820593814343967	0.788024523663662	0.849919240351397	0.817346687815294	-0.100762673754731	0.0323425622478017	0.874109987200855	0.781129015687534	0.0279382887939149	0.823374819717837	0.674495755135695	0.0475940654021365	-0.0181049917121943	0.0959610649623609	0.238291308284068	0.737011823547411	0.0478679609983022	0.0893088449589336	0.915533633146726	0.788065917161529	0.781212277491304	0.728413304156393	0.727976211962195	0.705163412572391	0.859717978602788	0.84742956123617	0.830424192712571	0.760566569852809	0.712772430839117	0.564637849106803	0.485693933970743	0.0921628850594999	0.182833079705913	0.47803705705318	0.844984947606423	0.768701067318137	0.259989243668796	-0.0195792794581548	0.840643284012042	0.808096697810685	-0.106050121798589	-0.195287815182754	-0.00934980627419774
ITGAM	0.422318315397057	0.799356640886947	0.560548115948083	0.789805553919765	0.63769988008674	0.405563989354262	0.805261503747056	0.536026251645896	0.407828899027116	1	0.560203080495627	0.425085990198108	0.201082077960491	0.579576603880115	0.503178316630391	0.862040846058902	0.313393248726359	0.250042057534589	0.665111461135994	0.0661873495914015	0.530911722586339	0.214858023482115	0.711595887674478	0.874333323244709	0.384938957382394	0.419271201057464	0.371857075246969	0.135572516304398	0.39342584671329	0.703581395973262	0.520266747860379	0.234917555290136	0.177265053830588	0.536661498893412	0.156963868135393	0.270833879717995	0.530442204645635	0.533388209343844	0.0838473436306383	0.0493121855157408	0.46108699014131	0.171070978278468	0.131187829294017	0.680974930622409	0.537666015179991	0.0964583476554967	0.484427006278304	0.739523966185986	0.432772751080459	0.954731877955443	0.721130836143244	0.79728342291931	0.876729476828037	0.754171430225974	0.127062700838348	0.059223911076822	0.101517728909033	0.13472138213571	0.439528119249828	0.0232596981161795	0.4520642736771	0.553641176191336	0.153136680018885	0.451987496193044	0.216703763411933	0.0419281136075962	0.222886489220885	0.728034387174666	0.503662564312394	0.239238272724856	0.235481850831659	0.669312290357702	0.614749636176185	0.485838581638538	0.558140090469525	0.54668056687155	0.348363870987646	0.394786382498189	0.82641890026575	0.0597673601079318	0.147080708012908	0.0902509780081975	0.301968381463824	0.42503150473977	0.148518695717494	0.391365051789547	0.22197548992996	-0.00334141472806265	0.123704495500025	0.736668948241451	0.00533061137730007	0.314819622383602	0.668477051145919	0.425259573933301	0.0487214987877525	0.209742276076859	0.381474864776693	0.24700244566273	0.349492759954042	0.213785495303837	0.0692222740717063	0.334989864110037	0.0589833040841935	0.510543654321265	0.50921732971934	0.132730519900404	0.216941916234942	0.199163652445469	0.130710473869597	0.218529642836081	0.688225814108904	0.198498728735538	0.397908109078868	0.227274791408386	0.0786789851009944	0.682188602141604	0.225608114758153	0.448886715370591	0.263874174175514	0.407477312403533	0.724683098001596	0.262194905930992	0.602102706674878	0.310294319420757	0.262262727740989	0.0845139107523043	0.453353582230015	0.67801619288823	0.613746521058065	0.615062508069756	0.260630750288609	0.370998160389135	0.636977178993478	0.136260127747153	0.572142984051207	0.578872674685656	0.559388070392276	0.22029312464838	0.0323880845298023	0.16509938681876	0.224892861133697	0.19791799463905
