""	IFITM1	CD3D	CD44	CD3G	PTPRC	CD69	PTGER4	ITGA4	LAG3	CXCR4	ITGB1	S1PR4	CD2	CD46	CD247	CCR5	CXCR3	CD6	CD27	ITGB2	DPP4	CD4	SIGIRR	CD47	CD8B	CD226	CD8A	TNFRSF1B	KLRD1	ITGAL	CXCR6	CD96	CD82	SLC1A5	RIPK1	C1QBP	IL2RG	FAS	ADGRE5	ICOS	TRADD	TNFRSF25	CD81	TFRC	TIGIT	CRTAM	F2R	LAIR1	HLA.DPB1	SORL1	TSPAN5	SPN	SIRPG	TSPAN14	JAML	CLEC2D	TNFRSF14	PTGDR	IGF2R	SLC16A7	PDCD1	PTGER2	ADCY7	KLRB1	ATP5F1B	RACK1	JMJD6	PLSCR1	SMAP1	VSIR	LPP	STX4	CD74	CD63	RPSA	PTPRA	EGFR	LAMP1	LRP10	CANX	NCL	APLP2	PTPRZ1
IFITM1	1	0.839378883845564	0.442082500536559	0.893736964276423	0.546788851196772	0.856201376068999	0.508609280867413	0.183941384648929	-0.118786431927516	0.783230849917867	0.371278088661037	0.823409229977909	0.739786724265007	0.731193593130468	0.665529951397611	-0.505291265265249	0.777110426746494	0.718434924101597	0.638302763979305	0.539830380989424	0.642124973541907	0.502757977750209	0.877929988671726	0.885572416178225	-0.13641251498743	0.684661038408875	-0.329516061093449	0.666185426659987	-0.336612339375746	0.13302257500856	-0.398467721248444	0.865064804569253	0.689165489548555	0.804324873483543	0.617280739093804	0.844625460699774	0.875587505089612	0.41566741990174	0.773616337159759	0.499598581398541	0.892740906766538	0.635448177218341	0.153769326396334	0.369411596479946	0.573996720775977	0.247031042696217	-0.592281822627571	0.789709342575136	0.122155419919042	0.0866024063437867	0.466037307961539	0.880600595449172	0.856816532348334	0.694624035491081	-0.401122953199048	0.835419365381598	0.698975631977407	0.293637285723207	0.378315655849481	0.228628618344426	-0.183795188724611	0.906229283582084	0.573624610756806	0.867738375166483	0.702192974423344	0.932231335937938	0.200383328011257	0.438124358969428	0.781840578276994	0.776394453802826	-0.121853011707948	0.697268480423113	0.158859935662557	0.604953840625306	0.932793854175164	0.256023393375713	-0.281077215056172	0.360537381323674	0.541098738175487	0.0225368202717771	0.627781269110347	0.0828189733852989	-0.306643374934328
CD3D	0.839378883845564	1	0.513860582004085	0.900363385622608	0.494507143730872	0.697944278932569	0.556352662789581	0.255972284523712	0.240630578506234	0.683196829562989	0.602041158722282	0.698319757535149	0.940571138930367	0.625327314039115	0.81885627932712	-0.271543946802793	0.782461632381126	0.684147053110841	0.872291124298543	0.589075894228149	0.64281402951747	0.422571115276601	0.886898747195476	0.820788758819389	0.218348960234522	0.541692304606403	0.0223945492622612	0.546356137274553	-0.0546988297072442	0.331099150956492	-0.0428441262456689	0.765870802552018	0.746134383014634	0.741807230009726	0.374856561945979	0.72180902319281	0.904798368301682	0.485513193154617	0.732820948907581	0.489577347448887	0.709343438052927	0.524916295513579	0.201353901566114	0.29102324750438	0.661508069625106	0.401457952567014	-0.382945372580643	0.568562818642689	0.276674204454581	-0.0490904722948886	0.373823569974712	0.827888612189573	0.787144406672285	0.587856111276082	-0.186217379576721	0.677637594357457	0.665091699565767	0.473991552698711	0.358721739143831	0.423536849331037	0.234479988189949	0.701723011789532	0.496707363267117	0.659016257419679	0.749400960435833	0.814209892074135	0.249955740853633	0.431271032358666	0.752385321691122	0.676808647043312	-0.185546310369533	0.548637401319757	0.178724272692943	0.592661656523964	0.812060218674799	0.106437104743076	-0.407364387033745	0.398299664012514	0.470916319140395	-0.0641072295858595	0.580950974189533	-0.0241241361412249	-0.444908526833977
CD44	0.442082500536559	0.513860582004085	1	0.538251725386741	0.851245319769427	0.622295562180111	0.637814850232483	0.661166646673972	0.0131387817211332	0.550368034748153	0.279798051041176	0.359834906052648	0.654139049191491	0.632689881283298	0.570776558760589	-0.302556128594539	0.536612700984671	0.710257373915589	0.423015280138178	0.524215484081512	0.71743706142302	0.696025917972637	0.491985507927892	0.529553078402161	-0.0101118520293759	0.687225085967198	-0.0362639936834552	0.562360505438311	-0.196632448424308	0.54399610674856	0.201733415002117	0.639519826232991	0.635502655545835	0.190993124764942	0.6063157812663	0.528204693702802	0.442710092063198	0.642768600921448	0.666534883810425	0.561166618440047	0.375466474072642	0.778453628845286	0.261020415368529	0.450403822543071	0.572641989248193	0.33927465703618	0.11433028555294	0.299751884552802	0.272490896453534	0.28793893594796	0.51534901792964	0.347190852509482	0.5086296365896	0.688184924581772	-0.109950212685275	0.627480931609432	0.677390806170697	0.304359313195022	0.433048677356953	-0.162735179473526	-0.113645762397352	0.427749310865015	0.414024818235675	0.582674503687002	0.494567283796684	0.514860656098118	0.39503840238261	0.546749305140058	0.426073590406913	0.534993987148556	0.372696054570517	0.571940909399121	0.317230737982873	0.329386206308006	0.468997297367324	0.312128380770659	-0.100279827871193	0.173588483498426	0.427895521603847	0.258736965755918	0.710802880059762	0.131686116024354	-0.135039582216605
CD3G	0.893736964276423	0.900363385622608	0.538251725386741	1	0.551242079050067	0.783476233672082	0.502272880147662	0.259223774960679	0.0705516130584297	0.708824640081792	0.45100750164395	0.758641493770334	0.860096757770082	0.705400617118779	0.789069535774743	-0.263493783434912	0.836199337505497	0.749436378115019	0.759297990106908	0.519245153078068	0.63712557378399	0.494001728273031	0.832740385798873	0.861086093952724	0.0367255749082178	0.609183906411352	-0.102393722981079	0.581933496911274	-0.150768824192814	0.344357256718433	-0.202434442480276	0.85367993580218	0.77559936739307	0.736121781301588	0.571739269207202	0.72420185832662	0.903758335638388	0.417132903569498	0.755261618519866	0.510983380677644	0.788339451549833	0.597426605299963	0.167819472611201	0.317388498003453	0.561653724161307	0.376920988004183	-0.419277147824939	0.624839075597144	0.155468611701566	-0.00222065749749661	0.469673334669063	0.804789984266496	0.811108651139121	0.630208573350077	-0.220509485065325	0.80763001300418	0.715558373064558	0.384270106794672	0.311020432396579	0.340452190316701	0.0124047497905378	0.776629807880603	0.551702562939904	0.738776519606331	0.646956329445114	0.821516732526379	0.221316994656747	0.372260523580451	0.738558170170787	0.677503124765444	-0.187729407132362	0.611164004930612	0.121797563789739	0.565538641054566	0.822510236695084	0.141377002015234	-0.402548537913769	0.367067550053906	0.497766205504687	-0.0764747233558509	0.601934857351915	-0.0185441252122038	-0.430244045849897
PTPRC	0.546788851196772	0.494507143730872	0.851245319769427	0.551242079050067	1	0.594449894135733	0.614900449084222	0.808656310483913	-0.0182770997012415	0.518682763837659	0.390579822343688	0.409689073688669	0.596081410327182	0.766934489748647	0.640069249234369	-0.365335193884149	0.446601271644326	0.655937720814921	0.388162397203506	0.597529438205517	0.704646780595902	0.666485842882528	0.548023304461252	0.495300438326106	-0.0114332077544821	0.815654645700634	-0.0257584029453374	0.604788244697634	-0.145247113114722	0.62958830049279	0.155442594005889	0.770203439253618	0.466900765523602	0.372099436217923	0.773889464841843	0.60308033721213	0.451921431480992	0.726693745495324	0.69108214007176	0.592547853827309	0.396772745746947	0.726228080289965	0.192260016785962	0.417029605680716	0.727043906479319	0.453341505220541	0.0418124234963885	0.41165507722456	0.255255980464335	0.318501146986985	0.70877356621955	0.43407009809346	0.653296802025605	0.785694983829766	-0.121070473462119	0.694658610310074	0.567476498334282	0.472324531470086	0.536208001270438	-0.253953196250121	-0.3842050617339	0.495350183243	0.526526316204691	0.63579783791167	0.403340462374518	0.584909567019807	0.462009942324061	0.52146073074873	0.48774039393059	0.570232138691045	0.375058306731681	0.669240258379104	0.299082862110097	0.365618780091457	0.550378995527061	0.420471550023578	-0.16726829698423	0.293934754636486	0.594104166269864	0.200835687870216	0.751793067333962	0.196809349260406	-0.196473247151591
CD69	0.856201376068999	0.697944278932569	0.622295562180111	0.783476233672082	0.594449894135733	1	0.623578119592194	0.249056288971207	-0.26177327004845	0.88541321081654	0.138188853687116	0.827937495261986	0.658821357652643	0.640161974167029	0.536201598815951	-0.640628494694776	0.748607448498258	0.859553678856663	0.505917659145715	0.409600097486061	0.75048052852541	0.672995164440355	0.74459214213798	0.860304928556976	-0.36360703339538	0.670209322039988	-0.486697958203633	0.726366910619807	-0.558831589918585	0.0741817852101242	-0.431127743031108	0.793520293883487	0.7496880663944	0.516561528766243	0.604523035999814	0.745185765833346	0.801478543531325	0.448778582553008	0.682912911537619	0.517051552867831	0.89729588578958	0.794800699881118	0.112838204118349	0.303230064603703	0.459250221903622	0.0615240615926171	-0.529068786839821	0.655886213587207	-0.00613074313339309	0.092425182651353	0.337253865044986	0.731660457450265	0.673780132599127	0.629692606205092	-0.47951185085014	0.835154548113578	0.844385499831	0.10866771456291	0.209114526114825	0.103751938636268	-0.23303344097644	0.907298858028164	0.378149970719838	0.930442178076524	0.626456424091923	0.857950521484591	0.0688956605172985	0.371484279621326	0.69406983525992	0.675305605193434	-0.0112320477806118	0.642151844503663	0.116634139109047	0.456640562390828	0.83635658489287	0.152410166439875	-0.25623364572676	0.119503991538647	0.373765752953483	0.0574000293944169	0.621018842658588	-0.00111837866391188	-0.288797227584474
PTGER4	0.508609280867413	0.556352662789581	0.637814850232483	0.502272880147662	0.614900449084222	0.623578119592194	1	0.491202672591636	0.0968884423099325	0.656975447849682	0.33844455758405	0.500005387293803	0.610148490388269	0.428445434750799	0.587066577325116	-0.328725509174422	0.324392466797812	0.603420070608184	0.363854804621842	0.266968961123606	0.687362567135013	0.413936234739631	0.509948936081105	0.468334417732224	0.114752152933319	0.462105228245541	-0.00526029359894933	0.393487854632326	-0.0740531727798163	0.259899633906433	0.00495158942827848	0.470439892856894	0.543333630525273	0.230902440423268	0.314093463030541	0.464290354335642	0.542590479493949	0.629780772446714	0.447602659357632	0.235629352571173	0.466280323742596	0.549857230418267	0.00260614134315299	0.0515522771494691	0.511008121469306	0.226153271818014	-0.187386113459958	0.220475192155798	0.116351074720899	-0.0715150395288179	0.442754879889742	0.41968012153225	0.413675953219579	0.52235649093042	-0.000830280346521183	0.607263439070163	0.723013665262319	0.434235130145158	0.316465709903837	0.119299630206047	0.00116803427576869	0.536661000920013	0.204304338304012	0.664232920993673	0.480392826323604	0.54880130197414	0.361168363415898	0.356056142859114	0.382048416278184	0.472880021901837	0.0461706344355179	0.411849483178945	0.0766708127196127	0.262751295941404	0.495510052313355	0.118381146915304	-0.274243292667264	0.132227469629286	0.239365911839203	-0.0140250321493686	0.480869069007873	-0.101214095282424	-0.3161558727156
ITGA4	0.183941384648929	0.255972284523712	0.661166646673972	0.259223774960679	0.808656310483913	0.249056288971207	0.491202672591636	1	0.173433746523324	0.261300272655592	0.486179687141078	0.180514427829278	0.40760795261409	0.470856148321132	0.47701700992963	-0.197570268398213	0.179491183820082	0.375997462042947	0.241983266626213	0.420355005134474	0.566841272833813	0.567370306642974	0.284662617259152	0.180130692514176	0.116821716832718	0.581531632440124	0.19894606713867	0.415612318570997	0.0535916482647181	0.776568910574468	0.408272183929425	0.48206864306842	0.134781415125526	0.157796276563592	0.464129396314829	0.301293606480375	0.242764488920996	0.686547091730059	0.40649506604928	0.456157195439052	0.0520492495239489	0.383005741649074	0.200082124309231	0.24364807534434	0.555783968281772	0.404639766644522	0.347393502130898	0.120949409375221	0.305088560236073	0.275635848560144	0.560759364561752	0.224436568015163	0.370185671160967	0.51993233820245	0.0689437573278613	0.379169313014534	0.328272862662357	0.448140729914372	0.424783857419555	-0.34674825424536	-0.227643427833686	0.159435821604965	0.339800044295413	0.339849691312172	0.155700047789718	0.252353387942768	0.342279848563593	0.417878542294982	0.286367033371172	0.229694209979005	0.518789379074314	0.358458767565291	0.284941131402119	0.245271585558426	0.209216099613244	0.353261560712515	-0.0626331420381324	0.279553671683556	0.421888113708003	0.219698263797869	0.58281859611566	0.215647128273241	-0.0925135448675055
LAG3	-0.118786431927516	0.240630578506234	0.0131387817211332	0.0705516130584297	-0.0182770997012415	-0.26177327004845	0.0968884423099325	0.173433746523324	1	-0.0765011875885384	0.546205979737191	-0.117696877296559	0.334033534240253	-0.259499271494666	0.279790771535265	0.510241658722475	-0.114876132643595	-0.252260072428765	0.388726480630579	0.0919542017665507	-0.133639158250302	-0.342482220431507	-0.0533992010817693	-0.211425014457556	0.84546992082784	-0.226918767447217	0.843929793864354	-0.274421256278447	0.758431154830078	0.441430315839343	0.681439790261604	-0.141335394232965	-0.0719261121808175	0.0243333718475004	-0.363960871913736	-0.242700014549031	0.11694566968703	0.20396626298126	0.0225213320208061	-0.0940201111633226	-0.296955136561071	-0.32124290711791	-0.112450024260503	-0.282861492186136	0.398591323799641	0.340091560695485	0.329132230233294	-0.393567786789725	0.187067160814981	-0.332251915676662	0.0383414438407455	-0.0266886298332499	-0.0885057602261041	-0.218188753123478	0.659073527223789	-0.227685037766584	-0.198054862939257	0.526262493051815	0.0890721072538696	0.316000319026952	0.689282913192484	-0.333015533535985	-0.269648029942425	-0.316056105837994	-0.0360176829961791	-0.234399565601048	0.156029612843256	-0.0467686403525516	-0.00748670094948092	-0.167192269393005	-0.237928718751356	-0.304031818965765	-0.125843826222713	-0.065990100403156	-0.263791655415457	-0.231673959934988	-0.273090397752877	0.00673754338175961	-0.139750603389211	-0.311247990907232	-0.138689008104925	-0.186779291220354	-0.30123195043739
CXCR4	0.783230849917867	0.683196829562989	0.550368034748153	0.708824640081792	0.518682763837659	0.88541321081654	0.656975447849682	0.261300272655592	-0.0765011875885384	1	0.183538925274521	0.889511986302241	0.635931761946064	0.454295805975332	0.563411668896465	-0.608565982889315	0.551646690810783	0.73972720028006	0.482754669475399	0.358997885627557	0.70272915821857	0.559646528285517	0.712443841471179	0.802057679131352	-0.253739064822984	0.578226579019114	-0.381051077707558	0.648048210546922	-0.492760636367083	0.0768032846599155	-0.318697740139705	0.640219079328748	0.607215024884909	0.458636955406709	0.474098976438284	0.665978803581488	0.765171347121284	0.536538001762156	0.523510380462287	0.552812847569995	0.877522456164645	0.710914449244533	0.0121098324677665	0.126292388346273	0.434048901849254	-0.130898467396186	-0.573002371838935	0.59140362165116	-0.0482162544063933	-0.0637896298039094	0.294001496290454	0.742956048745279	0.483506614767345	0.467834519247252	-0.381413467714196	0.718365671342688	0.797758055250989	0.0497370664209497	0.100315345261817	0.181400323756119	-0.0999889633311286	0.861862227001091	0.252417383069646	0.885749719913213	0.593522891796619	0.806687291315865	-0.0562290235088743	0.279231765794431	0.659378857920919	0.646580002351026	-0.162469195144124	0.435976292745166	0.0245633173061024	0.355915231444841	0.768777071222923	-0.0330263570610874	-0.376899946912473	0.133405015938694	0.268374644400381	-0.114165762573417	0.480203101762865	-0.104838241517523	-0.418411414048995
