""	CD74	NCL	APLP2	LRP1	ITGB2	PLXNB2	SDC3	CXCR4	SORL1	SDC2	ENG	LAMP1	TSPAN15	LRP10	ITGA4	ITGB1	TLR2	SIRPA	NRP1	RPSA	PILRA	ACTR2	NCSTN	MERTK	CD44	TREM1	ADCY7	TLR4	CD93	ITGA5	ITGA6	FPR1	ITGAM	ITGB5	AXL	LY96	TLR1	CD81	BMPR2	KCNQ3	NRP2	KCNN4	FPR3	PLAUR	CSF2RA	STAB1	IGF2R	CSF3R	TFRC	TLR7	ASGR1	ITGAV	VSIR	TNFRSF21	ABCA1	DIP2A	NOTCH2	CD33	CADM1	LILRB3	AMFR	CD63	STX4	CD163	HAVCR2	THBD	LILRB2	PECAM1	GPR84	ACKR3	CD47	NECTIN2	PTPRA	UNC5B	MCFD2	SIGLEC9	CD46	C5AR1	TREM2	GPNMB	RYK	CLEC2D	ANTXR1	RHBDF2	ERAP1	PLXDC2	TNFRSF14	CD69	TSPAN14	PTPRC	RACK1	ADORA3	C5AR2	CCR1	PTPRJ	ST14	LILRB1	SCARB1	ALOX5	JAML	IL6R	TMIGD3	TNFRSF1B	C3AR1	CD4	TRADD	ITGAX	TNFRSF1A	PTGER4	JMJD6	RXRA	HLA.DPB1	SMAP1	ATP5F1B	SORT1	TNFRSF12A	CD68	SIGIRR	C1QBP	SLC1A5	MRC2	IL2RG	CANX	LPP
CD74	1	0.750940386476959	0.736603379734906	0.568251018888807	0.794259089721033	0.551750352186165	0.372611299178055	0.80896279789413	0.879989778321848	0.392509307619835	0.67270473085381	0.754677426950256	0.762469827484016	0.854892971125021	0.754705654938804	0.783973798422664	0.858544014259366	0.732725381786996	0.499232518582588	0.701035269633782	0.807445097523239	0.70019543558143	0.707588338747103	0.58443587110808	0.566449223132415	0.22999411463259	0.799697635133518	0.706694014689958	0.617134900969568	0.279396131065399	0.747854932633034	0.910689188309214	0.555613107776416	0.408430090254896	0.968427537710029	0.896378587146591	0.906134597687094	0.647594749927742	0.754816249073694	0.726914841901728	0.353007460816911	0.472713010478072	0.555209854499737	0.733189705782052	0.912948769902393	0.452116476412677	0.260974511476826	0.845188104282953	0.7045045194316	0.830668269543243	0.384322824221694	0.829620754200221	0.952153666165129	0.252710982364528	0.0530438460627388	0.637309092951818	0.604352314036506	0.848201930054291	0.760721144478996	0.691032419776698	0.52573091288799	0.726531301115635	0.766457034404702	0.744206762177683	0.903341990859584	0.592323218594169	0.853454644311757	0.801996484563522	0.817122493818894	0.171499788073241	0.808387759846285	0.799779781241985	0.768231826295162	0.804984606667938	0.696250940873345	0.758500514366059	0.826154507647776	0.709006442848534	0.900013886040113	-0.0126402013682349	0.556205525399099	0.587224111385379	0.669219941503836	0.892939480850865	0.69414862467799	0.875061093011441	0.664428257180414	0.83902887705489	0.67289849286848	0.909605775571794	0.789837581990725	0.913530627921707	0.239019576363153	0.694409880259904	0.541785101857114	0.678769096130691	0.893655587823773	0.58557727661013	0.822859258934588	0.630064209679078	0.540111973581823	0.613884505904444	0.831214022995149	0.92813169682005	0.670359258020084	0.824180753409042	0.409803812455053	0.884171414330385	0.824173991556275	0.722856735125335	0.349635517564185	0.97813414188456	0.681507122953734	0.737453315060441	0.752025017076256	0.505157916096499	0.749730830589122	0.755185533726712	0.684804502015824	0.7836472071172	0.661986329607047	0.629220181435729	0.73615496700292	0.767629261680216
NCL	0.750940386476959	1	0.868375499085266	0.610103350020497	0.934954546825904	0.773819082424499	0.375663654151037	0.521024997401033	0.863071838660532	0.364783770634643	0.869965593859218	0.77389645937621	0.884727565110914	0.839540405191912	0.954223797344584	0.887366449127923	0.821732728000805	0.873206426939326	0.746813243401956	0.964811598369254	0.505381834352651	0.953676370425178	0.826354414187081	0.558639329136278	0.791039196906828	0.562091282488898	0.840991094242187	0.632585577322223	0.859032917390323	0.669679070667	0.837870664645007	0.879122601893596	0.832605873166321	0.561637083166113	0.74627870155995	0.781700063605335	0.844628504105695	0.784167464082163	0.835326621207189	0.767997131888956	0.491937850324656	0.835127173858363	0.652941831840272	0.862859652438204	0.681803642514633	0.639642153570092	0.366667453881906	0.675168981967175	0.560960739721971	0.72930676158939	0.767136562152629	0.860759956913339	0.793395121746539	0.315003044628254	0.211826562397653	0.689486451596063	0.609627797216362	0.90403686925182	0.773336675250631	0.576640537322789	0.612264944058594	0.891041669943621	0.742765654180175	0.743994858140517	0.869931373446097	0.770525817420273	0.843366907035114	0.740826246457163	0.856618443424715	0.276074176192102	0.954817470822587	0.921028861046767	0.875525277031135	0.90076208082403	0.888640692240853	0.909391247041804	0.822292706284713	0.515418189551947	0.875280246340844	0.157517186459954	0.604410371772769	0.692881643181344	0.864861643173486	0.867545299312777	0.785043323717665	0.866363751157626	0.663799663734779	0.8036644112006	0.678110281905916	0.919452120944181	0.934375147175985	0.872898462483171	0.306335544884156	0.849972407393283	0.701177283139156	0.882650887948238	0.871593007194929	0.683100269960534	0.901498730297027	0.557153457534723	0.801292566100381	0.677313624732299	0.781873349883438	0.829909070515845	0.850475828153089	0.873947344441978	0.390029987741951	0.880234159468472	0.733581913610456	0.80628052597299	0.667395489649851	0.645006967622611	0.833798766123216	0.965717502971776	0.839290903038375	0.844475764830867	0.726310811554581	0.867447775090379	0.958435511837417	0.907450055831559	0.844680043258495	0.760854756048027	0.941271090741409	0.799731947792607
APLP2	0.736603379734906	0.868375499085266	1	0.865006111402714	0.903626892928907	0.835060788403195	0.679217978211241	0.496221590809856	0.891556860049416	0.664266194378168	0.944543784315653	0.943593915875839	0.917367522759845	0.913235175518707	0.820246689516685	0.962726510416818	0.849516589088195	0.930794979723502	0.906627640489997	0.834579064532357	0.690194607019405	0.92802612539315	0.904063336044523	0.814877367762699	0.826549823832079	0.729402535456248	0.877487863658051	0.828565600190107	0.840421747164192	0.734607675463792	0.885937398098052	0.808603412212811	0.884844967637809	0.819057526607986	0.7382281534468	0.861012479752432	0.837143612912426	0.941854667856158	0.878423743993635	0.793319622086142	0.716125203141492	0.70564183689999	0.822716642023507	0.953351511204971	0.720737779287888	0.805549539558829	0.659021250187409	0.765923067310257	0.736569158487849	0.819893597154941	0.628333727192931	0.910092142675866	0.703433240370995	0.536163541783304	0.546398078629317	0.775208192593552	0.713202057210897	0.859460825802653	0.857590719065069	0.719370162628292	0.7999112185113	0.947022495041236	0.888218828409345	0.927259014237383	0.889782300452386	0.846814719558271	0.831459884376884	0.891111597889597	0.838905333355504	0.484645210617237	0.90493549657126	0.896186067401281	0.900190920366198	0.881518452656886	0.912876372096544	0.8387373826454	0.891246988836969	0.741667707270327	0.900679806197751	0.442846960033173	0.772634406269642	0.815441337974204	0.686506196772501	0.899396267045902	0.816130488701254	0.871331765750769	0.810824598769431	0.754570765915877	0.871509106814588	0.855274344211336	0.862532840258568	0.892607209008197	0.519180486664822	0.926699498705145	0.869716297867834	0.889797527130875	0.881623865038081	0.825675781640076	0.825234069627514	0.452743619827449	0.835314694451688	0.874450742910604	0.869234908809304	0.820741708914035	0.942718025153053	0.882627579818737	0.692206112305859	0.918750865792262	0.769894715429808	0.811025270348282	0.788628294330302	0.632677429959555	0.836488182589995	0.813387621128778	0.815922037647565	0.795729041239363	0.918722911884191	0.858673377005209	0.791722649889638	0.780258163067504	0.83057323758743	0.775761134154118	0.950712196549216	0.892595028835119
LRP1	0.568251018888807	0.610103350020497	0.865006111402714	1	0.66873368586398	0.821927813749455	0.844076058516707	0.369857415993699	0.780845755213891	0.716048127350855	0.833647542313221	0.823470063789262	0.74502300030354	0.798977075132558	0.574251847540704	0.830874453504791	0.75032100479577	0.842659929180537	0.854343367037221	0.566014745383454	0.65339423822219	0.738166911245988	0.77579518351694	0.900250852406141	0.750082410371795	0.664907209753004	0.789380450975133	0.866665755616476	0.732246952542566	0.643723729169626	0.786524569307001	0.541404227363073	0.795919823399624	0.8909015038137	0.588123439594248	0.692705711504643	0.646088031630696	0.907494254428384	0.811527597872026	0.741069246625716	0.776784081525921	0.432366816940202	0.839634761487946	0.815206493198446	0.655710980079365	0.831303248157441	0.752310156187624	0.778150340569248	0.798902619997031	0.768620861091866	0.392070266531551	0.819869921807542	0.480384033347177	0.635679880694363	0.707669328243428	0.765131539617262	0.720734485421543	0.633991401294539	0.7745687105299	0.696196699754787	0.819539859813425	0.732326400285167	0.853487189016453	0.906248736976748	0.712445667254205	0.76879244997456	0.670438849183076	0.874129843048723	0.68366890909865	0.645339270590597	0.665872625476923	0.704126239979073	0.802726980037008	0.74400647228774	0.734211139198868	0.561513666047817	0.764019110415311	0.818592396971851	0.699419078195991	0.497353483605079	0.784885772823203	0.812914636379524	0.496834924652158	0.761764705935098	0.742304673544673	0.765490311892006	0.767743636918998	0.613523330210645	0.917476152123446	0.641709116656621	0.644830158414828	0.703976964566927	0.662844621187363	0.773755292598311	0.867506220318453	0.725472936340579	0.737413920430386	0.777281427434446	0.642229171920664	0.280158083996716	0.725440137127806	0.792400682317511	0.790558319486358	0.592001130759717	0.866614117467486	0.695138640686179	0.787795250844538	0.774652889614345	0.707950663456948	0.679682163910527	0.77107342104246	0.490865951965634	0.665541290819892	0.497304015216026	0.706177870091756	0.55913504660708	0.814691013135011	0.703241475911397	0.478280022060089	0.493838601637887	0.736844387788685	0.685546448094871	0.775324662437466	0.84475189886753
ITGB2	0.794259089721033	0.934954546825904	0.903626892928907	0.66873368586398	1	0.738720441267221	0.390815322617231	0.547409971486282	0.892623722880906	0.462249365442689	0.891162950051995	0.871041139956868	0.896632090687011	0.878203853681065	0.912471725295522	0.928053777742736	0.842087136104179	0.871520831901217	0.772407990698392	0.921528121173952	0.666141609421782	0.922857441308885	0.864989626625306	0.581879386325299	0.770327004422011	0.675014890510514	0.835433822699128	0.65441620511786	0.81306816975104	0.63796037469277	0.807722139911645	0.92506535732255	0.836907443100329	0.581770304688977	0.789062989035037	0.847932353761296	0.879953801973193	0.79817257858643	0.826680863079749	0.766942071585105	0.523789489042023	0.835006599359828	0.637853180946209	0.928620388234139	0.71699778752119	0.611948237855127	0.434627830999239	0.714680227045288	0.586785839414041	0.749877764212132	0.718749829954818	0.844703315163318	0.830329416088447	0.307800557955049	0.302830412863413	0.665844382027153	0.621004089838146	0.94543287405067	0.802140359282924	0.685405241972185	0.659672630746062	0.943289591802175	0.80002917153198	0.790941411421213	0.926936700352799	0.75634718065897	0.838594975292415	0.781961814039381	0.882858975114615	0.275561291611219	0.945288864232783	0.941714253921564	0.864190941220296	0.88125380784625	0.900337389993447	0.936086439917316	0.860292592891253	0.590992862755658	0.943469385134112	0.306097559746426	0.614415788187966	0.697447410284516	0.796464238209251	0.900839930916006	0.728608835093214	0.863992005154397	0.736207114676166	0.775734128808791	0.729022454733856	0.937896327640621	0.929908606099213	0.914509517055903	0.310698219156739	0.876764210733405	0.724234651402802	0.839570642015441	0.885161689815511	0.663483800094834	0.911669217967664	0.602263684637771	0.7918387570837	0.77559893520493	0.855783093209017	0.901491841117766	0.844703448487726	0.917350122379024	0.523050593561355	0.910291692655881	0.714045254083464	0.825634895826214	0.684775606513106	0.689733270586983	0.855523186637432	0.936541145708334	0.804173644768225	0.868901115440143	0.825703142862436	0.887625978671362	0.910891772645743	0.899493060407117	0.801823261167224	0.775531084941424	0.940685018601178	0.823567928638335
PLXNB2	0.551750352186165	0.773819082424499	0.835060788403195	0.821927813749455	0.738720441267221	1	0.664723962224879	0.331198824010959	0.803073370416324	0.497058171948967	0.858783268345437	0.709700088509635	0.775128688022238	0.778069954928524	0.75368124349261	0.832189236000432	0.761337032453751	0.887198802914357	0.829518015264213	0.728612519062011	0.440260118971785	0.857890170825511	0.780669073249958	0.773888366506246	0.792810034173588	0.630215030508888	0.818324497692019	0.737074289921571	0.865888879997629	0.721348466737149	0.807371678577854	0.607140686509615	0.879850846545714	0.765535121260431	0.570562296451502	0.620376194276625	0.667201151706278	0.881035910838313	0.840525444354259	0.802418792335394	0.6577398541766	0.641189827646853	0.793733458356573	0.797795244340471	0.608914112250437	0.840131456694603	0.550523114935796	0.698097385350189	0.680568980425632	0.743507612838538	0.583905049953721	0.812368956127247	0.523351350460283	0.526466242107373	0.496155875099763	0.766279912752966	0.652268746698667	0.70782110486474	0.729924416749461	0.559302554514609	0.716187391987009	0.737291132037339	0.756018563042925	0.810085774119726	0.713735666589476	0.825659375800014	0.723730884005756	0.797620079105836	0.709802264865047	0.564360933626816	0.754468500455932	0.77690135513705	0.83559692503057	0.821506390613153	0.79810237571582	0.642743864637287	0.736273943565303	0.624776713691195	0.703173146661378	0.290952202645392	0.727693149189907	0.801501181254848	0.69388480034086	0.755131915634225	0.788000301953499	0.807499155714834	0.672040050635635	0.651423917785336	0.819831703847618	0.708138032358488	0.736590116849416	0.710360681529659	0.583218807507518	0.778940707883829	0.86179174535395	0.813227242690089	0.749950353712828	0.74559121384543	0.767695873446493	0.344328064973557	0.778500178967044	0.691741867380511	0.740614490045447	0.579397984398944	0.899750767543833	0.693557149188366	0.578346135768007	0.757434795249734	0.691242685602833	0.679462901932855	0.787549236077128	0.448243196835384	0.69896281458166	0.668331147576921	0.737137120296031	0.711458384387214	0.675252443308771	0.73139754305739	0.661169703561397	0.625416174600883	0.819788727621542	0.709429527403378	0.841206090760151	0.833650883126439
SDC3	0.372611299178055	0.375663654151037	0.679217978211241	0.844076058516707	0.390815322617231	0.664723962224879	1	0.207370711384563	0.534159474229934	0.652686107037393	0.671889750698314	0.636998802410881	0.586878113647087	0.598987934371721	0.344473370252253	0.615900877789628	0.563943914246156	0.675750898406253	0.717641849363901	0.308497741538048	0.442070336974097	0.550322765266098	0.592467679726903	0.907959881596536	0.514215567676627	0.449140095560068	0.633004157408037	0.746339229066983	0.60076021511685	0.51778276014646	0.647934586162859	0.302159181788114	0.574225784259724	0.849156619884639	0.37758452928478	0.48064186158781	0.395167903856605	0.798244815956682	0.634228096909676	0.514753166734763	0.613670232797068	0.209190865965767	0.835277502687774	0.599887646354396	0.464010866550508	0.837349710990717	0.691811890204354	0.599845576932754	0.729242630325267	0.637088888511646	0.203962898750445	0.661481352563683	0.239262292488547	0.668694092043718	0.640707976880396	0.595225134954749	0.516437933392709	0.377728189472492	0.564297353032271	0.463782600073728	0.675677390698914	0.498201515795412	0.697223944971393	0.797592758291416	0.462362103698483	0.652739260635162	0.474767679338551	0.728672279510315	0.495230636305585	0.674618351237277	0.453174124002118	0.463904141584655	0.566670746038607	0.539643523150436	0.495068798779313	0.329434988877253	0.541293757926071	0.684675650862855	0.479490237645399	0.333728737958617	0.634466741612748	0.6353293377291	0.253844037494895	0.53497031885255	0.645198425126072	0.556469987962892	0.533759885341662	0.442641329283247	0.764325893389011	0.375451330832624	0.371432742322802	0.512045208044007	0.616453582712281	0.574324153929113	0.768327438458403	0.595627013720122	0.552165858125959	0.72204538379459	0.37628941596413	0.0207868957119687	0.494561963005044	0.670884731729787	0.549762436984963	0.373821934354715	0.72112169960761	0.448473491497056	0.643602843081972	0.562258047308844	0.588048251113009	0.441536178024358	0.589975279925208	0.318021116029106	0.372074370291097	0.253233688478732	0.494654232272844	0.314102548197322	0.633035921225182	0.428550689499659	0.245235377061191	0.253798169170543	0.562919372719342	0.433497288350363	0.538656097383168	0.642016678427298
CXCR4	0.80896279789413	0.521024997401033	0.496221590809856	0.369857415993699	0.547409971486282	0.331198824010959	0.207370711384563	1	0.631534421803864	0.349798277213099	0.3845081204436	0.500759691220027	0.46968375319515	0.64736525254212	0.495375788267662	0.572238379517513	0.650321333352763	0.500375403866036	0.242143911898478	0.496682102199101	0.702949779054904	0.440243308902837	0.450740842426423	0.418810482362284	0.517041202486449	0.12253300453022	0.530250945891261	0.615103514190485	0.32508079359177	0.163170649955423	0.545891579056526	0.658393523607938	0.324702592138708	0.23177052266052	0.79278289856721	0.71010088762642	0.679856460528953	0.369300081667723	0.546160531108571	0.610917132194149	0.346986491438742	0.185652947720103	0.322383637061935	0.520645475327677	0.844040527964915	0.166394934416851	0.192945506847602	0.741903338587232	0.560247653077384	0.665092556965494	0.219753148186253	0.598038196610715	0.804521638319474	0.295375874669199	0.0582070503535799	0.546013894537371	0.532185754450506	0.584597521990156	0.686340387559559	0.663380003910237	0.438774139194294	0.464780153661868	0.609727908689705	0.478210839982488	0.679868501958583	0.365868219949677	0.653870305254698	0.597383441134252	0.594478396651311	0.222791957012379	0.578104557895781	0.550604009016782	0.584060374587054	0.536031300087614	0.478834010478551	0.497256023523442	0.641791193135251	0.660012224416844	0.606723370498098	0.0716901779287963	0.472053318348649	0.462617414186379	0.504091238230478	0.636002191836011	0.505505141929716	0.678819962728139	0.554859575562104	0.746265616130285	0.51347096806792	0.713027745458493	0.605996064047226	0.625212908815964	0.278754233522539	0.487795868917469	0.300725917775711	0.470567645317748	0.626335874924226	0.462323636095301	0.589512388690547	0.687148918077725	0.408211872398225	0.292966101767442	0.668423253181083	0.71620849128588	0.408740302729113	0.612007622621312	0.345292645293121	0.653482519531752	0.74630731808415	0.686224131458155	0.174123675200719	0.860687330904172	0.590981656919619	0.489079057308845	0.601170985378262	0.272007279664414	0.555728954370624	0.599254721155094	0.445355480971831	0.608406395727389	0.483491751360875	0.521551154854364	0.500618129728529	0.583057652483384
SORL1	0.879989778321848	0.863071838660532	0.891556860049416	0.780845755213891	0.892623722880906	0.803073370416324	0.534159474229934	0.631534421803864	1	0.496429115077142	0.865051232858273	0.856519928125929	0.86220849440285	0.928631376930298	0.847592964185972	0.931942246132202	0.912158100414507	0.896578328584648	0.747610878431086	0.812980138718735	0.755333342091272	0.875359067351748	0.837808440129563	0.711315857538694	0.759979173292681	0.522774917943834	0.908168852135297	0.800457404023012	0.803385943682376	0.540252081229226	0.857733976627716	0.876077495415639	0.803644227179009	0.627556726052003	0.8837010713728	0.870311958046156	0.891702706245405	0.843132541952361	0.891309567976729	0.863769817000725	0.567551365004214	0.657476468904922	0.700930429419611	0.883192831983888	0.856563545857069	0.673973293001824	0.460633878451928	0.868571681064289	0.752870556753626	0.876662815047064	0.546255763003077	0.91558658647379	0.845713251985254	0.389871768535242	0.305596484152309	0.765690782012164	0.717328445889842	0.898059147456254	0.838241841296085	0.738632677983646	0.713008931374917	0.850170118921365	0.869914140685389	0.86436356960198	0.936081566251402	0.760812220571092	0.895964246444613	0.891280198421149	0.874696987393408	0.356064468786395	0.886837126497165	0.911436358266096	0.910639534986801	0.916493638551119	0.853678222743005	0.813062200699226	0.879099786550285	0.761195922713384	0.929472327700543	0.202261181224656	0.727368169070385	0.785596085877419	0.756896777437935	0.944724176123962	0.801838741591976	0.944039196295917	0.75731297531305	0.83836664551843	0.830117857594339	0.933924728166348	0.877227301702735	0.925024811337173	0.420286657599483	0.840444816279661	0.783528594476444	0.799717213965424	0.926621552592429	0.712574062001869	0.89800319094297	0.559153328375774	0.748477000798712	0.75926387700311	0.919328486964408	0.868743219681072	0.865729226223743	0.879958725274945	0.600220820843906	0.935342648966034	0.825119152729525	0.811074017624416	0.640089657788352	0.805550075601168	0.798951561219224	0.81026398693488	0.866234667100002	0.715056010665921	0.821220996760607	0.871385092272893	0.775535523434836	0.809865603094601	0.830443956548801	0.792925067532199	0.89460310808875	0.901531871630749
SDC2	0.392509307619835	0.364783770634643	0.664266194378168	0.716048127350855	0.462249365442689	0.497058171948967	0.652686107037393	0.349798277213099	0.496429115077142	1	0.549207204338549	0.706231779507258	0.504052413884153	0.608595933429875	0.300440155099697	0.634964546745056	0.472042099985607	0.562011964157055	0.641007372303444	0.360900486866306	0.61529262778598	0.465004869203868	0.549927740543504	0.714559200235266	0.566082380966903	0.578492727832171	0.488432179460691	0.707947853825132	0.355198990255064	0.468085136862066	0.551147041702086	0.342733732371255	0.489444674775754	0.714804553279467	0.422202830197386	0.583506783408524	0.436195893342536	0.638098304857648	0.563522320954026	0.42683523802217	0.676674774951017	0.203774308289162	0.586486806440513	0.636081283157782	0.482488040403683	0.503646638279451	0.633285776354493	0.538108577292833	0.596635116133672	0.524943251515694	0.193611020313253	0.541114014922528	0.319361721617237	0.584650717843685	0.707610918047624	0.547985356710241	0.553621771774414	0.404849889193691	0.607825911022014	0.607287665140569	0.651535055025107	0.591523499277693	0.672232881407344	0.651769885618367	0.519726359986364	0.502383487440986	0.468270104808517	0.603793842549571	0.452000332654957	0.529175392626802	0.465943917953	0.479136574744828	0.568196958385832	0.434964188331133	0.541689998461562	0.362886133255399	0.595974460545965	0.706997296496083	0.497148421937745	0.626480235232867	0.611770505220818	0.613772270517047	0.199768021567324	0.50208858792437	0.435777595539625	0.491336320424757	0.672314866312101	0.439851808543065	0.684646500987209	0.426622094077059	0.44554056622888	0.487751530954684	0.586909795949415	0.575800492587207	0.616198182649014	0.47399023745849	0.466610354807568	0.634944561170154	0.361869558761488	0.240714838218491	0.521587252085269	0.642787011608273	0.589382472321979	0.452005105934742	0.57953775347441	0.516690102914316	0.754413615460908	0.560001834883601	0.504735954097235	0.522818155614224	0.533091751790314	0.357340825550872	0.517432035554912	0.304118957554222	0.452229523168282	0.393897515837397	0.745048535920848	0.517165704231378	0.280963715946584	0.291783353434291	0.423907180640907	0.536874902599594	0.5465337187375	0.551424386089083
