""	SIGLEC10	CCR1	TNFRSF1A	CD40	CCRL2	LILRB2	LILRB1	PILRA	SIRPA	CXADR	CD4	HAVCR2	C5AR1	THBD	KCNQ3	CD163	TLR2	KCNN4	CD53	TLR4	APLP2	VSIR	ADRB2	CD81	TNFRSF1B	ADGRE2	SMAP1	TREM1	NECTIN2	PLXNB2	CANX	TFRC	CD74	PECAM1	FPR1	IGF2R	CD47	ITGB2	LTBR	TNFRSF14	TREM2	PTPRC	ITGAL	ENG	TNFRSF10B	CD72	PTPRA	TRAF3	ITGAM	PLD2	ADORA3	AXL	GPNMB	ADCY7	TRPM2	SIGLEC5	TLR7	ITGB5	TMIGD3	CD9	CLEC12A	UNC5B	TSPAN15	RXRA	P2RY6	SCARB1	TLR1	STAB1	ASGR1	IL6R	TRADD	ITGB1	CD33	NOTCH2	PTGER4	LRP1	CD93	SORL1	PLAUR	ADGRE5	TNFRSF12A	LPP	CD68	MCFD2	CXCR4	TSPAN14	NCSTN	RACK1	ITGAV	SLC1A5	ABCA1	ERAP1	JMJD6	TSPAN17	CD44	MRC2	AMFR	CD69	HLA.DPB1	CD63	SDC3	CADM1	C1QBP	ITGA6	ITGA4	SORT1	PILRB	SLC16A1
SIGLEC10	1	0.717232626761123	0.853964200470657	0.703062185077302	0.641101096713888	0.8324270931163	0.924730301236123	0.428172321036204	0.715129342383282	0.702248390017301	0.852682583889109	0.718293287928571	0.510402274534251	0.646351711493941	0.756332932203281	0.835144558225862	0.785433076897188	0.423430889356473	0.739505972192848	0.737786307387028	0.654836871846943	0.917697339221347	0.82032206955545	0.841263189889475	0.613779462547242	0.871804056277216	0.543102909962285	-0.169052909142427	0.768702420513772	0.718527454024677	0.64248056862837	0.699562483234036	0.930367540942766	0.885093440512378	0.780276706935791	0.181516012135752	0.713764519892887	0.731538866996724	0.808582185622312	0.229035129601875	0.831948083537658	0.807789149960841	0.805857813169371	0.749544765203794	0.703711825953651	0.579435785587845	0.758432402741229	0.317252193622248	0.663806011020793	0.76841153674481	0.911739946439281	0.925611391032641	-0.220046789311509	0.861970675445783	0.792018432519129	0.599477471321984	0.903104242188093	0.712958394562802	0.615461785203856	0.182621304398638	0.746237007770735	0.888245504903534	0.780484866705981	0.26509999056407	0.644815210877328	0.734280348765895	0.756376844515759	0.820275473408489	-0.0670332512464191	0.313011382846638	0.781455824811466	0.714799306212835	0.81581767759786	0.481497305659328	0.767224159356258	0.767688204746971	0.582169386914295	0.853254804878032	0.59427187071111	0.718610820749162	0.306408350158017	0.807939891511017	0.627882572365152	0.681807464682485	0.271008988290101	0.78301606148345	0.683848636933046	0.734389992115407	0.877846204886175	0.714364481708799	-0.0321480033842079	0.72540755404674	0.732684440854674	0.799618609055354	-0.000389341179471208	0.779208830832229	0.404172194768555	0.789381241474744	0.907149897671159	0.590834742497947	0.854942311351801	0.621817660305708	0.646657228609553	0.833677498516271	0.744394221544795	0.712091438097461	0.854176064974711	0.614061221412782
CCR1	0.717232626761123	1	0.90944886536425	0.845380829467894	0.811442647638717	0.650811168021165	0.818533223388951	0.654676444848578	0.874128645705054	0.913855555734823	0.87727992507338	0.894879241133157	0.64897091330484	0.68113948425675	0.794474762266167	0.866847793582806	0.850894345256249	0.66197964100046	0.847995340096692	0.795021670717774	0.900922631033966	0.819093428314527	0.671548153046457	0.829326478198721	0.848093141214438	0.724302213001272	0.851841820431648	0.294797090424432	0.881328970482089	0.845275002746418	0.921003369140184	0.484247480548758	0.737667110494935	0.725522689343383	0.806646400746556	0.633436814824019	0.856416121081698	0.882594387980825	0.898703062981237	0.574854939091874	0.843082504165427	0.904175325547382	0.77663499037475	0.836666834427035	0.706040371134966	0.652489635615572	0.847389432036426	0.643673038444228	0.865351400666377	0.781959658172196	0.863591848723697	0.765310192617887	0.324370342433971	0.785870477949554	0.781880015119988	0.771670229996243	0.740261098413134	0.795627387355904	0.84206261162069	0.573945678158448	0.437837825250568	0.731556459793933	0.847923892815933	0.681579975501866	0.785962240472736	0.846946907765501	0.909194381003052	0.781348131109064	0.143845235640873	0.719005390488192	0.896274991705102	0.915166722199855	0.831271201416219	0.653910550593472	0.682391504705351	0.817868683362204	0.66701664550088	0.888825659677945	0.846518854789057	0.658790058669966	0.690555470723257	0.842861036676725	0.881911558341242	0.899347823606701	0.401664411542727	0.836044937418263	0.825286711818584	0.885749532067885	0.822294741262787	0.836709250158267	0.457172835292024	0.787106570280742	0.800235951869783	0.836608903157071	0.42475046268449	0.634791565025898	0.70052037515479	0.640358870563728	0.628832934047113	0.888851112176035	0.678109353434795	0.815721232423526	0.790371506389352	0.8153642549983	0.823492085919578	0.844614644132863	0.716264667341383	0.722012000509591
TNFRSF1A	0.853964200470657	0.90944886536425	1	0.866410975539832	0.822188874785218	0.765821095403818	0.922872008174968	0.575443415238197	0.895310030220195	0.918737848549751	0.940898492877294	0.917919845079042	0.607434652890684	0.760819626799306	0.809105403432725	0.948058992136237	0.893533281688784	0.701223573057915	0.913182831411384	0.788614618921688	0.908049743495737	0.924473004513666	0.800064314597515	0.904592762883099	0.807906197320754	0.829842928205849	0.775756873866151	0.206373122288772	0.940645397458972	0.877132195032124	0.900386167963544	0.58241556049355	0.865300062559778	0.815647950938732	0.906753390670814	0.469712548246038	0.896900597132263	0.933328472739563	0.944792775674308	0.439149888232442	0.936833785434183	0.955519145160143	0.861256398993569	0.924881419575003	0.793493585419168	0.646676710406443	0.863378568023431	0.537532909647668	0.876060528045668	0.849701796369824	0.960031404424674	0.879565920009636	0.108260172901649	0.871103345163401	0.858561164260645	0.820339231526046	0.83977093543884	0.807515808432632	0.863455518330459	0.498934561801931	0.608645875756919	0.851747501347767	0.930059024598432	0.548934323127424	0.841586424455711	0.845741883913364	0.92208185846832	0.878254247563507	0.145513140718568	0.594221240947151	0.923319089113303	0.92663783099365	0.921299870844174	0.591860973442882	0.750750154812134	0.871127036161356	0.730988523192733	0.951019005457779	0.838589422554346	0.708848350237274	0.673715955863629	0.908523295815005	0.832785196536799	0.884966533775266	0.369262525012071	0.863308022949513	0.869722344856507	0.897623124999711	0.904040860820801	0.871036829812034	0.252636830287222	0.852910745524368	0.851481717593089	0.909542361409664	0.269193074591392	0.77022156905632	0.583859077087937	0.73161314767114	0.755665789920819	0.867856239703876	0.772800077821089	0.786737367826854	0.848627418851308	0.877049434024632	0.899700834045425	0.863068330931264	0.790369548913412	0.786443119373237
CD40	0.703062185077302	0.845380829467894	0.866410975539832	1	0.836147856817454	0.595033421304605	0.78451802497366	0.65794900077888	0.820059971121484	0.870651614154634	0.808277045298239	0.894039012598389	0.595869998955095	0.628138549864779	0.703177927463339	0.835513254373042	0.799115755865116	0.686328660092516	0.862675493889994	0.68300827313358	0.862924659692176	0.805186989832599	0.66547910219209	0.785412327010755	0.804021562144439	0.673702024292893	0.78302862589089	0.31503544462627	0.866310704807651	0.759099354194484	0.863742460315296	0.455622918049808	0.768353938160641	0.686772673492113	0.831087358776598	0.525899929510181	0.803422255242304	0.876843239869999	0.831233459922037	0.568123930078568	0.852949203232283	0.887591755433676	0.70098309148727	0.818652842178294	0.701177459627957	0.703098217293274	0.785795094043833	0.581355252530358	0.769804814828409	0.761740303909757	0.815238477708563	0.75896497647098	0.319595137733738	0.734282709983453	0.749533433063829	0.742682787931246	0.698621126480807	0.672618320810552	0.817518861260416	0.652583302085874	0.468259807545748	0.648062075887891	0.807177685104194	0.523688246685332	0.781681137954533	0.762732193369317	0.882052020245432	0.703150684913487	0.138923102399837	0.624692255852771	0.880596652656724	0.901970698049164	0.815460074491483	0.609523200030529	0.652803218383641	0.73804052184725	0.607014296257106	0.830154017037412	0.842557154235027	0.605769559075712	0.673182511240858	0.785827021277972	0.846612596674016	0.805965141125003	0.481819884231233	0.808566607487655	0.805256254983612	0.821367984195341	0.755737237247383	0.79713604518655	0.398911901058795	0.749463005947433	0.78971634226709	0.749821626295477	0.366303256742973	0.615218637911035	0.600075276128316	0.638571456047421	0.67605695653615	0.868121291315168	0.64282284558032	0.806292950688482	0.755948419750036	0.710567373972457	0.779451807173999	0.770921939362424	0.632581701189213	0.70000770539903
CCRL2	0.641101096713888	0.811442647638717	0.822188874785218	0.836147856817454	1	0.553397399958022	0.740894756430254	0.724964611861602	0.835075592529057	0.875911860893285	0.800516533452324	0.868737268123715	0.751731325865741	0.645354842430584	0.73169841540284	0.795580407385991	0.768409606745969	0.621740368567849	0.779051819515421	0.731643771231917	0.812725232402051	0.731897538331849	0.669659347336007	0.77496961858656	0.869415374627118	0.702735388413947	0.825750277584066	0.397374511886398	0.834052676455647	0.763168467203487	0.837528692466695	0.599115092763194	0.706232333783741	0.684592744245996	0.729164227229865	0.599771580823625	0.748906323489673	0.821156786079616	0.80362627200595	0.638108417957698	0.789090169981178	0.859718413745126	0.735586691066135	0.775919150673511	0.732633672180689	0.762734353820941	0.773329194933198	0.672437040260921	0.794490183858418	0.774295879368185	0.752611624440053	0.725711409304569	0.419279380584842	0.712261256667021	0.714157637687362	0.699299858523526	0.711861101602582	0.708166419876038	0.788538705124959	0.716519561354836	0.402033347248156	0.662683064023724	0.762908209602459	0.570741012739485	0.705196997346519	0.720279247543775	0.831743302374558	0.663636060153074	0.172183862801886	0.690426170462183	0.854749040412639	0.894567687103358	0.737483713487296	0.662846366702861	0.723735022436148	0.806227525898247	0.551318902243393	0.803612384004449	0.894658757286523	0.652201037823721	0.69760337135454	0.783714201981294	0.866930005473935	0.808503730902836	0.560613151664544	0.8687849276073	0.757000550603342	0.833816055657982	0.736027775833265	0.754734296386862	0.509134870439765	0.683992644600223	0.824441562380112	0.726200093211742	0.454180687493302	0.626350567373983	0.701495573626926	0.69412206427311	0.617606819644765	0.824214046459439	0.672660410485554	0.824014977407477	0.682902366840538	0.673581154880153	0.736196115783773	0.772745313600387	0.646386188371327	0.661311120662822
LILRB2	0.8324270931163	0.650811168021165	0.765821095403818	0.595033421304605	0.553397399958022	1	0.835835283277676	0.328227449633324	0.703322473811196	0.564876737629905	0.774398880609276	0.609894216624506	0.456242291663608	0.728562104530217	0.630581599897381	0.732381297171572	0.754969942081886	0.435249400445193	0.648800156910527	0.696274316274462	0.605140908545101	0.79651049743016	0.711996730256953	0.728234438418885	0.54475866907692	0.764485434090234	0.533435809785052	0.0323804798142301	0.70871682089098	0.690518096887451	0.611989564082707	0.610089128697845	0.767994851894981	0.778925952001314	0.659150019716631	0.229289416428553	0.697137744157279	0.661429744671268	0.74846468503255	0.243427026671537	0.701512193756146	0.72111203881711	0.752972782275147	0.676234368708067	0.640745975036399	0.507555566993384	0.688289116273508	0.304669426635598	0.688200918101907	0.634082375496412	0.792397895643223	0.772411256729201	-0.18625270857072	0.81202714694072	0.713572747741901	0.590028762780596	0.764030144109066	0.647228610471973	0.548810423783756	0.174485335490071	0.746668920219357	0.745378734773972	0.699304767040668	0.372086047936525	0.605489073521684	0.671018616496176	0.641048061814275	0.740292023266355	0.254903588725408	0.368416553855945	0.709228933106591	0.633576774784578	0.744943377694958	0.478743510872515	0.675631397208748	0.721585570264692	0.651367206084306	0.752363269135319	0.557918553905363	0.723949253812234	0.312640976911786	0.746797400334239	0.577578681959004	0.626796256890479	0.301455104825143	0.702355878859597	0.628877244891114	0.745728171936202	0.773379701483561	0.65583463635005	-0.039372177032888	0.706192844678473	0.680339319157814	0.763102855678254	0.252519448100782	0.611918566620381	0.394944024863545	0.660317576670178	0.777920863263171	0.553719740283588	0.69031034481683	0.499922052831409	0.665396020343074	0.746559460068055	0.721292327061041	0.659174299660481	0.750193663600936	0.56179713919588
LILRB1	0.924730301236123	0.818533223388951	0.922872008174968	0.78451802497366	0.740894756430254	0.835835283277676	1	0.449893924804178	0.852998313042091	0.80598532073987	0.941241254232561	0.826124581080753	0.580046609501955	0.764966234416389	0.801501556839722	0.91858490045753	0.867769350850733	0.585911461778921	0.833174037463114	0.772786222936122	0.798782533807674	0.912783475255083	0.826004732477023	0.915889448921636	0.716734089591353	0.893554686363376	0.674039056037438	0.0628594602588981	0.869172916654983	0.824106127961797	0.787666802625162	0.697007848813164	0.895047096924244	0.870603574404228	0.847866660231645	0.337261841972099	0.823514348988345	0.843725552424745	0.899646956077535	0.286015254045691	0.900043665201069	0.904484346416734	0.875711677838634	0.86065969885303	0.7698125936596	0.607277024620997	0.835588544745696	0.428182835070802	0.802332739688008	0.839082931777255	0.953550962533502	0.918966615868548	-0.0906232320854155	0.917732329245249	0.875839849698221	0.738665814255958	0.897729358351044	0.803181928095056	0.773576944353268	0.330461172223919	0.694627421353282	0.911562622392213	0.88465944940271	0.420837977724913	0.752363157338813	0.809617988895788	0.83877148280706	0.89523463121058	0.101829263167514	0.460089391901976	0.8535846852722	0.833706582742084	0.885127334486715	0.549384447052133	0.786607535011995	0.86133514277108	0.716665479306459	0.914682960078424	0.746454039880187	0.776210376518449	0.513709858743544	0.910956911398746	0.723527097284461	0.809160725866857	0.314721134548987	0.843504435143448	0.798734012979458	0.842339279587013	0.930276126294263	0.813241029053565	0.0767764473480866	0.810464851660034	0.788385949988996	0.890399382158699	0.159709803732365	0.808198412609168	0.489529501770504	0.796500759214562	0.829477893386274	0.734527024104576	0.843351237694851	0.688185369699631	0.774915702614165	0.886956652342981	0.868166464378203	0.792513488626115	0.847912208182924	0.730640446933983
PILRA	0.428172321036204	0.654676444848578	0.575443415238197	0.65794900077888	0.724964611861602	0.328227449633324	0.449893924804178	1	0.521696909547357	0.703304089806095	0.467552720299357	0.647594583163425	0.798366672486206	0.251361420135379	0.65092382171128	0.461711063393738	0.534656979805616	0.238053129389783	0.482581452989959	0.677790035547064	0.527829449149669	0.584220078001451	0.412762881446991	0.449092613587106	0.812247016774963	0.427670792221809	0.769326353444676	0.222266447704332	0.55425834455311	0.448131228808309	0.58459198289311	0.385703463046611	0.564241145460172	0.586955621560708	0.41915386741075	0.600514541111947	0.432167542019621	0.549114775589264	0.523287863476877	0.858038865215322	0.50866167605322	0.606533761086795	0.464488083720022	0.421583353466249	0.377609407917708	0.775689791644117	0.533354601329728	0.771416341263232	0.52587666202099	0.606421139001383	0.486067598329638	0.570753909805843	0.65844976154369	0.44091513371269	0.307376246161404	0.328382375849911	0.534502819422816	0.452021292721307	0.475569449767736	0.717143564610333	0.214188475939854	0.352738740876336	0.435343836561283	0.495053680131488	0.386743693829051	0.536903419821947	0.695802182239027	0.261928147108959	-0.129692905312839	0.701183806051449	0.693117423610044	0.662643210762317	0.42011285439533	0.624273396037469	0.562101880887606	0.55381353072004	0.116475381784077	0.572821400795232	0.671496263943416	0.416963860366273	0.40864480355796	0.457431339983341	0.806500522119462	0.557408735589191	0.654898349510654	0.692504020560195	0.448462766411454	0.630542846929592	0.437142029119354	0.435607140214873	0.766865689418746	0.378070167293393	0.64138429331492	0.401136869634128	0.452587148429224	0.313649805608469	0.705357308070416	0.429502133494588	0.545268513287079	0.607647327082347	0.430254213862728	0.736893528054294	0.287906433316672	0.375173286671734	0.369371941986018	0.67472353369757	0.46434855853431	0.238494006906227
SIRPA	0.715129342383282	0.874128645705054	0.895310030220195	0.820059971121484	0.835075592529057	0.703322473811196	0.852998313042091	0.521696909547357	1	0.873403577459189	0.921784644780406	0.880415046585987	0.652489794436772	0.778990286638567	0.774758049658484	0.885114718786749	0.856559107446187	0.732214102078017	0.836649716196358	0.755326203772583	0.886472253206322	0.775436663284553	0.688278412208735	0.884854963074728	0.820788525933579	0.802243045758475	0.82009264091009	0.418914138321953	0.899166753774514	0.897066198767583	0.914521671724371	0.595580260731651	0.712655699441156	0.722549045548778	0.793718783338046	0.583178203480958	0.877173212946316	0.88713149678672	0.916734374580555	0.484430036581864	0.833243962810307	0.925177367528571	0.837035236810768	0.89108745324758	0.769872416001293	0.639352909668956	0.877469657316844	0.623290501691062	0.91306846486973	0.785726152305033	0.840553314096856	0.7788966525214	0.24089802787678	0.818986795911176	0.8687054906857	0.794394495821818	0.756807550357557	0.851381608818318	0.882011955439713	0.566870211695536	0.460688103353504	0.789775528411663	0.884863144388655	0.66084147958565	0.812615215991556	0.850647806759862	0.850280218001725	0.841875203300898	0.312293234616965	0.695204727700894	0.866883330550393	0.910203902610824	0.832212327507297	0.619877025360871	0.734400348443577	0.87052295233868	0.796042331581632	0.889734140626892	0.898530884735956	0.744746340959037	0.754239433488843	0.915110623517051	0.82548140764037	0.900217544174548	0.427278178354781	0.830584533779159	0.858883096561794	0.930677350057885	0.876410021694899	0.851268334905653	0.353320016001533	0.81506731155778	0.817252304020812	0.868914549745814	0.464177375350695	0.69847246617199	0.645437130133282	0.713768312344663	0.625595319331107	0.848539129449447	0.718263237008079	0.795957383789439	0.840789200650545	0.822561612914815	0.914454441777653	0.824928149648455	0.74137841939751	0.790536828223791
CXADR	0.702248390017301	0.913855555734823	0.918737848549751	0.870651614154634	0.875911860893285	0.564876737629905	0.80598532073987	0.703304089806095	0.873403577459189	1	0.873268815873163	0.93876579198833	0.696641978093725	0.647925057470206	0.809162160285735	0.870753738357275	0.818610004417792	0.709786203557765	0.862967560357919	0.759632681672285	0.91907029410302	0.809899935542502	0.679174826763199	0.851140284091171	0.898525994417019	0.733614515445914	0.868849099706821	0.339014425539681	0.902860268763211	0.838027423127806	0.927041423793146	0.512217764607003	0.745176356846445	0.700684267258999	0.832069178879736	0.642218495699385	0.843454487893563	0.914449891097089	0.890511277024291	0.593124000162655	0.880489334735612	0.917457168030083	0.794999106009183	0.876797071408047	0.738244565365517	0.677880045734107	0.824565477868763	0.675640969560391	0.844521209249517	0.827487704622129	0.860066401089514	0.793863735719649	0.376852064698278	0.747351614863312	0.776173056781317	0.807564311834795	0.749375255118228	0.79201806214079	0.898351143885367	0.678097824513874	0.381791947816671	0.739512923992026	0.876692853614336	0.623349217640122	0.798621622525727	0.789394882789387	0.926881686672291	0.778278910827914	0.0744972029707308	0.705911195125928	0.890572223725467	0.959032377167072	0.821751982926851	0.635876433236147	0.686442215947881	0.856785368442385	0.657206736094025	0.899774038666228	0.908259109129946	0.607879046515828	0.787901884255471	0.849778105097914	0.897694583289072	0.888684208062531	0.417848061019208	0.860651604830302	0.840342939280361	0.87287148434554	0.820786102015599	0.816361919033068	0.506060485662583	0.77078266400034	0.834358338996063	0.833030340881365	0.346954371270546	0.686983820054803	0.696715773086507	0.657618268836511	0.613808383917461	0.907884975940319	0.708683528830082	0.872606904587533	0.759500856066648	0.769990212600204	0.828409667798528	0.863621486832222	0.678387442791396	0.740993162549713
