""	CD44	CD69	SIGIRR	IFITM1	ITGAL	PTGER4	ITGB2	CD3D	PTPRC	CD7	ITGA4	ITGB1	CD8A	CD8B	CD47	CD3G	CD28	KLRD1	CXCR4	IL2RG	ADGRE5	CD4	CD2	CD247	KLRC1	LAIR1	CD226	TNFRSF1B	C1QBP	SORL1	CD46	F2R	CD68	SPN	TREM2	KLRB1	ICOS	CCR6	CAP1	CXCR3	CD27	S1PR4	CXCR6	FAS	CD81	CD96	HLA.DPB1	TRADD	SDC3	TNFRSF1A	CD74	TNFRSF25	NOTCH1	CD6	TIGIT	PLXND1	NOTCH2	TNFRSF14	ATP5F1B	TSPAN14	TSPAN17	SLC16A7	RACK1	ERAP1	GPR171	LPP	SMAP1	JAML	CLEC2D	VSIR	CD9	CANX	RXRA	CD163	PTPRA	PTGER2	CD63	NCL	LAMP1	RPSA	APLP2	PTPRZ1
CD44	1	0.92727454356132	0.903857679527833	0.882623955732623	0.79658265819864	0.933745089560077	0.502695460736504	0.902729124009968	0.891397295412366	0.799744233329141	0.803348855974455	-0.660036149402015	0.837292031440543	0.364476134498968	-0.752621698205626	0.909332240839847	0.903041924037655	0.79408895431951	0.956909340761157	0.908309145521096	0.680821980521243	0.273346857697354	0.903538904502134	0.779033661313238	0.752439979637118	0.208482690532093	0.473917679082644	0.57071366693293	-0.468774909661607	0.464727051024236	-0.854828512415589	-0.0181733966583459	-0.0687780951277068	0.892494883646786	0.13440525666243	0.945286501331838	0.785459994089458	0.786021842895337	0.0165593148694153	0.681566399692697	0.877843469550867	0.84778007915288	0.822767118787666	0.192060694592085	-0.741613297447651	0.785608413892981	0.13867488701712	0.816043220323282	-0.792479433771914	-0.890694534507422	0.1326630501992	0.531652237712777	-0.723609505145955	0.920840300880006	0.628954304136219	0.079390688275885	-0.746543732827144	0.81337666290385	-0.645370722917508	0.307886843074276	-0.14983913628322	0.0592877462989332	-0.509578080986304	0.15426471824573	0.848125866075178	-0.801096799118242	-0.737290356736358	0.819912934661523	0.811625742538012	0.178386301898186	-0.818929314546894	-0.696169517691908	-0.829811474046679	-0.0768244341192936	-0.771380703292956	0.911382825344184	-0.786424111055229	-0.640743020254654	-0.672046192000319	0.549530346801227	-0.795660400518392	-0.742424967328429
CD69	0.92727454356132	1	0.874634759356357	0.809895707747438	0.793246729446908	0.944371147014697	0.585326096646732	0.917569961481182	0.82383387750628	0.889136689059225	0.701638882996666	-0.806410124625196	0.906324121924471	0.200127415730305	-0.787066467592336	0.884021733107861	0.923468556424256	0.798772068512385	0.967290667567955	0.900452026481549	0.531876832645547	0.300593759599588	0.874478039614151	0.694379282742972	0.778848451975196	0.339269733596717	0.597414250267139	0.459578338418828	-0.62490325612722	0.500201489523791	-0.852900264444618	-0.267597008576577	-0.0303383695789751	0.857775086649076	0.223039094848359	0.921390121522427	0.8499742595117	0.881452378473679	-0.0665882804594353	0.793933967712025	0.842051991430415	0.877562281424684	0.901741399302558	0.133384369115051	-0.790777475916209	0.896674973956472	0.165448398602024	0.841764529215959	-0.874925319620728	-0.919816144928354	0.206207657186657	0.456581023349936	-0.749033025437148	0.944351219654483	0.491167734587776	0.275384858428595	-0.784573133076835	0.774566404903815	-0.746728397747365	0.413993493822896	-0.0829207405000028	-0.10645304457617	-0.665909108736607	0.104043569692516	0.76615454753671	-0.884943149934684	-0.875645530991272	0.735424510160858	0.805555340680995	0.320604306135088	-0.904915928190853	-0.788989151328249	-0.877738272987988	0.0128123171550481	-0.870217012247218	0.958931151484193	-0.874769143875829	-0.756444365641678	-0.676567012378348	0.355602978897284	-0.856688703000344	-0.836858085209766
SIGIRR	0.903857679527833	0.874634759356357	1	0.936288003115464	0.818548075299478	0.947087996815707	0.513330997247806	0.865846354204318	0.935161403245009	0.765504478659585	0.864605209523085	-0.629831214505071	0.802250427792591	0.497923422686453	-0.789829789389243	0.904931753929802	0.825878691311416	0.810093773637356	0.92542389958953	0.887238780456602	0.775076928928427	0.315663512365157	0.920738958069383	0.846604566154981	0.802300132697199	0.20107409205306	0.367931044113872	0.617095280824036	-0.438155281868558	0.534536806614478	-0.821901096874711	0.118001914849814	-0.089263696432385	0.850630479551937	0.149893082490675	0.947793624379176	0.732883561392087	0.74488452619481	0.0167240881644142	0.568963822353726	0.89428165186179	0.812386427734374	0.758593621821124	0.294041651896816	-0.731336649982947	0.693392010865656	0.138360960478046	0.736207499090836	-0.795907593814768	-0.87210883710329	0.148303072154415	0.678615190005217	-0.756181834895607	0.910537226446543	0.741826712652013	0.0803185373826294	-0.719619732342706	0.82682425504875	-0.686014650627492	0.17602900889369	-0.167158845362138	-0.00815975564422979	-0.555872245774736	0.0295543568292227	0.837749168225665	-0.780259469369202	-0.761172719792184	0.697508708501061	0.849588408175296	0.0954522093021514	-0.839442758643477	-0.765850365487157	-0.828751427043091	-0.0503230619563547	-0.737133903246323	0.840364550025757	-0.819978186272047	-0.625614368584897	-0.718163302771597	0.571841650484562	-0.842387009122718	-0.714921038871091
IFITM1	0.882623955732623	0.809895707747438	0.936288003115464	1	0.794932428386018	0.912947054685958	0.4491298442687	0.874183597950627	0.985097466142422	0.692870979310633	0.911851171608084	-0.558040329513584	0.721282579886286	0.646613990459492	-0.732981144164711	0.945931802295041	0.73858393451425	0.834162322349371	0.855595546677904	0.883629687952175	0.883639764433091	0.214809393069273	0.944579876325545	0.876123313827953	0.770048024102388	0.0041203068726375	0.182244315945222	0.61481489997027	-0.414038145277991	0.371882628717273	-0.831127079469456	0.243564797922278	-0.201719474849382	0.881351767942068	-0.0158494739554214	0.911303397316523	0.545446653901368	0.630448820125907	-0.0836973780500402	0.558462249194791	0.957128265877339	0.798691407336715	0.716748818771623	0.138953232221487	-0.737217756462157	0.616902960532761	-0.0217015439440067	0.622496817375841	-0.733024441142104	-0.862195425725435	0.00440679211696267	0.704952800736538	-0.718658987046219	0.869642811750491	0.761460652206953	-0.113712057998043	-0.640885757277575	0.880938303808656	-0.657051410984935	0.0230903108404718	-0.187431697549856	0.0489986921782178	-0.497798134666029	-0.0932104913856766	0.924788184139252	-0.75453985061752	-0.663677317883623	0.664648679384056	0.911977468129641	-0.0703607672230114	-0.78304354871703	-0.729083096785054	-0.823979875891079	-0.166852817955811	-0.653146100210873	0.784945545710627	-0.788159606307199	-0.557870283265402	-0.75114479210146	0.626901437080468	-0.824962654364158	-0.636238458375723
ITGAL	0.79658265819864	0.793246729446908	0.818548075299478	0.794932428386018	1	0.841067055212754	0.714286997232675	0.792856250088639	0.816492220857316	0.582315766171958	0.775139977919098	-0.712413058538457	0.854436906186003	0.606776441079628	-0.834623406007795	0.844346355794449	0.785977979774422	0.800176190615548	0.826669655514904	0.926707759367854	0.739141440933645	0.504028112250893	0.812359109689196	0.869899552860705	0.737857969720765	0.377485087425253	0.514568552247348	0.785564816304453	-0.653486853058593	0.515213056643528	-0.758133564443896	-0.0174253715092697	0.144904892100271	0.900183185383723	0.287954491919698	0.746166181256784	0.619280398695434	0.476379090449797	0.0463456761144209	0.706139561690817	0.793566035964695	0.720076577657272	0.600114103691231	0.200597581962912	-0.638520160045568	0.599010606783931	0.253553004237415	0.466212458194402	-0.823642270970508	-0.748391482550756	0.307580999229997	0.291344326123722	-0.754997688907124	0.725501257372988	0.677713078475794	0.18716686770146	-0.75446458682519	0.608934036722607	-0.729288533218458	0.0494465183539669	-0.331799419321972	-0.0611304147372322	-0.679107669245383	-0.116990994462922	0.81102483633691	-0.81747250077639	-0.754282388795932	0.793414569363018	0.731323729219104	0.349422169796344	-0.850568732437995	-0.772296275088668	-0.868275897538631	0.197154833291047	-0.804946568634858	0.681383983245431	-0.782373718724758	-0.744298620814952	-0.555724925591385	0.247323691361574	-0.783547898058879	-0.765211509443499
PTGER4	0.933745089560077	0.944371147014697	0.947087996815707	0.912947054685958	0.841067055212754	1	0.53093186570682	0.961906396339254	0.919727369778725	0.864352987826522	0.774463783517668	-0.722503430366391	0.814386581830299	0.389410142342543	-0.78707342179626	0.951877877361634	0.8456642714473	0.888700211285636	0.936487343690979	0.947369071573491	0.724817296239165	0.246563626220145	0.961471911376039	0.758007868458337	0.848658083054853	0.210869507705944	0.428982467630307	0.565798659014432	-0.578498206859916	0.429616740492354	-0.837774548546873	-0.0781856859645975	-0.152239417881656	0.926667755111861	0.0802543237385172	0.964641367490039	0.724592207783275	0.819291677567302	-0.118182663663952	0.769328557370385	0.933575907835414	0.93471037283317	0.886212686681358	0.0606946865713724	-0.825349086656408	0.840451034965649	0.0428147608949715	0.749281739936181	-0.86028837738845	-0.929430120273438	0.0873345278346367	0.604656764864608	-0.771628561600504	0.959795146237701	0.581592879406513	0.119919117953089	-0.722070136983159	0.863790879787695	-0.755573725632688	0.32488861997809	-0.0616503138970762	-0.0561633858948087	-0.612249776302221	0.0100436489519121	0.886034463494336	-0.866839447137359	-0.827845082215878	0.723500328397401	0.873659057270949	0.156850035408179	-0.886430570447504	-0.795340782536829	-0.885952334715126	-0.0907911230262034	-0.82373225654228	0.929425490947994	-0.882473423081389	-0.689285815548454	-0.742732581878279	0.486550978824849	-0.892728177489551	-0.79458038006929
ITGB2	0.502695460736504	0.585326096646732	0.513330997247806	0.4491298442687	0.714286997232675	0.53093186570682	1	0.392801450985118	0.459869573185797	0.252754987567937	0.505751300926287	-0.589309431969871	0.721475181780445	0.379221817727933	-0.741063625678469	0.44068966924407	0.719247859227573	0.348333137781943	0.600848522622817	0.564129670156475	0.265088219693509	0.902357703304727	0.373791788974878	0.667050778954548	0.30219306804497	0.822656700868865	0.777107953704867	0.782406539608661	-0.456603646935298	0.78386512211481	-0.422731226846367	-0.257627748358802	0.705854688598384	0.601172430616511	0.792130630218051	0.407501896775345	0.546604093732792	0.2368606711208	0.425966305524999	0.574944672731979	0.353308504960885	0.329981860682517	0.263763620836349	0.421018783152982	-0.186041365981445	0.331059857345341	0.729943335047174	0.291362195001806	-0.636052892391266	-0.354049725110954	0.820661914526774	-0.16173663082668	-0.585622342144244	0.357247582097408	0.500273311351576	0.673612235109659	-0.721683623135939	0.196246759643201	-0.462969524756046	0.00620764366378126	-0.509414009847344	-0.285099945324605	-0.635593407021011	0.0455076660533273	0.361211710361248	-0.63364925343318	-0.607756314136278	0.698852168773294	0.247037358888561	0.792960643396269	-0.667449226793021	-0.633593636184588	-0.711070623554128	0.762252725820354	-0.713129260637643	0.373545078624307	-0.458125294667596	-0.67533748161706	-0.112723432838584	-0.0708233405860104	-0.497672704342843	-0.637143670666226
CD3D	0.902729124009968	0.917569961481182	0.865846354204318	0.874183597950627	0.792856250088639	0.961906396339254	0.392801450985118	1	0.887686061448387	0.898726438145526	0.710038846061849	-0.702955355364367	0.77679669938494	0.328514110296583	-0.66848602425834	0.966379334216396	0.753179285016177	0.939820176376454	0.880994992172601	0.948859843865576	0.721438137962044	0.0551726808539597	0.971589660887633	0.660754421657989	0.879373872893836	0.0423500598688452	0.323281691133709	0.431406807240046	-0.585722544556591	0.220598917964853	-0.834624727129949	-0.106014959557673	-0.327327426720603	0.918503630608324	-0.109790706035511	0.93759953237727	0.631776319186967	0.818053691445807	-0.256831664778828	0.817841823001227	0.948956867622505	0.963094837007189	0.932623055595121	-0.133850008765404	-0.868932566038469	0.878940150757637	-0.151162227353162	0.71604244363549	-0.801246088300702	-0.942780488993295	-0.105856947252686	0.585977964565137	-0.673871346401435	0.950029921086787	0.463247238024222	-0.0139472404703965	-0.618086153257611	0.891195039288977	-0.716965041373465	0.38725322303602	0.0691740568878152	-0.0277244531689585	-0.563476500354675	-0.0185640839856156	0.913991300040026	-0.832598392640487	-0.769625755281367	0.678231698629822	0.902385640599176	0.0366027626538131	-0.83026231206044	-0.735437869180603	-0.838619717787676	-0.263794648936221	-0.759896612342268	0.940928519964307	-0.867843058974172	-0.617233792865238	-0.753565171880745	0.488636639851624	-0.858485134024462	-0.728693720203848
PTPRC	0.891397295412366	0.82383387750628	0.935161403245009	0.985097466142422	0.816492220857316	0.919727369778725	0.459869573185797	0.887686061448387	1	0.684756340362824	0.926033121963861	-0.596386437125908	0.743002215147971	0.650807919830842	-0.769652363026983	0.960355039975214	0.736208647819247	0.829234856443518	0.880394146130704	0.904556052613595	0.892029855988193	0.227435061447096	0.960437819923909	0.878776915853968	0.766492957908118	0.0115527252185789	0.196068409896271	0.633014902069223	-0.480791532838531	0.393404686456574	-0.867848363599604	0.258594524946337	-0.191203415196713	0.884504063445634	-0.00276869278187555	0.930923281036346	0.548544721389995	0.637528466151307	-0.10905315846812	0.561367172418683	0.967994525286446	0.795150542312204	0.714054768078161	0.143396374711953	-0.771149472708175	0.61634151865647	-0.0117756016127667	0.639147380466047	-0.770655248842671	-0.881812139847299	0.0123288463560366	0.709279326645794	-0.774298578820496	0.874442709105183	0.783157358543744	-0.135598559151645	-0.701400271883586	0.909380242991197	-0.705366336269377	0.0233783528143401	-0.255903319658376	0.0903757145031695	-0.509857686147997	-0.138762348582809	0.942171369777479	-0.79059937411088	-0.699806576596427	0.688469140986398	0.912892874422759	-0.0584531133929461	-0.805904059984126	-0.733268296606448	-0.8281217956691	-0.165316746064079	-0.679404395964908	0.79106526646138	-0.815385813289237	-0.617701551396267	-0.79590076999208	0.597286699119543	-0.852402433264618	-0.690315793539982
CD7	0.799744233329141	0.889136689059225	0.765504478659585	0.692870979310633	0.582315766171958	0.864352987826522	0.252754987567937	0.898726438145526	0.684756340362824	1	0.459437172793794	-0.672115019631496	0.695943544528656	-0.0530650862177628	-0.51697369243451	0.787774661664357	0.72136593668925	0.834066509098745	0.801840513911246	0.791093754070135	0.426225411742132	-0.0859937386485159	0.817213209828748	0.407922600351684	0.86854202946863	0.0820635085978164	0.394678908836922	0.121864304679194	-0.518269694133774	0.171799101797452	-0.723565591978189	-0.348507540115872	-0.367574227162454	0.727222403912387	-0.114681037738146	0.850438199685786	0.716599027126583	0.944266860534608	-0.303950175947931	0.765859850889566	0.779911910415204	0.924142625381138	0.978769067410091	-0.173820251988956	-0.819236318564869	0.974195234579249	-0.1771628042803	0.81571147093417	-0.716472865876955	-0.884288999655089	-0.142147538401517	0.532041162746122	-0.533560000042243	0.932153888671988	0.201724075729518	0.139500740153317	-0.507158833519114	0.767149832178727	-0.627350163503408	0.617351652100279	0.336612771909519	-0.0811340487602408	-0.497580410887824	0.1625320670761	0.671421025638124	-0.737719041119208	-0.742067154159647	0.507339179193468	0.769684400610124	0.0780816601499459	-0.734833890523547	-0.628082445483747	-0.702725597949256	-0.310032158679765	-0.701940870689481	0.965876747794536	-0.788781800545791	-0.53211127747245	-0.65800675075602	0.401897128650499	-0.749042541008665	-0.670081444581526
