""	PARD3	EGFR	TNFRSF1A	CD9	SDC4	THY1	CD47	LRP6	ITGB8	INSR	AR	PTPRA	CANX	DPP4	NRCAM	HMMR	SLC16A1	ADGRV1	ADCY1	TFRC	TSPAN12	ADORA1	APLP2	CADM1	PILRB	LPP	TSPAN5	CD99L2	SMAP1	SORT1	TLR4	PODXL	SDC2	MADCAM1	TNFRSF21	NECTIN2	ITGAV	SLC16A7	ROBO3	KCND2	TRAF3	CELSR2	SMAD3	TRAF2	PTPRS	NOTCH1	LTBR	NOTCH2	ITGA3	CXADR	PTPRK	TSPAN10	LRP4	TNFRSF12A	EDNRB	FGFR2	GPR37L1	SCARB1	GPR37	JMJD6	NCSTN	LRP1	MRC2	NT5E	TSPAN17	ITGA2	TNFRSF14	RACK1	ITGB1	MCFD2	IL17RC	CD44	CD81	ABCA1	AMFR	CD63	ERAP1	TRADD	ADGRE5	SDC3	ITGA6	C1QBP	SLC1A5	TSPAN14	SORL1	VSIR	ADORA3	CD74	GPNMB	CXCR4	ITGB2	TREM2	PLAUR	CD68	HLA.DPB1
PARD3	1	0.805655645694319	0.762084212658783	0.785287962405639	0.583844365216343	0.758753014311301	0.796364843778147	0.778330167826364	0.85228067487173	0.484874470698915	0.722147030972596	0.779167981885118	0.806831924376501	0.71277950891781	0.785956109638391	0.683294660943618	0.777796411799787	0.835871101860804	0.765454467235271	0.404916957188269	0.832676295964417	0.760404048362114	0.786998034041787	0.772449272137101	0.821416452764078	0.758710018377886	0.824622067100454	0.575189507518698	0.728278042352687	0.768281508116666	0.731799784728977	0.485815289556181	0.818498312589164	0.685397080220037	0.858262495136102	0.600877261086812	0.770502215876935	0.793866949168995	0.810972844734951	0.766076605338369	0.576675599910575	0.836799783795835	0.80284134261461	0.589466595985761	0.483469513850614	0.77691158504343	0.732980702696151	0.688466511678407	0.796017755615098	0.662605250211205	0.515282170883994	0.625135129739894	0.820894450609755	0.597989516193821	0.856330722000615	0.751222495040673	0.749861694645415	0.607029510913927	0.774575226877019	0.736867471505793	0.867377380684506	0.803109065839135	0.716515358235224	0.794896513342673	0.715689415589445	0.801040019628525	0.262212220221843	0.640050932089789	0.625074330815033	0.774543550511373	0.829828389602282	0.625857842068549	0.423350203396131	0.660483310732873	0.411336709345603	0.795820428611465	0.636218655071331	0.20580514367238	0.0975879181582399	0.656195519451911	0.764704919007851	0.809340357615405	0.686778234925392	0.304627043594528	0.514868129945416	0.0369788747449652	0.00604990199266947	-0.107670266015566	-0.13698187311835	-0.465759284585915	-0.177133643642266	-0.09310778859364	0.0116830707664457	-0.109905140996728	-0.101623490299512
EGFR	0.805655645694319	1	0.955091249494111	0.965045242548084	0.883817086114441	0.928704288226926	0.964300301815339	0.919621583473326	0.986039102944845	0.811460897601595	0.955797110843451	0.970032714551042	0.987129547973251	0.751468782720101	0.985857469129394	0.889427909779134	0.963775849921522	0.769702458233347	0.949176685607023	0.628577006319578	0.971149944577964	0.973959950823308	0.962806871165587	0.982270879240412	0.986961412745655	0.946488172837031	0.959233963552046	0.831842297686463	0.803684272344515	0.975564796105041	0.697743947992771	0.767584077278824	0.961592994074877	0.904700491971639	0.9370220491396	0.815225193546562	0.959616189127613	0.894515483441729	0.986254196718885	0.970475152197159	0.793486710820971	0.979122872323144	0.975065480774287	0.889868584057111	0.83402671293395	0.941435011048659	0.851670763138565	0.909228112102613	0.922853015304622	0.761767964672688	0.611187725695825	0.669029981384239	0.801773994939877	0.892946030107201	0.865102968107792	0.832153107643713	0.928066225462734	0.821202906754951	0.861745791590199	0.869550479141572	0.935843399506579	0.962342295901733	0.962410690311796	0.968393110500502	0.904305044218556	0.84468014456167	0.598999536920799	0.867948758719531	0.831540296109693	0.826156572027434	0.887770756858853	0.851815971390202	0.582805304847884	0.851901847693973	0.624049191350838	0.961589011626887	0.910039605730634	0.385956752772846	0.231355683111192	0.887307760291857	0.937062701804014	0.94296472138735	0.548628790744224	0.599811430220603	0.735089279741215	0.132539674073135	0.0180361391741373	-0.0767508238849821	-0.0789385945662761	-0.421887577399696	-0.143804387683613	-0.0608470829416322	0.0812913160793333	-0.037131835841527	-0.0636036667327264
TNFRSF1A	0.762084212658783	0.955091249494111	1	0.903994845204345	0.895843896594316	0.929619664141148	0.944489980553717	0.960221900040471	0.961507127955895	0.874977445299603	0.948392104530172	0.981895506362266	0.968287119850132	0.710222619112901	0.977448066642873	0.883521551556161	0.901697462995729	0.674862584477558	0.929338077889316	0.720974382745502	0.906925102679601	0.968026513806561	0.965895314510451	0.955972791855549	0.964666690920773	0.983397986259924	0.929696058481779	0.928234262261951	0.838163031739896	0.960651882347862	0.767515283078375	0.891378840626722	0.912392074086151	0.862527318507897	0.884008339300082	0.906610301539596	0.989338722598658	0.77908109223734	0.972780286982644	0.957161655373991	0.834936930152252	0.945566535150925	0.966171939188986	0.837022678370144	0.891476695962842	0.945422092134762	0.957446759578912	0.964759441024612	0.874057022723011	0.889322978856179	0.694336139183788	0.522325478040145	0.663272124058677	0.942452497434194	0.777415450118379	0.76882224031857	0.912240541464227	0.761236944205088	0.883698930761464	0.898031365356824	0.930422424423615	0.972785615895371	0.976359548005627	0.981325028967462	0.981969645736294	0.854828669923484	0.746789875591008	0.89088989219637	0.932679014864897	0.86376572326994	0.796429874598564	0.854667080938261	0.765419125016004	0.93916442787344	0.763341048495744	0.978084182644915	0.961732171348581	0.562703170763191	0.371047208798113	0.967502823530106	0.988539497981601	0.971224862265868	0.561382081267182	0.779895654271561	0.87877839002778	0.357495674119496	0.228205395976214	0.153782129701753	0.0825872334403522	-0.30864809658358	0.0913106399989968	0.164088022409497	0.316616843995109	0.192899025574701	0.168425201950381
CD9	0.785287962405639	0.965045242548084	0.903994845204345	1	0.904059406264059	0.813068465270247	0.888102190674844	0.829832137470991	0.928095502022641	0.770066752052645	0.854740973810281	0.894953610557353	0.965696370735805	0.618462185185929	0.927179453038042	0.831910903450713	0.988330224416011	0.694899826059647	0.841778511623619	0.728658244959532	0.910358791356072	0.90692308561374	0.904542489232706	0.914896334979668	0.936620831337662	0.921491224701815	0.888729792851873	0.760308495234115	0.727010165082329	0.897826064681507	0.605144624586508	0.718452141045629	0.959981157067422	0.827321334574203	0.850593424008667	0.754694651010068	0.88996955728257	0.869101700463325	0.955206668881852	0.884578581765762	0.815883933252666	0.912551880799386	0.913845107518082	0.824119002957794	0.729338954286493	0.853528393438873	0.806196171806106	0.843398238317026	0.959804861226601	0.735796490839454	0.621584582370793	0.683817964950086	0.825256073002059	0.847822717966923	0.809673096333224	0.721712296637969	0.81034419381158	0.923488302220119	0.748664068255968	0.860104851024392	0.875004753043398	0.95132494114136	0.907277134501151	0.909495544157026	0.842112361443272	0.723278070826891	0.529327315537603	0.900331586072621	0.787293118524078	0.840413356788113	0.843208843750007	0.8139825674364	0.560128672293575	0.847503518327084	0.545808308501348	0.878741527429127	0.831192290161967	0.370383709622891	0.167709379789234	0.794570056764369	0.871924919306419	0.863767005122302	0.646816379967759	0.54874272894084	0.675052152433422	0.146114206121794	0.0478028563807407	-0.0485923406694728	-0.0402772959390517	-0.35809989653448	-0.116939287847703	-0.0359262228319677	0.0940662363459809	-0.000131375230858163	-0.0331866366082132
SDC4	0.583844365216343	0.883817086114441	0.895843896594316	0.904059406264059	1	0.742734992646805	0.775974455652691	0.825636094995405	0.849580616314458	0.89669009042481	0.817545599254143	0.862522909108096	0.879653034045076	0.444201254993528	0.892347818181845	0.788566320297089	0.902416500909313	0.42572177746295	0.772386616950765	0.823904082429366	0.759008628446668	0.85814194405318	0.808248869460131	0.83452353303905	0.853276301069019	0.931779916281859	0.769965385706741	0.842843781581745	0.58056128185214	0.826090161683438	0.443865756578825	0.872409228519797	0.869487148175751	0.725542968454072	0.698454714853809	0.718004206844029	0.86134971025876	0.627152786505439	0.897454067480874	0.844196509700984	0.79847265044867	0.8207441585939	0.839962720136889	0.706859951914386	0.856722012738545	0.783555586973789	0.813145452904846	0.889626596630734	0.884512824687791	0.721899567684573	0.782876932501192	0.386632767415863	0.567579142916797	0.952191910778757	0.553418035548509	0.52074139582846	0.726021386867768	0.840110330512823	0.694626722026288	0.858537819031193	0.728406688889602	0.909626261687279	0.912898334636705	0.875276023376897	0.869116771515606	0.615372471428231	0.732582373927134	0.90652417248388	0.79760001864831	0.71443204372946	0.600687518207856	0.745377458273354	0.618499007837884	0.907994127771516	0.656316502414956	0.832973232825979	0.849717668895175	0.457617122066211	0.265740215266059	0.837591174392946	0.852498723473235	0.790589502491907	0.427450366963016	0.715170365967397	0.715919781019884	0.23921180988076	0.0744611982076276	0.0303069158141872	0.0801718796996161	-0.230049486247838	-0.0168443139594439	0.0256304561735247	0.200155754586813	0.110943473411438	0.05806271974876
THY1	0.758753014311301	0.928704288226926	0.929619664141148	0.813068465270247	0.742734992646805	1	0.975798468081079	0.955425101285083	0.954643538497082	0.757211036261475	0.970768742459623	0.965441807139262	0.921586035478028	0.878492480073639	0.951822226160276	0.873300682655265	0.819408318812465	0.813548302222232	0.976976339165003	0.439237512924595	0.945769991063425	0.951134734391683	0.957946772432262	0.966410123277745	0.953230772997662	0.882897323419237	0.969876859002715	0.862941865675353	0.869532315309036	0.974723554582339	0.815663794271354	0.755380526630075	0.86862852281113	0.925295894897282	0.949538875601148	0.847899636315143	0.964838089354994	0.842997979241583	0.91975501611434	0.972937603658773	0.723242256967101	0.955208499005733	0.964615851512594	0.884354839335263	0.858162974656935	0.96447623756767	0.85645734711998	0.898974952202461	0.763981328469109	0.76528583613905	0.525309296164389	0.597192534081825	0.686426440673995	0.845764899603448	0.872374394800357	0.907007995526339	0.987141699491066	0.589147074699947	0.948310333333825	0.785097965156365	0.937532403184193	0.887403526917449	0.928727972444689	0.945042920406825	0.907779360803493	0.948837774344199	0.621076133610335	0.733964571053068	0.844585610995815	0.776459568442095	0.874180150031193	0.829471465899075	0.619915938207217	0.774793463903697	0.717045585898922	0.979794504106442	0.916941281565726	0.419103187978852	0.339098495480536	0.922748022322579	0.946123595452232	0.97008284792139	0.443165982517847	0.630257696021252	0.773736598658661	0.16813395991973	0.0567610209143132	-0.0273562337193418	-0.110540743103336	-0.443038097883804	-0.0913239264394383	-0.00948969209946199	0.126010215553887	-0.0170624327697928	-0.0215018769208525
CD47	0.796364843778147	0.964300301815339	0.944489980553717	0.888102190674844	0.775974455652691	0.975798468081079	1	0.930034985553907	0.965981060853256	0.768436127177424	0.969735251893154	0.97356363616001	0.967761400203577	0.865145829607632	0.963946978328444	0.903551492685451	0.895674343279911	0.825912168167523	0.97421387472637	0.522651177595534	0.977032233350858	0.964118601944228	0.985892029525284	0.9836716209082	0.977555365746701	0.906148816365891	0.983259479982452	0.848684743736155	0.903579086982705	0.987191880231938	0.809132416749213	0.7322535688296	0.909747531198194	0.943396492819968	0.957295385376313	0.873537583185669	0.963764149413139	0.906418395060889	0.94597157974667	0.967777083147739	0.77509728896936	0.969220365538153	0.979064054431981	0.929390424310042	0.825804474021218	0.955140272480359	0.868132156828287	0.902983211676201	0.825459695015512	0.789717110585327	0.518521495695445	0.682932517937434	0.75579598450857	0.84666131068102	0.915628564345236	0.91259146751816	0.967923656608279	0.708059219555199	0.914390915362693	0.832832061727264	0.967297960944837	0.914784408886652	0.930406580894433	0.96015503853659	0.904513324404584	0.91614724447396	0.609955780238206	0.812794474701309	0.858334221043734	0.845027722918441	0.92105686105719	0.890448343813063	0.624097712462651	0.812117502440532	0.680911705452458	0.974713217533512	0.92226235325955	0.451562399785386	0.325278489160355	0.897497429032153	0.945572852846884	0.974009725089761	0.550309457630567	0.619367722867608	0.784279368230851	0.195443658796729	0.0949714703293999	1.29833248258956e-05	-0.0584084216676167	-0.395321116798554	-0.0651687708230358	0.0173004126039379	0.148189111053594	0.0151418267591502	0.00668402283669491
LRP6	0.778330167826364	0.919621583473326	0.960221900040471	0.829832137470991	0.825636094995405	0.955425101285083	0.930034985553907	1	0.956484101503743	0.823060721183627	0.933661435042642	0.966372411325129	0.919062409130212	0.78325410443587	0.959158231826684	0.859598119782755	0.832975686183717	0.715288052708054	0.925839162336268	0.564349944517177	0.893372098699415	0.938213066520643	0.926700941940688	0.933368374423075	0.94727026039702	0.941287008896441	0.939145241054282	0.909854668806811	0.820447452840379	0.941586153425235	0.776250365241803	0.847790719855862	0.89052772328563	0.864178499111378	0.891033588638663	0.829661679103404	0.973940178089692	0.748007432100785	0.935998297738734	0.962124979318986	0.754382749959562	0.934087929048821	0.952286488269201	0.798720254241367	0.881889773015666	0.946143146459819	0.914860880611941	0.938532316235827	0.832034771152095	0.814822391997955	0.695761152893637	0.489513116157724	0.63045651621124	0.905797922300392	0.776919227194942	0.807473418608694	0.932865072980251	0.616718588327061	0.94983885045779	0.846300568987965	0.91861154280545	0.92140816685316	0.95053965992216	0.95462885007352	0.960799996253961	0.920653075378558	0.677496955131875	0.788175604656384	0.875249631143927	0.801460515158927	0.779315621232099	0.799528576378992	0.684441056996251	0.860193414637709	0.773354823278254	0.975531274543136	0.908616348510074	0.465316962788054	0.366767351198925	0.949910965090479	0.973312513164415	0.960276298866724	0.47667315344371	0.703055476077116	0.797213585244929	0.231094254930836	0.0969076709885601	0.0292392798655344	-0.0521899632825353	-0.390175030834674	-0.0357969663417373	0.0369914431595568	0.189792478332015	0.0518027876490234	0.0416469100307391
ITGB8	0.85228067487173	0.986039102944845	0.961507127955895	0.928095502022641	0.849580616314458	0.954643538497082	0.965981060853256	0.956484101503743	1	0.794645826293264	0.957254422311108	0.979634600597961	0.972387703122166	0.788825814969359	0.989679726635345	0.873940274535632	0.92561384474416	0.803663278232914	0.95812036320176	0.57628872840494	0.969417632451307	0.973941229486292	0.96077213544616	0.978318830506689	0.987550246051289	0.948031898333759	0.971332138820731	0.842333705417103	0.814450345992877	0.9756770232676	0.746764929226563	0.77745841684961	0.951743367593939	0.894529499560673	0.957237896065573	0.810353986490703	0.973895582821203	0.871516875899587	0.983500680090847	0.981075222038278	0.764015731018333	0.985636487474322	0.978747961858316	0.847484728437136	0.830621286054382	0.962484062059362	0.872419507531673	0.913893429071316	0.902409477939003	0.777012272168658	0.635112768239572	0.625297141184072	0.793219766138823	0.885159147583078	0.871294696855254	0.854632979343724	0.950944633231129	0.746444141839549	0.909849838400705	0.865022194343896	0.955342118105316	0.961177703875817	0.962967558321814	0.974673344361448	0.920409095393867	0.897182811856722	0.591189893912234	0.825028505297666	0.836843423680918	0.820060059677285	0.882931746020187	0.827347281520948	0.594956636420974	0.84781130485656	0.651999317444019	0.981386135292536	0.90655128193425	0.379970980648046	0.255550257883127	0.908942918494368	0.957621502425781	0.963613175352272	0.544654664267588	0.5982250185142	0.73965323896923	0.126979896723572	0.0131176017130235	-0.0799196808932779	-0.102706870655759	-0.455709027036717	-0.147591066263927	-0.0644230007519435	0.0817979316085043	-0.0486763377200936	-0.0679282068483975
INSR	0.484874470698915	0.811460897601595	0.874977445299603	0.770066752052645	0.89669009042481	0.757211036261475	0.768436127177424	0.823060721183627	0.794645826293264	1	0.833222778529694	0.866320153278413	0.812259376750352	0.49754681210296	0.849966325853276	0.763737385448056	0.794613948282817	0.351223036359977	0.778532857776695	0.734330757169489	0.707254582112539	0.821543548629118	0.787770018655573	0.795770584564983	0.809000676378971	0.882493885243146	0.735582983322675	0.890083487200756	0.625195487674739	0.824271493936165	0.476773412432604	0.902146169631248	0.771021929399008	0.737231388166279	0.654688973123472	0.767249940734108	0.848033476769742	0.530355679712579	0.829160349124397	0.810082865909769	0.746989385424575	0.797331382799691	0.801888942755237	0.707850540345939	0.905685072436399	0.747593989572886	0.818969691822204	0.920702462344086	0.729747869764547	0.742124208395065	0.784813521958087	0.233290806912694	0.390869438652018	0.944408855884746	0.488931552882123	0.55316486330676	0.736841617181857	0.65920028196788	0.741095802091914	0.86101559223647	0.689657078079001	0.809280743440484	0.857475649712998	0.863816807801087	0.883929496114408	0.625505398522962	0.876355652303837	0.843776295085619	0.821618300328736	0.651455673061877	0.513290598549037	0.785246908500118	0.661867378117131	0.906340759412461	0.800586026412125	0.823971220069397	0.885686263603475	0.617697853941161	0.492203940850359	0.858787307922173	0.844730622718804	0.788656463301571	0.315358587128542	0.834827431025486	0.79550351789992	0.348951125640065	0.145550767337246	0.132795779496054	0.184923703964728	-0.0913548312847601	0.110367442663728	0.124152855374285	0.306675491944532	0.208196429733765	0.15593063248091
