""	EGFR	CHRM3	F2R	CD9	THY1	KLRC2	ITGB8	TNFRSF1A	ERBB3	NOTCH4	SDC2	SMAP1	CD99L2	CANX	CD47	LDLR	PTPRZ1	TNFRSF21	APLP2	TFRC	PODXL	RACK1	LPP	PTPRS	CELSR2	CD81	NECTIN2	ITGA5	IGF2R	NOTCH1	KCNJ10	TRAF3	PILRB	KCND2	PTPRA	PLXNB1	ITGA3	INSR	TRAF2	ADCY1	CNR1	ADORA1	CDH10	ITGB1	LIFR	EDNRB	NOTCH2	ACKR3	IGF1R	AMFR	LRP8	LRP6	SLC16A1	FGFR1	SDC3	AR	PLXNB2	ITGAV	TNFRSF19	NGFR	LRP1	LINGO1	RIPK1	NRCAM	SEMA4C	RXRA	SIRPA	TNFRSF12A	MCFD2	TSPAN12	DCC	LRP4	S1PR2	ADGRE5	GPC1	SLC16A7	APLP1	GPR37	GPR37L1	NCL	CD63	SORT1	TRADD	NRP1	TLR4	LAMP1	ERAP1	SCARB1	ABCA1	NCSTN	LRP10	CD44	RPSA	C1QBP	SORL1
EGFR	1	0.856843047603513	0.483955654362604	0.658693777370078	0.791684722459792	0.555190514502798	0.874146277560376	0.715510333663729	0.598758803923599	0.641820826465131	0.531861972909037	0.800240204955221	0.825864584814408	0.830228020445603	0.778618768282162	0.849666637333984	0.728107487450508	0.796845273184664	0.794363315995782	0.876280987911259	0.704757479810514	0.774565750626103	0.895259417276678	0.792536896497397	0.827994533213865	0.621712347865229	0.664127796876382	0.827254337701661	0.777028551554882	0.753726774188666	0.516403844516204	0.792885144481657	0.795605509304821	0.658513671339037	0.741546897671982	0.570457300494621	0.707799465699556	0.77799342205071	0.759477364584408	0.838573799174762	0.427013596155812	0.431427079152185	0.828086431193086	0.856338482798259	0.617943901113891	0.380609072122763	0.730345109999175	0.751589203062092	0.689720395482241	0.702038350270909	0.82072433402462	0.811100100215262	0.713214773424916	0.865702341653876	0.610450185489643	0.686006320337835	0.748780784444262	0.616211967477568	0.800416896550111	0.425059693289691	0.786284576360789	0.729627762649444	0.821176615023028	0.681715724987332	0.645530799582313	0.750360452558974	0.32007983551436	0.63649421126713	0.801050102885049	0.691819124485289	0.747097243050633	0.784706670466452	0.786496638484509	0.834769996570429	0.639742343981524	0.757163436605567	0.786717653063725	0.653890151252824	0.609820278444651	0.887210088893318	0.757183010377784	0.787792478700233	0.63727773386053	0.750142061818352	0.567108901816544	0.711750350007222	0.867361915604936	0.625042500207386	0.35489996120644	0.788161122520543	0.568524949682117	0.303931303432519	0.770230684519477	0.75036731224994	0.313434058015797
CHRM3	0.856843047603513	1	0.575825361070153	0.742909987519835	0.905484869675393	0.662736642173983	0.959407188449481	0.820781149299697	0.721411322608024	0.713307169496286	0.625730025727543	0.879327881688124	0.865155820369107	0.910039675146754	0.866567339013726	0.903836573351485	0.844772256657422	0.884924251910131	0.885178166662554	0.932872858131593	0.811274019417865	0.841916040568145	0.923429253914165	0.853064993805796	0.906813716577941	0.722110472200706	0.747132117203868	0.889307500357788	0.82948072167269	0.8230644298389	0.59375324057096	0.836363175431096	0.85346768970552	0.808448397673788	0.831128271535165	0.618241416337811	0.833275091904547	0.864477192227412	0.812163308107706	0.882145362530144	0.539874670086666	0.541438953729012	0.86989101709725	0.917224258693272	0.732046833982486	0.463005612013719	0.819426534232729	0.780265048270035	0.788798948527883	0.819243052821291	0.891102721678425	0.900643583555963	0.781410148148238	0.952489609014336	0.681051836532473	0.755207866512731	0.843482230693509	0.72202430275237	0.916700873199728	0.534923819584803	0.876299744667304	0.809668126148192	0.907230147237442	0.770142298061532	0.721530872431741	0.851265722674317	0.397890925956064	0.721268680042146	0.901090816480086	0.785149213693317	0.815005926144666	0.875472528891796	0.878533331533964	0.874107605118071	0.731653610046936	0.862903076555334	0.891243443261163	0.725799811229076	0.69997120403719	0.944526428406848	0.846235529561596	0.851954058889916	0.71853374210903	0.746503256594052	0.68532011638775	0.811296043110713	0.905751218959236	0.706087687436308	0.45095211928191	0.87056051850361	0.672645655014324	0.373798302553688	0.810653543598518	0.835503636972326	0.385899015266341
F2R	0.483955654362604	0.575825361070153	1	0.678999468567907	0.464522925143798	0.126897641531164	0.666299480132467	0.853304276913961	0.761906455978732	0.848630400664855	0.927411875596511	0.793300372258857	0.788803479346177	0.809614012816913	0.822091806135765	0.619938374125791	0.826025505577403	0.786932242429349	0.830345593726097	0.611493741849773	0.614699565281106	0.647749839558324	0.704356475396314	0.567687792970899	0.737917809719593	0.889488079529977	0.878818652458859	0.39972729652373	0.807038346816222	0.842184731672808	0.859378442368834	0.75461082384059	0.700614542751949	0.707625778241755	0.872564175961894	0.833352052427921	0.787720409417766	0.582465973686936	0.586877845050175	0.36129390701736	0.90333030054524	0.912251709752216	0.589256357985326	0.640735815460843	0.910691498967461	0.949039955024008	0.874800006714007	0.597290253338971	0.511535567521556	0.85576106206602	0.659001040120847	0.724819675392306	0.568493411940352	0.655138639674687	0.91066103271945	0.876568227679352	0.817256773710179	0.952671267754617	0.663934834366832	0.904656515727057	0.689694539783259	0.229177037353464	0.706620849476836	0.925739958998416	0.835547609732501	0.765437608000599	0.927304752598265	0.540055829722493	0.796890208738137	0.568609463487734	0.278917866467774	0.655853527650964	0.631123130083461	0.368660941106453	0.845922805303832	0.412801317336581	0.712859207081335	0.866711194359746	0.773734572998714	0.632958009684645	0.749232204797516	0.800969919136362	0.593118808072466	0.428664680385865	0.883411666835627	0.870020839976521	0.676570627867751	0.728187910819398	0.931727117655557	0.784513483713646	0.943321097758271	0.761960182424571	0.607511172345334	0.718768249508753	0.776633116758934
CD9	0.658693777370078	0.742909987519835	0.678999468567907	1	0.748320975275558	0.39508804649379	0.750387301775736	0.880715965201269	0.660117937887987	0.732147622520214	0.795334978352111	0.824875367716804	0.793987723687704	0.832438595070815	0.806426010088143	0.649743948380102	0.743701575949978	0.808631711274945	0.823334880884216	0.77455974086905	0.580788710280809	0.83556217290576	0.758713600312415	0.574450757963207	0.756211699751177	0.838081684433015	0.829328019122415	0.666520651201945	0.741329313498099	0.717498046593321	0.60287256751682	0.753675014848878	0.639120061106702	0.645863866208594	0.799671084075853	0.551994917951972	0.816323042513218	0.637352778766767	0.683953097868705	0.543890889872854	0.677371016705813	0.69627005592238	0.635533976214279	0.782406430973496	0.719544745146135	0.627294424830018	0.77777352194327	0.685729254864848	0.725426893868898	0.840519137606604	0.633464430477251	0.699456712446906	0.880490204882069	0.772571240675208	0.696311971264733	0.704339586931783	0.843724847703309	0.744864761586274	0.824551745750761	0.653894343438861	0.696535085698497	0.541864316818929	0.769082480576713	0.769252528606638	0.766619741064384	0.778414901783531	0.583938350914413	0.773889431871997	0.829117341687898	0.70534957662728	0.452766427610604	0.656165288314764	0.772114784564497	0.589259019449228	0.830381645918676	0.565785371230175	0.815682200129205	0.721734184727908	0.639997944274834	0.754575898796577	0.857854024745944	0.761361221279077	0.854167738005519	0.744426911658881	0.738983916694156	0.832702903147465	0.756053756952172	0.854274806367691	0.65369323960017	0.861626284495224	0.767433196725513	0.635050627782209	0.743037285472154	0.816613051689826	0.45578874446822
THY1	0.791684722459792	0.905484869675393	0.464522925143798	0.748320975275558	1	0.774124502294451	0.896351928331299	0.770370418410329	0.65978721122407	0.652452136658396	0.574123368364615	0.86614242156529	0.794841665602328	0.844569962431047	0.82812344738962	0.836646360150249	0.780364053746524	0.850571666353221	0.800034049084533	0.860463568266962	0.730292416229004	0.870531368548557	0.811426272052093	0.785994551727443	0.846099942331088	0.715694442053648	0.715702675001163	0.81707844546692	0.713521519048253	0.732843040853938	0.522029294513233	0.767408113736705	0.769348478342865	0.79228301875329	0.772460732408513	0.5116691701676	0.735376873485269	0.755182435689496	0.839162935710527	0.84731424663696	0.423908510316204	0.501738623482441	0.783754071715224	0.866472813604916	0.633731730359956	0.370267305132621	0.742447224906541	0.830505594152238	0.646697476059814	0.76158154831868	0.829469152623	0.798203851347112	0.702654437826052	0.887902736181494	0.608551591188027	0.660402163331098	0.763605069392609	0.619924692797029	0.824529124234579	0.486745730479878	0.824398429611999	0.877602364967776	0.868457435432018	0.680080975795516	0.625088766267219	0.723329560246195	0.301536283458198	0.739482196782028	0.839854118374851	0.857840884816313	0.790517632810957	0.820439705303459	0.825395427261658	0.858793922313724	0.697690101114881	0.841594481586447	0.910517114044951	0.647917665653667	0.681744031918323	0.907988567472531	0.871499013273248	0.785207503630343	0.692677956357148	0.672555244484567	0.560669451174128	0.786382881997476	0.824232842011814	0.56789199139762	0.324637755517354	0.817055127778624	0.588174216412761	0.231495122779977	0.850640315648782	0.881573151901646	0.231280841653593
KLRC2	0.555190514502798	0.662736642173983	0.126897641531164	0.39508804649379	0.774124502294451	1	0.654513147525475	0.398581530215246	0.573837223687276	0.275481681854191	0.154466527179314	0.587090065336348	0.508406331659386	0.4960806858305	0.481658480480273	0.570572364141832	0.579899423392891	0.519334085083337	0.438405155610231	0.572138727449242	0.531005502289352	0.450696392451758	0.526748402321618	0.675142981723586	0.623246418256816	0.414081888228067	0.374109493130987	0.659284086722951	0.404061815576425	0.499282290553829	0.398906747098287	0.419657629361853	0.483932069827733	0.676530865464728	0.501360761254898	0.388296898641861	0.418559809183385	0.63794464407396	0.508007386680878	0.774533928636421	0.117959975192699	0.223727449158484	0.6191906758222	0.514451186142137	0.384469701629286	0.088487071183925	0.451978771562911	0.619900319459565	0.459949468374638	0.422034437790592	0.637960680812771	0.579453192242754	0.279671687782474	0.606594794082196	0.383864604576758	0.374873184178208	0.348667786062479	0.308237264907981	0.511052819712644	0.168459872129426	0.71106470326902	0.914597935285143	0.568979620723334	0.391778387622461	0.324823035687474	0.439616855609466	0.0401095200195959	0.29500128216137	0.519995279327178	0.617687805996676	0.786331692709863	0.731373136825512	0.639131144354106	0.807816133309534	0.301232967654569	0.743818259040079	0.60735198884323	0.441587891662046	0.576764779001145	0.593684856685085	0.475520224428983	0.428798996877301	0.276635471152751	0.260516349140755	0.224245468627631	0.431625359506005	0.541188544709851	0.18849131962472	0.0476099734047785	0.493217812092636	0.28435247604435	-0.174674979830089	0.444862580274202	0.50254452572762	-0.0154035050542072
ITGB8	0.874146277560376	0.959407188449481	0.666299480132467	0.750387301775736	0.896351928331299	0.654513147525475	1	0.855044617070616	0.799261133641953	0.764798026693772	0.692961720217769	0.932793768974648	0.906594748310599	0.951942065924061	0.918264618447654	0.924597504498616	0.915841894431361	0.92584654609469	0.928086265219624	0.939454789017417	0.838854422922147	0.842362984143397	0.958446257917812	0.914507803850112	0.962006470616854	0.79831160481201	0.815872511684147	0.868477306102224	0.894712707119813	0.90195567275488	0.714669377754558	0.877271088229958	0.908367699045251	0.879113456834254	0.909841949787698	0.732315339534197	0.856246878445218	0.90088226449942	0.831755048869605	0.871116966070604	0.636569495095018	0.640001043742837	0.904343110486931	0.920973473429694	0.831016083973984	0.581348624349488	0.895154525711028	0.836417335329527	0.77840629625392	0.87469750956135	0.92787402095197	0.961516181415381	0.750782769898532	0.972083328509305	0.793263092230079	0.846220766293433	0.871905371479767	0.807372795383223	0.91257649968053	0.626749803196889	0.942765919135209	0.800131431140163	0.934116684975433	0.856448049971509	0.78356708179235	0.898774834292501	0.521309561330159	0.684620862299773	0.940146562199602	0.830071119175042	0.815265958193208	0.932978107766383	0.890899150970372	0.860653200008784	0.77171767238298	0.87093048707699	0.916370316848384	0.809599612633648	0.802869930449339	0.953530890207483	0.86592312745617	0.908933468475847	0.706266351520834	0.699339069416063	0.75087411408734	0.870943875149024	0.93295704877145	0.722468504458591	0.561932709950362	0.902108214202926	0.769446566799469	0.429300017971572	0.815620426917451	0.855602484411514	0.480580286592998
TNFRSF1A	0.715510333663729	0.820781149299697	0.853304276913961	0.880715965201269	0.770370418410329	0.398581530215246	0.855044617070616	1	0.77500048087608	0.88762457828224	0.901940678245149	0.922307088729415	0.913275493962312	0.947002365030539	0.937416072442812	0.811244183335655	0.875862626832286	0.925216870787638	0.947775183575013	0.847035392751522	0.768025739093292	0.883295035571592	0.861953532118103	0.704224454514485	0.875163820611521	0.93337571245857	0.945584476532956	0.686919951087157	0.887458954810251	0.888035468673282	0.747661005750604	0.866331569807998	0.811161318959436	0.786058224574833	0.918496894914534	0.753735220197335	0.899849721431808	0.745660130852564	0.789574499310235	0.627342244214917	0.78558002531765	0.811253882324022	0.735197114990573	0.876039434291366	0.873731016647241	0.778088274681883	0.919455210688286	0.768522406475259	0.685413669126334	0.938716995619641	0.802500230934645	0.843226864060818	0.808940976477191	0.864995662754273	0.863656412877034	0.873015199352006	0.947264831732519	0.901280304911373	0.860436600660035	0.808672385250473	0.813389253947132	0.542697431962918	0.882711678676315	0.91631343842778	0.875263896636769	0.870164393709115	0.740459292457508	0.773561298971358	0.929338688718089	0.775250190177982	0.537894734678725	0.785830181296355	0.823319892117832	0.640780143484617	0.934361185783345	0.65759518546853	0.909434574229132	0.86321458700983	0.770943820735542	0.856200584137421	0.935421617368102	0.902052173724081	0.827034478011025	0.714961355817042	0.868324069884268	0.952436907367437	0.855066144326836	0.828711453790262	0.770225664081151	0.941443602732345	0.893355172180651	0.67099820299409	0.833909081715772	0.902464242427747	0.643138070738328
ERBB3	0.598758803923599	0.721411322608024	0.761906455978732	0.660117937887987	0.65978721122407	0.573837223687276	0.799261133641953	0.77500048087608	1	0.680084672523672	0.732902216607438	0.84523615811912	0.793467040461022	0.808264271294498	0.786728138595085	0.693414156869239	0.915123253597195	0.811652146042106	0.791492696334542	0.703954251252175	0.687914138131805	0.594970641671479	0.75727301013516	0.755953217344923	0.852204266010112	0.842061893629927	0.797174339361241	0.595019942642256	0.781705745577926	0.875621339579585	0.885019063360219	0.718324184291273	0.715123982362658	0.871405719440406	0.886038207643321	0.871306256317686	0.768186482622776	0.772889833808564	0.581943997963197	0.640981930277935	0.766152825439272	0.804485987939072	0.753171296323698	0.651280232690467	0.880861844221816	0.759925709104816	0.841982268551432	0.675534144621977	0.603883843418779	0.801585592602702	0.775973382168669	0.834893727133497	0.48904429999024	0.757362003511168	0.887016563796203	0.829751864565082	0.709631762355456	0.859196829391155	0.699360484808256	0.765244921236904	0.884533138562141	0.61601390507355	0.776377349466816	0.871078511728105	0.760304192105705	0.772893718785664	0.726544563920242	0.409790763986533	0.808738142369944	0.669107553841595	0.609180041241517	0.872065825022959	0.798881388778876	0.653531820463304	0.699020863188832	0.650178214779704	0.760242250996832	0.883390040969107	0.90362484649234	0.70447891025147	0.71193141102989	0.752196992049444	0.507993361892457	0.35239231832671	0.744341496155694	0.818515376692612	0.720303749600124	0.623245545127968	0.737653162467385	0.767715667157568	0.839131959090151	0.423306271880821	0.556978134491254	0.693800894922938	0.59124735315464
NOTCH4	0.641820826465131	0.713307169496286	0.848630400664855	0.732147622520214	0.652452136658396	0.275481681854191	0.764798026693772	0.88762457828224	0.680084672523672	1	0.863597363698959	0.846736770260638	0.850879399184398	0.858556774306237	0.885814413990137	0.765970644355572	0.814909294941558	0.834516781683279	0.850486428400322	0.74676763801884	0.728481688616257	0.802364842190205	0.805264235956523	0.657830484734446	0.79299825050806	0.863234994507683	0.888060648545955	0.558257805328787	0.840561692919778	0.84314504502182	0.729133837233927	0.814981280162917	0.786133591280729	0.693448426819964	0.845233421517153	0.745937833714819	0.805237360252137	0.685615874049031	0.720720299961544	0.534732001931324	0.746352796579368	0.779688827762767	0.674169975887532	0.787199965327292	0.836083706658463	0.780432431215185	0.889314720614881	0.691083856172285	0.575867700321102	0.886408163932856	0.759639156172877	0.757726271460235	0.672383314491215	0.782372399072204	0.822911677722012	0.83310729509668	0.865097263327952	0.857920432837742	0.753739540846865	0.776345719171659	0.732375082741455	0.410643322998407	0.802710037739329	0.877097195141661	0.869477658958338	0.783269077535518	0.740901313581426	0.719199050245399	0.843714585420029	0.674675492875989	0.446293344755475	0.711128163334364	0.710724763144623	0.512097485699663	0.87268551438892	0.56433815612686	0.824333105170909	0.77408251344279	0.711482589672179	0.781939154269026	0.852295044086107	0.847361385263454	0.705825870010994	0.627135873220338	0.843698202927644	0.880895170372629	0.745667895571275	0.704471350194045	0.753932282880411	0.831270073590287	0.868903077176104	0.661077310487708	0.772132409607495	0.834342832923114	0.653656486249884
