""	PTPRZ1	EGFR	NRCAM	SDC3	PTPRA	TSPAN12	PTPRS	LIFR	CDH10	DDR1	NLGN1	NRXN1	LRP1	NOTCH2	SLC16A1	LRP6	TNFRSF21	GPC1	PTPRD	ROBO1	NLGN3	NOTCH1	ADCYAP1R1	CDH2	CNTN1	PDE1C	FGFR1	APLP2	NCL	NCAM2	NCSTN	LRP10	PDGFRA	NOTCH4	NRXN2	PLXNB2	CD63	RPSA	APP	NOTCH3	ITGA7	LRP4	TNFRSF19	PTK7	LAMP1	DAG1	PTPRF	F3	ADCY1	ITGAV	SMO	CD47	BMPR1B	THY1	ADORA1	DCC	APLP1	HMMR	LINGO1	CHL1	CD46	ROBO2	NLGN2	ERBB2	EPHB4	FGFR3	PTPRK	FGFRL1	BMPR2	NEO1	TSPAN5	NT5E	MCFD2	CD99L2	AR	PILRB	GPC2	EPHB2	PLXNA3	RXRA	EPHB3	ITGA2	LRRTM2	EPHA4	LDLR	PLXNA2	LRRC4C	CHRM3	PLSCR4	RGMB	ANTXR1	ITGB1	GP1BB	EDNRB	TMEM67	ABCA1	LRP8	PLXNA1	ACVR1B	FAP	CADM1	AMFR	INSR	RACK1	SORT1	CD44	STX4	TYRO3	BMPR1A	ITGA6	ACTR2	PRTG	SMAD3	ERBB4	MCAM	CNR1	S1PR3	DIP2A	LRP5	GPR37	GPR37L1	NRP1	IGF1R	ATP5F1B	F2R	TSPAN17	SIRPA	CD81	SMAP1	TFRC	ERAP1	IGF2R	CANX	CLEC2D	CD74	MERTK	SORL1	JMJD6	TNFRSF1A	TSPAN14	C1QBP
PTPRZ1	1	0.907892312765838	0.842754246440167	0.940235361962883	0.953013439652093	0.916781324858392	0.871154453535355	0.651914331098177	0.888935900543693	0.873044940740583	0.926838142053682	0.947457154411184	0.964877542539115	0.926416912526165	0.909761064248839	0.876649170258169	0.925537612295313	0.732141401437514	0.928954078826298	0.879576171497212	0.95089344202306	0.889314615305562	0.147067163751497	0.944725550718649	0.817897791666794	0.914088983370343	0.902809062891765	0.923313646168632	0.924060059357217	0.939807901043916	0.911954908856984	0.746305376319305	0.222950048754541	0.66855422667204	0.939835104760658	0.857272943447133	0.903050890229015	0.879081943912578	0.922869549515383	0.61323975691916	0.915827824108039	0.934575750518279	0.844957587357038	0.861232449047612	0.875218161713556	0.942445198195289	0.800655056740085	0.818712389265704	0.914579504359959	0.959154224005627	0.849257173174195	0.887457743429473	0.366950624348832	0.631992525550371	0.831230538236843	0.784298558196805	0.817520454096479	0.591475607876501	0.837658225242476	0.908474110131033	0.861413369325057	0.927993641183412	0.875342930698565	0.808854098461391	0.860074836499122	0.43237444628533	0.740884419890983	0.906612445543297	0.91080635789199	0.885646295006426	0.889084697620852	0.943959316380915	0.931935404794413	0.888889035162254	0.81134056696629	0.771182765148449	0.766864513693525	0.856495587499466	0.868324214262525	0.846664680240262	0.806093338162157	0.522369373747711	0.858876963458201	0.860350364541912	0.643908568814486	0.75267852913376	0.955654367918605	0.903969676147122	0.245538895372253	0.76760735618602	0.892451055824047	0.74100467932287	0.775080235295329	0.833207500286632	0.821511516310054	0.792923493021307	0.869988270916452	0.873421081564722	0.889836379127883	0.658099790029783	0.914272149398655	0.905949534396308	0.405964002760247	0.900208305714287	0.849391019195866	0.00313567176692916	0.920147027814861	0.945255775290587	0.853609654347619	0.361831546718931	0.89883206898033	0.839280713765319	0.847741512725307	0.850163725443391	0.538000883987625	0.831782422620845	0.568492993370647	0.878555845217668	0.874004989100199	0.76366449605593	0.958027477571044	0.575240205979084	0.7161578363121	0.920612757756697	0.694602455682006	0.873604435154036	0.624971571515762	0.898722732315114	0.909954847937593	0.943065272932701	0.829892159217241	0.826621302381668	0.929788025231704	0.74545804858463	0.532835912658696	0.802265767631519	0.560270065273432	0.815681810944305	0.848930610898931	0.678697096768473	0.916566011663977
EGFR	0.907892312765838	1	0.809494171650437	0.877209392928545	0.881600035731944	0.846320469137714	0.852624898239866	0.602809234035427	0.816301021240403	0.847033119192031	0.868435066513252	0.876819764465717	0.878572824044105	0.892064364116845	0.85484634077351	0.83882093330573	0.874449733163598	0.680605137420289	0.88343050952548	0.817769525755326	0.853659763977398	0.882414282456565	0.156570903259303	0.884635932609246	0.709823689064253	0.823646352331209	0.865684616845972	0.865245143820743	0.845480423192413	0.869351175256108	0.855655067931961	0.723536176462219	0.0990352980033028	0.652326926576131	0.886479778156546	0.825195309230296	0.814419994080669	0.821785714012318	0.851201399157578	0.619846002338667	0.863653940804678	0.872460192188547	0.793217087686199	0.799257683416194	0.827079564396766	0.861538669223075	0.765687290672352	0.736681904546859	0.88024844714317	0.896849772748021	0.809565435704407	0.843905820976254	0.34786230250144	0.636882083508515	0.752173393838874	0.718029469099517	0.78560907858925	0.621071426148869	0.811243180990859	0.820141567547342	0.837095931710858	0.866864976169803	0.800114084427073	0.789732543941728	0.789101696962061	0.41813606918252	0.761419433766112	0.847569313496451	0.856461779473928	0.812996074203847	0.806785544888688	0.844036348175413	0.86961130958494	0.848924220158751	0.788186814020687	0.779128066568943	0.726661254424639	0.832828950061426	0.822074653902713	0.82827894089148	0.757378374992114	0.538434468956923	0.83729606546158	0.807999464076313	0.636919109866426	0.695375615923927	0.893858609577026	0.790720008410344	0.226686605632867	0.753297505752141	0.844107219262132	0.72740691880449	0.738379639444675	0.777158912181367	0.779630908515409	0.795086870174327	0.810078304685305	0.833070127084323	0.836388617475758	0.654740865601431	0.862039284838408	0.870546477983563	0.417162747832644	0.843887057902053	0.842594562273447	0.0458057886961332	0.835353582448435	0.875079388838102	0.774200225548862	0.378236429646558	0.857022783489939	0.798491307439966	0.820562475210606	0.82001593146445	0.532091310340399	0.730163115023988	0.532616035158057	0.857788299974072	0.819740060178035	0.715401268536242	0.869789571069225	0.558759716254219	0.720646945718098	0.842496312153275	0.666794870625353	0.826176889653075	0.604394367903601	0.834703950748491	0.838586676147724	0.853093378228684	0.813820303188382	0.821880510443404	0.877074334042577	0.759588704024731	0.549849416503959	0.771668660805056	0.572558608572371	0.782023192040941	0.780478520812893	0.680658906797416	0.817142568985532
NRCAM	0.842754246440167	0.809494171650437	1	0.813966057035158	0.858614533846875	0.778263039525266	0.866340231575171	0.757331700152703	0.707399271624342	0.875482814863954	0.842888131043274	0.811780834816606	0.822522497584247	0.862555504711687	0.845957320755763	0.876246982234614	0.850539212347662	0.852486375165632	0.796328686163983	0.782096288461773	0.784932700720876	0.861674354609237	0.327600783564602	0.875808638674609	0.718406130537146	0.832705892973037	0.860532899949921	0.858833500678536	0.837389028354357	0.834502263949262	0.859516838019294	0.843408457368183	0.204454232484222	0.680284446804323	0.820593698492222	0.81692338186171	0.813239606493455	0.798991420963404	0.851318057933348	0.593311888816831	0.831570365722951	0.778064049553546	0.741207561341957	0.76517608719963	0.874827952211829	0.814444471304548	0.825721984568123	0.791075515834245	0.782586577582576	0.887657168294841	0.787283834418808	0.868344063104649	0.550366338696902	0.782667589005761	0.773128471436496	0.6654037465637	0.860707233746415	0.602520264634638	0.737894125912756	0.839581007763186	0.875814293169363	0.785309216465246	0.849162870020164	0.830254397485637	0.75671611569438	0.522930334463357	0.764663887583172	0.817556625147212	0.879287157002241	0.769435218402971	0.776016642057115	0.79772442497535	0.893317247552896	0.841713714976675	0.854431785479164	0.790788448435933	0.744256804561504	0.776922239360517	0.843495340433757	0.872723382575223	0.66705933761931	0.687672179243883	0.788849294098688	0.78957468889233	0.772543295255238	0.727141276541655	0.827862657100673	0.777515778739906	0.433474508150009	0.830810416769004	0.872690421236906	0.773741798310282	0.791458568653757	0.797223894459123	0.830749924955255	0.854047809295645	0.816976737739577	0.827240788753683	0.831872453262706	0.595369937558488	0.867781734368555	0.862041393458183	0.483174301712217	0.831725314362885	0.86023519644415	0.360025652938346	0.872139446392548	0.835461057381468	0.81563713303299	0.560491125008512	0.885349413771571	0.78925211407316	0.835595278729704	0.877055209106918	0.593295921726205	0.735148348234522	0.688443720336229	0.85187140862007	0.763438955920231	0.767942182643792	0.755686185998402	0.689437166021578	0.786106078861792	0.828945900304156	0.821861224155472	0.81380929467827	0.739556227563759	0.882176683533405	0.86911062293284	0.840783110413442	0.84817996607769	0.862647593855891	0.880704614492528	0.761061015424873	0.6420406125075	0.768969670137834	0.69672985055981	0.836067037185136	0.880184768262283	0.737887572588523	0.823509724550163
SDC3	0.940235361962883	0.877209392928545	0.813966057035158	1	0.923118818874461	0.85711312678768	0.800210354720469	0.76401908738719	0.822729729175199	0.912048721381746	0.846689915924324	0.879062827416002	0.89533565919511	0.863436245646383	0.864770863755462	0.801275752790353	0.862330937284765	0.793269721958174	0.870783144817455	0.762360158136151	0.865828390206555	0.835934937376249	0.369668193336073	0.89341703295749	0.737299958165572	0.856839369824075	0.822500388228495	0.879548730278275	0.846928280784153	0.919985967106957	0.85353582870358	0.799970824664244	0.129311211144498	0.647350777282124	0.933161664658551	0.799529811450041	0.834340894823327	0.799740257160206	0.862348288252045	0.633744019169214	0.871225366916124	0.872778301073665	0.755586465393254	0.779692547053528	0.902119034484033	0.923073967113901	0.837575489942554	0.89878200899674	0.850216808955842	0.931861473521672	0.777887482675872	0.848480413256833	0.542666661681063	0.600597012622728	0.89208988180389	0.672603650869273	0.806684087958605	0.510842921192025	0.745498351428976	0.886326289177034	0.807228934987094	0.853061620035639	0.860775768820477	0.793601775081701	0.777643346511288	0.621047477996522	0.700879713992491	0.85973491951686	0.873873136845599	0.816479391503032	0.815016998350295	0.855233729198783	0.892227285564033	0.849667999927092	0.846377750948184	0.728436129661214	0.662399956839721	0.789639583500484	0.813168292754892	0.814283245873798	0.727640087527222	0.614904763294203	0.747404280397427	0.786287359950403	0.720145200168244	0.708866054298468	0.907102047605092	0.805634590066571	0.451259260774371	0.681849116660063	0.847919796544122	0.703331317039817	0.75869507143699	0.884927316163644	0.781572960328253	0.784581438231638	0.811391153128291	0.806896375378273	0.833064870405168	0.562792255490122	0.87088397240627	0.883500947890053	0.396279441301001	0.803983889089436	0.838448540582578	0.190521769504102	0.864141714666324	0.89389694160773	0.834799695756389	0.534964401767861	0.841462969050467	0.751303939598776	0.803195958621995	0.833006117839392	0.49053042912754	0.740494461997959	0.63525975585501	0.815486124463618	0.7836121630678	0.760509312026381	0.922235568060146	0.568652635633708	0.71342997014539	0.834536825038217	0.756078620627251	0.806871909247431	0.717574325141	0.910100520250029	0.899578749923209	0.866349225186368	0.811083126605473	0.783572046791847	0.897677020627497	0.707021075959473	0.509067274016097	0.741336769294988	0.602352593773907	0.748930605347636	0.876208983744784	0.626368314941837	0.845956171436464
PTPRA	0.953013439652093	0.881600035731944	0.858614533846875	0.923118818874461	1	0.965169055813857	0.849111680447369	0.767945165771849	0.867809023882406	0.924765670553902	0.958889883750242	0.901779427810616	0.966763597804058	0.957151871393281	0.967488074352792	0.893586436578017	0.941091980362163	0.799424856946568	0.901975891563206	0.920143365985772	0.960423817700767	0.915653124487016	0.312170206768059	0.970358924545718	0.81862510597922	0.907576670479801	0.930676818582105	0.972460384357685	0.963196767579675	0.915126077501797	0.954131082677325	0.860971526228945	0.125490834637333	0.710898175872719	0.921165305119582	0.926653715709926	0.948166605442352	0.938965681641898	0.965426465791695	0.686612544935722	0.962515132784659	0.931011222694343	0.92352293294019	0.92441772572617	0.95584753074874	0.973471773988038	0.907152024015625	0.887412233179967	0.91313415648378	0.973721798196856	0.916131388629468	0.954916854691183	0.510886295621451	0.615743679601891	0.820861583346636	0.821196242785308	0.875489666083744	0.671789531487434	0.791416405719733	0.965308190574372	0.875698784053714	0.960360197761115	0.850982639653429	0.892604584128882	0.921260204343444	0.481097026567526	0.751978726207138	0.910951590798007	0.949658531798745	0.937412499514188	0.955826327153194	0.953690252191364	0.973460682944821	0.9367109676026	0.894909676141618	0.845043639443571	0.68897128910383	0.908295337024543	0.870530430008748	0.895943843805792	0.832669572425242	0.646953226323293	0.903581591133575	0.936605231966264	0.744416155006189	0.710929620966485	0.925634938083789	0.899152837610757	0.405814026701031	0.749754207958026	0.925052277843548	0.790942770726302	0.839487069000622	0.93004128852748	0.901795636411337	0.851489036793189	0.929082082381789	0.900772669549588	0.894984387615718	0.771470964284342	0.954242704138192	0.963226384549018	0.433366313924805	0.936671852839305	0.934557795940257	0.170516734779748	0.932190217084477	0.961238236626975	0.923991552002128	0.481424646164274	0.950998634394328	0.854320542259298	0.890157849603745	0.798116468529287	0.548369458408899	0.898495042649582	0.708890527538153	0.91616954970632	0.882323826963465	0.828274726511325	0.912281219216264	0.633250028537792	0.735710501760194	0.958150618684717	0.807892610704275	0.909855413499276	0.77847451029168	0.960964516531413	0.963674355511242	0.947790200004702	0.908315740802377	0.874497401595178	0.983146813893401	0.805209996808806	0.588498922737356	0.846778825340282	0.653886827108244	0.838347763086208	0.919855194673534	0.709203308579992	0.944798478724466
TSPAN12	0.916781324858392	0.846320469137714	0.778263039525266	0.85711312678768	0.965169055813857	1	0.809630905110235	0.683677294582538	0.841674428312432	0.865214212607347	0.956603878578277	0.869336569127115	0.944835275289258	0.942744788442797	0.959003100156842	0.871864267344919	0.924928595280758	0.695594101987111	0.870787848932342	0.937094459339763	0.962459904091333	0.920999549868153	0.225171312902439	0.938897190568322	0.817696421730357	0.862849611885238	0.931479533665416	0.955097581519503	0.955832930281643	0.885235229327882	0.934576556719822	0.78872337191961	0.174256618748336	0.69781098472244	0.887837106594694	0.927853656712727	0.928024422523895	0.959599437071583	0.941032343583825	0.681983522007982	0.922610456061355	0.918252953682555	0.956872772817824	0.930538042266515	0.907980996846768	0.950223996815114	0.862884265469453	0.806115927220031	0.910823327047714	0.926180397678851	0.934950043612394	0.932596547505541	0.41673009923532	0.587723091291364	0.728275708184387	0.81955022288875	0.841056097449087	0.723508999938068	0.813696661754261	0.924993349065678	0.838407569784667	0.949089663736006	0.798782658742543	0.845457242593741	0.930385710596376	0.350291453037763	0.733598363526031	0.862074739060286	0.922696691949736	0.924972697741025	0.965004691418185	0.946566464991877	0.93419213508853	0.930926943893949	0.828494649612315	0.846564133686376	0.656178949526165	0.920808930297202	0.821125312865441	0.865505276791992	0.876649866207323	0.587127079264295	0.929369825751738	0.935694724944697	0.668698610381826	0.676030414669487	0.894901777674955	0.865882533043549	0.311460779493653	0.747282314708109	0.892497491284293	0.766119062844505	0.80621124873156	0.892128561308256	0.897990376879478	0.781958138228425	0.904151728343836	0.877059242259042	0.855377624714785	0.841589400635946	0.937817033311636	0.938323072502731	0.409650894631231	0.948399256690183	0.910699614036233	0.0474034589417766	0.898485063619227	0.940959170066708	0.917990193561896	0.390417988274719	0.934586031058547	0.840242870734879	0.871012210902911	0.723787085489204	0.535681610722538	0.893945068055892	0.657960916264562	0.89941899167158	0.879613196889821	0.757052604450235	0.884757477946245	0.573541769508609	0.66713734695669	0.960354094687666	0.723797125636686	0.892765700807212	0.727994164988361	0.911440305918424	0.931847664984136	0.915808773744906	0.880643035841044	0.83681044391119	0.956584780916082	0.814596489088648	0.557222207004631	0.819223783729317	0.604610539473625	0.807660357129226	0.850613940009984	0.690714743862339	0.924231202375858
PTPRS	0.871154453535355	0.852624898239866	0.866340231575171	0.800210354720469	0.849111680447369	0.809630905110235	1	0.613325326251935	0.780999852894957	0.825679748159815	0.847798526959046	0.849879575901299	0.849154212452734	0.874888996100458	0.824996075201965	0.901195801900267	0.84387127691642	0.670548102960745	0.870143507908171	0.833134512314502	0.813061844150915	0.887096534788343	0.142557237749845	0.845638653381243	0.754819280355909	0.792773642247253	0.844761014380863	0.821428529737749	0.823499775474288	0.845391981971976	0.841928175267242	0.714882986444645	0.195391537135472	0.635673052895259	0.826945161120802	0.800973887198387	0.775877676115604	0.790377964813208	0.855560448400525	0.570038937818715	0.812137776313312	0.839173944140929	0.768017046573272	0.803456402441428	0.797430283794633	0.806506051305104	0.736298550831669	0.697639897371463	0.832153277306349	0.862782478949722	0.796148017576718	0.818654121635986	0.367283341188184	0.727476298276311	0.673610523866872	0.756937580077321	0.759195607966848	0.579806345427602	0.819613424621423	0.791342891284537	0.869572352038885	0.827861776303341	0.786130700840022	0.765380516973617	0.797531458707708	0.379773313998056	0.793824485072802	0.808764450826736	0.867304026815	0.792597617228971	0.777750763728355	0.803205783628639	0.850279125661527	0.810417566778451	0.773813957718685	0.783125952979353	0.812138331242698	0.768275826151674	0.862269917381726	0.851770612003411	0.737568149773959	0.584433104590787	0.824181348735585	0.815362169486845	0.622616667182836	0.720923210821864	0.874984949325051	0.80329020090694	0.247326224759401	0.823753784262979	0.876947659971084	0.735323053744595	0.749671457269094	0.724836816623074	0.803847383562445	0.843121439609217	0.820158186078967	0.810774608906547	0.84734712591582	0.654174848493756	0.82627576402695	0.829717388380959	0.452528687029721	0.836293645873181	0.810356999457062	0.0941484094039245	0.839530542706952	0.838528167985916	0.797775510575242	0.377431083925215	0.842524760217005	0.864874927702704	0.84805304445706	0.837749082927693	0.577322758294344	0.743964233771261	0.557359012002586	0.861171801717398	0.794605690587033	0.732094295895597	0.786087648257438	0.568665529910988	0.788993575283069	0.821324453836439	0.706768642140715	0.823370838342467	0.59502857494153	0.808215967864261	0.810813774130095	0.839940386153396	0.781748704775772	0.81643369110312	0.841095500876041	0.74593733225716	0.54150792066513	0.764630959268713	0.552235803362851	0.824614626053057	0.765026977361536	0.710994652946238	0.785684506802303
LIFR	0.651914331098177	0.602809234035427	0.757331700152703	0.76401908738719	0.767945165771849	0.683677294582538	0.613325326251935	1	0.579646759675539	0.885004754038189	0.69423643944166	0.64421793229238	0.682526230182856	0.706453947171316	0.705394700606187	0.696447680346919	0.668716162322754	0.769715076776688	0.67986343884848	0.60949365772723	0.631090217406256	0.67629312997738	0.778962568303498	0.695252910658024	0.684019405940726	0.667045801355322	0.691173546440305	0.713987960879312	0.655224068401731	0.706379649133433	0.703707155984071	0.924829020341516	0.0990052724723266	0.591450342737709	0.697807789277983	0.701148091886646	0.643492997075814	0.63431967477458	0.743631481728173	0.545228551089914	0.692075515955683	0.642868994259231	0.620641892219567	0.623280582686025	0.867417625461241	0.718571678392983	0.8335785882462	0.899969598684617	0.609345474054586	0.762534750474946	0.631315009902579	0.72274603736681	0.891461166814535	0.568801406612024	0.724986423108309	0.497042412542892	0.765293153847853	0.484796605972664	0.480757871537174	0.791181390110711	0.710425023851588	0.667394314534589	0.672948004590844	0.767568991043337	0.641913983877254	0.753685789319001	0.609636498157919	0.675487640537622	0.777787997021785	0.672840165279453	0.64910970686995	0.62580893952385	0.762318265277289	0.719784774430571	0.890706912753753	0.718184068126764	0.467331763145306	0.595364907103984	0.655327952567902	0.757778752151048	0.539493745917294	0.87249858454619	0.592804720596332	0.655774682698474	0.840287089952923	0.505255841111275	0.637643425347482	0.586826984280957	0.837361170978175	0.524072150067787	0.778695378844999	0.623750061457535	0.724806803248614	0.884659120384895	0.76502150255363	0.758006947681249	0.703739342987243	0.622304003441441	0.670077775736276	0.522154446071332	0.726846816857275	0.744692995059279	0.413080666137658	0.619633967502998	0.785188775674024	0.656996130794401	0.724684993203266	0.712761872543153	0.821799199122683	0.814535908406444	0.732030651457245	0.583172254825041	0.697956344463473	0.62732152323967	0.436401633888112	0.660763781236996	0.80167703894942	0.715154292035789	0.601049985258633	0.782288659645971	0.590051777702958	0.620069179165875	0.705116297676401	0.642517088406089	0.89313449460999	0.619746050386376	0.914313062632991	0.858566704262732	0.789708305729502	0.665317862262698	0.753201660059837	0.696073788707869	0.764887396852235	0.680838923346181	0.555823666758181	0.66245912882684	0.74182800382089	0.627648129284404	0.849523391712925	0.580570774670869	0.63959225647289
CDH10	0.888935900543693	0.816301021240403	0.707399271624342	0.822729729175199	0.867809023882406	0.841674428312432	0.780999852894957	0.579646759675539	1	0.765003721050753	0.834608848554358	0.922820356407641	0.914906728324904	0.830408037796108	0.817027694465265	0.800286234199851	0.861956969991618	0.594590443658951	0.868408667503915	0.864339625484912	0.879620408784964	0.777426345997354	0.164354946955032	0.820341780022955	0.836241361999482	0.792264291400433	0.795766728725755	0.820082130230113	0.839150322515638	0.80547441767677	0.838165047037097	0.668702046949167	0.1881334897728	0.57031913561752	0.871779669676982	0.769985826351137	0.829630533498521	0.802991400961273	0.879082734900671	0.530921342643987	0.864987043456983	0.887922391730518	0.798085572614328	0.819087083611121	0.791128353047423	0.880780605250375	0.724294912020605	0.741729341875885	0.856112797808739	0.84256047449688	0.764709007658738	0.77984288929273	0.337480500358775	0.508787724280617	0.679491128646636	0.842021100892115	0.683126855382928	0.449396872961492	0.774091711566789	0.86499327513499	0.759491900994291	0.896103141785183	0.747312322631291	0.726886056387278	0.812768320011346	0.373576855614965	0.642099183983577	0.821101740482242	0.799713932827724	0.904920241388758	0.839648183804434	0.880750913324631	0.848924683206051	0.786997686850533	0.745014256005325	0.695862195297606	0.654193691347702	0.766209880839601	0.803962543418108	0.738416177744587	0.72724548842963	0.428096311655588	0.776681763004584	0.799818207327365	0.484542858206743	0.643759903694153	0.870638744023146	0.797009166019241	0.233747379160676	0.67219416994709	0.830501965194239	0.639773484830717	0.706902944588385	0.778478099677373	0.73857545869799	0.747833853689601	0.848233503029374	0.777146598433127	0.798474390967914	0.627508406815984	0.770506536142121	0.823580433943966	0.335551782518502	0.786905575742068	0.737921289028528	-0.0332269587970916	0.830764813343004	0.832855815620754	0.775706084438676	0.283579362945051	0.786332418274362	0.759133997731974	0.807809673132154	0.696387780249097	0.441860411357418	0.836715559459301	0.489418353057282	0.765906342593063	0.834281847346026	0.753960306906622	0.879021220945653	0.507534630163888	0.629082151566209	0.831643990668063	0.60827447243979	0.770771505318145	0.532306204637729	0.816427643054336	0.833943547459575	0.889871100538712	0.721967182606314	0.7335286702314	0.848034225219317	0.618820580484768	0.446088724678504	0.72313206308519	0.478683308084091	0.716243252290135	0.734229640556204	0.566220481531963	0.835511338139824
DDR1	0.873044940740583	0.847033119192031	0.875482814863954	0.912048721381746	0.924765670553902	0.865214212607347	0.825679748159815	0.885004754038189	0.765003721050753	1	0.879155658497307	0.83462259793282	0.880490229971065	0.89339576313922	0.883117985564534	0.875691399126266	0.857897845262806	0.820358946229194	0.871686522061069	0.800231991778991	0.844714793006416	0.881816961678202	0.522631154104504	0.884197109482505	0.791861845742238	0.840934434888076	0.873626927619888	0.883456839461308	0.849891892495114	0.906591285006704	0.87519194090681	0.921198968333138	0.143634560698729	0.689943199589334	0.879772643845857	0.859966608669171	0.816971329230376	0.825205408970351	0.892696289739495	0.656777863110044	0.86293049325852	0.844748023363989	0.795692897531039	0.819496698648747	0.951837381347793	0.885354347807945	0.910235475206828	0.906325781134866	0.835864793558312	0.926263760808041	0.822078176661064	0.881067354601768	0.693175721549217	0.698392773996448	0.815193136341149	0.682948406121154	0.881107609603086	0.613063407802433	0.724119198447074	0.889572126620544	0.860853181700707	0.854193383934669	0.835154976988259	0.88739764774684	0.814965372383196	0.641525299212934	0.769857329672236	0.84839997187425	0.92180904564087	0.820803564434894	0.818890929781776	0.821598221124328	0.914349752660473	0.885217547024992	0.943253251709007	0.835320968347326	0.700265614308963	0.795478844801836	0.836775971818872	0.900581930898257	0.746036184502276	0.800173449639918	0.794149341133043	0.83300979300292	0.828761289942035	0.683924263614708	0.859197765781208	0.787411837136389	0.61373227587433	0.730513611550655	0.913363233912088	0.755663728284777	0.827574242419775	0.921691861234148	0.881499924631057	0.863950077342192	0.84920786772198	0.816774477168451	0.847673646871499	0.666296988635229	0.887694435703978	0.902840006434816	0.457993807383812	0.831644814107425	0.905748616356074	0.384484799083274	0.878102061343237	0.900097334976877	0.912010254253848	0.653033771311878	0.892411801615724	0.783264859076436	0.850339976246259	0.82376096979793	0.551019352561408	0.77055112872782	0.763696977479428	0.885601102889094	0.788356803608368	0.840415459485529	0.810552926259005	0.646750631908341	0.808917333029137	0.834104340698001	0.887215140330957	0.809509820207956	0.864873316083367	0.947464933675667	0.918118699026783	0.846832804130106	0.86637462792695	0.854952809474441	0.920062174228607	0.812529942046452	0.623034097094729	0.797121340586241	0.735918631131417	0.782215794514943	0.909536552865078	0.710975730225057	0.821094950066668
