""	GPR171	PTGER2	CXCR4	CD2	CLEC2D	CD3D	LAG3	RPSA	CD3G	CD96	DIP2A	ITGA4	PTPRC	NCL	CD69	JAML	TIGIT	CD47	SORL1	CD247	SELL	TRADD	CCR5	DPP4	TNFRSF14	CD8A	KLRD1	ITGB1	PILRB	S1PR4	CD44	CD46	HLA.DPB1	ACTR2	CD8B	RACK1	F2R	CCR6	TNFRSF25	PTPRA	IL2RG	CD226	IFITM1	VSIR	CD4	SPN	LAMP1	JMJD6	LRP10	ATP5F1B	PLSCR1	ADGRE5	CD74	CD63	PTPRZ1	STX4	SLC16A1	PTGER4	CD81	SMAP1	CD6	TFRC	TSPAN14	TNFRSF1B	APLP2	CANX	LPP
GPR171	1	0.988591917281853	0.804203982725344	0.903893514931346	0.895277293429784	0.89363622813568	0.373077151212098	0.741112954060055	0.884260917993423	0.891378336548794	0.102328998840953	0.544348557161168	0.920490970287511	0.113002150560757	0.761909443987431	0.835118708706132	-0.131954727051203	0.882901359186765	0.640546744215233	0.95149013475504	0.788777947961594	0.925410673621187	0.606337740969864	0.819944375509561	0.683415586433894	-0.0566867082832917	-0.190716960310492	0.551802344393583	-0.291576101756218	0.965919448975806	0.463118227057347	0.357453691330722	0.325786393763842	0.232490802107298	-0.0274458311450876	0.781869808055694	0.236449752426697	0.85344672373865	0.944493036297208	0.190290341624995	0.851030673342082	0.858981663078369	0.899359848155153	0.452561582152218	0.648880363314545	0.655169778223329	-0.0513770001447196	-0.199013923114878	0.237901233089345	0.348505091755687	-0.241259905105476	0.568031288935414	-0.0251238323602543	-0.206303304639496	-0.256101272047318	-0.157295972909811	-0.217419684920955	0.922739098792537	0.0777226762385064	0.429398303364835	0.896322687014889	-0.329777380248881	0.400864420201773	0.453606036207674	-0.200387023888884	-0.0593793393653519	-0.133234643596117
PTGER2	0.988591917281853	1	0.860208562958295	0.921470634496296	0.898580550142982	0.871468200739398	0.439604856277842	0.732284122950307	0.893757660782397	0.909630002640825	0.148430102219184	0.555488100660843	0.926049323301768	0.115704371702138	0.796283308771758	0.866112531608308	-0.129579379295444	0.898288362842285	0.652638667987761	0.955588428801582	0.74930479753923	0.913604071841409	0.638909763995725	0.797054418359394	0.680044268371041	-0.00696945076687307	-0.152529438755646	0.572423056159666	-0.318687143334752	0.935855361855254	0.453149253142122	0.384466280060601	0.36450876723041	0.255227329345817	0.017908968216333	0.776191951018434	0.247271538564175	0.824859477949999	0.939334289433694	0.17505979389745	0.838144120158346	0.89614880616852	0.887221479132384	0.471963992567406	0.628918641233559	0.631973674410174	-0.0530161758068039	-0.174062443834707	0.212806143395855	0.331998772061046	-0.209326017604602	0.601132151413167	-0.00349495512471532	-0.209458991557664	-0.26418950949184	-0.187044107531605	-0.219527060603298	0.915481155745263	0.0927753710194756	0.415844251607708	0.881295981508855	-0.343060422519506	0.422270577153384	0.460290048700518	-0.212192760542293	-0.0634425204551332	-0.164362916080805
CXCR4	0.804203982725344	0.860208562958295	1	0.812635457477808	0.800141691386987	0.643123135490301	0.57493884102542	0.514144353668429	0.798706069181268	0.838751460451283	0.331450972225625	0.635780720480926	0.835404061774253	0.0721984412135057	0.919524669111065	0.89602343913558	-0.0441669921358693	0.796266795272407	0.634976002500392	0.801282176197759	0.43250404715555	0.651968743629716	0.645261658587792	0.514174987016277	0.626572280501348	0.254202786474298	0.24692753417214	0.612749188302947	-0.166699731558522	0.686872692196804	0.391608285264038	0.366042801051969	0.472135168705586	0.360152837273801	0.290831765508278	0.550382069997349	0.488496092528214	0.493893353145915	0.774351699049705	0.0307927778614279	0.646675087198802	0.8003748685621	0.682705276302561	0.450323225061813	0.440710979975922	0.536730556389859	0.0289670179100282	0.0343125290279485	0.0785833349225945	0.178127310631488	-0.0848232946185492	0.699773965638157	0.0977018718493117	-0.242336580459736	-0.300253484823849	-0.216619098028892	-0.305038773138194	0.777811918328635	0.0636558793100625	0.226542974997697	0.768652824268161	-0.410785223659667	0.516168050034695	0.56523009769678	-0.205363532677192	-0.1281482023104	-0.243555188263619
CD2	0.903893514931346	0.921470634496296	0.812635457477808	1	0.943935870713818	0.922360841480738	0.59965243002716	0.626628418222756	0.982407800522795	0.948770983362487	0.377763636135824	0.753991177466882	0.966952173964032	0.0732300953218166	0.78829672563009	0.766367968829696	0.2007819224326	0.879144870570372	0.678244601527875	0.980693470888349	0.710688657000501	0.837435987040082	0.690932945151333	0.822005256461523	0.670025282931349	0.164144952113174	-0.0504453052489852	0.612072118961782	-0.238670489902565	0.903305175958479	0.381446669505917	0.477410853449305	0.448913891957962	0.235559553385004	0.194674606896489	0.687992304985039	0.385256170412233	0.779123400177477	0.849351391786129	0.211658095195304	0.934955377809427	0.916015208325853	0.916066960386917	0.506712262316218	0.62867584678699	0.803926278079258	-0.0685971221641516	-0.0889994989408798	0.269540598850174	0.251881841904541	-0.201297963165069	0.819811315482532	0.0570499722034605	-0.285293949219761	-0.285455513510129	-0.171490001238405	-0.208733782487441	0.905002267038907	0.040437601869135	0.335110782836619	0.898302948352699	-0.386870421716838	0.44431283700755	0.604057934524808	-0.237529759163425	-0.0977093015919634	-0.15837623149687
CLEC2D	0.895277293429784	0.898580550142982	0.800141691386987	0.943935870713818	1	0.868006665973537	0.476724849472122	0.564829814773492	0.911029612575101	0.920377576598247	0.356080098106174	0.778594065045	0.968963575128642	-0.0188649986392163	0.715088269508768	0.81586271843733	0.164119542174034	0.850399919185283	0.749618560446927	0.939888065333474	0.730187627285488	0.826552547008102	0.784783137646505	0.835715643892902	0.694014386779267	0.149577758762425	-0.0123172622513708	0.61707703689938	-0.0375897416978592	0.884963250373458	0.399898728414615	0.446801655955282	0.448067972132693	0.370014330984259	0.132119369999619	0.642288515279276	0.37412286578249	0.784779550905301	0.849467363423549	0.181473121176589	0.925786841946837	0.919354136910463	0.875190201647533	0.578139101136931	0.660940003692869	0.860663815170419	-0.0158848773367921	-0.167960635387119	0.227660696216571	0.18863539797688	-0.119162511173199	0.738384386022182	0.155741321440958	-0.283416400371184	-0.294301105172006	-0.148155307410217	-0.26275970622678	0.871146417963374	0.0329049458191418	0.258841669243955	0.876366816348915	-0.4345599973576	0.540691282533396	0.635829751749943	-0.169136245243771	-0.088125341253642	-0.0876161883553891
CD3D	0.89363622813568	0.871468200739398	0.643123135490301	0.922360841480738	0.868006665973537	1	0.337208222586519	0.744597727335341	0.943576548116002	0.858496890103588	0.178072864373552	0.656967321482978	0.907006349065763	0.149082489082382	0.686611839143317	0.666913760475786	0.0576989594738445	0.839427631339324	0.629987504305583	0.921655363411398	0.884263865509476	0.902301560905556	0.527891818941496	0.901364174440205	0.744605890585272	-0.093505068167549	-0.251411757132498	0.583228161210015	-0.252106982640952	0.952587847643126	0.456363016804653	0.446074666055863	0.435155680987229	0.192908998870065	-0.0514908313626977	0.786791730277598	0.224282599872201	0.900471379123891	0.90340060095488	0.271690136666696	0.957061473391135	0.776335026246461	0.92888464944115	0.535282164721328	0.739229318087942	0.814177562008097	-0.0643981456076949	-0.168605379134203	0.417641851621271	0.384469311894562	-0.241343559453183	0.714122828224528	0.0739545873275184	-0.180685345514421	-0.207920493510712	-0.0287003648551667	-0.139404962006668	0.942286728317504	0.106572507218328	0.526716211519506	0.840382187961708	-0.277520384471966	0.378737133853654	0.572564272219004	-0.14447139075642	-0.0161772481713583	-0.00274896862193685
LAG3	0.373077151212098	0.439604856277842	0.57493884102542	0.59965243002716	0.476724849472122	0.337208222586519	1	0.0332197213058484	0.565892961322015	0.602401903133846	0.731687458974255	0.648595837401043	0.549801036138612	-0.066425825334476	0.602572818595909	0.363411366350929	0.613312314781643	0.449236737027136	0.247916255176287	0.565223970234982	0.00553988531548364	0.175268589283599	0.33576502106408	0.155006214729852	0.185965019453492	0.731658121121787	0.459031751579341	0.355759248001069	-0.149200169121581	0.300904895986172	0.0523236637664594	0.305006863728802	0.138036828445392	0.0942973975091206	0.814839861987512	0.07595017442326	0.659655426663915	0.078116955606586	0.242452493973859	0.0528598930118183	0.44441944103165	0.550778980853641	0.344172820564874	0.0857483753750803	0.0678813812062567	0.299815382684443	-0.0170688850281359	0.240469179833694	-0.0601001683956738	-0.115134591470161	-0.120141177999804	0.660466049855546	-0.0799262952591091	-0.335562800800771	-0.209535256970457	-0.241605508085068	-0.195602164736467	0.298070484923015	-0.114350701837831	-0.203519486402187	0.485006495966409	-0.320563228333898	0.232013431433599	0.411817864405685	-0.290767221481768	-0.184543261403894	-0.311330414522543
RPSA	0.741112954060055	0.732284122950307	0.514144353668429	0.626628418222756	0.564829814773492	0.744597727335341	0.0332197213058484	1	0.637053425164061	0.572172815011273	-0.105372376687692	0.220202864924405	0.613175275054516	0.617858202665757	0.512847295136074	0.560754346046808	-0.403258902719635	0.80717918566176	0.551458160188063	0.654849580059231	0.757504188531777	0.867883780692918	0.373122923641879	0.754893800369347	0.740705540585587	-0.425593782291051	-0.500216172752175	0.628965047712704	-0.311136835371964	0.754652951396297	0.758531863209046	0.5670392096688	0.341458147202015	0.347872113078549	-0.382765434616075	0.981721673358964	-0.0715588576808457	0.790905795524714	0.805830670555392	0.493235952157664	0.624933042144078	0.548397400086562	0.721250292687368	0.535828533059531	0.747200669634489	0.437513038191987	0.251670907204236	0.110234722323253	0.59629106635245	0.813354903400184	0.0711425328890574	0.373290742138817	0.0759389394903701	0.398677718184222	0.117745174194331	0.312548473602443	0.245650781616431	0.782860313403319	0.545947975734804	0.861987153087338	0.564118466748897	0.232718276400871	0.338510294805622	0.309084338580334	0.240288483961748	0.442031987738747	0.230899411331705
CD3G	0.884260917993423	0.893757660782397	0.798706069181268	0.982407800522795	0.911029612575101	0.943576548116002	0.565892961322015	0.637053425164061	1	0.92452787988953	0.375818727158829	0.775943791047177	0.954999809893608	0.110368693212369	0.825287865245731	0.734520888540259	0.20767438740455	0.865953207331363	0.662421352450033	0.958108199866799	0.716546767602037	0.810545316740558	0.628611638895326	0.805511514466262	0.702239456618705	0.140361721561432	-0.0140454558388113	0.631965762586527	-0.241492868160973	0.893987853416387	0.403641997485245	0.479028506664463	0.475235163998642	0.215405884522328	0.196625786189332	0.687560364998682	0.441660642892347	0.758620321011864	0.852788873571961	0.218535502023861	0.939638881518266	0.859938103287294	0.912954507900693	0.491067745537845	0.633394621445818	0.819749500549729	-0.0600955638319859	-0.041745383444254	0.323891342900856	0.286301641342836	-0.213609836936518	0.86019360681616	0.06379875465963	-0.275626301750916	-0.270782554794662	-0.128085821048215	-0.201495819714807	0.924372651534508	0.0422172407226507	0.375952043065365	0.896931754591586	-0.366887056984557	0.434874054644764	0.647786540160321	-0.225858415446297	-0.099446670017401	-0.136758092012577
CD96	0.891378336548794	0.909630002640825	0.838751460451283	0.948770983362487	0.920377576598247	0.858496890103588	0.602401903133846	0.572172815011273	0.92452787988953	1	0.370488914749074	0.73816323641791	0.958555597721498	-0.0192704306149041	0.770487704383685	0.839492610718764	0.1844789029511	0.828134021915054	0.589853809874885	0.943736268394488	0.707541620666943	0.813816505574339	0.636182434889103	0.760481135665377	0.67171763752451	0.315873947951708	0.109136866270946	0.559475199857905	-0.0682056688720692	0.848177473830893	0.371566421131845	0.391510345350872	0.421472176123449	0.274173597992433	0.287294751432797	0.631208687592513	0.394083291984259	0.75721204056144	0.859466720555916	0.132070624234675	0.884383939279683	0.894157641499402	0.786411645448164	0.510413335761054	0.567438947214668	0.71647717993718	-0.101990464098432	-0.169316398177601	0.135790914445041	0.187427375086744	-0.227207976392684	0.741344764725027	0.0590923324041099	-0.308283196063854	-0.322096689436713	-0.133507398343088	-0.297931103504597	0.833356125215721	0.0196037984068463	0.242375874032775	0.809233761523564	-0.448092443286848	0.436237597166673	0.590581023000128	-0.266062949676355	-0.150199619548243	-0.192349002805386
