""	PARD3	EGFR	CD9	TNFRSF1A	SDC4	MYLK	ADCYAP1R1	AQP1	F2R	PODXL	ERBB2	NRCAM	LDLR	CAV1	ITGB8	CACNA1C	AR	SDC1	LRP6	HMMR	THY1	F2RL1	CANX	PVR	GRIN2A	PTPRA	FAS	CD47	KCNJ10	MET	CD44	CXADR	PLXNB1	TSPAN5	CD40	CADM1	KCND1	CD99L2	PLXNB2	NOTCH4	HFE	NECTIN2	INSR	APLP2	SORT1	RIPK1	SMAP1	CCR1	TFRC	LPP	NOTCH2	SDC2	ITGA3	VASN	ADCY8	NOTCH3	ADORA1	EDNRA	CNR1	S1PR3	ACKR3	ADCY9	TNFRSF10B	VLDLR	MTTP	RXRA	IGF1R	GPR37L1	GPR37	TSPAN17	EDNRB	SMAD3	TNFRSF14	BOC	FGFR2	IGDCC4	PILRB	ITGB1	MCFD2	P2RY6	SLC16A1	TNFRSF19	CELSR1	SELL	SIRPA	GPNMB	CNTNAP1	ITGB5	CD81	C1QBP	TNFRSF11B	PLD2	LRP11	AMFR	ADGRE5	STX3	ERAP1	NOTCH1	ABCA1	S1PR1	LRP1	LTBR	TSPAN14	UNC5B	STX4	ITGAV	CD63	C5AR1	CD74	IL6R	TLR4	TRAF2	SORL1	AXL	NRP1	ENG	CD4	CXCR4	SCARB1	BTN3A3	ITGB2	CD163	CD46	IFITM1	BTN3A2	TREM2	PTPRC	STAB1
PARD3	1	0.953647731567762	0.931852176364058	0.955330323399048	0.916455577949005	0.923788214746541	0.550385437606123	0.686148369795149	0.873941332404959	0.804824846606236	0.854584959330291	0.971708935848647	0.896604645405415	0.872364506098437	0.958849431883442	0.90859880245049	0.779114991123063	0.921694036687185	0.924697939240096	0.711408009488133	0.704607881907854	0.875548220683987	0.957307709373108	0.806306669238076	0.669166185789103	0.910371752540387	0.925355717493632	0.719753329243484	0.611461254002679	0.752538312669797	0.962009212298273	0.900174340036547	0.873975096987127	0.930960398338612	0.758618598096236	0.925687360514514	0.76231007222044	0.927100571369279	0.942684772750864	0.754342986954749	0.757035819827874	0.839069476310936	0.802700033961378	0.945879731796192	0.950250208614341	0.958333111883681	0.924504505185093	0.525039968408847	0.735700791628807	0.88167931612612	0.95300527445917	0.915264292954568	0.834946313155244	0.865555854292257	0.791142773852705	0.633158979003372	0.810907890226963	0.674411555171645	0.746049747981337	0.947397987478042	0.603669171542997	0.86755855516862	0.937746936127924	0.755787446917829	0.876489510038865	0.90521709634803	0.754952175327721	0.784424614691648	0.675989956831161	0.844196157360642	0.810585017767364	0.945055658403895	0.789314405805675	0.769021658819022	0.761700506771292	0.944294918708688	0.937769533745102	0.902712057538406	0.923735610978196	0.780455290372101	0.874426083580572	0.889000680833804	0.914429280053968	0.879149421792306	0.787885340285436	0.513659851344632	0.708115928618225	0.710635649388943	0.885415264373278	0.867231749463197	0.581243591800883	0.749394278597956	0.93010326318516	0.930265530351586	0.860919195564905	0.763080033414495	0.911397100541919	0.806500378933886	0.928243976999923	0.687713184476374	0.902249977235034	0.409710248108632	0.904971738768151	0.823945243350502	0.799569471479446	0.948091254175646	0.885543744061816	0.346718824281172	0.471861258605738	0.665961313721249	0.632446933381798	0.845339274658442	0.76902490040492	0.673642259023243	0.894370680020667	0.608389560343602	0.125069774494325	0.598214214340161	0.653913902233548	0.852552413410216	0.0128381453857843	0.0353604384801207	0.91374703447612	0.403231830043923	0.77725409884108	0.0304124388097486	-0.0822126918987998	0.0616807808992419
EGFR	0.953647731567762	1	0.914080138575046	0.928036055824831	0.915891554187846	0.870231427561588	0.498063763775664	0.639735015199197	0.79437761456375	0.732388471712163	0.807703234951	0.942927692912586	0.846614179894109	0.840753230521016	0.927391088930726	0.902439947322043	0.701523097935531	0.879176234496334	0.892958845042216	0.748061624620896	0.75101847893399	0.867590232397409	0.966309729749195	0.842569908585201	0.620580202406595	0.929232644612373	0.913139829348716	0.780267091728736	0.58491915631566	0.7049662134518	0.949049033947241	0.942212684558154	0.873871755761687	0.89934217657618	0.819234795193865	0.881705985940794	0.706025637880586	0.917725839310923	0.905146911847142	0.760749938050295	0.805379252208375	0.829120332691026	0.763961451887308	0.907510045675753	0.928275286928835	0.938688292791792	0.932535094509119	0.480783470660763	0.76335060635174	0.876548377088116	0.914664627578764	0.936617753124559	0.797489085945521	0.884643069543353	0.736575751976604	0.690261934525152	0.820690535727443	0.602591624872491	0.667995445236906	0.960800197306672	0.600431059945931	0.856388855883109	0.900352871471398	0.823214676181717	0.920162721657226	0.862296210146496	0.758297461637776	0.809847373093095	0.60830065231254	0.863471765936825	0.788935471062543	0.88900727807157	0.817445160305591	0.708145727596066	0.740072243351029	0.922842265641833	0.931920598346734	0.868436776195781	0.937139879233881	0.672364755361775	0.902826104735988	0.893245123990971	0.885949403593197	0.891802934107592	0.813148150901887	0.632419183455461	0.664900365183647	0.765764945670338	0.838109554630544	0.889867513915059	0.536005399217719	0.698811243423945	0.946939414739148	0.935693508721116	0.816812757943146	0.832251372533273	0.907857769441345	0.7752263645761	0.897675227546677	0.666697257761884	0.844785899795273	0.496554399204388	0.881371652253595	0.793368352052924	0.813228793605165	0.893878546994941	0.865466531138424	0.330007398975263	0.431127457595913	0.639342513085493	0.607027853400983	0.857128370631919	0.719471137879404	0.627632333058097	0.846208751111085	0.57966611078808	0.0977185966018461	0.603079218684264	0.660494511018659	0.811577877910669	-0.0123280516259133	0.0118058451369814	0.910597845808751	0.478140716044852	0.780996770933525	0.0111068831121624	-0.118121939395285	0.0354411045690268
CD9	0.931852176364058	0.914080138575046	1	0.975693263290378	0.851380428100619	0.911727452590723	0.687664464488819	0.754581914763089	0.88272343808795	0.859396231218056	0.863365415807499	0.92042902494869	0.878563563032736	0.78711730196875	0.926474008833722	0.838004465316743	0.824452397304709	0.81889043826187	0.934699666467524	0.718831447622991	0.654414274552399	0.884537006274953	0.936708838437258	0.743012970774874	0.773601404967921	0.942722549928409	0.963159486814067	0.655245071336405	0.721206488568609	0.581110537498954	0.976441348203712	0.892181452842154	0.904669608653423	0.938819629346146	0.701152532885085	0.905643066745217	0.823518893863209	0.973155569732167	0.874548475092471	0.776306087231869	0.806373757793905	0.717455730683613	0.71324858345305	0.853670476961784	0.956380009135297	0.898569949949728	0.901407351838553	0.449411803288625	0.649729078105648	0.764734248699158	0.865465294674919	0.882473570671742	0.667785321587879	0.933721436134102	0.828688323861053	0.581876156388178	0.909834854977513	0.751798870740864	0.768140714715017	0.955839528729292	0.708983830721941	0.883130568758553	0.85092370120286	0.691118503243934	0.90860528856085	0.889022841978327	0.593100632886794	0.891801935113123	0.775431626253177	0.826440046590797	0.856687855555348	0.903198535740183	0.719650165700578	0.817759019098533	0.814200264844972	0.927058434451374	0.852000133508061	0.782353748793735	0.87806272960842	0.798449793033208	0.789716839407818	0.931673368651235	0.890235612780218	0.858678105654394	0.797366170861392	0.495057442960314	0.806813428503786	0.743709410432034	0.8981122377616	0.888055460036635	0.538407681286862	0.765631262483423	0.925428330959098	0.927076455381003	0.755797129167091	0.696732302492302	0.857022663644334	0.725065390260782	0.851675313380008	0.788367445611768	0.84432238640907	0.332177489894159	0.825013086919772	0.820693641804852	0.703009356849162	0.854423062579951	0.831051793517757	0.286618360844338	0.436727102107193	0.560095579461407	0.510954890859756	0.74987872185	0.777856246352054	0.564954143226723	0.754520738543773	0.533967651697452	0.0418575858695092	0.421140955484988	0.495046356382808	0.844309638062076	-0.0591781934712894	-0.041105563504663	0.843638404205045	0.492797849990328	0.734103484961004	-0.0260475688828161	-0.188628065725641	-0.0221245720486369
TNFRSF1A	0.955330323399048	0.928036055824831	0.975693263290378	1	0.850475185322988	0.943968438546254	0.686396041515848	0.768388692767756	0.912123893667918	0.881929708724055	0.892282929339637	0.944507633804075	0.893931840357295	0.786275120414488	0.953670384786501	0.88920489475078	0.85620413927405	0.848248046618202	0.949814549820027	0.697002733506969	0.610601705611768	0.900314268599361	0.950093967779234	0.778915621576311	0.793560698614938	0.926945448703673	0.96216627081495	0.634263393822536	0.730122436888048	0.614881545240049	0.980038379526188	0.877659288745014	0.912958115917868	0.959933205664551	0.695301626734714	0.948522115252719	0.851349424041661	0.971681193092622	0.931352494715685	0.790883031096735	0.764925127446898	0.752664883527946	0.784424357808189	0.901862673405749	0.979426047292234	0.938942508688627	0.91540952344941	0.56187959058124	0.683006544664265	0.812944013966452	0.922668779997889	0.900140397892367	0.709643391244924	0.912035233165872	0.843805934190197	0.592644145324937	0.885712399679423	0.781479392858668	0.808475508250877	0.949843595286903	0.711427920757511	0.886755228639009	0.895754050418634	0.678140123062528	0.88845011887519	0.939508336874566	0.62338218549925	0.876688276961764	0.793473816470853	0.811720067990208	0.886564902935099	0.92809970511991	0.740064798278454	0.847674545287603	0.833962818329491	0.94061334309335	0.902292826012044	0.829591279436378	0.872147139073434	0.844547366810815	0.800167601969575	0.913991616082824	0.915899840346179	0.876286309695512	0.814084458071983	0.447857926310814	0.816684900387312	0.771419511303972	0.945883819708943	0.862383197107437	0.626004860018036	0.817019000012206	0.918895409679119	0.948237383130537	0.791992694087687	0.695584000344124	0.915346097997668	0.77123743017868	0.916570943785055	0.804926517075292	0.912463664795202	0.364342871448247	0.889689102960092	0.883321477622211	0.729670269189527	0.910613682677607	0.820131975837476	0.38728363130119	0.539505051403978	0.649799938543795	0.618819635142956	0.765435408037048	0.852924507612379	0.670930985581651	0.811031088913168	0.620992620070326	0.16479582868501	0.473135577699219	0.522032200877523	0.867603733557078	0.0634993047660576	0.0794852075521949	0.873892311062551	0.433507667483704	0.745867956999069	0.0885279854714069	-0.091038610264885	0.0947383370998675
SDC4	0.916455577949005	0.915891554187846	0.851380428100619	0.850475185322988	1	0.752404848851028	0.302473470106614	0.471205205286766	0.715793730046551	0.573204133686812	0.706680799855673	0.937825457533227	0.778778861719103	0.956859778617467	0.895297121790897	0.819166906969278	0.538474642579854	0.872939809791978	0.801312622024012	0.744300504374655	0.870135352060819	0.724991329790512	0.941250718348987	0.860721248029005	0.433244597523928	0.894301879133529	0.808195684457434	0.870819707280869	0.398422339382384	0.874419528790474	0.880784009031598	0.943350006879594	0.735695668338905	0.800456024348195	0.888609168883122	0.795794481208891	0.560901695297111	0.855867117584101	0.894337497398297	0.62600953268992	0.840357714484604	0.942048907505126	0.644593973186851	0.94406146680983	0.834844849152815	0.883026866966799	0.922318256623127	0.428327285541916	0.832374102616884	0.921413337091891	0.895871955256897	0.912518565601126	0.914921224217668	0.777546880969001	0.592140498282949	0.78293826509912	0.688977247097672	0.422274207445542	0.486067449863976	0.903841995482746	0.392081025013444	0.750500467699384	0.926208716560478	0.877221121346597	0.843370787001379	0.750608967017357	0.876106849585154	0.65377034969772	0.457302498064578	0.921200569988499	0.586706862573504	0.85780325833555	0.846201703290108	0.549914099787701	0.611365378132094	0.852120114922413	0.872154950040205	0.93652866216795	0.973464159384166	0.657743057179774	0.962937326752843	0.854570534544184	0.76446489149395	0.806197862215125	0.817385480939299	0.694115719309054	0.471660560952569	0.672393396661946	0.77750747420427	0.912375346400295	0.482656312937453	0.551922451507148	0.91666688705682	0.877468077598542	0.896989317756929	0.864624589911902	0.859616080302492	0.781267158827072	0.850528337216345	0.465652818514867	0.81782732338336	0.573682907181924	0.842618610155351	0.692886023615838	0.893633795342165	0.915367231383775	0.962269254217714	0.308935524419571	0.370872952871232	0.680601143079544	0.599761638952743	0.893331599923709	0.590671174661915	0.649675787096169	0.921115127017303	0.61793522480786	0.123407447271985	0.725328975479775	0.831987705374785	0.714219124645131	0.0225820645899093	0.0324791128386073	0.922911527517554	0.523500818794397	0.825371644095514	0.0300928916687729	-0.0692873890405239	0.0430563348141459
MYLK	0.923788214746541	0.870231427561588	0.911727452590723	0.943968438546254	0.752404848851028	1	0.764490492414538	0.848679856032836	0.91542802751956	0.92050341730781	0.91760575650256	0.894678531796445	0.890995743026653	0.697922234250726	0.917780423627369	0.873100606406958	0.921333581104999	0.841520214772908	0.940846765719785	0.537337056003901	0.449436637670497	0.893629930014078	0.858373157686037	0.677532417350989	0.850206681445994	0.825597979808824	0.937867839777562	0.464938311159344	0.764114355287889	0.545790143848125	0.931794684176314	0.758911815515254	0.896157023218704	0.946857658360269	0.547340477524725	0.93395166620902	0.870508758118963	0.914698199539198	0.878988308154156	0.786916995655157	0.609408825750389	0.634505325505972	0.829223365784546	0.834230535712516	0.942746452567501	0.889451136697627	0.804830608423693	0.502684317180789	0.531983204388093	0.746624306343527	0.873640437704528	0.806430475651703	0.651161397586779	0.835203462129201	0.885355209925899	0.445907875645084	0.837038593734057	0.868273100358391	0.886464446875454	0.87233949443492	0.754989601875562	0.864525985571146	0.835752501528993	0.532758377516299	0.798820979180025	0.938229033786919	0.527122229734816	0.853696738482374	0.847044191699363	0.662124987827987	0.912224723314049	0.905335008591536	0.602532012749949	0.890096997918757	0.841774012166512	0.912598165911436	0.866633921577759	0.764430369235201	0.760629033388793	0.787880227675997	0.689037969068008	0.823889035509569	0.918813059928169	0.836651216462652	0.661140822628723	0.255820788196273	0.868537342245865	0.646870550584513	0.887807250286348	0.717055480518698	0.58110084367096	0.81847770608418	0.844195766587692	0.864949751763135	0.707244548305098	0.554227702617302	0.854266952904534	0.657138311994267	0.904747998462556	0.808618498034891	0.891909009636345	0.170049948838671	0.814013552485606	0.870577059401687	0.584486417162457	0.860120730581181	0.699930509487127	0.315477262176882	0.45783217886744	0.538180530773042	0.54155830213905	0.654456241113264	0.849767963695129	0.585104623709135	0.7484016898826	0.509293597386998	0.0690408215513662	0.359466329468898	0.383870613271858	0.846932321048629	-0.0345194367005582	-0.0112780286012244	0.769795703396997	0.237915063932554	0.616642540264493	-0.0103783481036769	-0.152915167523093	0.0195005010343331
ADCYAP1R1	0.550385437606123	0.498063763775664	0.687664464488819	0.686396041515848	0.302473470106614	0.764490492414538	1	0.885202709414004	0.757403556144277	0.868809060387129	0.800008551559333	0.512247503762214	0.58283469233076	0.210938019598261	0.616241460947212	0.568454843668061	0.896310772684311	0.429775897363693	0.722933189408096	0.198113278751643	-0.0272457499183024	0.682682063792298	0.478210300804926	0.277691161395754	0.931783804930634	0.51746130089976	0.718140541086937	-0.042209348590144	0.855386860854416	0.01395825167323	0.639673266581498	0.342088387620088	0.683951519799117	0.707067682236009	0.0803435740183586	0.687520766896812	0.829649375325963	0.691830096974537	0.513239164213866	0.649766158741985	0.297017562550165	0.119510450769568	0.579237368886413	0.394418814026565	0.691720948882287	0.510020948354801	0.392948547055865	0.219584816556473	0.045230373697599	0.260960802867033	0.476053005702061	0.42245785378674	0.116952689882492	0.620260428932607	0.837050674529408	0.0576624159284182	0.729968262289795	0.914444872982375	0.821824128021388	0.553092707502687	0.849220688364737	0.636069677352903	0.408654462873964	0.0424213448110588	0.480144710259688	0.697740179285281	-0.0219518472197346	0.781426912876299	0.895689521614243	0.232208987674302	0.844644096058817	0.613528809642417	0.136273096105359	0.840641837929764	0.700898007860059	0.595231078160642	0.482704401817542	0.27193217140731	0.306694091985031	0.59875252651413	0.204438038338483	0.561530497613226	0.652381946309018	0.488769705175348	0.320020987470527	-0.163257083377526	0.905663366035423	0.372094359536059	0.64439131166909	0.340881471895412	0.354526431687075	0.72834915430567	0.491957326103045	0.521449269263475	0.248444481794935	0.0733377073152346	0.489593630226643	0.279130528659557	0.557509193584204	0.837540318048273	0.603211226759693	-0.26847298563707	0.403864804173161	0.656866720043231	0.0595644445406582	0.442605884102527	0.236191842206449	0.114577290775407	0.258416822872821	0.140908378288959	0.181693400957585	0.190302663939758	0.714536550772211	0.237749145663671	0.255729840806921	0.170956551401704	-0.123292840587389	-0.187850243501693	-0.174711609996682	0.583882312100698	-0.17111676855945	-0.157466095984384	0.324427053340979	0.0022344522615297	0.214338191177934	-0.130800186841178	-0.300142294463279	-0.121142883239776
AQP1	0.686148369795149	0.639735015199197	0.754581914763089	0.768388692767756	0.471205205286766	0.848679856032836	0.885202709414004	1	0.796523577913527	0.867396254500704	0.876152875141637	0.628306703177095	0.681873409804189	0.363688535533698	0.709899070131965	0.636882277362588	0.91505378865788	0.643696574549869	0.821750880884946	0.327320165196094	0.121247869601511	0.757935677138122	0.610402258745072	0.384735381516759	0.895328459067265	0.631209157404677	0.764321103290828	0.118459208523486	0.861808183398111	0.185223535830647	0.715878864734219	0.496169402264585	0.764988231688145	0.797448632638482	0.221761178141725	0.767466690858363	0.851331683784991	0.751648743059456	0.629436548231566	0.746857746901086	0.377442259127248	0.293184316196201	0.679212014550977	0.559012143473248	0.774915045213851	0.615822937751073	0.510796627883795	0.303446314748465	0.187314040265294	0.394566697854176	0.594972828469327	0.515946839237774	0.324988038118089	0.673584490718056	0.797857936461698	0.204529608443633	0.742170502896084	0.890893145493284	0.82854342913715	0.654660661194349	0.890055879402823	0.715736989263851	0.571930892429409	0.20065937188287	0.591525643314174	0.793973561036754	0.127377169100175	0.856398817025002	0.840560039719489	0.348769878712581	0.862741910442016	0.737933371283426	0.244699846736583	0.851649831158431	0.748870828503652	0.696624940092343	0.600383627896258	0.419160423538293	0.465242003945108	0.627536308631154	0.382918112026196	0.605647979954728	0.746381195807073	0.630202418566005	0.383860061581158	-0.0475176817517221	0.848495638590372	0.450040372737079	0.710469098589372	0.463565204066491	0.407993591635941	0.720590807534413	0.621425755607032	0.62569749553744	0.432812548554626	0.208150031482805	0.635126353486035	0.35761235402612	0.664979680293716	0.768708901590846	0.694158223392953	-0.15312811214727	0.530045820276729	0.672711815641481	0.200476601676756	0.570888565869111	0.38562328810374	0.170332797798265	0.27747195523883	0.268065484831599	0.276754722442725	0.342172156000501	0.756154881600021	0.342250660666451	0.410288910790379	0.252837192852618	-0.0871791386600095	-0.0254591509438709	-0.000936579808952402	0.67025823934182	-0.149221205831336	-0.139114603344427	0.443425362227126	0.0531326927666536	0.366542962197233	-0.115072749020817	-0.287227819628998	-0.114201315266981
F2R	0.873941332404959	0.79437761456375	0.88272343808795	0.912123893667918	0.715793730046551	0.91542802751956	0.757403556144277	0.796523577913527	1	0.895363371922265	0.926866000883181	0.867096555948374	0.827361104933883	0.646909283000345	0.916629996431397	0.843023003466796	0.922320002883594	0.762770296644525	0.903899668123471	0.594583930717935	0.371656571548983	0.872722800414097	0.80655630914367	0.611244997749385	0.867780836833678	0.795167412583107	0.873239995356828	0.407630220239152	0.788613710544915	0.509244114522783	0.870414590667262	0.708037035077395	0.828866797398869	0.941820060761375	0.486562929993273	0.945474969490574	0.898506151088805	0.885059592461015	0.875053108682891	0.77934443019867	0.570702214932342	0.614738712059551	0.754220644674884	0.798235778556386	0.935186838848464	0.829331372303748	0.751522949842807	0.434562095951408	0.480347504812857	0.697221128466299	0.85591002536563	0.738237215207963	0.611479755628776	0.803997640082963	0.853773292045764	0.494471793119549	0.822317878910917	0.818080701192922	0.873331794620656	0.824450910934528	0.768994831145003	0.799166530462084	0.798418944481057	0.474315746136095	0.749912376283144	0.884292627547209	0.480059632299826	0.839837080374869	0.846039269756666	0.635632188356153	0.855954844979789	0.912197985245759	0.565892876573651	0.869429144560937	0.852038775615372	0.841548565873537	0.84273956912819	0.720328075008333	0.702525088753395	0.826541681529881	0.644653865066055	0.803626186227341	0.846817739790689	0.751550838715538	0.603687830669838	0.159840821138623	0.810699611620169	0.634558437381007	0.860651274180344	0.663271749205706	0.568629434970508	0.773947445136706	0.788609256335301	0.828442187332899	0.749791696553297	0.461359437446824	0.844076283947258	0.678260239410591	0.864356037722344	0.793833925627842	0.89244832852226	0.087750912814466	0.784647948474157	0.832992359803316	0.536300830192834	0.835874673824972	0.648757645430017	0.316786613370377	0.434097333582375	0.543921681405846	0.513234665476909	0.599347451396697	0.858524423282274	0.581797508386447	0.70887897284526	0.482702106309083	0.0734891585664835	0.344506554964344	0.336723492219264	0.807560945255873	-0.0304385918374507	-0.00452461129104277	0.742892196678275	0.31117831387947	0.664328879763311	-0.00671173479802227	-0.0844822468062492	0.0251777341346759
PODXL	0.804824846606236	0.732388471712163	0.859396231218056	0.881929708724055	0.573204133686812	0.92050341730781	0.868809060387129	0.867396254500704	0.895363371922265	1	0.877222287394086	0.767167249985821	0.794925557974561	0.504846115578872	0.817115378782046	0.764708829071881	0.953172473440694	0.701774127999207	0.890316970103257	0.42959347377401	0.266765456327729	0.835924594078834	0.727335024291701	0.494809230322503	0.91321692626267	0.741873166696583	0.886966431660265	0.27958120449991	0.870552964812084	0.323745119566941	0.846810282883979	0.619335605609962	0.874995528111821	0.889773899265794	0.348327459851446	0.884523421802939	0.907802358108125	0.843073800498988	0.773690549683408	0.748281113977817	0.469322556339357	0.430656392669951	0.764790640688407	0.673025865502703	0.889140301573285	0.789362890417413	0.678528027097411	0.449201336136811	0.356375031274162	0.558499831147758	0.755422462211557	0.660301128648434	0.450475945376922	0.826296594441241	0.889347194136685	0.305792161042825	0.850242148611173	0.925489995873758	0.920640750560036	0.795076797322221	0.791802026790449	0.818289198690881	0.695679110815378	0.347155693488808	0.705613743426482	0.896529339531368	0.318331610678312	0.856162844198344	0.88220736281404	0.53212809550619	0.92927635031787	0.820588579959004	0.44524874835958	0.974384301969625	0.838337248211819	0.853301439542577	0.737688364416841	0.582020524480127	0.595810815613154	0.803401599724385	0.499863432787164	0.788249872214661	0.837237372784058	0.733524641396762	0.552669283107908	0.0887874363554471	0.9284226320866	0.588732179510522	0.818027997048119	0.598274197990611	0.524301834426408	0.809124458043942	0.730642253370201	0.775000631978239	0.557528212182375	0.367458236091273	0.723964728926228	0.585975607438028	0.780623140808667	0.834033174355323	0.779377870584178	-0.0201935054423404	0.699125932820053	0.797276888080625	0.392307023613133	0.719459112968646	0.536770950078841	0.254657105856121	0.424985800535545	0.402573286973409	0.415248748550478	0.476570424919237	0.825422845607202	0.449309015602214	0.57515808347193	0.38428278850198	0.00493181341212714	0.132756563538635	0.152858071253456	0.840042013383075	-0.0894445651291056	-0.0617458363718574	0.628217840154518	0.205512815454998	0.484830927340987	-0.0600469857940312	-0.217917677543203	-0.0355850945081243
