""	CD74	TLR2	TLR1	SORL1	ENG	ITGB1	TLR4	SIRPA	APLP2	CD163	PLAUR	THBD	HAVCR2	SDC2	ITGAV	ADRB2	ADCY7	KCNQ1	ACTR2	PLXNB2	LAMP1	PLXDC2	STAB1	VSIR	TSPAN15	KCNQ3	TREM1	NRP1	C5AR1	CXCR4	SIGLEC10	FPR1	TREM2	CMKLR1	GPNMB	TLR7	NRP2	ITGAM	LRP10	MERTK	ADORA3	STX4	LRP1	CSF2RA	CSF3R	CD63	ITGA6	AXL	CD93	CD33	CCRL2	PDE1B	TNFRSF21	TNFRSF14	NCSTN	ITGA5	RHBDF2	CD46	PLXNA1	ST14	NCL	PTPRC	RXRA	SELL	PILRA	RPSA	CD81	LILRB2	PECAM1	TSPAN14	P2RY12	LILRB3	ABCA1	ITGB5	IGF2R	CD44	ASGR1	IL6R	SDC3	ITGA4	UNC5B	FPR3	PLD2	HFE	BMPR2	AMFR	FAS	CD40	PLXNA3	NOTCH2	ERAP1	SCARB1	LILRB1	EPHB6	STX3	MILR1	CD226	ACVR1B	P2RY6	LRP8	DIP2A	TLR6	CD47	PLD1	JMJD6	TRADD	CADM1	NECTIN2	IL17RC	CD69	EPHB2	PTPRA	FGFR1	MCFD2	SORT1	NOTCH1	APP	TNFRSF1B	ATP5F1B	SMAP1	SLC16A1	PTGER4	RYR1	RACK1	TSPAN17	TFRC	DAG1	LILRA4	CLEC2D	CD99L2	TNFRSF1A	PTPRZ1	CCR5	CANX	DDR1	EDNRB	ITGAL	PILRB	CD68	C5AR2	C3AR1	ITGAX	CD4	CCR1	ITGB2	TNFRSF12A	LPP	C1QBP	RIPK1
CD74	1	0.620741358524972	0.565350810427071	0.53727330572967	0.571726779795897	0.608312186936882	0.782478424449423	0.656850554592041	0.799776461606468	0.694113486166894	0.678313509318339	0.460975394962839	0.548285741968174	0.634976144593934	0.456841325608712	0.51416357974912	0.762539360951999	0.548257101228515	0.828172833825659	0.591222621297688	0.768928255016661	0.764634088218826	0.720233449193706	0.0900549009090671	0.420790342411974	0.469364323484797	0.447206609029284	0.662028769660399	0.814294615929641	0.490254247407413	0.453372121359006	0.479492776870613	0.54371774885651	0.769089349463497	0.572127133299422	0.853477168946714	0.676209125499378	0.554296807218823	0.781453795582633	0.848376806229032	0.702273810916792	0.762699103194596	0.780267104454215	0.523855795811879	0.71636911664341	0.640386856916216	0.617305685995605	0.755342978122592	0.259266195663613	0.689833603778298	0.584861156496082	0.562485292804518	0.800708914341833	0.648427574138098	0.826295397367982	0.668055675134199	0.468363291414692	0.809468453208456	0.656028780419892	0.796083890122718	0.723690138414113	0.729254846464501	0.804051368653034	0.261277036283804	0.656925840230725	0.755499093188854	0.716249646810144	0.549207840450202	0.655342222318772	0.832525292912315	0.161813298757688	0.450469504068159	0.80235338439505	0.788037717078414	0.766684661755697	0.57325380672044	0.413290865642514	0.651134014943945	0.743695464948377	0.417061275846674	0.293540384898312	0.672079770141289	0.644246503376698	0.692916080860417	0.757466269205158	0.739848707367188	0.38402978754439	0.495343365640135	0.564957730899221	0.765237514757191	0.682078901624177	0.785674087948334	0.60258406213374	0.645509068920339	0.721111675480636	0.804606879776956	0.37145186649758	0.720134183394641	0.382101294704855	0.405423651098463	0.60072304963399	0.637104405674027	0.748473580564017	0.748322458256272	0.29822440134267	0.673900004797875	0.743387619625185	0.642786445943248	0.634996399859018	0.302400434774542	0.740464596651149	0.668430576409494	0.517659435112415	0.734251692939526	0.57314063227665	0.520835136179102	0.683197656913576	0.617631144817165	0.771959451449942	0.836297617072648	0.54310211888038	0.885502019680284	0.272393120057904	0.751718052265136	0.472261959828252	0.670447880357356	0.517825322624568	0.448160686006322	0.585428417387992	0.666425646124552	0.723829606140603	0.280276080669546	0.45091221347813	0.819458661210307	0.309962349673988	0.637732475069684	0.384072968615744	0.547702674177294	0.684043471518082	0.26375047328122	0.597990799595598	0.518919720702269	0.755293145353208	0.594225606699288	0.692513870847732	0.446631878254098	0.741789043413539	0.704956105924621	0.757569175259613
TLR2	0.620741358524972	1	0.88110521311096	0.824354361197149	0.844100349345223	0.655161706320871	0.310244677648722	0.54802283389958	0.565461774692582	0.872943314991742	0.444530347002954	0.693868756992376	0.75783502986568	0.455720283918254	0.86882819015345	0.773884640321126	0.764344063962716	0.869156632104975	0.75046846626636	0.851809979328425	0.371231741388583	0.769330887363675	0.877826115842387	0.612486075261259	0.719082314825093	0.832800378191902	0.667590894629246	0.813668672134135	0.643307893039397	-0.0885497267656892	0.909732641279718	0.921709142991807	0.599618469213089	0.526706041258606	-0.129016567346386	0.757704787392894	0.58991330048732	0.807975877318292	0.666114156462416	0.756254563248564	0.478930388472293	0.726401057632323	0.57318019165909	0.568232293896028	0.715242595911788	0.359325249913862	0.759923932567167	0.328513018309468	0.638678610006178	0.716836281436669	0.338065023932551	0.756398618249273	0.221372021775178	0.0094355181250836	0.571741910037084	0.60394077261175	0.862498553214114	0.382768634718312	0.490850244756841	0.296984711951293	0.821705513504623	0.941658605873339	0.663269192260381	0.302292357516925	0.56345032645038	0.686424203078783	0.585308062725952	-0.00504000200257034	-0.103814715859046	0.733867149983894	0.80512272123861	-0.249204978793213	0.424370697453264	0.453257735494672	0.304947425285481	-0.161539768630268	-0.392285356523185	0.564284703435325	0.292890701344233	-0.310958049895087	0.658032740356072	0.128121401511163	0.873841227475046	0.552495417298455	0.826859727476277	0.212686321483981	0.669387779147816	0.657036127783039	0.570500137593392	0.188054114730444	0.733306521979768	0.466447568627134	0.886877164945031	0.621021000864919	0.172159469509954	0.46439811418557	0.878615212527032	0.398987315133773	0.719992320379951	0.783896131739313	0.848466592101192	0.79564812586788	0.44450483413332	0.70130831396561	0.78411676419397	0.430191301122495	0.396460046719165	0.893672801085762	0.705155866110642	0.789117699322816	0.669838491836231	0.677512953286286	0.865298200137518	0.628686495868768	0.78831769484945	0.527624487968731	0.641951834469247	0.907677720120782	0.58655005276204	0.517619283054767	0.730686720592017	0.667244621804007	0.805242064464085	0.636547385113665	0.465391635653813	0.878015638267211	0.499409351756992	-0.0900246303548874	0.577924242268186	0.645004706131943	0.836562379146375	0.458003402584377	0.532409270066609	0.681430235419343	0.578333154977366	0.732248729044797	0.669009585351471	0.819022263809594	0.166279241212739	0.460252127998046	0.668811212454023	0.467151379917711	0.872288933765572	0.718006039834886	0.699951724331711	0.751682601627149	0.684229236538022	0.652981573485189	0.794721296426061
TLR1	0.565350810427071	0.88110521311096	1	0.865393678174729	0.855357351418352	0.72343291347335	0.361399348634869	0.641281296498587	0.584585180351622	0.864188363053477	0.509472023061056	0.591144350102451	0.794503743215969	0.450721479044091	0.861588434626727	0.778533665950776	0.735400383201665	0.891419035785675	0.765718202253427	0.834296946630934	0.372658613941121	0.815367319377294	0.827924974243449	0.552335405789322	0.739256731129548	0.887045355392993	0.724575703436896	0.808607083949717	0.662464870765794	-0.0190352428760372	0.843912268355603	0.898467191886684	0.681256183592413	0.483545637014154	-0.100921182811638	0.747532105564058	0.618215661552044	0.877629347219527	0.677496895518745	0.704139198384238	0.534745201691852	0.712698769154049	0.611416558672035	0.637181171514007	0.74500045855545	0.417114141590134	0.802089532761267	0.351889445591712	0.603154489241116	0.708453959629727	0.432866169015092	0.789178166391748	0.200882651069401	0.0660414999673941	0.57740754358377	0.665508943644774	0.907682164088965	0.349592818174316	0.458364344028135	0.318743444070312	0.829299128336202	0.910018919097084	0.700904263712124	0.231562156485127	0.639001703585128	0.709421551321806	0.622471428239512	0.0135291853178585	-0.0986383616275824	0.718550713495726	0.763158609420329	-0.151426692506629	0.416568405638425	0.42471578872405	0.365794898076509	-0.132801661515145	-0.373828836266329	0.647428833133687	0.213764483702692	-0.274913197307545	0.67641175138585	0.177635140013306	0.856638383427651	0.628038712458128	0.835629351399812	0.168923588369187	0.683515863317713	0.716674065522639	0.554307817440162	0.149265234645112	0.65669314309758	0.456757635440653	0.844653394501945	0.536528201718126	0.171569641921541	0.514127734998452	0.875169763935102	0.377407227258654	0.759289019223184	0.815703663097195	0.837911094101471	0.843434733778494	0.448863249120228	0.674271730369299	0.742995512713906	0.403582554060307	0.428627377565957	0.850256012917236	0.680756227199726	0.739416062143154	0.637123157587133	0.668162235255116	0.816795679478721	0.66375006949411	0.820940081973435	0.40280288789057	0.589473699690774	0.864247089574516	0.631942955142775	0.530471480608758	0.724631907415022	0.617889022678873	0.761043665825058	0.647461398035064	0.412029252337365	0.785944068746738	0.485005440461676	-0.0519744823167647	0.531272067799175	0.700718683963185	0.837745776117179	0.324785803165826	0.432657272398658	0.721399103853953	0.435282161384985	0.706457005936501	0.758035499214701	0.853273249589995	0.228105613623106	0.495166936531361	0.735983913595457	0.570625148412475	0.852685930624466	0.758362707326574	0.759838860093131	0.713988990777654	0.699223621656315	0.683054969024873	0.818806811345681
SORL1	0.53727330572967	0.824354361197149	0.865393678174729	1	0.92296538141331	0.914807872017692	0.532193128644149	0.846458677277459	0.758061131916595	0.915379265346728	0.722401587259559	0.32674927109829	0.943571729494076	0.622841268824537	0.970334954239226	0.903413490148118	0.786141355187102	0.93233384700817	0.85912518918596	0.899553947308701	0.562008170087262	0.923831374820446	0.872451633553584	0.379020196982935	0.913995734960589	0.942615497190361	0.840006130726874	0.910197108980226	0.741110422633871	0.0292169577160084	0.847565526278849	0.900727824458982	0.88900020754348	0.670130973026114	0.07057854991215	0.792534465312806	0.839007417768619	0.956130095976519	0.823340070943931	0.766630938411396	0.741611334434193	0.826743021609624	0.790230615569362	0.846142593189827	0.806441728247042	0.66687667634595	0.943690171101225	0.570184005481258	0.369085314243692	0.867813322858735	0.690599167031315	0.873260381989631	0.31414516123408	0.238397432289424	0.701221646701817	0.706739052017232	0.942011592833469	0.50975235254463	0.683959266360455	0.482040777374202	0.909349882995018	0.894356389650012	0.791468648290069	0.0547635786931709	0.804009598394858	0.854286097237012	0.822495969450523	-0.0544645286056504	-0.0345587230162488	0.850102416362963	0.721607806417628	-0.111159475519267	0.566992378295754	0.554565903337315	0.51308883849975	-0.122474595025051	-0.390723376703217	0.835302299526226	0.338199046097872	-0.38405676810387	0.881555924892419	0.357203086935338	0.867979447559127	0.735752382207653	0.904084937894584	0.306710661551818	0.746688265777539	0.884834974153218	0.757135627363043	0.235265302787582	0.736608926785131	0.662807707040285	0.901264693693971	0.658783201069078	0.330028049202074	0.606403918467585	0.76594570019302	0.422030703328111	0.83302414285878	0.893911987111991	0.884016551488233	0.812446012756407	0.661763310328508	0.765924763449959	0.810617222223353	0.615571712661861	0.593178544498653	0.837022117545523	0.773613329518181	0.812416847735031	0.677782049054124	0.847502309049408	0.817586965385011	0.849513571355412	0.963003737329398	0.480111383863693	0.606082850015237	0.74398469092958	0.791465461432372	0.692341471244835	0.89820296418087	0.664856720173203	0.703596096474087	0.815319957802573	0.531840990875724	0.803400290587518	0.655856093145928	0.200571109547091	0.608420150053677	0.836472111958058	0.922809485303872	0.325614923309876	0.433731105140418	0.822911872486208	0.465060175617597	0.712252302701536	0.911764674382088	0.843676757920949	0.439595655942684	0.530346224391814	0.907971999346497	0.809874628898976	0.919610652859658	0.877160215808404	0.90531252027193	0.853398797106406	0.837227451802466	0.849454666744228	0.86171014376098
ENG	0.571726779795897	0.844100349345223	0.855357351418352	0.92296538141331	1	0.868974988701758	0.471617662269965	0.79217670321177	0.744529563777481	0.961402132138229	0.711039708415588	0.539365089056102	0.901741998836632	0.604306561205905	0.918722992473737	0.827447453230019	0.825098311972992	0.928990463617307	0.867002730031332	0.911499307215109	0.557525522393127	0.889734824802777	0.948535334701926	0.439813858448261	0.895754067549732	0.923828541262029	0.873565396813453	0.944046439237948	0.73176241558854	-0.0870008006000879	0.82727807620819	0.936240342432146	0.842502237867184	0.667921945410301	0.0666672462487151	0.774023693989449	0.78064486414001	0.922716656109004	0.796255416635258	0.761651307963234	0.717739472428355	0.807119844886506	0.74447048849763	0.685698748692728	0.739785801590616	0.635588962018845	0.885312250450617	0.512369605321951	0.4809978160264	0.847520943494214	0.571196730012964	0.851878858592569	0.324395792195253	0.214420797937171	0.709587482271032	0.778735021219836	0.904677715084878	0.498237989337082	0.577288875866103	0.491645736175298	0.869913689207996	0.907451124361977	0.784337512052107	0.181244584118616	0.761110776675578	0.8477297586937	0.804633281721531	-0.0673954545792113	-0.0202372792907732	0.80469998237478	0.735429071816126	-0.122266387388381	0.547095083927347	0.578524194892874	0.486498307877168	-0.12192340842717	-0.346111330995524	0.746137195747825	0.308127601593671	-0.347131188059553	0.828425764214254	0.319669254809843	0.888150904670025	0.755758727430579	0.907025341485667	0.345119622483367	0.61068860797162	0.842673599262286	0.723352277373603	0.231035763465038	0.76461830216045	0.626572280041715	0.911837994024411	0.705360509614454	0.267318470540034	0.596833953611911	0.762425911190942	0.417897126439651	0.855523984019516	0.869364781757435	0.854715281724273	0.802215882703378	0.647369974354675	0.770454409972994	0.786387318594593	0.638035586582459	0.54886255440064	0.907856391273265	0.770057819377225	0.842865402225098	0.612306462566752	0.748842367527851	0.844032928260067	0.806382419295817	0.904603269655019	0.424168677326474	0.571814821579564	0.835045709346237	0.783734941514172	0.676555619588549	0.874584110349324	0.66215316589548	0.695772453169038	0.802549048740106	0.499381057360666	0.775846790207483	0.577357015617259	0.141253332783167	0.594011068048807	0.80035388808162	0.919493892892173	0.269265393288012	0.484757426968993	0.815012433738811	0.401493473991884	0.697348017064885	0.834970239826255	0.801254115695474	0.425728608892343	0.544996046807931	0.855443606648893	0.716907313617892	0.930815955556898	0.833026566717023	0.914292069974486	0.842533926988809	0.774557134009404	0.828708271919697	0.837287280206965
ITGB1	0.608312186936882	0.655161706320871	0.72343291347335	0.914807872017692	0.868974988701758	1	0.728389372431053	0.963987726658567	0.884930822640811	0.880487510714614	0.911198076815752	0.188872273740919	0.926646435293334	0.737279279940843	0.854886191475933	0.845222523903588	0.807338121901791	0.847325061810968	0.910121255575864	0.815322061338959	0.726601566485285	0.958345079262731	0.829521499216752	0.0958706285991433	0.887045678434899	0.856657960309065	0.861957563323651	0.877830266040527	0.826683836532874	0.227716491236276	0.651040700575022	0.751290464901169	0.973377279297259	0.786669536702391	0.356621986928456	0.798873373247697	0.92512862102393	0.890740045489292	0.866062368096465	0.769342690364971	0.891676932785151	0.880979580204706	0.91050804883823	0.873044962951025	0.793364179672552	0.871037019126474	0.921736291093142	0.775644428561203	0.158906896178335	0.905445598200644	0.835317049345091	0.803742048753129	0.518393972777969	0.517504664588486	0.811706664634354	0.756840201894858	0.803615926403946	0.682584794096744	0.775103054488361	0.703488021343403	0.890647103949105	0.797756865118211	0.855529166750035	-0.0757388160228956	0.918985050955747	0.930415804711326	0.946737832172695	0.0801583754820937	0.221704814162499	0.900339402523315	0.450127495362432	0.145571376385253	0.702924382838012	0.656640014475721	0.704483617930588	0.11965787840046	-0.132213753640612	0.926991980596016	0.458136428700081	-0.166123752534171	0.824993168440548	0.610187486821591	0.79322163343682	0.826343465945396	0.872655738923351	0.486211439514904	0.563173624382396	0.921038046340965	0.835845807824378	0.394148322337052	0.717413415855484	0.814344517917054	0.823576479078174	0.709117359936225	0.509037194831288	0.770912157585049	0.52023127625228	0.47240007777976	0.778564405747881	0.79170951903541	0.780249243981277	0.703728371049949	0.841124812185437	0.815151117815522	0.667841871053449	0.782210236204154	0.78943942273593	0.749653219785187	0.765351338968883	0.680042206305225	0.714533548994232	0.881760094338382	0.687764842711086	0.943878869584692	0.928609787274536	0.452550728608924	0.580444738330248	0.593210401737509	0.920034678248149	0.848654902272591	0.89970735271597	0.720090237315336	0.481016368287174	0.913010205073334	0.513137338881034	0.706228863658056	0.702224345229156	0.471229891618697	0.611591653577975	0.920217834278292	0.891416338961795	0.227899608042018	0.398803642898866	0.897178830000383	0.337789648330589	0.642606403812353	0.898790709126153	0.699251708291168	0.700341495542133	0.40055764131863	0.956492239505046	0.951238913798128	0.879079538434907	0.846303067667263	0.965438792638794	0.793514945307235	0.885857110536215	0.939017530326444	0.864066273578687
TLR4	0.782478424449423	0.310244677648722	0.361399348634869	0.532193128644149	0.471617662269965	0.728389372431053	1	0.817663850920402	0.905120079713569	0.585883440019746	0.872172390460725	0.0197544622041346	0.580145051426479	0.737746037187417	0.392770243449222	0.503337133112818	0.656442099997565	0.422471267526774	0.780894064295647	0.497696528121775	0.909170598117543	0.760353198976002	0.565859285831266	-0.2879187718748	0.456156566438269	0.385147293062517	0.490948610198861	0.622625265611235	0.79664713752869	0.586459315425205	0.200968556990297	0.267598456254112	0.692319349664576	0.834902547021167	0.816976970349298	0.743441730492093	0.813835983011788	0.517862031576238	0.806588328432104	0.752829400360325	0.866419711992532	0.728090907486557	0.898721003462637	0.633405209492834	0.676436343685808	0.874195081215395	0.643140119511605	0.935167001663163	-0.121806291654751	0.691105176675972	0.832413997379901	0.548781101241723	0.878179219946396	0.883067140220532	0.847841833966588	0.626706894459126	0.361358658159158	0.902093476634207	0.761064560499649	0.945640510365225	0.658168815079428	0.511675659173561	0.802427600213584	-0.0760379959847459	0.754101355670868	0.769450697135109	0.82927321293045	0.503473399920959	0.758462963939646	0.826274586715476	-0.102534538019448	0.646744328008283	0.897326877297345	0.829690279009996	0.935176494199816	0.656473919814504	0.503561355380909	0.812122757006755	0.781074661100621	0.389823203151427	0.3605317093846	0.905430257652849	0.464634412642837	0.751729811125874	0.652341716256599	0.799733087207823	0.302595996821846	0.589924624643589	0.635107438286102	0.802830459816618	0.605448368427276	0.899951762267427	0.445713932819971	0.566415691685417	0.862472904815881	0.831797936283446	0.0774533447511116	0.641429120756635	0.335391226638458	0.370615053583544	0.450410378407787	0.500318680191813	0.869854478123271	0.685290130422261	0.168734017794525	0.779187582969388	0.866166232466205	0.416041773733709	0.592952983192806	0.161035350273746	0.619693265622726	0.694193866324722	0.307408778409086	0.821004253371807	0.586250238932524	0.368228948158058	0.522989903551513	0.272271942601704	0.854751448876104	0.913278005365017	0.548996264097115	0.738667295840702	0.0261217555939905	0.799053129269487	0.441612483617611	0.457706366120551	0.562884015652005	0.773942948310631	0.484333010274254	0.728861214026995	0.632769267571833	0.0616415155641736	0.246999248587683	0.828283269167764	0.0778978324920557	0.475696381808477	0.445131649864865	0.423537888087408	0.928328258123539	0.19402519943911	0.687312453561816	0.760424177390489	0.62475509307595	0.587114813542461	0.753283011884662	0.396703036687718	0.762490757628523	0.766710590289012	0.689529701188945
SIRPA	0.656850554592041	0.54802283389958	0.641281296498587	0.846458677277459	0.79217670321177	0.963987726658567	0.817663850920402	1	0.932312800086659	0.820674310929112	0.940212381521605	0.108061307584862	0.874175308757536	0.785352700351988	0.751634760387393	0.75982893187037	0.768735284899409	0.745958522363373	0.915620757739509	0.748813735867583	0.828402978346859	0.939944727508554	0.774987115352783	-0.0409718830987609	0.80500268148552	0.750008071148838	0.790206806839501	0.844033048075104	0.850515341286219	0.310631463863843	0.531517923929764	0.632655778465353	0.938264810117339	0.846610865761044	0.52760357519673	0.802452451517715	0.952185157718981	0.821244432062237	0.898170827541507	0.777276979362707	0.929988822835501	0.856182694510978	0.952541597798952	0.850475782961596	0.786903586678689	0.921695833876571	0.886509852719418	0.852467158440885	0.0390190393072872	0.878955539108548	0.905176173466092	0.76530464438523	0.638055721240862	0.656509022427427	0.852605250428395	0.773904759388131	0.706309865132079	0.762848638052099	0.82301957052456	0.803351639895427	0.859159052599113	0.726348533350129	0.864434718023029	-0.0717019556829773	0.921795834873085	0.914624639598909	0.958555057090789	0.178727041790858	0.386853965000271	0.91393784050665	0.320460218528178	0.310322246077156	0.800020479486911	0.734769460813031	0.81075319730011	0.276761103116888	0.0451989647888874	0.945700164886132	0.580892390979926	-0.029096424061517	0.73665913961127	0.738312452940514	0.708859820606789	0.838927932835013	0.833970988291168	0.600300804307822	0.524672163157456	0.853656501601863	0.801065368511476	0.525097568413531	0.70225135015762	0.878212430901245	0.723049953598914	0.678472633358774	0.645775130971131	0.800019239948147	0.409469769260916	0.587319798654066	0.675618523508903	0.69818399533561	0.713635144375748	0.674730868465623	0.892611126856802	0.814322225017879	0.530117273536565	0.817020751753362	0.833770918181035	0.664468908754335	0.740083607207113	0.555355556221963	0.671195818976105	0.858978070243892	0.58203644675647	0.953123958241303	0.875232862763461	0.459192485178166	0.577246160372723	0.49587572170007	0.938697915623088	0.897183855665221	0.823356616256029	0.751292114273437	0.335020074192431	0.912783467688092	0.556038794918529	0.633745409451207	0.695101754443591	0.5969669949693	0.622964580562941	0.910852714934442	0.848482315004459	0.174338244891238	0.342930568141356	0.920179661035369	0.262916900868505	0.628357471265329	0.820955788486957	0.624235221550437	0.813184397792866	0.400307550835319	0.93229649371585	0.94835532091818	0.839092772721163	0.825058060409486	0.948863090203219	0.721355058327424	0.89514185570155	0.924873711136394	0.838664423169798
APLP2	0.799776461606468	0.565461774692582	0.584585180351622	0.758061131916595	0.744529563777481	0.884930822640811	0.905120079713569	0.932312800086659	1	0.829221266659199	0.936968099316807	0.219553282932853	0.805579457153199	0.850393802772535	0.664527265805732	0.673219418893695	0.813727689309942	0.660436774026586	0.932128204982962	0.724655180560777	0.941886292148682	0.914282372039668	0.802983583091048	-0.0825600164794576	0.684686665582478	0.64357181814551	0.690538231900284	0.847295070433957	0.894044377529838	0.342474567421975	0.481647143829867	0.568115687181389	0.830659132492428	0.927044857971377	0.675172601027029	0.866934160458195	0.945117218760476	0.73512010222852	0.929690292301369	0.886339197234057	0.92497549720774	0.880997597149911	0.984615155184284	0.717727061421488	0.824433019995162	0.918696038566385	0.834920593798912	0.894464255423283	0.0652587892481448	0.85122035370405	0.848721292676012	0.747027157199002	0.800756434931829	0.759640705365181	0.929012952235863	0.803140571741928	0.613470341208221	0.898491813812286	0.846550022802294	0.902150367857126	0.849286305467539	0.745826168942913	0.886218949944268	0.0281381124106608	0.854205711088548	0.902090440433236	0.938867985963637	0.290882189201699	0.575242968080187	0.942921196455813	0.224872702792853	0.445742436371839	0.929330758205079	0.869201064851275	0.910988485638169	0.452574936784411	0.2395491976754	0.893687288926507	0.766733749082607	0.124473018478323	0.584299465967704	0.822058680970055	0.692857438199611	0.836489834495408	0.834501911279402	0.77346595829866	0.4737819582063	0.758655681153249	0.781382565815852	0.733831916893326	0.783918143001048	0.955847338287462	0.682586985163223	0.709136769972333	0.799091388229029	0.827099679357013	0.379784093285622	0.723942782177512	0.565846554137538	0.618908891992225	0.701343788228444	0.696544175334421	0.9144830340317	0.849390899096012	0.430383983446667	0.836481338414383	0.858681097604559	0.671182547651504	0.779818233353522	0.455408226140543	0.696586756894849	0.830358603333524	0.569796350726564	0.937930377067253	0.810719558839649	0.52553733525949	0.672737067463386	0.5255289478739	0.94504374149343	0.952423819848311	0.759007992841162	0.846661212121911	0.292256070027335	0.914021352906748	0.599920587006694	0.678071134982822	0.693129910185816	0.669609118283156	0.670273278489831	0.872125242990123	0.833360785374431	0.232474497906213	0.392239942462784	0.95159121210309	0.283012053281629	0.674114885835861	0.654917431564299	0.630163376825563	0.875349432882007	0.33667017287965	0.847825498370822	0.849689112639825	0.83953151581616	0.776897143294878	0.919247423996327	0.648187811208987	0.907564238474277	0.896559197314159	0.848800982663896
CD163	0.694113486166894	0.872943314991742	0.864188363053477	0.915379265346728	0.961402132138229	0.880487510714614	0.585883440019746	0.820674310929112	0.829221266659199	1	0.755666628162351	0.566257066673631	0.903867337449494	0.71842089176728	0.902808258946828	0.808806835026987	0.88504673425625	0.911317152631908	0.920755668202642	0.901290999132932	0.666729881732655	0.935975856166003	0.97153345056612	0.352575399706509	0.843581049552372	0.90011961110649	0.819235782043809	0.959878643225837	0.82894408107956	0.00602266276276538	0.803842708548187	0.903873684420843	0.825402961237494	0.759258873068298	0.195234604734975	0.864881602479354	0.836332725810704	0.90951298860847	0.85045263697753	0.87708828094083	0.749553080643177	0.888837043742102	0.827275395287277	0.684340610292983	0.820974447367759	0.684853533052881	0.901565841606771	0.585372427655217	0.472511497299841	0.856855365184361	0.616432317286443	0.870220680498774	0.461057340821229	0.33344719695885	0.794732346995249	0.813422706885937	0.873542167757204	0.616353151709083	0.666919612539476	0.586637955937138	0.92051848829774	0.954416593420384	0.835123775506565	0.168245962129106	0.785288121265928	0.875091251472868	0.836327890757297	0.0425772939518762	0.131675520178663	0.88700831484851	0.661306629842582	0.0166793586919732	0.678212319433547	0.677414902188356	0.603075638680458	0.0259810846475548	-0.212189685833962	0.780593321249375	0.461627321245018	-0.229382353139039	0.745626301676529	0.435572927169506	0.913804867987665	0.774824589698467	0.929539990553092	0.466705873430252	0.639881716642936	0.822994530225637	0.760418732384554	0.389216305549595	0.820566153145158	0.727247646091145	0.901035020955091	0.730313261858154	0.423946374511016	0.679949705624575	0.76769834194408	0.523797508264694	0.7973718765872	0.84098808665483	0.91003261076564	0.835718669445921	0.700000517560272	0.850109671076304	0.734577654112009	0.666595083983382	0.632800556245103	0.921616826708125	0.814374470396375	0.782942685536328	0.70104966872949	0.800312814257288	0.850823075604035	0.852836254349403	0.912398431453536	0.524420046424286	0.681655560142115	0.842679023641539	0.826579409005568	0.762514691081966	0.858637598663752	0.778695321272243	0.691214068045418	0.838387038521729	0.55612194220424	0.850706762827226	0.64846412414357	0.242446304815069	0.667934386488745	0.844025385021323	0.930505083321225	0.351309976209804	0.544988423590202	0.885546959983012	0.463424522095645	0.766290614080256	0.793228624777436	0.839239636290802	0.510783229282974	0.514508345315055	0.86739996866585	0.738817209263926	0.963631390943777	0.836994722196605	0.925935476814548	0.824712243033776	0.857072146201931	0.853697001179122	0.89816000028623
