""	CD69	F2R	C1QBP	CD47	PTPRC	RIPK1	CD44	CD46	CXCR4	ITGAV	CD7	LPP	ITGB1	TFRC	SIGIRR	ABCA1	NRCAM	IGF2R	CANX	CD63	JMJD6	CD74	FGFR1	CAV1	CD82	TNFRSF12A	NCSTN	CD81	RACK1	SMAP1	ATP5F1B	RPSA	PTPRA	ERAP1	NCL	GPC1	APLP2	PTPRZ1	LAMP1
CD69	1	0.567047752899737	0.486242220894756	0.643867698636036	0.872415235004992	0.265113417301574	0.645364179759261	0.480619426631298	0.894603248040507	0.616198061420003	0.519711468347743	0.573770966039772	0.710622541670027	0.5150486135972	0.742259736041336	0.564230420754267	0.606598699003565	0.554380009480139	0.380804639567147	0.640185171409891	0.305642266174715	0.685969115240066	0.427409041275923	0.317499370152956	0.706821155819823	0.356909737470764	0.414377285681216	0.638451718622171	0.429111141305157	0.41233986889083	0.561437260372833	0.473505491797024	0.631339293203071	0.39293261657116	0.648869245350897	0.563636528690667	0.546602042762738	0.636128498036729	0.691178553675777
F2R	0.567047752899737	1	0.711088497445844	0.832128490721101	0.454508140066579	0.555130636728912	0.551832850090872	0.730561736439447	0.64991615293439	0.778206759165311	0.291658646613705	0.744215023708189	0.861491602263024	0.86808584434604	0.553331447801897	0.727898627200063	0.850836343703773	0.79193731878689	0.836892392354626	0.677176456591622	0.73065075926703	0.350335632940393	0.804015376653853	0.41358625593676	0.821199048061145	0.364714222913298	0.727017094922284	0.631228676095025	0.717140210722677	0.775583536221163	0.744572441481349	0.675581364624406	0.865315023116044	0.556415885928684	0.787083268286085	0.527543987629887	0.851222024724101	0.827894000988922	0.69137142707119
C1QBP	0.486242220894756	0.711088497445844	1	0.862669374922298	0.487318051140926	0.5273517684846	0.78160353542272	0.605426750792664	0.559453383950651	0.844158582504349	0.414695473373941	0.621015561487706	0.854252774721848	0.815955442023878	0.739909769665387	0.611807155111005	0.810022692795099	0.700253976434941	0.879325621431281	0.941513739492225	0.874345150502302	0.224371865331245	0.80666597766111	0.761823157696623	0.849726312193295	0.786053689438787	0.789597710117689	0.907610354866556	0.981266890116597	0.885988241929695	0.971713469873911	0.979743454660987	0.850203901751749	0.437291032686699	0.933542228453322	0.79730400720607	0.885883876319381	0.776003557369254	0.82215383989137
CD47	0.643867698636036	0.832128490721101	0.862669374922298	1	0.66708274130155	0.654566600910183	0.831456852627958	0.858740789654028	0.728907902342102	0.967373082381738	0.410384379596736	0.847535269180591	0.970660935128044	0.864160647308707	0.760267630395534	0.864597311722859	0.915322317011429	0.872641494229121	0.901880142398174	0.901400280554572	0.828266556020194	0.458699889372709	0.902679457289027	0.643568256515849	0.880829462460016	0.651436658165341	0.871873375678733	0.890982875259662	0.879669203676348	0.876964513384127	0.90710374154396	0.849087122552333	0.942774026391303	0.488065055264539	0.927521574839587	0.788747834075736	0.951801421465024	0.88656680447846	0.915211117432568
PTPRC	0.872415235004992	0.454508140066579	0.487318051140926	0.66708274130155	1	0.366245258563753	0.73594382582354	0.536573473483232	0.902383170520739	0.633228616227561	0.664433636584465	0.556607939507699	0.675857817255068	0.484836098760898	0.779472632611628	0.66240753997212	0.562538207629207	0.53976872300571	0.376927544329739	0.652407018529627	0.325797869242753	0.741836364707039	0.408758167109371	0.323306786510337	0.609527939888139	0.459691072814594	0.489185341880355	0.674781829362837	0.446223818398241	0.41161484276754	0.563493142562956	0.488085546818772	0.573006732764244	0.293475483177299	0.640066721876484	0.638866869407931	0.548275174443109	0.584841379886025	0.777111741454346
RIPK1	0.265113417301574	0.555130636728912	0.5273517684846	0.654566600910183	0.366245258563753	1	0.50083128042166	0.827154017494293	0.503991696043567	0.674160756592007	0.25759799364744	0.752425892409982	0.652685933373727	0.590247880948746	0.390229554765563	0.780179418919343	0.737608427497237	0.766682472088611	0.642962983854881	0.517101969381649	0.657805294098208	0.361493979083855	0.73641111201119	0.318848657881698	0.592763912962675	0.347472997995664	0.682235893609596	0.53558199313939	0.537448565921567	0.640312612423731	0.554961627902829	0.492256566886511	0.697629424479704	0.446227107525274	0.611638165493683	0.43857103428933	0.703085876754524	0.713870498650409	0.639169516058237
CD44	0.645364179759261	0.551832850090872	0.78160353542272	0.831456852627958	0.73594382582354	0.50083128042166	1	0.634239152003801	0.684555144632727	0.802953116923827	0.543538837933273	0.581918270244235	0.804649154621773	0.651593123412598	0.905945234642068	0.681676499131997	0.634261103209973	0.663393234079827	0.667992939738176	0.918791987799112	0.641696321219347	0.483265638915017	0.62235621316404	0.829474894324572	0.678875026729235	0.86884934577996	0.705381172879759	0.928839697864255	0.76342026507867	0.61006024171895	0.794517959242438	0.776427457487083	0.682647632011326	0.496221963918043	0.749438168671629	0.898433728919806	0.739144337729032	0.593353750370734	0.893415911140231
CD46	0.480619426631298	0.730561736439447	0.605426750792664	0.858740789654028	0.536573473483232	0.827154017494293	0.634239152003801	1	0.64324201423502	0.863700686132999	0.300503755471348	0.94260961355538	0.819378502032336	0.73272669035073	0.519980293804943	0.915207991192822	0.885695974142242	0.878180868746104	0.785505685211055	0.637753940455815	0.734295832559031	0.413248299791469	0.896157626487759	0.386126489728838	0.718078936267415	0.391221248136587	0.771853613305628	0.645042864789039	0.637878728816507	0.73634117662569	0.672520697863969	0.576318605348695	0.839226081753008	0.435694226335225	0.723004179330135	0.594007633002484	0.822721002229155	0.855003757090256	0.755299250153577
CXCR4	0.894603248040507	0.64991615293439	0.559453383950651	0.728907902342102	0.902383170520739	0.503991696043567	0.684555144632727	0.64324201423502	1	0.685920838035975	0.69090728413952	0.692778602877404	0.788069654253411	0.614008916329323	0.770906428833246	0.764434594137117	0.708239065188299	0.712656464440643	0.517237283376678	0.680201965711834	0.46758986342548	0.718984851314344	0.542462991550839	0.343432410791815	0.758430603352563	0.396369771598451	0.551718443113858	0.68241173668263	0.522219083483114	0.581547549068112	0.634579819466889	0.547600421005645	0.726270833346052	0.421926950104933	0.735873463650343	0.576200472860448	0.688720467356441	0.725125825214324	0.800535710910993
ITGAV	0.616198061420003	0.778206759165311	0.844158582504349	0.967373082381738	0.633228616227561	0.674160756592007	0.802953116923827	0.863700686132999	0.685920838035975	1	0.393313911937074	0.856538190088113	0.949153501972786	0.832767249268897	0.729676154556577	0.837809881425549	0.926552643095851	0.845006200955862	0.876687721074502	0.878733072817115	0.808668232402292	0.428967203944525	0.898754800908759	0.607653182184083	0.866207312611379	0.63613592802366	0.839004774486429	0.87568706690134	0.856858725519729	0.857041303459891	0.893776441904555	0.831131008332594	0.934878895230795	0.487102416580589	0.916429458501702	0.800089604293956	0.928872680631189	0.895233382669976	0.897608824291594
